U2 F U2 F'
B L2 F B' L2
B2 L2 B' L2 F
B L2 B' F L2
U2 D F U2 F'
U2 D' F U2 F'
D U2 F U2 F'
D' U2 F U2 F'
U2 D2 F U2 F'
D2 U2 F U2 F'
B' U2 F B U2
B' U2 B F U2
B2 U2 F B2 U2
F' U2 F2 U2 F2
F2 U2 F' U2 F
B U2 F B' U2
B2 U2 B2 F U2
B U2 B' F U2
U2 F U2 D F'
U2 F U2 D' F'
U2 F U2 D2 F'
U2 F U2 F' D
U2 F U2 F' D'
U2 F U2 F' D2
U2 F D U2 F'
U2 F D' U2 F'
U2 F D2 U2 F'
U2 F B U2 F'
U2 F B' U2 F'
U2 F B2 U2 F'
L2 B L2 F B2
L2 B L2 B2 F
F' D2 B2 D2 F2
U2 B F U2 F'
U2 B' F U2 F'
B2 F' D2 F2 B2
B2 F' D2 B2 F2
D L' R' U2 L R B
D L' R' U2 R L B
F L' R' U2 L R D
F L' R' U2 L R D'
F L' R' U2 L R D2
F L' R' U2 L D R
F L' R' U2 L D' R
F L' R' U2 L D2 R
F L' R' U2 R L D
F L' R' U2 R L D'
F L' R' U2 R L D2
F L' R' U2 R D L
F L' R' U2 R D' L
F L' R' U2 R D2 L
F L' R' U2 D L R
F L' R' U2 D R L
F L' R' U2 D' L R
F L' R' U2 D' R L
F L' R' U2 D2 L R
F L' R' U2 D2 R L
F L' R' D U2 L R
F L' R' D U2 R L
U L' R' U2 R U B
F L' R' D' U2 L R
F L' R' D' U2 R L
F' L' R' F2 L' U2 L2
F L' R' D2 U2 L R
F L' R' D2 U2 R L
R' L' D' U2 L R B
R' L' D' U2 R L B
L' R' D' U2 L R B
F2 L' R2 U2 L B R2
L' R' D' U2 R L B
F L' R2 U2 L R2 D
F L' R2 U2 L R2 D'
F L' R2 U2 L R2 D2
F L' R2 U2 R2 L D
F L' R2 U2 R2 L D'
F L' R2 U2 R2 L D2
F L' R2 U2 R2 D L
F L' R2 U2 R2 D' L
F L' R2 U2 R2 D2 L
F' L' R2 F2 U2 L R2
F' L' R2 F2 U2 R2 L
F L' R2 D2 L2 U2 L'
R' L' D2 U2 L R B
R' L' D2 U2 R L B
L' R' D2 U2 L R B
L' R' D2 U2 R L B
L2 R' D2 R2 U2 R' B'
U' L' U2 L R U' B
U2 L' U2 L U2 L' B'
U' L' U2 R L U' B
F L' U2 L U2 L' U2
F L' U2 L F2 R F2
F L' U2 L2 D2 L' R2
F L' U2 L2 D2 R2 L'
L2 R' F' U2 B' L2 R'
L2 R' F' U2 B' R' L2
F' L' U2 F2 U2 L F2
F' L' U2 F2 U2 F2 L
F2 L' U2 F' U2 F L
R' L' F2 L' U2 B' L2
L' R' F2 L' U2 B' L2
F L' U2 F2 L F2 R
B2 L' U2 B2 R' F' U2
U2 L' D L F U2 F'
L R' F2 L' R F U2
L R' F2 R L' F U2
F L' D R U2 L R'
F L' D R U2 R' L
F L' D R' U2 L R
F L' D R' U2 R L
F L' D R2 U2 L R2
F L' D R2 U2 R2 L
U2 L' D' L F U2 F'
L2 R' B L2 R F B2
L2 R' B L2 R B2 F
L2 R' B L2 B2 R F
L2 R' B R L2 F B2
L2 R' B R L2 B2 F
F L' D' R U2 L R'
F L' D' R U2 R' L
F L' D' R' U2 L R
F L' D' R' U2 R L
F L' D' R2 U2 L R2
F L' D' R2 U2 R2 L
F' L' D2 L B2 D2 F2
U2 L' D2 L F U2 F'
L2 R' B' L2 R2 F' R'
B2 L' D2 L' F2 B' L2
B2 L' D2 L' B' L2 F2
B2 L' D2 L' B' F2 L2
L2 R' B' R2 L2 F' R'
L2 R' B' R2 F' L2 R'
L2 R' B' R2 F' R' L2
F L' D2 R U2 L R'
F L' D2 R U2 R' L
F L' D2 R' U2 L R
F L' D2 R' U2 R L
F L' D2 R2 U2 L R2
F L' D2 R2 U2 R2 L
B2 L' D2 F2 L' B' L2
U2 L' F L F U2 F2
B2 L' F L' B' L2 F
B L' F L' F B' L2
B L' F L' B' F L2
B2 L' F' L' B' L2 F
F2 L' F' R U2 L R'
F2 L' F' R U2 R' L
F2 L' F' R' U2 L R
F2 L' F' R' U2 R L
B L' F' L' F B' L2
B L' F' L' B' F L2
F2 L' F' R2 U2 L R2
F2 L' F' R2 U2 R2 L
U2 L' F2 L F U2 F
F' L' F2 R U2 L R'
F' L' F2 R U2 R' L
F' L' F2 R' U2 L R
F' L' F2 R' U2 R L
B2 L' F2 L' B' L2 F
F' L' F2 R2 U2 L R2
F' L' F2 R2 U2 R2 L
B L' F2 L' F B' L2
B L' F2 L' B' F L2
L' R2 U2 L R B R
L' R2 U2 R L B R
R' L2 U2 R B L2 B2
R' L2 U2 R B' L2 D
R' L2 U2 R B' L2 D'
R' L2 U2 R B' L2 D2
R' L2 U2 R B2 L2 B
R' L2 U2 R' B' L2 R2
R' L2 U2 R' B' R2 L2
L' R2 U2 R2 D2 L B'
L R2 U2 L R2 B' L2
L R2 U2 L B' L2 R2
L R2 U2 L B' R2 L2
B L' B L' F B' L
B L' B L' B' F L
L2 R2 U2 R B' L2 R
L2 R2 U2 R B' R L2
R2 L2 U2 R B' L2 R
R2 L2 U2 R B' R L2
L2 R2 U2 R2 B L2 B2
L2 R2 U2 R2 B' L2 D
L2 R2 U2 R2 B' L2 D'
L2 R2 U2 R2 B' L2 D2
L2 R2 U2 R2 B2 L2 B
L R2 U2 R2 L B' L2
R2 L2 U2 R2 B L2 B2
R2 L2 U2 R2 B' L2 D
R2 L2 U2 R2 B' L2 D'
R2 L2 U2 R2 B' L2 D2
R2 L2 U2 R2 B2 L2 B
R' L2 U2 B L2 R B2
R' L2 U2 B L2 B2 R
R' L2 U2 B R L2 B2
R' L2 U2 B R B2 L2
R L2 U2 R B' L2 R2
R L2 U2 R B' R2 L2
R' L2 U2 B' L2 R D
R' L2 U2 B' L2 R D'
R' L2 U2 B' L2 R D2
R' L2 U2 B' L2 D R
R' L2 U2 B' L2 D' R
R' L2 U2 B' L2 D2 R
R' L2 U2 B' R L2 D
R' L2 U2 B' R L2 D'
R' L2 U2 B' R L2 D2
R L2 U2 R' B L2 B2
R L2 U2 R' B' L2 D
R L2 U2 R' B' L2 D'
R L2 U2 R' B' L2 D2
R L2 U2 R' B2 L2 B
R' L2 U2 B2 L2 B R
R L2 U2 R2 B' L2 R
R L2 U2 R2 B' R L2
L2 R2 U2 B L2 R2 B2
L2 R2 U2 B L2 B2 R2
L2 R2 U2 B R2 L2 B2
L2 R2 U2 B R2 B2 L2
R2 L2 U2 B L2 R2 B2
R2 L2 U2 B L2 B2 R2
R2 L2 U2 B R2 L2 B2
R2 L2 U2 B R2 B2 L2
L2 R2 U2 B' L2 R2 D
L2 R2 U2 B' L2 R2 D'
L2 R2 U2 B' L2 R2 D2
L2 R2 U2 B' R2 L2 D
L2 R2 U2 B' R2 L2 D'
L2 R2 U2 B' R2 L2 D2
R2 L2 U2 B' L2 R2 D
R2 L2 U2 B' L2 R2 D'
R2 L2 U2 B' L2 R2 D2
R2 L2 U2 B' R2 L2 D
R2 L2 U2 B' R2 L2 D'
R2 L2 U2 B' R2 L2 D2
L2 R2 U2 B2 L2 B R2
R2 L2 U2 B2 L2 B R2
B2 L' B2 R' U2 R B
F L' B2 R' B2 U2 R
F' L' B2 D2 F2 B2 L
F' L' B2 D2 B2 L F2
F' L' B2 D2 B2 F2 L
D2 L2 R U2 R' B' L2
U' L2 R U D F2 B'
U' L2 R U D B' F2
D' L2 R U2 R' B' L2
U' L2 R U B' D F2
R' L2 D2 R2 U2 R' B'
U' L2 R D U F2 B'
U' L2 R D U B' F2
L2 R2 D2 L2 R2 F U2
L2 R2 D2 L2 F R2 U2
R2 L2 D2 L2 R2 F U2
R2 L2 D2 L2 F R2 U2
U' L2 R D2 R2 U B'
D L2 R U2 R' B' L2
L2 R2 D2 R2 L2 F U2
F L2 R U2 L2 R' D
F L2 R U2 L2 R' D'
F L2 R U2 L2 R' D2
F L2 R U2 L2 D R'
F L2 R U2 L2 D' R'
F L2 R U2 L2 D2 R'
F' L2 R F2 U2 L2 R'
F' L2 R F2 U2 R' L2
F L2 R U2 R' L2 D
F L2 R U2 R' L2 D'
F L2 R U2 R' L2 D2
R2 L2 D2 R2 L2 F U2
U L2 R U2 R' U B'
B L2 R F R' B' L2
F L2 R D2 R2 U2 R
R L2 D2 R2 U2 R B'
R L2 D2 R2 U2 B' R
U' L2 R' U D F2 B'
U' L2 R' U D B' F2
D2 L2 R' U2 R B' L2
D' L2 R' U2 R B' L2
U' L2 R' U B' D F2
D2 L2 R' U2 B' L2 R
D2 L2 R' U2 B' R L2
D' L2 R' U2 B' L2 R
D' L2 R' U2 B' R L2
U' L2 R' D U F2 B'
U' L2 R' D U B' F2
U' L2 R' D2 R2 U B'
D L2 R' U2 R B' L2
D L2 R' U2 B' L2 R
D L2 R' U2 B' R L2
F' L2 R' F2 L' U2 L'
F L2 R' U2 L2 R D
F L2 R' U2 L2 R D'
F L2 R' U2 L2 R D2
F L2 R' U2 L2 D R
F L2 R' U2 L2 D' R
F L2 R' U2 L2 D2 R
F L2 R' U2 R L2 D
F L2 R' U2 R L2 D'
F L2 R' U2 R L2 D2
U L2 R' U2 R U B'
F L2 R' D2 R2 U2 R'
B2 L2 R' B' L2 R F
B2 L2 R' B' R L2 F
U' L2 R2 U D F2 B'
U' L2 R2 U D B' F2
D2 L2 R2 U2 R2 B' L2
D' L2 R2 U2 R2 B' L2
U' L2 R2 U B' D F2
L2 R2 F U2 R2 B' L2
D2 L2 R2 U2 B' L2 R2
D2 L2 R2 U2 B' R2 L2
D' L2 R2 U2 B' L2 R2
D' L2 R2 U2 B' R2 L2
L2 R2 F U2 B' L2 R2
L2 R2 F U2 B' R2 L2
R2 L2 F U2 R2 B' L2
R2 L2 F U2 B' L2 R2
R2 L2 F U2 B' R2 L2
B L2 R' B' R F L2
F2 L2 R2 U2 L2 B R2
U' L2 R2 D U F2 B'
U' L2 R2 D U B' F2
F2 L2 R2 U2 B L2 R2
F2 L2 R2 U2 B R2 L2
R L2 F U2 R' B' L2
U' L2 R2 D2 R2 U B'
L2 R2 F B' L2 R2 F'
L2 R2 F B' R2 L2 F'
L2 R2 F B' R2 F' L2
D L2 R2 U2 R2 B' L2
R2 L2 F B' L2 R2 F'
B' L2 R2 F' R2 B' L2
R2 L2 F B' R2 L2 F'
R2 L2 F B' R2 F' L2
D L2 R2 U2 B' L2 R2
D L2 R2 U2 B' R2 L2
B' L2 R2 F' B' L2 R2
B' L2 R2 F' B' R2 L2
F' L2 R2 F2 U2 L2 R2
F' L2 R2 F2 U2 R2 L2
U2 L2 R2 D2 R2 B' L2
F L2 R2 U2 L2 R2 D
F L2 R2 U2 L2 R2 D'
F L2 R2 U2 L2 R2 D2
F L2 R2 U2 R2 L2 D
F L2 R2 U2 R2 L2 D'
F L2 R2 U2 R2 L2 D2
U2 L2 R2 D2 B' L2 R2
U2 L2 R2 D2 B' R2 L2
D2 L2 R2 B' L2 R2 F'
D2 L2 R2 B' R2 L2 F'
D2 L2 R2 B' R2 F' L2
D' L2 R2 B' L2 R2 F'
D' L2 R2 B' R2 L2 F'
D' L2 R2 B' R2 F' L2
U L2 R2 U' D' F2 B'
U L2 R2 U' D' B' F2
B' L2 R2 B' L2 F' R2
U L2 R2 U' B' D' F2
U L2 R2 U2 R2 U B'
B' L2 R2 B' F' L2 R2
B' L2 R2 B' F' R2 L2
R' L2 F' U2 B' L2 R'
R' L2 F' U2 B' R' L2
F2 L2 R2 B L2 R2 F
F2 L2 R2 B L2 F R2
F2 L2 R2 B R2 L2 F
B L2 R2 F R2 B' L2
F L2 R2 D2 L2 R2 U2
F L2 R2 D2 R2 L2 U2
B L2 R2 F B' L2 R2
B L2 R2 F B' R2 L2
B2 L2 R2 B' L2 R2 F
U L2 R2 D' U' F2 B'
U L2 R2 D' U' B' F2
B2 L2 R2 B' L2 F R2
B2 L2 R2 B' R2 L2 F
U2 L2 R2 B' D2 L2 R2
U2 L2 R2 B' D2 R2 L2
D L2 R2 B' L2 R2 F'
D L2 R2 B' R2 L2 F'
D L2 R2 B' R2 F' L2
B L2 R2 B' R2 F L2
B L2 R2 B' F L2 R2
B L2 R2 B' F R2 L2
L2 R2 F' U2 R2 B' L2
L2 R2 F' U2 B' L2 R2
L2 R2 F' U2 B' R2 L2
R2 L2 F' U2 R2 B' L2
R2 L2 F' U2 B' L2 R2
R2 L2 F' U2 B' R2 L2
U' L2 U D F2 D B'
U' L2 U D F2 D' B'
U' L2 U D F2 D2 B'
U' L2 U D F2 B' D
U' L2 U D F2 B' D'
U' L2 U D F2 B' D2
U' L2 U D B' F2 D
U' L2 U D B' F2 D'
U' L2 U D B' F2 D2
R L2 F' U2 R' B' L2
L2 R2 F' B' L2 R2 F'
L2 R2 F' B' R2 L2 F'
L2 R2 F' B' R2 F' L2
U' L2 U D2 B' D' F2
R2 L2 F' B' L2 R2 F'
R2 L2 F' B' R2 L2 F'
R2 L2 F' B' R2 F' L2
U' L2 U F D F2 B'
U' L2 U F D B' F2
U' L2 U F B' D F2
U' L2 U F' D F2 B'
U' L2 U F' D B' F2
U' L2 U F' B' D F2
U' L2 U F2 D F2 B'
U' L2 U F2 D B' F2
U' L2 U F2 B' D F2
U' L2 U B' U L2 U'
U' L2 U B' D F2 D
U' L2 U B' D F2 D'
U' L2 U B' D F2 D2
U' L2 U B' F D F2
U' L2 U B' F' D F2
U' L2 U B' F2 D F2
U' L2 U B2 D F2 B
U' L2 U B2 D B F2
U L2 U F U2 F' B'
U L2 U F U2 B' F'
U L2 U F' U2 F B'
L2 R2 F2 U2 R2 B' L2
U L2 U F' U2 B' F
L2 R2 F2 U2 B' L2 R2
L2 R2 F2 U2 B' R2 L2
R2 L2 F2 U2 R2 B' L2
U L2 U F2 U2 F2 B'
U L2 U F2 U2 B' F2
R2 L2 F2 U2 B' L2 R2
R2 L2 F2 U2 B' R2 L2
R' L2 B L2 R F B2
R' L2 B L2 R B2 F
R' L2 B L2 B2 R F
R' L2 B R L2 F B2
R' L2 B R L2 B2 F
U' L2 U' D' B2 U2 B
R L2 F2 U2 R' B' L2
L2 R2 F2 B' L2 R2 F'
L2 R2 F2 B' R2 L2 F'
L2 R2 F2 B' R2 F' L2
R2 L2 F2 B' L2 R2 F'
R2 L2 F2 B' R2 L2 F'
R2 L2 F2 B' R2 F' L2
L2 R2 B L2 R2 F B2
L2 R2 B L2 R2 B2 F
L2 R2 B L2 F R2 B2
L2 R2 B L2 F B2 R2
R2 L2 B L2 R2 F B2
R2 L2 B L2 R2 B2 F
L2 R2 B L2 B2 R2 F
L2 R2 B L2 B2 F R2
R2 L2 B L2 F R2 B2
R2 L2 B L2 F B2 R2
R2 L2 B L2 B2 R2 F
R2 L2 B L2 B2 F R2
U L2 U' R2 B' R2 F'
L2 R2 B R2 L2 F B2
L2 R2 B R2 L2 B2 F
R2 L2 B R2 L2 F B2
R2 L2 B R2 L2 B2 F
F' L2 U2 L2 D2 R2 B2
F' L2 U2 L2 D2 B2 R2
U' L2 U2 L2 U F U2
F2 L2 U2 L2 D2 R2 B
U2 L2 U2 L2 U2 L2 B'
U2 L2 U2 L2 F U2 L2
R' L2 B' L2 R2 F' R'
U L2 U' B' R2 F' R2
U L2 U' B' U2 B U2
U L2 U' B2 D2 F2 B
U L2 U' B2 D2 B F2
F L2 U2 L2 R D2 R2
F L2 U2 L2 R' D2 R2
F L2 U2 L2 R2 D2 R2
F L2 U2 L2 U2 L2 U2
F L2 U2 L2 D2 R2 D
F L2 U2 L2 D2 R2 D'
F L2 U2 L2 D2 R2 D2
R' L2 B' R2 L2 F' R'
R' L2 B' R2 F' L2 R'
R' L2 B' R2 F' R' L2
F L2 U2 R L2 D2 R2
L2 R2 B' L R2 F' L
F L2 U2 R' L2 D2 R2
F' L2 U2 F2 U2 L2 F2
F' L2 U2 F2 U2 F2 L2
U2 L2 U2 D2 B' R2 F'
D2 L2 U2 B' L2 D2 R2
B' L2 U2 B U2 L2 B2
R2 L2 B' L R2 F' L
B' L2 U2 B U2 B2 L2
F L2 U2 R2 L2 D2 R2
D' L2 U2 B' L2 D2 R2
F2 L2 U2 F' U2 F L2
L2 R2 B' L2 R2 D F'
L2 R2 B' L2 R2 D' F'
L2 R2 B' L2 R2 D2 F'
L2 R2 B' L2 R2 F' D
L2 R2 B' L2 R2 F' D'
L2 R2 B' L2 R2 F' D2
L2 R2 B' L2 F R2 F'
L2 R2 B' L2 F' R2 F'
L2 R2 B' L2 F2 R2 F'
R2 L2 B' L2 R2 D F'
R2 L2 B' L2 R2 D' F'
R2 L2 B' L2 R2 D2 F'
R2 L2 B' L2 R2 F' D
R2 L2 B' L2 R2 F' D'
R2 L2 B' L2 R2 F' D2
R2 L2 B' L2 F R2 F'
R2 L2 B' L2 F' R2 F'
R2 L2 B' L2 F2 R2 F'
L2 R2 B' R2 L F' L
L2 R2 B' R2 L2 D F'
L2 R2 B' R2 L2 D' F'
L2 R2 B' R2 L2 D2 F'
L2 R2 B' R2 L2 F' D
L2 R2 B' R2 L2 F' D'
L2 R2 B' R2 L2 F' D2
L2 R2 B' R2 F L2 F2
L2 R2 B' R2 F' L2 D
L2 R2 B' R2 F' L2 D'
L2 R2 B' R2 F' L2 D2
U2 L2 U2 B' D2 R2 F'
R2 L2 B' R2 L F' L
R2 L2 B' R2 L2 D F'
R2 L2 B' R2 L2 D' F'
R2 L2 B' R2 L2 D2 F'
R2 L2 B' R2 L2 F' D
R2 L2 B' R2 L2 F' D'
R2 L2 B' R2 L2 F' D2
B2 L2 U2 B2 U2 L2 B
B2 L2 U2 B2 U2 B L2
R2 L2 B' R2 F L2 F2
R2 L2 B' R2 F' L2 D
R2 L2 B' R2 F' L2 D'
R2 L2 B' R2 F' L2 D2
D L2 U2 B' L2 D2 R2
U' L2 D R U F2 B'
U' L2 D R U B' F2
U' L2 D R' U F2 B'
U' L2 D R' U B' F2
U' L2 D R2 U F2 B'
U' L2 D R2 U B' F2
U' L2 D U F2 D B'
U' L2 D U F2 D' B'
U' L2 D U F2 D2 B'
U' L2 D U F2 B' D
U' L2 D U F2 B' D'
U' L2 D U F2 B' D2
U' L2 D U B' F2 D
U' L2 D U B' F2 D'
U' L2 D U B' F2 D2
L2 R2 B' F L2 R2 F'
L2 R2 B' F R2 L2 F'
L2 R2 B' F R2 F' L2
L2 R2 B' F' L2 R2 F'
R2 L2 B' F L2 R2 F'
L2 R2 B' F' R2 L2 F'
L2 R2 B' F' R2 F' L2
R2 L2 B' F R2 L2 F'
R2 L2 B' F R2 F' L2
L2 R2 B' F2 L2 R2 F'
R2 L2 B' F' L2 R2 F'
L2 R2 B' F2 R2 L2 F'
L2 R2 B' F2 R2 F' L2
R2 L2 B' F' R2 L2 F'
R2 L2 B' F' R2 F' L2
R2 L2 B' F2 L2 R2 F'
R2 L2 B' F2 R2 L2 F'
R2 L2 B' F2 R2 F' L2
L2 R2 B2 L2 B R2 F'
R2 L2 B2 L2 B R2 F'
B L2 D B' D' F L2
U' L2 D' U' B2 U2 B
B L2 D' F D B' L2
D2 L2 D2 R2 U2 R2 B'
D2 L2 D2 R2 U2 B' R2
D' L2 D2 R2 U2 R2 B'
D' L2 D2 R2 U2 B' R2
U' L2 D2 R2 U D B'
U' L2 D2 R2 U D' B'
U' L2 D2 R2 U D2 B'
U' L2 D2 R2 U B' D
U' L2 D2 R2 U B' D'
U' L2 D2 R2 U B' D2
U' L2 D2 R2 D U B'
U' L2 D2 R2 D' U B'
U' L2 D2 R2 D2 U B'
F' L2 D2 R2 U2 R2 B2
F' L2 D2 R2 U2 B2 R2
U' L2 D2 U B' D' F2
F L2 D2 L R2 U2 R2
F2 L2 D2 R2 U2 B R2
F L2 D2 L' R2 U2 R2
U2 L2 D2 R2 D2 B' L2
U2 L2 D2 R2 B' D2 L2
F L2 D2 L2 R2 U2 R2
D L2 D2 R2 U2 R2 B'
D L2 D2 R2 U2 B' R2
U2 L2 D2 U2 B' R2 F'
F L2 D2 R2 L U2 R2
F L2 D2 R2 L' U2 R2
F L2 D2 R2 L2 U2 R2
F L2 D2 R2 U2 R2 D
F L2 D2 R2 U2 R2 D'
F L2 D2 R2 U2 R2 D2
F L2 D2 R2 D2 L2 U2
F2 L2 D2 F' R2 U2 R2
B' L2 D2 B' D2 L2 F2
B' L2 D2 B' D2 F2 L2
B2 L2 D2 F2 D2 B' L2
B2 L2 D2 F2 B' D2 L2
F' L2 D2 B2 D2 L2 F2
F' L2 D2 B2 D2 F2 L2
B L2 D2 F D2 B' L2
B L2 D2 F B' D2 L2
U2 L2 D2 B' R2 D2 L2
B2 L2 D2 B' F2 D2 L2
B L2 D2 B' D2 F L2
B L2 D2 B' F D2 L2
U2 L2 F L2 F U2 F2
B L2 F L2 U2 F U2
B L2 F R' B' L2 R
B L2 F R' B' R L2
D2 L2 F B L2 F B2
D2 L2 F B L2 B2 F
D' L2 F B L2 F B2
D' L2 F B L2 B2 F
B L2 F R2 B' L2 R2
B L2 F R2 B' R2 L2
F' L2 F B L2 F B'
F' L2 F B L2 B' F
B' L2 F B' L2 D2 F2
B' L2 F B2 L2 F B
B' L2 F B2 L2 B F
B L2 F D B' D' L2
B2 L2 F B' L2 D F
B2 L2 F B' L2 D' F
B2 L2 F B' L2 D2 F
B2 L2 F B' L2 F D
B2 L2 F B' L2 F D'
B2 L2 F B' L2 F D2
R2 U L2 U' B' R2 F'
D L2 F B L2 F B2
D L2 F B L2 B2 F
B L2 F D2 B' D2 L2
B L2 F B L' B2 L'
B L2 F B L2 B2 D
B L2 F B L2 B2 D'
B L2 F B L2 B2 D2
B L2 F B' L D L
B L2 F B' L D' L
B L2 F B' L D2 L
B L2 F B' L' D L'
B L2 F B' L' D' L'
B L2 F B' L' D2 L'
B L2 F B2 L' B L'
B L2 F B2 L2 D B
B L2 F B2 L2 D' B
B L2 F B2 L2 D2 B
B L2 F B2 L2 B D
B L2 F B2 L2 B D'
B L2 F B2 L2 B D2
U2 L2 F' L2 F B' U2
U2 L2 F' L2 B' F U2
F2 L2 F' R U2 L2 R'
F2 L2 F' R U2 R' L2
F2 L2 F' R' U2 L2 R
F2 L2 F' R' U2 R L2
F2 L2 F' R2 U2 L2 R2
F2 L2 F' R2 U2 R2 L2
D2 L2 F' B L2 F B2
D2 L2 F' B L2 B2 F
F2 L2 F' U2 L2 D2 R2
D' L2 F' B L2 F B2
D' L2 F' B L2 B2 F
B' L2 F' B' L2 D2 F2
B' L2 F' B2 L2 F B
B' L2 F' B2 L2 B F
F2 L2 F' D2 R2 U2 R2
B2 L2 F' B' L2 D F
B2 L2 F' B' L2 D' F
B2 L2 F' B' L2 D2 F
B2 L2 F' B' L2 F D
B2 L2 F' B' L2 F D'
B2 L2 F' B' L2 F D2
D L2 F' B L2 F B2
D L2 F' B L2 B2 F
F' L2 F2 R U2 L2 R'
F' L2 F2 R U2 R' L2
B L2 F' B L2 F2 B2
B L2 F' B L2 B2 F2
F' L2 F2 R' U2 L2 R
F' L2 F2 R' U2 R L2
B L2 F' B' L F2 L
B L2 F' B' L2 F2 D
B L2 F' B' L2 F2 D'
B L2 F' B' L2 F2 D2
F L2 F' B L2 F B'
F L2 F' B L2 B' F
B L2 F' B2 L2 F2 B
B L2 F' B2 L2 B F2
F' L2 F2 R2 U2 L2 R2
F' L2 F2 R2 U2 R2 L2
U2 L2 F2 L2 F U2 F
F' L2 F2 U2 L2 D2 R2
B L2 F2 L2 F' D2 B2
D2 L2 F2 B L2 F B2
D2 L2 F2 B L2 B2 F
F' L2 F2 D2 R2 U2 R2
D' L2 F2 B L2 F B2
D' L2 F2 B L2 B2 F
B' L2 F2 B' L2 D2 F2
B' L2 F2 B2 L2 F B
B' L2 F2 B2 L2 B F
D2 L2 B L' B2 L' F
F2 L2 F2 B L2 F B'
F2 L2 F2 B L2 B' F
D2 L2 B L2 F B2 D
D2 L2 B L2 F B2 D'
D2 L2 B L2 F B2 D2
B2 L2 F2 B' L2 D F
B2 L2 F2 B' L2 D' F
B2 L2 F2 B' L2 D2 F
B2 L2 F2 B' L2 F D
B2 L2 F2 B' L2 F D'
B2 L2 F2 B' L2 F D2
D' L2 B L' B2 L' F
D2 L2 B L2 B2 D F
D2 L2 B L2 B2 D' F
D2 L2 B L2 B2 D2 F
D2 L2 B L2 B2 F D
D2 L2 B L2 B2 F D'
D2 L2 B L2 B2 F D2
D' L2 B L2 F B2 D
D' L2 B L2 F B2 D'
D' L2 B L2 F B2 D2
D' L2 B L2 B2 D F
D' L2 B L2 B2 D' F
D' L2 B L2 B2 D2 F
D' L2 B L2 B2 F D
D' L2 B L2 B2 F D'
D' L2 B L2 B2 F D2
F' L2 B L2 D2 F B2
F' L2 B L2 D2 B2 F
D L2 F2 B L2 F B2
D L2 F2 B L2 B2 F
B' L2 B L2 B2 D2 F2
B L2 F2 B L2 F' B2
B L2 F2 B L2 B2 F'
B L2 F2 B' L F' L
B L2 F2 B' L2 D F'
B L2 F2 B' L2 D' F'
B L2 F2 B' L2 D2 F'
B L2 F2 B' L2 F' D
B L2 F2 B' L2 F' D'
B L2 F2 B' L2 F' D2
B L2 F2 B2 L2 F' B
B L2 F2 B2 L2 B F'
F2 L2 B L2 F D2 B2
D L2 B L' B2 L' F
D L2 B L2 F B2 D
D L2 B L2 F B2 D'
D L2 B L2 F B2 D2
D L2 B L2 B2 D F
D L2 B L2 B2 D' F
D L2 B L2 B2 D2 F
D L2 B L2 B2 F D
D L2 B L2 B2 F D'
D L2 B L2 B2 F D2
D2 L2 B F L2 F B2
D2 L2 B F L2 B2 F
D2 L2 B F' L2 F B2
D2 L2 B F' L2 B2 F
D' L2 B F L2 F B2
D' L2 B F L2 B2 F
F' L2 B F L2 F B'
F' L2 B F L2 B' F
D2 L2 B F2 L2 F B2
D2 L2 B F2 L2 B2 F
D' L2 B F' L2 F B2
D' L2 B F' L2 B2 F
D' L2 B F2 L2 F B2
D' L2 B F2 L2 B2 F
D2 L2 B' L2 R2 F' R2
B' L2 B' L D2 L F2
B' L2 B' L D2 F2 L
D2 L2 B' L2 U2 B U2
D' L2 B' L2 R2 F' R2
B' L2 B' L' D2 L' F2
D' L2 B' L2 U2 B U2
F2 L2 B F2 L2 F B'
F2 L2 B F2 L2 B' F
B' L2 B' L2 U2 B2 U2
B' L2 B' L2 D2 F2 D
B' L2 B' L2 D2 F2 D'
B' L2 B' L2 D2 F2 D2
B' L2 B' L2 F D2 F2
B' L2 B' L2 F' D2 F2
B' L2 B' L2 F2 D2 F2
D L2 B F L2 F B2
D L2 B F L2 B2 F
B2 L2 B' L D L F
B2 L2 B' L D' L F
B2 L2 B' L D2 L F
B2 L2 B' L F L F
B2 L2 B' L F' L F
B L2 B F L' B2 L'
B2 L2 B' L F2 L F
B L2 B F L2 B2 D
B L2 B F L2 B2 D'
B L2 B F L2 B2 D2
D2 L2 B' R2 L2 F' R2
D L2 B F' L2 F B2
D L2 B F' L2 B2 F
D2 L2 B' R2 F' L2 R2
D2 L2 B' R2 F' R2 L2
B L2 B F' L2 F2 B2
B L2 B F' L2 B2 F2
D L2 B F2 L2 F B2
D' L2 B' R2 L2 F' R2
D L2 B F2 L2 B2 F
B2 L2 B' L2 R F R'
B2 L2 B' L2 R2 F R2
B L2 B F2 L2 F' B2
B2 L2 B' L2 D F D
B2 L2 B' L2 D F D'
B2 L2 B' L2 D F D2
B L2 B F2 L2 B2 F'
D' L2 B' R2 F' L2 R2
D' L2 B' R2 F' R2 L2
B2 L2 B' L2 D' F D
B2 L2 B' L2 D' F D'
B2 L2 B' L2 D' F D2
B2 L2 B' L2 D2 F D
B2 L2 B' L2 D2 F D'
B2 L2 B' L2 D2 F D2
B2 L2 B' L2 F2 D F'
B2 L2 B' L2 F2 D' F'
