F U' F2 L' R
F U' F2 R L'
F' L' R U R' U'
F' L' R2 D R' B2
D' L' F U' F2 L'
F' R L' U R' U'
F' R U R' U' L'
F' R B2 L' D' B2
F' R2 L' D R' B2
F' R2 D L' R' B2
F' R2 D R' L' B2
F' R2 D R' B2 L'
F U L' R U2 F2
F U L' U2 F2 L'
F U R L' U2 F2
F U R U2 F2 R
F U' F2 L' R D
F U' F2 L' R D'
F U' F2 L' R D2
F U' F2 L' D R
F U' F2 L' D' R
F U' F2 L' D2 R
F U' F2 R L' D
F U' F2 R L' D'
F U' F2 R L' D2
F U' F2 R D L'
F U' F2 R D' L'
F U' F2 R D2 L'
F U' F2 D L' R
F U' F2 D R L'
F U' F2 D' L' R
F U' F2 D' R L'
F U' F2 D2 L' R
F U' F2 D2 R L'
L' F U' F2 L' R
L' F U' F2 R L'
L2 F U' F2 L' R
L2 F U' F2 R L'
L F U' F2 L' R
L F U' F2 R L'
U' F' R U B U'
U2 B U L F' R
U2 B U F' L R
U2 B U F' R L
B' F U' F2 L' R
B' F U' F2 R L'
B2 F U' F2 L' R
B2 F U' F2 R L'
B F U' F2 L' R
B F U' F2 R L'
F B U' F2 L' R
F B U' F2 R L'
F B' U' F2 L' R
F B' U' F2 R L'
F B2 U' F2 L' R
F B2 U' F2 R L'
F' B' R2 D R' B2 L'
B2 F' R2 D L' R' B2
B2 F' R2 D R' L' B2
B2 F' R2 D R' B2 L'
B F' R2 L' D R' B2
B F' R2 D L' R' B2
B F' R2 D R' L' B2
B F' R2 D R' B2 L'
L' B' F U' F2 L' R
L' B' F U' F2 R L'
F B' U L' R U2 F2
F B' U L' U2 F2 L'
F B' U R L' U2 F2
F B' U R U2 F2 R
L2 B' F U' F2 L' R
L2 B' F U' F2 R L'
L B' F U' F2 L' R
L B' F U' F2 R L'
F B' U' F2 L' R D
F B' U' F2 L' R D'
F B' U' F2 L' R D2
F B' U' F2 L' D R
F B' U' F2 L' D' R
F B' U' F2 L' D2 R
F B' U' F2 R L' D
F B' U' F2 R L' D'
F B' U' F2 R L' D2
F B' U' F2 R D L'
F B' U' F2 R D' L'
F B' U' F2 R D2 L'
F B' U' F2 D L' R
F B' U' F2 D R L'
F B' U' F2 D' L' R
F B' U' F2 D' R L'
F B' U' F2 D2 L' R
F B' U' F2 D2 R L'
D' B2 L' F U' F2 L'
F' B2 L' R U R' U'
F' B2 L' R2 D R' B2
F' B2 R L' U R' U'
F' B2 R U R' U' L'
U' B2 U F' L' R B2
U' B2 U F' L' B2 R
U' B2 U F' R L' B2
U' B2 U F' R B2 L'
U' B2 U F' B2 L' R
U' B2 U F' B2 R L'
U' B2 U B2 F' L' R
U' B2 U B2 F' R L'
F' B2 R B2 L' D' B2
F' B2 R2 L' D R' B2
F' B2 R2 D L' R' B2
F' B2 R2 D R' L' B2
F' B2 R2 D R' B2 L'
F B2 U L' R U2 F2
F B2 U L' U2 F2 L'
F B2 U R L' U2 F2
F B2 U R U2 F2 R
F B2 U' F2 L' R D
F B2 U' F2 L' R D'
F B2 U' F2 L' R D2
F B2 U' F2 L' D R
F B2 U' F2 L' D' R
F B2 U' F2 L' D2 R
F B2 U' F2 R L' D
F B2 U' F2 R L' D'
F B2 U' F2 R L' D2
F B2 U' F2 R D L'
F B2 U' F2 R D' L'
F B2 U' F2 R D2 L'
F B2 U' F2 D L' R
F B2 U' F2 D R L'
F B2 U' F2 D' L' R
F B2 U' F2 D' R L'
F B2 U' F2 D2 L' R
F B2 U' F2 D2 R L'
L' B2 F U' F2 L' R
L' B2 F U' F2 R L'
L2 B2 F U' F2 L' R
L2 B2 F U' F2 R L'
L B2 F U' F2 L' R
L B2 F U' F2 R L'
