B' L U2 R B'
B' L U2 B' R
B' L2 U2 R B
L2 U2 R F B
L2 U2 R B F
F2 B' L' F U2
B' F2 L' F U2
L2 U2 R2 F R' B D'
L2 U2 R2 F R' B D2
F2 R' B' R L' F U2
L2 U2 R2 F' R' F2 B
L2 U2 R2 F' R' B F2
L2 U2 D R D F B
L2 U2 D R D B F
L2 U2 D R D' F B
L2 U2 D R D' B F
L2 U2 D R D2 F B
L2 U2 D R D2 B F
L2 U2 D R F D B
L2 U2 D R F D' B
L2 U2 D R F D2 B
L2 U2 D R F B D
L2 U2 D R F B D'
L2 U2 D R F B D2
L2 U2 D R B D F
L2 U2 D R B D' F
L2 U2 D R B D2 F
L2 U2 D R B F D
L2 U2 D R B F D'
L2 U2 D R B F D2
L2 U2 D R2 F R' B
L2 U2 D B R F B
L2 U2 D B R B F
L2 U2 D B' R F B
L2 U2 D B' R B F
L2 U2 D B2 R F B
L2 U2 D B2 R B F
L U2 D R B' D2 F2
L U2 D R' F' R2 B'
L U2 D R' F' B' R2
L U2 D R' B' F' R2
L2 U2 D' R D F B
L2 U2 D' R D B F
L2 U2 D' R D' F B
L2 U2 D' R D' B F
L2 U2 D' R D2 F B
L2 U2 D' R D2 B F
L2 U2 D' R F D B
L2 U2 D' R F D' B
L2 U2 D' R F D2 B
L2 U2 D' R F B D
L2 U2 D' R F B D'
L2 U2 D' R F B D2
L2 U2 D' R B D F
L2 U2 D' R B D' F
L2 U2 D' R B D2 F
L2 U2 D' R B F D
L2 U2 D' R B F D'
L2 U2 D' R B F D2
L2 U2 D' R2 F R' B
L U2 D B' R' F' R2
L2 U2 D' B R F B
L2 U2 D' B R B F
L' U2 D2 R F' D2 B2
L2 U2 D' B' R F B
L2 U2 D' B' R B F
L2 U2 D' B2 R F B
L2 U2 D' B2 R B F
L U2 D' R B' D2 F2
L U2 D' R' F' R2 B'
L U2 D' R' F' B' R2
L U2 D' R' B' F' R2
L2 U2 D2 R D F B
L2 U2 D2 R D B F
L2 U2 D2 R D' F B
L2 U2 D2 R D' B F
L2 U2 D2 R D2 F B
L2 U2 D2 R D2 B F
L2 U2 D2 R F D B
L2 U2 D2 R F D' B
L2 U2 D2 R F D2 B
L2 U2 D2 R F B D
L2 U2 D2 R F B D'
L2 U2 D2 R F B D2
L2 U2 D2 R B D F
L2 U2 D2 R B D' F
L2 U2 D2 R B D2 F
L2 U2 D2 R B F D
L2 U2 D2 R B F D'
L2 U2 D2 R B F D2
R2 U2 D2 L2 R' F B
R2 U2 D2 L2 R' B F
R2 U2 D2 L2 F R' B
L2 U2 D2 R2 F R' B
L U2 D' B' R' F' R2
R2 U2 D2 R' L2 F B
R2 U2 D2 R' L2 B F
L2 U2 D2 B R F B
L2 U2 D2 B R B F
L2 U2 D2 B' R F B
L2 U2 D2 B' R B F
B' R2 L' F R2 U2 R
L2 U2 D2 B2 R F B
L2 U2 D2 B2 R B F
L U2 D2 R B' D2 F2
L U2 D2 R' F' R2 B'
L U2 D2 R' F' B' R2
L U2 D2 R' B' F' R2
R U2 D2 R' B' U2 B2
L2 U2 F R D2 B R'
L U2 D2 B' R' F' R2
L2 U2 F D2 R B R'
L U2 F R' F' R B'
L U2 F R' F' B' R
L U2 F R' B' F' R
L U2 F B' R' F' R
L2 U2 B R D F B
L2 U2 B R D B F
L2 U2 B R D' F B
L2 U2 B R D' B F
L2 U2 B R D2 F B
L2 U2 B R D2 B F
L2 U2 B R F D B
L2 U2 B R F D' B
L2 U2 B R F D2 B
L2 U2 B R F B D
L2 U2 B R F B D'
L2 U2 B R F B D2
L2 U2 B R B D F
L2 U2 B R B D' F
L2 U2 B R B D2 F
L2 U2 B R B F D
L2 U2 B R B F D'
L2 U2 B R B F D2
L2 U2 B R2 F R' B
B' R2 U2 R' B2 L B'
B' R2 U2 D2 L2 R' B
B' R2 U2 D2 R' L2 B
B' R2 U2 D2 R' B L2
L2 U2 B D R F B
L2 U2 B D R B F
L2 U2 B D' R F B
L2 U2 B D' R B F
L2 U2 B D2 R F B
L2 U2 B D2 R B F
L U2 B R' F' R2 B2
L U2 B R' F' B2 R2
L U2 B R' B2 F' R2
L2 U2 B' R D F B
L2 U2 B' R D B F
L2 U2 B' R D' F B
L2 U2 B' R D' B F
L2 U2 B' R D2 F B
L2 U2 B' R D2 B F
L2 U2 B' R F D B
L2 U2 B' R F D' B
L2 U2 B' R F D2 B
L2 U2 B' R F B D
L2 U2 B' R F B D'
L2 U2 B' R F B D2
L2 U2 B' R B D F
L2 U2 B' R B D' F
L2 U2 B' R B D2 F
L2 U2 B' R B F D
L2 U2 B' R B F D'
L2 U2 B' R B F D2
L2 U2 B' R2 F R' B
L2 U2 B' D R F B
L2 U2 B' D R B F
L2 U2 B' D' R F B
L2 U2 B' D' R B F
L2 U2 B' D2 R F B
L2 U2 B' D2 R B F
L U2 B' R U2 B U2
L U2 B' R' F R2 F2
L U2 B' R' F' R2 D
L U2 B' R' F' R2 D'
L U2 B' R' F' R2 D2
L U2 B' R' F2 R2 F
L2 U2 B2 R D F B
L2 U2 B2 R D B F
L2 U2 B2 R D' F B
L2 U2 B2 R D' B F
L2 U2 B2 R D2 F B
L2 U2 B2 R D2 B F
L2 U2 B2 R F D B
L2 U2 B2 R F D' B
L2 U2 B2 R F D2 B
L2 U2 B2 R F B D
L2 U2 B2 R F B D'
L2 U2 B2 R F B D2
L2 U2 B2 R B D F
L2 U2 B2 R B D' F
L2 U2 B2 R B D2 F
L2 U2 B2 R B F D
L2 U2 B2 R B F D'
L2 U2 B2 R B F D2
R U2 B' U2 L B' L
L U2 B' D R' F' R2
R U2 B' U2 B' L B'
L U2 B' D' R' F' R2
L2 U2 B2 R2 F R' B
L U2 B' D2 R' F' R2
L U2 B' F R' F' R
L2 U2 B2 D R F B
L2 U2 B2 D R B F
L2 U2 B2 D' R F B
L2 U2 B2 D' R B F
L2 U2 B2 D2 R F B
L2 U2 B2 D2 R B F
B' R2 D2 R' B L2 F
B2 R2 D2 L2 F' R' B
B' R2 D2 U2 L2 R' B
B' R2 D2 U2 R' L2 B
B' R2 D2 U2 R' B L2
U2 R2 D2 R' B D2 F2
B R2 D2 L2 R' F2 B
B R2 D2 L2 R' B F2
B2 R2 D2 F' L2 R' B
B R2 D2 L2 F2 R' B
B2 R2 D2 F' R' L2 B
B2 R2 D2 F' R' B L2
L D L U2 R F B
L D L U2 R B F
B R2 D2 R' L2 F2 B
B R2 D2 R' L2 B F2
B R2 D2 R' F2 L2 B
B R2 D2 R' F2 B L2
B R2 D2 R' B L2 F2
B R2 D2 R' B F2 L2
B R2 D2 F2 L2 R' B
B R2 D2 F2 R' L2 B
B R2 D2 F2 R' B L2
B2 R2 F' R' B2 L B'
B2 R2 F' D2 L2 R' B
B2 R2 F' D2 R' L2 B
B2 R2 F' D2 R' B L2
L D R B2 L F B
L D R B2 L B F
F2 R2 B' L' R2 F U2
F2 R2 B' L' F R2 U2
F2 R2 B' R2 L' F U2
B R2 B2 L R2 U2 B'
B R2 B2 R2 L U2 B'
B' U L U R D B'
B' U L U R D' B'
B' U L U R D2 B'
B' U L U R B' D
B' U L U R B' D'
B' U L U R B' D2
B' U L U R' B' R2
B' U L U D R B'
B' U L U D B' R
B' U L U D' R B'
B' U L U D' B' R
B' U L U D2 R B'
B' U L U D2 B' R
B' U L U B R B2
B' U L U B' R D
B' U L U B' R D'
B' U L U B' R D2
B' U L U B' D R
B' U L U B' D' R
B' U L U B' D2 R
B' U L D U R B'
B' U L D U B' R
B' U L D' U R B'
B' U L D' U B' R
B' U L D2 U R B'
B' U L D2 U B' R
B' U L B U R B2
B' U L B U B2 R
L2 D U2 R D F B
L2 D U2 R D B F
L2 D U2 R D' F B
L2 D U2 R D' B F
B' U L B2 U B R
L2 D U2 R D2 F B
L2 D U2 R D2 B F
L2 D U2 R F D B
L2 D U2 R F D' B
L2 D U2 R F D2 B
L2 D U2 R F B D
L2 D U2 R F B D'
L2 D U2 R F B D2
L2 D U2 R B D F
L2 D U2 R B D' F
L2 D U2 R B D2 F
L2 D U2 R B F D
L2 D U2 R B F D'
L2 D U2 R B F D2
L2 D U2 R2 F R' B
L2 D U2 B R F B
L2 D U2 B R B F
L2 D U2 B' R F B
L2 D U2 B' R B F
L2 D U2 B2 R F B
L2 D U2 B2 R B F
L D U2 R B' D2 F2
L D U2 R' F' R2 B'
L D U2 R' F' B' R2
L D U2 R' B' F' R2
L D U2 B' R' F' R2
L2 D F2 L' U2 F' B'
L2 D F2 L' U2 B' F'
L D F' U2 B' R' F'
L2 D B U2 R F B
L2 D B U2 R B F
L D B R B2 L F
L2 D B' U2 R F B
L2 D B' U2 R B F
L2 D B2 U2 R F B
L2 D B2 U2 R B F
B' U D' B' L U R
B' U D' B2 U R B
L D' L U2 R F B
L D' L U2 R B F
B' U B L U R B'
B' U B L U B' R
L D' R B2 L F B
L D' R B2 L B F
B' U B' L U R B'
B' U B' L U B' R
B' U B2 L U R B'
B' U B2 L U B' R
L2 D' U2 R D F B
L2 D' U2 R D B F
L2 D' U2 R D' F B
L2 D' U2 R D' B F
L2 D' U2 R D2 F B
L2 D' U2 R D2 B F
L2 D' U2 R F D B
L2 D' U2 R F D' B
L2 D' U2 R F D2 B
L2 D' U2 R F B D
L2 D' U2 R F B D'
L2 D' U2 R F B D2
L2 D' U2 R B D F
L2 D' U2 R B D' F
L2 D' U2 R B D2 F
L2 D' U2 R B F D
L2 D' U2 R B F D'
L2 D' U2 R B F D2
L2 D' U2 R2 F R' B
L2 D' U2 B R F B
L2 D' U2 B R B F
L2 D' U2 B' R F B
L2 D' U2 B' R B F
L2 D' U2 B2 R F B
L2 D' U2 B2 R B F
L D' U2 R B' D2 F2
L D' U2 R' F' R2 B'
L D' U2 R' F' B' R2
L D' U2 R' B' F' R2
L D' U2 B' R' F' R2
L2 D' F2 L' U2 F' B'
L2 D' F2 L' U2 B' F'
L D' F' U2 B' R' F'
L2 D' B U2 R F B
L2 D' B U2 R B F
B' U' R2 U' D2 R' B
B' U' R2 D2 U' R' B
L D' B R B2 L F
L2 D' B' U2 R F B
L2 D' B' U2 R B F
L2 D' B2 U2 R F B
L2 D' B2 U2 R B F
B' U' D2 R' U' B R2
L' D2 L' U2 R F' B
L' D2 L' U2 R B F'
R' D2 L2 R F' U2 F2
L D2 L U2 R F B
L D2 L U2 R B F
R2 D2 L' R' B L' F
L' D2 L2 U2 R F' B'
L' D2 L2 U2 R B' F'
L' D2 L2 U2 B' R F'
R2 D2 L2 R' D F B
R2 D2 L2 R' D B F
R2 D2 L2 R' D' F B
R2 D2 L2 R' D' B F
R2 D2 L2 R' D2 F B
R2 D2 L2 R' D2 B F
R2 D2 L2 R' F D B
R2 D2 L2 R' F D' B
R2 D2 L2 R' F D2 B
R2 D2 L2 R' F B D
R2 D2 L2 R' F B D'
R2 D2 L2 R' F B D2
R2 D2 L2 R' B D F
R2 D2 L2 R' B D' F
R2 D2 L2 R' B D2 F
R2 D2 L2 R' B F D
R2 D2 L2 R' B F D'
R2 D2 L2 R' B F D2
R' D2 R L2 F' U2 F2
R2 D2 L2 F R' D B
R2 D2 L2 F R' D' B
R2 D2 L2 F R' D2 B
R2 D2 L2 F R' B D
R2 D2 L2 F R' B D'
R2 D2 L2 F R' B D2
R' D2 R F' L2 U2 F
R' D2 R F' B' L2 U2
R2 D2 L2 F' R' F2 B
R2 D2 L2 F' R' B F2
R' D2 R B' L2 F' U2
R' D2 R B' F' L2 U2
L' D2 R F' D2 B2 L
B' U' F2 U L' F U2
R2 D2 R' L' B L' F
R2 D2 R' L2 D F B
R2 D2 R' L2 D B F
R2 D2 R' L2 D' F B
R2 D2 R' L2 D' B F
R2 D2 R' L2 D2 F B
R2 D2 R' L2 D2 B F
R2 D2 R' L2 F D B
R2 D2 R' L2 F D' B
R2 D2 R' L2 F D2 B
R2 D2 R' L2 F B D
R2 D2 R' L2 F B D'
R2 D2 R' L2 F B D2
R2 D2 R' L2 B D F
R2 D2 R' L2 B D' F
R2 D2 R' L2 B D2 F
R2 D2 R' L2 B F D
R2 D2 R' L2 B F D'
R2 D2 R' L2 B F D2
R2 D2 R' F L2 F B
R2 D2 R' F L2 B F
R2 D2 R' F' L2 F B
R2 D2 R' F' L2 B F
L D2 R B2 L F B
L D2 R B2 L B F
R2 D2 R' F2 L2 F B
R2 D2 R' F2 L2 B F
R2 D2 R' B L2 D2 F2
D2 U2 R U2 F' B' U2
D2 U2 R U2 B' F' U2
U2 D2 R U2 F' B' U2
U2 D2 R U2 B' F' U2
R D2 R' B' U2 R B2
R D2 R' B' U2 B2 R
R2 D2 U L2 R' F B
R2 D2 U L2 R' B F
R2 D2 U L2 F R' B
R2 D2 U R' L2 F B
R2 D2 U R' L2 B F
D2 U2 R' B R2 D2 F2
D2 U2 R' B2 R2 F' B'
D2 U2 R' B2 R2 B' F'
B' U2 L R D B' L'
B' U2 L R D' B' L'
B' U2 L R D2 B' L'
B' U2 L R B L' B2
B' U2 L R B' L' D
B' U2 L R B' L' D'
B' U2 L R B' L' D2
B' U2 L R B' D L'
B' U2 L R B' D' L'
B' U2 L R B' D2 L'
B' U2 L R B2 L' B
B' U2 L R' B' L' R2
B' U2 L R' B' R2 L'
R2 D2 U' L2 R' F B
R2 D2 U' L2 R' B F
U2 D2 R' B R2 D2 F2
B' U2 L D R B' L'
R2 D2 U' L2 F R' B
B' U2 L D B' L' R
B' U2 L D B' R L'
B' U2 L D' R B' L'
B' U2 L D' B' L' R
B' U2 L D' B' R L'
L' D2 U2 R F' D2 B2
R2 D2 U' R' L2 F B
R2 D2 U' R' L2 B F
U2 D2 R' B2 R2 F' B'
U2 D2 R' B2 R2 B' F'
B' U2 L D2 R B' L'
B' U2 L D2 B' L' R
B' U2 L D2 B' R L'
B' U2 L B L' R B2
B' U2 L B L' B2 R
B' U2 L B R L' B2
B' U2 L B R B2 L'
B' U2 L B' L' R D
B' U2 L B' L' R D'
B' U2 L B' L' R D2
B' U2 L B' L' D R
B' U2 L B' L' D' R
B' U2 L B' L' D2 R
B' U2 L B' R L' D
B' U2 L B' R L' D'
B' U2 L B' R L' D2
B' U2 L B' R D L'
B' U2 L B' R D' L'
B' U2 L B' R D2 L'
B' U2 L B' D L' R
B' U2 L B' D R L'
B' U2 L B' D' L' R
B' U2 L B' D' R L'
B' U2 L B' D2 L' R
B' U2 L B' D2 R L'
B' U2 L B2 L' B R
L2 D2 U2 R D F B
L2 D2 U2 R D B F
L2 D2 U2 R D' F B
L2 D2 U2 R D' B F
L2 D2 U2 R D2 F B
L2 D2 U2 R D2 B F
L2 D2 U2 R F D B
L2 D2 U2 R F D' B
L2 D2 U2 R F D2 B
L2 D2 U2 R F B D
L2 D2 U2 R F B D'
L2 D2 U2 R F B D2
L2 D2 U2 R B D F
L2 D2 U2 R B D' F
L2 D2 U2 R B D2 F
L2 D2 U2 R B F D
L2 D2 U2 R B F D'
L2 D2 U2 R B F D2
L2 D2 U2 R2 F R' B
R2 D2 U2 L2 R' F B
R2 D2 U2 L2 R' B F
R2 D2 U2 L2 F R' B
R2 D2 U2 R' L2 F B
R2 D2 U2 R' L2 B F
L2 D2 U2 B R F B
L2 D2 U2 B R B F
L2 D2 U2 B' R F B
L2 D2 U2 B' R B F
L2 D2 U2 B2 R F B
L2 D2 U2 B2 R B F
L' D2 F U2 R F' R
L' D2 F U2 F' R F'
R2 D2 F L2 R' F B
R2 D2 F L2 R' B F
L D2 U2 R B' D2 F2
R2 D2 F L2 F R' B
L D2 U2 R' F' R2 B'
L D2 U2 R' F' B' R2
L D2 U2 R' B' F' R2
R2 D2 F R' L2 F B
R2 D2 F R' L2 B F
R D2 U2 R' B' U2 B2
L D2 U2 B' R' F' R2
B' U2 R L D B' L'
B' U2 R L D' B' L'
B' U2 R L D2 B' L'
B' U2 R L B L' B2
B' U2 R L B' L' D
B' U2 R L B' L' D'
B' U2 R L B' L' D2
B' U2 R L B' D L'
B' U2 R L B' D' L'
B' U2 R L B' D2 L'
B' U2 R L B2 L' B
R2 D2 F' L2 R' F B
R2 D2 F' L2 R' B F
R2 D2 F' L2 F R' B
R2 D2 F' R' L2 F B
R2 D2 F' R' L2 B F
B' U2 R U' L U B'
B' U2 R D2 R' B R
L2 D2 F2 L' U2 F' B'
L2 D2 F2 L' U2 B' F'
B' U2 R B L B' L'
B' U2 R B' L B' L'
B' U2 R B2 L B' L'
B' U2 R' L B' L' R2
B' U2 R' L B' R2 L'
R2 D2 F2 L2 R' F B
R2 D2 F2 L2 R' B F
R2 D2 F2 L2 F R' B
R2 D2 F2 R' L2 F B
R2 D2 F2 R' L2 B F
D2 U2 B R' B R2 F'
L D2 F' U2 B' R' F'
U2 D2 B R' B R2 F'
R' D2 B' L2 R F' U2
R' D2 B' R L2 F' U2
R' D2 B' R F' L2 U2
L2 D2 B U2 R F B
L2 D2 B U2 R B F
B' U2 R2 D2 R' D B
B' U2 R2 D2 R' D' B
B' U2 R2 D2 R' D2 B
B' U2 R2 D2 R' B D
B' U2 R2 D2 R' B D'
B' U2 R2 D2 R' B D2
B2 U2 R2 D2 F' R' B
L D2 B R B2 L F
B2 U2 R2 F' D2 R' B
L2 D2 B' U2 R F B
L2 D2 B' U2 R B F
B' U2 D R2 D R' B
B U2 R2 D2 R' F2 B
B U2 R2 D2 R' B F2
B U2 R2 D2 F2 R' B
B' U2 D' R2 D' R' B
L2 D2 B2 U2 R F B
L2 D2 B2 U2 R B F
B' U2 D' B R D B2
L' F L D2 B' L U2
B' U2 D2 R U2 F' U2
B' U2 D2 R' B R2 D
B' U2 D2 R' B R2 D'
B' U2 D2 R' B R2 D2
B' U2 D2 R' B' R2 B2
B' U2 D2 R' B2 R2 B'
L2 F L F L' U2 F'
B' U2 D2 B R' B R2
B' U2 D2 B' R' B R2
B' U2 D2 B2 R' B R2
L' F L' U2 F' R F2
R' F L2 R2 F L' B'
B U2 D2 R' F2 B R2
B U2 D2 R' B R2 F2
B U2 D2 R' B F2 R2
R' F L2 F L' R2 B'
R' F L2 F L' B' R2
L' F L2 U2 R' F' R
R' F L2 F R2 L' B'
R F L B2 L F B
R F L B2 L B F
L F L2 F L' U2 F
B' U2 B L R B' L'
B' U2 B L B' L' R
B' U2 B L B' R L'
B' U2 B R L B' L'
B' U2 B R2 D2 R' B
R' F R2 L2 F L' B'
B' U2 B D2 R' B R2
B' U2 B' L R B' L'
B' U2 B' L B' L' R
B' U2 B' L B' R L'
B' U2 B' R L B' L'
B' U2 B' R2 D2 R' B
F2 U2 B' L' F U2 L
B' U2 B' D2 R' B R2
B' U2 B2 L R B' L'
B' U2 B2 L B' L' R
B' U2 B2 L B' R L'
B' U2 B2 R L B' L'
B' U2 B2 R2 D2 R' B
B' U2 B2 D2 R' B R2
L' F U2 F' D2 R F'
L F U2 R' F' R B'
L F U2 R' F' B' R
L F U2 R' B' F' R
L F U2 B' R' F' R
D2 F D2 B' L U2 B'
R2 F D2 L2 R' F B
R2 F D2 L2 R' B F
R2 F D2 L2 F R' B
R2 F D2 R' L2 F B
R2 F D2 R' L2 B F
B' D U2 R2 D R' B
R F B2 L B' D2 F2
L2 F' L F U2 R F
L' F' L' F2 U2 F' R
L2 F' L' U2 F2 B' R'
L2 F' L' U2 B' R' F2
L2 F' L' U2 B' F2 R'
R F' L B2 L F B
R F' L B2 L B F
F2 D B' D' L' F U2
L F' U2 R' F' B' R'
L F' U2 R' B' F' R'
L F' U2 D B' R' F'
L F' U2 D' B' R' F'
L F' U2 D2 B' R' F'
L F' U2 F B' R' F'
L F' U2 F' B' R' F'
L F' U2 F2 B' R' F'
L F' U2 B' R' D F'
L F' U2 B' R' D' F'
L F' U2 B' R' D2 F'
L F' U2 B' R' F' D
L F' U2 B' R' F' D'
L F' U2 B' R' F' D2
L F' U2 B' D R' F'
L F' U2 B' D' R' F'
L F' U2 B' D2 R' F'
L F' U2 B' F R' F'
L F' U2 B' F' R' F'
L F' U2 B' F2 R' F'
L F' D U2 B' R' F'
R2 F' D2 L2 R' F B
R2 F' D2 L2 R' B F
R2 F' D2 L2 F R' B
R2 F' D2 R' L2 F B
R2 F' D2 R' L2 B F
L F' D' U2 B' R' F'
D2 F' B' U2 B' R' B
L F' D2 U2 B' R' F'
B' D' U B' L U R
B' D' U B2 U R B
L' F2 L F' L2 U2 F
L' F2 L F' B' L2 U2
B' D' U2 R2 D' R' B
L' F2 L B' L2 F' U2
L' F2 L B' F' L2 U2
B' D' U2 B R D B2
L2 F2 L F L2 U2 F2
L' F2 L' U2 F D2 B2
R F' B2 L B' D2 F2
L' F2 L' D F' U2 F2
L' F2 L' D' F' U2 F2
L' F2 L' D2 F' U2 F2
L' F2 L' F' U2 F2 D
L' F2 L' F' U2 F2 D'
L' F2 L' F' U2 F2 D2
L' F2 L' F' D2 B2 U2
L' F2 L' F' B U2 F2
L' F2 L' F' B' U2 F2
L' F2 L' F' B2 U2 F2
L' F2 L' B F' U2 F2
L' F2 L' B' F' U2 F2
L2 F2 L' U2 D F' B'
L2 F2 L' U2 D B' F'
L2 F2 L' U2 D' F' B'
L2 F2 L' U2 D' B' F'
L2 F2 L' U2 D2 F' B'
L2 F2 L' U2 D2 B' F'
L2 F2 L' U2 F' D B'
L2 F2 L' U2 F' D' B'
L2 F2 L' U2 F' D2 B'
L2 F2 L' U2 F' B' D
L2 F2 L' U2 F' B' D'
L2 F2 L' U2 F' B' D2
L' F2 L' B2 F' U2 F2
L2 F2 L' U2 B' D F'
L2 F2 L' U2 B' D' F'
L2 F2 L' U2 B' D2 F'
L2 F2 L' U2 B' F' D
L2 F2 L' U2 B' F' D'
L2 F2 L' U2 B' F' D2
L2 F2 L' D U2 F' B'
L2 F2 L' D U2 B' F'
L2 F2 L' D' U2 F' B'
L2 F2 L' D' U2 B' F'
L2 F2 L' D2 U2 F' B'
L2 F2 L' D2 U2 B' F'
L2 F2 L' F U2 F2 B'
L2 F2 L' F U2 B' F2
L2 F2 L' F2 U2 F B'
L2 F2 L' F2 U2 B' F
L2 F2 L' B U2 F' B2
L2 F2 L' B U2 B2 F'
L2 F2 L' B2 U2 F' B
L2 F2 L' B2 U2 B F'
L' F2 L2 F' L U2 F
R F2 L B2 L F B
R F2 L B2 L B F
B' D' F2 D L' F U2
L F2 L2 F L B' U2
B2 D' B U' R' U' R2
B2 D' B U2 R D B2
F2 D' B' L' U L2 U
F2 D' B' L' U2 D' B2
F2 D' B' L' D F2 U2
F2 D' B' L' D' U2 B2
U' F2 U B' L' F U2
B' D2 L U2 R' B R2
F D' B' U L B' U
B' D2 L' U2 R' B R2
L2 F2 U2 F2 R F B
L2 F2 U2 F2 R B F
U2 F2 U2 B' L' F U2
B' D2 L2 U2 R' B R2
D' F2 D B' L' F U2
L2 F2 D L' U2 F' B'
L2 F2 D L' U2 B' F'
L2 F2 D' L' U2 F' B'
L2 F2 D' L' U2 B' F'
B' D2 R F' R' U2 R
D2 F2 D2 B' L' F U2
L2 F2 D2 L' U2 F' B'
L2 F2 D2 L' U2 B' F'
L' F2 B L' F' U2 F2
R2 F2 D2 L2 R' F B
R2 F2 D2 L2 R' B F
R2 F2 D2 L2 F R' B
R2 F2 D2 R' L2 F B
R2 F2 D2 R' L2 B F
L2 F2 B L' U2 F' B'
L2 F2 B L' U2 B' F'
D' F2 B' L' U L2 U
D' F2 B' L' U2 D' B2
D' F2 B' L' D F2 U2
D' F2 B' L' D' U2 B2
L' F2 B' L' F' U2 F2
D2 F2 B' D2 L' F U2
B D2 R' F2 L' B R2
B D2 R' F2 B L' R2
B D2 R' F2 B R2 L'
L2 F2 B' L' U2 F' B'
L2 F2 B' L' U2 B' F'
U2 F2 B' L' F U2 L
B D2 R' B F2 L' R2
B D2 R' B F2 R2 L'
L' F2 B2 L' F' U2 F2
L F2 B L' B' U2 B'
B' D2 U' R' U' B R2
L2 F2 B2 L' U2 F' B'
L2 F2 B2 L' U2 B' F'
L F2 B' L' B' U2 B
B' D2 U2 R U2 F' U2
B' D2 U2 R' B R2 D
B' D2 U2 R' B R2 D'
B' D2 U2 R' B R2 D2
B' D2 U2 R' B' R2 B2
B' D2 U2 R' B2 R2 B'
B' D2 U2 B R' B R2
B' D2 U2 B' R' B R2
B' D2 U2 B2 R' B R2
L F2 B2 L' B' U2 B2
L' B L' U2 R F B
L' B L' U2 R B F
R F2 B2 L B' D2 F2
L B L R F B2 L
L B L R B2 F L
L B L U2 R F B2
L B L U2 R B2 F
B D2 U2 R' F2 B R2
B D2 U2 R' B R2 F2
B D2 U2 R' B F2 R2
L B L U2 B2 R F
B' D2 F' U2 B' R' B
L B L' B' U2 R B'
L B L' B' U2 B' R
B' D2 F2 D2 L' F U2
L B R L F B2 L
L B R L B2 F L
B2 D2 B U2 R' B R2
L B R F B2 L F
L B R F' B2 L F
L B R F2 B2 L F
L B R B2 L D F
L B R B2 L D' F
L B R B2 L D2 F
L B R B2 L F D
L B R B2 L F D'
L B R B2 L F D2
L B R B2 D L F
L B R B2 D' L F
L B R B2 D2 L F
L B R B2 F L F
L B R B2 F' L F
L B R B2 F2 L F
F' D2 B' U2 B' R' B
U2 B R2 D2 R' F2 B
U2 B R2 D2 R' B F2
U2 B R2 D2 F2 R' B
F2 D2 B' D2 L' F U2
F D2 B' U2 B2 R' B
B' F L F' U2 R B'
B' F L F' U2 B' R
B' F L F2 U2 B' R'
F D2 B' D2 L U2 B'
D2 B U2 R' B R2 F'
B' F L' F L' U2 D
B' F L' F L' U2 D'
B' F L' F L' U2 D2
B' F L' F L' D U2
B' F L' F L' D' U2
B' F L' F L' D2 U2
B' F L' F D L' U2
B' F L' F D' L' U2
B' F L' F D2 L' U2
F2 B L B2 L2 U2 B
L2 B U2 R D F B
L2 B U2 R D B F
L2 B U2 R D' F B
L2 B U2 R D' B F
L2 B U2 R D2 F B
L2 B U2 R D2 B F
L2 B U2 R F D B
L2 B U2 R F D' B
L2 B U2 R F D2 B
L2 B U2 R F B D
L2 B U2 R F B D'
L2 B U2 R F B D2
L2 B U2 R B D F
L2 B U2 R B D' F
L2 B U2 R B D2 F
L2 B U2 R B F D
L2 B U2 R B F D'
L2 B U2 R B F D2
L2 B U2 R2 F R' B
L2 B U2 D R F B
L2 B U2 D R B F
L2 B U2 D' R F B
L2 B U2 D' R B F
F' B L' F B2 U2 R
L2 B U2 D2 R F B
L2 B U2 D2 R B F
B2 F L' F L' B U2
B2 F L' F B L' U2
F2 B L' D2 F U2 F
L2 B U2 B R F B
L2 B U2 B R B F
F2 B L' F U2 D2 F2
F2 B L' F D2 U2 F2
F' B L' B2 F U2 R
F2 B L' F B2 U2 D
F2 B L' F B2 U2 D'
F2 B L' F B2 U2 D2
F2 B L' F B2 D U2
F2 B L' F B2 D' U2
F2 B L' F B2 D2 U2
L2 B U2 B' R F B
L2 B U2 B' R B F
B2 F L' B F L' U2
L2 B U2 B2 R F B
L2 B U2 B2 R B F
B' F L2 F L' U2 B'
F2 B L' B2 D F U2
B' F L2 F' U2 R B
F2 B L' B2 D' F U2
F2 B L' B2 D2 F U2
F2 B L' B2 F U2 D
F2 B L' B2 F U2 D'
F2 B L' B2 F U2 D2
F2 B L' B2 F D U2
F2 B L' B2 F D' U2
F2 B L' B2 F D2 U2
L2 B D U2 R F B
L2 B D U2 R B F
L B U2 R' F' R2 B2
L B U2 R' F' B2 R2
L B U2 R' B2 F' R2
B F L' F L' B2 U2
B F L' F B2 L' U2
B F L' B2 F L' U2
F B L' F L' B2 U2
F B L' F B2 L' U2
L B U2 B2 R' F' R2
F B L' B2 F L' U2
L2 B D' U2 R F B
L2 B D' U2 R B F
U2 B D2 R' F2 B R2
U2 B D2 R' B R2 F2
U2 B D2 R' B F2 R2
L2 B D2 U2 R F B
L2 B D2 U2 R B F
L B D2 F2 L' B' U2
