U' L F' U2 F2
U' F' L U2 F
U' L U2 F D2 B2
U' L D F' U2 F2
U' L D' F' U2 F2
U' L D2 F' U2 F2
U' L F' U2 F2 D
U' L F' U2 F2 D'
U' L F' U2 F2 D2
U' L F' D2 B2 U2
U' L F' B U2 F2
U' L F' B' U2 F2
U' L F' B2 U2 F2
U' L B F' U2 F2
U' L B' F' U2 F2
U' L B2 F' U2 F2
U' L' F' L2 U2 F
U' L' F' B' L2 U2
U' L' B' L2 F' U2
U' L' B' F' L2 U2
R' U B2 R' F' B
R' U B2 R' B F'
R2 U B2 R' F' B'
R2 U B2 R' B' F'
R2 U' L U2 F B
R2 U' L U2 B F
L2 U' L' F' B' U2
L2 U' L' B' F' U2
U R' F' B2 R' B
B' R' B' U R' B
U R' B2 F' R' B
U' D L F' U2 F2
U' D F' L U2 F
U' D' L F' U2 F2
D2 U' L F' U2 F2
D' U' L F' U2 F2
D U' L F' U2 F2
U' D' F' L U2 F
D2 U' F' L U2 F
D' U' F' L U2 F
D U' F' L U2 F
U' D2 L F' U2 F2
U' D2 F' L U2 F
U' F L F2 U2 F'
U F D2 B2 R' F'
U' F' L U2 D F
U' F' L U2 D' F
U' F' L U2 D2 F
U' F' L U2 F D
U' F' L U2 F D'
U' F' L U2 F D2
U' F' L D U2 F
U' F' L D' U2 F
U' F' L D2 U2 F
U' F' L B U2 F
U' F' L B' U2 F
U' F' L B2 U2 F
U' F' L' B' L2 U2
U' F' D L U2 F
U' F' D' L U2 F
U' F' D2 L U2 F
U' F' B2 U2 R' F'
U B2 R2 B R F'
U' B2 F' U2 R' F'
U' F' L B' U2 D' F
U' F' L B' U2 D2 F
U' F' L B' U2 F D
U' F' L B' U2 F D'
U' F' L B' U2 F D2
U' F' L B' D U2 F
U' F' L B' D' U2 F
U' F' L B' D2 U2 F
U' F' L B2 U2 D F
U' F' L B2 U2 D' F
U' F' L B2 U2 D2 F
U' F' L B2 U2 F D
U' F' L B2 U2 F D'
U' F' L B2 U2 F D2
U' F' L B2 D U2 F
U' F' L B2 D' U2 F
U' F' L B2 D2 U2 F
U2 F' L U' L2 U' L2
U F B2 R' D2 F' B2
U F B2 R' D2 B2 F'
U' F' L' D2 B' U2 R2
U' F' L' B L2 B2 U2
U' F' L' B' L2 U2 D
U' F' L' B' L2 U2 D'
U' F' L' B' L2 U2 D2
U' F' L' B' L2 D U2
U' F' L' B' L2 D' U2
U' F' L' B' L2 D2 U2
U' F' L' B' U2 D2 R2
U' F' L' B' D2 U2 R2
U' F' L' B2 L2 B U2
U F B2 D2 R' F' B2
U F B2 D2 R' B2 F'
U F' L R B U2 L'
U F' L R' U2 L' F'
U F' L U2 L F L2
U' F' L2 B L' U2 F
U' F' L2 B' L' U2 F
U' F' L2 B2 L' U2 F
U F' R L B U2 L'
U F' R' L U2 L' F'
L F' U R' F U F2
L F' U F R' U F'
U' F' U2 B2 R' F' B2
U' F' U2 B2 R' B2 F'
U' F' D L U2 D F
U' F' D L U2 D' F
U' F' D L U2 D2 F
U' F' D L U2 F D
U' F' D L U2 F D'
U' F' D L U2 F D2
U' F' D L D U2 F
U' F' D L D' U2 F
U' F' D L D2 U2 F
U' F' D L B U2 F
U' F' D L B' U2 F
U' F' D L B2 U2 F
U' F' D L' B' L2 U2
U' F' D B2 U2 R' F'
U' F' D' L U2 D F
U' F' D' L U2 D' F
U' F' D' L U2 D2 F
U' F' D' L U2 F D
U' F' D' L U2 F D'
U' F' D' L U2 F D2
U' F' D' L D U2 F
U' F' D' L D' U2 F
U' F' D' L D2 U2 F
U' F' D' L B U2 F
U' F' D' L B' U2 F
U' F' D' L B2 U2 F
U' F' D' L' B' L2 U2
U' F' D' B2 U2 R' F'
U' F' D2 L U2 D F
U' F' D2 L U2 D' F
U' F' D2 L U2 D2 F
U' F' D2 L U2 F D
U' F' D2 L U2 F D'
U' F' D2 L U2 F D2
U' F' D2 L D U2 F
U' F' D2 L D' U2 F
U' F' D2 L D2 U2 F
U' F' D2 L B U2 F
U' F' D2 L B' U2 F
U' F' D2 L B2 U2 F
U' F' D2 L' B' L2 U2
U' F' D2 B2 U2 R' F'
U' F' B L' B' L U2
B' D' R' B' U R' B
U' F' B' L U2 F R
U' F' B' L' B' U2 R'
U' F' B2 L U2 R' F
U' F' B2 L U2 F R'
U' F' B2 U2 R' D F'
U' F' B2 U2 R' D' F'
U' F' B2 U2 R' D2 F'
U' F' B2 U2 R' F' D
U' F' B2 U2 R' F' D'
U' F' B2 U2 R' F' D2
U' F' B2 U2 D R' F'
U' F' B2 U2 D' R' F'
U' F' B2 U2 D2 R' F'
U' F' B2 U2 F R' F'
U' F' B2 U2 F' R' F'
U' F' B2 U2 F2 R' F'
U' F' B2 D U2 R' F'
U' F' B2 D' U2 R' F'
U' F' B2 D2 U2 R' F'
L F' B' U R' F U
L F' B' U F R' U
U F2 R' F' D2 B2 R'
U' F2 D F L U2 F
U' F2 D' F L U2 F
U F2 U2 F L U2 F
U' F2 D2 F L U2 F
B' D2 R' B' U R' B
U' B L' F' B' L U2
U F2 B2 R' F' D2 B2
U' B L' B' L F' U2
U' B L' B' F' L U2
F D2 F' U B2 R' F'
U B R' F' R' B R'
U B R' F' B R' B
U B R' B F' R' B
U B R2 B R F' R2
U' B F' L' B' L U2
U' B' L' F' B' U2 R'
U' B' L' B' F' U2 R'
R' B' R' B' U R' B2
D2 B' R' B' U R' B
D' B' R' B' U R' B
R2 B' R' B' U R' B'
D B' R' B' U R' B
U B' R' F' B' R' B
U B' R' B' F' R' B
U B' U2 F' L' B' U2
L' B' D2 R' U R' B
U' B' F' L U2 F R
U' B' F' L' B' U2 R'
U' B2 L F' U2 R' F2
U' B2 L F' U2 F2 R'
L B' F' U R' F U
L B' F' U F R' U
U B2 R' F' R' B R
U' B2 U2 R2 B R F'
U B2 R2 B R D F'
U B2 R2 B R D' F'
U B2 R2 B R D2 F'
U B2 R2 B R F' D
U B2 R2 B R F' D'
U B2 R2 B R F' D2
U B2 R2 B' R F' B2
U B2 R2 B' R B2 F'
U B2 R2 B2 R F' B'
U B2 R2 B2 R B' F'
U' B2 D F' U2 R' F'
U' B2 D' F' U2 R' F'
U B2 U2 F' U2 R' F'
U' B2 D2 F' U2 R' F'
U B2 D R2 B R F'
U' B2 F' L U2 R' F
U' B2 F' L U2 F R'
U B2 D' R2 B R F'
U' B2 F' U2 R' D F'
U' B2 F' U2 R' D' F'
U' B2 F' U2 R' D2 F'
U' B2 F' U2 R' F' D
U' B2 F' U2 R' F' D'
U' B2 F' U2 R' F' D2
U' B2 F' U2 D R' F'
U' B2 F' U2 D' R' F'
U' B2 F' U2 D2 R' F'
U' B2 F' U2 F R' F'
U' B2 F' U2 F' R' F'
U' B2 F' U2 F2 R' F'
U' B2 F' D U2 R' F'
U' B2 F' D' U2 R' F'
U' B2 F' D2 U2 R' F'
U B2 D2 R2 B R F'
U B2 F R' D2 F' B2
U B2 F R' D2 B2 F'
U B2 F D2 R' F' B2
U B2 F D2 R' B2 F'
U B2 F2 R' F' D2 B2
