B2 U' F B U
B2 U' B F U
U' F B' U B'
B' F U F' B'
B' F U B' F'
F B' U F' B'
F B' U B' F'
U' B' F U B'
R2 F B' U B' F' D'
R2 F B' U B' F' D2
R2 F B' D U F' B'
R2 F B' D U B' F'
D F B' U D' F' B2
D F B' U D' B2 F'
D F B' U F' D' B2
R2 F B' D' U F' B'
R2 F B' D' U B' F'
R2 F B' D2 U F' B'
R2 F B' D2 U B' F'
D F B' D' U F' B2
D F B' D' U B2 F'
B2 D U' F D B U
B2 D U' F D' B U
B2 D U' F D2 B U
B2 D U' F B U D
B2 D U' F B U D'
B2 D U' F B U D2
B2 D U' F B D U
B2 D U' F B D' U
B2 D U' F B D2 U
D F B2 L2 B U F'
R F B' U D F' B'
R F B' U D B' F'
R F B' U D' F' B'
R F B' U D' B' F'
R F B' U D2 F' B'
B2 D U' B D F U
R F B' U D2 B' F'
B2 D U' B D' F U
R F B' U F' D B'
R F B' U F' D' B'
R F B' U F' D2 B'
B2 D U' B D2 F U
R F B' U F' B' D
R F B' U F' B' D'
R F B' U F' B' D2
B2 D U' B F U D
B2 D U' B F U D'
B2 D U' B F U D2
B2 D U' B F D U
B2 D U' B F D' U
B2 D U' B F D2 U
R F B' U B' D F'
R F B' U B' D' F'
R F B' U B' D2 F'
R F B' U B' F' D
R F B' U B' F' D'
R F B' U B' F' D2
R F B' D U F' B'
R F B' D U B' F'
R F B' D' U F' B'
R F B' D' U B' F'
R F B' D2 U F' B'
R F B' D2 U B' F'
B' D F U D F' B'
B' D F U D B' F'
B' D F U D' F' B'
B' D F U D' B' F'
B' D F U D2 F' B'
B' D F U D2 B' F'
B' D F U F' D B'
B' D F U F' D' B'
B' D F U F' D2 B'
B' D F U F' B' D
B' D F U F' B' D'
B' D F U F' B' D2
B' D F U B' D F'
B' D F U B' D' F'
B' D F U B' D2 F'
B' D F U B' F' D
B' D F U B' F' D'
B' D F U B' F' D2
B' D F D U F' B'
B' D F D U B' F'
B' D F D' U F' B'
B' D F D' U B' F'
B' D F D2 U F' B'
B' D F D2 U B' F'
B2 D F B U F' B'
B2 D F B U B' F'
F2 D F' R2 B' L2 U
F2 D F' B' L2 R2 U
F2 D F' B' R2 L2 U
B2 D B F U F' B'
B2 D B F U B' F'
B' D B' U' F B U
B' D B' U' B F U
F2 D B' L2 F' R2 U
F D B L2 B2 U F'
F2 D B' F' L2 R2 U
F2 D B' F' R2 L2 U
F D B' L2 U D F'
F D B' L2 U D' F'
F D B' L2 U D2 F'
F D B' L2 U F' D
F D B' L2 U F' D'
F D B' L2 U F' D2
F D B' L2 D U F'
F D B' L2 D' U F'
F D B' L2 D2 U F'
U2 F' U F2 B' U B'
U2 F' U B' F2 U B'
F D B' U D' F' B2
F D B' U D' B2 F'
F D B' U F' D' B2
F D B' D' U F' B2
F D B' D' U B2 F'
F D B2 L2 B U F'
F2 D' L2 R2 F B U'
F2 D' L2 R2 B F U'
U F' U2 F2 B' U B'
U F' U2 B' F2 U B'
B' D' R F U F' B'
B' D' R F U B' F'
B D' L2 B R2 D L2
B' D' R' F U F' B'
B' D' R' F U B' F'
U' F' B' U D' B' L2
U' F' B' U B' D' L2
B' D' R2 F U F' B'
B' D' R2 F U B' F'
F2 D' R2 L2 F B U'
F2 D' R2 L2 B F U'
U' F' B' D' U B' L2
B2 D' U' F D B U
B2 D' U' F D' B U
B2 D' U' F D2 B U
B2 D' U' F B U D
B2 D' U' F B U D'
B2 D' U' F B U D2
B2 D' U' F B D U
B2 D' U' F B D' U
B2 D' U' F B D2 U
B2 D' U' B D F U
B2 D' U' B D' F U
B2 D' U' B D2 F U
B2 D' U' B F U D
B2 D' U' B F U D'
B2 D' U' B F U D2
B2 D' U' B F D U
B2 D' U' B F D' U
B2 D' U' B F D2 U
B D' U' F U B R2
B' D' F U D F' B'
B' D' F U D B' F'
B' D' F U D' F' B'
B' D' F U D' B' F'
B' D' F U D2 F' B'
B' D' F U D2 B' F'
B' D' F U F' D B'
B' D' F U F' D' B'
B' D' F U F' D2 B'
B' D' F U F' B' D
B' D' F U F' B' D'
B' D' F U F' B' D2
B' D' F U B' D F'
B' D' F U B' D' F'
B' D' F U B' D2 F'
B' D' F U B' F' D
B' D' F U B' F' D'
B' D' F U B' F' D2
B' D' F D U F' B'
B' D' F D U B' F'
B' D' F D' U F' B'
B' D' F D' U B' F'
B' D' F D2 U F' B'
B' D' F D2 U B' F'
B2 D' F B U F' B'
B2 D' F B U B' F'
B D' F U F' B R2
B D' F U B F' R2
B2 D' B F U F' B'
B2 D' B F U B' F'
B' D' B' U' F B U
B' D' B' U' B F U
B D' B R2 U' F U
B D' B U' F U R2
D2 F2 U F' B' U F'
D2 F2 U B' F' U F'
U2 F2 U F' B' U B'
U2 F2 U B' F' U B'
F D' B' U D F' B2
F D' B' U D B2 F'
F D' B' U F' D B2
F D' B' D U F' B2
F D' B' D U B2 F'
F D' B' D2 L2 U F'
U' F2 D F' B' L2 U
U' F2 D B' L2 F' U
U' F2 D B' F' L2 U
U F2 U2 F' B' U B'
U F2 U2 B' F' U B'
B' D2 R F U F' B'
B' D2 R F U B' F'
B D2 L2 B D L2 R2
B D2 L2 B D R2 L2
B' D2 R' F U F' B'
B' D2 R' F U B' F'
B' D2 R2 F U F' B'
B' D2 R2 F U B' F'
U' F2 B' D F' U B'
U' F2 B' D' F' U B'
U' F2 B' D2 F' U B'
D F2 B' L2 F' U F'
B2 D2 U' F D B U
B2 D2 U' F D' B U
B2 D2 U' F D2 B U
B2 D2 U' F B U D
B2 D2 U' F B U D'
B2 D2 U' F B U D2
B2 D2 U' F B D U
B2 D2 U' F B D' U
B2 D2 U' F B D2 U
B2 D2 U' B D F U
B2 D2 U' B D' F U
B2 D2 U' B D2 F U
B2 D2 U' B F U D
B2 D2 U' B F U D'
B2 D2 U' B F U D2
B2 D2 U' B F D U
B2 D2 U' B F D' U
B2 D2 U' B F D2 U
B' D2 F U D F' B'
B' D2 F U D B' F'
B' D2 F U D' F' B'
B' D2 F U D' B' F'
B' D2 F U D2 F' B'
B' D2 F U D2 B' F'
B' D2 F U F' D B'
B' D2 F U F' D' B'
B' D2 F U F' D2 B'
B' D2 F U F' B' D
B' D2 F U F' B' D'
B' D2 F U F' B' D2
B' D2 F U B' D F'
B' D2 F U B' D' F'
B' D2 F U B' D2 F'
B' D2 F U B' F' D
B' D2 F U B' F' D'
B' D2 F U B' F' D2
B' D2 F D U F' B'
B' D2 F D U B' F'
B' D2 F D' U F' B'
B' D2 F D' U B' F'
B' D2 F D2 U F' B'
B' D2 F D2 U B' F'
B2 D2 F B U F' B'
B2 D2 F B U B' F'
B2 D2 B F U F' B'
B2 D2 B F U B' F'
B' D2 B' U' F B U
B' D2 B' U' B F U
L2 B U F B2 U' B'
R' B U' F B2 U B'
L2 B U B2 F U' B'
F D2 B' U D2 F' B2
F D2 B' U D2 B2 F'
R' B U' B2 F U B'
F D2 B' U' F2 U2 F
F D2 B' D' L2 U F'
F D2 B' D2 U F' B2
F D2 B' D2 U B2 F'
B2 F L B U F' B'
B2 F L B U B' F'
R2 B U' F B2 U B'
D B U' F L2 B2 U
D B U' F B2 L2 U
R2 B U' B2 F U B'
D B U' B2 F L2 U
B' F L2 U F' D2 B2
B' F L2 U' F U2 F2
B2 F L' B U F' B'
B2 F L' B U B' F'
B F L B2 U F' B'
B F L B2 U B' F'
L2 B D L2 B D' R2
R B U' F B2 U B'
U' B D' F U B R2
F B L B2 U F' B'
F B L B2 U B' F'
R B U' B2 F U B'
B2 F L2 B U F' B'
B2 F L2 B U B' F'
U B U2 F B2 U B'
B F L' B2 U F' B'
B F L' B2 U B' F'
U B U2 B2 F U B'
F B L' B2 U F' B'
F B L' B2 U B' F'
U' B F L B2 U B'
U' B F L' B2 U B'
B F L2 B2 U F' B'
B F L2 B2 U B' F'
U' B F L2 B2 U B'
U' B F U D' B R2
F B L2 B2 U F' B'
F B L2 B2 U B' F'
U' B F D' U B R2
B' F R2 U B' D2 F2
B' F R2 U' B U2 B2
B' F U L' F' L B'
D B F L2 B2 U F'
B' F U R' B' R F'
B' F U D F' D B'
B' F U D F' D' B'
B' F U D F' D2 B'
B' F U D F' B' D
B' F U D F' B' D'
B' F U D F' B' D2
B' F U D B' D F'
B' F U D B' D' F'
B' F U D B' D2 F'
B' F U D B' F' D
B' F U D B' F' D'
B' F U D B' F' D2
B' F U D' F' D B'
B' F U D' F' D' B'
B' F U D' F' D2 B'
B' F U D' F' B' D
B' F U D' F' B' D'
B' F U D' F' B' D2
B' F U D' B' D F'
B' F U D' B' D' F'
B' F U D' B' D2 F'
B' F U D' B' F' D
B' F U D' B' F' D'
B' F U D' B' F' D2
B' F U D2 F' D B'
B' F U D2 F' D' B'
B' F U D2 F' D2 B'
B' F U D2 F' B' D
B' F U D2 F' B' D'
B' F U D2 F' B' D2
B' F U D2 B' D F'
B' F U D2 B' D' F'
B' F U D2 B' D2 F'
B' F U D2 B' F' D
B' F U D2 B' F' D'
B' F U D2 B' F' D2
B' F U F' R' B' R
B' F U F' R2 B' R2
B' F U F' D B' D
B' F U F' D B' D'
B' F U F' D B' D2
B' F U F' D' B' D
B' F U F' D' B' D'
B' F U F' D' B' D2
B' F U F' D2 B' D
B' F U F' D2 B' D'
B' F U F' D2 B' D2
B' F U F' B2 D B
B' F U F' B2 D' B
B' F U F' B2 D2 B
B' F U F2 D F B'
B' F U F2 D B' F
B' F U F2 D' F B'
B' F U F2 D' B' F
B' F U F2 D2 F B'
B' F U F2 D2 B' F
B' F U F2 B' D F
B' F U F2 B' D' F
B' F U F2 B' D2 F
B' F U B' L' F' L
B' F U B' L2 F' L2
B' F U B' D F' D
B' F U B' D F' D'
B' F U B' D F' D2
B' F U B' D' F' D
B' F U B' D' F' D'
B' F U B' D' F' D2
B' F U B' D2 F' D
B' F U B' D2 F' D'
B' F U B' D2 F' D2
B' F U B' F2 D F
B' F U B' F2 D' F
B' F U B' F2 D2 F
B' F U B2 D F' B
B' F U B2 D B F'
B' F U B2 D' F' B
B' F U B2 D' B F'
B' F U B2 D2 F' B
B' F U B2 D2 B F'
B' F U B2 F' D B
B' F U B2 F' D' B
B' F U B2 F' D2 B
B' F U' F U2 F2 B'
B' F U' F U2 B' F2
B' F U' F2 U2 F B'
B' F U' F2 U2 B' F
B' F U' B U2 F' B2
B' F U' B U2 B2 F'
B' F U' B2 U2 F' B
B' F U' B2 U2 B F'
U' B' L' U B L B'
B F U D' F' B R2
B F U D' B F' R2
B F U F' D' B R2
F B U D' F' B R2
F B U D' B F' R2
F B U F' D' B R2
B' F D U F' D B'
B' F D U F' D' B'
B' F D U F' D2 B'
B' F D U F' B' D
B' F D U F' B' D'
B' F D U F' B' D2
B' F D U B' D F'
B' F D U B' D' F'
B' F D U B' D2 F'
B' F D U B' F' D
B' F D U B' F' D'
B' F D U B' F' D2
U' B' R F R' U B'
B2 F D B U F' B'
B2 F D B U B' F'
B' F D' U F' D B'
B' F D' U F' D' B'
B' F D' U F' D2 B'
B' F D' U F' B' D
B' F D' U F' B' D'
B' F D' U F' B' D2
B' F D' U B' D F'
B' F D' U B' D' F'
B' F D' U B' D2 F'
B' F D' U B' F' D
B' F D' U B' F' D'
B' F D' U B' F' D2
R' B' R F U F' B'
R' B' R F U B' F'
F' B D' F L2 B R2
F' B D' F B L2 R2
F' B D' F B R2 L2
F' B D' B R2 F L2
F' B D' B F L2 R2
F' B D' B F R2 L2
B2 F D' B U F' B'
B2 F D' B U B' F'
B' F D2 U F' D B'
B' F D2 U F' D' B'
B' F D2 U F' D2 B'
B' F D2 U F' B' D
B' F D2 U F' B' D'
B' F D2 U F' B' D2
B' F D2 U B' D F'
B' F D2 U B' D' F'
B' F D2 U B' D2 F'
B' F D2 U B' F' D
B' F D2 U B' F' D'
B' F D2 U B' F' D2
L2 B' R F U' F' B'
L2 B' R F U' B' F'
R' B' R' F U F' B'
R' B' R' F U B' F'
B F D' U F' B R2
B F D' U B F' R2
R2 B' R F U F' B'
R2 B' R F U B' F'
D B' R F L2 U F'
U' B' R2 F R2 U B'
B2 F D2 B U F' B'
B2 F D2 B U B' F'
F B D' U F' B R2
F B D' U B F' R2
L2 B' R' F U' F' B'
L2 B' R' F U' B' F'
R' B' R2 F U F' B'
R' B' R2 F U B' F'
R2 B' R' F U F' B'
R2 B' R' F U B' F'
D B' R' F L2 U F'
R B' R F U F' B'
R B' R F U B' F'
L2 B' R2 F U' F' B'
L2 B' R2 F U' B' F'
U2 B' R2 F U F2 B'
U2 B' R2 F U B' F2
U' B' U B' U' F U
R2 B' R2 F U F' B'
R2 B' R2 F U B' F'
D B' R2 F L2 U F'
R B' R' F U F' B'
R B' R' F U B' F'
R B' R2 F U F' B'
R B' R2 F U B' F'
B' F' R F2 U F' B'
B' F' R F2 U B' F'
F' B' R F2 U F' B'
F' B' R F2 U B' F'
F B' L2 U F' D2 B2
U' B' D F U D B'
U' B' D F U D' B'
U' B' D F U D2 B'
U' B' D F U B' D
U' B' D F U B' D'
U' B' D F U B' D2
U' B' D F D U B'
U' B' D F D' U B'
U' B' D F D2 U B'
F B' L2 U' F U2 F2
R' B' D F U F' B'
R' B' D F U B' F'
B' F' R' F2 U F' B'
B' F' R' F2 U B' F'
D' B' D F U F' B2
D' B' D F U B2 F'
F' B' R' F2 U F' B'
F' B' R' F2 U B' F'
U' B' D' F U D B'
U' B' D' F U D' B'
U' B' D' F U D2 B'
U' B' D' F U B' D
U' B' D' F U B' D'
U' B' D' F U B' D2
U' B' D' F D U B'
U' B' D' F D' U B'
U' B' D' F D2 U B'
L2 B' D F U' F' B'
L2 B' D F U' B' F'
D2 B' D' F L2 U F'
R' B' D' F U F' B'
R' B' D' F U B' F'
B' F' R2 F2 U F' B'
B' F' R2 F2 U B' F'
R2 B' D F U F' B'
R2 B' D F U B' F'
F' B' R2 F2 U F' B'
F' B' R2 F2 U B' F'
U' B' D2 F U D B'
U' B' D2 F U D' B'
U' B' D2 F U D2 B'
U' B' D2 F U B' D
U' B' D2 F U B' D'
U' B' D2 F U B' D2
U' B' D2 F D U B'
U' B' D2 F D' U B'
U' B' D2 F D2 U B'
B' F' U D' F B' L2
B' F' U D' B' F L2
L2 B' D' F U' F' B'
L2 B' D' F U' B' F'
R' B' D2 F U F' B'
R' B' D2 F U B' F'
D2 B' D2 F U F' B2
D2 B' D2 F U B2 F'
D' B' D2 F L2 U F'
B' F' U B' D' F L2
U' B' F L2 U' F U2
F' B' U D' F B' L2
F' B' U D' B' F L2
R2 B' D' F U F' B'
R2 B' D' F U B' F'
U' B' F U R' B' R
D2 B' F L2 U F' B'
D2 B' F L2 U B' F'
U' B' F U R2 B' R2
U' B' F U D B' D
U' B' F U D B' D'
U' B' F U D B' D2
U' B' F U D' B' D
U' B' F U D' B' D'
U' B' F U D' B' D2
U' B' F U D2 B' D
U' B' F U D2 B' D'
U' B' F U D2 B' D2
U' B' F U B2 D B
U' B' F U B2 D' B
U' B' F U B2 D2 B
U' B' F U' F U2 B'
U' B' F U' F' U2 B'
U' B' F U' F2 U2 B'
D B' D' F U F' B2
D B' D' F U B2 F'
U' B' F U2 R U' B'
U' B' F U2 R' U' B'
U' B' F U2 R2 U' B'
F' B' U B' D' F L2
F B' R2 U B' D2 F2
U' B' F D U B' D
U' B' F D U B' D'
U' B' F D U B' D2
F B' R2 U' B U2 B2
U' B' F D' U B' D
U' B' F D' U B' D'
U' B' F D' U B' D2
R' B' F U D F' B'
R' B' F U D B' F'
R' B' F U D' F' B'
R' B' F U D' B' F'
R' B' F U D2 F' B'
R' B' F U D2 B' F'
D2 B' F U F' D2 B2
R' B' F U F' D B'
R' B' F U F' D' B'
R' B' F U F' D2 B'
R' B' F U F' B' D
R' B' F U F' B' D'
R' B' F U F' B' D2
R B' D F U F' B'
R B' D F U B' F'
R' B' F U B' D F'
R' B' F U B' D' F'
R' B' F U B' D2 F'
R' B' F U B' F' D
R' B' F U B' F' D'
R' B' F U B' F' D2
U' B' F D2 U B' D
U' B' F D2 U B' D'
U' B' F D2 U B' D2
D2 B' F U' F U2 F2
L2 B' D2 F U' F' B'
L2 B' D2 F U' B' F'
D' B' F U D F' B2
D' B' F U D B2 F'
D' B' F U F' D B2
R' B' F D U F' B'
R' B' F D U B' F'
R' B' F D' U F' B'
R' B' F D' U B' F'
R' B' F D2 U F' B'
R' B' F D2 U B' F'
D' B' F D U F' B2
D' B' F D U B2 F'
D' B' F D2 L2 U F'
U' B' F' U D' B' L2
U' B' F' U B' D' L2
R2 B' D2 F U F' B'
R2 B' D2 F U B' F'
F B' U L' F' L B'
U' B' F' D' U B' L2
U2 B' F R2 U F' B'
U2 B' F R2 U B' F'
B2 F' U' F2 B U F'
L2 B' F U' D F' B'
U2 B' F U B' D2 F2
L2 B' F U' D B' F'
L2 B' F U' D' F' B'
L2 B' F U' D' B' F'
L2 B' F U' D2 F' B'
L2 B' F U' D2 B' F'
B2 F' U' B F2 U F'
L2 B' F U' F' D B'
L2 B' F U' F' D' B'
L2 B' F U' F' D2 B'
L2 B' F U' F' B' D
L2 B' F U' F' B' D'
L2 B' F U' F' B' D2
L2 B' F U' B' D F'
L2 B' F U' B' D' F'
L2 B' F U' B' D2 F'
L2 B' F U' B' F' D
L2 B' F U' B' F' D'
L2 B' F U' B' F' D2
F B' U R' B' R F'
R B' D' F U F' B'
R B' D' F U B' F'
U2 B' F U' B U2 B2
L2 B' F D U' F' B'
L2 B' F D U' B' F'
F B' U D F' D B'
F B' U D F' D' B'
F B' U D F' D2 B'
F B' U D F' B' D
F B' U D F' B' D'
F B' U D F' B' D2
F B' U D B' D F'
F B' U D B' D' F'
F B' U D B' D2 F'
F B' U D B' F' D
F B' U D B' F' D'
F B' U D B' F' D2
L2 B' F D' U' F' B'
F B' U D' F' D B'
F B' U D' F' D' B'
F B' U D' F' D2 B'
L2 B' F D' U' B' F'
F B' U D' F' B' D
F B' U D' F' B' D'
F B' U D' F' B' D2
F B' U D' B' D F'
F B' U D' B' D' F'
F B' U D' B' D2 F'
F B' U D' B' F' D
F B' U D' B' F' D'
F B' U D' B' F' D2
F B' U D2 F' D B'
F B' U D2 F' D' B'
F B' U D2 F' D2 B'
F B' U D2 F' B' D
F B' U D2 F' B' D'
F B' U D2 F' B' D2
L2 B' F D2 U' F' B'
L2 B' F D2 U' B' F'
F B' U D2 B' D F'
F B' U D2 B' D' F'
F B' U D2 B' D2 F'
F B' U D2 B' F' D
F B' U D2 B' F' D'
F B' U D2 B' F' D2
D B' F L2 U D F'
D B' F L2 U D' F'
D B' F L2 U D2 F'
D B' F L2 U F' D
D B' F L2 U F' D'
D B' F L2 U F' D2
F B' U F' R' B' R
D B' F L2 D U F'
F B' U F' R2 B' R2
D B' F L2 D' U F'
D B' F L2 D2 U F'
F B' U F' D B' D
F B' U F' D B' D'
F B' U F' D B' D2
F B' U F' D' B' D
F B' U F' D' B' D'
F B' U F' D' B' D2
F B' U F' D2 B' D
F B' U F' D2 B' D'
F B' U F' D2 B' D2
F B' U F' B2 D B
F B' U F' B2 D' B
F B' U F' B2 D2 B
F B' U F2 D F B'
F B' U F2 D B' F
F B' U F2 D' F B'
F B' U F2 D' B' F
F B' U F2 D2 F B'
F B' U F2 D2 B' F
F B' U F2 B' D F
F B' U F2 B' D' F
F B' U F2 B' D2 F
R2 B' F U D F' B'
R2 B' F U D B' F'
R2 B' F U D' F' B'
R2 B' F U D' B' F'
R2 B' F U D2 F' B'
R2 B' F U D2 B' F'
R2 B' F U F' D B'
R2 B' F U F' D' B'
R2 B' F U F' D2 B'
R2 B' F U F' B' D
R2 B' F U F' B' D'
R2 B' F U F' B' D2
R2 B' F U B' D F'
R2 B' F U B' D' F'
R2 B' F U B' D2 F'
R2 B' F U B' F' D
R2 B' F U B' F' D'
R2 B' F U B' F' D2
F B' U B' L' F' L
F B' U B' L2 F' L2
U' B' F2 D F' U B'
F B' U B' D F' D
F B' U B' D F' D'
F B' U B' D F' D2
F B' U B' D' F' D
F B' U B' D' F' D'
F B' U B' D' F' D2
F B' U B' D2 F' D
F B' U B' D2 F' D'
F B' U B' D2 F' D2
F B' U B' F2 D F
F B' U B' F2 D' F
F B' U B' F2 D2 F
U' B' F2 D' F' U B'
D B' F U D' F' B2
D B' F U D' B2 F'
D B' F U F' D' B2
F B' U B2 D F' B
F B' U B2 D B F'
F B' U B2 D' F' B
F B' U B2 D' B F'
F B' U B2 D2 F' B
F B' U B2 D2 B F'
F B' U B2 F' D B
F B' U B2 F' D' B
F B' U B2 F' D2 B
R2 B' F D U F' B'
R2 B' F D U B' F'
U' B' F2 D2 F' U B'
R2 B' F D' U F' B'
R2 B' F D' U B' F'
R2 B' F D2 U F' B'
R2 B' F D2 U B' F'
D B' F D' U F' B2
D B' F D' U B2 F'
R B' D2 F U F' B'
R B' D2 F U B' F'
F B' U' F U2 F2 B'
F B' U' F U2 B' F2
F B' U' F2 U2 F B'
F B' U' F2 U2 B' F
F B' U' B U2 F' B2
F B' U' B U2 B2 F'
L' B2 L U' F B' U
L' B2 L U' B' F U
F B' U' B2 U2 F' B
F B' U' B2 U2 B F'
R B' F U D F' B'
R B' F U D B' F'
R B' F U D' F' B'
R B' F U D' B' F'
R B' F U D2 F' B'
R B' F U D2 B' F'
R B' F U F' D B'
R B' F U F' D' B'
R B' F U F' D2 B'
R B' F U F' B' D
R B' F U F' B' D'
R B' F U F' B' D2
R B' F U B' D F'
R B' F U B' D' F'
R B' F U B' D2 F'
R B' F U B' F' D
R B' F U B' F' D'
R B' F U B' F' D2
B' F' D' U F B' L2
B' F' D' U B' F L2
F2 B' D F' R2 U B'
D B' F2 L2 F' U F'
R B' F D U F' B'
R B' F D U B' F'
R B' F D' U F' B'
R B' F D' U B' F'
R B' F D2 U F' B'
R B' F D2 U B' F'
F' B' D' U F B' L2
F' B' D' U B' F L2
L' B2 L' U F B' U'
L' B2 L' U B' F U'
F B' D U F' D B'
F B' D U F' D' B'
F B' D U F' D2 B'
F B' D U F' B' D
F B' D U F' B' D'
F B' D U F' B' D2
F B' D U B' D F'
F B' D U B' D' F'
F B' D U B' D2 F'
F B' D U B' F' D
F B' D U B' F' D'
F B' D U B' F' D2
L B2 L U F B' U'
L B2 L U B' F U'
B F' D' F L2 B R2
B F' D' F B L2 R2
B F' D' F B R2 L2
B F' D' B R2 F L2
B F' D' B F L2 R2
B F' D' B F R2 L2
F B' D' U F' D B'
F B' D' U F' D' B'
F B' D' U F' D2 B'
F B' D' U F' B' D
F B' D' U F' B' D'
F B' D' U F' B' D2
F B' D' U B' D F'
F B' D' U B' D' F'
F B' D' U B' D2 F'
F B' D' U B' F' D
F B' D' U B' F' D'
F B' D' U B' F' D2
L B2 L' U' F B' U
L B2 L' U' B' F U
F B' D2 U F' D B'
F B' D2 U F' D' B'
F B' D2 U F' D2 B'
F B' D2 U F' B' D
F B' D2 U F' B' D'
F B' D2 U F' B' D2
F B' D2 U B' D F'
F B' D2 U B' D' F'
F B' D2 U B' D2 F'
F B' D2 U B' F' D
F B' D2 U B' F' D'
F B' D2 U B' F' D2
F B2 L B U F' B'
F B2 L B U B' F'
F B2 L' B U F' B'
F B2 L' B U B' F'
L2 B2 U D F B U'
L2 B2 U D B F U'
L2 B2 U D' F B U'
R' B2 U' D F B U
L2 B2 U D' B F U'
R' B2 U' D B F U
L2 B2 U D2 F B U'
R' B2 U' D' F B U
L2 B2 U D2 B F U'
R' B2 U' D' B F U
F B2 L2 B U F' B'
F B2 L2 B U B' F'
R' B2 U' D2 F B U
R' B2 U' D2 B F U
L2 B2 U F D B U'
L2 B2 U F D' B U'
L2 B2 U F D2 B U'
L2 B2 U F B U' D
L2 B2 U F B U' D'
L2 B2 U F B U' D2
L2 B2 U F B D U'
L2 B2 U F B D' U'
L2 B2 U F B D2 U'
R' B2 U' F D B U
R' B2 U' F D' B U
R' B2 U' F D2 B U
R' B2 U' F B U D
R' B2 U' F B U D'
R' B2 U' F B U D2
R' B2 U' F B D U
R' B2 U' F B D' U
R' B2 U' F B D2 U
L2 B2 U B D F U'
L2 B2 U B D' F U'
L2 B2 U B D2 F U'
L2 B2 U B F U' D
L2 B2 U B F U' D'
L2 B2 U B F U' D2
L2 B2 U B F D U'
L2 B2 U B F D' U'
L2 B2 U B F D2 U'
R' B2 U' B D F U
R' B2 U' B D' F U
R' B2 U' B D2 F U
R' B2 U' B F U D
R' B2 U' B F U D'
R' B2 U' B F U D2
R' B2 U' B F D U
R' B2 U' B F D' U
R' B2 U' B F D2 U
R2 B2 U' D F B U
R2 B2 U' D B F U
R2 B2 U' D' F B U
R2 B2 U' D' B F U
R2 B2 U' D2 F B U
R2 B2 U' D2 B F U
R2 B2 U' F D B U
R2 B2 U' F D' B U
R2 B2 U' F D2 B U
R2 B2 U' F B U D
R2 B2 U' F B U D'
R2 B2 U' F B U D2
R2 B2 U' F B D U
R2 B2 U' F B D' U
R2 B2 U' F B D2 U
D B2 U' F L2 B U
U' B2 D F B U B'
D B2 U' F B L2 U
R2 B2 U' B D F U
R2 B2 U' B D' F U
R2 B2 U' B D2 F U
R2 B2 U' B F U D
R2 B2 U' B F U D'
R2 B2 U' B F U D2
R2 B2 U' B F D U
R2 B2 U' B F D' U
R2 B2 U' B F D2 U
R' B2 D U' F B U
R' B2 D U' B F U
U' B2 D B F U B'
D B2 U' B F L2 U
U B2 U' F B U F'
U B2 U' B F U F'
U' B2 D' F B U B'
L2 B2 D U F B U'
R B2 U' D F B U
L2 B2 D U B F U'
R B2 U' D B F U
R B2 U' D' F B U
R B2 U' D' B F U
R' B2 D' U' F B U
R' B2 D' U' B F U
R B2 U' D2 F B U
R B2 U' D2 B F U
U' B2 D' B F U B'
R B2 U' F D B U
R B2 U' F D' B U
R B2 U' F D2 B U
R B2 U' F B U D
R B2 U' F B U D'
R B2 U' F B U D2
R B2 U' F B D U
R B2 U' F B D' U
R B2 U' F B D2 U
F' B2 U' F2 B U F'
F' B2 U' B F2 U F'
R B2 U' B D F U
R B2 U' B D' F U
R B2 U' B D2 F U
B2 F2 U' F' B U F'
R B2 U' B F U D
R B2 U' B F U D'
R B2 U' B F U D2
R B2 U' B F D U
R B2 U' B F D' U
R B2 U' B F D2 U
B2 F2 U' B F' U F'
F2 B2 U' F' B U F'
R2 B2 D U' F B U
R2 B2 D U' B F U
F2 B2 U' B F' U F'
U' B2 D2 F B U B'
L2 B2 D' U F B U'
L2 B2 D' U B F U'
R' B2 D2 U' F B U
R' B2 D2 U' B F U
U' B2 D2 B F U B'
U' B2 F L B U B'
U' B2 F L' B U B'
U' B2 F L2 B U B'
B' F2 D F' R2 U B'
R2 B2 D' U' F B U
R2 B2 D' U' B F U
L2 B2 D2 U F B U'
U' B2 F D B U B'
L2 B2 D2 U B F U'
U' B2 F D' B U B'
R B2 D U' F B U
R B2 D U' B F U
U' B2 F D2 B U B'
R2 B2 D2 U' F B U
R2 B2 D2 U' B F U
R B2 D' U' F B U
R B2 D' U' B F U
D B2 F L2 B U F'
R B2 D2 U' F B U
R B2 D2 U' B F U
F B2 D B U F' B'
F B2 D B U B' F'
F B2 D' B U F' B'
F B2 D' B U B' F'
F B2 D2 B U F' B'
F B2 D2 B U B' F'
