F' R2 B2 U' F'
F' L R2 B2 U' F'
F' L' R2 B2 U' F'
F' L2 R2 B2 U' F'
B2 L2 F' R2 U' F2
F' R B2 R U' F'
F' R2 L B2 U' F'
F' R2 L' B2 U' F'
F' R2 L2 B2 U' F'
F' R2 U' D L2 F'
F' R2 U' D F' L2
F' R2 U' F' D L2
F' R2 D U' L2 F'
F' R2 D U' F' L2
F2 R2 F B2 U' F2
F R2 F2 B2 U' F
F' R2 B2 L U' F'
F' R2 B2 L' U' F'
F' R2 B2 L2 U' F'
F' R2 B2 U' D F'
F' R2 B2 U' D' F'
F' R2 B2 U' D2 F'
F' R2 B2 U' F' D
F' R2 B2 U' F' D'
F' R2 B2 U' F' D2
F' R2 B2 D U' F'
F' R2 B2 D' U' F'
F' R2 B2 D2 U' F'
F2 R2 B2 F U' F2
F R2 B2 F2 U' F
F' U' D B2 L2 F
B U' F' B R2 U'
B U' B F' R2 U'
F D L2 R2 F' B2
F D L2 R2 B2 F'
F D R2 L2 F' B2
F D R2 L2 B2 F'
F' D U' B2 L2 F
F D R2 F' L2 B2
F D R2 F' B2 L2
F D R2 B2 L2 F'
F D R2 B2 F' L2
L' F' R2 B2 U' F'
U' F' R2 B2 U' F'
U2 F' R2 B2 U' F'
L2 F' R2 B2 U' F'
L F' R2 B2 U' F'
U F' R2 B2 U' F'
F D B2 L2 R2 F
F D B2 L2 F R2
F D B2 R2 L2 F
D F' U' B2 L2 F
B2 F' L2 R2 U' F
B2 F' R2 L2 U' F
B2 F' R2 U B' U2
R2 B2 L2 F U' F2
F' B2 L2 R2 U' F
D B2 L2 F D R2
F' B2 R2 L2 U' F
F' B2 R2 U B' U2
R2 B2 U2 B' U F'
F D U B2 L2 R2 F
F D U B2 L2 F R2
F D U B2 R2 L2 F
B D U' F' B U' B
F D U' L2 R2 F' B2
F D U' L2 R2 B2 F'
B D U' B F' U' B
F D U' R2 L2 F' B2
F D U' R2 L2 B2 F'
U2 F' L' R2 B2 U' F'
L2 F' L' R2 B2 U' F'
U' F' L2 R2 B2 U' F'
F D U' R2 F' L2 B2
F D U' R2 F' B2 L2
F D U' R2 B2 L2 F'
F D U' R2 B2 F' L2
U F' L R2 B2 U' F'
L F' L R2 B2 U' F'
F D U' B2 L2 R2 F
F D U' B2 L2 F R2
F D U' B2 R2 L2 F
L' F' L2 R2 B2 U' F'
F D U2 L2 R2 F' B2
F D U2 L2 R2 B2 F'
F2 D F U' B2 L2 F
F D U2 R2 L2 F' B2
F D U2 R2 L2 B2 F'
F D U2 R2 F' L2 B2
F D U2 R2 F' B2 L2
F D U2 R2 B2 L2 F'
F D U2 R2 B2 F' L2
U2 F' L2 R2 B2 U' F'
L2 F' L2 R2 B2 U' F'
U F' L' R2 B2 U' F'
B2 D F' L2 U' F B2
B2 D F' L2 U' B2 F
L F' L' R2 B2 U' F'
F D U2 B2 L2 R2 F
F D U2 B2 L2 F R2
F D U2 B2 R2 L2 F
F D F L2 R2 F' B2
F D F L2 R2 B2 F'
B2 D F' U B' U2 B'
F D F R2 L2 F' B2
F D F R2 L2 B2 F'
F D F R2 F' L2 B2
F D F R2 F' B2 L2
F D F R2 B2 L2 F'
F D F R2 B2 F' L2
U' F' R B2 R U' F'
U F' L2 R2 B2 U' F'
L F' L2 R2 B2 U' F'
L' F' R B2 R U' F'
F D F B2 L2 R2 F
F D F B2 L2 F R2
F D F B2 R2 L2 F
F D F' L2 R2 F' B2
F D F' L2 R2 B2 F'
F D F' R2 L2 F' B2
F D F' R2 L2 B2 F'
F D F' R2 F' L2 B2
F D F' R2 F' B2 L2
F D F' R2 B2 L2 F'
F D F' R2 B2 F' L2
L2 F' R B2 R U' F'
U2 F' R B2 R U' F'
U' F' R2 L B2 U' F'
U' F' R2 L' B2 U' F'
U' F' R2 L2 B2 U' F'
U' F' R2 U' D L2 F'
U' F' R2 U' D F' L2
U' F' R2 U' F' D L2
U' F' R2 D U' L2 F'
U' F' R2 D U' F' L2
F D F' B2 L2 R2 F
F D F' B2 L2 F R2
F D F' B2 R2 L2 F
L' F' R2 L B2 U' F'
L' F' R2 L' B2 U' F'
L' F' R2 L2 B2 U' F'
F D F2 L2 R2 F' B2
F D F2 L2 R2 B2 F'
L' F' R2 U' D L2 F'
L' F' R2 U' D F' L2
L' F' R2 U' F' D L2
L' F' R2 D U' L2 F'
L' F' R2 D U' F' L2
F D F2 R2 L2 F' B2
F D F2 R2 L2 B2 F'
F D F2 R2 F' L2 B2
F D F2 R2 F' B2 L2
F D F2 R2 B2 L2 F'
F D F2 R2 B2 F' L2
U' F' R2 B2 L U' F'
U' F' R2 B2 L' U' F'
U' F' R2 B2 L2 U' F'
U' F' R2 B2 U' D F'
U' F' R2 B2 U' D' F'
U' F' R2 B2 U' D2 F'
U' F' R2 B2 U' F' D
U' F' R2 B2 U' F' D'
U' F' R2 B2 U' F' D2
U' F' R2 B2 D U' F'
U' F' R2 B2 D' U' F'
U' F' R2 B2 D2 U' F'
U F' R B2 R U' F'
U2 F' R2 L B2 U' F'
L2 F' R2 L B2 U' F'
U2 F' R2 L' B2 U' F'
L2 F' R2 L' B2 U' F'
L F' R B2 R U' F'
U2 F' R2 L2 B2 U' F'
L2 F' R2 L2 B2 U' F'
U2 F' R2 U' D L2 F'
U2 F' R2 U' D F' L2
L2 F' R2 U' D L2 F'
L2 F' R2 U' D F' L2
U2 F' R2 U' F' D L2
L2 F' R2 U' F' D L2
L' F' R2 B2 L U' F'
L' F' R2 B2 L' U' F'
L' F' R2 B2 L2 U' F'
L' F' R2 B2 U' D F'
L' F' R2 B2 U' D' F'
L' F' R2 B2 U' D2 F'
L' F' R2 B2 U' F' D
L' F' R2 B2 U' F' D'
L' F' R2 B2 U' F' D2
L' F' R2 B2 D U' F'
L' F' R2 B2 D' U' F'
L' F' R2 B2 D2 U' F'
U2 F' R2 D U' L2 F'
U2 F' R2 D U' F' L2
L2 F' R2 D U' L2 F'
L2 F' R2 D U' F' L2
F D F2 B2 L2 R2 F
F D F2 B2 L2 F R2
F D F2 B2 R2 L2 F
F' D B' U' B' L2 F
D' F' U R2 U2 F' B
D' F' U R2 U2 B F'
D F' R2 U' L2 F' B2
D F' R2 U' L2 B2 F'
D F' R2 U' F' L2 B2
D F' R2 U' F' B2 L2
D' F' U F' R2 U2 F'
D F' R2 U' B2 L2 F'
D F' R2 U' B2 F' L2
U2 F' R2 B2 L U' F'
U2 F' R2 B2 L' U' F'
L2 F' R2 B2 L U' F'
L2 F' R2 B2 L' U' F'
U2 F' R2 B2 L2 U' F'
L2 F' R2 B2 L2 U' F'
D' F' U F' B R2 U2
U2 F' R2 B2 U' D F'
U2 F' R2 B2 U' D' F'
U2 F' R2 B2 U' D2 F'
U2 F' R2 B2 U' F' D
U2 F' R2 B2 U' F' D'
U2 F' R2 B2 U' F' D2
L2 F' R2 B2 U' D F'
L2 F' R2 B2 U' D' F'
L2 F' R2 B2 U' D2 F'
L2 F' R2 B2 U' F' D
L2 F' R2 B2 U' F' D'
L2 F' R2 B2 U' F' D2
U2 F' R2 B2 D U' F'
U2 F' R2 B2 D' U' F'
L2 F' R2 B2 D U' F'
U2 F' R2 B2 D2 U' F'
L2 F' R2 B2 D' U' F'
L2 F' R2 B2 D2 U' F'
D' F' U B R2 U2 B
F D B U2 L2 B R2
D' F' U B F' R2 U2
F D B U2 B L2 R2
F D B U2 B R2 L2
U F' R2 L B2 U' F'
U F' R2 L' B2 U' F'
L F' R2 L B2 U' F'
U F' R2 L2 B2 U' F'
L F' R2 L' B2 U' F'
L F' R2 L2 B2 U' F'
U F' R2 U' D L2 F'
U F' R2 U' D F' L2
U F' R2 U' F' D L2
L F' R2 U' D L2 F'
L F' R2 U' D F' L2
U' F' U' D B2 L2 F
L F' R2 U' F' D L2
U F' R2 D U' L2 F'
U F' R2 D U' F' L2
L F' R2 D U' L2 F'
L F' R2 D U' F' L2
L' F' U' D B2 L2 F
F D B' R2 B' L2 F
U F' R2 B2 L U' F'
U F' R2 B2 L' U' F'
U F' R2 B2 L2 U' F'
U F' R2 B2 U' D F'
U F' R2 B2 U' D' F'
U F' R2 B2 U' D2 F'
U F' R2 B2 U' F' D
U F' R2 B2 U' F' D'
U F' R2 B2 U' F' D2
U F' R2 B2 D U' F'
U F' R2 B2 D' U' F'
U F' R2 B2 D2 U' F'
L F' R2 B2 L U' F'
L F' R2 B2 L' U' F'
L F' R2 B2 L2 U' F'
L F' R2 B2 U' D F'
L F' R2 B2 U' D' F'
L F' R2 B2 U' D2 F'
L F' R2 B2 U' F' D
L F' R2 B2 U' F' D'
L F' R2 B2 U' F' D2
L F' R2 B2 D U' F'
L F' R2 B2 D' U' F'
L F' R2 B2 D2 U' F'
U2 F' U' D B2 L2 F
D F' U B U2 L2 B
D F' U B U2 B L2
L2 F' U' D B2 L2 F
F D B2 L2 R' F R'
F D B2 L2 R2 D F
F D B2 L2 R2 D' F
F D B2 L2 R2 D2 F
F D B2 L2 R2 F D
F D B2 L2 R2 F D'
F D B2 L2 R2 F D2
F D B2 L2 F R2 D
F D B2 L2 F R2 D'
F D B2 L2 F R2 D2
F D B2 L2 F' R2 F2
F D B2 R' L2 F R'
F D B2 R2 L2 D F
F D B2 R2 L2 D' F
F D B2 R2 L2 D2 F
F D B2 R2 L2 F D
F D B2 R2 L2 F D'
F D B2 R2 L2 F D2
F D B2 R2 F L2 F
F D B2 R2 F' L2 F
F D B2 R2 F2 L2 F
D F' U' F B2 L2 F
D F' U' F' B2 L2 F
F D B2 F L2 R2 F
F D B2 F L2 F R2
F D B2 F R2 L2 F
D F' U' F2 B2 L2 F
F D B2 F' L2 R2 F
F D B2 F' L2 F R2
F D B2 F' R2 L2 F
F D B2 F2 L2 R2 F
F D B2 F2 L2 F R2
U' F' D U' B2 L2 F
F D B2 F2 R2 L2 F
D F' U' B2 L2 D F
D F' U' B2 L2 D' F
D F' U' B2 L2 D2 F
D F' U' B2 L2 F D
D F' U' B2 L2 F D'
D F' U' B2 L2 F D2
U F' U' D B2 L2 F
D F' U' B2 F L2 F
D F' U' B2 F' L2 F
D F' U' B2 F2 L2 F
L F' U' D B2 L2 F
L' F' D U' B2 L2 F
U2 F' D U' B2 L2 F
L2 F' D U' B2 L2 F
D2 F' D2 R2 B U' F'
U F' D U' B2 L2 F
F D' L2 R2 F2 U2 F
L F' D U' B2 L2 F
D F' D' R2 B2 U' F'
F D' L2 F2 R2 U2 F'
F D' L2 F2 B R2 U2
F D' L2 B R2 F2 U2
F D' L2 B F2 R2 U2
U' F' B2 L2 R2 U' F
U' F' B2 R2 L2 U' F
U' F' B2 R2 U B' U2
L' F' B2 L2 R2 U' F
F' D' U R2 F2 U2 F
L' F' B2 R2 L2 U' F
L' F' B2 R2 U B' U2
F' D' U F2 R2 U2 F'
F' D' U F2 B R2 U2
F' D' U B R2 F2 U2
F' D' U B F2 R2 U2
F D' R2 L2 F2 U2 F
U2 F' B2 L2 R2 U' F
L2 F' B2 L2 R2 U' F
U2 F' B2 R2 L2 U' F
U2 F' B2 R2 U B' U2
D F' B' U' B' L2 F
L2 F' B2 R2 L2 U' F
L2 F' B2 R2 U B' U2
R2 F' B2 L2 F U' F'
F D' R2 F2 L2 B' U2
U F' B2 L2 R2 U' F
L F' B2 L2 R2 U' F
U F' B2 R2 L2 U' F
U F' B2 R2 U B' U2
L F' B2 R2 L2 U' F
L F' B2 R2 U B' U2
D2 F2 L2 R2 B' U F'
D2 F2 L2 B' U D2 F2
D2 F2 L2 B' U' B2 U2
D2 F2 L2 B' D' R2 U
D2 F2 L2 B' D2 U F2
B2 D' F' U F' B' U2
B2 D' F' U B' F' U2
D2 F2 R2 L2 B' U F'
D' F2 R2 U' F U' F2
D' F2 R2 U2 F' D R2
U' F2 R2 F B2 U' F2
B D' F2 U' F B U'
B D' F2 U' B F U'
F D' F2 L2 R2 U2 F'
F D' F2 L2 B R2 U2
F D' F2 R2 L2 U2 F'
U' F2 R2 B2 F U' F2
L' F2 R2 F B2 U' F2
L' F2 R2 B2 F U' F2
F D' F2 B L2 R2 U2
F D' F2 B R2 L2 U2
U2 F2 R2 F B2 U' F2
L2 F2 R2 F B2 U' F2
F D' B L2 R2 F2 U2
F D' B L2 F2 R2 U2
F D' B R2 L2 F2 U2
F D' B R2 F2 L2 U2
U2 F2 R2 B2 F U' F2
L2 F2 R2 B2 F U' F2
F D' B F2 L2 R2 U2
F D' B F2 R2 L2 U2
U F2 R2 F B2 U' F2
L F2 R2 F B2 U' F2
U F2 R2 B2 F U' F2
L F2 R2 B2 F U' F2
D' F2 B R2 U' F U'
D2 F2 B2 L2 B' U F
R2 F2 B2 U2 B' U F
B2 D2 F' U2 L2 U F
D' B R2 F2 U B U
F D2 F2 B2 L2 U F
D2 B U F2 L2 B' U
U' B U' F' B R2 U'
U' B U' B F' R2 U'
L' B U' F' B R2 U'
L' B U' B F' R2 U'
U2 B U' F' B R2 U'
L2 B U' F' B R2 U'
F D2 B2 L2 F2 U F'
U2 B U' B F' R2 U'
L2 B U' B F' R2 U'
D B U' F' U' L2 B
D B U' F' U' B L2
F D2 B2 F2 L2 U F
L B U' F' B R2 U'
U B U' F' B R2 U'
L B U' B F' R2 U'
U B U' B F' R2 U'
B2 F L2 R2 F2 U' F'
F' B R2 U2 F' U F
B2 F R2 L2 F2 U' F'
B2 F R2 F2 L2 U' F
B2 F R2 F2 U B' U2
D' B F2 R2 U' F U'
B2 F U' D B2 R2 F'
F' B U' B R2 U' R2
F2 B U' F B R2 U'
F2 B U' B R2 F U'
F2 B U' B F R2 U'
B F U' F2 B R2 U'
B F U' B R2 F2 U'
B F U' B F2 R2 U'
F B U' F2 B R2 U'
F B U' B R2 F2 U'
F B U' B F2 R2 U'
B2 F D U' B2 R2 F'
B2 F' L2 R2 U' D F
B2 F' L2 R2 U' D' F
B2 F' L2 R2 U' D2 F
B2 F' L2 R2 U' F D
B2 F' L2 R2 U' F D'
B2 F' L2 R2 U' F D2
B2 F' L2 R2 D U' F
B2 F' L2 R2 D' U' F
B2 F' L2 R2 D2 U' F
B2 F' L2 U' D F B2
B2 F' L2 U' D B2 F
B2 F' L2 U' F D B2
B2 F' L2 D U' F B2
B2 F' L2 D U' B2 F
B' F' R2 D B' L2 U'
B' F' R2 D2 B' U' F2
B2 F' R2 L2 U' D F
B2 F' R2 L2 U' D' F
B2 F' R2 L2 U' D2 F
B2 F' R2 L2 U' F D
B2 F' R2 L2 U' F D'
B2 F' R2 L2 U' F D2
B2 F' R2 L2 D U' F
B2 F' R2 L2 D' U' F
B2 F' R2 L2 D2 U' F
B2 F' R2 U D B' U2
B2 F' R2 U D' B' U2
B2 F' R2 U D2 B' U2
B2 F' R2 U B' U2 D
B2 F' R2 U B' U2 D'
B2 F' R2 U B' U2 D2
B2 F' R2 U B' D U2
B2 F' R2 U B' D' U2
B2 F' R2 U B' D2 U2
B' F' R2 B' L2 U' F
F' B' R2 D B' L2 U'
B2 F' R2 U' L2 F L2
B' F' R2 B' U B' U2
F' B' R2 D2 B' U' F2
B2 F' R2 D L2 U' F
B2 F' R2 D U B' U2
B2 F' R2 D' L2 U' F
B2 F' R2 D' U B' U2
B2 F' R2 D2 L2 U' F
B2 F' R2 D2 U B' U2
F' B' R2 B' L2 U' F
F' B' R2 B' U B' U2
B F' R2 U2 F' U F
B2 F' U D B' U2 B'
B2 F' U D' F2 B' U2
B2 F' U D' B' F2 U2
R2 B' D' B' U' F' R2
B2 F' U B' U' R2 U'
B2 F' U B' U2 D B2
B2 F' U B' D U2 B2
B2 F' U B' D' F2 U2
R2 B' D2 F2 B' U' F
R2 B' D2 B' F2 U' F
B2 F' U2 D2 L2 U F
B F' U' B R2 U' R2
B2 F' D L2 U' F B2
B2 F' D L2 U' B2 F
D B' F' U' B' L2 F
B2 F' D U B' U2 B'
B2 F' D' U F2 B' U2
B2 F' D' U B' F2 U2
R2 B2 L U' F R F2
R2 B2 L F2 U' F R
U' B2 L2 F' R2 U' F2
B2 F' D2 U2 L2 U F
R2 B2 L' U' D F' R
R2 B2 L' D U' F' R
L' B2 L2 F' R2 U' F2
L2 B2 L2 F' R2 U' F2
U2 B2 L2 F' R2 U' F2
R2 B2 L2 U' F' D R2
D B2 L2 U F' U' F2
R2 B2 L2 D F U' F2
R2 B2 L2 D' F U' F2
R2 B2 L2 D2 F U' F2
R2 B2 L2 F L U' F2
D B2 L2 D F D R2
R2 B2 L2 F L' U' F2
R2 B2 L2 F L2 U' F2
R2 B2 L2 F U' F2 D
R2 B2 L2 F U' F2 D'
R2 B2 L2 F U' F2 D2
R2 B2 L2 F D' L2 U'
D B2 L2 D' F D R2
D B2 L2 D2 F D R2
D B2 L2 F R D R2
D B2 L2 F R' D R2
D B2 L2 F R2 D R2
D B2 L2 F U F2 U'
D B2 L2 F D R2 D
D B2 L2 F D R2 D'
D B2 L2 F D R2 D2
F' B2 L2 R2 U' D F
F' B2 L2 R2 U' D' F
F' B2 L2 R2 U' D2 F
F' B2 L2 R2 U' F D
F' B2 L2 R2 U' F D'
F' B2 L2 R2 U' F D2
F' B2 L2 R2 D U' F
F' B2 L2 R2 D' U' F
F' B2 L2 R2 D2 U' F
L B2 L2 F' R2 U' F2
U B2 L2 F' R2 U' F2
F' B2 L2 U' D F B2
F' B2 L2 U' D B2 F
F' B2 L2 U' F D B2
F' B2 L2 D U' F B2
F' B2 L2 D U' B2 F
R B2 R U2 B U F'
F B2 L2 R2 F2 U' F'
R B2 R' F' R2 U' F'
F' B2 R2 L2 U' D F
F' B2 R2 L2 U' D' F
F' B2 R2 L2 U' D2 F
F' B2 R2 L2 U' F D
F' B2 R2 L2 U' F D'
F' B2 R2 L2 U' F D2
F' B2 R2 L2 D U' F
F' B2 R2 L2 D' U' F
F' B2 R2 L2 D2 U' F
F' B2 R2 U D B' U2
F' B2 R2 U D' B' U2
F' B2 R2 U D2 B' U2
F' B2 R2 U B' U2 D
F' B2 R2 U B' U2 D'
F' B2 R2 U B' U2 D2
F' B2 R2 U B' D U2
F' B2 R2 U B' D' U2
F' B2 R2 U B' D2 U2
F' B2 R2 U' L2 F L2
F' B2 R2 D L2 U' F
F' B2 R2 D U B' U2
F' B2 R2 D' L2 U' F
F' B2 R2 D' U B' U2
F' B2 R2 D2 L2 U' F
D B2 U F' U' L2 F
F' B2 R2 D2 U B' U2
B2 F2 R2 F L2 U' F
B2 F2 R2 F U B' U2
F2 B2 R2 F L2 U' F
F2 B2 R2 F U B' U2
R2 B2 U' F' U' B' U
F' B2 U D B' U2 B'
F' B2 U D' F2 B' U2
F' B2 U D' B' F2 U2
F' B2 U B' U' R2 U'
F' B2 U B' U2 D B2
F' B2 U B' D U2 B2
F' B2 U B' D' F2 U2
F B2 R2 L2 F2 U' F'
R2 B2 U2 D B' U F'
R2 B2 U2 D' B' U F'
R2 B2 U2 D2 B' U F'
R2 B2 U2 B' U D F'
R2 B2 U2 B' U D' F'
R2 B2 U2 B' U D2 F'
R2 B2 U2 B' U F' D
R2 B2 U2 B' U F' D'
R2 B2 U2 B' U F' D2
R2 B2 U2 B' D U F'
R2 B2 U2 B' D' U F'
R2 B2 U2 B' D2 U F'
F B2 R2 F2 L2 U' F
F B2 R2 F2 U B' U2
R2 B2 D L2 F U' F2
R2 B2 D U2 B' U F'
F' B2 U2 D2 L2 U F
R2 B2 D' L2 F U' F2
B F2 U' F B R2 U'
B F2 U' B R2 F U'
B F2 U' B F R2 U'
F' B2 D L2 U' F B2
F' B2 D L2 U' B2 F
R2 B2 D' U2 B' U F'
F B2 U' D B2 R2 F'
F' B2 D U B' U2 B'
U' B2 F' L2 R2 U' F
R2 B2 D2 L2 F U' F2
U' B2 F' R2 L2 U' F
U' B2 F' R2 U B' U2
R2 B2 D2 U2 B' U F'
L' B2 F' L2 R2 U' F
F' B2 D' U F2 B' U2
F' B2 D' U B' F2 U2
L' B2 F' R2 L2 U' F
L' B2 F' R2 U B' U2
R2 B2 F L2 F U' F
D2 B2 F2 L2 B' U F
D B2 F L2 D R2 F
D B2 F L2 D F R2
L2 B2 F' L2 R2 U' F
U2 B2 F' L2 R2 U' F
L2 B2 F' R2 L2 U' F
L2 B2 F' R2 U B' U2
U2 B2 F' R2 L2 U' F
R2 B2 F U2 B' U F2
U2 B2 F' R2 U B' U2
R2 B2 F D' L2 F U'
F B2 D U' B2 R2 F'
F' B2 D2 U2 L2 U F
R2 B2 F' L2 F U' F'
L B2 F' L2 R2 U' F
U B2 F' L2 R2 U' F
L B2 F' R2 L2 U' F
L B2 F' R2 U B' U2
U B2 F' R2 L2 U' F
U B2 F' R2 U B' U2
R2 B2 F2 U2 B' U F
