D' L R2 B2 U2 B
D' L B2 R2 F' U2
D L2 R' F2 B R
D L2 R' B F2 R
D L2 R2 F2 R B
B2 L2 U' D R' B
B2 L2 D U' R' B
B2 L2 F' R U' R2
D L2 F2 R' B R2
F' R B2 L2 U' R'
D R' L2 F2 B R
D R' L2 B F2 R
D' R2 L B2 U2 B
D R2 L2 F2 R B
B2 U' D R' F2 B
B2 U' D R' B F2
B2 U' D F2 R' B
B2 D U' R' F2 B
B2 D U' R' B F2
B2 D U' F2 R' B
L2 F2 B2 U' R B
D F2 B2 L2 R' B
D F2 B2 R' L2 B
D F2 B2 R' B L2
B2 F' L2 R U' R2
B2 F' R L2 U' R2
D B2 L2 R' F2 B
D B2 L2 R' B F2
F' B2 L2 R U' R2
D B2 L2 F2 R' B
F' B2 R L2 U' R2
D B2 R' L2 F2 B
D B2 R' L2 B F2
D B2 R' F2 L2 B
D B2 R' F2 B L2
D B2 R' B L2 F2
D B2 R' B F2 L2
L2 B2 F2 U' R B
D B2 F2 L2 R' B
D B2 F2 R' L2 B
D B2 F2 R' B L2
D B2 L' R' B L' F2
U2 B2 L2 U' D R' B
U2 B2 L2 D U' R' B
U2 B2 L2 F' R U' R2
D B2 L2 R' F2 D B
D B2 L2 R' F2 D' B
D B2 L2 R' F2 D2 B
D B2 L2 R' F2 B D
D B2 L2 R' F2 B D'
D B2 L2 R' F2 B D2
R2 B2 L2 U' D R' B
D B2 L2 R' B F2 D
D B2 L2 R' B F2 D'
D B2 L2 R' B F2 D2
R2 B2 L2 D U' R' B
R2 B2 L2 F' R U' R2
D B2 L2 F R' F B
D B2 L2 F R' B F
D B2 L2 F2 R' D B
D B2 L2 F2 R' D' B
D B2 L2 F2 R' D2 B
D B2 L2 F2 R' B D
D B2 L2 F2 R' B D'
D B2 L2 F2 R' B D2
U B2 L2 U' D R' B
L2 B2 R F2 U' R B
U B2 L2 D U' R' B
F' B2 L2 R U' R2 D
F' B2 L2 R U' R2 D'
F' B2 L2 R U' R2 D2
F' B2 L2 R D' F2 U'
F' B2 L2 R F U' R2
F' B2 L2 R F' U' R2
F' B2 L2 R F2 U' R2
U B2 L2 F' R U' R2
F' B2 L2 U' R' D B2
R B2 L2 U' D R' B
D' B2 R2 L U2 R B'
D' B2 R2 L U2 B' R
B2 F2 L2 R2 U' R B
F' B2 L2 D R U' R2
D' B2 R2 L2 U2 R B
R B2 L2 D U' R' B
F' B2 L2 D' R U' R2
B2 F2 L2 U' R B R2
F2 B2 L2 R2 U' R B
F' B2 L2 D2 R U' R2
D B2 R F2 L2 R2 B'
D B2 R F2 L2 B' R2
D B2 R F2 R2 L2 B'
F2 B2 L2 U' R B R2
R B2 L2 F' R U' R2
L2 B2 R' F2 U' R B
B2 F2 L2 F R U' R2
D B2 R' L F2 L B
D B2 R' L' B L' F2
F2 B2 L2 F R U' R2
D B2 R' L2 F2 D B
D B2 R' L2 F2 D' B
D B2 R' L2 F2 D2 B
D B2 R' L2 F2 B D
D B2 R' L2 F2 B D'
D B2 R' L2 F2 B D2
D B2 R' L2 B F2 D
D B2 R' L2 B F2 D'
D B2 R' L2 B F2 D2
D' B2 R2 F2 L' F U2
F' B2 R L2 U' R2 D
F' B2 R L2 U' R2 D'
F' B2 R L2 U' R2 D2
F' B2 R L2 D' F2 U'
F' B2 R L2 F U' R2
F' B2 R L2 F' U' R2
F' B2 R L2 F2 U' R2
F' B2 R U' R2 D F2
D B2 R' F' L2 F' B
D B2 R' F' L2 B F'
D B2 R' F' B L2 F'
D B2 R' F2 L' B L'
D B2 R' F2 L2 D B
D B2 R' F2 L2 D' B
D B2 R' F2 L2 D2 B
D B2 R' F2 L2 B D
D B2 R' F2 L2 B D'
D B2 R' F2 L2 B D2
F' B2 R F L2 U' R2
D B2 R' F2 B L2 D
D B2 R' F2 B L2 D'
D B2 R' F2 B L2 D2
D B2 R' F2 B' L2 B2
D B2 R' B L F2 L
D B2 R' B L2 F2 D
D B2 R' B L2 F2 D'
D B2 R' B L2 F2 D2
F' B2 R F' L2 U' R2
D B2 R' B F' L2 F'
D B2 R' B F2 L2 D
D B2 R' B F2 L2 D'
D B2 R' B F2 L2 D2
D B2 R' B' L2 F2 B2
D B2 R' B' L2 B2 F2
F' B2 R F2 L2 U' R2
D B2 R' B' F2 L2 B2
L2 B2 R2 F2 U' R B
F B2 L2 U2 L U R'
U' B2 U' D R' F2 B
U' B2 U' D R' B F2
U' B2 U' D F2 R' B
L2 B2 U D' L' F U2
R' B2 U' D R' F2 B
R' B2 U' D R' B F2
R' B2 U' D F2 R' B
D B2 U L2 R' F2 B
D B2 U L2 R' B F2
D B2 U L2 F2 R' B
D B2 U R' L2 F2 B
D B2 U R' L2 B F2
D B2 U R' F2 L2 B
D B2 U R' F2 B L2
D B2 U R' B L2 F2
D B2 U R' B F2 L2
B2 F2 R2 L2 U' R B
F2 B2 R2 L2 U' R B
U2 B2 U' D R' F2 B
U2 B2 U' D R' B F2
U2 B2 U' D F2 R' B
D B2 U F2 L2 R' B
D B2 U F2 R' L2 B
D B2 U F2 R' B L2
D' B2 U2 R' B2 L B'
D' B2 U2 D2 L2 R' B
D' B2 U2 D2 R' L2 B
D' B2 U2 D2 R' B L2
D B2 U' L2 R' F2 B
D B2 U' L2 R' B F2
D B2 U' L2 F2 R' B
R2 B2 U' D R' F2 B
R2 B2 U' D R' B F2
R2 B2 U' D F2 R' B
D B2 U' R' L2 F2 B
D B2 U' R' L2 B F2
D B2 U' R' F2 L2 B
D B2 U' R' F2 B L2
D B2 U' R' B L2 F2
D B2 U' R' B F2 L2
U' B2 D U' R' F2 B
U' B2 D U' R' B F2
U' B2 D U' F2 R' B
D B2 U' F2 L2 R' B
R' B2 D U' R' F2 B
R' B2 D U' R' B F2
D B2 U' F2 R' L2 B
D B2 U' F2 R' B L2
R' B2 D U' F2 R' B
D B2 U2 L2 R' F2 B
D B2 U2 L2 R' B F2
U B2 U' D R' F2 B
U B2 U' D R' B F2
U B2 U' D F2 R' B
D B2 U2 L2 F2 R' B
D B2 U2 R' L2 F2 B
D B2 U2 R' L2 B F2
D B2 U2 R' F2 L2 B
D B2 U2 R' F2 B L2
D B2 U2 R' B L2 F2
D B2 U2 R' B F2 L2
F' B2 U' R' D F2 B2
F' B2 U' R' D B2 F2
R B2 U' D R' F2 B
R B2 U' D R' B F2
R B2 U' D F2 R' B
D B2 U2 F2 L2 R' B
D B2 U2 F2 R' L2 B
D B2 U2 F2 R' B L2
U2 B2 D U' R' F2 B
U2 B2 D U' R' B F2
U2 B2 D U' F2 R' B
R2 B2 D U' R' F2 B
R2 B2 D U' R' B F2
R2 B2 D U' F2 R' B
L2 B2 D' U L' F U2
D' B2 D2 R' B L2 F
D' B2 D2 U2 L2 R' B
D' B2 D2 U2 R' L2 B
D' B2 D2 U2 R' B L2
U B2 D U' R' F2 B
U B2 D U' R' B F2
U B2 D U' F2 R' B
F' B2 D R U' R2 F2
F' B2 D R U' F2 R2
R B2 D U' R' F2 B
R B2 D U' R' B F2
R B2 D U' F2 R' B
U' B2 F' L2 R U' R2
U' B2 F' R L2 U' R2
R' B2 F' L2 R U' R2
R' B2 F' R L2 U' R2
U2 B2 F' L2 R U' R2
D2 B2 F2 R2 U R B
L2 B2 F' R F' U' R
U2 B2 F' R L2 U' R2
D B2 F R' F L2 B
D B2 F R' F B L2
D B2 F R' B F L2
L2 B2 F' D R F' U'
R2 B2 F' L2 R U' R2
R2 B2 F' R L2 U' R2
D B2 F' L2 F' R' B
L2 B2 F2 U' R D B
L2 B2 F2 U' R D' B
L2 B2 F2 U' R D2 B
L2 B2 F2 U' R B D
L2 B2 F2 U' R B D'
L2 B2 F2 U' R B D2
L2 B2 F2 U' D R B
L2 B2 F2 U' D' R B
L2 B2 F2 U' D2 R B
L2 B2 F2 U' B R B
L2 B2 F2 U' B' R B
L2 B2 F2 U' B2 R B
L2 B2 F2 D U' R B
L2 B2 F2 D' U' R B
L2 B2 F2 D2 U' R B
U B2 F' L2 R U' R2
D B2 F2 L' R' B L'
U B2 F' R L2 U' R2
D B2 F2 L2 R' D B
D B2 F2 L2 R' D' B
D B2 F2 L2 R' D2 B
D B2 F2 L2 R' B D
D B2 F2 L2 R' B D'
D B2 F2 L2 R' B D2
D B2 F2 R' L' B L'
D B2 F2 R' L2 D B
D B2 F2 R' L2 D' B
D B2 F2 R' L2 D2 B
D B2 F2 R' L2 B D
D B2 F2 R' L2 B D'
D B2 F2 R' L2 B D2
D B2 F2 R' B L2 D
D B2 F2 R' B L2 D'
D B2 F2 R' B L2 D2
D B2 F2 R' B' L2 B2
R B2 F' L2 R U' R2
R B2 F' R L2 U' R2
