L R U L2 R B'
L R U L2 B' R
L R U R L2 B'
L2 R U L R B'
L2 R U L B' R
L2 R U R L B'
R L U L2 R B'
R L U L2 B' R
R L U R L2 B'
R2 L' U' R' U B'
L' R' D' R' F2 B'
L' R' D' R' B' F2
R' L' D' R' F2 B'
R' L' D' R' B' F2
L' R' D' F2 R' B'
R' L' D' F2 R' B'
L' R2 U' R' U B'
R L2 U L R B'
R L2 U L B' R
R L2 U R L B'
U' R U L' R B'
U' R U L' B' R
U' R U R L' B'
U2 R U L' B R
U R U L' R B
U R U R L' B
U R U R B L'
U R U R B L'
U2 R U B L' R
U2 R U B R L'
L' U' R U R B'
L' U' R U B' R
R2 U' R' U L' B'
R' D' L' R' F2 B'
R' D' L' R' B' F2
R' D' L' F2 R' B'
R' D' R' L' F2 B'
R' D' R' L' B' F2
L' B' R' D' R' F2
L' B' R' D' F2 R'
L' B' R2 U' R' U
L' B' U' R U R
R2 B' D L' F B'
R2 B' D L' B' F
R2 B2 L' D F2 B'
R2 B2 L' D B' F2
R2 B2 L' B' D F2
R2 B L' B' U' R' U
U2 B R U L' B R
U2 B R U B L' R
U2 B R U B R L'
R B L2 U L R B'
R B L2 U L B' R
R B L2 U R L B'
U B R L U L2 R
U B R L U R L2
L B R U L2 R B'
L B R U L2 B' R
L B R U R L2 B'
L' B R2 U' R' U B2
L' B R2 B2 U L U'
L' B U' R U R B2
L' B U' R U B2 R
R' B D' L' F2 B' R'
R' B D' L' B' R' F2
R' B D' L' B' F2 R'
U' B' R U L' R B'
U' B' R U L' B' R
U' B' R U R L' B'
R B' L U L2 R B'
R B' L U L2 B' R
R B' L U R L2 B'
R2 B' L' B' U L U'
U2 B' R U L' B R
U2 B' R U B L' R
U2 B' R U B R L'
L' B' R' U' R2 U R
L' B' R' D R' D2 F2
L' B' R' D' R F2 R2
L' B' R' D' R' F2 D
L' B' R' D' R' F2 D'
L' B' R' D' R' F2 D2
L' B' R' D' F R' F
L' B' R' D' F2 R' D
L' B' R' D' F2 R' D'
L' B' R' D' F2 R' D2
L' B' R' D' F2 D R'
L' B' R' D' F2 D' R'
L' B' R' D' F2 D2 R'
L' B' R' D2 R' D F2
L' B' R' F D' R' F2
L' B' R' F D' F2 R'
R B' L2 U L R B'
R B' L2 U L B' R
R B' L2 U R L B'
L' B' R' F' D' R' F2
L' B' R' F' D' F2 R'
L' B' R' F2 D' R' F2
L' B' R' F2 D' F2 R'
L B' R U L2 R B'
L B' R U L2 B' R
L B' R U R L2 B'
L' B' R2 U' R' U D
L' B' R2 U' R' U D'
L' B' R2 U' R' U D2
L' B' R2 U' R' D U
L' B' R2 U' R' D' U
L' B' R2 U' R' D2 U
L' B' R2 U' D R' U
L' B' R2 U' D' R' U
L' B' R2 U' D2 R' U
L' B' R2 D U' R' U
L' B' R2 D' U' R' U
L' B' R2 D2 U' R' U
L' B' R2 F U' R' U
L' B' R2 F' U' R' U
L' B' R2 F2 U' R' U
L' B' U D' F2 L' U'
L' B' U F2 L' U' R2
L' B' U' R U R D
L' B' U' R U R D'
L' B' U' R U R D2
L' B' U' R U D R
L' B' U' R U D' R
L' B' U' R U D2 R
L' B' U' R D U R
L' B' U' R D' U R
L' B' U' R D2 U R
L' B' U' R B U R
L' B' U' R B' U R
L' B' U' R B2 U R
L' B' U' D R B2 U
L' B' U' D B2 R U
L' B' U' B R U R
L' B' U' B' R U R
L' B' U' B2 R U R
L' B' D R' D' R2 F2
L' B' D R' D' F2 R2
L' B' D U' R B2 U
L' B' D U' B2 R U
R2 B' D L' D F B'
R2 B' D L' D B' F
R2 B' D L' D' F B'
R2 B' D L' D' B' F
R2 B' D L' D2 F B'
R2 B' D L' D2 F B'
R2 B' D L' D2 B' F
R2 B' D L' F D B'
R2 B' D L' F D' B'
R2 B' D L' F D2 B'
R2 B' D L' F B' D
R2 B' D L' F B' D'
R2 B' D L' F B' D2
R2 B' D L' B' D F
R2 B' D L' B' D' F
R2 B' D L' B' D2 F
R2 B' D L' B' F D
R2 B' D L' B' F D'
R2 B' D L' B' F D2
L' B' D' U F2 L' U'
R2 B' D B L' F B'
R2 B' D B L' B' F
R2 B' D B' L' F B'
R2 B' D B' L' B' F
R2 B' D B2 L' F B'
R2 B' D B2 L' B' F
L' B' F R D R F'
L' B' F2 R2 U L' U'
L' B' F2 U L' U' R2
D B2 L R U L2 B'
U' B2 R U L' R B'
U' B2 R U L' B' R
U' B2 R U R L' B'
R2 B2 L' D F2 D B'
R2 B2 L' D F2 D' B'
R2 B2 L' D F2 D2 B'
R2 B2 L' D F2 B' D
R2 B2 L' D F2 B' D'
R2 B2 L' D F2 B' D2
R2 B2 L' D B' F2 D
R2 B2 L' D B' F2 D'
R2 B2 L' D B' F2 D2
R B2 L U L2 R B'
R B2 L U L2 B' R
R B2 L U R L2 B'
R2 B2 L' D2 B' D' F2
R2 B2 L' F D F2 B'
R2 B2 L' F D B' F2
R2 B2 L' F B' D F2
R2 B2 L' F' D F2 B'
R2 B2 L' F' D B' F2
R2 B2 L' F' B' D F2
R2 B2 L' F2 D F2 B'
R2 B2 L' F2 D B' F2
R2 B2 L' F2 B' D F2
R2 B2 L' B' U L2 U'
R2 B2 L' B' D F2 D
R2 B2 L' B' D F2 D'
R2 B2 L' B' D F2 D2
R2 B2 L' B' F D F2
R2 B2 L' B' F' D F2
R2 B2 L' B' F2 D F2
R2 B2 L' B2 D F2 B
R2 B2 L' B2 D B F2
D B2 L2 R U L B'
U2 B2 R U L' B R
U2 B2 R U B L' R
U2 B2 R U B R L'
D B2 R L U L2 B'
D B2 R L2 U L B'
R B2 L2 U L R B'
R B2 L2 U L B' R
R B2 L2 U R L B'
L B2 R U L2 R B'
L B2 R U L2 B' R
L B2 R U R L2 B'
R2 B2 D L' D F2 B'
R2 B2 D L' D B' F2
R2 B2 D L' B' D F2
R2 B2 D' L' D F2 B'
R2 B2 D' L' D B' F2
R2 B2 D' L' B' D F2
R2 B2 D2 L' D F2 B'
R2 B2 D2 L' D B' F2
R2 B2 D2 L' B' D F2
