B2 U' R F U2
B2 L2 U' R U2 B'
B2 L2 F2 U B' L'
U' R D L2 U2 B'
U' R D F L2 U2
U' R D' F U2 R2
U' R F U B2 U
U' R F U2 D' R2
U' R F D L2 U2
U' R F D' U2 R2
F2 U L' D' R2 B
U' D L2 R U2 B'
U' D R L2 U2 B'
U' D R F L2 U2
F2 U D' L' R2 B
F2 U D' R2 L' B
F2 U D' R2 B L'
D U' L2 R U2 B'
D U' R L2 U2 B'
D U' R F L2 U2
B2 U' R D F U2
B2 U' R D' F U2
B2 U' R D2 F U2
B2 U' R F U2 D
B2 U' R F U2 D'
B2 U' R F U2 D2
B2 U' R F D U2
B2 U' R F D' U2
B2 U' R F D2 U2
B2 U' R' F R2 U2
B2 U' R2 F R' U2
B2 U' D R F U2
B2 U' D' R F U2
B2 U' D2 R F U2
R F U R' B2 U
B2 D U' R F U2
F2 D' U L' R2 B
F2 D' U R2 L' B
F2 D' U R2 B L'
B2 D' U' R F U2
D' F2 U L' R2 B
D' F2 U R2 L' B
D' F2 U R2 B L'
D' F2 U R2 B L'
L2 F2 B2 U L' B
L2 F2 B2 U B L'
B2 D2 U' R F U2
L2 B2 F2 U L' B
L2 B2 F2 U B L'
F2 D' B2 U R2 B L'
U' F2 U2 L' D' R2 B
U2 F2 U' L' D' R2 B
D F2 U D2 L' R2 B
D F2 U D2 R2 L' B
D F2 U D2 R2 B L'
U' F2 U2 D' L' R2 B
U' F2 U2 D' R2 L' B
U' F2 U2 D' R2 B L'
U2 F2 U' D' L' R2 B
U2 F2 U' D' R2 L' B
U2 F2 U' D' R2 B L'
D F2 U' L2 F' U2 L
U' F2 D L2 F' U2 L
B2 D2 L2 U' R U2 B'
U' F2 D' U2 L' R2 B
U' F2 D' U2 R2 L' B
U' F2 D' U2 R2 B L'
B2 D2 L2 F2 U B' L'
L2 F2 D' U R2 B' L'
U2 F2 D' U' L' R2 B
L2 F2 D' U B' L' R2
L2 F2 D' U B' R2 L'
U2 F2 D' U' R2 L' B
U2 F2 D' U' R2 B L'
R2 F2 D' R2 F2 L' B
R2 F2 D' R2 F2 B L'
R2 F2 D' R2 B F2 L'
D' F2 B U L' R2 B
D' F2 B U R2 L' B
D' F2 B U R2 B L'
D F2 D2 U L' R2 B
D F2 D2 U R2 L' B
D F2 D2 U R2 B L'
D' F2 B' U L' R2 B
D' F2 B' U R2 L' B
D' F2 B' U R2 B L'
L' F2 B2 L U L2 B'
L' F2 B2 L2 U L B'
D' F2 B2 U L' R2 B
D' F2 B2 U R2 L' B
D' F2 B2 U R2 B L'
F2 D2 U L' D R2 B
L2 F2 B2 L U L2 B
L2 F2 B2 L U B L2
L2 F2 B2 L2 U L B
L2 F2 B2 U L B L2
L2 F2 B2 U L' D B
L2 F2 B2 U L' D' B
L2 F2 B2 U L' D2 B
L2 F2 B2 U L' B D
L2 F2 B2 U L' B D'
L2 F2 B2 U L' B D2
L2 F2 B2 U D L' B
L2 F2 B2 U D B L'
L2 F2 B2 U D' L' B
L2 F2 B2 U D' B L'
L2 F2 B2 U D2 L' B
L2 F2 B2 U D2 B L'
L2 F2 B2 U B L' D
L2 F2 B2 U B L' D'
L2 F2 B2 U B L' D2
L2 F2 B2 U B D L'
L2 F2 B2 U B D' L'
L2 F2 B2 U B D2 L'
L2 F2 B2 U B' L' B2
B2 D2 U' R D F U2
B2 D2 U' R D' F U2
B2 D2 U' R D2 F U2
B2 D2 U' R F U2 D
B2 D2 U' R F U2 D'
B2 D2 U' R F U2 D2
B2 D2 U' R F D U2
B2 D2 U' R F D' U2
B2 D2 U' R F D2 U2
B2 D2 U' R' F R2 U2
L2 F2 B2 D U L' B
L2 F2 B2 D U B L'
B2 D2 U' R2 F R' U2
L2 F2 B2 D' U L' B
L2 F2 B2 D' U B L'
R2 F2 B2 R2 U L B
L2 F2 B2 D2 U L' B
L2 F2 B2 D2 U B L'
L F2 B2 L U B' L2
L F2 B2 U L B' L2
B' D2 B' U' R F U2
B D2 B U' R F U2
D B U' L2 R U2 B'
D B U' R L2 U2 B'
D B U' R F L2 U2
D' B F2 U L' R2 B
D' B F2 U R2 L' B
D' B F2 U R2 B L'
D B' U' L2 R U2 B'
D B' U' R L2 U2 B'
D B' U' R F L2 U2
D' B' F2 U L' R2 B
D' B' F2 U R2 L' B
D' B' F2 U R2 B L'
L' B2 L U' R F U2
B2 F' D' L2 F' U L'
L' B2 L' U' R U2 B'
L2 B2 L F2 U L' B
L2 B2 L F2 U B L'
B2 F' D' F' L2 U L
L' B2 L' F2 U B' L'
L B2 L U' R U2 B'
L2 B2 L' F2 U L' B
L2 B2 L' F2 U B L'
B2 F' D2 F' U L' B2
B2 F' D2 F' U B2 L'
L B2 L F2 U B' L'
R' B2 R U' R F U2
B2 F2 L U' F' U2 L2
F2 B2 L U' F' U2 L2
L B2 L' U' R F U2
R2 B2 L2 R2 U B' L'
L2 B2 L2 F2 U L' B
L2 B2 L2 F2 U B L'
B2 F2 L F2 U L2 B'
F2 B2 L F2 U L2 B'
B2 F2 L2 U' F' U2 L
F2 B2 L2 U' F' U2 L
R2 B2 R2 L2 U B' L'
R2 B2 R2 U L2 B' L'
R2 B2 R2 U' F U2 L
U' B2 U' R F B2 U2
U' B2 U' R B2 F U2
U2 B2 U R F U2 R'
U' B2 U' B2 R F U2
L2 B2 U F2 L' F2 B
L2 B2 U F2 L' B F2
L2 B2 U F2 B L' F2
L2 B2 U B U2 R U2
L2 B2 U B F2 L' F2
U2 B2 U' R F U2 F'
L2 B2 U' R2 F' R' U2
L2 B2 U' F' U2 B L
L2 B2 U' F2 U2 L' B
L2 B2 U' F2 U2 B L'
D B2 U' L2 R U2 B'
D B2 U' R L2 U2 B'
D B2 U' R F L2 U2
B2 F2 U L' R2 B R2
B2 F2 U L' U2 F' U2
F2 B2 U L' R2 B R2
F2 B2 U L' U2 F' U2
B2 F2 U R2 L' B R2
B2 F2 U R2 B L' R2
B2 F2 U R2 B R2 L'
F2 B2 U R2 L' B R2
F2 B2 U R2 B L' R2
F2 B2 U R2 B R2 L'
L B2 U' D2 R F' U2
B2 F2 U' R U2 L' B'
B2 F2 U' R2 U2 L' B
B2 F2 U' R2 U2 B L'
F2 B2 U' R U2 L' B'
F2 B2 U' R2 U2 L' B
F2 B2 U' R2 U2 B L'
L2 B2 D F2 U L' B
L2 B2 D F2 U B L'
B2 F2 U' F2 R F U2
F2 B2 U' F2 R F U2
R' B2 D2 R U L2 B'
B2 F2 U2 R2 U' L' B
B2 F2 U2 R2 U' B L'
F2 B2 U2 R2 U' L' B
F2 B2 U2 R2 U' B L'
L2 B2 D' F2 U L' B
L2 B2 D' F2 U B L'
L B2 D F2 U L' B'
L2 B2 D2 F2 U L' B
L2 B2 D2 F2 U B L'
F' B2 D' L2 F' U L'
F' B2 D' F' L2 U L
L B2 D2 U' R F' U2
L' B2 F2 L U L2 B'
L' B2 F2 L2 U L B'
D' B2 F2 U L' R2 B
D' B2 F2 U R2 L' B
D' B2 F2 U R2 B L'
F' B2 D2 F' U L' B2
F' B2 D2 F' U B2 L'
L2 B2 F2 L U L2 B
L2 B2 F2 L U B L2
L2 B2 F2 L2 U L B
L2 B2 F2 U L B L2
L2 B2 F2 U L' D B
L2 B2 F2 U L' D' B
L2 B2 F2 U L' D2 B
L2 B2 F2 U L' B D
L2 B2 F2 U L' B D'
L2 B2 F2 U L' B D2
L2 B2 F2 U D L' B
L2 B2 F2 U D B L'
L2 B2 F2 U D' L' B
L2 B2 F2 U D' B L'
L2 B2 F2 U D2 L' B
L2 B2 F2 U D2 B L'
L2 B2 F2 U B L' D
L2 B2 F2 U B L' D'
L2 B2 F2 U B L' D2
L2 B2 F2 U B D L'
L2 B2 F2 U B D' L'
L2 B2 F2 U B D2 L'
L2 B2 F2 U B' L' B2
L2 B2 F2 D U L' B
L2 B2 F2 D U B L'
L2 B2 F2 D' U L' B
L2 B2 F2 D' U B L'
L2 B2 F2 D2 U L' B
L2 B2 F2 D2 U B L'
R2 B2 F2 R2 U L B
L B2 F2 L U B' L2
L B2 F2 U L B' L2
