L' R F' R D2 B2
L R F' R B' L2
L' R F' D2 R B2
L' R F' D2 B2 R
R L F' R B' L2
L R F' B' L2 R
L R F' B' R L2
R L F' B' L2 R
R L F' B' R L2
L R B' L2 F' R
R L B' L2 F' R
L R B' F' L2 R
L R B' F' R L2
R L B' F' L2 R
R L B' F' R L2
D2 L' R' F B R'
D2 L' R' B R' F
D2 L' R' B F R'
R L' F' R D2 B2
R L' F' D2 R B2
R L' F' D2 B2 R
D2 L' F R' B R'
F L' F R U2 F'
D2 L' F B R' B
D2 L' B R' F B
D2 L' B R' B F
D2 L' B F R' B
D2 R' L' F B R'
D2 R' L' B R' F
D2 R' L' B F R'
D2 R' B L' R' F
D2 R' B L' F R'
D2 R' B R' L' F
L' F' R D2 F' B2
L' F' R D2 B2 F'
L F' R F' B' L2
L F' R B' L2 F'
L F' R B' F' L2
L F' B' L2 R F'
L F' B' R L2 F'
L F' B' R F' L2
D2 B L' R' F B
D2 B L' R' B F
D2 B L' F R' B
D2 B R' L' F B
D2 B R' L' B F
D2 B R' B L' F
L B' L2 R F' R
L B' L2 F' R F'
L B' R L2 F' R
L B' R F' L2 R
L B' R F' R L2
L B' F' L2 R F'
L B' F' R L2 F'
L B' F' R F' L2
L' F' R D2 B2 D2 F'
L' F' R D2 B2 F' D
L' F' R D2 B2 F' D'
L' F' R D2 B2 F' D2
L2 F' R L F' D2 B2
L2 F' R L' F' B' L2
L2 F' R L' B' L2 F'
L2 F' R L' B' F' L2
L' F' R F' R2 B R2
L' F' R F' U2 F' U2
L F' L2 R F' D2 B2
L' F' R B D2 F' B2
L' F' R B D2 B2 F'
L' F' R B' D2 F' B2
L' F' R B' D2 B2 F'
L' F' R B2 D2 F' B2
L' F' R B2 D2 B2 F'
L2 F' R F' L' B' L2
L' F' R' F' R2 F' B
L' F' R' F' R2 B F'
L F' R L2 F' D2 B2
R F' R L D2 B' L
L F' R F B' L2 F2
L F' R F' B L2 B2
L F' R F' B' L2 D
L F' R F' B' L2 D'
L F' R F' B' L2 D2
L F' R F' B2 L2 B
L' F' R2 D2 R' F' B2
L' F' R2 D2 R' B2 F'
L F' R B L2 F' B2
L F' R B L2 B2 F'
L F' R B F' L2 B2
L F' R B' L F' L
L F' R B' L2 D F'
L F' R B' L2 D' F'
L F' R B' L2 D2 F'
L F' R B' L2 F' D
L F' R B' L2 F' D'
L F' R B' L2 F' D2
L F' R B' F L2 F2
L F' R B' F' L2 D
L F' R B' F' L2 D'
L F' R B' F' L2 D2
L F' R B2 L2 F' B
L F' R B2 L2 B F'
L F' R B2 F' L2 B
L F' U R F' B' L2
L F' U R B' L2 F'
L F' U R B' F' L2
L2 F' U2 L R F' B
L2 F' U2 L R B F'
L F' U B' L2 R F'
L F' U B' R L2 F'
L F' U B' R F' L2
L2 F' U2 R L F' B
L2 F' U2 R L B F'
L2 F' U2 R F' L B
L F' U' R F' B' L2
L F' U' R B' L2 F'
L F' U' R B' F' L2
L F' U' B' L2 R F'
L F' U' B' R L2 F'
L F' U' B' R F' L2
L F' U2 R F' B' L2
L F' U2 R B' L2 F'
L F' U2 R B' F' L2
L F' U2 B' L2 R F'
L F' U2 B' R L2 F'
L F' U2 B' R F' L2
L' F' D2 B2 D2 R F'
L' F' B R D2 F' B2
L' F' B R D2 B2 F'
L' F' B' R D2 F' B2
L' F' B' R D2 B2 F'
L' F' B2 R D2 F' B2
L' F' B2 R D2 B2 F'
L F' B L2 R F' B2
L F' B L2 R B2 F'
L F' B L2 B2 R F'
L F' B R L2 F' B2
L F' B R L2 B2 F'
L F' B R F' L2 B2
L F' B R F' B2 L2
L F' B R B2 L2 F'
L F' B R B2 F' L2
L F' B' L R F' L
L F' B' L2 R D F'
L F' B' L2 R D' F'
L F' B' L2 R D2 F'
L F' B' L2 R F' D
L F' B' L2 R F' D'
L F' B' L2 R F' D2
L F' B' R L F' L
L F' B' R L2 D F'
L F' B' R L2 D' F'
L F' B' R L2 D2 F'
L F' B' R L2 F' D
L F' B' R L2 F' D'
L F' B' R L2 F' D2
L F' B' R F L2 F2
L F' B' R F' L2 D
L F' B' R F' L2 D'
L F' B' R F' L2 D2
L F' B2 L2 B R F'
L' F2 R F R F2 B
L' F2 R F R B F2
B' D2 L' R' F B R'
B' D2 L' R' B R' F
B' D2 L' R' B F R'
B2 D2 L' R' F B R'
B' D2 L' F R' B R'
B2 D2 L' R' B R' F
B2 D2 L' R' B F R'
B' D2 L' F B R' B
B' D2 L' B R' F B
B' D2 L' B R' B F
B' D2 L' B F R' B
B2 D2 L' F R' B R'
B2 D2 L' F B R' B
B2 D2 L' B R' F B
B2 D2 L' B R' B F
B2 D2 L' B F R' B
B D2 L' R' F B R'
B D2 L' R' B R' F
B D2 L' R' B F R'
B D2 L' F R' B R'
B D2 L' F B R' B
B D2 L' B R' F B
B D2 L' B R' B F
B D2 L' B F R' B
B' D2 R' L' F B R'
B' D2 R' L' B R' F
B' D2 R' L' B F R'
F2 D2 R F' L' U2 F
B2 D2 R' L' F B R'
B2 D2 R' L' B R' F
B2 D2 R' L' B F R'
B' D2 R' B L' R' F
B' D2 R' B L' F R'
B' D2 R' B R' L' F
B2 D2 R' B L' R' F
B2 D2 R' B L' F R'
B2 D2 R' B R' L' F
B D2 R' L' F B R'
B D2 R' L' B R' F
B D2 R' L' B F R'
B D2 R' B L' R' F
B D2 R' B L' F R'
B D2 R' B R' L' F
L F2 B' L2 F R F'
D2 B L' R' D F B
D2 B L' R' D B F
D2 B L' R' D' F B
D2 B L' R' D' B F
D2 B L' R' D2 F B
D2 B L' R' D2 B F
D2 B L' R' F D B
D2 B L' R' F D' B
D2 B L' R' F D2 B
D2 B L' R' F B D
D2 B L' R' F B D'
D2 B L' R' F B D2
D2 B L' R' B D F
D2 B L' R' B D' F
D2 B L' R' B D2 F
D2 B L' R' B F D
D2 B L' R' B F D'
D2 B L' R' B F D2
R' B L' F L' U2 L
D2 B L' F R' D B
D2 B L' F R' D' B
D2 B L' F R' D2 B
D2 B L' F R' B D
D2 B L' F R' B D'
D2 B L' F R' B D2
D2 B L' F' R' F2 B
D2 B L' F' R' B F2
R B L F' R B' L2
R B L F' B' L2 R
R B L F' B' R L2
R B L B' L2 F' R
R B L B' F' L2 R
R B L B' F' R L2
L' B R F' R D2 B2
L' B R F' D2 R B2
L' B R F' D2 B2 R
D2 B R' L' D F B
D2 B R' L' D B F
D2 B R' L' D' F B
D2 B R' L' D' B F
D2 B R' L' D2 F B
D2 B R' L' D2 B F
D2 B R' L' F D B
D2 B R' L' F D' B
D2 B R' L' F D2 B
D2 B R' L' F B D
D2 B R' L' F B D'
D2 B R' L' F B D2
D2 B R' L' B D F
D2 B R' L' B D' F
D2 B R' L' B D2 F
D2 B R' L' B F D
D2 B R' L' B F D'
D2 B R' L' B F D2
L B L2 R F' R B2
L B L2 R F' B2 R
L B L2 R B2 F' R
R B L' F' R D2 B2
R B L' F' D2 R B2
R B L' F' D2 B2 R
B' D2 B L' R' F B
B' D2 B L' R' B F
B' D2 B L' F R' B
B' D2 B R' L' F B
B' D2 B R' L' B F
B' D2 B R' B L' F
L B L2 F' R F' B2
L B L2 F' R B2 F'
D2 B R' B L' D F
D2 B R' B L' D' F
D2 B R' B L' D2 F
D2 B R' B L' F D
D2 B R' B L' F D'
D2 B R' B L' F D2
L B L2 F' B2 R F'
D2 B R' B' L' F B2
D2 B R' B' L' B2 F
B2 D2 B L' R' F B
B2 D2 B L' R' B F
L B L2 B2 R F' R
B2 D2 B L' F R' B
L B L2 B2 F' R F'
L B R L2 F' R B2
L B R L2 F' B2 R
B2 D2 B R' L' F B
B2 D2 B R' L' B F
L B R L2 B2 F' R
B2 D2 B R' B L' F
L B R F' L2 R B2
L B R F' L2 B2 R
L B R F' R L2 B2
L B R F' R B2 L2
L B R F' B2 L2 R
L B R F' B2 R L2
B D2 B L' R' F B
B D2 B L' R' B F
L B R B2 L2 F' R
B D2 B L' F R' B
D2 B U L' R' F B
D2 B U L' R' B F
L B R B2 F' L2 R
L B R B2 F' R L2
D2 B U L' F R' B
B D2 B R' L' F B
B D2 B R' L' B F
B D2 B R' B L' F
D2 B U R' L' F B
D2 B U R' L' B F
D2 B U R' B L' F
D2 B U' L' R' F B
D2 B U' L' R' B F
D2 B U' L' F R' B
D2 B U' R' L' F B
D2 B U' R' L' B F
D2 B U' R' B L' F
D2 B U2 L' R' F B
D2 B U2 L' R' B F
D2 B U2 L' F R' B
D2 B U2 R' L' F B
D2 B U2 R' L' B F
D2 B U2 R' B L' F
B' F L' F R U2 F'
B2 F L' F R U2 F'
B F L' F R U2 F'
F B L' F R U2 F'
R' B F L' F R U2
L' B F' R D2 F' B2
L' B F' R D2 B2 F'
L B F' L2 R F' B2
L B F' L2 R B2 F'
L B F' L2 B2 R F'
L B F' R L2 F' B2
L B F' R L2 B2 F'
L B F' R F' L2 B2
L B F' R F' B2 L2
L B F' R B2 L2 F'
L B F' R B2 F' L2
L B' L R F' L R
L B' L R F' R L
L B' L F' L R F'
L B' L F' R L F'
L B' L F' R F' L
R B' L F' R B' L2
R B' L F' B' L2 R
R B' L F' B' R L2
R B' L B' L2 F' R
R B' L B' F' L2 R
R B' L B' F' R L2
L' B' R F' R D2 B2
L' B' R F' D2 R B2
L' B' R F' D2 B2 R
L B' L2 R F' R D
L B' L2 R F' R D'
L B' L2 R F' R D2
L B' L2 R F' D R
L B' L2 R F' D' R
L B' L2 R F' D2 R
R B' L' F' R D2 B2
R B' L' F' D2 R B2
R B' L' F' D2 B2 R
L B' L2 F' R D F'
L B' L2 F' R D' F'
L B' L2 F' R D2 F'
L B' L2 F' R F' D
L B' L2 F' R F' D'
L B' L2 F' R F' D2
L B' R L F' L R
L B' R L F' R L
L B' R L2 F' R D
L B' R L2 F' R D'
L B' R L2 F' R D2
L B' R L2 F' D R
L B' R L2 F' D' R
L B' R L2 F' D2 R
L B' R F' L2 R D
L B' R F' L2 R D'
L B' R F' L2 R D2
L B' R F' L2 D R
L B' R F' L2 D' R
L B' R F' L2 D2 R
L B' R F' R L2 D
L B' R F' R L2 D'
L B' R F' R L2 D2
F B' L' F R U2 F'
L' B' F' R D2 F' B2
L' B' F' R D2 B2 F'
L B' F' L R F' L
L B' F' L2 R D F'
L B' F' L2 R D' F'
L B' F' L2 R D2 F'
L B' F' L2 R F' D
L B' F' L2 R F' D'
L B' F' L2 R F' D2
L B' F' R L F' L
L B' F' R L2 D F'
L B' F' R L2 D' F'
L B' F' R L2 D2 F'
L B' F' R L2 F' D
L B' F' R L2 F' D'
L B' F' R L2 F' D2
L B' F' R F L2 F2
L B' F' R F' L2 D
L B' F' R F' L2 D'
L B' F' R F' L2 D2
D2 B2 L' F B' R' B
L B' F2 L2 F R F'
D2 B2 L' B' R' F B
D2 B2 L' B' R' B F
D2 B2 L' B' F R' B
R B2 L F' R B' L2
R B2 L F' B' L2 R
R B2 L F' B' R L2
R B2 L B' L2 F' R
R B2 L B' F' L2 R
R B2 L B' F' R L2
L' B2 R F' R D2 B2
L' B2 R F' D2 R B2
L' B2 R F' D2 B2 R
R B2 L' F' R D2 B2
R B2 L' F' D2 R B2
R B2 L' F' D2 B2 R
L B2 L2 F' B R F'
L B2 L2 B R F' R
L B2 L2 B F' R F'
F B2 L' F R U2 F'
L' B2 F' R D2 F' B2
L' B2 F' R D2 B2 F'
L B2 F' L2 B R F'
