F L' U' L2 R2
F L' U' R2 L2
U' L R D R F'
F L R2 D F2 B2
F L R2 D B2 F2
F L' U' L2 R2 D
F L' U' L2 R2 D'
F L' U' L2 R2 D2
F L' U' R2 L2 D
F L' U' R2 L2 D'
F L' U' R2 L2 D'
F L' U' R2 L2 D2
F L' D' F2 B2 U'
F L' D' B2 F2 U'
F L' F U' L2 R2
F L' F U' R2 L2
F L' F' U' L2 R2
F L' F' U' R2 L2
D' L' F2 U' L2 F'
D' L' F2 U' F' L2
F L' F2 U' L2 R2
F L' F2 U' R2 L2
F L' B U' L2 R2
F L' B U' R2 L2
F L' B' U' L2 R2
F L' B' U' R2 L2
F L' B2 U' L2 R2
F L' B2 U' R2 L2
U' L2 R2 D' L' F
U' R L D R F'
U' R D L R F'
U' R D R L F'
U' R D R F' L
L2 U' R2 D' L' F
F R2 L D F2 B2
F R2 L D B2 F2
U' R2 L2 D' L' F
U' R2 D' L' F L2
U' R2 F L D F2
F2 U L F R2 B
R2 D' L' F L2 B'
F2 U' L R' F' R'
F U' L R2 D F2
F2 U' R' L F' R'
F2 U' R' F' L R'
F2 U' R' F' R' L
F U' R2 L D F2
F' U2 R U L R
F' U2 R U R L
L' F L' U' L' R2
L' F L' U' R2 L'
U' F L R2 D F2
R2 F L D F2 B2
R2 F L D B2 F2
L F L' U' L R2
L F L' U' R2 L
U' F R2 L D F2
U2 F' R U L R
U2 F' R U R L
F D' L' F2 U' L2
D' F2 L' U' F L2
F' D' F2 L' U' L2
U2 F2 U L R2 F
U2 F2 U L F R2
U2 F2 U R2 L F
D' F2 U' L' F L2
U' F R2 L U L2 U'
U' F R2 L D F2 D
U' F R2 L D F2 D'
U' F R2 L D F2 D2
U' F R2 L F D F2
U' F R2 L F' D F2
U' F R2 L F2 D F2
U' F R2 U L' U' L2
U' F R2 D L D F2
U' F R2 D' L D F2
U' F R2 D2 L D F2
F U2 F2 R U L R
F U2 F2 R U R L
U' F U L' U' L2 R2
U' F U L' U' R2 L2
R2 F R2 L' U' L2 R2
R2 F R2 L' U' R2 L2
U2 F U L R2 D F2
U F R2 L D F2 B
U F R2 L D B F2
U F R2 L B D F2
L F R2 U L' R2 U'
L F R2 U R2 L' U'
U2 F U R2 L D F2
R2 F U L' R2 U' L2
R2 F U R2 L' U' L2
U2 F U2 L' U' L2 R2
U2 F U2 L' U' R2 L2
D' F D F L' U' L2
U' F D' L D R2 F2
U' F D' L D F2 R2
R2 F D L B2 D F2
L' F D' L' F2 B2 U'
L' F D' L' B2 F2 U'
F D L' U' L2 D' R2
F D L' U2 B2 U L2
F D L' D' B2 U' R2
L' F D' B2 L' F2 U'
L F D' L' F2 U' L
L' F B L' U' L' R2
L' F B L' U' R2 L'
L' F B' L' U' L' R2
L' F B' L' U' R2 L'
L' F B2 L' U' L' R2
L' F B2 L' U' R2 L'
L F B L' U' L R2
L F B L' U' R2 L
U' F' L R' D' R' F2
U' F' L R' D' F2 R'
U' F' L R2 U' R' U
U' F' L U' R U R
L F B' L' U' L R2
L F B' L' U' R2 L
L F B2 L' U' L R2
L F B2 L' U' R2 L
D' F' L' F' U' L2 F2
D' F' L' F' U' F2 L2
U' F' R' L D' R' F2
U' F' R' L D' F2 R'
U2 F' R U L R D
U2 F' R U L R D'
U2 F' R U L R D2
U2 F' R U L D R
U2 F' R U L D' R
U2 F' R U L D2 R
U2 F' R U R L D
U2 F' R U R L D'
U2 F' R U R L D2
U2 F' R U R D L
U2 F' R U R D' L
U2 F' R U R D2 L
U2 F' R U D L R
U2 F' R U D R L
U2 F' R U D' L R
U2 F' R U D' R L
U2 F' R U D2 L R
U2 F' R U D2 R L
U2 F' R D U L R
U2 F' R D U R L
U' F' R' D' L R' F2
U' F' R' D' L F2 R'
U2 F' R D' U L R
U2 F' R D' U R L
U' F' R' D' R' L F2
U' F' R' D' R' F2 L
U' F' R' D' F2 L R'
U' F' R' D' F2 R' L
U2 F' R D2 U L R
U2 F' R D2 U R L
U' F' R2 L U' R' U
U' F' R2 U' R' U L
U' F' U' R U L R
U' F' U' R U R L
L' F' U2 R U L2 R
L' F' U2 R U R L2
F' D' L F2 L' U' L
F' D' L' F2 L' U' L'
F D' L F2 L2 U' L2
F D' L' U' L2 D R2
L' F' D' F2 L' B2 U'
L' F' D' F2 B2 L' U'
F D' L' F2 U' L2 D
F D' L' F2 U' L2 D'
F D' L' F2 U' L2 D2
F D' L' F2 D' B2 U'
F D' L' F2 B U' L2
F D' L' F2 B' U' L2
F D' L' F2 B2 U' L2
L' F' D' B2 F2 L' U'
F D' L' B F2 U' L2
F D' L' B' F2 U' L2
F D' L' B2 F2 U' L2
L F' D' F2 L' U' L
D' F2 L' U' F L2 D
D' F2 L' U' F L2 D'
D' F2 L' U' F L2 D2
D' F2 L' U' F' L2 F2
D' F2 L' U' F2 L2 F'
D' F2 L' D' B2 U' F
F D' U' L D R2 F2
F D' U' L D F2 R2
D' F2 L' B U' F L2
D' F2 L' B' U' F L2
D' F2 L' B2 U' F L2
F2 D' F' L' F' U' L2
F' D' F2 L' U' L2 D
F' D' F2 L' U' L2 D'
F' D' F2 L' U' L2 D2
F' D' F2 L' D' B2 U'
F' D' F2 L' B U' L2
F' D' F2 L' B' U' L2
F' D' F2 L' B2 U' L2
U2 F2 R U L R F
U2 F2 R U R L F
F' D' F2 U' L D F2
F' D' F2 D L' U' L2
F' D' F2 D' L' U' L2
F' D' F2 D2 L' U' L2
U2 F2 R' U L R' F
U2 F2 R' U L F R'
U2 F2 R' U R' L F
U' F2 R2 F' L D F2
F D' F2 U2 R U L
U2 F2 U L R' F R'
U2 F2 U L R2 D F
U2 F2 U L R2 D' F
U2 F2 U L R2 D2 F
U2 F2 U L R2 F D
U2 F2 U L R2 F D'
U2 F2 U L R2 F D2
U2 F2 U L F R2 D
U2 F2 U L F R2 D'
U2 F2 U L F R2 D2
U2 F2 U L F' R2 F2
D' F2 U' L U2 B' U2
U2 F2 U R' L F R'
D' F2 U' L' F L2 D
D' F2 U' L' F L2 D'
D' F2 U' L' F L2 D2
D' F2 U' L' F' L2 F2
U2 F2 U R2 L D F
U2 F2 U R2 L D' F
U2 F2 U R2 L D2 F
U2 F2 U R2 L F D
U2 F2 U R2 L F D'
U2 F2 U R2 L F D2
D' F2 U' L' F2 L2 F'
U2 F2 U R2 D L F
U2 F2 U R2 D' L F
U2 F2 U R2 D2 L F
U2 F2 U R2 F L F
U2 F2 U R2 F' L F
U2 F2 U R2 F2 L F
L' F2 U' L2 R' F' R'
U2 F2 U F L R2 F
U2 F2 U F L F R2
U2 F2 U F R2 L F
U2 F2 U F' L R2 F
U2 F2 U F' L F R2
L' F2 U' R' L2 F' R'
U2 F2 U F' R2 L F
L' F2 U' R' F' L2 R'
L' F2 U' R' F' R' L2
U2 F2 U F2 L R2 F
U2 F2 U F2 L F R2
U2 F2 U F2 R2 L F
D' F2 U' F L' F L2
D' F2 U' F' L' F L2
D' F2 U' F2 L' F L2
F D2 L' U L' U2 L'
F D2 L' F2 U' L2 R
F D2 L' F2 U' R L2
F2 D2 U L2 U2 L' F
L2 B U' R2 D' L' F
B2 F L' U R' U2 R'
B' F L' B U' L R2
B' F L' B U' R2 L
B2 F L' B2 U' L R2
B2 F L' B2 U' R2 L
B F L' B' U' L R2
B F L' B' U' R2 L
F B L' B' U' L R2
F B L' B' U' R2 L
L' B F L' U' L' R2
L' B F L' U' R2 L'
L B F L' U' L R2
L B F L' U' R2 L
L2 B' U' R2 D' L' F
F B' L' B U' L R2
F B' L' B U' R2 L
L' B' F L' U' L' R2
L' B' F L' U' R2 L'
L B' F L' U' L R2
L B' F L' U' R2 L
F B2 L' U R' U2 R'
D2 B2 U L2 R' U2 F'
D2 B2 U R' L2 U2 F'
F B2 L' B2 U' L R2
F B2 L' B2 U' R2 L
D B2 U R' B U2 R
L2 B2 U' R2 D' L' F
D B2 U' R' B U2 B'
B2 F2 U R' U2 R' F'
F2 B2 U R' U2 R' F'
L' B2 F L' U' L' R2
L' B2 F L' U' R2 L'
L B2 F L' U' L R2
L B2 F L' U' R2 L
