U B' U2 B' R'
L2 R' F' U' F2 B2
L2 R' F' U' B2 F2
R' L2 F' U' F2 B2
R' L2 F' U' B2 F2
R' L2 F' U' B2 F2
U L2 F R B2 L
L2 U F R B2 L
L2 U' F B' R' B'
L2 U' B' R' F B'
L2 U' B' R' B' F
L2 U' B' F R' B'
F' U B' U2 B' R'
F2 U B' U2 B' R'
F U B' U2 B' R'
B' U' B U' B2 R'
U F B' U2 R B'
R' F' L2 U' F B2
U F B' U2 B' R
R' F' L2 U' B2 F
R' F' U B' U2 B'
U' B' R B' R2 F'
U B' L2 F U2 R
U B' U2 R B' R'
U B' U2 R' B' R'
U B' U2 R2 B' R'
U B' U2 D B' R'
U B' U2 D' B' R'
U B' U2 D2 B' R'
U B' U2 B' R' D
U B' U2 B' R' D'
U B' U2 B' R' D2
U B' U2 B' R' D2
U B' U2 B' D R'
U B' U2 B' D' R'
U B' U2 B' D2 R'
U B' D U2 B' R'
U B' D' U2 B' R'
U B' D2 U2 B' R'
U B' F U2 R B'
U B' F U2 B' R
U' B2 R2 D2 F' R
U' B2 U2 B U2 R'
U' B2 U2 B U2 R'
U' B2 D2 R2 F' R
U' B2 U2 L2 B U2 R'
U B2 R2 F R F2 L'
U' B2 U2 B L U2 R'
U' B2 U2 B L' U2 R'
U' B2 U2 B L2 U2 R'
U' B2 U2 B U2 R' D
U' B2 U2 B U2 R' D'
U' B2 U2 B U2 R' D2
U' B2 U2 B U2 D R'
U' B2 U2 B U2 D' R'
U' B2 U2 B U2 D2 R'
U' B2 U2 B D U2 R'
U' B2 U2 B D' U2 R'
U' B2 U2 B D2 U2 R'
U' B2 U2 B' L B2 U2
U' B2 D R2 D F' R
B' F2 U' B U' B2 R'
U' B2 D2 R F' R F'
U' B2 D2 R2 F' R D
U' B2 D2 R2 F' R D'
U' B2 D2 R2 F' R D2
U' B2 D2 R2 F' D R
U' B2 D2 R2 F' D' R
U' B2 D2 R2 F' D2 R
U B2 U2 B L U2 L'
U' B2 D2 F' R2 F' R'
U' B2 F R2 D2 F' R
U B2 D B U2 B' R'
U' B2 F U2 B U2 R'
U' B2 F D2 R2 F' R
R' B2 F D L2 R2 F'
R' B2 F D R2 L2 F'
R' B2 F D R2 F' L2
U' B2 F' R2 D2 F' R
U' B2 F' U2 B U2 R'
U B2 D' B U2 B' R'
U' B2 F' D2 R2 F' R
U' B2 F2 R2 D2 F' R
U' B2 F2 U2 B U2 R'
U' B2 F2 D2 R2 F' R
U B2 D2 B U2 B' R'
U B2 F' L' B U2 B'
