B L2 D R2 U2 B
D' L2 D' R2 F' B
D' L2 D' R2 B F'
B L2 D F' R2 U2
B L2 D' F' U2 L2
B L2 F' U F' U
F' L2 B U F' U
D2 R2 D L2 F' B
D2 R2 D L2 B F'
D2 R2 D F' L2 B
D2 R2 D F' B L2
D2 R2 D B L2 F'
D2 R2 D B F' L2
D2 R2 F' D L2 B
D2 R2 F' D B L2
L2 D R2 U2 F' B
L2 D R2 U2 B F'
L2 D F' R2 U2 F'
L2 D F' B R2 U2
L2 D B R2 U2 B
L2 D B F' R2 U2
F2 U' L2 B U2 B2
L2 D' F' B U2 L2
L2 D' B F' U2 L2
F2 U' F L2 B U2
F2 U' F B L2 U2
F2 U' B L2 U2 B'
F2 U' B F L2 U2
L2 F' B U F' U
F' B L2 U F' U
L2 B D R2 U2 B
L2 B D F' R2 U2
L2 B D' F' U2 L2
L2 B F' U F' U
B F' L2 U F' U
U2 B L2 D F' R2 U2
U2 B L2 D' F' U2 L2
U2 B L2 F' U F' U
B' D2 F2 R2 D L2 B'
F D2 F U R2 F' B2
F D2 F U R2 B2 F'
B D2 F' U' B2 U' R2
B D2 F' U2 R2 D L2
U B L2 D R2 U2 B
U B L2 D F' R2 U2
U B L2 D' F' U2 L2
U B L2 F' U F' U
F' D2 B U F' U R2
L2 B R2 U F2 U B
L2 B R2 U2 D' L2 B
L2 B R2 U2 D' B L2
L2 B R2 U2 B D' L2
L2 B R2 D R2 F' U2
L2 B R2 D' U2 L2 B
L2 B R2 D' U2 B L2
D B R2 U' F2 U' B
D B R2 U2 D B R2
B' D2 B2 U' R2 F2 B
B' D2 B2 U' R2 B F2
D B R2 U2 B D R2
D B R2 D U2 B R2
D B R2 D' L2 U2 B
B2 D2 B2 U' R2 F' B
B2 D2 B2 U' R2 B F'
L2 B U F2 L2 U B'
L2 B U F2 U' F U2
D2 B U' B U' R2 B
L' B D L' R2 U2 B
L' B D L' F' R2 U2
L' B D R2 L' U2 B
F' B L2 R2 U' B U'
F' B L2 U D F' U
F' B L2 U D' F' U
F' B L2 U D2 F' U
F' B L2 U F' U D
F' B L2 U F' U D'
F' B L2 U F' U D2
F' B L2 U F' D U
F' B L2 U F' D' U
F' B L2 U F' D2 U
F' B L2 D U F' U
F' B L2 D' U F' U
L2 B D R2 U2 D B
L2 B D R2 U2 D' B
L2 B D R2 U2 D2 B
L2 B D R2 U2 B D
L2 B D R2 U2 B D'
L2 B D R2 U2 B D2
L2 B D R2 D U2 B
L2 B D R2 D' U2 B
L2 B D R2 D2 U2 B
L2 B D R2 F U2 B
L2 B D R2 F' U2 B
L2 B D R2 F2 U2 B
F' B L2 D2 U F' U
L2 B D F R2 F2 U2
L2 B D F' R2 U2 D
L2 B D F' R2 U2 D'
L2 B D F' R2 U2 D2
L2 B D F' R2 D U2
L2 B D F' R2 D' U2
L2 B D F' R2 D2 U2
L2 B D F' U2 D2 L2
L2 B D F' D2 U2 L2
L2 B D F2 R2 F U2
L2 B D' R2 U2 L2 B
L2 B D' R2 U2 B L2
R2 B D' L2 D' F' R2
R2 B D' L2 F' D' R2
L2 B D' F' R U2 L2
L2 B D' F' R' U2 L2
L2 B D' F' R2 U2 L2
L2 B D' F' U2 L2 D
L2 B D' F' U2 L2 D'
L2 B D' F' U2 L2 D2
L2 B D' F' D2 R2 U2
L2 B D' F2 U2 L2 B'
B F L2 F2 U' B' U'
R2 B D' F' L2 D' R2
F B L2 F2 U' B' U'
L2 B D2 F' U' B2 U'
L2 B D2 F' U2 D L2
L2 B D2 F' D U2 L2
L2 B D2 F' D' R2 U2
U' B F' L2 U F' U
F' B R2 L2 U' B U'
R2 B D2 F' R2 D L2
D2 B F' U' B U' R2
D' B F' U B U L2
L' B F' U F' U R
U2 B F' L2 U F' U
L2 B F' R2 U' B U'
L2 B F' U D F' U
L2 B F' U D' F' U
L2 B F' U D2 F' U
L2 B F' U F' U D
L2 B F' U F' U D'
L2 B F' U F' U D2
L2 B F' U F' D U
L2 B F' U F' D' U
L2 B F' U F' D2 U
F' B U D' F' B2 U
F' B U D' B2 F' U
F' B U D2 F' U R2
L2 B F' D U F' U
L2 B F' D' U F' U
F' B U F' U D2 R2
F' B U F' U' L2 U2
F' B U F' D' B2 U
F' B U F' D2 U R2
L2 B F' D2 U F' U
D B F' R2 U B U
U B F' L2 U F' U
F' B D' U F' B2 U
F' B D' U B2 F' U
F' B D2 U F' U R2
B2 F' L2 U F' U F2
B' F' L2 B2 U F' U
B2 F' L2 U2 F D' L2
F' B' L2 B2 U F' U
B F' L2 R2 U' B U'
B F' L2 U D F' U
B F' L2 U D' F' U
B F' L2 U D2 F' U
B F' L2 U F' U D
B F' L2 U F' U D'
B F' L2 U F' U D2
B F' L2 U F' D U
B F' L2 U F' D' U
B F' L2 U F' D2 U
B F' L2 D U F' U
B F' L2 D' U F' U
B F' L2 D2 U F' U
B F' R2 L2 U' B U'
F2 B' U D2 F2 R2 B
F2 B' U' L2 B2 U2 B
B F' U D' F' B2 U
B F' U D' B2 F' U
B F' U D2 F' U R2
B F' U F' U D2 R2
B F' U F' U' L2 U2
B F' U F' D' B2 U
B F' U F' D2 U R2
F2 B' U' F L2 B2 U2
F2 B' U' F B2 L2 U2
F2 B' U' B2 L2 U2 B'
F2 B' U' B2 F L2 U2
D2 B2 L2 U' R2 F B
D2 B2 L2 U' R2 B F
B F' D' U F' B2 U
B F' D' U B2 F' U
F2 B' D2 U F2 R2 B
B F' D2 U F' U R2
F' B2 L2 U F' U F2
F' B2 L2 U2 F D' L2
D' B2 R2 U L2 F B
D' B2 R2 U L2 B F
D' B2 U L2 F D2 B2
D2 B2 U F' B' U2 R2
D2 B2 U B' U2 R2 B
D2 B2 U B' F' U2 R2
D' B2 U F2 L2 F B'
D' B2 U F2 L2 B' F
D2 B2 U' R2 B D2 F2
D' B2 U' F' U2 L2 F
D' B2 U' F' B' U2 L2
D2 B2 U' B2 R2 F' B
D2 B2 U' B2 R2 B F'
D' B2 U' B' F' U2 L2
B' F2 U D2 F2 R2 B
B' F2 U' L2 B2 U2 B
B' F2 U' F L2 B2 U2
B' F2 U' F B2 L2 U2
B2 F2 U' L2 U2 F B'
B2 F2 U' L2 U2 B' F
B' F2 U' B2 L2 U2 B'
B' F2 U' B2 F L2 U2
L2 B2 D R2 B' U2 B2
F2 B2 U' L2 U2 F B'
F2 B2 U' L2 U2 B' F
L2 B2 D F' R2 B' U2
L2 B2 D F' B' R2 U2
B2 F2 U' F L2 U2 F
B2 F2 U' F B' L2 U2
L2 B2 D B' R2 U2 B
F2 B2 U' F L2 U2 F
L2 B2 D B' F' R2 U2
F2 B2 U' F B' L2 U2
B2 F2 U' B' L2 U2 B'
B2 F2 U' B' F L2 U2
F2 B2 U' B' L2 U2 B'
F2 B2 U' B' F L2 U2
L2 B2 D' F' U2 L2 F
L2 B2 D' F' B' U2 L2
L2 B2 D' B' F' U2 L2
B' F2 D2 U F2 R2 B
D' B2 F2 U L2 F B'
D' B2 F2 U L2 B' F
