D2 R2 B U' F2
D2 L R2 B U' F2
D2 L' R2 B U' F2
D2 L2 R2 B U' F2
D L2 D R2 B U'
F' L2 D' R2 B' U
F' L2 D' B' R2 U
U2 L2 D' F' R2 U
F' L2 D2 B' U F2
U2 L2 D2 F' U F'
U2 L2 F' U D2 F2
U2 L2 F' U' B2 U2
U2 L2 F' D' R2 U
U2 L2 F' D2 U F2
F' L2 B' U' B' U2
D2 R2 L B U' F2
D2 R2 L' B U' F2
D2 R2 L2 B U' F2
D2 R2 D' L2 B U'
D2 R2 D' B L2 U'
D2 R2 B L U' F2
D2 R2 B L' U' F2
D2 R2 B L2 U' F2
D2 R2 B U' F2 D
D2 R2 B U' F2 D'
D2 R2 B U' F2 D2
D2 R2 B D' L2 U'
U2 D' F' R2 U B2
D' U2 F' R2 U B2
B2 U2 L2 F' U F
B' U2 L2 F' U F2
R2 D2 B R2 U' F2
B' U2 F' L2 U F
U2 F' L2 U D2 F2
U2 F' L2 U' B2 U2
U2 F' L2 D' R2 U
U2 F' L2 D2 U F2
U2 F' D' R2 U B2
B D2 R2 B U' F'
D2 B R2 B U' F2
R2 B D2 R2 U' F'
D2 B' R2 B U' F2
F' B' L2 B' U F
B' F' L2 B' U F
D2 B2 R2 B U' F2
U B2 U L2 F' U
U B2 U F' L2 U
B D2 L2 R2 B U' F'
U2 F2 D' R2 F U B2
U2 F2 D' F R2 U B2
L2 F2 D2 F B2 U F
B' D2 R2 L2 B U' F
L2 F2 D2 B2 F U F
B' D2 R2 B U B2 U2
B' D2 R2 B U' D2 F2
B' D2 R2 B D L2 U'
B' D2 R2 B D2 U' F2
B2 D2 R2 B L2 U' F
B2 D2 R2 B U B' U2
B D2 R2 L B U' F'
B D2 R2 L' B U' F'
B D2 R2 L2 B U' F'
B D2 R2 D B U' F'
B D2 R2 D' B U' F'
B D2 R2 D2 B U' F'
D2 B L R2 B U' F2
B D2 R2 B L U' F'
B D2 R2 B L' U' F'
B D2 R2 B L2 U' F'
B D2 R2 B U' D F'
B D2 R2 B U' D' F'
B D2 R2 B U' D2 F'
B D2 R2 B U' F' D
B D2 R2 B U' F' D'
B D2 R2 B U' F' D2
B D2 R2 B D U' F'
B D2 R2 B D' U' F'
B D2 R2 B D2 U' F'
B2 D2 U' R2 B U' R2
D2 B L' R2 B U' F2
F' D2 U2 R2 F U' F
F' D2 U2 F R2 U' F
U F2 B2 U F L2 U
F' D2 F R2 B U' F
D2 B L2 R2 B U' F2
R2 B L2 U B U2 B'
D B L2 D R2 B U'
D2 B R2 L B U' F2
D2 B R2 L' B U' F2
D2 B R2 L2 B U' F2
D2 B R2 D' L2 B U'
D2 B R2 D' B L2 U'
D2 B R2 B L U' F2
D2 B R2 B L' U' F2
D2 B R2 B L2 U' F2
D2 B R2 B U' F2 D
D2 B R2 B U' F2 D'
D2 B R2 B U' F2 D2
D2 B R2 B D' L2 U'
B2 D2 B' R2 B U' F'
R2 B R2 U' D' F' B2
R2 B R2 U' D' B2 F'
R2 B R2 U' F' D' B2
R2 B R2 U2 L2 U F'
B' D2 B2 R2 B U' F'
R2 B R2 D' U' F' B2
R2 B R2 D' U' B2 F'
R2 B U D F2 B U2
R2 B U D B F2 U2
R2 B U D' B U2 B
R2 B U B U L2 U
R2 B U B U2 D' B2
R2 B U B D F2 U2
R2 B U B D' U2 B2
R2 B U2 L2 R2 U F'
R2 B U2 L2 U' B U2
R2 B U2 R2 L2 U F'
F' B L2 R2 B' U F'
F' B L2 B' U D2 F2
F' B L2 B' U' B2 U2
F' B L2 B' D' R2 U
F' B L2 B' D2 U F2
R2 B D U F2 B U2
R2 B D U B F2 U2
D B D R2 B U' F2
R2 B D' R2 U' F' B2
R2 B D' R2 U' B2 F'
R2 B D' U B U2 B
R2 B D2 L R2 U' F'
R2 B D2 L' R2 U' F'
U' B F D' B2 L2 F
R2 B D2 L2 R2 U' F'
R2 B D2 R2 L U' F'
R2 B D2 R2 L' U' F'
R2 B D2 R2 L2 U' F'
R2 B D2 R2 U' D F'
R2 B D2 R2 U' D' F'
R2 B D2 R2 U' D2 F'
R2 B D2 R2 U' F' D
R2 B D2 R2 U' F' D'
R2 B D2 R2 U' F' D2
R2 B D2 R2 D U' F'
R2 B D2 R2 D' U' F'
R2 B D2 R2 D2 U' F'
F' B R2 L2 B' U F'
D2 B' L R2 B U' F2
B2 F U F2 L2 B' U
D2 B' L' R2 B U' F2
D2 B' L2 R2 B U' F2
U2 B' L2 F' B U F2
U2 B' L2 B F' U F2
D B' L2 D R2 B U'
D2 B' R2 L B U' F2
D2 B' R2 L' B U' F2
D2 B' R2 L2 B U' F2
D2 B' R2 D' L2 B U'
D2 B' R2 D' B L2 U'
D2 B' R2 B L U' F2
D2 B' R2 B L' U' F2
D2 B' R2 B L2 U' F2
D2 B' R2 B U' F2 D
D2 B' R2 B U' F2 D'
D2 B' R2 B U' F2 D2
D2 B' R2 B D' L2 U'
U' B' U' L2 F' U F2
B' F' L2 R B' U F
B' F' L2 R' B' U F
B' F' L2 R2 B' U F
U' B' U' F' L2 U F
B' F' L2 D B' U F
F' B' L2 R B' U F
B' F' L2 D' B' U F
F' B' L2 R' B' U F
B' F' L2 D2 B' U F
F' B' L2 R2 B' U F
F' B' L2 D B' U F
B' F' L2 B' R U F
B' F' L2 B' R' U F
B' F' L2 B' R2 U F
B' F' L2 B' U D F
B' F' L2 B' U D' F
B' F' L2 B' U D2 F
B' F' L2 B' U F D
B' F' L2 B' U F D'
B' F' L2 B' U F D2
B' F' L2 B' D U F
B' F' L2 B' D' U F
B' F' L2 B' D2 U F
F' B' L2 D' B' U F
F' B' L2 D2 B' U F
B' F' R L2 B' U F
F' B' L2 B' R U F
F' B' L2 B' R' U F
F' B' L2 B' R2 U F
F' B' L2 B' U D F
F' B' L2 B' U D' F
F' B' L2 B' U D2 F
F' B' L2 B' U F D
F' B' L2 B' U F D'
F' B' L2 B' U F D2
F' B' L2 B' D U F
F' B' L2 B' D' U F
F' B' L2 B' D2 U F
B2 F' L2 B' R2 U F'
B2 F' L2 B' U' B U2
U B' U L2 F' U F2
F' B' R L2 B' U F
B F' L2 R2 B' U F'
D' B' U2 F' R2 U B'
U B' U F' L2 U F
B' F' R' L2 B' U F
B F' L2 B' U D2 F2
B F' L2 B' U' B2 U2
B F' L2 B' D' R2 U
B F' L2 B' D2 U F2
F' B' R' L2 B' U F
B' F' R2 L2 B' U F
F' B' R2 L2 B' U F
D B' D R2 B U' F2
B F' R2 L2 B' U F'
B2 F' U L2 B' U L2
U' B' F D' L2 F B2
U' B' F D' L2 B2 F
U2 B' F' L2 B U F
D2 B2 L R2 B U' F2
D2 B2 L' R2 B U' F2
D2 B2 L2 R2 B U' F2
D B2 L2 D R2 B U'
D2 B2 R2 L B U' F2
D2 B2 R2 L' B U' F2
D2 B2 R2 L2 B U' F2
D2 B2 R2 D' L2 B U'
D2 B2 R2 D' B L2 U'
F' B2 L2 B' R2 U F'
F' B2 L2 B' U' B U2
D2 B2 R2 B L U' F2
D2 B2 R2 B L' U' F2
D2 B2 R2 B L2 U' F2
D2 B2 R2 B U' F2 D
D2 B2 R2 B U' F2 D'
D2 B2 R2 B U' F2 D2
D2 B2 R2 B D' L2 U'
U' B2 U F' L2 B' U
U2 B2 U L2 F' B2 U
U2 B2 U L2 B2 F' U
U2 B2 U F' L2 B2 U
U2 B2 U F' B2 L2 U
D' B2 U' F' R2 U R2
U2 B2 U B2 L2 F' U
U2 B2 U B2 F' L2 U
L' B2 U2 L' F' U F
U B2 U L F' L U
U B2 U L2 D F' U
U B2 U L2 D' F' U
U B2 U L2 D2 F' U
U B2 U L2 F' U D
U B2 U L2 F' U D'
U B2 U L2 F' U D2
U B2 U L2 F' D U
U B2 U L2 F' D' U
U B2 U L2 F' D2 U
U B2 U D' F' U B2
U B2 U F L2 F2 U
F' B2 U L2 B' U L2
U B2 U F' L2 U D
U B2 U F' L2 U D'
U B2 U F' L2 U D2
U B2 U F' L2 D U
U B2 U F' L2 D' U
U B2 U F' L2 D2 U
U B2 U F' U D' B2
U B2 U F' D' U B2
B2 F2 U F L2 B' U
R2 B2 U2 L2 F U F'
F2 B2 U F L2 B' U
U B2 U' D2 R2 B U'
D B2 D R2 B U' F2
F B2 U F2 L2 B' U
U B2 D F2 U F U
U B2 D' U F' U B2
R2 B2 D2 B' R2 U' F'
U B2 D2 U' R2 B U'
L2 B2 F' U2 F U' F'
U B2 F U L2 F2 U
U B2 F U F2 L2 U
U B2 F U2 D' L2 B2
U B2 F U2 D' B2 L2
U B2 F D R2 F2 U2
U B2 F D F2 R2 U2
U B2 F D' U2 L2 B2
U B2 F D' U2 B2 L2
U B2 F' U L2 U L2
U B2 F2 U F L2 U
