R U B U2 R
R U' R2 F' R'
L' R U B U2 R
L R U B U2 R
L' R U' R2 F' R'
L2 R U B U2 R
R L U B U2 R
L R U' R2 F' R'
L2 R U' R2 F' R'
R L U' R2 F' R'
R L' U B U2 R
R L' U' R2 F' R'
R L2 U B U2 R
R L2 U' R2 F' R'
R U L B U2 R
R U L' B U2 R
R U L2 B U2 R
R U D B U2 R
R U D' B U2 R
R U D2 B U2 R
D2 R U L2 B U2
D2 R U B L2 U2
D' R U' D R2 F'
D2 R U' D2 R2 F'
D R U' D' R2 F'
R U B L U2 R
R U B L' U2 R
R U B L2 U2 R
R U B U2 R D
R U B U2 R D'
R U B U2 R D2
R U B U2 D R
R U B U2 D' R
R U B U2 D2 R
R U B D U2 R
R U B D' U2 R
R U B D2 U2 R
D' R D U' R2 F'
D R D' U' R2 F'
D2 R D2 U' R2 F'
D' R F2 U B U2
R' U' D F' R' B2
R U' R2 D F' R'
R U' R2 D' F' R'
R U' R2 D2 F' R'
R U' R2 F R' F2
R U' R2 F' R' D
R U' R2 F' R' D'
R U' R2 F' R' D2
R U' R2 F' D R'
R U' R2 F' D' R'
R U' R2 F' D2 R'
R U' R2 F2 R' F
R U' D R2 F' R'
R U' D' R2 F' R'
R U' D2 R2 F' R'
R' U' F' D R' B2
R U' F R2 F' R
D' R' F2 R2 U' F
R U2 R2 U F' R'
U' R2 U R' U' F'
R' D U' F' R' B2
R D U B U2 R
R D U' R2 F' R'
R D' U B U2 R
R D' U' R2 F' R'
R D2 U B U2 R
R D2 U' R2 F' R'
R' F R2 U' R F2
R F U' R2 F' R
R' F2 R2 U' R F
R F2 U L' B U2
R F2 U B L' U2
U' R2 U R' L' U' F'
U' R2 U R' L2 U' F'
U' R2 U R' U' D F'
U' R2 U R' U' D' F'
U' R2 U R' U' D2 F'
U' R2 U R' U' F' D
U' R2 U R' U' F' D'
U' R2 U R' U' F' D2
U' R2 U R' D U' F'
U' R2 U R' D' U' F'
U' R2 U R' D2 U' F'
U' R2 U D R' U' F'
U' R2 U D' R' U' F'
U' R2 U D2 R' U' F'
U' R2 D U R' U' F'
R U2 B' U R D2 F2
R U2 B' U D2 R F2
R U2 B' U' B2 U2 R
R U2 B' D' R2 U R'
R U2 B' D2 U R F2
U' R2 D' U R' U' F'
R' D L U' F' R' B2
R U2 B2 U' B' U2 R
U' R2 D2 U R' U' F'
R' D L' U' F' R' B2
R D L U B U2 R
R D L U' R2 F' R'
F' R2 F R U' F' R'
U' R2 F U R' U' F'
R' D L2 U' F' R' B2
R D L' U B U2 R
R D L' U' R2 F' R'
U' R2 F' U R' U' F'
L' D R U' D' R2 F'
R D L2 U B U2 R
R D L2 U' R2 F' R'
L' D R D' U' R2 F'
D' R2 F2 R' U B U2
F R2 F' R U' F' R'
L2 D R U' D' R2 F'
U' R2 F2 U R' U' F'
L2 D R D' U' R2 F'
F2 R2 F2 R U' F' R'
L D R U' D' R2 F'
L D R D' U' R2 F'
R2 D R' U' D' R F'
R2 D R' D' U' R F'
R' D U' F R' F2 B2
R' D U' F R' B2 F2
R' D U' F' R B2 R2
R' D U' F' R' B2 D
R' D U' F' R' B2 D'
R' D U' F' R' B2 D2
R' D U' F' R2 B2 R
R' D U' F2 R' F B2
R' D U' F2 R' B2 F
R D U L B U2 R
R D U L' B U2 R
R D U L2 B U2 R
R D U B L U2 R
R D U B L' U2 R
R D U B L2 U2 R
R D U B U2 R D
R D U B U2 R D'
R D U B U2 R D2
R D U B U2 D R
R D U B U2 D' R
R D U B U2 D2 R
R D U B D U2 R
R D U B D' U2 R
R D U B D2 U2 R
R D U' R2 D F' R'
R D U' R2 D' F' R'
R D U' R2 D2 F' R'
R D U' R2 F R' F2
R D U' R2 F' R' D
R D U' R2 F' R' D'
R D U' R2 F' R' D2
R D U' R2 F' D R'
R D U' R2 F' D' R'
R D U' R2 F' D2 R'
R D U' R2 F2 R' F
R D U' F R2 F' R
R' D F U' R' F2 B2
R' D F U' R' B2 F2
R' D F U' F2 R' B2
R D U2 R2 U F' R'
R' D F' R' B2 D L2
R D F U' R2 F' R
R' D F2 U' R' F B2
R' D F2 U' R' B2 F
R' D F2 U' F R' B2
R D F2 U L' B U2
R D F2 U B L' U2
U2 D R2 B2 L U F
R D' L U B U2 R
R D' L U' R2 F' R'
R D' L' U B U2 R
R D' L' U' R2 F' R'
L' D' R U' D R2 F'
L' D' R D U' R2 F'
R D' L2 U B U2 R
L' D' R F2 U B U2
R D' L2 U' R2 F' R'
L2 D' R U' D R2 F'
L2 D' R D U' R2 F'
L2 D' R F2 U B U2
L D' R U' D R2 F'
L' D' R' F2 R2 U' F
L D' R D U' R2 F'
R2 D' R' U' D R F'
L D' R F2 U B U2
R2 D' R' D U' R F'
L2 D' R' F2 R2 U' F
L D' R' F2 R2 U' F
R' D' U F2 U2 R' F
R' D' U F2 U2 F R'
R' D' U' F' R2 B R
R D' U L B U2 R
R D' U L' B U2 R
R D' U L2 B U2 R
R D' U B L U2 R
R D' U B L' U2 R
R D' U B L2 U2 R
R D' U B U2 R D
R D' U B U2 R D'
R D' U B U2 R D2
R D' U B U2 D R
R D' U B U2 D' R
R D' U B U2 D2 R
R D' U B D U2 R
R D' U B D' U2 R
R D' U B D2 U2 R
R D' U' R2 D F' R'
R D' U' R2 D' F' R'
R D' U' R2 D2 F' R'
R D' U' R2 F R' F2
R D' U' R2 F' R' D
R D' U' R2 F' R' D'
R D' U' R2 F' R' D2
R D' U' R2 F' D R'
R D' U' R2 F' D' R'
R D' U' R2 F' D2 R'
R D' U' R2 F2 R' F
R D' U' F R2 F' R
R2 D' F L' R' U' R
R2 D' F R' L' U' R
R D' U2 R2 U F' R'
R D' F U' R2 F' R
R D' F2 U L' B U2
R D' F2 U B L' U2
R2 D2 L' R' U' R F
R D2 L U B U2 R
R D2 L U' R2 F' R'
R D2 L' U B U2 R
R D2 L' U' R2 F' R'
L' D2 R U L2 B U2
L' D2 R U B L2 U2
L' D2 R U' D2 R2 F'
L' D2 R D2 U' R2 F'
L2 D2 R U L2 B U2
L2 D2 R U B L2 U2
L2 D2 R U' D2 R2 F'
R D2 L2 U B U2 R
R D2 L2 U' R2 F' R'
L2 D2 R D2 U' R2 F'
B' U' B L R U' R
B' U' B R L U' R
L D2 R U L2 B U2
L D2 R U B L2 U2
L D2 R U' D2 R2 F'
R2 D2 R' L' U' R F
L D2 R D2 U' R2 F'
R2 D2 R' U' D2 R F'
R2 D2 R' D2 U' R F'
R' D2 U' F' R' D' B2
R' D2 U' F' D' R' B2
R' D2 U2 L2 U F' R'
R D2 U L B U2 R
R D2 U L' B U2 R
R D2 U L2 B U2 R
R D2 U B L U2 R
R D2 U B L' U2 R
R D2 U B L2 U2 R
R D2 U B U2 R D
R D2 U B U2 R D'
R D2 U B U2 R D2
R D2 U B U2 D R
R D2 U B U2 D' R
R D2 U B U2 D2 R
R D2 U B D U2 R
R D2 U B D' U2 R
R D2 U B D2 U2 R
R D2 U' R2 D F' R'
R D2 U' R2 D' F' R'
R D2 U' R2 D2 F' R'
R D2 U' R2 F R' F2
R D2 U' R2 F' R' D
R D2 U' R2 F' R' D'
R D2 U' R2 F' R' D2
R D2 U' R2 F' D R'
R D2 U' R2 F' D' R'
R D2 U' R2 F' D2 R'
R D2 U' R2 F2 R' F
R D2 U' F R2 F' R
F2 U2 L' U' B' U2 R2
D U2 R2 B2 L U F
R D2 U2 R2 U F' R'
F2 U2 L' B2 U R2 F'
R D2 F U' R2 F' R
R D2 F2 U L' B U2
R D2 F2 U B L' U2
R' F L R2 U' R F2
R' F L' R2 U' R F2
R' F L2 R2 U' R F2
R F L U' R2 F' R
R F L' U' R2 F' R
R F L2 U' R2 F' R
F' U2 B L U R2 F
F' U2 B L U F R2
R' F R2 L U' R F2
R' F R2 L' U' R F2
R' F R2 L2 U' R F2
R' F R2 U' R F2 D
R' F R2 U' R F2 D'
R' F R2 U' R F2 D2
R' F R2 U' R' F2 R2
R' F R2 U' R2 F2 R'
R2 F R' U B U2 R
R2 F R' U' R2 F' R'
R' F R2 D' L2 U' R
R' F U' F2 D R' B2
R F U D2 B U2 R'
R F U' R F' R F'
R F U' R2 F' R D
R F U' R2 F' R D'
R F U' R2 F' R D2
R F U' R2 F' D R
R F U' R2 F' D' R
R F U' R2 F' D2 R
R F U' F' R2 F' R'
R F U2 R2 U F' R
R F D2 U B U2 R'
R2 F' R' U B U2 R
R2 F' R' U' R2 F' R'
R' F' R2 F U' F' R
R' F' R2 F2 U' F2 R
R' F' D R' B2 D L2
R F' U' R2 D' F' R
F2 D' R' F2 R U' F
F2 D' R2 F2 R U' F'
R' F' B2 D B2 L2 R'
R' F' B2 D B2 R' L2
D' F2 L2 U2 L U F
R F2 L U L2 B U2
R F2 L U B L2 U2
R F2 L U' D2 R2 F'
R F2 L D2 U' R2 F'
F2 D' F2 R U B U2
D' F2 R' U2 L' U F'
R F2 L2 U L B U2
R' F2 R2 U' R D F
R' F2 R2 U' R D' F
R' F2 R2 U' R D2 F
R' F2 R2 U' R F D
R' F2 R2 U' R F D'
R' F2 R2 U' R F D2
R' F2 R2 U' R' F R2
R' F2 R2 U' R2 F R'
R' F2 R2 U' D R F
R' F2 R2 U' D' R F
R' F2 R2 U' D2 R F
R' F2 R2 D U' R F
R' F2 R2 D' U' R F
R2 F2 R' U B U2 R
R' F2 R2 D2 U' R F
R2 F2 R' U' R2 F' R'
R' F2 U' D R' F B2
R' F2 U' D R' B2 F
R' F2 U' D F R' B2
R' F2 U' F D R' B2
D' F2 U2 L' U' B' U2
R F2 U L B L2 U2
R F2 U L' D B U2
R F2 U L' D' B U2
R F2 U L' D2 B U2
R F2 U L' B U2 D
R F2 U L' B U2 D'
R F2 U L' B U2 D2
R F2 U L' B D U2
R F2 U L' B D' U2
R F2 U L' B D2 U2
R F2 U D L' B U2
R F2 U D B L' U2
R F2 U D' L' B U2
R F2 U D' B L' U2
R F2 U D2 L' B U2
R F2 U D2 B L' U2
R F2 U B L' U2 D
R F2 U B L' U2 D'
R F2 U B L' U2 D2
R F2 U B L' D U2
R F2 U B L' D' U2
R F2 U B L' D2 U2
R F2 U B D L' U2
R F2 U B D' L' U2
R F2 U B D2 L' U2
R F2 U B' L' B2 U2
R' F2 D U' R' F B2
R' F2 D U' R' B2 F
R' F2 D U' F R' B2
R F2 U' R F2 R F'
R F2 U' R2 F2 R F
R F2 U' F' R2 F' R
R F2 U' F2 R2 F' R'
R F2 D U L' B U2
R F2 D U B L' U2
R F2 D' U L' B U2
R F2 D' U B L' U2
R F2 D2 U L' B U2
R F2 D2 U B L' U2
U' B L R U' L' R
U' B L R U' R L'
U' B R L U' L' R
U' B R L U' R L'
U' B R2 U L R' U'
U' B R2 U R' L U'
U' B U L R U' R
U' B U R L U' R
R B U' B' U' B R
R B' D L2 B U' R
R B' D B L2 U' R
R B' D2 B U' R F2
R B2 L2 B2 U' R F
R' B2 D F' B2 L2 R'
R' B2 D F' B2 R' L2
R' B2 D B2 L2 F' R'
R' B2 D B2 F' L2 R'
R' B2 D B2 F' R' L2
R B2 U' R D L2 F
R B2 U' D L2 R F
R B2 U' D R L2 F
R B2 D U' L2 R F
R B2 D U' R L2 F
R' B2 F' D B2 L2 R'
R' B2 F' D B2 R' L2
