U B' U' R'
R' U B' U' R'
R2 U B' U' R'
R U B' U' R'
U D B' U' R'
D U B' U' R'
D' U B' U' R'
D2 U B' U' R'
U D' B' U' R'
U D2 B' U' R'
U F B' U' R'
U F' B' U' R'
U F2 B' U' R'
U B' U' R' D
U B' U' R' D'
U B' U' R' D2
U B' U' D R'
U B' U' D' R'
U B' U' D2 R'
U B' D U' R'
U B' D' U' R'
U B' D2 U' R'
U B' F U' R'
U B' F' U' R'
U B' F2 U' R'
L' U' F D' B' U L
L2 U' F D' B U R'
R2 U' F U2 B' U' R
L U' F U' R U2 R'
R U' F U2 B' U' R
L' U' F' D' B' U L
D2 R' U D B' U' R'
D' R' U D B' U' R'
D2 R' U D' B' U' R'
D' R' U D' B' U' R'
D2 R' U D2 B' U' R'
D' R' U D2 B' U' R'
D2 R' U F B' U' R'
D' R' U F B' U' R'
D2 R' U F' B' U' R'
D' R' U F' B' U' R'
L U' F' U L' D R2
L U' F' U D L' R2
L U' F' U D R2 L'
D2 R' U F2 B' U' R'
D' R' U F2 B' U' R'
D2 R' U B' U' R' D
D2 R' U B' U' R' D'
D2 R' U B' U' R' D2
D2 R' U B' U' D R'
D2 R' U B' U' D' R'
D2 R' U B' U' D2 R'
D2 R' U B' D U' R'
D2 R' U B' D' U' R'
D' R' U B' U' R' D
D' R' U B' U' R' D'
D' R' U B' U' R' D2
D' R' U B' U' D R'
D' R' U B' U' D' R'
D' R' U B' U' D2 R'
D2 R' U B' D2 U' R'
D2 R' U B' F U' R'
D2 R' U B' F' U' R'
D' R' U B' D U' R'
D2 R' U B' F2 U' R'
D' R' U B' D' U' R'
D' R' U B' D2 U' R'
D' R' U B' F U' R'
D' R' U B' F' U' R'
D' R' U B' F2 U' R'
L U' F' D U L' R2
L U' F' D U R2 L'
F' R' U B' U' R' F
F' R' U B' U' F R'
D R' U D B' U' R'
D R' U D' B' U' R'
L U' F' D2 B2 U L'
D R' U D2 B' U' R'
D R' U F B' U' R'
L' U' F2 D' B' U L
F2 R' U B' U' R' F2
F2 R' U B' U' F2 R'
D R' U F' B' U' R'
D R' U F2 B' U' R'
D R' U B' U' R' D
D R' U B' U' R' D'
D R' U B' U' R' D2
D R' U B' U' D R'
D R' U B' U' D' R'
D R' U B' U' D2 R'
D R' U B' D U' R'
D R' U B' D' U' R'
D R' U B' D2 U' R'
D R' U B' F U' R'
D R' U B' F' U' R'
L2 U' F2 D F' U R
D R' U B' F2 U' R'
B R' U B2 U' B R'
U2 R' U' D F' B' U'
U2 R' U' D B' F' U'
U2 R' U' D' F' B' U'
U2 R' U' D' B' F' U'
U2 R' U' D2 F' B' U'
U2 R' U' D2 B' F' U'
U2 R' U' F' D B' U'
U2 R' U' F' D' B' U'
U2 R' U' F' D2 B' U'
U2 R' U' F' B' U' D
U2 R' U' F' B' U' D'
U2 R' U' F' B' U' D2
U2 R' U' F' B' D U'
U2 R' U' F' B' D' U'
U2 R' U' F' B' D2 U'
U2 R' U' B' D F' U'
U2 R' U' B' D' F' U'
U2 R' U' B' D2 F' U'
U2 R' U' B' F' U' D
U2 R' U' B' F' U' D'
U2 R' U' B' F' U' D2
U2 R' U' B' F' D U'
U2 R' U' B' F' D' U'
U2 R' U' B' F' D2 U'
L' U' B' L' F L U
L' U' B' D F U L'
D2 R' D U B' U' R'
D' R' D U B' U' R'
U2 R' D U' F' B' U'
U2 R' D U' B' F' U'
D R' D U B' U' R'
U R' D R B' U' R'
D2 R' D' U B' U' R'
D' R' D' U B' U' R'
U R' D B' R U' R2
U2 R' D' U' F' B' U'
U2 R' D' U' B' F' U'
D R' D' U B' U' R'
U R' D' R B' U' R'
D2 R' D2 U B' U' R'
D' R' D2 U B' U' R'
U R' D' B' R U' R2
U2 R' D2 U' F' B' U'
U2 R' D2 U' B' F' U'
D R' D2 U B' U' R'
U R' D2 R B' U' R'
R' U2 L2 U F U R
F' R' F U B' U' R'
U R' D2 B' R U' R2
R2 U2 L2 U F U R
R U2 L2 U F U R
R' U2 R' U' F' B' U'
R' U2 R' U' B' F' U'
L U2 R U' F B U'
L U2 R U' B F U'
F2 R' F2 U B' U' R'
R2 U2 R' U' F' B' U'
R2 U2 R' U' B' F' U'
R U2 R' U' F' B' U'
R U2 R' U' B' F' U'
U R' B R B2 U' R'
F' R' B' U' F B R
F' R' B' U' B F R
B R' B' U B' U' R'
U R' B' R U' R2 D
U R' B' R U' R2 D'
U R' B' R U' R2 D2
U R' B' R D' F2 U'
U R' B' R F U' R2
U R' B' R F' U' R2
U R' B' R F2 U' R2
U R' B' U' R' D B2
U R' B' D R U' R2
U R' B' D' R U' R2
U R' B' D2 R U' R2
D2 R2 U D B' U' R'
D' R2 U D B' U' R'
D2 R2 U D' B' U' R'
D' R2 U D' B' U' R'
D2 R2 U D2 B' U' R'
D' R2 U D2 B' U' R'
D2 R2 U F B' U' R'
D' R2 U F B' U' R'
D2 R2 U F' B' U' R'
D' R2 U F' B' U' R'
D2 R2 U F2 B' U' R'
D' R2 U F2 B' U' R'
D2 R2 U B' U' R' D
D2 R2 U B' U' R' D'
D2 R2 U B' U' R' D2
D2 R2 U B' U' D R'
D2 R2 U B' U' D' R'
D2 R2 U B' U' D2 R'
D2 R2 U B' D U' R'
D2 R2 U B' D' U' R'
D2 R2 U B' D2 U' R'
D' R2 U B' U' R' D
D' R2 U B' U' R' D'
D' R2 U B' U' R' D2
D' R2 U B' U' D R'
D' R2 U B' U' D' R'
D2 R2 U B' F U' R'
D' R2 U B' U' D2 R'
D2 R2 U B' F' U' R'
D2 R2 U B' F2 U' R'
D' R2 U B' D U' R'
D' R2 U B' D' U' R'
D' R2 U B' D2 U' R'
D' R2 U B' F U' R'
D' R2 U B' F' U' R'
D' R2 U B' F2 U' R'
F' R2 U B' U' R' F
F' R2 U B' U' F R'
D R2 U D B' U' R'
D R2 U D' B' U' R'
F2 R2 U B' U' R' F2
F2 R2 U B' U' F2 R'
D R2 U D2 B' U' R'
D R2 U F B' U' R'
D R2 U F' B' U' R'
D R2 U F2 B' U' R'
D R2 U B' U' R' D
D R2 U B' U' R' D'
D R2 U B' U' R' D2
D R2 U B' U' D R'
D R2 U B' U' D' R'
D R2 U B' U' D2 R'
D R2 U B' D U' R'
D R2 U B' D' U' R'
D R2 U B' D2 U' R'
D R2 U B' F U' R'
D R2 U B' F' U' R'
D R2 U B' F2 U' R'
B R2 U B2 U' B R'
D2 R2 D U B' U' R'
D' R2 D U B' U' R'
D R2 D U B' U' R'
D2 R2 D' U B' U' R'
D' R2 D' U B' U' R'
U R2 D B' U' R' B'
D R2 D' U B' U' R'
D2 R2 D2 U B' U' R'
D' R2 D2 U B' U' R'
D R2 D2 U B' U' R'
F' R2 F U B' U' R'
L' D L2 U F U' L'
L D L' U B' U' R'
R' D R U B' U' R'
U R2 F R2 B' U' R'
U R2 F B' R2 U' R
R2 D R U B' U' R'
R' D R' U B' U' R'
U R2 F' R2 B' U' R'
F2 R2 F2 U B' U' R'
R D R U B' U' R'
U R2 F' B' R2 U' R
R2 D R' U B' U' R'
R' D R2 U B' U' R'
U R2 F2 R2 B' U' R'
R D R' U B' U' R'
U R2 F2 B' R2 U' R
R2 D R2 U B' U' R'
F' R2 B' U' F B R
F' R2 B' U' B F R
U R2 B R2 B2 U' R'
R' D U F B' U' R'
R' D U F' B' U' R'
R' D U F2 B' U' R'
R' D U B' U' R' D
R' D U B' U' R' D'
R' D U B' U' R' D2
R' D U B' U' D R'
R' D U B' U' D' R'
R' D U B' U' D2 R'
R' D U B' D U' R'
R' D U B' D' U' R'
R' D U B' D2 U' R'
R' D U B' F U' R'
R' D U B' F' U' R'
R' D U B' F2 U' R'
R D R2 U B' U' R'
B R2 B' U B' U' R'
U R2 B' R2 U' R D
U R2 B' R2 U' R D'
U R2 B' R2 U' R D2
U R2 B' R2 U' D R
U R2 B' R2 U' D' R
U R2 B' R2 U' D2 R
U R2 B' R2 D U' R
U R2 B' R2 D' U' R
U R2 B' R2 D2 U' R
R2 D U F B' U' R'
R2 D U F' B' U' R'
U R2 B' U' D R' B2
R2 D U F2 B' U' R'
L' D U' F B' U L'
U R2 B' D U' R' B2
R2 D U B' U' R' D
R2 D U B' U' R' D'
R2 D U B' U' R' D2
R2 D U B' U' D R'
R2 D U B' U' D' R'
R2 D U B' U' D2 R'
R2 D U B' D U' R'
R2 D U B' D' U' R'
R2 D U B' D2 U' R'
R2 D U B' F U' R'
R2 D U B' F' U' R'
R2 D U B' F2 U' R'
U R2 B' F R2 U' R
L' D U' B' F U L'
U R2 B' F' R2 U' R
U R2 B' F2 R2 U' R
L D U F B U' L
R D U F B' U' R'
L2 D U' F U' L' U2
R D U F' B' U' R'
L D U B F U' L
R D U F2 B' U' R'
R D U B' U' R' D
R D U B' U' R' D'
R D U B' U' R' D2
R D U B' U' D R'
R D U B' U' D' R'
R D U B' U' D2 R'
R D U B' D U' R'
R D U B' D' U' R'
R D U B' D2 U' R'
R D U B' F U' R'
R D U B' F' U' R'
R D U B' F2 U' R'
L' D F L' D F' R
U' D L2 F L2 U R
U2 D L2 U F U R
L2 D F' R D' F L2
L2 D F' D' R F L2
U2 D R' U' F' B' U'
U2 D R' U' B' F' U'
D' U R' B' R U' R2
D2 U R' B' R U' R2
B U R B2 U' B R'
D U R' B' R U' R2
D' U R2 B' R2 U' R
B U R' B2 U' B R'
D2 U R2 B' R2 U' R
U D R' B' R U' R2
U' D F U2 B' U' R
D' U F D B' U' R'
D' U F D' B' U' R'
D2 U F D B' U' R'
D' U F D2 B' U' R'
D2 U F D' B' U' R'
D U R2 B' R2 U' R
F' U D B' U' R' F
F' U D B' U' F R'
D2 U F D2 B' U' R'
D' U F B' U' R' D
D' U F B' U' R' D'
D' U F B' U' R' D2
D' U F B' U' D R'
D' U F B' U' D' R'
D' U F B' U' D2 R'
D' U F B' D U' R'
D' U F B' D' U' R'
D' U F B' D2 U' R'
B U R2 B2 U' B R'
D2 U F B' U' R' D
D2 U F B' U' R' D'
D2 U F B' U' R' D2
D2 U F B' U' D R'
D2 U F B' U' D' R'
D2 U F B' U' D2 R'
D2 U F B' D U' R'
D2 U F B' D' U' R'
D2 U F B' D2 U' R'
U D R2 B' R2 U' R
D U F D B' U' R'
D' U F' D B' U' R'
F' U D' B' U' R' F
F' U D' B' U' F R'
D U F D' B' U' R'
D' U F' D' B' U' R'
D2 U F' D B' U' R'
D U F D2 B' U' R'
D' U F' D2 B' U' R'
D2 U F' D' B' U' R'
D2 U F' D2 B' U' R'
D' U F' B' U' R' D
D' U F' B' U' R' D'
D' U F' B' U' R' D2
D' U F' B' U' D R'
D' U F' B' U' D' R'
D' U F' B' U' D2 R'
D U F B' U' R' D
D U F B' U' R' D'
D U F B' U' R' D2
D U F B' U' D R'
D U F B' U' D' R'
D U F B' U' D2 R'
D' U F' B' D U' R'
D' U F' B' D' U' R'
D U F B' D U' R'
D' U F' B' D2 U' R'
D U F B' D' U' R'
D U F B' D2 U' R'
F2 U D' B' L2 U' R'
D2 U F' B' U' R' D
D2 U F' B' U' R' D'
D2 U F' B' U' R' D2
D2 U F' B' U' D R'
D2 U F' B' U' D' R'
D2 U F' B' U' D2 R'
D2 U F' B' D U' R'
D2 U F' B' D' U' R'
D2 U F' B' D2 U' R'
F U D B' U' F' R'
U D F D B' U' R'
U D F D' B' U' R'
U D F D2 B' U' R'
U D F B' U' R' D
U D F B' U' R' D'
U D F B' U' R' D2
U D F B' U' D R'
U D F B' U' D' R'
U D F B' U' D2 R'
U D F B' D U' R'
U D F B' D' U' R'
U D F B' D2 U' R'
F' U D2 B' U' R' F
F' U D2 B' U' F R'
D' U F2 D B' U' R'
D U F' D B' U' R'
D' U F2 D' B' U' R'
D U F' D' B' U' R'
D2 U F2 D B' U' R'
D' U F2 D2 B' U' R'
D U F' D2 B' U' R'
D2 U F2 D' B' U' R'
D2 U F2 D2 B' U' R'
F U D' B' U' F' R'
D' U F2 B' U' R' D
D' U F2 B' U' R' D'
D' U F2 B' U' R' D2
D' U F2 B' U' D R'
D' U F2 B' U' D' R'
D' U F2 B' U' D2 R'
D U F' B' U' R' D
D U F' B' U' R' D'
D U F' B' U' R' D2
D U F' B' U' D R'
D U F' B' U' D' R'
D U F' B' U' D2 R'
D' U F2 B' D U' R'
D U F' B' D U' R'
D' U F2 B' D' U' R'
D U F' B' D' U' R'
D' U F2 B' D2 U' R'
D U F' B' D2 U' R'
D2 U F2 B' U' R' D
D2 U F2 B' U' R' D'
D2 U F2 B' U' R' D2
D2 U F2 B' U' D R'
D2 U F2 B' U' D' R'
D2 U F2 B' U' D2 R'
D2 U F2 B' D U' R'
D2 U F2 B' D' U' R'
D2 U F2 B' D2 U' R'
U D F' D B' U' R'
U D F' D' B' U' R'
U D F' D2 B' U' R'
U D F' B' U' R' D
U D F' B' U' R' D'
U D F' B' U' R' D2
U D F' B' U' D R'
U D F' B' U' D' R'
U D F' B' U' D2 R'
U D F' B' D U' R'
U D F' B' D' U' R'
U D F' B' D2 U' R'
D U F2 D B' U' R'
L D' L' U B' U' R'
F U D2 B' U' F' R'
D U F2 D' B' U' R'
D U F2 D2 B' U' R'
F2 U F B' U' R' F
F2 U F B' U' F R'
D U F2 B' U' R' D
D U F2 B' U' R' D'
D U F2 B' U' R' D2
D U F2 B' U' D R'
D U F2 B' U' D' R'
D U F2 B' U' D2 R'
D U F2 B' D U' R'
D U F2 B' D' U' R'
D U F2 B' D2 U' R'
R' D' R U B' U' R'
U D F2 D B' U' R'
U D F2 D' B' U' R'
U D F2 D2 B' U' R'
U D F2 B' U' R' D
U D F2 B' U' R' D'
U D F2 B' U' R' D2
U D F2 B' U' D R'
U D F2 B' U' D' R'
U D F2 B' U' D2 R'
U D F2 B' D U' R'
U D F2 B' D' U' R'
U D F2 B' D2 U' R'
D' U B' U L U2 R'
L' D' R U' B' U L
D' U B' U L' U2 R'
D' U B' U L2 U2 R'
D2 U B' U L U2 R'
D2 U B' U L' U2 R'
D2 U B' U L2 U2 R'
B U F B2 U' B R'
D' U B' U' R2 D R
D' U B' U' R2 D' R
D' U B' U' R2 D2 R
D' U B' U' D R' D
D' U B' U' D R' D'
D' U B' U' D R' D2
D' U B' U' D' R' D
D' U B' U' D' R' D'
D' U B' U' D' R' D2
D' U B' U' D2 R' D
D' U B' U' D2 R' D'
D' U B' U' D2 R' D2
D' U B' U' F' R' F
D' U B' U' F2 R' F2
F' U F' B' U' R' F2
F' U F' B' U' F2 R'
D2 U B' U' R2 D R
D2 U B' U' R2 D' R
D2 U B' U' R2 D2 R
D2 U B' U' D R' D
D2 U B' U' D R' D'
D2 U B' U' D R' D2
D2 U B' U' D' R' D
D2 U B' U' D' R' D'
D2 U B' U' D' R' D2
D2 U B' U' D2 R' D
D2 U B' U' D2 R' D'
D2 U B' U' D2 R' D2
D2 U B' U' F' R' F
D2 U B' U' F2 R' F2
D' U B' D U' R' D
D' U B' D U' R' D'
D' U B' D U' R' D2
D' U B' D F U' R'
D' U B' D F' U' R'
D' U B' D F2 U' R'
D' U B' D' U' R' D
D' U B' D' U' R' D'
D' U B' D' U' R' D2
D2 U B' D U' R' D
D2 U B' D U' R' D'
D2 U B' D U' R' D2
D' U B' D' F U' R'
D' U B' D' F' U' R'
D2 U B' D F U' R'
D' U B' D' F2 U' R'
D2 U B' D F' U' R'
D2 U B' D F2 U' R'
D' U B' D2 U' R' D
D' U B' D2 U' R' D'
D' U B' D2 U' R' D2
D2 U B' D' U' R' D
D2 U B' D' U' R' D'
D2 U B' D' U' R' D2
F U F B' U' R' F2
D' U B' D2 F U' R'
F U F B' U' F2 R'
D' U B' D2 F' U' R'
D2 U B' D' F U' R'
D' U B' D2 F2 U' R'
D2 U B' D' F' U' R'
D2 U B' D' F2 U' R'
F2 U F' B' U' F' R'
D' U B' F U' R' D
D' U B' F U' R' D'
D' U B' F U' R' D2
D' U B' F U' D R'
D' U B' F U' D' R'
D' U B' F U' D2 R'
D2 U B' D2 U' R' D
D2 U B' D2 U' R' D'
D2 U B' D2 U' R' D2
D' U B' F D U' R'
D2 U B' D2 F U' R'
D' U B' F D' U' R'
D2 U B' D2 F' U' R'
D' U B' F D2 U' R'
D2 U B' D2 F2 U' R'
D' U B' F' U' R' D
D' U B' F' U' R' D'
D' U B' F' U' R' D2
D' U B' F' U' D R'
D' U B' F' U' D' R'
D' U B' F' U' D2 R'
D' U B' F' D U' R'
D' U B' F' D' U' R'
D2 U B' F U' R' D
D2 U B' F U' R' D'
D2 U B' F U' R' D2
D2 U B' F U' D R'
D2 U B' F U' D' R'
D2 U B' F U' D2 R'
D' U B' F' D2 U' R'
D2 U B' F D U' R'
D2 U B' F D' U' R'
D2 U B' F D2 U' R'
D' U B' F2 U' R' D
D' U B' F2 U' R' D'
D' U B' F2 U' R' D2
D' U B' F2 U' D R'
D' U B' F2 U' D' R'
D' U B' F2 U' D2 R'
D' U B' F2 D U' R'
D' U B' F2 D' U' R'
D2 U B' F' U' R' D
D2 U B' F' U' R' D'
D2 U B' F' U' R' D2
D2 U B' F' U' D R'
D2 U B' F' U' D' R'
D2 U B' F' U' D2 R'
D' U B' F2 D2 U' R'
D2 U B' F' D U' R'
D2 U B' F' D' U' R'
D2 U B' F' D2 U' R'
D2 U B' F2 U' R' D
D2 U B' F2 U' R' D'
D2 U B' F2 U' R' D2
D2 U B' F2 U' D R'
D2 U B' F2 U' D' R'
D2 U B' F2 U' D2 R'
D2 U B' F2 D U' R'
D2 U B' F2 D' U' R'
D2 U B' F2 D2 U' R'
R' D' R' U B' U' R'
R2 D' R U B' U' R'
L' D' R' U' B' U L
D U B' U L U2 R'
D U B' U L' U2 R'
D U B' U L2 U2 R'
B U F' B2 U' B R'
F' U F2 B' U' F' R'
D U B' U' R2 D R
D U B' U' R2 D' R
D U B' U' R2 D2 R
D U B' U' D R' D
D U B' U' D R' D'
D U B' U' D R' D2
D U B' U' D' R' D
D U B' U' D' R' D'
D U B' U' D' R' D2
D U B' U' D2 R' D
D U B' U' D2 R' D'
D U B' U' D2 R' D2
D U B' U' F' R' F
D U B' U' F2 R' F2
D U B' D U' R' D
D U B' D U' R' D'
D U B' D U' R' D2
D U B' D F U' R'
D U B' D F' U' R'
D U B' D F2 U' R'
D U B' D' U' R' D
D U B' D' U' R' D'
D U B' D' U' R' D2
D U B' D' F U' R'
D U B' D' F' U' R'
D U B' D' F2 U' R'
D U B' D2 U' R' D
D U B' D2 U' R' D'
D U B' D2 U' R' D2
D U B' D2 F U' R'
U D B' U L U2 R'
R D' R U B' U' R'
D U B' D2 F' U' R'
D U B' D2 F2 U' R'
U D B' U L' U2 R'
U D B' U L2 U2 R'
D U B' F U' R' D
D U B' F U' R' D'
D U B' F U' R' D2
D U B' F U' D R'
D U B' F U' D' R'
D U B' F U' D2 R'
D U B' F D U' R'
D U B' F D' U' R'
D U B' F D2 U' R'
U D B' U' R2 D R
U D B' U' R2 D' R
U D B' U' R2 D2 R
U D B' U' D R' D
U D B' U' D R' D'
U D B' U' D R' D2
U D B' U' D' R' D
U D B' U' D' R' D'
U D B' U' D' R' D2
U D B' U' D2 R' D
U D B' U' D2 R' D'
U D B' U' D2 R' D2
U D B' U' F' R' F
D U B' F' U' R' D
D U B' F' U' R' D'
D U B' F' U' R' D2
D U B' F' U' D R'
D U B' F' U' D' R'
D U B' F' U' D2 R'
U D B' U' F2 R' F2
D U B' F' D U' R'
D U B' F' D' U' R'
D U B' F' D2 U' R'
D U B' F2 U' R' D
D U B' F2 U' R' D'
D U B' F2 U' R' D2
D U B' F2 U' D R'
D U B' F2 U' D' R'
D U B' F2 U' D2 R'
D U B' F2 D U' R'
D U B' F2 D' U' R'
D U B' F2 D2 U' R'
R' D' R2 U B' U' R'
R2 D' R' U B' U' R'
U D B' D U' R' D
U D B' D U' R' D'
U D B' D U' R' D2
U D B' D F U' R'
U D B' D F' U' R'
U D B' D F2 U' R'
U D B' D' U' R' D
U D B' D' U' R' D'
U D B' D' U' R' D2
U D B' D' F U' R'
U D B' D' F' U' R'
U D B' D' F2 U' R'
U D B' D2 U' R' D
U D B' D2 U' R' D'
U D B' D2 U' R' D2
U D B' D2 F U' R'
U D B' D2 F' U' R'
B2 U B U L U2 B
U D B' D2 F2 U' R'
U D B' F U' R' D
U D B' F U' R' D'
U D B' F U' R' D2
U D B' F U' D R'
U D B' F U' D' R'
U D B' F U' D2 R'
U D B' F D U' R'
U D B' F D' U' R'
U D B' F D2 U' R'
U D B' F' U' R' D
U D B' F' U' R' D'
U D B' F' U' R' D2
U D B' F' U' D R'
U D B' F' U' D' R'
U D B' F' U' D2 R'
U D B' F' D U' R'
U D B' F' D' U' R'
U D B' F' D2 U' R'
B2 U B U' B2 R' B'
L' D' R2 U' B' U L
U D B' F2 U' R' D
U D B' F2 U' R' D'
U D B' F2 U' R' D2
U D B' F2 U' D R'
U D B' F2 U' D' R'
U D B' F2 U' D2 R'
U D B' F2 D U' R'
U D B' F2 D' U' R'
U D B' F2 D2 U' R'
B U F2 B2 U' B R'
F U F2 B' U' R' F
F U F2 B' U' F R'
R D' R' U B' U' R'
F2 U B' L U' R' F2
F2 U B' L U' F2 R'
F2 U B' L' U' R' F2
F2 U B' L' U' F2 R'
R2 D' R2 U B' U' R'
F2 U B' L2 U' R' F2
F2 U B' L2 U' F2 R'
F' U B' U' R F R2
F' U B' U' R' D F
F' U B' U' R' D' F
F' U B' U' R' D2 F
F' U B' U' R' F D
F' U B' U' R' F D'
F' U B' U' R' F D2
F' U B' U' D R' F
F' U B' U' D F R'
F' U B' U' D' R' F
F' U B' U' D' F R'
F' U B' U' D2 R' F
F' U B' U' D2 F R'
F' U B' U' F R' D
F' U B' U' F R' D'
F' U B' U' F R' D2
F' U B' U' F D R'
F' U B' U' F D' R'
F' U B' U' F D2 R'
F' U B' U' F' R' F2
F' U B' D U' R' F
F' U B' D U' F R'
R' D' U F B' U' R'
F' U B' D' U' R' F
F' U B' D' U' F R'
R' D' U F' B' U' R'
F' U B' D2 U' R' F
F' U B' D2 U' F R'
R' D' U F2 B' U' R'
F2 U B' U' R F2 R2
F2 U B' U' R' F2 D
F2 U B' U' R' F2 D'
F2 U B' U' R' F2 D2
F2 U B' U' F R' F
F2 U B' U' F2 R' D
F2 U B' U' F2 R' D'
F2 U B' U' F2 R' D2
F2 U B' U' F2 D R'
F2 U B' U' F2 D' R'
F2 U B' U' F2 D2 R'
R' D' U B' U' R' D
R' D' U B' U' R' D'
R' D' U B' U' R' D2
R' D' U B' U' D R'
R' D' U B' U' D' R'
R' D' U B' U' D2 R'
F' U B' F' U' R' F2
F' U B' F' U' F2 R'
R' D' U B' D U' R'
R' D' U B' D' U' R'
R' D' U B' D2 U' R'
R' D' U B' F U' R'
R' D' U B' F' U' R'
R' D' U B' F2 U' R'
F' U B' F2 U' F' R'
F2 U B' D' L2 U' R'
F2 U B' F U' R' F
F2 U B' F U' F R'
R D' R2 U B' U' R'
F2 U B' F' U' F' R'
F U B' L U' F' R'
F U B' L' U' F' R'
F U B' L2 U' F' R'
R2 D' U F B' U' R'
L' D' U' F B' U L
R2 D' U F' B' U' R'
L' D' U' F' B' U L
R2 D' U F2 B' U' R'
F U B' U' D F' R'
F U B' U' D' F' R'
F U B' U' D2 F' R'
F U B' U' F R' F2
F U B' U' F' R' D
F U B' U' F' R' D'
F U B' U' F' R' D2
F U B' U' F' D R'
F U B' U' F' D' R'
F U B' U' F' D2 R'
F U B' U' F2 R' F
L' D' U' F2 B' U L
U' D' L2 F L2 U R
D' U' L2 F L2 U R
R2 D' U B' U' R' D
R2 D' U B' U' R' D'
R2 D' U B' U' R' D2
R2 D' U B' U' D R'
R2 D' U B' U' D' R'
R2 D' U B' U' D2 R'
R2 D' U B' D U' R'
R2 D' U B' D' U' R'
R2 D' U B' D2 U' R'
R2 D' U B' F U' R'
R2 D' U B' F' U' R'
R2 D' U B' F2 U' R'
L' D' U' B' U L D
L' D' U' B' U L D'
L' D' U' B' U L D2
L' D' U' B' U D L
L' D' U' B' U D' L
L' D' U' B' U D2 L
F U B' D U' F' R'
L' D' U' B' D U L
L' D' U' B' D' U L
L' D' U' B' D2 U L
L' D' U' B' F U L
L' D' U' B' F' U L
L' D' U' B' F2 U L
D2 U' L2 F L2 U R
F U B' D' U' F' R'
F U B' D2 U' F' R'
U2 D' L2 U F U R
F U B' F U' R' F2
F U B' F U' F2 R'
L2 D' U' F B U R'
F U B' F2 U' R' F
F U B' F2 U' F R'
L D' U F B U' L
R D' U F B' U' R'
L2 D' U' B F U R'
B U B2 U' B R' D
B U B2 U' B R' D'
B U B2 U' B R' D2
B U B2 U' B D R'
B U B2 U' B D' R'
B U B2 U' B D2 R'
L D' U B F U' L
R D' U F' B' U' R'
R D' U F2 B' U' R'
R D' U B' U' R' D
R D' U B' U' R' D'
R D' U B' U' R' D2
R D' U B' U' D R'
R D' U B' U' D' R'
R D' U B' U' D2 R'
R D' U B' D U' R'
R D' U B' D' U' R'
R D' U B' D2 U' R'
R D' U B' F U' R'
R D' U B' F' U' R'
R D' U B' F2 U' R'
B U B2 F U' B R'
B U B2 F' U' B R'
B U B2 F2 U' B R'
D U' L2 F L2 U R
U2 D' R' U' F' B' U'
U2 D' R' U' B' F' U'
U D' R' B' R U' R2
D' U' F U2 B' U' R
U' D' F U2 B' U' R
D2 U' F U2 B' U' R
U D' R2 B' R2 U' R
D U' F U2 B' U' R
U D' F D B' U' R'
U D' F D' B' U' R'
U D' F D2 B' U' R'
U D' F B' U' R' D
U D' F B' U' R' D'
U D' F B' U' R' D2
U D' F B' U' D R'
U D' F B' U' D' R'
U D' F B' U' D2 R'
U D' F B' D U' R'
U D' F B' D' U' R'
U D' F B' D2 U' R'
U D' F' D B' U' R'
U D' F' D' B' U' R'
U D' F' D2 B' U' R'
U D' F' B' U' R' D
U D' F' B' U' R' D'
U D' F' B' U' R' D2
U D' F' B' U' D R'
U D' F' B' U' D' R'
U D' F' B' U' D2 R'
U D' F' B' D U' R'
U D' F' B' D' U' R'
U D' F' B' D2 U' R'
U D' F2 D B' U' R'
U D' F2 D' B' U' R'
U D' F2 D2 B' U' R'
U D' F2 B' U' R' D
U D' F2 B' U' R' D'
U D' F2 B' U' R' D2
U D' F2 B' U' D R'
U D' F2 B' U' D' R'
U D' F2 B' U' D2 R'
U D' F2 B' D U' R'
U D' F2 B' D' U' R'
U D' F2 B' D2 U' R'
U D' B' U L U2 R'
U D' B' U L' U2 R'
U D' B' U L2 U2 R'
U D' B' U' R2 D R
U D' B' U' R2 D' R
U D' B' U' R2 D2 R
U D' B' U' D R' D
U D' B' U' D R' D'
U D' B' U' D R' D2
U D' B' U' D' R' D
U D' B' U' D' R' D'
U D' B' U' D' R' D2
U D' B' U' D2 R' D
U D' B' U' D2 R' D'
U D' B' U' D2 R' D2
U D' B' U' F' R' F
U D' B' U' F2 R' F2
U D' B' D U' R' D
U D' B' D U' R' D'
U D' B' D U' R' D2
U D' B' D F U' R'
U D' B' D F' U' R'
U D' B' D F2 U' R'
U D' B' D' U' R' D
U D' B' D' U' R' D'
U D' B' D' U' R' D2
U D' B' D' F U' R'
U D' B' D' F' U' R'
U D' B' D' F2 U' R'
U D' B' D2 U' R' D
U D' B' D2 U' R' D'
U D' B' D2 U' R' D2
U D' B' D2 F U' R'
U D' B' D2 F' U' R'
U D' B' D2 F2 U' R'
U D' B' F U' R' D
U D' B' F U' R' D'
U D' B' F U' R' D2
U D' B' F U' D R'
U D' B' F U' D' R'
U D' B' F U' D2 R'
U D' B' F D U' R'
L D2 L' U B' U' R'
U D' B' F D' U' R'
U D' B' F D2 U' R'
U D' B' F' U' R' D
U D' B' F' U' R' D'
U D' B' F' U' R' D2
U D' B' F' U' D R'
U D' B' F' U' D' R'
U D' B' F' U' D2 R'
U D' B' F' D U' R'
