R2 D F' L' B2
R2 D F' B2 L'
R2 D B2 F' L'
F' U' L' R2 F'
F' U' R2 L' F'
R2 F' L' D B2
R2 F' D L' B2
R2 F' D B2 L'
U' R' F2 R' F' D' L2
U' R2 L D' F L' F2
F' R2 L F' L2 D B2
U' R2 L F2 D' F L'
F' R2 L' D F' B2 D
F' R2 L' D F' B2 D'
F' R2 L' D F' B2 D2
F' R2 L' D B2 D F'
F' R2 L' D B2 D' F'
F' R2 L' D B2 D2 F'
F' R2 L' D B2 F' D
F' R2 L' D B2 F' D'
F' R2 L' D B2 F' D2
U' R2 L' D' F L' F2
F R2 L D F' B2 L
F R2 L D B2 L F'
F R2 L D B2 F' L
F' R2 L' D2 F' D' B2
F' R2 L' F' U R2 U'
F' R2 L' F' D B2 D
F' R2 L' F' D B2 D'
F' R2 L' F' D B2 D2
F' R2 L' F' B D B2
F' R2 L' F' B' D B2
F' R2 L' F' B2 D B2
F' R2 L' F2 D F B2
F' R2 L' F2 D B2 F
F R2 L F' D B2 L
U' R2 L' F2 D' F L'
F' R2 L' B D F' B2
F' R2 L' B D B2 F'
F' R2 L' B F' D B2
U R2 L F' D' L2 B'
F' R2 L' B' D F' B2
F' R2 L' B' D B2 F'
F' R2 L' B' F' D B2
F' R2 L' B2 D F' B2
F' R2 L' B2 D B2 F'
F' R2 L' B2 F' D B2
F' R2 L2 D L F' B2
F' R2 L2 D L B2 F'
F' R2 L2 D F' L B2
U' R2 L2 D' F L' F2
F R2 L' D F' B2 L
F R2 L' D B2 L F'
F R2 L' D B2 F' L
F' R2 L2 F' L D B2
F' R2 L2 F' D L B2
U' R2 L2 F2 D' F L'
F R2 L' F' D B2 L
F R2 L2 D F' B2 L
F R2 L2 D B2 L F'
F R2 L2 D B2 F' L
F R2 L2 F' D B2 L
F' R2 D L F' L2 B2
F' R2 D L F' B2 L2
F' R2 D L B2 L2 F'
F' R2 D L B2 F' L2
F' R2 D L' F' B2 D
F' R2 D L' F' B2 D'
F' R2 D L' F' B2 D2
F' R2 D L' B2 D F'
F' R2 D L' B2 D' F'
F' R2 D L' B2 D2 F'
F' R2 D L' B2 F' D
F' R2 D L' B2 F' D'
F' R2 D L' B2 F' D2
F' R2 D L2 F' L B2
D' R2 D F' L' R2 B2
D' R2 D F' L' B2 R2
D' R2 D F' R2 L' B2
D' R2 D F' R2 B2 L'
D' R2 D F' B2 L' R2
D' R2 D F' B2 R2 L'
U' R2 D F' B' L B
U' R2 D F2 D2 F L'
F' R2 D B L' F' B
F' R2 D B L' B F'
U' R2 D B' L F' B
U' R2 D B' L B F'
D' R2 D B2 F' L' R2
D' R2 D B2 F' R2 L'
U' R2 D B' F' L B
F' R2 D B2 L F' L2
F' R2 D B2 L' D F'
F' R2 D B2 L' D' F'
F' R2 D B2 L' D2 F'
F' R2 D B2 L' F' D
F' R2 D B2 L' F' D'
F' R2 D B2 L' F' D2
F' R2 D B2 L2 F' L
F' R2 D B2 D L' F'
F' R2 D B2 D' L' F'
F' R2 D B2 D2 L' F'
F R2 D L F' B2 L
F R2 D L B2 L F'
F R2 D L B2 F' L
U' R2 D' L F L' F2
F R2 D L' F' B2 L
F R2 D L' B2 L F'
F R2 D L' B2 F' L
U' R2 D' L' F L' F2
F' R2 D' L' D2 F' B2
F' R2 D' L' D2 B2 F'
F R2 D L2 F' B2 L
F R2 D L2 B2 L F'
F R2 D L2 B2 F' L
U' R2 D' L2 F L' F2
U' R2 D' F L F2 L2
U' R2 D' F L' F2 D
U' R2 D' F L' F2 D'
U' R2 D' F L' F2 D2
U' R2 D' F L2 F2 L
F R2 D F B2 L F2
F R2 D F' L B2 L
F R2 D F' L' B2 L
F R2 D F' L2 B2 L
U' R2 D' F' U2 R U2
F R2 D F' B2 L D
F R2 D F' B2 L D'
F R2 D F' B2 L D2
F R2 D F' B2 D L
F R2 D F' B2 D' L
F R2 D F' B2 D2 L
F R2 D B2 L D F'
F R2 D B2 L D' F'
F R2 D B2 L D2 F'
F R2 D B2 L F' D
F R2 D B2 L F' D'
F R2 D B2 L F' D2
F R2 D B2 L' F' L2
F R2 D B2 D L F'
F R2 D B2 D F' L
F R2 D B2 D' L F'
F R2 D B2 D' F' L
F R2 D B2 D2 L F'
F R2 D B2 D2 F' L
F R2 D B2 F L F2
F R2 D B2 F' L D
F R2 D B2 F' L D'
F R2 D B2 F' L D2
F R2 D B2 F' D L
F R2 D B2 F' D' L
F R2 D B2 F' D2 L
U' R2 D2 L' F' D' L2
D R2 D' F' L' R2 B
D R2 D' F' R2 L' B
D R2 D' F' R2 B L'
U' R2 D2 F2 D F L'
R2 D L F' L B2 L2
R2 D L F' L' B2 D
R2 D L F' L' B2 D'
R2 D L F' L' B2 D2
R2 D L F' B L' B
R2 D L F' B2 L' D
R2 D L F' B2 L' D'
R2 D L F' B2 L' D2
R2 D L F' B2 D L'
R2 D L F' B2 D' L'
R2 D L F' B2 D2 L'
R2 D L B F' L' B
R2 D L B2 L F' L'
R2 D L B2 L' F' L'
R2 D L B2 L2 F' L'
R2 D L B2 D F' L'
R2 D L B2 D' F' L'
R2 D L B2 D2 F' L'
R2 D L B2 F' L' D
R2 D L B2 F' L' D'
R2 D L B2 F' L' D2
R2 D L B2 F' D L'
R2 D L B2 F' D' L'
R2 D L B2 F' D2 L'
F2 R2 F L' F2 D B2
F R2 D2 F' D' B2 L
R2 D L' F' L B2 L2
R2 D L' F' L' B2 D
R2 D L' F' L' B2 D'
R2 D L' F' L' B2 D2
R2 D L' F' B L' B
R2 D L' F' B2 L' D
R2 D L' F' B2 L' D'
R2 D L' F' B2 L' D2
R2 D L' F' B2 D L'
R2 D L' F' B2 D' L'
R2 D L' F' B2 D2 L'
R2 D L' B F' L' B
R2 D L' B2 L F' L'
R2 D L' B2 L' F' L'
R2 D L' B2 L2 F' L'
R2 D L' B2 D F' L'
R2 D L' B2 D' F' L'
R2 D L' B2 D2 F' L'
R2 D L' B2 F' L' D
R2 D L' B2 F' L' D'
R2 D L' B2 F' L' D2
R2 D L' B2 F' D L'
R2 D L' B2 F' D' L'
R2 D L' B2 F' D2 L'
U' R2 F' D B' L B
U' R2 F' D' F L' F'
R2 D L2 F' L B2 L2
R2 D L2 F' L' B2 D
R2 D L2 F' L' B2 D'
R2 D L2 F' L' B2 D2
R2 D L2 F' B L' B
R2 D L2 F' B2 L' D
R2 D L2 F' B2 L' D'
R2 D L2 F' B2 L' D2
R2 D L2 F' B2 D L'
R2 D L2 F' B2 D' L'
R2 D L2 F' B2 D2 L'
U' R2 F' B D B' L
R2 D L2 B F' L' B
R2 D L2 B2 L F' L'
F R2 F' L D B2 L
R2 D L2 B2 L' F' L'
R2 D L2 B2 L2 F' L'
R2 D L2 B2 D F' L'
R2 D L2 B2 D' F' L'
R2 D L2 B2 D2 F' L'
R2 D L2 B2 F' L' D
R2 D L2 B2 F' L' D'
R2 D L2 B2 F' L' D2
R2 D L2 B2 F' D L'
R2 D L2 B2 F' D' L'
R2 D L2 B2 F' D2 L'
F R2 F' L' D B2 L
F R2 F' L2 D B2 L
D' R2 F2 R2 U' F L'
U R2 F' L2 D' B' L
F R2 F' D L B2 L
F R2 F' D L' B2 L
F R2 F' D L2 B2 L
R' D R' D F' L' B2
R' D R' D F' B2 L'
R' D R' D B2 F' L'
F R2 F' D B2 L D
F R2 F' D B2 L D'
F R2 F' D B2 L D2
U' R2 F2 D' F L' D
U' R2 F2 D' F L' D'
U' R2 F2 D' F L' D2
F R2 F' D B2 D L
U' R2 F2 D' F D L'
F R2 F' D B2 D' L
U' R2 F2 D' F D' L'
U' R2 F2 D' F D2 L'
F R2 F' D B2 D2 L
R' D R' F' L' D B2
R' D R' F' D L' B2
R' D R' F' D B2 L'
F R2 F' B2 L D B2
F R2 F' B2 D L B2
F' R2 B L' D F' B2
F' R2 B L' D B2 F'
F' R2 B L' F' D B2
F' R2 B D L' F' B2
F' R2 B D L' B2 F'
U' R2 B D F' B' L
U' R2 B D B' L F'
U' R2 B D B' F' L
F' R2 B D B2 L' F'
F R2 F2 D F B2 L
F R2 F2 D B2 F L
U' R2 B F' D B' L
F' R2 B' L' D F' B2
F' R2 B' L' D B2 F'
R2 D R' B2 R F' L'
F' R2 B' L' F' D B2
F' R2 B' D L' F' B2
F' R2 B' D L' B2 F'
F' R2 B' D B2 L' F'
F' R2 B2 L' D F' B2
F' R2 B2 L' D B2 F'
F' R2 B2 L' F' D B2
F' R2 B2 D L' F' B2
F' R2 B2 D L' B2 F'
F' R2 B2 D B2 L' F'
F R2 B2 L D F' B2
F R2 B2 L D B2 F'
F R2 B2 L F' D B2
F' U L R2 F' L2 B'
F' U L U2 L2 R2 F'
F' U L U2 R2 L2 F'
F' U L U2 R2 F' L2
F R2 B2 D L F' B2
F R2 B2 D L B2 F'
F R2 B2 D F' L B2
F' U L B U2 L2 R2
F' U L B U2 R2 L2
F R2 B2 F' L D B2
F R2 B2 F' D L B2
F U L R U2 R F'
B U L F U R2 B
F' U L' F R2 F' B
F' U L' F R2 B F'
R2 D F L F2 L' B2
R2 D F L F2 B2 L'
R2 D F L B2 F2 L'
R2 D F L' F2 L' B2
R2 D F L' F2 B2 L'
R2 D F L' B2 F2 L'
R2 D F L2 F2 L' B2
R2 D F L2 F2 B2 L'
R2 D F L2 B2 F2 L'
F U L B R U2 R
F U L' R U2 R F'
F' U L2 U2 L R2 F'
F' U L2 U2 R2 L F'
F' U L2 U2 R2 F' L
D2 U L2 D' B R' U2
R2 D F B2 L F2 L'
R2 D F B2 L' F2 L'
R2 D F B2 L2 F2 L'
R2 D F' L B L2 B
R2 D F' L B2 L2 D
R2 D F' L B2 L2 D'
R2 D F' L B2 L2 D2
R2 D F' L' R' B2 R
R2 D F' L' R2 B2 R2
R2 D F' L' B D B
R2 D F' L' B D' B
R2 D F' L' B D2 B
R2 D F' L' B' D B'
R2 D F' L' B' D' B'
R2 D F' L' B' D2 B'
F U L' B R U2 R
R2 D F' R' L' B2 R
R2 D F' R' B2 L' R
R2 D F' R' B2 R L'
R2 D F' R2 L' B2 R2
R2 D F' R2 B2 L' R2
R2 D F' R2 B2 R2 L'
F U L2 R U2 R F'
F' U R U2 L' R F'
F' U R U2 R L' F'
R2 D F' D' L' D B2
R2 D F' D2 L' D2 B2
R2 D F' B L B L2
R2 D F' B L' D B
R2 D F' B L' D' B
R2 D F' B L' D2 B
R2 D F' B L' B D
R2 D F' B L' B D'
R2 D F' B L' B D2
R2 D F' B D L' B
R2 D F' B D B L'
R2 D F' B D' L' B
R2 D F' B D' B L'
R2 D F' B D2 L' B
R2 D F' B D2 B L'
R2 D F' B' D B' L'
R2 D F' B' D' B' L'
R2 D F' B' D2 B' L'
R2 D F' B2 L2 D L
R2 D F' B2 L2 D' L
R2 D F' B2 L2 D2 L
R2 D F' B2 D L' D
R2 D F' B2 D L' D'
R2 D F' B2 D L' D2
R2 D F' B2 D' L' D
R2 D F' B2 D' L' D'
R2 D F' B2 D' L' D2
R2 D F' B2 D2 L' D
R2 D F' B2 D2 L' D'
R2 D F' B2 D2 L' D2
F U L2 B R U2 R
F U R L U2 R F'
F U R L' U2 R F'
F U R L2 U2 R F'
F U R U2 R D F'
F U R U2 R D' F'
F U R U2 R D2 F'
F U R U2 R F' D
F U R U2 R F' D'
F U R U2 R F' D2
R2 D B L F' L' B
R2 D B L F' B L'
R2 D B L B F' L'
R2 D B L' F' L' B
R2 D B L' F' B L'
R2 D B L' B F' L'
R2 D B L2 F' L' B
R2 D B L2 F' B L'
R2 D B L2 B F' L'
F U R B U2 R F'
F' U R2 L F' L2 B'
F U R B' U2 R F'
F U R B2 U2 R F'
R2 D B D F' L' B
R2 D B D F' B L'
R2 D B D B F' L'
R2 D B D' F' L' B
R2 D B D' F' B L'
R2 D B D' B F' L'
R2 D B D2 F' L' B
R2 D B D2 F' B L'
R2 D B D2 B F' L'
R2 D B F' L B L2
R2 D B F' L' D B
R2 D B F' L' D' B
R2 D B F' L' D2 B
R2 D B F' L' B D
R2 D B F' L' B D'
R2 D B F' L' B D2
R2 D B F' D L' B
R2 D B F' D B L'
R2 D B F' D' L' B
R2 D B F' D' B L'
R2 D B F' D2 L' B
R2 D B F' D2 B L'
R2 D B' L F' L' B'
R2 D B' D F' B' L'
R2 D B' D B' F' L'
R2 D B' D' F' B' L'
R2 D B' D' B' F' L'
R2 D B' D2 F' B' L'
R2 D B' D2 B' F' L'
R2 D B' F' D B' L'
R2 D B' F' D' B' L'
R2 D B' F' D2 B' L'
R2 D B2 L D F' L'
R2 D B2 L D' F' L'
R2 D B2 L D2 F' L'
R2 D B2 L F' L' D
R2 D B2 L F' L' D'
R2 D B2 L F' L' D2
R2 D B2 L F' D L'
R2 D B2 L F' D' L'
R2 D B2 L F' D2 L'
R2 D B2 L' D F' L'
R2 D B2 L' D' F' L'
R2 D B2 L' D2 F' L'
R2 D B2 L' F' L' D
R2 D B2 L' F' L' D'
R2 D B2 L' F' L' D2
R2 D B2 L' F' D L'
R2 D B2 L' F' D' L'
R2 D B2 L' F' D2 L'
R2 D B2 L2 D F' L'
R2 D B2 L2 D' F' L'
R2 D B2 L2 D2 F' L'
R2 D B2 L2 F' L' D
R2 D B2 L2 F' L' D'
R2 D B2 L2 F' L' D2
R2 D B2 L2 F' D L'
R2 D B2 L2 F' D' L'
R2 D B2 L2 F' D2 L'
R2 D B2 D L F' L'
R2 D B2 D L' F' L'
R2 D B2 D L2 F' L'
R2 D B2 D F' L' D
R2 D B2 D F' L' D'
R2 D B2 D F' L' D2
R2 D B2 D F' D L'
R2 D B2 D F' D' L'
R2 D B2 D F' D2 L'
R2 D B2 D' L F' L'
R2 D B2 D' L' F' L'
R2 D B2 D' L2 F' L'
R2 D B2 D' F' L' D
R2 D B2 D' F' L' D'
R2 D B2 D' F' L' D2
R2 D B2 D' F' D L'
R2 D B2 D' F' D' L'
R2 D B2 D' F' D2 L'
R2 D B2 D2 L F' L'
R2 D B2 D2 L' F' L'
R2 D B2 D2 L2 F' L'
R2 D B2 D2 L2 F' L'
R2 D B2 D2 F' L' D
R2 D B2 D2 F' L' D'
R2 D B2 D2 F' L' D2
R2 D B2 D2 F' D L'
R2 D B2 D2 F' D' L'
R2 D B2 D2 F' D2 L'
R2 D B2 F L F2 L'
R2 D B2 F L' F2 L'
R2 D B2 F L2 F2 L'
R2 D B2 F' L2 D L
R2 D B2 F' L2 D' L
R2 D B2 F' L2 D2 L
R2 D B2 F' D L' D
R2 D B2 F' D L' D'
R2 D B2 F' D L' D2
R2 D B2 F' D' L' D
R2 D B2 F' D' L' D'
R2 D B2 F' D' L' D2
R2 D B2 F' D2 L' D
R2 D B2 F' D2 L' D'
R2 D B2 F' D2 L' D2
F2 U D2 L2 B R' U2
F' U D2 B L2 U2 L
R2 D' L D2 F' L' B2
R2 D' L D2 F' B2 L'
R2 D' L D2 B2 F' L'
F2 U D2 B L2 R' U2
F2 U D2 B R' L2 U2
F2 U F L' R2 F' B
F' U F R2 F' L' B
F2 U F L' R2 B F'
F' U F R2 F' B L'
F' U F R2 B F' L'
F U D2 L2 B R U2
F2 U F R2 L' F' B
F2 U F R2 L' B F'
F2 U F R2 B L' F'
R2 D' L' D2 F' L' B2
R2 D' L' D2 F' B2 L'
R2 D' L' D2 B2 F' L'
F U D2 B L2 R U2
F U D2 B R L2 U2
B U F U R2 B L
R2 D' L2 D2 F' L' B2
R2 D' L2 D2 F' B2 L'
R2 D' L2 D2 B2 F' L'
D U B U B U L
U D B U B U L
R' D' R' D F' L' B2
R' D' R' D F' B2 L'
R' D' R' D B2 F' L'
R' D' R' F' L' D B2
R' D' R' F' D L' B2
R' D' R' F' D B2 L'
F' U B L U2 L2 R2
F' U B L U2 R2 L2
F' U B L2 U2 L R2
F' U B L2 U2 R2 L
F' U B R U2 L' R
F' U B R U2 R L'
F' U B R' U2 L' R'
F' U B R' U2 R' L'
U2 D B2 U' B' U2 L
F' U B U2 L' R2 D
F' U B U2 L' R2 D'
F' U B U2 L' R2 D2
F' U B U2 R2 L' D
F' U B U2 R2 L' D'
F' U B U2 R2 L' D2
F' U B U2 R2 D L'
F' U B U2 R2 D' L'
F' U B U2 R2 D2 L'
F' U B D2 L2 U2 L
F U B L R U2 R
F U B L' R U2 R
F U B L2 R U2 R
F U B R L U2 R
F U B R L' U2 R
F U B R L2 U2 R
F U B R U2 R D
F U B R U2 R D'
F U B R U2 R D2
F U B R U2 D R
F U B R U2 D' R
F U B R U2 D2 R
F U B R D U2 R
F U B R D' U2 R
F U B R D2 U2 R
F U B D2 L2 R U2
F U B D2 R L2 U2
F U B' R B2 U2 R
F' U' L R2 F L2 F2
F' U' L R2 F' L2 D
F' U' L R2 F' L2 D'
F' U' L R2 F' L2 D2
F2 U' L R2 F L' F2
F U B2 R B' U2 R
F' U' L F L2 R2 F'
F' U' L F R2 L2 F'
F' U' L F R2 F' L2
F' U' L F' L2 R2 F'
F' U' L F' R2 L2 F'
F' U' L F' R2 F' L2
F' U' L F2 L2 R2 F'
F' U' L F2 R2 L2 F'
F' U' L F2 R2 F' L2
F2 U' L F L' R2 F'
F2 U' L F R2 L' F'
F2 U' L F2 R2 F' L'
F' U' L' R' D R' F'
F' U' L' R' D' R' F'
F' U' L' R' D2 R' F'
F' U' L' R' F R' F'
F' U' L' R' F' R' F'
F' U' L' R' F2 R' F'
F' U' L' R2 D F' D
F' U' L' R2 D F' D'
F' U' L' R2 D F' D2
F' U' L' R2 D' F' D
F' U' L' R2 D' F' D'
F' U' L' R2 D' F' D2
F' U' L' R2 D2 F' D
F' U' L' R2 D2 F' D'
F' U' L' R2 D2 F' D2
F' U' L' R2 F2 D F
F' U' L' R2 F2 D' F
F' U' L' R2 F2 D2 F
F' U' L' U2 B U2 R2
F2 U' L' R2 F L' F2
F' U' L' F R2 D F'
F' U' L' F R2 D' F'
F' U' L' F R2 D2 F'
F' U' L' F R2 F' D
F' U' L' F R2 F' D'
F' U' L' F R2 F' D2
F' U' L' F' R2 D F'
F' U' L' F' R2 D' F'
F' U' L' F' R2 D2 F'
F' U' L' F' R2 F' D
F' U' L' F' R2 F' D'
F' U' L' F' R2 F' D2
F' U' L' F2 R2 D F'
F' U' L' F2 R2 D' F'
F' U' L' F2 R2 D2 F'
F' U' L' F2 R2 F' D
F' U' L' F2 R2 F' D'
F' U' L' F2 R2 F' D2
R2 D' F L' F2 L' B'
R2 D' F L2 F2 B' L'
R2 D' F L2 B' F2 L'
F2 U' L' F L' R2 F'
F2 U' L' F R2 L' F'
F U' L F' R2 F' L'
F2 U' L' F2 R2 F' L'
F U' L F2 L' R2 F'
F U' L F2 R2 L' F'
F' U' L2 R2 D L F'
F' U' L2 R2 D F' L
F' U' L2 R2 D' L F'
F' U' L2 R2 D' F' L
F' U' L2 R2 D2 L F'
F' U' L2 R2 D2 F' L
F' U' L2 R2 F L F2
F' U' L2 R2 F' L D
F' U' L2 R2 F' L D'
F' U' L2 R2 F' L D2
F' U' L2 R2 F' D L
F' U' L2 R2 F' D' L
F' U' L2 R2 F' D2 L
B2 U' L2 R2 D' F L'
F2 U' L2 R2 F L' F2
F' U' L2 F L R2 F'
F' U' L2 F R2 L F'
F' U' L2 F R2 F' L
F' U' L2 F' L R2 F'
F' U' L2 F' R2 L F'
F' U' L2 F' R2 F' L
F' U' L2 F2 L R2 F'
R2 D' F' L' R2 B R2
F' U' L2 F2 R2 L F'
R2 D' F' L' U2 F' U2
F' U' L2 F2 R2 F' L
F2 U' L2 F L' R2 F'
F2 U' L2 F R2 L' F'
F2 U' L2 F2 R2 F' L'
R2 D' F' R2 L' B R2
F U' L' F' R2 F' L'
R2 D' F' R2 B L' R2
R2 D' F' R2 B R2 L'
F U' L' F2 L' R2 F'
F U' L' F2 R2 L' F'
F' U' R D2 L' R F
F' U' R D2 R L' F
F U' L2 F' R2 F' L'
F' U' R' L' D R' F'
F' U' R' L' D' R' F'
F' U' R' L' D2 R' F'
F' U' R' L' F R' F'
F' U' R' L' F' R' F'
F' U' R' L' F2 R' F'
F U' L2 F2 L' R2 F'
F U' L2 F2 R2 L' F'
F' U' R' D L' R' F'
F' U' R' D R' L' F'
F' U' R' D' L' R' F'
F' U' R' D' R' L' F'
F' U' R' D2 L' R' F'
F' U' R' D2 R' L' F'
F' U' R' F R' F' L'
B U' R B U' R B'
B U' R B U' B' R
F2 U' R' F L' R' F'
F2 U' R' F R' L' F'
F' U' R2 L F L2 F2
F' U' R2 L F' L2 D
F' U' R2 L F' L2 D'
F' U' R2 L F' L2 D2
F2 U' R' F2 R' F' L'
F' U' R2 L' D F' D
F' U' R2 L' D F' D'
F' U' R2 L' D F' D2
F' U' R2 L' D' F' D
F' U' R2 L' D' F' D'
F' U' R2 L' D' F' D2
F' U' R2 L' D2 F' D
F' U' R2 L' D2 F' D'
F' U' R2 L' D2 F' D2
F' U' R2 L' F2 D F
F' U' R2 L' F2 D' F
F' U' R2 L' F2 D2 F
F' U' R2 L2 D L F'
F' U' R2 L2 D F' L
F' U' R2 L2 D' L F'
F' U' R2 L2 D' F' L
F' U' R2 L2 D2 L F'
F' U' R2 L2 D2 F' L
F' U' R2 L2 F L F2
F' U' R2 L2 F' L D
F' U' R2 L2 F' L D'
F' U' R2 L2 F' L D2
F' U' R2 L2 F' D L
F' U' R2 L2 F' D' L
F' U' R2 L2 F' D2 L
B2 U' R2 L2 D' F L'
F2 U' R2 L F L' F2
F2 U' R2 L' F L' F2
F' U' R2 D L F' L2
F' U' R2 D L' D F'
F' U' R2 D L' D' F'
F' U' R2 D L' D2 F'
F' U' R2 D L' F' D
F' U' R2 D L' F' D'
F' U' R2 D L' F' D2
F' U' R2 D L2 F' L
F2 U' R2 L2 F L' F2
F' U' R2 D' L F' L2
F' U' R2 D' L' D F'
F' U' R2 D' L' D' F'
F' U' R2 D' L' D2 F'
F' U' R2 D' L' F' D
F' U' R2 D' L' F' D'
F' U' R2 D' L' F' D2
F' U' R2 D' L2 F' L
R2 D' B D2 F' L' B2
R2 D' B D2 F' B2 L'
F' U' R2 D2 L F' L2
F' U' R2 D2 L' D F'
F' U' R2 D2 L' D' F'
F' U' R2 D2 L' D2 F'
F' U' R2 D2 L' F' D
F' U' R2 D2 L' F' D'
F' U' R2 D2 L' F' D2
F' U' R2 D2 L2 F' L
R2 D' B D2 B2 F' L'
B2 U' R2 D' L2 F L'
F' U' R2 B' L' F' B
F' U' R2 B' L' B F'
F2 U' R2 F L F2 L2
F2 U' R2 F L' F2 D
F2 U' R2 F L' F2 D'
F2 U' R2 F L' F2 D2
F2 U' R2 F L2 F2 L
F' U' R2 B2 L' F' B2
F' U' R2 B2 L' B2 F'
F U' R' D2 L2 R' F'
F U' R' D2 R' L2 F'
F U' R' D2 R' F' L2
F2 U' R2 F' U2 R U2
F' U' D L' D' R2 F'
R2 D' B' D2 F' L' B2
R2 D' B' D2 F' B2 L'
R2 D' B' D2 B2 F' L'
F' U' D' L' D R2 F'
F U' R2 F' U2 R' U2
F U' R2 F' B2 L B2
F U' R2 B2 L F' B2
F U' R2 B2 L B2 F'
F U' R2 B2 F' L B2
R2 D' B2 D2 F' L' B2
R2 D' B2 D2 F' B2 L'
R2 D' B2 D2 B2 F' L'
R2 D2 L F' L' D' B2
F' U' F L R2 F' L'
F' U' F L' R2 F' L'
F' U' F L2 R2 F' L'
F2 U' F L R2 F' L2
F2 U' F L' R2 D F'
F2 U' F L' R2 D' F'
F2 U' F L' R2 D2 F'
F2 U' F L' R2 F' D
F2 U' F L' R2 F' D'
F2 U' F L' R2 F' D2
F' U' F R2 L F' L'
F' U' F R2 L' F' L'
F' U' F R2 L2 F' L'
F' U' F R2 D F' L'
F2 U' F L' F R2 F'
F' U' F R2 D' F' L'
F2 U' F L' F' R2 F'
F' U' F R2 D2 F' L'
F2 U' F L' F2 R2 F'
F' U' F R2 F' L' D
F' U' F R2 F' L' D'
F' U' F R2 F' L' D2
F' U' F R2 F' D L'
F' U' F R2 F' D' L'
F' U' F R2 F' D2 L'
F2 U' F L2 R2 F' L
F2 U' F R2 L F' L2
F2 U' F R2 L' D F'
F2 U' F R2 L' D' F'
F2 U' F R2 L' D2 F'
F2 U' F R2 L' F' D
F2 U' F R2 L' F' D'
F2 U' F R2 L' F' D2
F2 U' F R2 L2 F' L
F2 U' F R2 D L' F'
F2 U' F R2 D' L' F'
F2 U' F R2 D2 L' F'
F' U' F' R2 F L' F2
F U' F R2 F L' F2
F2 U' F2 L R2 F' L'
F2 U' F2 L' R2 F' L'
F U' F' L R2 F' L'
F2 U' F2 L2 R2 F' L'
F U' F' L' R2 F' L'
F U' F' L2 R2 F' L'
F2 U' F2 R2 L F' L'
F2 U' F2 R2 L' F' L'
F2 U' F2 R2 L2 F' L'
R' D2 R' D F' L' B2
R' D2 R' D F' B2 L'
F2 U' F2 R2 D F' L'
F2 U' F2 R2 D' F' L'
R' D2 R' D B2 F' L'
F2 U' F2 R2 D2 F' L'
F2 U' F2 R2 F' L' D
F2 U' F2 R2 F' L' D'
F2 U' F2 R2 F' L' D2
F2 U' F2 R2 F' D L'
F2 U' F2 R2 F' D' L'
F2 U' F2 R2 F' D2 L'
F U' F' R2 L F' L'
F U' F' R2 L' F' L'
F U' F' R2 L2 F' L'
F U' F' R2 D F' L'
F U' F' R2 D' F' L'
F U' F' R2 D2 F' L'
F U' F' R2 F' L' D
F U' F' R2 F' L' D'
F U' F' R2 F' L' D2
F U' F' R2 F' D L'
F U' F' R2 F' D' L'
F U' F' R2 F' D2 L'
R' D2 R' F' L' D B2
R' D2 R' F' D L' B2
R' D2 R' F' D B2 L'
F U' F2 L R2 F' L2
F U' F2 L' R2 D F'
F U' F2 L' R2 D' F'
F U' F2 L' R2 D2 F'
F U' F2 L' R2 F' D
F U' F2 L' R2 F' D'
F U' F2 L' R2 F' D2
F U' F2 L' F R2 F'
F U' F2 L' F' R2 F'
F U' F2 L' F2 R2 F'
F U' F2 L2 R2 F' L
F' U' B U2 R2 B' L'
F' U' B U2 B' L' R2
F' U' B U2 B' R2 L'
F U' F2 R2 L F' L2
F U' F2 R2 L' D F'
F U' F2 R2 L' D' F'
F U' F2 R2 L' D2 F'
F U' F2 R2 L' F' D
F U' F2 R2 L' F' D'
F U' F2 R2 L' F' D2
F U' F2 R2 L2 F' L
F U' F2 R2 D L' F'
F U' F2 R2 D' L' F'
F U' F2 R2 D2 L' F'
F' U' B' L' B R2 F'
F U' B R U2 R B'
F U' B R U2 B' R
U D2 L2 D' B R' U2
B U' B' U' B L R2
B U' B' U' B R2 L
R2 D2 U' L2 U F' L'
R2 D2 F' L' U' L' U
F' U2 R U L' R F'
F' U2 R U R L' F'
R2 D2 F' U' L2 U L
R2 D2 F' D L' D2 B2
R2 D2 F' D' L B2 L2
R2 D2 F' D' L' B2 D
R2 D2 F' D' L' B2 D'
R2 D2 F' D' L' B2 D2
R2 D2 F' D' B L' B
R2 D2 F' D' B2 L' D
R2 D2 F' D' B2 L' D'
R2 D2 F' D' B2 L' D2
R2 D2 F' D' B2 D L'
R2 D2 F' D' B2 D' L'
R2 D2 F' D' B2 D2 L'
R2 D2 F' D2 L' D B2
R2 D2 F' B D' L' B2
R2 D2 F' B D' B2 L'
R2 D2 F' B' D' L' B2
R2 D2 F' B' D' B2 L'
R2 D2 F' B2 D' L' B2
R2 D2 F' B2 D' B2 L'
R2 D2 B D' F' L' B2
R2 D2 B D' F' B2 L'
R2 D2 B D' B2 F' L'
R2 D2 B F' D' L' B2
R2 D2 B F' D' B2 L'
R2 D2 B' D' F' L' B2
R2 D2 B' D' F' B2 L'
R2 D2 B' D' B2 F' L'
R2 D2 B' F' D' L' B2
R2 D2 B' F' D' B2 L'
R2 D2 B2 D' F' L' B2
R2 D2 B2 D' F' B2 L'
R2 D2 B2 D' B2 F' L'
