L F2 R B U
D2 B2 R' F' U'
L R F2 B R U
R L F2 B R U
L R B F2 R U
R L B F2 R U
U2 L F2 U2 F' U'
U2 L' F2 B' L2 U
U2 L' B' L2 F2 U
U2 L' B' F2 L2 U
B2 R' D' F' U' L2
B2 R' D2 F' B2 U'
B2 R' D2 B2 F' U'
R U2 L F2 B U
R U2 L B F2 U
B2 R' F' U2 F' U
D2 R' F' B2 R' U'
D2 R' B2 F' R' U'
R U2 F2 L B U
R' D2 F' B2 R' U'
R' D2 B2 F' R' U'
D2 F B2 R' F' U'
R' F' U2 L F' U
R' F' U2 F' L U
B2 D' R' F' U' L2
D2 F' B2 R' F' U'
U2 F2 L U2 F U'
U2 F2 L' B' L2 U
L F2 R D B U
L F2 R D' B U
L F2 R D2 B U
L F2 R B U D
L F2 R B U D'
L F2 R B U D2
L F2 R B D U
L F2 R B D' U
L F2 R B D2 U
L F2 D R B U
L F2 D' R B U
L F2 D2 R B U
B2 D2 R' F' B2 U'
B2 D2 R' B2 F' U'
L F2 B R B U
L F2 B' R B U
D2 F2 B2 R' F' U'
L F2 B2 R B U
L B F2 R B U
L B' F2 R B U
D2 B2 R' D F' U'
D2 B2 R' D F' U'
D2 B2 R' D' F' U'
D2 B2 R' D2 F' U'
D2 B2 R' F' U' D
D2 B2 R' F' U' D'
D2 B2 R' F' U' D2
D2 B2 R' F' D U'
D2 B2 R' F' D' U'
D2 B2 R' F' D2 U'
D' B2 R' F' U' L2
D2 B2 D R' F' U'
D2 B2 D' R' F' U'
D2 B2 D2 R' F' U'
D2 B2 D2 R' F' U'
D2 B2 F R' F' U'
D2 B2 F' R' F' U'
D2 B2 F2 R' F' U'
L B2 F2 R B U
L B2 R B F2 R U
D B2 R' F' U R' U2
D B2 R' F' B2 U' L
D B2 R' B2 F' U' L
R B2 R' U2 F2 B' U
R B2 R' U2 B' F2 U
B2 F2 R' F' U2 F U
D2 B2 U' B' D' R' B
F2 B2 R' F' U2 F U
F' B2 R2 B R F' U'
D2 B2 D R' D F' U'
D2 B2 D R' D' F' U'
D2 B2 D R' D2 F' U'
D2 B2 D R' F' U' D
D2 B2 D R' F' U' D'
D2 B2 D R' F' U' D2
D2 B2 D R' F' D U'
D2 B2 D R' F' D' U'
D2 B2 D R' F' D2 U'
F B2 R' F' U' D' L2
F B2 R' F' U2 F2 U
F B2 R' F' D' U' L2
F B2 R' F' D2 B2 U'
D2 B2 D F R' F' U'
D2 B2 D F' R' F' U'
D2 B2 D F2 R' F' U'
D2 B2 D' R' D F' U'
D2 B2 D' R' D' F' U'
D2 B2 D' R' D2 F' U'
D2 B2 D' R' F' U' D
D2 B2 D' R' F' U' D'
D2 B2 D' R' F' U' D2
D2 B2 D' R' F' D U'
D2 B2 D' R' F' D' U'
D2 B2 D' R' F' D2 U'
D' B2 D' R' F' B2 U'
D' B2 D' R' B2 F' U'
D2 B2 D' F R' F' U'
R' B2 D' F' R' U' L2
D2 B2 D' F' R' F' U'
D2 B2 D' F2 R' F' U'
D B2 D R' F' B2 U'
D B2 D R' B2 F' U'
D2 B2 D2 R' D F' U'
D2 B2 D2 R' D' F' U'
D2 B2 D2 R' D2 F' U'
D2 B2 D2 R' F' U' D
D2 B2 D2 R' F' U' D'
D2 B2 D2 R' F' U' D2
D2 B2 D2 R' F' D U'
D2 B2 D2 R' F' D' U'
D2 B2 D2 R' F' D2 U'
D2 B2 D2 F R' F' U'
R' B2 D2 F' R' B2 U'
D2 B2 D2 F' R' F' U'
D2 B2 D2 F2 R' F' U'
D2 B2 F R' D F' U'
D2 B2 F R' D' F' U'
D2 B2 F R' D2 F' U'
D2 B2 F R' F' U' D
D2 B2 F R' F' U' D'
D2 B2 F R' F' U' D2
D2 B2 F R' F' D U'
D2 B2 F R' F' D' U'
D2 B2 F R' F' D2 U'
D' B2 F R' F' U' L2
D2 B2 F D R' F' U'
D2 B2 F D' R' F' U'
D2 B2 F D2 R' F' U'
D B2 D2 R' F' U' L2
D2 B2 F' R' D F' U'
D2 B2 F' R' D' F' U'
D2 B2 F' R' D2 F' U'
D2 B2 F' R' F' U' D
D2 B2 F' R' F' U' D'
D2 B2 F' R' F' U' D2
D2 B2 F' R' F' D U'
D2 B2 F' R' F' D' U'
D2 B2 F' R' F' D2 U'
R' B2 F' R2 B R U'
D' B2 F' R' F' U' L2
D2 B2 F' D R' F' U'
D2 B2 F' D' R' F' U'
D2 B2 F' D2 R' F' U'
D2 B2 F2 R' D F' U'
D2 B2 F2 R' D' F' U'
D2 B2 F2 R' D2 F' U'
D2 B2 F2 R' F' U' D
D2 B2 F2 R' F' U' D'
D2 B2 F2 R' F' U' D2
D2 B2 F2 R' F' D U'
D2 B2 F2 R' F' D' U'
D2 B2 F2 R' F' D2 U'
D' B2 F2 R' F' U' L2
D2 B2 F2 D R' F' U'
D2 B2 F2 D' R' F' U'
D2 B2 F2 D2 R' F' U'
U2 B2 F2 U2 R' F' U'
L B2 F2 R D B U
L B2 F2 R D' B U
L B2 F2 R D2 B U
L B2 F2 R B U D
L B2 F2 R B U D'
L B2 F2 R B U D2
L B2 F2 R B D U
L B2 F2 R B D' U
L B2 F2 R B D2 U
L B2 F2 D R B U
L B2 F2 D' R B U
L B2 F2 D2 R B U
