D' L F2 L R
D' L F2 R L
D' L2 F2 D2 R2
D R2 B2 U2 B2
L' D' L2 F2 R
L D' F2 L2 R
L D' F2 R L2
D' F2 L2 D2 R2
D B2 R2 U2 B2
D2 R D' B2 R2 U2 B2
D' R D2 R2 B2 U2 B2
D R D2 L F2 L' R
D R D2 L F2 R L'
D' R D2 B2 R2 U2 B2
D' R F' L2 D2 F' R2
D' R F' L2 F' D2 R2
D' R F' U2 F' L2 B'
D' R F2 L2 R D2 R2
D' R F2 L2 R' D2 R2
D' R F2 L2 R2 D2 R2
D' R F2 L2 U2 L2 U2
D' R F2 L2 D2 R2 D
D' R F2 L2 D2 R2 D'
D' R F2 L2 D2 R2 D2
D' R F2 R L2 D2 R2
D' R F2 R' L2 D2 R2
D' R F2 R2 L2 D2 R2
U' R F2 U2 L' F2 U'
R U' R F2 U D R2
R' U' R' F2 U D R2
R U' R F2 U2 F2 U'
R U' R F2 D U R2
R' U' R' F2 U2 F2 U'
R' U' R' F2 D U R2
R U' R F2 D2 B2 U
R' U' R' F2 D2 B2 U
U R F2 U2 L' R' U'
U R F2 U2 R' L' U'
D R F2 B2 U2 L' B2
D R F2 B2 U2 B2 L'
D' R B U2 F2 B' L2
D' R B U2 B' L2 F2
D' R B U2 B' F2 L2
L U' R' F2 R' U R2
L' U' R2 F2 U' L U2
L' U' R2 F2 B2 U R'
L2 U' R2 D' B2 U L2
L' U' R2 B2 F2 U R'
D' R B' U2 L2 F2 B
D' R B' U2 L2 B F2
D' R B' U2 F2 L2 B
D' R B' U2 F2 B L2
D' R B' U2 B L2 F2
D' R B' U2 B F2 L2
L2 U' R2 F2 U D2 R2
L2 U' R2 F2 U' L2 U2
L2 U' R2 F2 D' B2 U
L2 U' R2 F2 D2 U R2
L U' R2 F2 U R D
L U' R2 F2 U R D'
L U' R2 F2 U R D2
L U' R2 F2 U D R
L U' R2 F2 U D' R
L U' R2 F2 U D2 R
L U' R2 F2 D U R
L U' R2 F2 D' U R
L U' R2 F2 D2 U R
L U' R2 F2 B U R
L U' R2 F2 B' U R
L U' R2 F2 B2 U R
L U' R2 B F2 U R
L U' R2 B' F2 U R
L U' R2 B2 F2 U R
D' R B2 U2 L2 F2 B2
D' R B2 U2 L2 B2 F2
D' R B2 U2 F2 L2 B2
D' R B2 U2 F2 B2 L2
D' R B2 U2 B2 L2 F2
D' R B2 U2 B2 F2 L2
D R B2 R U2 B2 D
D R B2 R U2 B2 D'
D R B2 R U2 B2 D2
D R B2 R D2 F2 U2
D R B2 R F U2 B2
D R B2 R F' U2 B2
D R B2 R F2 U2 B2
D R B2 R2 U2 B2 L
D R B2 D2 R F2 U2
D R B2 D2 F2 U2 L'
L2 U' D' B2 U L2 F2
L2 U' D' B2 U F2 L2
D' R' L F' L F' R
D R B2 F2 U2 L' B2
D R B2 F2 U2 B2 L'
D' R' L F2 L R D
D' R' L F2 L R D'
D' R' L F2 L R D2
D' R' L F2 L D R
D' R' L F2 L D' R
D' R' L F2 L D2 R
D' R' L F2 R L D
D' R' L F2 R L D'
D' R' L F2 R L D2
D' R' L F2 R D L
D' R' L F2 R D' L
D' R' L F2 R D2 L
D' R' L F2 D L R
D' R' L F2 D R L
D' R' L F2 D' L R
D' R' L F2 D' R L
D' R' L F2 D2 L R
D' R' L F2 D2 R L
U R' L F2 L' R' U
U R' L F2 R' L' U
D' R' L2 U2 L2 U2 F2
D' R' L2 D2 R2 D2 F2
D' R' L2 F D2 R2 F
D' R' L2 F D2 F R2
L U' F R2 F U R
D' R' L2 F' D2 F' R2
D' R' L2 F2 R D2 R2
D' R' L2 F2 R' D2 R2
D' R' L2 F2 R2 D2 R2
D' R' L2 F2 U2 L2 U2
D' R' L2 F2 D2 R2 D
D' R' L2 F2 D2 R2 D'
D' R' L2 F2 D2 R2 D2
U R' L' F2 L' R' U
U R' L' F2 R' L' U
D R' L2 D2 R2 F2 L'
B2 R' U R' F2 U B2
R' U' F2 R' U D R2
R' U' F2 R' U2 F2 U'
R' U' F2 R' D U R2
R' U' F2 R' D2 B2 U
U R' L2 F2 L' R' U
U R' L2 F2 R' L' U
U2 R' U R' F2 U R2
L' U' F2 R2 U' L U2
L' U' F2 R2 B2 U R'
B R' U R' F2 U B'
R' U' F2 D R' U R'
B2 R' U F2 R' U B2
R' U' F2 D2 R' B2 U
L2 U' F2 R2 U D2 R2
L2 U' F2 R2 U' L2 U2
L2 U' F2 R2 D' B2 U
L2 U' F2 R2 D2 U R2
B R' U F2 R' U B'
L' U' F2 B2 R2 U R
L2 U' F2 D' B2 U F2
R2 U' F2 U2 F2 U' F2
L U' F2 R2 U R' D
L U' F2 R2 U R' D'
L U' F2 R2 U R' D2
L U' F2 R2 U D R'
L U' F2 R2 U D' R'
L U' F2 R2 U D2 R'
L U' F2 R2 D U R'
L U' F2 R2 D' U R'
L U' F2 R2 D2 U R'
L U' F2 U D' R F2
R U' F2 U2 L' F2 U'
L U' F2 D' U R F2
D' R' U2 L2 F2 D2 B2
L U' F2 B R2 U R'
L U' F2 B' R2 U R'
L U' F2 B2 R2 U R'
U' R' U2 R' F2 L' U
D' R' U2 F' L2 F' B'
D' R' U2 F' L2 B' F'
U2 R' U2 R D' L2 F2
U2 R' U2 R D' F2 L2
D' R' U2 F2 L2 D2 B2
L U' B R2 F2 U R
D R' U2 R' B2 U2 R
D2 R' D L F2 L R
D2 R' D L F2 R L
D2 R' D L2 F2 D2 R2
L U' B F2 R2 U R'
D2 R' D F2 L2 D2 R2
L U' B' R2 F2 U R
L U' B' F2 R2 U R'
D2 R' D' R2 B2 U2 B2
L' U' B2 F2 R2 U R
L' U2 L U R2 F2 U
L' U2 L U F2 R2 U
L U' B2 R2 F2 U R
L' U2 L U2 D' L2 F2
L' U2 L U2 D' F2 L2
D2 R' D' B2 R2 U2 B2
L' U2 L D R2 B2 U2
L' U2 L D B2 R2 U2
L' U2 L D' U2 L2 F2
L' U2 L D' U2 F2 L2
L U' B2 F2 R2 U R'
D' R' D2 R2 B2 U2 B2
D' R' D2 B2 R2 U2 B2
L U2 L' U R2 F2 U
L U2 L' U F2 R2 U
L U2 L' U2 D' L2 F2
L U2 L' U2 D' F2 L2
L U2 L' D R2 B2 U2
L U2 L' D B2 R2 U2
L U2 L' D' U2 L2 F2
L U2 L' D' U2 F2 L2
D R' F R' B2 U2 B2
L2 U2 L2 U R2 F2 U
L2 U2 L2 U F2 R2 U
D' R' F' L2 D2 F' R2
D' R' F' L2 F' D2 R2
L2 U2 L2 U2 D' L2 F2
L2 U2 L2 U2 D' F2 L2
L2 U2 L2 D R2 B2 U2
U R' F R' F L' U
L2 U2 L2 D B2 R2 U2
L2 U2 L2 D' U2 L2 F2
L2 U2 L2 D' U2 F2 L2
D' R' F' U2 F' L2 B'
D R' F B2 U2 L B2
D R' F' R' B2 U2 B2
D' R' F2 L2 R D2 R2
D' R' F2 L2 R' D2 R2
D' R' F2 L2 R2 D2 R2
D' R' F2 L2 U2 L2 U2
D' R' F2 L2 D2 R2 D
D' R' F2 L2 D2 R2 D'
D' R' F2 L2 D2 R2 D2
D' R' F2 R L2 D2 R2
D' R' F2 R' L2 D2 R2
D' R' F2 R2 L2 D2 R2
U' R' F2 R' U D R2
U' R' F2 R' U2 F2 U'
U' R' F2 R' D U R2
U' R' F2 R' D2 B2 U
D R' F' B2 U2 L B2
U' R' F2 D R' U R'
U' R' F2 D2 R' B2 U
D R' F2 R' B2 U2 B2
U R' F2 L' R' U D
U R' F2 L' R' U D'
U R' F2 L' R' U D2
U R' F2 L' R' D U
U R' F2 L' R' D' U
U R' F2 L' R' D2 U
U R' F2 L' D R' U
U R' F2 L' D' R' U
U R' F2 L' D2 R' U
U R' F2 R' L' U D
U R' F2 R' L' U D'
U R' F2 R' L' U D2
U R' F2 R' L' D U
U R' F2 R' L' D' U
U R' F2 R' L' D2 U
U R' F2 R' D L' U
U R' F2 R' D' L' U
U R' F2 R' D2 L' U
D' R' B U2 F2 B' L2
D' R' B U2 B' L2 F2
D' R' B U2 B' F2 L2
D R' F2 B2 U2 L B2
U R' F2 D L' R' U
U R' F2 D R' L' U
U R' F2 D' L' R' U
U R' F2 D' R' L' U
U R' F2 D2 L' R' U
U R' F2 D2 R' L' U
D' R' B' U2 L2 F2 B
D' R' B' U2 L2 B F2
L' U2 D L R2 B2 U2
D' R' B' U2 F2 L2 B
D' R' B' U2 F2 B L2
D' R' B' U2 B L2 F2
D' R' B' U2 B F2 L2
L' U2 D L B2 R2 U2
L' U2 D R2 L B2 U2
L' U2 D R2 B2 U2 R'
L' U2 D B2 R2 U2 R
L' U2 D' L U2 L F2
L' U2 D' L U2 F2 L
D' R' B2 U2 L2 F2 B2
D' R' B2 U2 L2 B2 F2
L U2 D L' R2 B2 U2
D' R' B2 U2 F2 L2 B2
D' R' B2 U2 F2 B2 L2
D' R' B2 U2 B2 L2 F2
D' R' B2 U2 B2 F2 L2
L U2 D L' B2 R2 U2
L U2 D R2 L' B2 U2
D R' B2 R U2 L B2
L U2 D R2 B2 L' U2
D R' B2 R' U2 L B2
D R' B2 R2 U2 L B2
D R' B2 U2 L B2 D
D R' B2 U2 L B2 D'
D R' B2 U2 L B2 D2
D R' B2 U2 L' B2 L2
D R' B2 U2 L2 B2 L'
L U2 D B2 L' R2 U2
L U2 D B2 R2 L' U2
L U2 D' L' U2 L' F2
D' R2 L F' L F' R
D R' B2 D2 F2 U2 L
D' R2 L F2 L R D
D' R2 L F2 L R D'
D' R2 L F2 L R D2
D' R2 L F2 L D R
D' R2 L F2 L D' R
D' R2 L F2 L D2 R
D R' B2 F U2 L B2
D' R2 L F2 R L D
D' R2 L F2 R L D'
D' R2 L F2 R L D2
D' R2 L F2 R D L
D' R2 L F2 R D' L
D' R2 L F2 R D2 L
D' R2 L F2 D L R
D' R2 L F2 D R L
D' R2 L F2 D' L R
D' R2 L F2 D' R L
D' R2 L F2 D2 L R
D' R2 L F2 D2 R L
D R' B2 F' U2 L B2
D R' B2 F2 U2 L B2
B2 R2 L F2 U R B2
B2 R2 L F2 U B2 R
D R2 L B2 L' U2 B2
U R2 L F2 U D B2
U R2 L F2 U2 R2 U'
U R2 L F2 D U B2
U R2 L F2 D2 L2 U
B2 R2 L' F2 U B2 R'
D' R2 L2 U2 L2 U2 F2
F2 R2 L' B2 U R' B2
D' R2 L2 D2 R2 D2 F2
D' R2 L2 F D2 R2 F
D' R2 L2 F D2 F R2
D' R2 L2 F' D2 F' R2
D' R2 L2 F2 R D2 R2
D' R2 L2 F2 R' D2 R2
D' R2 L2 F2 R2 D2 R2
D' R2 L2 F2 U2 L2 U2
D' R2 L2 F2 D2 R2 D
D' R2 L2 F2 D2 R2 D'
D' R2 L2 F2 D2 R2 D2
D R2 L' B2 U2 R' B2
F2 R2 L2 D' B2 U B2
U R2 L' F2 U D B2
U R2 L' F2 U2 R2 U'
U R2 L' F2 D U B2
U R2 L' F2 D2 L2 U
U' R2 U D' L2 D2 R2
D R2 L2 B2 L2 U2 B2
U R2 L2 F2 U D B2
U R2 L2 F2 U2 R2 U'
U R2 L2 F2 D U B2
U R2 L2 F2 D2 L2 U
B2 R2 U F2 U F2 B2
B2 R2 U F2 U B2 F2
U2 R2 U F2 U R2 F2
U2 R2 U F2 U F2 R2
B2 R2 U B2 D' L2 R2
B2 R2 U B2 D' R2 L2
B R2 U F2 U F2 B'
B R2 U F2 U B' F2
U' R2 U' D R2 U2 R2
U R2 U D B2 D2 L2
U R2 U D' L2 D2 B2
D' R2 U2 L2 F2 D2 B2
U R2 U' D R2 U2 B2
D' R2 U2 F' L2 F' B'
D' R2 U2 F' L2 B' F'
U R2 U' D' F2 U2 L2
D' R2 U2 F2 L2 D2 B2
D2 R2 D L F2 L R
D2 R2 D L F2 R L
D2 R2 D L2 F2 D2 R2
D R2 U2 D2 F2 D2 B2
D R2 U2 F2 D2 F2 B2
D R2 U2 F2 D2 B2 F2
U R2 U2 R2 U' D' L2
U R2 U2 R2 U2 F2 U
U R2 U2 R2 D' U' L2
U R2 U2 R2 D2 B2 U'
U' R2 D U' R2 U2 R2
D2 R2 D F2 L2 D2 R2
D2 R2 D' R2 B2 U2 B2
U' R2 D' U L2 D2 R2
U R2 D U B2 D2 L2
U R2 D U' R2 U2 B2
L' D L R2 B2 U2 B2
D2 R2 D' B2 R2 U2 B2
D' R2 D2 R2 B2 U2 B2
L' D L B2 R2 U2 B2
U R2 D' U L2 D2 B2
U R2 D' U' F2 U2 L2
U R2 D' F U L2 B'
D' R2 D2 B2 R2 U2 B2
L' D L' D2 L2 R2 F2
L' D L' D2 L2 F2 R2
L' D L' D2 R2 L2 F2
L' D L' D2 R2 F2 L2
L' D L' D2 F2 L2 R2
L' D L' D2 F2 R2 L2
L D L D2 L2 R2 F2
L D L D2 L2 F2 R2
L D L D2 R2 L2 F2
L D L D2 R2 F2 L2
L D L D2 F2 L2 R2
L D L D2 F2 R2 L2
D R2 D2 U2 F2 D2 B2
U R2 D2 L2 U D L2
U R2 D2 L2 U2 B2 U'
U R2 D2 L2 D U L2
U R2 D2 L2 D2 F2 U
D R2 D2 B U2 F2 B'
D R2 D2 B U2 B' F2
D R2 D2 B' U2 F2 B
D R2 D2 B' U2 B F2
D R2 D2 B2 U2 F2 B2
D R2 D2 B2 U2 B2 F2
L D L' R2 B2 U2 B2
D' R2 F' L2 D2 F' R2
D' R2 F' L2 F' D2 R2
L' D L2 D2 F2 L2 R
L' D L2 D2 F2 R L2
B' R2 F' U F' U F
D' R2 F' U2 F' L2 B'
L D L' B2 R2 U2 B2
D R2 F B2 U2 B2 D
D R2 F B2 U2 B2 D'
D R2 F B2 U2 B2 D2
D R2 F B2 D2 F2 U2
U R2 F D F U B2
U R2 F D2 F L2 U
D' R2 F2 L2 R D2 R2
D' R2 F2 L2 R' D2 R2
D' R2 F2 L2 R2 D2 R2
D' R2 F2 L2 U2 L2 U2
D' R2 F2 L2 D2 R2 D
D' R2 F2 L2 D2 R2 D'
D' R2 F2 L2 D2 R2 D2
D' R2 F2 R L2 D2 R2
D' R2 F2 R' L2 D2 R2
L D L2 D2 L2 F2 R
D' R2 F2 R2 L2 D2 R2
B2 R2 F2 L' U B2 R'
U' R2 F2 U R D R2
U' R2 F2 U R' D R2
U' R2 F2 U R2 D R2
U' R2 F2 U D R2 D
U' R2 F2 U D R2 D'
U' R2 F2 U D R2 D2
U' R2 F2 U' D' L2 U2
U' R2 F2 U2 F2 U' D
U' R2 F2 U2 F2 U' D'
U' R2 F2 U2 F2 U' D2
U' R2 F2 U2 F2 D U'
U' R2 F2 U2 F2 D' U'
U' R2 F2 U2 F2 D2 U'
U' R2 F2 D U R2 D
U' R2 F2 D U R2 D'
U' R2 F2 D U R2 D2
U' R2 F2 D B U R2
U' R2 F2 D B' U R2
U' R2 F2 D B2 U R2
B2 R2 F2 U B2 D' R2
U' R2 F2 D' U' L2 U2
D R2 F' B2 U2 B2 D
D R2 F' B2 U2 B2 D'
D R2 F' B2 U2 B2 D2
D R2 F' B2 D2 F2 U2
U R2 F' U2 R2 B U'
U' R2 F2 D2 B2 U D
U' R2 F2 D2 B2 U D'
U' R2 F2 D2 B2 U D2
U' R2 F2 D2 B2 D U
U' R2 F2 D2 B2 D' U
U' R2 F2 D2 B2 D2 U
U' R2 F2 B U D R2
U' R2 F2 B U2 F2 U'
U2 R2 F2 U R2 D2 B2
U' R2 F2 B D U R2
U R2 F' D F' U B2
U' R2 F2 B D2 B2 U
U' R2 F2 B' U D R2
U' R2 F2 B' U2 F2 U'
U' R2 F2 B' D U R2
U' R2 F2 B' D2 B2 U
U2 R2 F2 U' F2 U2 R2
U' R2 F2 B2 U D R2
U R2 F' D2 L2 F' U
U' R2 F2 B2 U2 F2 U'
U' R2 F2 B2 D U R2
U' R2 F2 B2 D2 B2 U
U R2 F' D2 F' L2 U
U R2 F2 L U D B2
U R2 F2 L U2 R2 U'
U R2 F2 L D U B2
U R2 F2 L D2 L2 U
L D R D2 F2 L' R
L D R D2 F2 R L'
U R2 F2 L' U D B2
U R2 F2 L' U2 R2 U'
U R2 F2 L' D U B2
U R2 F2 L' D2 L2 U
U R2 F2 L2 U D B2
U R2 F2 L2 U2 R2 U'
U R2 F2 L2 D U B2
U R2 F2 L2 D2 L2 U
D' R2 B U2 F2 B' L2
D' R2 B U2 B' L2 F2
D' R2 B U2 B' F2 L2
L' D R2 L B2 U2 B2
U R2 F2 U D B2 D
U R2 F2 U D B2 D'
U R2 F2 U D B2 D2
U R2 F2 U B D B2
U R2 F2 U B' D B2
U R2 F2 U B2 D B2
U R2 F2 U' D' F2 U2
D R2 F2 B2 U2 B2 D
D R2 F2 B2 U2 B2 D'
D R2 F2 B2 U2 B2 D2
D R2 F2 B2 D2 F2 U2
U R2 F2 U2 R2 U' D
U R2 F2 U2 R2 U' D'
U R2 F2 U2 R2 U' D2
U R2 F2 U2 R2 D U'
U R2 F2 U2 R2 D' U'
U R2 F2 U2 R2 D2 U'
U R2 F2 D L U B2
U R2 F2 D L' U B2
U R2 F2 D L2 U B2
U R2 F2 D U B2 D
U R2 F2 D U B2 D'
U R2 F2 D U B2 D2
U R2 F2 D' U' F2 U2
U' R2 B F2 U D R2
U' R2 B F2 U2 F2 U'
U R2 F2 D2 L2 U D
U R2 F2 D2 L2 U D'
U R2 F2 D2 L2 U D2
U R2 F2 D2 L2 D U
U R2 F2 D2 L2 D' U
U R2 F2 D2 L2 D2 U
U' R2 B F2 D U R2
U' R2 B F2 D2 B2 U
D R2 B U2 B' D2 F2
D R2 B D B U2 B2
D' R2 B' U2 L2 F2 B
D' R2 B' U2 L2 B F2
L' D R2 B2 U2 R' B2
D' R2 B' U2 F2 L2 B
D' R2 B' U2 F2 B L2
D' R2 B' U2 B L2 F2
D' R2 B' U2 B F2 L2
D R2 B D' B U2 B2
D R2 B D2 B U2 B2
R2 D R2 D B2 U2 B2
L D R2 L' B2 U2 B2
U' R2 B' F2 U D R2
U' R2 B' F2 U2 F2 U'
U' R2 B' F2 D U R2
U' R2 B' F2 D2 B2 U
F2 R2 B2 L' U B2 R'
D R2 B' U2 B D2 F2
D' R2 B2 U2 L2 F2 B2
D' R2 B2 U2 L2 B2 F2
D R2 B' D B' U2 B2
D' R2 B2 U2 F2 L2 B2
D' R2 B2 U2 F2 B2 L2
D' R2 B2 U2 B2 L2 F2
D' R2 B2 U2 B2 F2 L2
D R2 B' D' B' U2 B2
D R2 B' D2 B' U2 B2
L D R2 B2 L' U2 B2
F2 R2 B2 U B2 D' R2
D R2 B2 L' U2 B2 R'
U' R2 B2 F2 U D R2
U' R2 B2 F2 U2 F2 U'
U' R2 B2 F2 D U R2
U' R2 B2 F2 D2 B2 U
D R2 B2 R U2 B2 L
D' U L U' L F2 R
L' D U2 L R2 B2 U2
D R2 B2 U L U B2
D R2 B2 U L' U B2
D R2 B2 U L2 U B2
D R2 B2 U D L2 U
L' D U2 L B2 R2 U2
D R2 B2 U' R U' B2
D R2 B2 U' R' U' B2
D R2 B2 U' R2 U' B2
D R2 B2 U' D' R2 U'
D R2 B2 U2 L B2 L'
D R2 B2 U2 L2 B2 L2
D R2 B2 U2 R' B2 R
D R2 B2 U2 R2 B2 R2
B2 U L R2 F2 U B2
D R2 B2 U2 B D B
D R2 B2 U2 B D' B
D R2 B2 U2 B D2 B
D R2 B2 U2 B' D B'
D R2 B2 U2 B' D' B'
D R2 B2 U2 B' D2 B'
D R2 B2 D U L2 U
D R2 B2 D' U' R2 U'
L' D U2 R2 L B2 U2
D R2 B2 D2 F2 U2 D
D R2 B2 D2 F2 U2 D'
D R2 B2 D2 F2 U2 D2
D R2 B2 D2 F2 D U2
U2 D L R2 B2 U2 R2
D R2 B2 D2 F2 D' U2
D R2 B2 D2 F2 D2 U2
L' D U2 R2 B2 U2 R'
D R2 B2 F U2 B2 D
D R2 B2 F U2 B2 D'
D R2 B2 F U2 B2 D2
D R2 B2 F D2 F2 U2
D R2 B2 F' U2 B2 D
D R2 B2 F' U2 B2 D'
D R2 B2 F' U2 B2 D2
D R2 B2 F' D2 F2 U2
D R2 B2 F2 U2 B2 D
D R2 B2 F2 U2 B2 D'
D R2 B2 F2 U2 B2 D2
D R2 B2 F2 D2 F2 U2
B2 U L F2 R2 U B2
L' D U2 B2 R2 U2 R
B2 U L' R2 F2 U B2
U2 D L B2 R2 U2 R2
L D U2 L' R2 B2 U2
L D U2 L' B2 R2 U2
U2 D L' R2 B2 U2 R2
L D U2 R2 L' B2 U2
L D U2 R2 B2 L' U2
L' D F D2 L2 F2 R
B2 U L' F2 R2 U B2
L D U2 B2 L' R2 U2
L D U2 B2 R2 L' U2
B2 U L2 R2 F2 U B2
U2 D L' B2 R2 U2 R2
U2 D L2 R2 B2 U2 R2
L' D F' D2 L2 F2 R
D2 U L2 B2 U' D' R2
D2 U L2 B2 U2 B2 U
D2 U L2 B2 D' U' R2
D2 U L2 B2 D2 F2 U'
B2 U L2 F2 R2 U B2
U2 D L2 B2 R2 U2 R2
B U L2 F2 R2 U B
L' D F2 D2 L2 F2 R
U2 D R B2 L R U2
U2 D R B2 R L U2
L D F2 R D2 F2 L'
B2 U R' F2 R' U B2
L D F2 D2 L2 R F2
L D F2 D2 R L2 F2
L D F2 D2 R F2 L2
B2 U R2 L F2 U B2
B2 U R2 L' F2 U B2
F' U R2 U2 B R2 U'
B2 U R2 L2 F2 U B2
U2 D R' B2 U2 L R
U2 D R' B2 U2 R L
B2 U R2 U B2 D' L2
U2 D R2 L B2 U2 R2
U2 D R2 L' B2 U2 R2
B U R' F2 R' U B'
U2 D R2 L2 B2 U2 R2
B' U R2 F2 L2 U B'
B' U R2 F2 U' F U2
U2 D R2 U2 R2 D2 F2
F2 U R2 D2 L2 U L2
B2 U R2 F2 L U B2
B2 U R2 F2 L' U B2
B2 U R2 F2 L2 U B2
U2 D R2 D2 L2 U2 F2
B2 U R2 F2 U B2 D
B2 U R2 F2 U B2 D'
B2 U R2 F2 U B2 D2
B2 U R2 F2 D L2 U
B U R2 U D' B' L2
B U R2 U B' D' L2
U2 D R2 B U2 R2 F'
B U R2 D' U B' L2
U2 D R2 B2 L U2 R2
U2 D R2 B2 L' U2 R2
U2 D R2 B2 L2 U2 R2
L' D B2 R2 U2 R B2
L' D B2 R2 U2 B2 R
U2 D R2 B2 U2 R2 D
U2 D R2 B2 U2 R2 D'
U2 D R2 B2 U2 R2 D2
U2 D R2 B2 D2 L2 U2
B U R2 F2 U D B'
B U R2 F2 U D' B'
B U R2 F2 U D2 B'
B U R2 F2 U B' D
B U R2 F2 U B' D'
B U R2 F2 U B' D2
B U R2 F2 D U B'
F U R2 D F U B2
L' D B2 U2 R' B2 L
B U R2 F2 D' U B'
B U R2 F2 D2 U B'
F U R2 D2 F L2 U
F U R2 F U D B2
F U R2 F U2 R2 U'
F U R2 F D U B2
F U R2 F D2 L2 U
U2 D F D2 F2 L2 B'
D' U F' U F' L2 B'
L D B2 L' R2 U2 B2
L D B2 R2 L' U2 B2
U2 D F' D2 L2 F2 B'
U2 D F' D2 L2 B' F2
L2 D' L F2 L D' R2
L2 D' L F2 D' L R2
L2 D' L F2 D' R2 L
L' D' L2 R F2 R D
L' D' L2 R F2 R D'
L' D' L2 R F2 R D2
L' D' L2 R F2 D R
L' D' L2 R F2 D' R
L' D' L2 R F2 D2 R
L' D' L2 R' F2 R D
L' D' L2 R' F2 R D'
L' D' L2 R' F2 R D2
L' D' L2 R' F2 D R
L' D' L2 R' F2 D' R
L' D' L2 R' F2 D2 R
B2 U F R2 F U B2
D2 U B L2 F B U'
L' D' L2 R2 F2 R D
L' D' L2 R2 F2 R D'
L' D' L2 R2 F2 R D2
L' D' L2 R2 F2 D R
L' D' L2 R2 F2 D' R
L' D' L2 R2 F2 D2 R
D2 U B L2 B F U'
L D' L F2 D2 L R2
L D' L F2 D2 R2 L
U2 D F2 D2 L2 F2 B2
U2 D F2 D2 L2 B2 F2
U2 D F2 D2 F2 L2 B2
U2 D F2 D2 F2 B2 L2
U2 D F2 D2 B2 L2 F2
U2 D F2 D2 B2 F2 L2
L' D' L2 U2 L' U2 F2
L' D' L2 F R F R
L' D' L2 F R' F R
L' D' L2 F R2 F R
L' D' L2 F D F R
L' D' L2 F D' F R
L' D' L2 F D2 F R
L2 D' L2 R F2 D' R2
L2 D' L2 R' F2 D' R2
L' D' L2 F2 R2 D R'
L' D' L2 F2 R2 D' R'
L' D' L2 F2 R2 D2 R'
L2 D' L2 R2 F2 D' R2
L' D' L2 F2 D R D
L' D' L2 F2 D R D'
L' D' L2 F2 D R D2
L' D' L2 F2 D' R D
L' D' L2 F2 D' R D'
L' D' L2 F2 D' R D2
L' D' L2 F2 D2 R D
L' D' L2 F2 D2 R D'
L' D' L2 F2 D2 R D2
L' D' L2 F2 B R B'
L' D' L2 F2 B2 R B2
B U F R2 F U B'
L' D' L2 B F2 R B'
U2 D B R2 U2 F' R2
F' U F' R2 U D B2
F' U F' R2 U2 R2 U'
F' U F' R2 D U B2
F' U F' R2 D2 L2 U
L2 D' L2 U' B2 U F2
L' D' L2 B2 F2 R B2
L2 D' L2 D' R2 D F2
F U F R2 U D B2
F U F R2 U2 R2 U'
F U F R2 D U B2
F U F R2 D2 L2 U
L' D' R L2 F2 R D
L' D' R L2 F2 R D'
L' D' R L2 F2 R D2
L' D' R L2 F2 D R
L' D' R L2 F2 D' R
L' D' R L2 F2 D2 R
L2 D' L2 F D' R2 F
L2 D' L2 F D' F R2
R2 D' L2 D2 R2 D' F2
L2 D' L2 F' D' F' R2
L2 D' L2 F2 R D' R2
L2 D' L2 F2 R' D' R2
L2 D' L2 F2 R2 D' R2
L2 D' L2 F2 U' B2 U
L2 D' L2 F2 D' R2 D
L2 D' L2 F2 D' R2 D'
L2 D' L2 F2 D' R2 D2
L D' L2 U2 L U2 F2
B2 U F2 L R2 U B2
L2 D' R L2 F2 D' R2
B2 U F2 L' R2 U B2
B' U F2 R2 U' F' U2
B2 U F2 L2 R2 U B2
B' U F2 U D' F2 B
B' U F2 U D' B F2
U2 D B' R2 B' U2 R2
B' U F2 U B D' F2
B2 U F2 R2 L U B2
B2 U F2 R2 L' U B2
B2 U F2 R2 L2 U B2
B2 U F2 R2 U B2 D
B2 U F2 R2 U B2 D'
B2 U F2 R2 U B2 D2
B2 U F2 R2 D L2 U
D2 U B2 L2 U' D' R2
D2 U B2 L2 U2 B2 U
L D' L2 F2 U2 L U2
D2 U B2 L2 D' U' R2
D2 U B2 L2 D2 F2 U'
L' D' R' L2 F2 R D
L' D' R' L2 F2 R D'
L D' L2 F2 B2 R' B2
L' D' R' L2 F2 R D2
L' D' R' L2 F2 D R
L' D' R' L2 F2 D' R
L' D' R' L2 F2 D2 R
B' U F2 D' U F2 B
B' U F2 D' U B F2
B2 U F2 U B2 D' F2
L D' L2 B2 R' F2 B2
L D' L2 B2 R' B2 F2
L2 D' R F2 L2 D' R2
L D' L2 B2 F2 R' B2
U2 D B2 L R2 U2 R2
U2 D B2 L' R2 U2 R2
U2 D B2 L2 R2 U2 R2
L2 D' R' L2 F2 D' R2
B U F2 R2 U D B'
B U F2 R2 U D' B'
B U F2 R2 U D2 B'
B U F2 R2 U B' D
B U F2 R2 U B' D'
B U F2 R2 U B' D2
B U F2 R2 D U B'
B U F2 R2 D' U B'
B U F2 R2 D2 U B'
U2 D B2 R2 L U2 R2
U2 D B2 R2 L' U2 R2
U2 D B2 R2 L2 U2 R2
B U F2 U D' F2 B'
B U F2 U D' B' F2
U2 D B2 R2 U2 R2 D
U2 D B2 R2 U2 R2 D'
U2 D B2 R2 U2 R2 D2
U2 D B2 R2 D2 L2 U2
B U F2 U B' D' F2
L D' R F' L2 F' R
L D' R F2 L2 R D
L D' R F2 L2 R D'
L D' R F2 L2 R D2
