F' L U' F L
L F' U' L F2
L F' U' F2 L
F' L U' D F L
F' L U' D' F L
F' L U' D2 F L
F' L U' F L D
F' L U' F L D'
F' L U' F L D2
F' L U' F D L
F' L U' F D' L
F' L U' F D2 L
F' L U' F' L F2
F' L U' F2 L F'
F' L D U' F L
F' L D' U' F L
F' L D2 U' F L
B' L F' U' L F2
B' L F' U' F2 L
B2 L F' U' L F2
B2 L F' U' F2 L
B L F' U' L F2
B L F' U' F2 L
D' L F' B2 U' F2
F L F2 U' L F'
F L F2 U' F' L
D' L B2 F' U' F2
F' L' U B' U2 L'
F' L' U' L2 F L
L U' F L D R2
L U' F D L R2
L U' F D R2 L
L D F' U' L F2
L D F' U' F2 L
L D' F' U' L F2
L D' F' U' F2 L
L D2 F' U' L F2
L D2 F' U' F2 L
F' U2 R' U L2 F'
F' U2 R' U F' L2
L' F' L2 U' F L'
D' F' L B2 U' F
L2 F' L' U' F L
L F' L' U' L2 F2
L F' L' U' F2 L2
L F' L2 U' L' F2
L' F' U' L2 F L'
F' D' L B2 U' F
L F' U' L F2 D
L F' U' L F2 D'
L F' U' L F2 D2
L F' U' L' F2 L2
L F' U' F' L F'
L F' U' F2 L D
L F' U' F2 L D'
L F' U' F2 L D2
L F' U' F2 D L
L F' U' F2 D' L
L F' U' F2 D2 L
L F' D' L2 U' L'
D' F' B2 L U' F
F' D' B2 L U' F
F' B L U' F L
F' B' L U' F L
B' F' L U' F L
B2 F' L U' F L
B F' L U' F L
D' B2 L F' U' F2
F' B2 L U' F L
D' B2 F' L U' F
B2 F' L D U' F L
B2 F' L D' U' F L
B2 F' L D2 U' F L
B' F' L' U B' U2 L'
B' F' L' U' L2 F L
F' B' L' U B' U2 L'
F' B' L' U' L2 F L
B F' L U' D F L
B2 F' L' U B' U2 L'
B F' L U' D' F L
B F' L U' D2 F L
B F' L U' F L D
B F' L U' F L D'
B F' L U' F L D2
B F' L U' F D L
B F' L U' F D' L
B F' L U' F D2 L
B F' L U' F' L F2
B F' L U' F2 L F'
B2 F' L' U' L2 F L
B F' L D U' F L
B F' L D' U' F L
B F' L D2 U' F L
B F' L' U B' U2 L'
B F' L' U' L2 F L
F B' L F2 U' L F'
F B' L F2 U' F' L
U' B' F' L' U' L' B
U' B' F' L' U' B L'
B' F' U2 R' U L2 F'
B' F' U2 R' U F' L2
F' B' U2 R' U L2 F'
F' B' U2 R' U F' L2
L2 B' F' L' U' F L
B2 F' U2 R' U L2 F'
B2 F' U2 R' U F' L2
B F' U2 R' U L2 F'
B F' U2 R' U F' L2
D' B2 L U' F D R2
B' F' D' L B2 U' F
D' B2 L D F' U' F2
D' B2 L D' F' U' F2
D' B2 L D2 F' U' F2
D' B2 L F' L U' F2
D' B2 L F' L' U' F2
D' B2 L F' L2 U' F2
D' B2 L F' U' F2 D
D' B2 L F' U' F2 D'
D' B2 L F' U' F2 D2
D' B2 L F' D' L2 U'
F' B' D' L B2 U' F
B2 F' D' L B2 U' F
B' F' D' B2 L U' F
F' B' D' B2 L U' F
D' B2 L' F' L2 U' F
D' B2 L' F' U B' U2
B2 F' D' B2 L U' F
B F' D' L B2 U' F
L2 B2 L' F' U' L F2
L2 B2 L' F' U' F2 L
D' B2 L2 F' L' U' F
B F' D' B2 L U' F
R B2 L U F L R
R B2 L U F R L
F' B2 L U' D F L
F' B2 L U' D' F L
F' B2 L U' D2 F L
F' B2 L U' F L D
F' B2 L U' F L D'
F' B2 L U' F L D2
F' B2 L U' F D L
F' B2 L U' F D' L
F' B2 L U' F D2 L
F' B2 L U' F' L F2
F' B2 L U' F2 L F'
F' B2 L D U' F L
F' B2 L D' U' F L
F' B2 L D2 U' F L
F' B2 L' U B' U2 L'
F' B2 L' U' L2 F L
F B2 L F2 U' L F'
F B2 L F2 U' F' L
D' B2 D L F' U' F2
D' B2 D F' L U' F
D' B2 D' L F' U' F2
D' B2 D' F' L U' F
F' B2 U2 R' U L2 F'
F' B2 U2 R' U F' L2
D' B2 D2 L F' U' F2
D' B2 D2 F' L U' F
D' B2 F L F2 U' F'
U' B2 F' L' U' L' B2
U' B2 F' L' U' B2 L'
F' B2 D' L B2 U' F
D' B2 F' L U' D F
D' B2 F' L U' D' F
D' B2 F' L U' D2 F
D' B2 F' L U' F D
D' B2 F' L U' F D'
D' B2 F' L U' F D2
D' B2 F' L D U' F
D' B2 F' L D' U' F
D' B2 F' L D2 U' F
D' B2 F' L' U B' U2
D' B2 F' U2 R' U F'
D' B2 F' D L U' F
D' B2 F' D' L U' F
D' B2 F' D2 L U' F
F' B2 D' B2 L U' F
L2 B2 F' L' U' F L
L B2 F' U R' U2 F2
