U' R2 B U' F'
B U' R2 B U'
U' L R2 B U' F'
U' L' R2 B U' F'
U' L2 R2 B U' F'
R' U' R' B L U'
B R' U' R' B U'
R2 U' B U' F' B'
R2 U' B U' B' F'
U' R2 L B U' F'
U' R2 L' B U' F'
U' R2 L2 B U' F'
B R2 U' B U' B'
U' R2 D B U' F'
U' R2 D' B U' F'
U' R2 D2 B U' F'
U' R2 B L U' F'
U' R2 B L' U' F'
U' R2 B L2 U' F'
U' R2 B U' D F'
U' R2 B U' D' F'
U' R2 B U' D2 F'
U' R2 B U' F' D
U' R2 B U' F' D'
U' R2 B U' F' D2
U' R2 B D U' F'
U2 R2 B U' F' R2
U' R2 B D' U' F'
U' R2 B D2 U' F'
B U D F' U B2
B U D2 L2 F' U
B U D2 F' L2 U
B U F' U D B2
B U F' U2 R2 U'
B U F' D U B2
B U F' D2 L2 U
B U' R2 D B U'
B U' R2 D' B U'
B U' R2 D2 B U'
B U' R2 B U' D
B U' R2 B U' D'
B U' R2 B U' D'
B U' R2 B U' D2
B U' R2 B D U'
B U' R2 B D' U'
B U' R2 B D2 U'
B U' B R2 B U'
B U' B' R2 B U'
B U' B2 R2 B U'
F' U2 R2 U' F' R2
F D R2 U2 F' B2
F D R2 U2 B2 F'
B D U F' U B2
F D B R2 F' U2
U F' U2 R2 U' F'
B D' F2 U F U
F D' F2 B U2 L2
F D' B F2 U2 L2
D' F2 B U F U
B D2 U L2 F' U
B D2 U F' L2 U
D2 B U L2 F' U
D2 B U F' L2 U
D B U F' U B
D' B F2 U F U
B F D R2 U2 B2
F B D R2 U2 B2
B F D' F2 U2 L2
F B D' F2 U2 L2
B D' F2 U D2 F U
B D' F2 U F U D
B D' F2 U F U D'
B D' F2 U F U D2
B D' F2 U F D U
B D' F2 U F D' U
B D' F2 U F D2 U
B D' F2 D U F U
B D' F2 D' U F U
B D' F2 D2 U F U
F' D' B F2 U F2 U
F D' F2 R2 U2 L2 F'
F D' F2 R2 U2 F' L2
F' D' B F2 U2 D' L2
F' D' B F2 D R2 U2
F' D' B F2 D' U2 L2
F2 D' B F2 U F' U
F D' F2 D2 R2 U2 F'
F D' F2 D2 B R2 U2
F D' F2 B R U2 L2
F D' F2 B R' U2 L2
F D' F2 B R2 U2 L2
F D' F2 B U2 L2 D
F D' F2 B U2 L2 D'
F D' F2 B U2 L2 D2
F D' F2 B D2 R2 U2
F D' F2 B2 U2 L2 F
D' F2 U R2 F U F2
F D' B R F2 U2 L2
D' F2 U F R2 U F'
D' F2 U F U' B U2
F D' B R' F2 U2 L2
F D' B R2 F2 U2 L2
B2 D' B' F2 U F U
F D' B U2 L2 D2 B2
F D' B D2 R2 U2 B2
F D' B F U2 L2 B'
R' F2 U' R' B L U'
F D' B F2 R U2 L2
F D' B F2 R' U2 L2
F D' B F2 R2 U2 L2
F D' B F2 U2 L2 D
F D' B F2 U2 L2 D'
F D' B F2 U2 L2 D2
F D' B F2 D2 R2 U2
R2 F2 U' B U' F B'
R2 F2 U' B U' B' F
F D' B2 F2 U2 L2 F
D' F2 D B U F U
F' D2 L2 U D2 R2 F'
F' D2 L2 U' L2 B U2
F' D2 L2 U' B L2 U2
F' D2 L2 D2 U R2 F'
D' F2 D' B U F U
D' F2 D2 B U F U
D' F2 B R U F U
D' F2 B R' U F U
D' F2 B R2 U F U
D2 F2 B U F L2 U
D' F2 B U D F U
D' F2 B U D' F U
D' F2 B U D2 F U
D' F2 B U F U D
D' F2 B U F U D'
D' F2 B U F U D2
D' F2 B U F D U
D' F2 B U F D' U
D' F2 B U F D2 U
D' F2 B D U F U
D' F2 B D' U F U
D' F2 B D2 U F U
B' D2 U L2 F' U F'
B' D2 U F' L2 U F'
D F2 B U F U B
B2 D2 U L2 F' U F2
B2 D2 U F' L2 U F
B D2 U L F' L U
B D2 U L2 D F' U
B D2 U L2 D' F' U
B D2 U L2 D2 F' U
B D2 U L2 F' U D
B D2 U L2 F' U D'
B D2 U L2 F' U D2
B D2 U L2 F' D U
B D2 U L2 F' D' U
B D2 U L2 F' D2 U
B D2 U F L2 F2 U
B D2 U F' L2 U D
B D2 U F' L2 U D'
B D2 U F' L2 U D2
B D2 U F' L2 D U
B D2 U F' L2 D' U
B D2 U F' L2 D2 U
B D2 U F' U D' B2
B D2 U F' D' U B2
R2 B L U L' U2 F'
R2 B L U' F2 R F
R2 B L F2 U' R F
R2 B L' U L U2 F'
L2 B L2 U' R2 B U'
L B L' U' R2 B U'
B D2 F U L2 F2 U
B D2 F U F2 L2 U
R2 B L2 U L2 U2 F'
B D2 F U2 D' L2 B2
B D2 F U2 D' B2 L2
R2 B L2 U' D2 F' R2
R2 B L2 U' F' D2 R2
B D2 F D R2 F2 U2
B D2 F D F2 R2 U2
B D2 F D' U2 L2 B2
B D2 F D' U2 B2 L2
R2 B L2 D F2 U' F
R2 B L2 D2 U' F' R2
B D2 F' U L2 U L2
F' D2 B U L2 U L2
B D2 F2 U F L2 U
U' B R2 B L2 U' F
U' B R2 B U B' U2
F2 D2 B U F L2 U
D' B R2 F2 U' B U'
D2 B U L F' L U
D2 B U L2 D F' U
D2 B U L2 D' F' U
D2 B U L2 D2 F' U
D2 B U L2 F' U D
D2 B U L2 F' U D'
D2 B U L2 F' U D2
D2 B U L2 F' D U
D2 B U L2 F' D' U
D2 B U L2 F' D2 U
B2 D2 B' U L2 F' U
B2 D2 B' U F' L2 U
D2 B U D' F' U B2
D' B U D' L2 F' U
D' B U D' F' L2 U
D2 B U F L2 F2 U
D' B U D2 F' U B2
D2 B U F' L2 U D
D2 B U F' L2 U D'
D2 B U F' L2 U D2
D2 B U F' L2 D U
D2 B U F' L2 D' U
D2 B U F' L2 D2 U
D2 B U F' U D' B2
D2 B U F' D' U B2
D' B U F' U' F' U2
U' B U' R2 B U' R2
D B R2 F' U' B U'
D' B U' D R2 B U'
D2 B U' D2 R2 B U'
D B U L F' U B
L' B U' R2 B U' R'
D B U L' F' U B
D B U L2 F' U B
D B U D F' U B
D B U D' F' U B
D B U D2 F' U B
D B U F' L U B
D B U F' L' U B
D B U F' L2 U B
D B U F' U D B
D B U F' U D' B
D B U F' U D2 B
D B U F' U B D
D B U F' U B D'
D B U F' U B D2
D B U F' D U B
D B U F' D' U B
D B U F' D2 U B
R2 B U' F' U F U'
R2 B U' F2 D R2 F
R2 B U' F2 D F R2
D' B D U' R2 B U'
R2 B U2 R' U R F'
R2 B U2 R2 U R2 F'
D2 B D F2 U F U
D B U2 B U' F' U
D2 B D' U F' U B2
D' B D' U L2 F' U
D' B D' U F' L2 U
D B D U F' U B
D2 B D2 U' R2 B U'
D' B D2 U F' U B2
D B D' U F' U B
B F R U F2 L' U
D2 B F U L2 F2 U
D2 B F U F2 L2 U
D2 B F U2 D' L2 B2
D2 B F U2 D' B2 L2
D2 B F D R2 F2 U2
F B R U F2 L' U
D' B F U2 D' L2 B'
D2 B F D F2 R2 U2
D' B F D R2 F U2
D2 B F D' U2 L2 B2
D2 B F D' U2 B2 L2
D' B F D F R2 U2
D' B F D' U2 L2 B'
D' B F D' F U2 L2
D B D2 U F' U B
D2 B F' U L2 U L2
R2 B F L U' F2 R
R2 B F U' F2 D R2
D' B F2 R U F U
D B F U F2 U B
D' B F2 R' U F U
D' B F2 R2 U F U
D B F U2 D' L2 B
D2 B F2 U F L2 U
D B F U2 D' B L2
D B F U2 B D' L2
D B F D R2 F' U2
D' B F2 U D F U
D' B F2 U D' F U
D' B F2 U D2 F U
D' B F2 U F U D
D' B F2 U F U D'
D' B F2 U F U D2
D' B F2 U F D U
D' B F2 U F D' U
D' B F2 U F D2 U
D B F D' U2 L2 B
D B F D' U2 B L2
F' B U D2 L2 U L2
D' B F2 D U F U
D' B F2 D' U F U
D' B F2 D2 U F U
F2 B U D F U B2
F2 B U D2 F L2 U
F2 B U F U D B2
F2 B U F U2 R2 U'
F2 B U F D U B2
F2 B U F D2 L2 U
F' B U' R2 U R2 U2
F' B U' R2 U' D2 L2
F' B U' R2 D B2 U'
F' B U' R2 D2 U' L2
F2 B U' R2 U2 F U
D B F2 U F U B
B F U F2 U D B2
B F U F2 U2 R2 U'
B F U F2 D U B2
B F U F2 D2 L2 U
F B U F2 U D B2
F B U F2 U2 R2 U'
F B U F2 D U B2
F B U F2 D2 L2 U
F' B U2 D B2 D L2
B F U' R2 U' D' L2
B F U' R2 U2 F2 U
B F U' R2 D' U' L2
B F U' R2 D2 B2 U'
F' B U2 B2 D L2 B2
F' B U2 B2 D B2 L2
F B U' R2 U' D' L2
F B U' R2 U2 F2 U
F B U' R2 D' U' L2
F B U' R2 D2 B2 U'
F' B D U2 B2 D L2
B2 F D R2 B' U2 B'
B F U2 D B2 D2 L2
B F U2 D' L2 D2 B2
F2 B D U F U B2
R2 B' L' B2 U' F' R'
B2 F D B' R2 U2 B'
F B U2 D B2 D2 L2
F B U2 D' L2 D2 B2
B F D R' U2 B2 L
B F D R2 U2 B2 D
B F D R2 U2 B2 D'
B F D R2 U2 B2 D2
B F D R2 D2 F2 U2
B F D R2 F U2 B2
B F D R2 F' U2 B2
B F D R2 F2 U2 B2
B F D U2 B2 D2 L2
F' B D' F2 U F2 U
F' B D' F2 U2 D' L2
F' B D' F2 D R2 U2
F' B D' F2 D' U2 L2
B F D F R2 U2 B2
B F D F' R2 U2 B2
B F D F2 R2 U2 B2
B2 F D' F2 U2 L2 F
B2 F D' F2 B' U2 L2
F B D R' U2 B2 L
F B D R2 U2 B2 D
F B D R2 U2 B2 D'
F B D R2 U2 B2 D2
F B D R2 D2 F2 U2
F2 B D' F2 U F' U
F B D R2 F U2 B2
F B D R2 F' U2 B2
F B D R2 F2 U2 B2
B2 F D' B' F2 U2 L2
F B D U2 B2 D2 L2
F B D F R2 U2 B2
F B D F' R2 U2 B2
F' B D2 U L2 U L2
B F D' R F2 U2 L2
F B D F2 R2 U2 B2
B F D' R' F2 U2 L2
B F D' R2 F2 U2 L2
B F D' U2 L2 D2 B2
F2 B D2 U F L2 U
U' B' R2 D L2 B U'
B F D' F U2 L2 B'
U' B' R2 D B L2 U'
B F D' F2 R U2 L2
B F D' F2 R' U2 L2
B F D' F2 R2 U2 L2
B F D' F2 U2 L2 D
B F D' F2 U2 L2 D'
B F D' F2 U2 L2 D2
B F D' F2 D2 R2 U2
U' B' R2 D2 B U' F2
F B D' R F2 U2 L2
F B D' R' F2 U2 L2
F B D' R2 F2 U2 L2
U' B' R2 B U B U2
F B D' U2 L2 D2 B2
F B D' F U2 L2 B'
F B D' F2 R U2 L2
F B D' F2 R' U2 L2
F B D' F2 R2 U2 L2
F B D' F2 U2 L2 D
F B D' F2 U2 L2 D'
F B D' F2 U2 L2 D2
F B D' F2 D2 R2 U2
U2 B' R2 B U' R2 F'
R2 B' U' B2 U' F' B2
R2 B' U' B2 U' B2 F'
B F' U D2 L2 U L2
B F' U' R2 U R2 U2
B F' U' R2 U' D2 L2
B F' U' R2 D B2 U'
B F' U' R2 D2 U' L2
B F' U2 D B2 D L2
B F' U2 B2 D L2 B2
B F' U2 B2 D B2 L2
B F' D U2 B2 D L2
U' B2 L2 R2 B U' F
B F' D' F2 U F2 U
B F' D' F2 U2 D' L2
B F' D' F2 D R2 U2
B F' D' F2 D' U2 L2
B F' D2 U L2 U L2
U' B2 R2 L2 B U' F
U' B2 R2 B U B2 U2
U' B2 R2 B U' D2 F2
U' B2 R2 B D L2 U'
U' B2 R2 B D2 U' F2
D2 B2 U L2 F' U F2
D2 B2 U F' L2 U F
R2 B2 U' B' U' F' B
R2 B2 U' B' U' B F'
B F2 U D F U B2
B F2 U D2 F L2 U
B F2 U F U D B2
B F2 U F U2 R2 U'
B F2 U F D U B2
B F2 U F D2 L2 U
B F2 U' R2 U2 F U
B F2 D U F U B2
F B2 D R2 B' U2 B'
F B2 D B' R2 U2 B'
B F2 D' F2 U F' U
F B2 D' F2 U2 L2 F
B F2 D2 U F L2 U
F B2 D' F2 B' U2 L2
F B2 D' B' F2 U2 L2
