L2 R D' F U' L2
L2 R D2 F B2 U'
L2 R D2 B2 F U'
L2 R F U2 F U
F2 L' U2 L' F U'
B' L' F2 L' R U
B' L' F2 R L' U
R L2 D' F U' L2
R L2 D2 F B2 U'
R L2 D2 B2 F U'
R L2 F U2 F U
R L2 F U2 F U
L2 D' R F U' L2
L2 D2 R F B2 U'
L2 D2 R B2 F U'
L2 D2 B2 R F U'
R F L2 F B' U'
R F L2 B' F U'
L2 F U2 F L' U
F2 D B' L' U F2
F2 D2 R2 B' L' U
F2 D2 B' L' R2 U
F2 D2 B' R2 L' U
F2 B' L' U2 L' U'
F2 B' D L' U F2
F2 B' D2 L' R2 U
F2 B' D2 R2 L' U
B' F2 L' U2 L' U'
B' F2 D L' U F2
B' F2 D2 L' R2 U
B' F2 D2 R2 L' U
B' F2 D2 L' R2 D2 U
B' F2 D2 L' U D' F2
B' F2 D2 L' D' U F2
L2 B2 F U2 F L' U
B' F2 D2 R2 L' U D
B' F2 D2 R2 L' U D'
B' F2 D2 R2 L' U D2
B' F2 D2 R2 L' D U
B' F2 D2 R2 L' D' U
B' F2 D2 R2 L' D2 U
B' F2 D2 R2 D L' U
B' F2 D2 R2 D' L' U
B' F2 D2 R2 D2 L' U
B2 F2 D2 L' B R2 U
F2 B2 D2 L' B R2 U
B2 F2 D2 B L' R2 U
B2 F2 D2 B R2 L' U
F2 B2 D2 B L' R2 U
F2 B2 D2 B R2 L' U
L B2 F2 L' R' B' U
L B2 F2 R' L' B' U
