R2 L U' L' F'
R2 L' U' L F'
R2 L' U' F' L
L' R2 U' L F'
L' R2 U' F' L
L2 R2 U' L2 F'
R2 L2 U' L2 F'
L R2 U' L' F'
R2 L2 U' F' L2
L2 R2 U' F' L2
F2 D R2 F' B2
F2 D R2 B2 F'
L R2 D' B U' L' F'
L2 R2 D' B2 L U' F'
L2 R2 D' B2 L' U' F'
L2 R2 D' B2 L2 U' F'
L2 R2 D' B2 U' D F'
L2 R2 D' B2 U' D' F'
L2 R2 D' B2 U' D2 F'
L2 R2 D' B2 U' F' D
L2 R2 D' B2 U' F' D'
L2 R2 D' B2 U' F' D2
L2 R2 D' B2 D U' F'
L2 R2 D' B2 D' U' F'
L2 R2 D' B2 D2 U' F'
R2 L2 D' B2 L U' F'
L R2 D' B' U' L' F'
R2 L2 D' B2 L' U' F'
R2 L2 D' B2 L2 U' F'
R2 L2 D' B2 U' D F'
R2 L2 D' B2 U' D' F'
R2 L2 D' B2 U' D2 F'
R2 L2 D' B2 U' F' D
R2 L2 D' B2 U' F' D'
R2 L2 D' B2 U' F' D2
R2 L2 D' B2 D U' F'
R2 L2 D' B2 D' U' F'
R2 L2 D' B2 D2 U' F'
L R2 D' B2 U' L' F'
L R2 D2 L U' L2 F'
L R2 D2 L U' F' L2
L' R2 D2 U' L D F'
L' R2 D2 U' L D' F'
L' R2 D2 U' L D2 F'
L' R2 D2 U' L F' D
L' R2 D2 U' L F' D'
L' R2 D2 U' L F' D2
L' R2 D2 U' L' F' L2
L' R2 D2 U' F L F2
L' R2 D2 U' F' L D
L' R2 D2 U' F' L D'
L' R2 D2 U' F' L D2
L' R2 D2 U' F' D L
L' R2 D2 U' F' D' L
L' R2 D2 U' F' D2 L
L R2 D2 L2 U' L F'
L R2 D2 L2 U' F' L
L2 R2 D2 U R2 B U2
R2 L2 D2 U R2 B U2
L2 R2 D2 U' F' D2 L2
R2 L2 D2 U' F' D2 L2
L R2 D2 U' L F' L2
L R2 D2 U' L' D F'
L R2 D2 U' L' D' F'
L R2 D2 U' L' D2 F'
L R2 D2 U' L' F' D
L R2 D2 U' L' F' D'
L R2 D2 U' L' F' D2
L R2 D2 U' L2 F' L
L R2 D2 B U' L' F'
L R2 D2 B' U' L' F'
L R2 D2 B2 U' L' F'
D2 L2 R2 U' F' L2 B'
B' L2 R2 U B2 U2 L2
B' L2 R2 U' L2 D2 F2
B2 L2 R2 U' F L2 D
B2 L2 R2 U' F L2 D'
B2 L2 R2 U' F L2 D2
B2 L2 R2 U' F' L2 F2
B2 L2 R2 U' F2 L2 F'
D L2 R2 U' L2 F' B2
D L2 R2 U' L2 B2 F'
B L2 R2 U' L2 D F2
D L2 R2 U' F' L2 B2
D L2 R2 U' F' B2 L2
D L2 R2 U' B2 L2 F'
D L2 R2 U' B2 F' L2
B2 L2 R2 D' B2 U' F
U L2 R2 U L2 U2 F'
U L2 R2 U' D2 F' R2
U L2 R2 U' F' D2 R2
B' L2 R2 B' U' L2 F
F2 L2 R2 F2 U' F L2
U L2 R2 D F2 U' F
B2 L2 R2 B U' F L2
B2 L2 R2 B' U' F L2
D2 L2 U L2 D2 R2 F'
U L2 R2 D2 U' F' R2
B2 L2 R2 B2 U' F L2
B L2 R2 B U' L2 F
D' L2 U F2 B U2 L2
D2 L2 U B U2 B' L2
D' L2 U B F2 U2 L2
D L2 U B U2 L2 B
D L2 U B U2 B L2
B L2 U' L2 D F2 B2
B L2 U' L2 D B2 F2
B L2 U' R2 U' L2 R2
B L2 U' R2 U' R2 L2
L2 R2 B L U' L F'
L2 R2 B L U' F' L
B2 L2 U' F L2 D B2
R2 L2 B L U' L F'
R2 L2 B L U' F' L
L2 R2 B L' U' L' F'
L R2 B L U' L2 F'
L R2 B L U' F' L2
R2 L2 B L' U' L' F'
D L2 U' F B2 L2 F
L R2 B L2 U' L F'
L R2 B L2 U' F' L
D L2 U' F' B2 L2 F
D L2 U' F2 B2 L2 F
L2 R2 B U' L F' L
L2 R2 B U' L2 D F'
L2 R2 B U' L2 D' F'
L2 R2 B U' L2 D2 F'
L2 R2 B U' L2 F' D
L2 R2 B U' L2 F' D'
L2 R2 B U' L2 F' D2
D L2 U' B2 L2 D F
D L2 U' B2 L2 D' F
D L2 U' B2 L2 D2 F
D L2 U' B2 L2 F D
D L2 U' B2 L2 F D'
D L2 U' B2 L2 F D2
L2 R2 B U' F L2 F2
R L2 B R U' L2 F'
L2 R2 B U' F' L2 D
L2 R2 B U' F' L2 D'
L2 R2 B U' F' L2 D2
R L2 B R U' F' L2
R2 L2 B U' L F' L
R2 L2 B U' L2 D F'
R2 L2 B U' L2 D' F'
R2 L2 B U' L2 D2 F'
R2 L2 B U' L2 F' D
R2 L2 B U' L2 F' D'
R2 L2 B U' L2 F' D2
D L2 U' B2 F L2 F
D L2 U' B2 F' L2 F
R2 L2 B U' F L2 F2
D L2 U' B2 F2 L2 F
R2 L2 B U' F' L2 D
R2 L2 B U' F' L2 D'
R2 L2 B U' F' L2 D2
L R2 B U' L F' L2
L R2 B U' L' D F'
L R2 B U' L' D' F'
L R2 B U' L' D2 F'
L R2 B U' L' F' D
L R2 B U' L' F' D'
L R2 B U' L' F' D2
L R2 B U' L2 F' L
L R2 B U' D L' F'
L R2 B U' D' L' F'
L R2 B U' D2 L' F'
L2 R2 B D' B2 U' F'
L R2 B D U' L' F'
R2 L2 B D' B2 U' F'
L R2 B D' U' L' F'
L R2 B D2 U' L' F'
L2 R2 B' L U' L F'
L2 R2 B' L U' F' L
L2 R2 B' L' U' L' F'
R2 L2 B' L U' L F'
R2 L2 B' L U' F' L
R2 L2 B' L' U' L' F'
L R2 B' L U' L2 F'
L R2 B' L U' F' L2
L R2 B' L2 U' L F'
L R2 B' L2 U' F' L
L2 R2 B' U' L F' L
L2 R2 B' U' L2 D F'
L2 R2 B' U' L2 D' F'
L2 R2 B' U' L2 D2 F'
L2 R2 B' U' L2 F' D
L2 R2 B' U' L2 F' D'
L2 R2 B' U' L2 F' D2
L2 R2 B' U' F L2 F2
L2 R2 B' U' F' L2 D
L2 R2 B' U' F' L2 D'
L2 R2 B' U' F' L2 D2
R L2 B' R U' L2 F'
R L2 B' R U' F' L2
R2 L2 B' U' L F' L
R2 L2 B' U' L2 D F'
R2 L2 B' U' L2 D' F'
R2 L2 B' U' L2 D2 F'
R2 L2 B' U' L2 F' D
R2 L2 B' U' L2 F' D'
R2 L2 B' U' L2 F' D2
R2 L2 B' U' F L2 F2
R2 L2 B' U' F' L2 D
R2 L2 B' U' F' L2 D'
R2 L2 B' U' F' L2 D2
L R2 B' U' L F' L2
L R2 B' U' L' D F'
L R2 B' U' L' D' F'
L R2 B' U' L' D2 F'
L R2 B' U' L' F' D
L R2 B' U' L' F' D'
L R2 B' U' L' F' D2
L R2 B' U' L2 F' L
L R2 B' U' D L' F'
L R2 B' U' D' L' F'
L R2 B' U' D2 L' F'
L2 R2 B' D' B2 U' F'
L R2 B' D U' L' F'
R2 L2 B' D' B2 U' F'
L R2 B' D' U' L' F'
L R2 B' D2 U' L' F'
L2 R2 B2 L U' L F'
L2 R2 B2 L U' F' L
R2 L2 B2 L U' L F'
R2 L2 B2 L U' F' L
L2 R2 B2 L' U' L' F'
L R2 B2 L U' L2 F'
L R2 B2 L U' F' L2
R2 L2 B2 L' U' L' F'
L R2 B2 L2 U' L F'
L R2 B2 L2 U' F' L
L2 R2 B2 U' L F' L
L2 R2 B2 U' L2 D F'
L2 R2 B2 U' L2 D' F'
L2 R2 B2 U' L2 D2 F'
L2 R2 B2 U' L2 F' D
L2 R2 B2 U' L2 F' D'
L2 R2 B2 U' L2 F' D2
L2 R2 B2 U' F L2 F2
L2 R2 B2 U' F' L2 D
L2 R2 B2 U' F' L2 D'
L2 R2 B2 U' F' L2 D2
R L2 B2 R U' L2 F'
R L2 B2 R U' F' L2
R2 L2 B2 U' L F' L
R2 L2 B2 U' L2 D F'
R2 L2 B2 U' L2 D' F'
R2 L2 B2 U' L2 D2 F'
R2 L2 B2 U' L2 F' D
R2 L2 B2 U' L2 F' D'
R2 L2 B2 U' L2 F' D2
R2 L2 B2 U' F L2 F2
R2 L2 B2 U' F' L2 D
R2 L2 B2 U' F' L2 D'
R2 L2 B2 U' F' L2 D2
L R2 B2 U' L F' L2
L R2 B2 U' L' D F'
L R2 B2 U' L' D' F'
L R2 B2 U' L' D2 F'
L R2 B2 U' L' F' D
L R2 B2 U' L' F' D'
L R2 B2 U' L' F' D2
L R2 B2 U' L2 F' L
L R2 B2 U' D L' F'
L R2 B2 U' D' L' F'
L R2 B2 U' D2 L' F'
L2 R2 B2 D' B2 U' F'
L R2 B2 D U' L' F'
R2 L2 B2 D' B2 U' F'
L R2 B2 D' U' L' F'
L R2 B2 D2 U' L' F'
D L2 D' R2 B2 U' F'
F L2 F' R2 U' L2 F'
F L2 F' R2 U' F' L2
F2 L2 F2 R2 U' L2 F'
F2 L2 F2 R2 U' F' L2
B' L2 B R2 U' L2 F'
B' L2 B R2 U' F' L2
B2 L2 B R2 U' F L2
B L2 B R2 U' L2 F
B' L2 B' R2 U' L2 F
B2 L2 B' R2 U' F L2
R2 U R2 B U' B' U'
B L2 B' R2 U' L2 F'
B L2 B' R2 U' F' L2
D L2 B' U' B' L2 F
B2 L2 B2 R2 U' F L2
L U D B U2 L' B
L U D B U2 B L'
L U D' F2 B R U2
L U D' B F2 R U2
F' R U R F U' F2
F2 R U R F2 U' F
U' R U2 R U' F' R2
L2 U B U' R2 U' L2
L2 U B U2 L2 D B2
R2 U B U' B' U' F'
L U B U' R2 U' L'
L U B U2 L' D B2
L U B U2 D L' B2
L U B U2 D B2 L'
L U B D U2 L' B2
L U B D U2 B2 L'
L U B D' F2 R U2
B' R D L2 R U' L2
B' R D R L2 U' L2
R2 U B' U' B U' F'
R2 U B2 U' B2 U' F'
R2 U B2 U2 D L2 F'
R2 U B2 U2 D F' L2
R2 U B2 U2 F' D L2
R2 U B2 D U2 L2 F'
R2 U B2 D U2 F' L2
L' U' L U R2 U' F'
R2 U B2 D' R2 B U2
R2 U' L F' U' F U
R2 U' L F2 D' F L2
L U' L' U R2 U' F'
R2 U' L' F' U' F U
R2 U' L' F2 D' F L2
L2 U' L2 U R2 U' F'
R2 U' L2 F' U' F U
R2 U' L2 F2 D' F L2
L' U' R2 U' L F' R2
L' U' R2 U' F' L R2
L' U' R2 U' F' R2 L
L2 U' R2 U' L2 F' R2
L2 U' R2 U' F' L2 R2
L2 U' R2 U' F' R2 L2
L U' R2 U' L' F' R2
L' U' D L' B2 L2 F
L U' D L B2 L2 F
R2 U' D F' U' F U
L2 U' D B2 D' L2 F
R2 U' D F2 D' F L2
L U' D B2 L2 F L
R2 U' D' F' U' F U
R2 U' D' F2 D' F L2
R2 U' D2 F' U' F U
R2 U' D2 F2 D' F L2
R2 U' F U' F' U F'
R2 U' F' L2 U B' U'
R2 U' F' U' D F U
R2 U' F' U' D' F U
R2 U' F' U' D2 F U
R2 U' F' U' F U D
R2 U' F' U' F U D'
R2 U' F' U' F U D2
R2 U' F' U' F D U
R2 U' F' U' F D' U
R2 U' F' U' F D2 U
R2 U' F' D U' F U
R2 U' F' D' U' F U
R2 U' F' D2 U' F U
R2 U' F2 L2 D' L2 F
R2 U' F2 U' F2 U F'
R2 U' F2 D F D2 L2
R2 U' F2 D' F L2 D
R2 U' F2 D' F L2 D'
R2 U' F2 D' F L2 D2
R2 U' F2 D' F' L2 F2
R2 U' F2 D' F2 L2 F'
R2 U' F2 D2 F D L2
B' R' D L2 R' U' L2
B' R' D R' L2 U' L2
L2 U' B2 L2 D F B2
L2 U' B2 L2 D B2 F
L2 U' B2 L2 F D B2
R2 U2 R' U' R U2 F'
L2 U2 R2 U F' L2 B'
R2 U2 R2 U' R2 U2 F'
R2 U2 R2 U' B R2 U2
B' R2 L U B2 U2 L'
B' R2 L U' L' D2 F2
B' R2 L U' D2 L' F2
B' R2 L D L2 U' L
B' R2 L D2 U' L' F2
D R2 L U' L' F' B2
D R2 L U' L' B2 F'
D R2 L U' B2 L' F'
B' R2 L' U B2 R' U2
B' R2 L' U' L D2 F2
B' R2 L' U' D2 L F2
B' R2 L' U' D2 F2 L
U R2 L U L' U2 F'
B' R2 L' D L2 U' L'
B2 R2 L' U' L' F L2
U R2 L U' F2 R F
B' R2 L' D2 U' L F2
B' R2 L' D2 U' F2 L
D R2 L' U' L F' B2
D R2 L' U' L B2 F'
D R2 L' U' F' L B2
U R2 L F2 U' R F
D2 R2 L2 U' F' L2 B'
F2 R2 L' F2 U' F L
B' R2 L2 U B2 U2 L2
B' R2 L2 U' L2 D2 F2
U R2 L' U L U2 F'
R2 U2 F R' U F2 L'
B2 R2 L2 U' F L2 D
B2 R2 L2 U' F L2 D'
B2 R2 L2 U' F L2 D2
B2 R2 L2 U' F' L2 F2
B2 R2 L2 U' F2 L2 F'
R2 U2 F U F2 D' L2
B2 R2 L2 D' B2 U' F
B' R2 L2 B' U' L2 F
D R2 L2 U' L2 F' B2
B R2 L2 U' L2 D F2
D R2 L2 U' L2 B2 F'
D R2 L2 U' F' L2 B2
D R2 L2 U' F' B2 L2
D R2 L2 U' B2 L2 F'
D R2 L2 U' B2 F' L2
F2 R2 L2 F2 U' F L2
B2 R2 L2 B U' F L2
B2 R2 L2 B' U' F L2
B2 R2 L2 B2 U' F L2
U R2 L2 U L2 U2 F'
U R2 L2 U' D2 F' R2
U R2 L2 U' F' D2 R2
B R2 L2 B U' L2 F
U R2 L2 D F2 U' F
U R2 L2 D2 U' F' R2
U' R2 U F R2 F2 B
U' R2 U F R2 B F2
U2 R2 U R2 U2 R2 F'
U2 R2 U R2 B U2 R2
U2 R2 U D2 F' L2 B'
B' R2 U B2 U' B2 U'
B' R2 U B2 U2 D L2
B' R2 U B2 D U2 L2
B' R2 U B2 D' R2 U2
U2 R2 U F' D2 L2 B'
B2 R2 U B' U' B U'
B' R2 U' D2 F2 D' L2
U' R2 U' F' R2 D2 L2
U2 R2 U' R2 B U2 B'
B2 R2 U' F2 D' L2 F
F R2 U' B U F' B'
F R2 U' B U B' F'
U R2 U' F' U F U'
U R2 U' F2 D R2 F
U R2 U' F2 D F R2
B' R2 D L2 U' L2 D
B' R2 D L2 U' L2 D'
B' R2 D L2 U' L2 D2
B' R2 D L2 D' B2 U'
B' R2 D L2 B U' L2
B' R2 D L2 B' U' L2
B' R2 D L2 B2 U' L2
B2 R2 D L2 U' F L2
U R2 U2 R' U R F'
U R2 U2 R2 U R2 F'
B' R2 D B L2 U' L2
B' R2 D B' L2 U' L2
B' R2 D B2 L2 U' L2
F2 R2 D F' R2 D B2
R' D L R' U' L' F'
B2 R2 D' L2 U' F L2
B' R2 D2 L U' L' F2
B' R2 D2 L' U' L F2
B' R2 D2 L' U' F2 L
B' R2 D2 L2 U' L2 F2
B' R2 D2 L2 U' F2 L2
R' D L' R' U' L F'
R' D L' R' U' F' L
R2 D L U' L F' L2
R2 D L U' L' D F'
R2 D L U' L' D' F'
R2 D L U' L' D2 F'
R2 D L U' L' F' D
R2 D L U' L' F' D'
R2 D L U' L' F' D2
R2 D L U' L2 F' L
B2 R2 D2 L2 U' F L2
R2 D L U' D L' F'
R2 D L U' D' L' F'
R2 D L U' D2 L' F'
B' R2 D2 U' F2 D' L2
R2 D L D U' L' F'
R2 D L D' U' L' F'
R2 D L D2 U' L' F'
L' D L' U' B2 L2 F
U2 R2 D2 U F' L2 B'
L D L U' B2 L2 F
R2 D L B U' L' F'
R2 D L B' U' L' F'
F' R2 F L U' L' F2
R2 D L B2 U' L' F'
F' R2 F L' U' L F2
F' R2 F L' U' F2 L
F' R2 F L2 U' L2 F2
F' R2 F L2 U' F2 L2
R' D L2 R' U' L2 F'
R' D L2 R' U' F' L2
R2 D L' U' L D F'
R2 D L' U' L D' F'
R2 D L' U' L D2 F'
R2 D L' U' L F' D
R2 D L' U' L F' D'
R2 D L' U' L F' D2
R2 D L' U' L' F' L2
R2 D L' U' D L F'
R2 D L' U' D F' L
R2 D L' U' D' L F'
R2 D L' U' D' F' L
R2 D L' U' D2 L F'
R2 D L' U' D2 F' L
R2 D L' U' F L F2
R2 D L' U' F' L D
R2 D L' U' F' L D'
R2 D L' U' F' L D2
R2 D L' U' F' D L
R2 D L' U' F' D' L
R2 D L' U' F' D2 L
R2 D L' D U' L F'
R2 D L' D U' F' L
F' R2 F U' F2 D' L2
R2 D L' D' U' L F'
R2 D L' D' U' F' L
R2 D L' D2 U' L F'
R2 D L' D2 U' F' L
F' R2 F D' L2 U' L2
U R2 F L U' F2 R
R2 D L2 U' L F' L
R2 D L2 U' L2 D F'
R2 D L2 U' L2 D' F'
R2 D L2 U' L2 D2 F'
R2 D L2 U' L2 F' D
R2 D L2 U' L2 F' D'
R2 D L2 U' L2 F' D2
F' R2 F' R2 D R2 B2
F' R2 F' R2 D B2 R2
R2 D L2 U' F L2 F2
D2 R2 F' U' L2 B' U
R2 D L2 U' F' L2 D
R2 D L2 U' F' L2 D'
R2 D L2 U' F' L2 D2
R2 D L2 D' B2 U' F'
F' R2 F' D R2 D B2
U R2 F U' F2 D R2
R2 D L2 B U' L2 F'
R2 D L2 B U' F' L2
R2 D L2 B' U' L2 F'
R2 D L2 B' U' F' L2
R2 D L2 B2 U' L2 F'
R2 D L2 B2 U' F' L2
D R2 F' U F U' B2
R' D R' L U' L' F'
F2 R2 F2 L U' L' F
R' D R' L' U' L F'
R' D R' L' U' F' L
R' D R' L2 U' L2 F'
R' D R' L2 U' F' L2
F2 R2 F2 L2 U' L2 F
D' R2 F2 D F R2 B
F R2 F' U' B U B'
D R2 F' B2 U F U'
R D R B' L U' L'
D R2 F2 B2 D R2 F
D R2 F2 B2 D F R2
L' D R2 U' L F' B2
L' D R2 U' L B2 F'
L' D R2 U' F' L B2
B2 R2 B D L2 U' L2
B R2 B L2 U' F L2
B' R2 B' L2 U' F L2
L D R2 U' L' F' B2
L D R2 U' L' B2 F'
L D R2 U' B2 L' F'
L' D U' L' B2 L2 F
L D U B U2 L' B
L D U B U2 B L'
B R2 B2 D L2 U' L2
F2 U L R2 F2 U' F
R2 D U' F' U' F U
R2 D U' F2 D' F L2
L D U' L B2 L2 F
L2 D U' B2 D' L2 F
D R2 B2 F' U F U'
D R2 B2 F2 D R2 F
D R2 B2 F2 D F R2
F2 U L F2 R2 U' F'
L D U' B2 L2 F L
F2 U L' R2 F2 U' F
F U L F' R2 U' F'
F2 U L' F2 R2 U' F'
F2 U L2 R2 F2 U' F
F U L' F' R2 U' F'
F2 U L2 F2 R2 U' F'
F U L2 F' R2 U' F'
F' U R' F R' U' F'
R2 D B L U' L' F'
R2 D B L' U' L F'
R2 D B L' U' F' L
R2 D B L2 U' L2 F'
R2 D B L2 U' F' L2
F2 U R' F2 R' U' F'
U' D R2 U F' R2 B2
U' D R2 U F' B2 R2
U' D R2 U B2 F' R2
F' U R2 U' F' D R2
F2 U R2 L F2 U' F
F2 U R2 L' F2 U' F
F' U R2 D F U' F2
F2 U R2 L2 F2 U' F
F' U R2 D' F U' F2
F' U R2 D2 F U' F2
F2 U R2 U' D F' R2
F' U R2 F L U' F2
F' U R2 F L' U' F2
F' U R2 F L2 U' F2
F' U R2 F U' F2 D
F' U R2 F U' F2 D'
F' U R2 F U' F2 D2
F' U R2 F D' L2 U'
F2 U R2 D U' F' R2
R2 D B' L U' L' F'
R2 D B' L' U' L F'
R2 D B' L' U' F' L
R2 D B' L2 U' L2 F'
R2 D B' L2 U' F' L2
F2 U R2 F2 U' D F
F2 U R2 F2 U' D' F
F2 U R2 F2 U' D2 F
F2 U R2 F2 U' F D
F2 U R2 F2 U' F D'
F2 U R2 F2 U' F D2
F2 U R2 F2 D U' F
F2 U R2 F2 D' U' F
F2 U R2 F2 D2 U' F
B U R2 U2 R2 U R2
R D B' L R U' L'
F U R2 U2 B U F'
R D B' R L U' L'
R2 D B2 L U' L' F'
R' D' L R' U' L' F'
R2 D B2 L' U' L F'
R2 D B2 L' U' F' L
R2 D B2 L2 U' L2 F'
R2 D B2 L2 U' F' L2
R' D' L' R' U' L F'
R' D' L' R' U' F' L
R2 D' L U' L F' L2
R2 D' L U' L' D F'
R2 D' L U' L' D' F'
R2 D' L U' L' D2 F'
R2 D' L U' L' F' D
R2 D' L U' L' F' D'
R2 D' L U' L' F' D2
R2 D' L U' L2 F' L
R2 D' L U' D L' F'
R2 D' L U' D' L' F'
R2 D' L U' D2 L' F'
R2 D' L D U' L' F'
R2 D' L D' U' L' F'
R2 D' L D2 U' L' F'
F' U F L R2 U' F'
F' U F L' R2 U' F'
R2 D' L B U' L' F'
F' U F L2 R2 U' F'
R2 D' L B' U' L' F'
R2 D' L B2 U' L' F'
D' U F2 B U' B' U'
R' D' L2 R' U' L2 F'
R' D' L2 R' U' F' L2
F' U F R2 L U' F'
F' U F R2 L' U' F'
F' U F R2 L2 U' F'
F' U F R2 U' D F'
F' U F R2 U' D' F'
F' U F R2 U' D2 F'
F' U F R2 U' F' D
F' U F R2 U' F' D'
F' U F R2 U' F' D2
U' D F2 B2 D' L2 F
F' U F R2 D U' F'
F' U F R2 D' U' F'
F' U F R2 D2 U' F'
R2 D' L' U' L D F'
R2 D' L' U' L D' F'
R2 D' L' U' L D2 F'
R2 D' L' U' L F' D
R2 D' L' U' L F' D'
R2 D' L' U' L F' D2
R2 D' L' U' L' F' L2
R2 D' L' U' D L F'
R2 D' L' U' D F' L
R2 D' L' U' D' L F'
R2 D' L' U' D' F' L
R2 D' L' U' D2 L F'
R2 D' L' U' D2 F' L
R2 D' L' U' F L F2
R2 D' L' U' F' L D
R2 D' L' U' F' L D'
R2 D' L' U' F' L D2
R2 D' L' U' F' D L
R2 D' L' U' F' D' L
R2 D' L' U' F' D2 L
R2 D' L' D U' L F'
R2 D' L' D U' F' L
F2 U F R2 F U' F2
R2 D' L' D' U' L F'
R2 D' L' D' U' F' L
R2 D' L' D2 U' L F'
R2 D' L' D2 U' F' L
D2 U B U L2 F U
D' U B F2 U' B' U'
F' U F' R2 F2 U' F
U2 D B U B' U B2
R2 D' L2 U' L F' L
R2 D' L2 U' L2 D F'
R2 D' L2 U' L2 D' F'
R2 D' L2 U' L2 D2 F'
R2 D' L2 U' L2 F' D
R2 D' L2 U' L2 F' D'
R2 D' L2 U' L2 F' D2
R2 D' L2 U' F L2 F2
R2 D' L2 U' F' L2 D
R2 D' L2 U' F' L2 D'
R2 D' L2 U' F' L2 D2
U2 D B U2 B D' R2
F U F R2 F2 U' F
R2 D' L2 D' B2 U' F'
D U B U' B' U' B2
D U B U2 B D L2
R2 D' L2 B U' L2 F'
R2 D' L2 B U' F' L2
R2 D' L2 B' U' L2 F'
R2 D' L2 B' U' F' L2
R2 D' L2 B2 U' L2 F'
R2 D' L2 B2 U' F' L2
R' D' R' L U' L' F'
F U F' L R2 U' F'
R' D' R' L' U' L F'
R' D' R' L' U' F' L
F2 U F2 L R2 U' F'
F U F' L' R2 U' F'
R' D' R' L2 U' L2 F'
R' D' R' L2 U' F' L2
U D B U' B' U' B2
F2 U F2 L' R2 U' F'
F U F' L2 R2 U' F'
U D B U2 B D L2
F2 U F2 L2 R2 U' F'
F U F' R2 L U' F'
F U F' R2 L' U' F'
F U F' R2 L2 U' F'
F U F' R2 U' D F'
F U F' R2 U' D' F'
F U F' R2 U' D2 F'
F U F' R2 U' F' D
F U F' R2 U' F' D'
F U F' R2 U' F' D2
F U F' R2 D U' F'
F U F' R2 D' U' F'
F U F' R2 D2 U' F'
F2 U F2 R2 L U' F'
F2 U F2 R2 L' U' F'
F2 U F2 R2 L2 U' F'
F2 U F2 R2 U' D F'
F2 U F2 R2 U' D' F'
F2 U F2 R2 U' D2 F'
F2 U F2 R2 U' F' D
F2 U F2 R2 U' F' D'
F2 U F2 R2 U' F' D2
F2 U F2 R2 D U' F'
F2 U F2 R2 D' U' F'
F2 U F2 R2 D2 U' F'
U' D B2 F2 D' L2 F
F U F2 R2 F U' F2
B2 U B' U' B R2 U'
B' U B2 U' R2 B2 U'
B' U B2 U' B2 R2 U'
B' U B2 U2 D L2 B2
B' U B2 U2 D B2 L2
D2 U' L2 R2 U F' R2
B' U B2 D U2 L2 B2
B' U B2 D U2 B2 L2
B' U B2 D' R2 F2 U2
B' U B2 D' F2 R2 U2
L D' U F2 B R U2
R2 D' U' F' U' F U
L D' U B F2 R U2
R2 D' U' F2 D' F L2
U' D' R2 U F' R2 B
D' U' R2 U F' R2 B
D2 U' R2 L2 U F' R2
D U' R2 U F' R2 B2
D U' R2 U F' B2 R2
D U' R2 U B2 F' R2
R2 D' B L U' L' F'
R2 D' B L' U' L F'
R2 D' B L' U' F' L
R2 D' B L2 U' L2 F'
R2 D' B L2 U' F' L2
R2 D' B' L U' L' F'
R2 D' B' L' U' L F'
R2 D' B' L' U' F' L
R2 D' B' L2 U' L2 F'
R2 D' B' L2 U' F' L2
D2 U' F2 D' B2 L2 F
B U' R2 U' R2 D2 L2
R' D2 L R' U' L' F'
R2 D' B2 L U' L' F'
R2 D' B2 L' U' L F'
R2 D' B2 L' U' F' L
U2 D' F2 B U B' U
R2 D' B2 L2 U' L2 F'
R2 D' B2 L2 U' F' L2
L2 D' B2 U F2 B' U2
L2 D' B2 U B' F2 U2
D U' F2 B2 D' L2 F
U D' F2 B U' B' U'
R' D2 L' R' U' L F'
R' D2 L' R' U' F' L
U2 D' B F2 U B' U
R2 D2 L U' L F' L2
R2 D2 L U' L' D F'
R2 D2 L U' L' D' F'
R2 D2 L U' L' D2 F'
R2 D2 L U' L' F' D
R2 D2 L U' L' F' D'
R2 D2 L U' L' F' D2
R2 D2 L U' L2 F' L
R2 D2 L U' D L' F'
R2 D2 L U' D' L' F'
R2 D2 L U' D2 L' F'
R2 D2 L D U' L' F'
B' U' D2 F2 D' L2 B2
B' U' D2 F2 D' B2 L2
R2 D2 L D' U' L' F'
R2 D2 L D2 U' L' F'
R2 D2 L B U' L' F'
R2 D2 L B' U' L' F'
R2 D2 L B2 U' L' F'
F2 U' D2 B2 L2 U F
R' D2 L2 R' U' L2 F'
R' D2 L2 R' U' F' L2
U D' B F2 U' B' U'
F' U' F R2 B U' F'
R2 D2 L' U' L D F'
R2 D2 L' U' L D' F'
R2 D2 L' U' L D2 F'
R2 D2 L' U' L F' D
R2 D2 L' U' L F' D'
R2 D2 L' U' L F' D2
R2 D2 L' U' L' F' L2
R2 D2 L' U' D L F'
R2 D2 L' U' D F' L
R2 D2 L' U' D' L F'
R2 D2 L' U' D' F' L
R2 D2 L' U' D2 L F'
R2 D2 L' U' D2 F' L
R2 D2 L' U' F L F2
R2 D2 L' U' F' L D
R2 D2 L' U' F' L D'
R2 D2 L' U' F' L D2
R2 D2 L' U' F' D L
R2 D2 L' U' F' D' L
R2 D2 L' U' F' D2 L
R2 D2 L' D U' L F'
R2 D2 L' D U' F' L
R2 D2 L' D' U' L F'
R2 D2 L' D' U' F' L
R2 D2 L' D2 U' L F'
R2 D2 L' D2 U' F' L
R D2 L' R U' F L
B U' F R2 B U' R2
R2 D2 L2 U' L F' L
R2 D2 L2 U' L2 D F'
R2 D2 L2 U' L2 D' F'
R2 D2 L2 U' L2 D2 F'
R2 D2 L2 U' L2 F' D
R2 D2 L2 U' L2 F' D'
R2 D2 L2 U' L2 F' D2
R2 D2 L2 U' F L2 F2
R2 D2 L2 U' F' L2 D
R2 D2 L2 U' F' L2 D'
R2 D2 L2 U' F' L2 D2
R2 D2 L2 D' B2 U' F'
D U' B2 F2 D' L2 F
R2 D2 L2 B U' L2 F'
R2 D2 L2 B U' F' L2
R2 D2 L2 B' U' L2 F'
R2 D2 L2 B' U' F' L2
R' D2 R' L U' L' F'
R2 D2 L2 B2 U' L2 F'
R2 D2 L2 B2 U' F' L2
R' D2 R' L' U' L F'
