D' U' F2 R B
U' D' F2 R B
U L' U R2 U B'
U L' U2 D' F2 B'
U L' U2 D' B' F2
U L' U2 B' D' F2
U L' D B2 U2 B
U L' D' U2 F2 B'
U L' D' U2 B' F2
D2 L2 U L F U2
D' R U' F2 R B
D' R' U' F2 R B
U2 R2 U' L' U2 B'
D' R2 U' F2 R B
D' U L' U2 F2 B'
D' U L' U2 B' F2
U D L' B2 U2 B
D U L' B2 U2 B
D U B2 L' U2 B'
U D B2 L' U2 B'
U D' L' U2 F2 B'
U D' L' U2 B' F2
U' D' R F2 B R
U' D' R B F2 R
D' U' R F2 B R
D' U' R B F2 R
U' D' F2 R D B
U' D' F2 R D' B
U' D' F2 R D2 B
U' D' F2 R B D
U' D' F2 R B D'
U' D' F2 R B D2
D' U' F2 R D B
D' U' F2 R D' B
D' U' F2 R D2 B
U' D' F2 D R B
D' U' F2 R B D
D' U' F2 R B D'
D' U' F2 R B D2
U' D' F2 D' R B
U' D' F2 D2 R B
U' D' F2 B R B
U' D' F2 B' R B
U' D' F2 B2 R B
D' U' F2 D R B
D' U' F2 D' R B
D' U' F2 D2 R B
D' U' F2 B R B
D' U' F2 B' R B
D' U' F2 B2 R B
U' D' B F2 R B
D' U' B F2 R B
U' D' B' F2 R B
D' U' B' F2 R B
U' D' B2 F2 R B
D' U' B2 F2 R B
U' F2 D' R F2 B
U' F2 D' R B F2
U' B D' F2 R B
U' B' D' F2 R B
U' B2 D' F2 R B
U' B' D' F2 R D B
U' B' D' F2 R D' B
U' B' D' F2 R D2 B
U' B' D' F2 R B D
U' B' D' F2 R B D'
U' B' D' F2 R B D2
F' B' R2 L' F' U R
U' B' D' F2 D R B
U' B' D' F2 D' R B
U' B' D' F2 D2 R B
U' B' D' F2 B R B
U' B' D' F2 B' R B
U' B' D' F2 B2 R B
U' B' D' B F2 R B
U' B' D' B' F2 R B
U' B' D' B2 F2 R B
U B' U2 D' F2 R B
U B' D L' B2 U2 B
U B' D B2 L' U2 B'
U B' D' L' U2 F2 B'
U B' D' L' U2 B' F2
U B' D' U2 F2 R B
U' B' F2 D' R F2 B
U' B' F2 D' R B F2
U B2 L' U R2 U B'
U B2 L' U2 D' F2 B'
U B2 L' U2 D' B' F2
U B2 L' U2 B' D' F2
U B2 L' D B2 U2 B
U B2 L' D' U2 F2 B'
U B2 L' D' U2 B' F2
U' B2 D' R F2 B R
U' B2 D' R B F2 R
U' B2 D' F2 R D B
U' B2 D' F2 R D' B
U' B2 D' F2 R D2 B
U' B2 D' F2 R B D
U' B2 D' F2 R B D'
U' B2 D' F2 R B D2
U' B2 D' F2 D R B
U' B2 D' F2 D' R B
U' B2 D' F2 D2 R B
U' B2 D' F2 B R B
U' B2 D' F2 B' R B
U' B2 D' F2 B2 R B
U' B2 D' B F2 R B
U' B2 D' B' F2 R B
U' B2 D' B2 F2 R B
U B2 U2 D' F2 R B
U B2 D L' B2 U2 B
U B2 D B2 L' U2 B'
U B2 D' L' U2 F2 B'
U B2 D' L' U2 B' F2
U B2 D' U2 F2 R B
U' B2 F2 D' R F2 B
U' B2 F2 D' R B F2
