F' R U R' F
F' R U F R'
L' U' L F' U
L2 U' L2 F' U
L U' L' F' U
L' U' F' L U
L2 U' F' L2 U
F' R' U R F
F' R2 U R2 F
F' R2 U F R2
U R2 B U' B'
U' F' L2 U B'
U' F' U' F U2
D' L2 B' U' L2 F' U
B' L2 B' U' L2 F' U
D' L2 B' U' F' L2 U
B' L2 B' U' F' L2 U
L2 U R2 B U' D' B2
L2 U R2 B U2 L2 U
L2 U R2 B D' U' B2
L2 U R2 B D2 R2 U'
B2 L2 B' U' L2 F' U
B2 L2 B' U' F' L2 U
D L2 B' U' L2 F' U
L U R2 B U2 L' U
B L2 B' U' L2 F' U
D L2 B' U' F' L2 U
B L2 B' U' F' L2 U
F L2 B' D' L2 F' B2
F L2 B' D' L2 B2 F'
F L2 B' D' F' L2 B2
F L2 B' D' F' B2 L2
F L2 B' D' B2 L2 F'
F L2 B' D' B2 F' L2
D2 L2 B2 U' L2 F' U
D2 L2 B2 U' F' L2 U
D' L2 B2 U' L2 F' U
B' L2 B2 U' L2 F' U
D' L2 B2 U' F' L2 U
B' L2 B2 U' F' L2 U
B2 L2 B2 U' L2 F' U
B2 L2 B2 U' F' L2 U
D L2 B2 U' L2 F' U
B L2 B2 U' L2 F' U
D L2 B2 U' F' L2 U
B L2 B2 U' F' L2 U
L2 U D' R2 B U' B
F L2 B2 D' L2 F' B2
F L2 B2 D' L2 B2 F'
F L2 B2 D' F' L2 B2
F L2 B2 D' F' B2 L2
F L2 B2 D' B2 L2 F'
F L2 B2 D' B2 F' L2
R2 U D' F2 B U' B'
R2 U D' B F2 U' B'
L2 U D2 R2 D B U'
L2 U D2 R2 D' B U'
L2 U D2 R2 D2 B U'
L2 U D2 R2 B U' D
L2 U D2 R2 B U' D'
L2 U D2 R2 B U' D2
L2 U D2 R2 B D U'
L2 U D2 R2 B D' U'
L2 U D2 R2 B D2 U'
L2 U D2 B R2 B U'
L2 U D2 B' R2 B U'
L2 U D2 B2 R2 B U'
R2 U F B U' R2 B'
R2 U F B U' B' R2
F' R U R F R2 D
F' R U R F R2 D'
F' R U R F R2 D2
F' R U R F' R2 F2
F' R U R' D F D
F' R U R' D F D'
F' R U R' D F D2
F' R U R' D' F D
F' R U R' D' F D'
F' R U R' D' F D2
F' R U R' D2 F D
F' R U R' D2 F D'
F' R U R' D2 F D2
F' R U R' F2 D F'
F' R U R' F2 D' F'
F' R U R' F2 D2 F'
F' R U R2 D R F
F' R U R2 D' R F
F' R U R2 D2 R F
F' R U D R F R2
F' R U D R' D F
F' R U D R' D' F
F' R U D R' D2 F
F' R U D R' F D
F' R U D R' F D'
F' R U D R' F D2
F' R U D F R' D
F' R U D F R' D'
F' R U D F R' D2
F' R U D F D R'
F' R U D F D' R'
F' R U D F D2 R'
F' R U D F' R' F2
F' R U D' R F R2
F' R U D' R' D F
F' R U D' R' D' F
F' R U D' R' D2 F
F' R U D' R' F D
F' R U D' R' F D'
F' R U D' R' F D2
F' R U D' F R' D
F' R U D' F R' D'
F' R U D' F R' D2
F' R U D' F D R'
F' R U D' F D' R'
F' R U D' F D2 R'
F' R U D' F' R' F2
F' R U D2 R F R2
F' R U D2 R' D F
F' R U D2 R' D' F
F' R U D2 R' D2 F
F' R U D2 R' F D
F' R U D2 R' F D'
F' R U D2 R' F D2
F' R U D2 F R' D
F' R U D2 F R' D'
F' R U D2 F R' D2
F' R U D2 F D R'
F' R U D2 F D' R'
F' R U D2 F D2 R'
F' R U D2 F' R' F2
F' R U F R2 D R
F' R U F R2 D' R
F' R U F R2 D2 R
F' R U F D R' D
F' R U F D R' D'
F' R U F D R' D2
F' R U F D' R' D
F' R U F D' R' D'
F' R U F D' R' D2
F' R U F D2 R' D
F' R U F D2 R' D'
F' R U F D2 R' D2
F' R U F' R F2 R2
F' R U F' R' F2 D
F' R U F' R' F2 D'
F' R U F' R' F2 D2
F' R U F2 D F' R'
F' R U F2 D' F' R'
F' R U F2 D2 F' R'
R2 U F' B U' R2 B'
R2 U F' B U' B' R2
F' R U' L' U2 R' F'
U2 R U' R' B U' L
F' R U' B U2 F R
R2 U F2 B U' R2 B'
R2 U F2 B U' B' R2
L' U B R2 B R' U'
R2 U B R U' R B'
R2 U B R U' B' R
R2 U B R' U' R' B'
L2 U B U2 L2 F' U
L2 U B U2 F' L2 U
R2 U B U' R B' R
R2 U B U' R2 D B'
R2 U B U' R2 D' B'
R2 U B U' R2 D2 B'
R2 U B U' R2 B' D
R2 U B U' R2 B' D'
R2 U B U' R2 B' D2
R2 U B U' B R2 B2
R2 U B U' B' R2 D
R2 U B U' B' R2 D'
R2 U B U' B' R2 D2
L2 U B D2 R2 B U'
F' R U2 F' U' R' F2
F' R U2 F' U' F2 R'
R2 U B D' F2 U' B'
L U B U2 L' F' U
F' R U2 F2 U' F' R'
R2 U B F U' R2 B'
R2 U B F U' B' R2
R2 U B F' U' R2 B'
R2 U B F' U' B' R2
R2 U B F2 U' R2 B'
R2 U B F2 U' B' R2
L' U B' U2 F' L' U
F' R D R U R2 F
F' R D R U F R2
F' R D R2 U R F
L2 U B' U2 L2 F' U
L2 U B' U2 F' L2 U
F' R D U R F R2
F' R D U R' D F
F' R D U R' D' F
F' R D U R' D2 F
F' R D U R' F D
F' R D U R' F D'
F' R D U R' F D2
F' R D U F R' D
F' R D U F R' D'
F' R D U F R' D2
F' R D U F D R'
F' R D U F D' R'
F' R D U F D2 R'
F' R D U F' R' F2
L2 U B' D2 R2 B U'
L U B' U2 L' F' U
F2 R D F R2 U R
L' U B2 R2 B R U'
U R D R B U' B'
F' R D' R U R2 F
F' R D' R U F R2
F' R D' R2 U R F
L2 U B2 U2 L2 F' U
L2 U B2 U2 F' L2 U
F' R D' U R F R2
F' R D' U R' D F
F' R D' U R' D' F
F' R D' U R' D2 F
F' R D' U R' F D
F' R D' U R' F D'
F' R D' U R' F D2
F' R D' U F R' D
F' R D' U F R' D'
F' R D' U F R' D2
F' R D' U F D R'
F' R D' U F D' R'
F' R D' U F D2 R'
F' R D' U F' R' F2
L2 U B2 D2 R2 B U'
U R D B' U' B L
L U B2 U2 L' F' U
L' U' L D F' U D
L' U' L D F' U D'
L' U' L D F' U D2
L' U' L D F' D U
L' U' L D F' D' U
L' U' L D F' D2 U
L' U' L D' F' U D
L' U' L D' F' U D'
L' U' L D' F' U D2
L' U' L D' F' D U
L' U' L D' F' D' U
L' U' L D' F' D2 U
U R D' R B U' B'
L' U' L D2 F' U D
L' U' L D2 F' U D'
L' U' L D2 F' U D2
L' U' L D2 F' D U
L' U' L D2 F' D' U
L' U' L D2 F' D2 U
L' U' L F U D' L2
L' U' L F D' U L2
L2 U' L D L F' U
F' R D2 R U R2 F
F' R D2 R U F R2
L2 U' L D F' L U
L' U' L F2 D F U
L' U' L F2 D' F U
L' U' L F2 D2 F U
L2 U' L D' L F' U
L2 U' L D' F' L U
L2 U' L D2 L F' U
F' R D2 R2 U R F
L2 U' L D2 F' L U
L2 U' L F L F2 U
F' R D2 U R F R2
F' R D2 U R' D F
F' R D2 U R' D' F
F' R D2 U R' D2 F
F' R D2 U R' F D
F' R D2 U R' F D'
F' R D2 U R' F D2
F' R D2 U F R' D
F' R D2 U F R' D'
F' R D2 U F R' D2
F' R D2 U F D R'
F' R D2 U F D' R'
F' R D2 U F D2 R'
F' R D2 U F' R' F2
L2 U' L F' L U D
L2 U' L F' L U D'
L2 U' L F' L U D2
L2 U' L F' L D U
L2 U' L F' L D' U
L2 U' L F' L D2 U
L2 U' L F' D L U
L2 U' L F' D' L U
L2 U' L F' D2 L U
L U' L D' F' U B2
U R D' B' U' B L
L U' L F L2 F2 U
L U' L F' L2 U D
L U' L F' L2 U D'
L U' L F' L2 U D2
L U' L F' L2 D U
L U' L F' L2 D' U
L U' L F' L2 D2 U
L U' L F' U D' B2
L U' L F' D' U B2
L' U' L' D' F' U B2
U R D2 R B U' B'
L' U' L' F L2 F2 U
L' U' L' F' L2 U D
L' U' L' F' L2 U D'
L' U' L' F' L2 U D2
L' U' L' F' L2 D U
L' U' L' F' L2 D' U
L' U' L' F' L2 D2 U
L' U' L' F' U D' B2
L' U' L' F' D' U B2
L2 U' L' D L' F' U
L2 U' L' D' L' F' U
L2 U' L' D2 L' F' U
D2 R F U F' L' R'
D2 R F U F' R' L'
D' R F U F' L' R'
D' R F U F' R' L'
B' R F U F' L' R'
B' R F U F' R' L'
F2 R F R U R2 F
F2 R F R U F R2
L U' L' D F' U D
L U' L' D F' U D'
L U' L' D F' U D2
L U' L' D F' D U
L U' L' D F' D' U
L U' L' D F' D2 U
F2 R F R2 U R F
B2 R F U F' L' R'
B2 R F U F' R' L'
L U' L' D' F' U D
L U' L' D' F' U D'
L U' L' D' F' U D2
L U' L' D' F' D U
L U' L' D' F' D' U
L U' L' D' F' D2 U
U R D2 B' U' B L
F2 R F U R F R2
F2 R F U R' D F
F2 R F U R' D' F
F2 R F U R' D2 F
F2 R F U R' F D
F2 R F U R' F D'
F2 R F U R' F D2
F2 R F U D R' F
F2 R F U D F R'
F2 R F U D' R' F
F2 R F U D' F R'
F2 R F U D2 R' F
F2 R F U D2 F R'
F2 R F U F R' D
F2 R F U F R' D'
F2 R F U F R' D2
F2 R F U F D R'
F2 R F U F D' R'
F2 R F U F D2 R'
F2 R F U F' R' F2
L U' L' D2 F' U D
L U' L' D2 F' U D'
L U' L' D2 F' U D2
L U' L' D2 F' D U
L U' L' D2 F' D' U
L U' L' D2 F' D2 U
L U' L' F U D' L2
L U' L' F D' U L2
L' U' L2 D L' F' U
D R F U F' L' R'
D R F U F' R' L'
L' U' L2 D' L' F' U
F2 R F D U R' F
F2 R F D U F R'
L U' L' F2 D F U
L U' L' F2 D' F U
L U' L' F2 D2 F U
B R F U F' L' R'
B R F U F' R' L'
L' U' L2 D2 L' F' U
F2 R F D' U R' F
F2 R F D' U F R'
F2 R F D2 U R' F
F2 R F D2 U F R'
L2 U' L2 D F' U D
L2 U' L2 D F' U D'
L2 U' L2 D F' U D2
L2 U' L2 D F' D U
L2 U' L2 D F' D' U
L2 U' L2 D F' D2 U
L2 U' L2 D' F' U D
L2 U' L2 D' F' U D'
L2 U' L2 D' F' U D2
L2 U' L2 D' F' D U
L2 U' L2 D' F' D' U
L2 U' L2 D' F' D2 U
L2 U' L2 D2 F' U D
L2 U' L2 D2 F' U D'
L2 U' L2 D2 F' U D2
L2 U' L2 D2 F' D U
L2 U' L2 D2 F' D' U
L2 U' L2 D2 F' D2 U
L2 U' L2 F U D' L2
L2 U' L2 F D' U L2
L U' L2 D L F' U
L2 U' L2 F2 D F U
L2 U' L2 F2 D' F U
L2 U' L2 F2 D2 F U
L U' L2 D F' L U
L U' L2 D' L F' U
L U' L2 D' F' L U
L U' L2 D2 L F' U
L U' L2 D2 F' L U
L U' L2 F L F2 U
L U' L2 F' L U D
L U' L2 F' L U D'
L U' L2 F' L U D2
L U' L2 F' L D U
L U' L2 F' L D' U
L U' L2 F' L D2 U
L U' L2 F' D L U
L U' L2 F' D' L U
L U' L2 F' D2 L U
F R F2 R U R2 F'
F R F2 R2 U R F'
U R B R B U' B2
U R B U' B L B2
L' U' D L D F' U
L' U' D L D' F' U
L' U' D L D2 F' U
L' U' D L F' U D
L' U' D L F' U D'
L' U' D L F' U D2
L' U' D L F' D U
L' U' D L F' D' U
L' U' D L F' D2 U
L' U' D L' F' L2 U
L' U' D F L F2 U
L' U' D F' L U D
L' U' D F' L U D'
L' U' D F' L U D2
L' U' D F' L D U
L' U' D F' L D' U
L' U' D F' L D2 U
L' U' D F' D L U
L' U' D F' D' L U
L' U' D F' D2 L U
L U' D L F' L2 U
L U' D L' D F' U
L' U' D' L D F' U
L U' D L' D' F' U
L' U' D' L D' F' U
L U' D L' D2 F' U
L' U' D' L D2 F' U
L2 U' D F' U' F' U2
L U' D L' F' U D
L U' D L' F' U D'
L U' D L' F' U D2
L U' D L' F' D U
L U' D L' F' D' U
L' U' D' L F' U D
L' U' D' L F' U D'
L' U' D' L F' U D2
L U' D L' F' D2 U
L' U' D' L F' D U
L' U' D' L F' D' U
L' U' D' L F' D2 U
U R B' U' L B L
U R B' U' L' B L
U R B' U' L2 B L
U R B' U' D B L
L' U' D' L' F' L2 U
U R B' U' D' B L
L U' D L2 F' L U
U R B' U' D2 B L
U R B' U' B L D
U R B' U' B L D'
U R B' U' B L D2
U R B' U' B D L
U R B' U' B D' L
U R B' U' B D2 L
U R B' D U' B L
U R B' D' U' B L
U R B' D2 U' B L
L2 U' D' L F' U B2
L' U' D' F L F2 U
L2 U' D' L' F' U B2
L' U' D' F' L U D
L' U' D' F' L U D'
L' U' D' F' L U D2
L' U' D' F' L D U
L' U' D' F' L D' U
L' U' D' F' L D2 U
L' U' D' F' D L U
L' U' D' F' D' L U
L2 U' D' L2 F' U B2
L' U' D' F' D2 L U
L U' D' L F' L2 U
L2 U' D' F' L U B2
L2 U' D' F' L' U B2
L2 U' D' F' L2 U B2
L' U' D2 L D F' U
L' U' D2 L D' F' U
L2 U' D' F' U B2 D
L2 U' D' F' U B2 D'
L2 U' D' F' U B2 D2
L' U' D2 L D2 F' U
L U' D' L' D F' U
L U' D' L' D' F' U
L2 U' D' F' D L2 U
L' U' D2 L F' U D
L' U' D2 L F' U D'
L' U' D2 L F' U D2
L' U' D2 L F' D U
L' U' D2 L F' D' U
L' U' D2 L F' D2 U
U R B2 R B U' B
L U' D' L' D2 F' U
L U' D' L' F' U D
L U' D' L' F' U D'
L U' D' L' F' U D2
L U' D' L' F' D U
L U' D' L' F' D' U
L U' D' L' F' D2 U
L' U' D2 L' F' L2 U
L U' D' L2 F' L U
U R B2 U' B L B
L' U' D2 F L F2 U
L' U' D2 F' L U D
L' U' D2 F' L U D'
L' U' D2 F' L U D2
L' U' D2 F' L D U
L' U' D2 F' L D' U
L' U' D2 F' L D2 U
L' U' D2 F' D L U
L' U' D2 F' D' L U
L' U' D2 F' D2 L U
L U' D2 L F' L2 U
L' U' F L U D' L2
L' U' F L D' U L2
L' U' F L F2 U D
L' U' F L F2 U D'
L' U' F L F2 U D2
L' U' F L F2 D U
L' U' F L F2 D' U
L' U' F L F2 D2 U
L2 U' D2 F' U D B2
L U' D2 L' D F' U
L2 U' D2 F' U2 R2 U'
L U' D2 L' D' F' U
L2 U' D2 F' D U B2
L U' D2 L' D2 F' U
L2 U' D2 F' D2 L2 U
L U' D2 L' F' U D
L U' D2 L' F' U D'
L U' D2 L' F' U D2
L U' D2 L' F' D U
L U' D2 L' F' D' U
L U' D2 L' F' D2 U
L' U' F L' F2 L2 U
L U' D2 L2 F' L U
L2 U' F L F2 L U
L2 U' F L2 U D' L2
L2 U' F L2 D' U L2
L2 U' F L2 F2 U D
L2 U' F L2 F2 U D'
L2 U' F L2 F2 U D2
L2 U' F L2 F2 D U
L2 U' F L2 F2 D' U
L2 U' F L2 F2 D2 U
L' U' F D' L U L
L2 U' F U D' L2 B2
L2 U' F U D' B2 L2
L' U' F' L' U D' B2
L' U' F' L' D' U B2
L2 U' F D' U L2 B2
L2 U' F D' U B2 L2
L' U' F' L2 D L' U
L' U' F' L2 D' L' U
L' U' F' L2 D2 L' U
L2 U' F' L D L U
L2 U' F' L D' L U
L2 U' F' L D2 L U
L2 U' F' L' D L' U
L2 U' F' L' D' L' U
L2 U' F' L' D2 L' U
L' U' F' D L U D
L' U' F' D L U D'
L' U' F' D L U D2
L' U' F' D L D U
L' U' F' D L D' U
L' U' F' D L D2 U
L' U' F' D' L U D
L' U' F' D' L U D'
L' U' F' D' L U D2
L' U' F' D' L D U
L' U' F' D' L D' U
L' U' F' D' L D2 U
L' U' F' D2 L U D
L' U' F' D2 L U D'
L' U' F' D2 L U D2
L' U' F' D2 L D U
L' U' F' D2 L D' U
L' U' F' D2 L D2 U
L2 U' F' U D' B2 D
L2 U' F' U D' B2 D'
L2 U' F' U D' B2 D2
L2 U' F' U B D' B2
L2 U' F' U B' D' B2
L2 U' F' U B2 D' B2
U' R' U R F' U R'
F' R' U R D F D
F' R' U R D F D'
F' R' U R D F D2
F' R' U R D' F D
F' R' U R D' F D'
F' R' U R D' F D2
F' R' U R D2 F D
F' R' U R D2 F D'
F' R' U R D2 F D2
L2 U' F' U' D F2 U2
F' R' U R F2 D F'
F' R' U R F2 D' F'
F' R' U R F2 D2 F'
F' R' U R' F R2 D
F' R' U R' F R2 D'
F' R' U R' F R2 D2
F' R' U R' F' R2 F2
L2 U' F' U2 D2 R2 U'
F' R' U R2 D R' F
F' R' U R2 D F R'
F' R' U R2 D' R' F
F' R' U R2 D' F R'
F' R' U R2 D2 R' F
F' R' U R2 D2 F R'
F' R' U R2 F R' D
F' R' U R2 F R' D'
F' R' U R2 F R' D2
F' R' U R2 F D R'
F' R' U R2 F D' R'
F' R' U R2 F D2 R'
F' R' U R2 F' R' F2
L2 U' F' D U' F2 U2
L2 U' F' D' L U B2
F' R' U D R D F
F' R' U D R D' F
F' R' U D R D2 F
L2 U' F' D' L' U B2
F' R' U D R F D
F' R' U D R F D'
F' R' U D R F D2
F' R' U D R' F R2
L2 U' F' D' L2 U B2
F' R' U D R2 F R'
L2 U' F' D' U B2 D
L2 U' F' D' U B2 D'
L2 U' F' D' U B2 D2
F' R' U D' R D F
F' R' U D' R D' F
F' R' U D' R D2 F
F' R' U D' R F D
F' R' U D' R F D'
F' R' U D' R F D2
F' R' U D' R' F R2
F' R' U D' R2 F R'
F' R' U D' R2 F R'
L2 U' F' D2 U2 R2 U'
F' R' U D2 R D F
F' R' U D2 R D' F
F' R' U D2 R D2 F
F' R' U D2 R F D
F' R' U D2 R F D'
F' R' U D2 R F D2
F' R' U D2 R' F R2
F' R' U D2 R2 F R'
L2 U' F' B' L2 B U
L2 U' F' B2 L2 B2 U
F' R' U B R F B'
F' R' U B R B' F
L U' F' D' L U B'
L2 U' F2 L2 U2 B' U'
F' R' U B2 R F B2
F' R' U B2 R B2 F
F R' U R D' L2 F'
F R' U R D' F' L2
L' U' F2 D F L U
L' U' F2 D' F L U
L' U' F2 D2 F L U
F' R' U' L2 B' U2 R
L2 U' F2 D' F U B2
U2 R' U' R U2 F' U
U2 R' U' R' B R2 U'
F' R' U' B U2 R F
F' R' U' B' U2 R F
F' R' U' B2 U2 R F
L2 U' B' L2 F' B U
L2 U' B' L2 B F' U
F' R' D R' U R2 F
F' R' D R' U F R2
F' R' D R2 U R' F
F' R' D R2 U F R'
L U' B' L' F' B U
L U' B' L' B F' U
F' R' D U R D F
F' R' D U R D' F
F' R' D U R D2 F
F' R' D U R F D
F' R' D U R F D'
F' R' D U R F D2
F' R' D U R' F R2
F' R' D U R2 F R'
F2 R' D R2 F U R'
L2 U' B' F' L2 B U
F' R' D B U R F
F' R' D B' U R F
L2 U' B2 L2 F' B2 U
F' R' D B2 U R F
L2 U' B2 L2 B2 F' U
F' R' D' R' U R2 F
F' R' D' R' U F R2
F' R' D' R2 U R' F
F' R' D' R2 U F R'
L U' B2 L' F' B2 U
L U' B2 L' B2 F' U
F' R' D' U R D F
F' R' D' U R D' F
F' R' D' U R D2 F
F' R' D' U R F D
F' R' D' U R F D'
F' R' D' U R F D2
F' R' D' U R' F R2
F' R' D' U R2 F R'
L2 U' B2 F' L2 B2 U
U R' D B' U' L B
F' R' D' B U R F
F' R' D' B' U R F
F' R' D' B2 U R F
F' R' D2 R' U R2 F
F' R' D2 R' U F R2
F' R' D2 R2 U R' F
F' R' D2 R2 U F R'
F' R' D2 U R D F
F' R' D2 U R D' F
F' R' D2 U R D2 F
F' R' D2 U R F D
F' R' D2 U R F D'
F' R' D2 U R F D2
F' R' D2 U R' F R2
F' R' D2 U R2 F R'
F' R' D2 B U R F
F' R' D2 B' U R F
F' R' D2 B2 U R F
F2 R' F U F' R F2
F' R' B R' U R2 F
F' R' B R' U F R2
F' R' B R2 U R' F
F' R' B R2 U F R'
F R' F2 U F2 R F'
F' R' B U R D F
F' R' B U R D' F
F' R' B U R D2 F
F' R' B U R F D
F' R' B U R F D'
F' R' B U R F D2
F' R' B U R' F R2
F' R' B U R2 F R'
F' R' B U D R F
F' R' B U D' R F
F' R' B U D2 R F
F' R' B D U R F
F' R' B D' U R F
F' R' B D2 U R F
F' R' B' R' U R2 F
F' R' B' R' U F R2
U R' B R' B U' B2
F' R' B' R2 U R' F
F' R' B' R2 U F R'
F' R' B' U R D F
F' R' B' U R D' F
F' R' B' U R D2 F
F' R' B' U R F D
F' R' B' U R F D'
F' R' B' U R F D2
F' R' B' U R' F R2
F' R' B' U R2 F R'
F' R' B' U D R F
F' R' B' U D' R F
F' R' B' U D2 R F
U R' B U' D B' L
F' R' B' D U R F
U R' B D U' B' L
F' R' B' D' U R F
F' R' B' D2 U R F
F' R' B2 R' U R2 F
F' R' B2 R' U F R2
F' R' B2 R2 U R' F
F' R' B2 R2 U F R'
F' R' B2 U R D F
F' R' B2 U R D' F
F' R' B2 U R D2 F
F' R' B2 U R F D
F' R' B2 U R F D'
F' R' B2 U R F D2
F' R' B2 U R' F R2
F' R' B2 U R2 F R'
F' R' B2 U D R F
F' R' B2 U D' R F
F' R' B2 U D2 R F
L2 U2 D F2 U F U
F' R' B2 D U R F
F' R' B2 D' U R F
F' R' B2 D2 U R F
U R' B2 R' B U' B
L' U2 F U L F2 U
L' U2 F U F2 L U
L2 U2 F U L2 F2 U
L2 U2 F U F2 L2 U
L2 U2 F U2 D' L2 B2
L2 U2 F U2 D' B2 L2
L2 U2 F D R2 F2 U2
L2 U2 F D F2 R2 U2
L2 U2 F D' U2 L2 B2
L2 U2 F D' U2 B2 L2
L' U2 F' U L U L'
F' R2 U R D R F
F' R2 U R D' R F
F' R2 U R D2 R F
F' R2 U R' D R' F
F' R2 U R' D F R'
F' R2 U R' D' R' F
F' R2 U R' D' F R'
F' R2 U R' D2 R' F
F' R2 U R' D2 F R'
F' R2 U R' F R' D
F' R2 U R' F R' D'
F' R2 U R' F R' D2
F' R2 U R' F D R'
F' R2 U R' F D' R'
F' R2 U R' F D2 R'
L2 U2 F' U L2 U L2
F' R2 U R' F' R' F2
F' R2 U R2 D F D
F' R2 U R2 D F D'
F' R2 U R2 D F D2
F' R2 U R2 D' F D
F' R2 U R2 D' F D'
F' R2 U R2 D' F D2
F' R2 U R2 D2 F D
F' R2 U R2 D2 F D'
F' R2 U R2 D2 F D2
F' R2 U R2 F2 D F'
F' R2 U R2 F2 D' F'
F' R2 U R2 F2 D2 F'
U' R2 U R2 F' U R2
F' R2 U D F D' R2
F' R2 U D2 F D2 R2
F' R2 U F R D R
F' R2 U F R D' R
F' R2 U F R D2 R
F' R2 U F R' D R'
F' R2 U F R' D' R'
F' R2 U F R' D2 R'
F' R2 U F B R2 B'
F' R2 U F B2 R2 B2
F' R2 U F' R' F2 R'
F' R2 U F' R2 F2 D
F' R2 U F' R2 F2 D'
F' R2 U F' R2 F2 D2
D2 R2 U B U' R2 B'
D2 R2 U B U' B' R2
D' R2 U B U' R2 B'
D' R2 U B U' B' R2
B' R2 U B U' R2 B'
B' R2 U B U' B' R2
F' R2 U B R2 F B'
F' R2 U B R2 B' F
F' R2 U B F R2 B'
L' U2 F2 U F L U
F' R2 U B2 R2 F B2
F' R2 U B2 R2 B2 F
F' R2 U B2 F R2 B2
B2 R2 U B U' R2 B'
B2 R2 U B U' B' R2
F' R2 U' L2 B' U2 R2
F R2 U R2 D' L2 F'
F R2 U R2 D' F' L2
L2 U2 F2 U F L2 U
B R2 U B U' R2 B'
D R2 U B U' R2 B'
D R2 U B U' B' R2
B R2 U B U' B' R2
F' R2 U' D2 L2 B' U2
U2 R2 U' R2 U2 F' U
U2 R2 U' D B U' B
F' R2 U' B U2 R2 F
F' R2 U' B U2 F R2
F' R2 U' B' U2 R2 F
F' R2 U' B' U2 F R2
F' R2 U' B2 U2 R2 F
F' R2 U' B2 U2 F R2
U2 R2 U' B R2 U' D
U2 R2 U' B R2 U' D'
U2 R2 U' B R2 U' D2
U2 R2 U' B R2 D U'
U2 R2 U' B R2 D' U'
U2 R2 U' B R2 D2 U'
U2 R2 U' B U' D B2
U2 R2 U' B D U' B2
R2 U2 B L2 U' R2 F
R2 U2 B L2 U' F R2
U2 R2 U' B' R2 B2 U'
U2 R2 U' B2 R2 B' U'
F' R2 U2 D' F2 U' F'
R2 U2 B U B' U2 R2
F' R2 U2 F' U' R2 F2
F' R2 U2 F' U' F2 R2
F' R2 U2 F2 U' F' R2
U2 R2 U2 B' D L2 B2
U2 R2 U2 B' D B2 L2
F' R2 D R B2 U F
F' R2 D R' B2 U F
F' R2 D R2 B2 U F
F' R2 D U F D' R2
F2 R2 D R2 F B2 U
F2 R2 D R2 B2 F U
U2 R2 D U' B U' B
F2 R2 D F R2 B2 U
F2 R2 D F B2 R2 U
F' R2 D B2 R U F
F' R2 D B2 R' U F
F' R2 D B2 R2 U F
F' R2 D B2 U D F
F' R2 D B2 U D' F
F' R2 D B2 U D2 F
F' R2 D B2 U F D
F' R2 D B2 U F D'
F' R2 D B2 U F D2
F' R2 D B2 D U F
F' R2 D B2 D' U F
F' R2 D B2 D2 U F
F2 R2 D B2 R2 F U
F2 R2 D B2 F R2 U
F' R2 D' U2 F2 U' F'
U R2 D B R U' B'
U R2 D B R' U' B'
U R2 D B R2 U' B'
U R2 D B U' D B'
U R2 D B U' D' B'
U R2 D B U' D2 B'
U R2 D B U' B' D
U R2 D B U' B' D'
U R2 D B U' B' D2
U R2 D B D U' B'
U R2 D B D' U' B'
U R2 D B D2 U' B'
U2 R2 D' F2 U' B U'
F' R2 D2 U F D2 R2
F' R2 D2 U' L2 B' U2
L' D L' U' L2 F' U
L' D L' U' F' L2 U
L D L U' L2 F' U
L D L U' F' L2 U
U R2 D' B R U' B'
U R2 D' B R' U' B'
U R2 D' B R2 U' B'
U R2 D' B U' D B'
U R2 D' B U' D' B'
U R2 D' B U' D2 B'
U R2 D' B U' B' D
U R2 D' B U' B' D'
U R2 D' B U' B' D2
U R2 D' B D U' B'
U R2 D' B D' U' B'
U R2 D' B D2 U' B'
U' R2 F R2 F' U B
F2 R2 F R U R F
F2 R2 F R' U R' F
F2 R2 F R' U F R'
F2 R2 F U R' F R'
F2 R2 F U R2 D F
F2 R2 F U R2 D' F
F2 R2 F U R2 D2 F
F2 R2 F U R2 F D
F2 R2 F U R2 F D'
F2 R2 F U R2 F D2
F2 R2 F U F R2 D
F2 R2 F U F R2 D'
F2 R2 F U F R2 D2
L' D L2 U' L' F' U
F2 R2 F U F' R2 F2
U2 R2 F U' B R2 U'
U R2 D2 B R U' B'
U R2 D2 B R' U' B'
U R2 D2 B R2 U' B'
U R2 D2 B U' D B'
U R2 D2 B U' D' B'
U R2 D2 B U' D2 B'
U R2 D2 B U' B' D
U R2 D2 B U' B' D'
U R2 D2 B U' B' D2
U R2 D2 B D U' B'
U R2 D2 B D' U' B'
F2 R2 F D B2 U F
U R2 D2 B D2 U' B'
F2 R2 F B U R2 F
F2 R2 F B U F R2
F2 R2 F B' U R2 F
F2 R2 F B' U F R2
F2 R2 F B2 U R2 F
F2 R2 F B2 U F R2
L D L2 U' L F' U
L D L2 U' F' L U
U2 R2 F' U' B R2 U'
U2 R2 F2 U' B R2 U'
F' R2 B R U R F
F R2 F2 R U R F'
F' R2 B R' U R' F
F' R2 B R' U F R'
F' R2 B U R' F R'
F' R2 B U R2 D F
F' R2 B U R2 D' F
F' R2 B U R2 D2 F
F' R2 B U R2 F D
F' R2 B U R2 F D'
F' R2 B U R2 F D2
F' R2 B U F R2 D
F' R2 B U F R2 D'
F' R2 B U F R2 D2
F' R2 B U F' R2 F2
F R2 F2 U R2 D F'
F R2 F2 U R2 D' F'
F R2 F2 U R2 D2 F'
F R2 F2 U R2 F' D
F R2 F2 U R2 F' D'
F R2 F2 U R2 F' D2
F R2 F2 U F R2 F'
