U' R B' U2 R'
U' B' R U2 R2
U' L2 R U2 F R
U L2 F2 L' F' R
U' R L2 U2 F R
B' R U B U B'
U' R D B' U2 R'
U' R D B' U2 R'
U' R D' B' U2 R'
U' R D2 B' U2 R'
U' R B L B2 U2
U' R B' L U2 R'
U' R B' L' U2 R'
U' R B' L2 U2 R'
U' R B' U2 R' D
U' R B' U2 R' D'
U' R B' U2 R' D2
U' R B' U2 D R'
U' R B' U2 D' R'
U' R B' U2 D2 R'
U' R B' D U2 R'
U' R B' D' U2 R'
U' R B' D2 U2 R'
U R' D2 L2 F R
U' R' B' R2 U2 R
F2 U L2 F L R
F2 U L2 F R L
U' D R B' U2 R'
F U L2 F L' R
F U L2 F R L'
U' D B' R U2 R2
U' D' R B' U2 R'
D2 U' R B' U2 R'
D' U' R B' U2 R'
D U' R B' U2 R'
U' D' B' R U2 R2
D2 U' B' R U2 R2
D' U' B' R U2 R2
D U' B' R U2 R2
B2 U' B L R U2
B2 U' B R L U2
U' D2 R B' U2 R'
F2 U' B' U2 L' R'
F2 U' B' U2 R' L'
U' D2 B' R U2 R2
U F L2 R F L'
U F R L2 F L'
U' B L R B2 U2
U' B L B2 R U2
U' B R L B2 U2
U' B R B2 U2 R'
U' B' L R U2 R2
U' B' L' R U2 R2
U' B' L2 R U2 R2
U' B' R L U2 R2
U' B' R L' U2 R2
U' B' R L2 U2 R2
U' B' R U2 R2 D
U' B' R U2 R2 D'
U' B' R U2 R2 D2
U' B' R D2 L2 U2
U' B' U2 R' D2 L2
U' B' D R U2 R2
U' B' D' R U2 R2
R B' U B2 U B2
U' B' D2 R U2 R2
U' B L' B2 R L2 U2
U' B L2 R B2 L' U2
F D2 U' B' U2 L R'
F D2 U' B' U2 R' L
U' B L2 B2 L' R U2
U' B L2 B2 R L' U2
U' B R L U2 D2 F2
U' B R L D2 U2 F2
U' B R L B2 U2 D
U' B R L B2 U2 D'
U' B R L B2 U2 D2
U' B R L B2 D U2
U' B R L B2 D' U2
U' B R L B2 D2 U2
U' B R L' B2 L2 U2
U' B R L2 B2 L' U2
U' B R D2 L U2 F2
B D2 F U F L' R
B D2 F U F R L'
U' B R B2 L U2 R'
U' B R B2 L' U2 R'
U' B R B2 L2 U2 R'
U' B R B2 U2 R' D
U' B R B2 U2 R' D'
U' B R B2 U2 R' D2
U' B R B2 U2 D R'
U' B R B2 U2 D' R'
U' B R B2 U2 D2 R'
U' B R B2 D U2 R'
U' B R B2 D' U2 R'
U' B R B2 D2 U2 R'
U' B R' L B2 R2 U2
U' B R' B2 R2 U2 R
U' B R2 L B2 U2 L
U' B R2 B2 U2 L R'
U' B R2 B2 U2 R' L
R B R U' R' B2 U2
R B R U' B2 U2 L
R B R' U D2 F2 L'
R B R' U' R B2 U2
R B R' U' B2 R U2
R B R' D2 U F2 L'
R B R2 U D2 L2 F2
R B R2 U D2 F2 L2
R B R2 U' R2 B2 U2
R B R2 U' B2 R2 U2
R B R2 D' R2 F2 U
R B R2 D' F2 R2 U
R B R2 D2 U L2 F2
R B R2 D2 U F2 L2
R B U D2 F2 D' L2
R' B D' R2 F2 B U
R' B D' R2 B F2 U
R B U' B2 U' B2 U'
R B U' B2 U2 D L2
R B U' B2 D U2 L2
R B U' B2 D' R2 U2
U' B D2 L R U2 F2
U' B D2 L U2 F2 L'
U' B D2 R L U2 F2
R B U2 D L2 U' L2
R B D U2 L2 U' L2
R B D' R2 U D2 L2
R B D' R2 U' R2 U2
R B D' R2 D' F2 U
R B D' R2 D2 U L2
R B D2 R' U F2 L'
R B D2 U F2 D' L2
U' B' L R U2 R2 D
U' B' L R U2 R2 D'
U' B' L R U2 R2 D2
U' B' L R D2 L2 U2
U' B' L U2 R' D2 L2
U' B' L D R U2 R2
U' B' L D' R U2 R2
U' B' L D2 R U2 R2
U' B' L' R U2 R2 D
U' B' L' R U2 R2 D'
U' B' L' R U2 R2 D2
U' B' L' R D2 L2 U2
U' B' L' U2 R' D2 L2
U' B' L' D R U2 R2
U' B' L' D' R U2 R2
U' B' L' D2 R U2 R2
U' B' L2 R U2 R2 D
U' B' L2 R U2 R2 D'
U' B' L2 R U2 R2 D2
U' B' L2 R D2 L2 U2
U' B' L2 U2 R' D2 L2
U' B' L2 D R U2 R2
U' B' L2 D' R U2 R2
U' B' L2 D2 R U2 R2
U' B' R L U2 R2 D
U' B' R L U2 R2 D'
U' B' R L U2 R2 D2
U' B' R L D2 L2 U2
U' B' R L' U2 R2 D
U' B' R L' U2 R2 D'
U' B' R L' U2 R2 D2
U' B' R L' D2 L2 U2
U' B' R L2 U2 R2 D
U' B' R L2 U2 R2 D'
U' B' R L2 U2 R2 D2
U' B' R L2 D2 L2 U2
U' B' R U D B2 U
R B' L U L' B2 U
U' B' R U B U R2
U' B' R U B' U R2
U' B' R U B2 U R2
R B' L U B2 L' U
U' B' R U' D' F2 U'
U' B' R U' F U' R2
U' B' R U' F' U' R2
U' B' R U' F2 U' R2
U' B' R U2 R D R
U' B' R U2 R D' R
U' B' R U2 R D2 R
U' B' R U2 R' D R'
U' B' R U2 R' D' R'
U' B' R U2 R' D2 R'
U' B' R U2 F' R2 F
U' B' R U2 F2 R2 F2
U' B' R U2 B R2 B'
U' B' R U2 B2 R2 B2
U' B' R D U B2 U
U' B' R D' U' F2 U'
D2 B' R U B U B'
U' B' R D2 L2 U2 D
U' B' R D2 L2 U2 D'
U' B' R D2 L2 U2 D2
U' B' R D2 L2 D U2
U' B' R D2 L2 D' U2
U' B' R D2 L2 D2 U2
D' B' R U B U B'
U' B' R F U2 R2 B
U' B' R B' U2 R2 F'
R B' L' U L B2 U
D B' R U B U B'
R B' L2 U L2 B2 U
R B' L2 U B2 L2 U
U' B' R2 U2 R D2 L2
R B' L2 U2 D' R2 B2
R B' L2 U2 D' B2 R2
U' B' R2 D R' U2 R2
R B' L2 D L2 F2 U2
R B' L2 D F2 L2 U2
U' B' R2 D' R' U2 R2
R' B' R2 U B U B'
R B' L2 D' U2 R2 B2
R B' L2 D' U2 B2 R2
U' B' R2 D2 R' U2 R2
U B' R U2 B' R' B
U' B' U F2 U L' R'
U' B' U F2 U R' L'
U' B' U' F2 U' L' R'
U' B' U' F2 U' R' L'
U' B' U2 L R' D2 L2
U' B' U2 L' R' D2 L2
U' B' U2 L2 R' D2 L2
U B' R2 F' L' R' U2
U B' R2 F' R' L' U2
U' B' U2 R' L D2 L2
U' B' U2 R' L' D2 L2
U' B' U2 R' L2 D2 L2
U' B' U2 R' U2 R2 U2
U' B' U2 R' D2 L2 D
U' B' U2 R' D2 L2 D'
U' B' U2 R' D2 L2 D2
U' B' U2 D R' D2 L2
U' B' U2 D' R' D2 L2
U' B' U2 D2 R' D2 L2
U' B' U2 F2 L' R' F2
U' B' U2 F2 L' F2 R'
U' B' U2 F2 R' L' F2
U' B' D L R U2 R2
U' B' D L' R U2 R2
U' B' D L2 R U2 R2
R B' U L B2 U B2
U' B' D R L U2 R2
U' B' D R L' U2 R2
U' B' D R L2 U2 R2
R B' U L' B2 U B2
U' B' D R U2 R2 D
U' B' D R U2 R2 D'
U' B' D R U2 R2 D2
U' B' D R D2 L2 U2
R B' U L2 B2 U B2
U' B' D U2 R' D2 L2
U' B' D' L R U2 R2
R B' U B2 L U B2
R B' U B2 L' U B2
R B' U B2 L2 U B2
R B' U B2 U B2 D
R B' U B2 U B2 D'
R B' U B2 U B2 D2
U' B' D' L' R U2 R2
R B' U B2 D L2 U
U' B' D' L2 R U2 R2
U' B' D' R L U2 R2
U' B' D' R L' U2 R2
U' B' D' R L2 U2 R2
U' B' D' R U2 R2 D
U' B' D' R U2 R2 D'
U' B' D' R U2 R2 D2
U' B' D' R D2 L2 U2
U' B' D' U2 R' D2 L2
U' B' D2 L R U2 R2
U' B' D2 L' R U2 R2
U' B' D2 L2 R U2 R2
U' B' D2 R L U2 R2
U' B' D2 R L' U2 R2
U' B' D2 R L2 U2 R2
U' B' D2 R U2 R2 D
U' B' D2 R U2 R2 D'
U' B' D2 R U2 R2 D2
U' B' D2 R D2 L2 U2
U' B' D2 U2 R' D2 L2
R B' U2 D' R2 D B2
R B' D L2 U L2 U
R B' D L2 U2 D' B2
R B' D L2 D F2 U2
R B' D L2 D' U2 B2
R B' D' U2 R2 D B2
U' B2 L B R U2 R2
U B' F' L' U2 B L
R B' F U B2 U B2
U' B2 L' B R U2 R2
R B' F' U B2 U B2
U' B2 L2 B R U2 R2
R B' F2 U B2 U B2
U2 B2 U B L R U2
U2 B2 U B R L U2
D2 B2 U' B L R U2
D2 B2 U' B R L U2
D' B2 U' B L R U2
D' B2 U' B R L U2
D B2 U' B L R U2
D B2 U' B R L U2
B2 F2 U' B L U2 L2
F2 B2 U' B L U2 L2
