U2 F' U' F
U2 L F' U' F
U2 L' F' U' F
U2 L2 F' U' F
B' R2 B U F'
U2 D F' U' F
U2 D' F' U' F
D U2 F' U' F
D' U2 F' U' F
U2 D2 F' U' F
D2 U2 F' U' F
U2 F' U' D F
U2 F' U' D' F
U2 F' U' D2 F
U2 F' U' F D
U2 F' U' F D'
U2 F' U' F D2
U2 F' D U' F
U2 F' D' U' F
U2 F' D2 U' F
B2 D' R2 B U
R2 B U' B' U2
B2 R2 B U' D' B U2
B2 R2 B U' D2 B U2
B2 R2 B U' B U2 D
B2 R2 B U' B U2 D'
B2 R2 B U' B U2 D2
B2 R2 B U' B D U2
B2 R2 B U' B D' U2
B2 R2 B U' B D2 U2
B' R2 B D2 U F' D
B' R2 B D2 U F' D'
B' R2 B D2 U F' D2
B2 R2 B D R2 U F'
B2 R2 B D U' B U2
B2 R2 B D' R2 U F'
B2 R2 B D' U' B U2
B R2 B R U D2 F2
B R2 B R U' B2 U2
D R2 B R U' B' U2
B R2 B R D' R2 U
B R2 B R D2 U F2
B2 R2 B D2 R2 U F'
B2 R2 B D2 U' B U2
B R2 B R' U D2 F2
B R2 B R' U' B2 U2
D R2 B R' U' B' U2
B R2 B R' D' R2 U
B R2 B R' D2 U F2
B R2 B R2 U D2 F2
R D R' U2 F' U' F
B R2 B R2 U' B2 U2
D R2 B R2 U' B' U2
B R2 B R2 D' R2 U
B R2 B R2 D2 U F2
D R2 B U L2 F L2
B R2 B U D2 F2 D
B R2 B U D2 F2 D'
B R2 B U D2 F2 D2
B R2 B U F D2 F2
B R2 B U F' D2 F2
B R2 B U F2 D2 F2
D R2 B U' D B' U2
D R2 B U' D' B' U2
D R2 B U' D2 B' U2
D' R2 B' R2 B2 U F'
D R2 B U' B' U2 D
D R2 B U' B' U2 D'
D R2 B U' B' U2 D2
D R2 B U' B' D U2
D R2 B U' B' D' U2
D R2 B U' B' D2 U2
B R2 B U' B2 U2 D
B R2 B U' B2 U2 D'
B R2 B U' B2 U2 D2
B R2 B U' B2 D U2
B R2 B U' B2 D' U2
B R2 B U' B2 D2 U2
D2 R2 B' R2 B2 U F'
D R2 B U2 L2 U' F
D' R2 B' U D' R2 F'
B R2 B U2 D L2 U'
D2 R2 B' U D' R2 F'
B R2 B D U2 L2 U'
D R2 B D U' B' U2
B' R2 B' U D' F' R2
B' R2 B' U F' D' R2
B R2 B D' R2 U D
B R2 B D' R2 U D'
B R2 B D' R2 U D2
B R2 B D' R2 D U
B R2 B D' R2 D' U
B R2 B D' R2 D2 U
D R2 B D' U' B' U2
R2 D R2 U2 F' U' F
B R2 B D2 R U F2
B R2 B D2 R' U F2
B R2 B D2 R2 U F2
B R2 B D2 U F2 D
B R2 B D2 U F2 D'
B R2 B D2 U F2 D2
D R2 B D2 U' B' U2
D' R2 B' D' U R2 F'
D2 R2 B' D' U R2 F'
B' R2 B' D' U F' R2
D R2 B' R2 B2 U F'
D R2 B' U D' R2 F'
D R2 B' D' U R2 F'
D' R2 B2 D' R2 B' U
D2 R2 B2 D' R2 B' U
D' R2 B2 D' B' R2 U
D2 R2 B2 D' B' R2 U
B' R2 B2 D B' U F'
D' R2 B2 D2 B' U F2
B' R2 B2 D' B' U F'
D2 R2 B2 D2 B' U F2
B' R2 B2 D2 B' U F'
U R2 B' D' F2 B R2
U R2 B' D' B R2 F2
U R2 B' D' B F2 R2
B R2 B2 R2 B' U F'
U' D L U' L' F' U'
D R2 B2 D' R2 B' U
D R2 B2 D' B' R2 U
D R2 B2 D2 B' U F2
U2 D L D F' U' F
U2 D L D' F' U' F
U2 D L D2 F' U' F
U2 D L F' U' D F
U2 D L F' U' D' F
U2 D L F' U' D2 F
U2 D L F' U' F D
U2 D L F' U' F D'
U2 D L F' U' F D2
U2 D L F' D U' F
U2 D L F' D' U' F
U2 D L F' D2 U' F
U' D L' U' L F' U'
U' D L' U' F' L U'
R D U2 L F U' F'
U2 D L' D F' U' F
U2 D L' D' F' U' F
U2 D L' D2 F' U' F
R D U2 F' U' F R
U2 D L' F' U' D F
U2 D L' F' U' D' F
U2 D L' F' U' D2 F
U2 D L' F' U' F D
U2 D L' F' U' F D'
U2 D L' F' U' F D2
U2 D L' F' D U' F
U2 D L' F' D' U' F
U2 D L' F' D2 U' F
U' D L2 U' L2 F' U'
U' D L2 U' F' L2 U'
U2 D L2 D F' U' F
U2 D L2 D' F' U' F
U2 D L2 D2 F' U' F
F2 U L2 F2 B' U B
U2 D L2 F' U' D F
U2 D L2 F' U' D' F
U2 D L2 F' U' D2 F
U2 D L2 F' U' F D
U2 D L2 F' U' F D'
U2 D L2 F' U' F D2
U2 D L2 F' D U' F
U2 D L2 F' D' U' F
U2 D L2 F' D2 U' F
F2 U L2 B' F2 U B
B U L2 F L2 D R2
B' U R' D' R' F' R
R2 D B R U' B' U2
R2 D B R' U' B' U2
R2 D B R2 U' B' U2
D' U R2 U' B R2 U
R2 D B U L2 F L2
D2 U R2 U' B R2 U
R2 D B U' D B' U2
R2 D B U' D' B' U2
R2 D B U' D2 B' U2
R' D B' U' L B U2
R2 D B U' B' U2 D
R2 D B U' B' U2 D'
R2 D B U' B' U2 D2
R2 D B U' B' D U2
R2 D B U' B' D' U2
R2 D B U' B' D2 U2
B' U R2 U' B U F'
R2 D B U2 L2 U' F
R2 D B D U' B' U2
R2 D B D' U' B' U2
R2 D B D2 U' B' U2
B' U R2 F' U' B U
R D B U' B' U2 R'
D U R2 U' B R2 U
R2 D B' R2 B2 U F'
R2 D B' U D' R2 F'
D' U F U F2 U' F2
D2 U F U F2 U' F2
B' U D F D R2 F'
R2 D B' D' U R2 F'
U2 D F L F2 U' F
D' U F D R2 D' F2
U D R2 U' B R2 U
U2 D F L' F2 U' F
D2 U F D R2 D' F2
U2 D F L2 F2 U' F
B2 U D F D R2 F2
B2 U D F D F2 R2
U2 D F U' D F' R2
R D B' U' B L U2
U2 D F D U' F' R2
B' U D' F D R2 F'
D U F U F2 U' F2
L' D' L U2 F' U' F
R2 D B2 D' R2 B' U
R2 D B2 D' B' R2 U
D U F D R2 D' F2
R2 D B2 D2 B' U F2
U2 D F' L2 U B' U2
U D F U F2 U' F2
U D F D R2 D' F2
U2 D F' U B U2 F
U2 D F' U B' U2 F
U2 D F' U B2 U2 F
U2 D F' U' R F R'
U2 D F' U' R2 F R2
U2 D F' U' D F D
U2 D F' U' D F D'
U2 D F' U' D F D2
U2 D F' U' D' F D
U2 D F' U' D' F D'
U2 D F' U' D' F D2
U2 D F' U' D2 F D
U2 D F' U' D2 F D'
U2 D F' U' D2 F D2
U2 D F' U' F2 D F'
U2 D F' U' F2 D' F'
U2 D F' U' F2 D2 F'
U2 D F' U2 R U F
U2 D F' U2 R' U F
U2 D F' U2 R2 U F
B' U D2 F D R2 F'
U2 D F' D U' F D
U2 D F' D U' F D'
U2 D F' D U' F D2
U2 D F' D' U' F D
U2 D F' D' U' F D'
U2 D F' D' U' F D2
U2 D F' D2 U' F D
U2 D F' D2 U' F D'
U2 D F' D2 U' F D2
D' U F2 U F U' F'
B2 U D2 F D R2 F
B2 U D2 F D F R2
D2 U F2 U F U' F'
B2 U D2 F2 U F U'
B' U F R2 D F' R2
B' U F D R2 D F'
B' U F D R2 D' F'
B' U F D R2 D2 F'
B' U F D R2 F' D
B' U F D R2 F' D'
B' U F D R2 F' D2
B' U F D F R2 F'
B' U F D F' R2 F'
B' U F D F2 R2 F'
U2 D F2 D' F L2 U'
D U F2 U F U' F'
B2 U F D R2 D F2
U' D B U' F' U' F
F U D2 F' B2 U B2
B2 U F D2 F2 D' R2
F U D2 B2 F' U B2
L D' L' U2 F' U' F
U D F2 U F U' F'
U' D B' U' F' U' F
B2 U F' D2 F2 D R2
R2 D' L2 B L2 U F
B' U F2 R2 F' D R2
U' D B2 U' F' U' F
D' U' L U' L' F' U'
U' D' L U' L' F' U'
D2 U' L U' L' F' U'
R D' R B U' B' U2
R D' R' U2 F' U' F
U2 D' L D F' U' F
U2 D' L D' F' U' F
R2 D' R2 U2 F' U' F
U2 D' L D2 F' U' F
U' D' L' U' L F' U'
D' U' L' U' L F' U'
U' D' L' U' F' L U'
D' U' L' U' F' L U'
D2 U' L' U' L F' U'
U2 D' L F' U' D F
U2 D' L F' U' D' F
U2 D' L F' U' D2 F
U2 D' L F' U' F D
U2 D' L F' U' F D'
U2 D' L F' U' F D2
U2 D' L F' D U' F
D U' L U' L' F' U'
U2 D' L F' D' U' F
U2 D' L F' D2 U' F
D2 U' L' U' F' L U'
U2 D' L' D F' U' F
U2 D' L' D' F' U' F
U2 D' L' D2 F' U' F
U' D' L2 U' L2 F' U'
D' U' L2 U' L2 F' U'
U' D' L2 U' F' L2 U'
D' U' L2 U' F' L2 U'
U2 D' L' F' U' D F
U2 D' L' F' U' D' F
U2 D' L' F' U' D2 F
U2 D' L' F' U' F D
U2 D' L' F' U' F D'
U2 D' L' F' U' F D2
D2 U' L2 U' L2 F' U'
U2 D' L' F' D U' F
U2 D' L' F' D' U' F
U2 D' L' F' D2 U' F
D U' L' U' L F' U'
D2 U' L2 U' F' L2 U'
D U' L' U' F' L U'
R' D' U2 F' U' R F
U2 D' L2 D F' U' F
U2 D' L2 D' F' U' F
U2 D' L2 D2 F' U' F
U2 D' L2 F' U' D F
U2 D' L2 F' U' D' F
U2 D' L2 F' U' D2 F
U2 D' L2 F' U' F D
U2 D' L2 F' U' F D'
U2 D' L2 F' U' F D2
U2 D' L2 F' D U' F
U2 D' L2 F' D' U' F
U2 D' L2 F' D2 U' F
D U' L2 U' L2 F' U'
D U' L2 U' F' L2 U'
B' U' L B U' F' U'
L2 D' U2 F' U' F B2
L2 D' U2 F' U' B2 F
B2 U' L B2 U' F' U'
B U' L U' F' L' U'
R D' U2 L F U' F'
B' U' L' B U' F' U'
B2 U' L' B2 U' F' U'
R D' U2 F' U' F R
B' U' L2 B U' F' U'
B2 U' L2 B2 U' F' U'
B U' L2 U' F' U' F2
B U' L2 U2 F D R2
U2 D' F L F2 U' F
U D' R2 U' B R2 U
U2 D' F L' F2 U' F
U2 D' F L2 F2 U' F
U2 D' F U' D F' R2
U2 D' F D U' F' R2
R2 D' B R U' B' U2
R2 D' B R' U' B' U2
R' D' B' R2 U F' R
R2 D' B R2 U' B' U2
U2 D' F' L2 U B' U2
R' D' B' U R2 F' R
R2 D' B U L2 F L2
R2 D' B U' D B' U2
R2 D' B U' D' B' U2
R2 D' B U' D2 B' U2
R2 D' B U' B' U2 D
R2 D' B U' B' U2 D'
R2 D' B U' B' U2 D2
R2 D' B U' B' D U2
R2 D' B U' B' D' U2
R2 D' B U' B' D2 U2
R2 D' B U2 L2 U' F
U D' F U F2 U' F2
R2 D' B D U' B' U2
U2 D' F' U B U2 F
U2 D' F' U B' U2 F
R2 D' B D' U' B' U2
U2 D' F' U B2 U2 F
U D' F D R2 D' F2
U2 D' F' U' R F R'
U2 D' F' U' R2 F R2
U2 D' F' U' D F D
U2 D' F' U' D F D'
U2 D' F' U' D F D2
U2 D' F' U' D' F D
U2 D' F' U' D' F D'
U2 D' F' U' D' F D2
U2 D' F' U' D2 F D
U2 D' F' U' D2 F D'
U2 D' F' U' D2 F D2
U2 D' F' U' F2 D F'
U2 D' F' U' F2 D' F'
U2 D' F' U' F2 D2 F'
R2 D' B D2 U' B' U2
U2 D' F' U2 R U F
U2 D' F' U2 R' U F
U2 D' F' U2 R2 U F
U2 D' F' D U' F D
U2 D' F' D U' F D'
U2 D' F' D U' F D2
U2 D' F' D' U' F D
U2 D' F' D' U' F D'
U2 D' F' D' U' F D2
U2 D' F' D2 U' F D
U2 D' F' D2 U' F D'
U2 D' F' D2 U' F D2
R D' B U' B' U2 R'
R2 D' B' R2 B2 U F'
R2 D' B' U D' R2 F'
R2 D' B' D' U R2 F'
B' U' D B U' F' U'
D' U' B U' F' U' F
U' D' B U' F' U' F
U2 D' F2 D' F L2 U'
D2 U' B U' F' U' F
R D' B' U' B L U2
U D' F2 U F U' F'
L' D2 L U2 F' U' F
B' U' D' B U' F' U'
R2 D' B2 D' R2 B' U
R2 D' B2 D' B' R2 U
R2 D' B2 D2 B' U F2
U' D' B' U' F' U' F
D' U' B' U' F' U' F
B U' D B' U' F' U'
D2 U' B' U' F' U' F
D U' B U' F' U' F
B' U' D2 B U' F' U'
B U' D' B' U' F' U'
U' D' B2 U' F' U' F
D' U' B2 U' F' U' F
D2 U' B2 U' F' U' F
D U' B' U' F' U' F
U' D2 L U' L' F' U'
B U' D2 B' U' F' U'
D' U2 L D F' U' F
D' U2 L D' F' U' F
D' U2 L D2 F' U' F
D2 U2 L D F' U' F
D' U2 L F' U' D F
D' U2 L F' U' D' F
D' U2 L F' U' D2 F
D' U2 L F' U' F D
D' U2 L F' U' F D'
D' U2 L F' U' F D2
D' U2 L F' D U' F
D' U2 L F' D' U' F
D' U2 L F' D2 U' F
D2 U2 L D' F' U' F
L D2 L' U2 F' U' F
D2 U2 L D2 F' U' F
D U' B2 U' F' U' F
D2 U2 L F' U' D F
D2 U2 L F' U' D' F
D2 U2 L F' U' D2 F
D2 U2 L F' U' F D
D2 U2 L F' U' F D'
D2 U2 L F' U' F D2
D2 U2 L F' D U' F
D2 U2 L F' D' U' F
D2 U2 L F' D2 U' F
U' D2 L' U' L F' U'
U2 D2 L D F' U' F
U' D2 L' U' F' L U'
U2 D2 L D' F' U' F
U2 D2 L D2 F' U' F
D' U2 L' D F' U' F
R2 D2 L2 B L2 U F
D' U2 L' D' F' U' F
U2 D2 L F' U' D F
U2 D2 L F' U' D' F
U2 D2 L F' U' D2 F
U2 D2 L F' U' F D
U2 D2 L F' U' F D'
U2 D2 L F' U' F D2
U2 D2 L F' D U' F
U2 D2 L F' D' U' F
U2 D2 L F' D2 U' F
D' U2 L' D2 F' U' F
D2 U2 L' D F' U' F
D' U2 L' F' U' D F
D' U2 L' F' U' D' F
D' U2 L' F' U' D2 F
D' U2 L' F' U' F D
D' U2 L' F' U' F D'
D' U2 L' F' U' F D2
D' U2 L' F' D U' F
D' U2 L' F' D' U' F
D' U2 L' F' D2 U' F
D2 U2 L' D' F' U' F
D U2 L D F' U' F
D2 U2 L' D2 F' U' F
D U2 L D' F' U' F
D2 U2 L' F' U' D F
D2 U2 L' F' U' D' F
D2 U2 L' F' U' D2 F
D2 U2 L' F' U' F D
D2 U2 L' F' U' F D'
D2 U2 L' F' U' F D2
D U2 L D2 F' U' F
D2 U2 L' F' D U' F
D2 U2 L' F' D' U' F
D2 U2 L' F' D2 U' F
D U2 L F' U' D F
D U2 L F' U' D' F
D U2 L F' U' D2 F
D U2 L F' U' F D
D U2 L F' U' F D'
D U2 L F' U' F D2
D U2 L F' D U' F
D U2 L F' D' U' F
D U2 L F' D2 U' F
U' D2 L2 U' L2 F' U'
U2 D2 L' D F' U' F
U' D2 L2 U' F' L2 U'
B' U' B L U' F' U'
U2 D2 L' D' F' U' F
B' U' B L' U' F' U'
U2 D2 L' D2 F' U' F
D' U2 L2 D F' U' F
B' U' B L2 U' F' U'
D' U2 L2 D' F' U' F
U2 D2 L' F' U' D F
U2 D2 L' F' U' D' F
U2 D2 L' F' U' D2 F
U2 D2 L' F' U' F D
U2 D2 L' F' U' F D'
U2 D2 L' F' U' F D2
U2 D2 L' F' D U' F
U2 D2 L' F' D' U' F
U2 D2 L' F' D2 U' F
D' U2 L2 D2 F' U' F
D2 U2 L2 D F' U' F
D' U2 L2 F' U' D F
D' U2 L2 F' U' D' F
D' U2 L2 F' U' D2 F
D' U2 L2 F' U' F D
D' U2 L2 F' U' F D'
D' U2 L2 F' U' F D2
D' U2 L2 F' D U' F
D' U2 L2 F' D' U' F
D2 U2 L2 D' F' U' F
D' U2 L2 F' D2 U' F
D U2 L' D F' U' F
B' U' B U' D F' U'
B' U' B U' D' F' U'
D2 U2 L2 D2 F' U' F
B' U' B U' D2 F' U'
B' U' B U' F' U' D
B' U' B U' F' U' D'
B' U' B U' F' U' D2
B' U' B U' F' D U'
B' U' B U' F' D' U'
B' U' B U' F' D2 U'
D U2 L' D' F' U' F
D2 U2 L2 F' U' D F
D U2 L' D2 F' U' F
D2 U2 L2 F' U' D' F
D2 U2 L2 F' U' D2 F
D2 U2 L2 F' U' F D
D2 U2 L2 F' U' F D'
D2 U2 L2 F' U' F D2
B' U' B D U' F' U'
D2 U2 L2 F' D U' F
D2 U2 L2 F' D' U' F
D2 U2 L2 F' D2 U' F
B' U' B D' U' F' U'
D U2 L' F' U' D F
D U2 L' F' U' D' F
D U2 L' F' U' D2 F
D U2 L' F' U' F D
D U2 L' F' U' F D'
D U2 L' F' U' F D2
D U2 L' F' D U' F
D U2 L' F' D' U' F
D U2 L' F' D2 U' F
B' U' B D2 U' F' U'
U2 D2 L2 D F' U' F
U2 D2 L2 D' F' U' F
R D2 R B U' B' U2
U2 D2 L2 D2 F' U' F
U2 D2 L2 F' U' D F
U2 D2 L2 F' U' D' F
U2 D2 L2 F' U' D2 F
U2 D2 L2 F' U' F D
U2 D2 L2 F' U' F D'
U2 D2 L2 F' U' F D2
U2 D2 L2 F' D U' F
U2 D2 L2 F' D' U' F
U2 D2 L2 F' D2 U' F
D U2 L2 D F' U' F
D U2 L2 D' F' U' F
R D2 R' U2 F' U' F
D U2 L2 D2 F' U' F
R2 D2 R2 U2 F' U' F
D U2 L2 F' U' D F
D U2 L2 F' U' D' F
D U2 L2 F' U' D2 F
D U2 L2 F' U' F D
D U2 L2 F' U' F D'
D U2 L2 F' U' F D2
D U2 L2 F' D U' F
D U2 L2 F' D' U' F
D U2 L2 F' D2 U' F
B U' B' L U' F' U'
B U' B' L' U' F' U'
B2 U' B2 L U' F' U'
B U' B' L2 U' F' U'
B2 U' B2 L' U' F' U'
B2 U' B2 L2 U' F' U'
B U' B' U' D F' U'
B U' B' U' D' F' U'
B U' B' U' D2 F' U'
B U' B' U' F' U' D
B U' B' U' F' U' D'
B U' B' U' F' U' D2
B U' B' U' F' D U'
B U' B' U' F' D' U'
B U' B' U' F' D2 U'
B2 U' B2 U' D F' U'
B2 U' B2 U' D' F' U'
B2 U' B2 U' D2 F' U'
B2 U' B2 U' F' U' D
B2 U' B2 U' F' U' D'
B2 U' B2 U' F' U' D2
B2 U' B2 U' F' D U'
B2 U' B2 U' F' D' U'
B2 U' B2 U' F' D2 U'
B U' B' D U' F' U'
B U' B' D' U' F' U'
B2 U' B2 D U' F' U'
B U' B' D2 U' F' U'
B2 U' B2 D' U' F' U'
B2 U' B2 D2 U' F' U'
R' D2 U2 L' F U' F'
B2 U2 L D L2 F' U'
B2 U2 L D F' L2 U'
B' U2 L F' U B U2
D' U2 F L F2 U' F
B2 U2 L D2 F' U' F'
D' U2 F L' F2 U' F
B2 U2 L F' U B2 U2
B2 U2 L F' U' D2 F2
D' U2 F L2 F2 U' F
B2 U2 L F' D L2 U'
B2 U2 L F' D2 U' F2
D2 U2 F L F2 U' F
D2 U2 F L' F2 U' F
D2 U2 F L2 F2 U' F
D' U2 F U' D F' R2
L2 D2 U2 F' R2 U' F
D' U2 F D U' F' R2
D2 U2 F U' D F' R2
D2 U2 F D U' F' R2
U2 D2 F L F2 U' F
B2 U2 L' D L2 F' U'
B' U2 L' F' U B U2
B2 U2 L' D F' L2 U'
U2 D2 F L' F2 U' F
U2 D2 F L2 F2 U' F
U D2 R2 U' B R2 U
B2 U2 L' D2 F' U' F'
B U2 L F' L U' F
D' U2 F' L2 U B' U2
B2 U2 L' F' U B2 U2
B2 U2 L' F' U' D2 F2
B2 U2 L' F' D L2 U'
B2 U2 L' F' D2 U' F2
R D2 U2 L F U' F'
U2 D2 F U' D F' R2
D2 U2 F' L2 U B' U2
D U2 F L F2 U' F
U2 D2 F D U' F' R2
D U2 F L' F2 U' F
D' U2 F' U B U2 F
D' U2 F' U B' U2 F
D' U2 F' U B2 U2 F
D' U2 F' U' R F R'
D' U2 F' U' R2 F R2
D' U2 F' U' D F D
D' U2 F' U' D F D'
D' U2 F' U' D F D2
D' U2 F' U' D' F D
D' U2 F' U' D' F D'
D' U2 F' U' D' F D2
D' U2 F' U' D2 F D
D' U2 F' U' D2 F D'
D' U2 F' U' D2 F D2
D U2 F L2 F2 U' F
D' U2 F' U' F2 D F'
D' U2 F' U' F2 D' F'
D' U2 F' U' F2 D2 F'
D' U2 F' U2 R U F
D' U2 F' U2 R' U F
D' U2 F' U2 R2 U F
D2 U2 F' U B U2 F
D2 U2 F' U B' U2 F
D2 U2 F' U B2 U2 F
D' U2 F' D U' F D
D' U2 F' D U' F D'
D' U2 F' D U' F D2
D2 U2 F' U' R F R'
D2 U2 F' U' R2 F R2
D2 U2 F' U' D F D
D2 U2 F' U' D F D'
D2 U2 F' U' D F D2
D2 U2 F' U' D' F D
D2 U2 F' U' D' F D'
D2 U2 F' U' D' F D2
R D2 U2 F' U' F R
D2 U2 F' U' D2 F D
D2 U2 F' U' D2 F D'
D2 U2 F' U' D2 F D2
D2 U2 F' U' F2 D F'
D2 U2 F' U' F2 D' F'
D2 U2 F' U' F2 D2 F'
D2 U2 F' U2 R U F
D' U2 F' D' U' F D
D' U2 F' D' U' F D'
D' U2 F' D' U' F D2
D2 U2 F' U2 R' U F
D2 U2 F' U2 R2 U F
D' U2 F' D2 U' F D
D' U2 F' D2 U' F D'
D' U2 F' D2 U' F D2
D2 U2 F' D U' F D
D2 U2 F' D U' F D'
D2 U2 F' D U' F D2
D U2 F U' D F' R2
B2 U2 L2 D L2 F' U'
D2 U2 F' D' U' F D
D2 U2 F' D' U' F D'
D2 U2 F' D' U' F D2
B' U2 L2 F' U B U2
B2 U2 L2 D F' L2 U'
U2 D2 F' L2 U B' U2
D2 U2 F' D2 U' F D
D2 U2 F' D2 U' F D'
D2 U2 F' D2 U' F D2
D U2 F D U' F' R2
B2 U2 L2 D2 F' U' F'
B U2 L' F' L' U' F
B2 U2 L2 F' U B2 U2
B2 U2 L2 F' U' D2 F2
B2 U2 L2 F' D L2 U'
B2 U2 L2 F' D2 U' F2
U D2 F U F2 U' F2
U2 D2 F' U B U2 F
U2 D2 F' U B' U2 F
U2 D2 F' U B2 U2 F
U2 D2 F' U' R F R'
U2 D2 F' U' R2 F R2
U2 D2 F' U' D F D
U2 D2 F' U' D F D'
U2 D2 F' U' D F D2
U2 D2 F' U' D' F D
U2 D2 F' U' D' F D'
U2 D2 F' U' D' F D2
U2 D2 F' U' D2 F D
U2 D2 F' U' D2 F D'
U2 D2 F' U' D2 F D2
U2 D2 F' U' F2 D F'
U2 D2 F' U' F2 D' F'
U2 D2 F' U' F2 D2 F'
U2 D2 F' U2 R U F
U2 D2 F' U2 R' U F
U2 D2 F' U2 R2 U F
U D2 F D R2 D' F2
U2 D2 F' D U' F D
U2 D2 F' D U' F D'
U2 D2 F' D U' F D2
D U2 F' L2 U B' U2
U2 D2 F' D' U' F D
U2 D2 F' D' U' F D'
U2 D2 F' D' U' F D2
U2 D2 F' D2 U' F D
U2 D2 F' D2 U' F D'
U2 D2 F' D2 U' F D2
B U2 L2 U' F D R2
D' U2 F2 D' F L2 U'
D U2 F' U B U2 F
D U2 F' U B' U2 F
B U2 L2 D F' U' F2
D U2 F' U B2 U2 F
D U2 F' U' R F R'
D U2 F' U' R2 F R2
D U2 F' U' D F D
D U2 F' U' D F D'
D U2 F' U' D F D2
D U2 F' U' D' F D
D U2 F' U' D' F D'
D U2 F' U' D' F D2
D U2 F' U' D2 F D
D U2 F' U' D2 F D'
D U2 F' U' D2 F D2
D2 U2 F2 D' F L2 U'
D U2 F' U' F2 D F'
D U2 F' U' F2 D' F'
D U2 F' U' F2 D2 F'
B U2 L2 D' F' U' F2
D U2 F' U2 R U F
D U2 F' U2 R' U F
D U2 F' U2 R2 U F
B U2 L2 D2 F' U' F2
D U2 F' D U' F D
D U2 F' D U' F D'
D U2 F' D U' F D2
B U2 L2 F' L U' F2
B U2 L2 F' L' U' F2
B U2 L2 F' L2 U' F2
D U2 F' D' U' F D
D U2 F' D' U' F D'
D U2 F' D' U' F D2
B U2 L2 F' U' F2 D
B U2 L2 F' U' F2 D'
B U2 L2 F' U' F2 D2
B U2 L2 F' D' L2 U'
D U2 F' D2 U' F D
D U2 F' D2 U' F D'
D U2 F' D2 U' F D2
U' D2 B U' F' U' F
U2 D2 F2 D' F L2 U'
D U2 F2 D' F L2 U'
U D2 F2 U F U' F'
R2 D2 B R U' B' U2
R2 D2 B R' U' B' U2
U' D2 B' U' F' U' F
R2 D2 B R2 U' B' U2
R2 D2 B U L2 F L2
R2 D2 B U' D B' U2
R2 D2 B U' D' B' U2
R2 D2 B U' D2 B' U2
R2 D2 B U' B' U2 D
R2 D2 B U' B' U2 D'
R2 D2 B U' B' U2 D2
R2 D2 B U' B' D U2
R2 D2 B U' B' D' U2
R2 D2 B U' B' D2 U2
R2 D2 B U2 L2 U' F
R2 D2 B D U' B' U2
R2 D2 B D' U' B' U2
R2 D2 B D2 U' B' U2
U' D2 B2 U' F' U' F
B2 U2 D L F' L U'
R2 D2 B' R2 B2 U F'
R2 D2 B' U D' R2 F'
R D2 B U' B' U2 R'
B2 U2 D L2 D F' U'
B2 U2 D L2 D' F' U'
B2 U2 D L2 D2 F' U'
B2 U2 D L2 F' U' D
B2 U2 D L2 F' U' D'
B2 U2 D L2 F' U' D2
B2 U2 D L2 F' D U'
B2 U2 D L2 F' D' U'
B2 U2 D L2 F' D2 U'
B' U2 D F' U B U2
R2 D2 B' D' U R2 F'
B2 U2 D F L2 F2 U'
B2 U2 D F' L2 U' D
B2 U2 D F' L2 U' D'
B2 U2 D F' L2 U' D2
B2 U2 D F' L2 D U'
B2 U2 D F' L2 D' U'
B2 U2 D F' L2 D2 U'
B2 U2 D F' U' D F2
B2 U2 D F' D U' F2
B' U2 D' F' U B U2
R D2 B' U' B L U2
B U2 D L2 F' U' F2
B2 U2 D' F' U' D' F2
B2 U2 D' F' U2 R2 U
B2 U2 D' F' D' U' F2
B2 U2 D' F' D2 L2 U'
R2 D2 B2 D' R2 B' U
R2 D2 B2 D' B' R2 U
F2 U2 D' F U' L2 F'
F2 U2 D' F U' F' L2
B U2 D F' L2 U' F
B U2 D F' U B' U2
R2 D2 B2 D2 B' U F2
U2 F L U' D F' R2
B2 U2 D2 L F' U' F'
U2 F L D U' F' R2
B2 U2 D2 L' F' U' F'
B2 U2 D2 L2 F' U' F'
B' U2 D2 F' U B U2
B U2 D' L2 F' U' F2
U2 F L F2 U' D F
U2 F L F2 U' D' F
U2 F L F2 U' D2 F
U2 F L F2 U' F D
U2 F L F2 U' F D'
U2 F L F2 U' F D2
U2 F L F2 D U' F
U2 F L F2 D' U' F
U2 F L F2 D2 U' F
B2 U2 D2 F' L U' F'
B2 U2 D2 F' L' U' F'
B2 U2 D2 F' L2 U' F'
B2 U2 D2 F' U' D F'
B2 U2 D2 F' U' D' F'
B2 U2 D2 F' U' D2 F'
B2 U2 D2 F' U' F' D
B2 U2 D2 F' U' F' D'
B2 U2 D2 F' U' F' D2
B2 U2 D2 F' D U' F'
B2 U2 D2 F' D' U' F'
B2 U2 D2 F' D2 U' F'
B U2 D' F' L2 U' F
B U2 D' F' U B' U2
F2 U2 D2 F B2 U' F'
U2 F L' U' D F' R2
F2 U2 D2 B2 F U' F'
B' U2 F U' D R2 F'
F2 U2 F L' U' F' L'
U2 F L' D U' F' R2
B U2 D2 L2 F' U' F2
B' U2 F D U' R2 F'
F2 U2 F L2 B' U' F'
B U2 D2 F' L2 U' F
U2 F L' F2 U' D F
U2 F L' F2 U' D' F
U2 F L' F2 U' D2 F
U2 F L' F2 U' F D
U2 F L' F2 U' F D'
U2 F L' F2 U' F D2
U2 F L' F2 D U' F
U2 F L' F2 D' U' F
U2 F L' F2 D2 U' F
B U2 D2 F' U B' U2
B2 U2 F D L2 U' R2
