D' L2 B' R2 U F'
D' L2 B' U' B U2
F2 R2 U F2 B U
F2 R2 U B F2 U
D' U L2 B' U L2
U2 D R2 F U' F'
F2 U F2 U2 F U'
U D' L2 B' U L2
F2 U' D' F' U' L2
F2 U' D2 F' B2 U'
F2 U' D2 B2 F' U'
F2 U' F' U2 F' U
U2 D2 F U' F' B2
U2 D2 F U' B2 F'
D2 U2 F U' F' B2
D2 U2 F U' B2 F'
D U2 R2 F U' F'
U2 F L2 U' F' B'
U2 F L2 U' B' F'
U2 F U F U2 F2
U2 F U' F' D2 B2
F2 D R2 U B U
B2 D' L2 R2 B' U
B2 D' L2 B' R2 U
B D' L2 B' U F
B2 D' R2 L2 B' U
B2 D' R2 L2 B' U
F2 D' U' F' U' L2
L2 F2 U F2 B' U
U' F2 U' F' U' F
L2 F2 U B' F2 U
F2 D2 U' F' B2 U'
F2 D2 U' B2 F' U'
D' B L2 B' U F
L2 B' U' F2 B U2
L2 B' U' B F2 U2
U' F2 U' F' U' D2 F
U' F2 U' F' U' F D
U' F2 U' F' U' F D'
U' F2 U' F' U' F D2
R' F2 U' D' F' U' L2
U' F2 U' F' D U' F
U' F2 U' F' D' U' F
U' F2 U' F' D2 U' F
R' F2 U' D2 F' B2 U'
R' F2 U' D2 B2 F' U'
L2 F2 U F2 D B' U
L2 F2 U F2 D' B' U
L2 F2 U F2 D2 B' U
L2 F2 U F2 B' U D
L2 F2 U F2 B' U D'
L2 F2 U F2 B' U D2
L2 F2 U F2 B' D U
L2 F2 U F2 B' D' U
L2 F2 U F2 B' D2 U
R F2 R2 U F2 B U
R F2 R2 U B F2 U
R' F2 U' F' U2 F' U
L2 F2 U B' U D' L2
L2 F2 U B' D' U L2
L2 F2 U B' F2 U D
L2 F2 U B' F2 U D'
L2 F2 U B' F2 U D2
L2 F2 U B' F2 D U
L2 F2 U B' F2 D' U
L2 F2 U B' F2 D2 U
R2 F2 U F2 U2 F U'
F2 D2 L U' F' B2 U'
F2 D2 L U' B2 F' U'
R2 F2 U' D' F' U' L2
R2 F2 U' D2 F' B2 U'
R2 F2 U' D2 B2 F' U'
R2 F2 U' F' U2 F' U
D F2 U' F' R2 B U'
R F2 U F2 U2 F U'
U' F2 D U' F' U' F
R' F2 D R2 U B U
F2 D2 L' U' F' B2 U'
F2 D2 L' U' B2 F' U'
R F2 U' D' F' U' L2
R F2 U' D2 F' B2 U'
R F2 U' D2 B2 F' U'
R F2 U' F' U2 F' U
L2 F2 D R2 U B' U
U' F2 D' U' F' U' F
F2 D2 L2 U' F' B2 U'
F2 D2 L2 U' B2 F' U'
R' F2 D' U' F' U' L2
R2 F2 D R2 U B U
B2 D2 L2 B' U F2 B'
B2 D2 L2 B' U B' F2
U' F2 D2 U' F' U' F
L2 F2 D' U B' U L2
R' F2 D2 U' F' B2 U'
R' F2 D2 U' B2 F' U'
U2 F2 D' F' L2 U' B'
R2 F2 D' U' F' U' L2
B D2 L2 B' U F B'
R F2 D R2 U B U
B D2 L2 B' U B' F
U' F2 B U' F' U' F
R2 F2 D2 U' F' B2 U'
R2 F2 D2 U' B2 F' U'
R F2 D' U' F' U' L2
U' F2 B' U' F' U' F
U' F2 B2 U' F' U' F
R F2 D2 U' F' B2 U'
R F2 D2 U' B2 F' U'
F2 D2 U' F' U' D L2
F2 D2 U' F' D U' L2
F2 D2 U' F' B2 U' D
F2 D2 U' F' B2 U' D'
F2 D2 U' F' B2 U' D2
F2 D2 U' F' B2 D U'
F2 D2 U' F' B2 D' U'
F2 D2 U' F' B2 D2 U'
F2 D2 U' B2 D F' U'
F2 D2 U' B2 D' F' U'
F2 D2 U' B2 D2 F' U'
F2 D2 U' B2 F' U' D
F2 D2 U' B2 F' U' D'
F2 D2 U' B2 F' U' D2
F2 D2 U' B2 F' D U'
F2 D2 U' B2 F' D' U'
F2 D2 U' B2 F' D2 U'
B2 D2 U2 F U' F B2
B2 D2 U2 F U' B2 F
D' B L2 R B' U F
D' B L2 R' B' U F
D' B L2 R2 B' U F
D' B L2 D B' U F
D' B L2 D' B' U F
D' B L2 D2 B' U F
D2 B L2 B' U F B2
D2 B L2 B' U B2 F
D' B L2 B' R U F
D' B L2 B' R' U F
D' B L2 B' R2 U F
D' B L2 B' U D F
D' B L2 B' U D' F
D' B L2 B' U D2 F
D' B L2 B' U F D
D' B L2 B' U F D'
D' B L2 B' U F D2
D' B L2 B' D U F
D' B L2 B' D' U F
D' B L2 B' D2 U F
F' D2 F' U F2 B2 U
F' D2 F' U B2 F2 U
D' B R L2 B' U F
F' D2 F' U2 D' L2 R2
F' D2 F' U2 D' R2 L2
F' D2 F' D L2 R2 U2
F' D2 F' D R2 L2 U2
F' D2 F' D' U2 L2 R2
F' D2 F' D' U2 R2 L2
D' B R' L2 B' U F
D' B R2 L2 B' U F
R' B D' L2 B' U F
L2 B D' L2 U R2 F
L2 B D' L2 U F R2
R2 B D' L2 B' U F
U B D' L2 B' U L2
D B D2 L2 B' U F
R B D' L2 B' U F
U' B F2 U' F' U' F
L2 B' L U' F2 B U2
L2 B' L U' B F2 U2
L2 B' L' U' F2 B U2
L2 B' L' U' B F2 U2
D' B' L2 R2 B' U F'
D' B' L2 B' U D2 F2
D' B' L2 B' U' B2 U2
D' B' L2 B' D' R2 U
D' B' L2 B' D2 U F2
L2 B' L2 U' F2 B U2
L2 B' L2 U' B F2 U2
D' B' R2 L2 B' U F'
L2 B' R2 U D2 F' B2
L2 B' R2 U D2 B2 F'
L2 B' R2 U' F2 U2 F
L2 B' R2 D' L2 U F'
L2 B' R2 D2 U F' B2
L2 B' R2 D2 U B2 F'
L2 B' U R2 F' R2 B
L2 B' U B' D2 F2 B2
L2 B' U B' D2 B2 F2
L2 B' U' D2 B U2 B
L2 B' U' F2 D B U2
L2 B' U' F2 D' B U2
L2 B' U' F2 D2 B U2
L2 B' U' F2 B U2 D
L2 B' U' F2 B U2 D'
L2 B' U' F2 B U2 D2
L2 B' U' F2 B D U2
L2 B' U' F2 B D' U2
L2 B' U' F2 B D2 U2
L2 B' U' B U2 D2 B2
L2 B' U' B D2 U2 B2
L2 B' U' B F2 U2 D
L2 B' U' B F2 U2 D'
L2 B' U' B F2 U2 D2
L2 B' U' B F2 D U2
L2 B' U' B F2 D' U2
L2 B' U' B F2 D2 U2
L2 B' U2 D R2 U' F'
D B' U2 R2 F U' F2
D B' U2 F R2 U' F'
L2 B' D U2 R2 U' F'
L2 B' D' L2 R2 U F'
L2 B' D' L2 U' B U2
L2 B' D' R2 L2 U F'
L2 B' D2 R2 U F' B2
L2 B' D2 R2 U B2 F'
L2 B' D2 U' B U2 B
U B' D' L2 B' U L2
U' B' F2 U' F' U' F
D B' F R2 B U' F'
D' B2 L2 D' R2 B' U
D' B2 L2 D' B' R2 U
D' B2 L2 D2 B' U F2
D' B2 L2 B' U' B' U2
R' B2 D' L2 R2 B' U
R' B2 D' L2 B' R2 U
R' B2 D' R2 L2 B' U
L2 B2 D' L2 B R2 U
R2 B2 D' L2 R2 B' U
L2 B2 D' B L2 R2 U
R2 B2 D' L2 B' R2 U
L2 B2 D' B R2 L2 U
R2 B2 D' R2 L2 B' U
U B2 D' L2 B' U L2
L2 B2 D2 B U F2 B
L2 B2 D2 B U B F2
D B2 D2 L2 B' U F2
R B2 D' L2 R2 B' U
R B2 D' L2 B' R2 U
R B2 D' R2 L2 B' U
U' B2 F2 U' F' U' F
