D' R2 F D' B' L2
D' R2 F B' D' L2
B R2 F' U' F2 B2
B R2 F' U' B2 F2
D' R2 B' F D' L2
B2 U F B D L2
B2 U B D F L2
B2 U B F D L2
R D' R2 F B' L'
R D' R2 B' F L'
R D' F R2 B' L'
R D' F B' L' R2
R D' F B' R2 L'
R D' B' R2 F L'
R D' B' F L' R2
R D' B' F R2 L'
B2 U2 B' U' F B2
B2 U2 B' U' B2 F
B U2 B U F B
B U2 B U B F
R2 F D' R2 B' L2
R2 F D' B' L2 R2
R2 F D' B' R2 L2
D' F B' R2 D L2
R2 F' B2 U F2 B
R2 F' B2 U B F2
B D' R2 F' U' F2
F D' B' R2 D L2
D2 F2 B U' F' B2
D2 F2 B U' B2 F'
D' B U' R2 F B2
D' B U' R2 B2 F
D' B U' F R2 B2
D' B U' F B2 R2
F D2 B' D L2 R2
F D2 B' D R2 L2
D' B U' B2 R2 F
D' B U' B2 F R2
D2 B F2 U' F' B2
D2 B F2 U' B2 F'
D' B' R2 D F L2
D' B' R2 F D L2
D2 B' D R2 F L2
D2 B' D F L2 R2
D2 B' D F R2 L2
D' B' F R2 D L2
R2 B2 F' U F2 B
R2 B2 F' U B F2
D' B U' F' R2 B2 F2
D' B U' F' B2 R2 F2
F D2 B' R2 D L2 R2
F D2 B' R2 D R2 L2
U B R2 F' U' F2 B2
U B R2 F' U' B2 F2
F D2 B' U F2 B2 U'
F D2 B' U B2 F2 U'
D' B U' B' R2 F B'
D' B U' B' R2 B' F
D2 B U' B2 D R2 F
D2 B U' B2 D F R2
D' B U' B' F R2 B'
D' B U' B2 R' F R'
D' B U' B2 R2 D F
D' B U' B2 R2 D' F
D' B U' B2 R2 D2 F
D' B U' B2 R2 F D
D' B U' B2 R2 F D'
D' B U' B2 R2 F D2
D' B U' B2 F R2 D
D' B U' B2 F R2 D'
D' B U' B2 F R2 D2
D' B U' B2 F' R2 F2
F D2 B' D L2 R2 D
F D2 B' D L2 R2 D'
F D2 B' D L2 R2 D2
F D2 B' D R2 L2 D
F D2 B' D R2 L2 D'
F D2 B' D R2 L2 D2
U' B U2 B U F B
U' B U2 B U B F
D B U' F B2 D2 R2
D B U' B2 D2 R2 F
D B U' B2 D2 F R2
D B U' B2 F D2 R2
B' F L2 U F B2 U'
B' F L2 U B2 F U'
U2 B U2 B U F B
U2 B U2 B U B F
U' B D' R2 F' U' F2
D' B D' R2 F2 U' F'
B2 F L2 F U F' B
B2 F L2 F U B F'
U B U2 B U F B
U B U2 B U B F
U2 B D' R2 F' U' F2
D' B F R2 B2 D L2
U B D' R2 F' U' F2
D' B F' U' R2 F2 B2
D' B F' U' R2 B2 F2
D' B F' U' F2 R2 B2
D' B F' U' F2 B2 R2
F' B R2 F' U' F' B2
D' B F' U' B2 R2 F2
F' B R2 F' U' B2 F'
D' B F' U' B2 F2 R2
D2 B F2 L U' F' B2
D2 B F2 L U' B2 F'
D2 B F2 L' U' F' B2
D2 B F2 L' U' B2 F'
D2 B F2 L2 U' F' B2
D2 B F2 L2 U' B2 F'
D2 B F2 U' F' B2 D
D2 B F2 U' F' B2 D'
D2 B F2 U' F' B2 D2
D2 B F2 U' B2 D F'
D2 B F2 U' B2 D' F'
D2 B F2 U' B2 D2 F'
D2 B F2 U' B2 F' D
D2 B F2 U' B2 F' D'
D2 B F2 U' B2 F' D2
D' B F2 U' F' R2 B2
D' B F2 U' F' B2 R2
D' B F2 U' B2 F' R2
B' F U B2 U2 B U
B F R2 F' U' F B2
B F R2 F' U' B2 F
B' F U' D B' U L2
B' F U' D2 F2 B' U
B' F U' D2 B' F2 U
F B R2 F' U' F B2
F B R2 F' U' B2 F
B' F U' B' U2 B' U'
B' F D L2 U F U'
F' B U2 B U F2 B
F' B U2 B U B F2
D' B' L2 R2 D L2 F
D2 B' L2 D L2 R2 F
D2 B' L2 D L2 F R2
D2 B' L2 D R2 L2 F
B' F D U' B' U L2
F2 B U2 B U F' B
F2 B U2 B U B F'
D2 B' R D R2 F L2
D2 B' R D F L2 R2
D2 B' R D F R2 L2
F' B D' L2 R2 F' U'
D' B' R D R F L2
F' B D' R2 L2 F' U'
F' B D' R2 F' L2 U'
D2 B' R' D R2 F L2
D2 B' R' D F L2 R2
D2 B' R' D F R2 L2
B' F D2 U' F2 B' U
B' F D2 U' B' F2 U
D' B' R' D R' F L2
D' B' R' D F L2 R'
D' B' R' D F R' L2
D' B' R' F R' D L2
D' B' R' F D L2 R'
D' B' R' F D R' L2
B F D' R2 F' U' F
D' B' R2 L2 D L2 F
D' B' R2 U B2 U' F
D2 B' R2 D R2 F L2
D2 B' R2 D F L2 R2
D2 B' R2 D F R2 L2
F B D' R2 F' U' F
D' B' R2 D F L2 D
D' B' R2 D F L2 D'
D' B' R2 D F L2 D2
D' B' R2 D F' L2 F2
D' B' R2 D F2 L2 F'
D' B' R2 D' F D2 L2
D' B' R2 F L D L2
D' B' R2 F L' D L2
D' B' R2 F L2 D L2
D' B' R2 F U B2 U'
D' B' R2 F D L2 D
D' B' R2 F D L2 D'
D' B' R2 F D L2 D2
B2 F' L U F2 B L
B2 F' L U B L F2
B2 F' L U B F2 L
D' B' R2 F2 D L2 F'
D' B' R2 F2 D F' L2
D2 B' U F2 B2 U' F'
D2 B' U B2 F2 U' F'
F2 B' L' D L2 F' R
F2 B' L' D F' L2 R
F2 B' L' D F' R L2
D' B' U B2 U' R2 F
D' B' U B2 U' F R2
B2 F' L2 F U F B
B2 F' L2 F U B F
F2 B' L2 F' D L2 R2
F2 B' L2 F' D R2 L2
R2 B' U' F' B' U F2
F B' L2 U F B2 U'
D2 B' D R' F L2 R'
D2 B' D R' F R' L2
F B' L2 U B2 F U'
R2 B' U' B' F' U F2
D2 B' D R2 F L2 D
D2 B' D R2 F L2 D'
D2 B' D R2 F L2 D2
D2 B' D R2 F' L2 F2
D2 B' D R2 F2 L2 F'
D2 B' D F L2 R2 D
D2 B' D F L2 R2 D'
D2 B' D F L2 R2 D2
D2 B' D F R2 L2 D
D2 B' D F R2 L2 D'
D2 B' D F R2 L2 D2
D2 B' D F' L2 R2 F2
D2 B' D F' L2 F2 R2
D2 B' D F' R2 L2 F2
D2 B' D F' R2 F2 L2
D2 B' D F2 L2 F' R2
D' B' D F L2 D' R2
D2 B' D' F D2 L2 R2
D2 B' D' F D2 R2 L2
D' B' F L R2 D L2
D' B' F L' R2 D L2
B F' R2 F' U' F' B2
B F' R2 F' U' B2 F'
D' B' F L2 R2 D L2
B2 F' U F2 B D L2
D' B' F R D L2 R
D' B' F R D R L2
B2 F' U B F2 D L2
D2 B' F U F B2 U'
D' B' F R' D L2 R'
D' B' F R' D R' L2
D2 B' F U B2 F U'
D' B' F R2 L D L2
D' B' F R2 L' D L2
D' B' F R2 L2 D L2
D' B' F R2 U B2 U'
D' B' F R2 D L2 D
D' B' F R2 D L2 D'
D' B' F R2 D L2 D2
D' B' F U B2 U' R2
D' B' F D L2 D' R2
D B' D2 R2 D' F L2
D' B' F' R2 F2 D L2
R2 B' F U' F2 B' U
R2 B' F U' B' F2 U
F B' U B2 U2 B U
D B' F D L2 D R2
D B' F D2 R2 D' L2
B2 F' U2 B' U' F2 B2
B2 F' U2 B' U' B2 F2
F B' U' D B' U L2
F B' U' D2 F2 B' U
F B' U' D2 B' F2 U
F2 B' D L2 F' D R2
F B' U' B' U2 B' U'
B F' U2 B U F2 B
B F' U2 B U B F2
F B' D L2 U F U'
F B' D U' B' U L2
B F' D' L2 R2 F' U'
B F' D' R2 L2 F' U'
B F' D' R2 F' L2 U'
F' B2 L U F2 B L
F' B2 L U B L F2
F' B2 L U B F2 L
B2 F2 L U F' B L
B2 F2 L U B L F'
B2 F2 L U B F' L
F2 B2 L U F' B L
F2 B2 L U B L F'
F2 B2 L U B F' L
B' F2 L' D L2 F' R
B' F2 L' D F' L2 R
B' F2 L' D F' R L2
F B' D2 U' F2 B' U
F B' D2 U' B' F2 U
B' F2 L2 F' D L2 R2
B' F2 L2 F' D R2 L2
F' B2 L2 F U F B
F' B2 L2 F U B F
B2 F2 L2 F U F2 B
B2 F2 L2 F U B F2
F2 B2 L2 F U F2 B
F2 B2 L2 F U B F2
U' B2 U F B D L2
U' B2 U B D F L2
U' B2 U B F D L2
R' B2 U F' L' F2 B
R' B2 U F' L' B F2
R' B2 U F' B L' F2
R' B2 U B F' L' F2
F B2 L2 F U F' B
F B2 L2 F U B F'
U2 B2 U F B D L2
U2 B2 U B D F L2
U2 B2 U B F D L2
R2 B2 U F D' L2 B
R2 B2 U F D' B L2
R2 B2 U F B D' L2
R2 B2 U B F D' L2
U' B2 U2 B' U' F B2
U' B2 U2 B' U' B2 F
U B2 U F B D L2
U B2 U B D F L2
U B2 U B F D L2
R B2 U D' F L' B
R B2 U D' F B L'
R B2 U D' B F L'
F' B2 U F2 B D L2
F' B2 U B F2 D L2
R B2 U B D' F L'
B2 F2 U F' B D L2
U2 B2 U2 B' U' F B2
U2 B2 U2 B' U' B2 F
B2 F2 U B D L2 F'
B2 F2 U B D F' L2
B2 F2 U B F' D L2
F2 B2 U F' B D L2
F2 B2 U B D L2 F'
F2 B2 U B D F' L2
F2 B2 U B F' D L2
R2 B2 D F' U F2 B
R2 B2 D F' U B F2
U B2 U2 B' U' F B2
U B2 U2 B' U' B2 F
B' F2 D L2 F' D R2
F' B2 U2 B' U' F2 B2
F' B2 U2 B' U' B2 F2
B2 F2 U2 B' U' F' B2
B2 F2 U2 B' U' B2 F'
F2 B2 U2 B' U' F' B2
F2 B2 U2 B' U' B2 F'
R2 B2 D' F' U F2 B
R2 B2 D' F' U B F2
B F2 U2 B U F' B
B F2 U2 B U B F'
R2 B2 D2 F' U F2 B
R2 B2 D2 F' U B F2
R B2 D' U F L' B
R B2 D' U F B L'
R B2 D' U B F L'
R' B2 F2 U F' L' B
R' B2 F2 U F' B L'
R' B2 F2 U B F' L'
R2 B2 F' L U F2 B
R2 B2 F' L U B F2
R2 B2 F' L' U F2 B
R2 B2 F' L' U B F2
R2 B2 F' L2 U F2 B
R2 B2 F' L2 U B F2
R2 B2 F' U F2 D B
R2 B2 F' U F2 D' B
R2 B2 F' U F2 D2 B
R2 B2 F' U F2 B D
R2 B2 F' U F2 B D'
R2 B2 F' U F2 B D2
R2 B2 F' U B F2 D
R2 B2 F' U B F2 D'
R2 B2 F' U B F2 D2
