B' F U' F2 B2
B' F U' B2 F2
F' B D L2 R2
F' B D R2 L2
F B' U' F2 B2
F B' U' B2 F2
B F' D L2 R2
B F' D R2 L2
D2 F' B R' D L2 R2
D2 F' B R' D R2 L2
D' F' B R' D L2 R2
D' F' B R' D R2 L2
D2 F' B R2 D L2 R2
D2 F' B R2 D R2 L2
U' F' B D L2 R2 D
U' F' B D L2 R2 D'
U' F' B D L2 R2 D2
D' F' B R2 D L2 R2
D' F' B R2 D R2 L2
U' F' B D R2 L2 D
U' F' B D R2 L2 D'
U' F' B D R2 L2 D2
D2 F' B U F2 B2 U'
D2 F' B U B2 F2 U'
D' F' B U F2 B2 U'
D' F' B U B2 F2 U'
D2 F' B D L2 R2 D
D2 F' B D L2 R2 D'
D2 F' B D L2 R2 D2
D2 F' B D R2 L2 D
D2 F' B D R2 L2 D'
D2 F' B D R2 L2 D2
D' F' B D L2 R2 D
D' F' B D L2 R2 D'
D' F' B D L2 R2 D2
D' F' B D R2 L2 D
D' F' B D R2 L2 D'
D' F' B D R2 L2 D2
U2 F' B L D L2 R2
U2 F' B L D R2 L2
L2 F' B L D' L2 R2
L2 F' B L D' R2 L2
U2 F' B L' D L2 R2
U2 F' B L' D R2 L2
L2 F' B L' D' L2 R2
L2 F' B L' D' R2 L2
U2 F' B L2 D L2 R2
U2 F' B L2 D R2 L2
L2 F' B L2 D' L2 R2
L2 F' B L2 D' R2 L2
U2 F' B R D L2 R2
U2 F' B R D R2 L2
L2 F' B R D' L2 R2
L2 F' B R D' R2 L2
U2 F' B R' D L2 R2
U2 F' B R' D R2 L2
L2 F' B R' D' L2 R2
L2 F' B R' D' R2 L2
B' D' R2 F U B U2
U2 F' B R2 D L2 R2
U2 F' B R2 D R2 L2
L2 F' B R2 D' L2 R2
L2 F' B R2 D' R2 L2
U2 F' B U F2 B2 U'
U2 F' B U B2 F2 U'
L2 F' B U' F2 B2 U
L2 F' B U' B2 F2 U
U2 F' B D L2 R2 D
U2 F' B D L2 R2 D'
U2 F' B D L2 R2 D2
U2 F' B D R2 L2 D
U2 F' B D R2 L2 D'
U2 F' B D R2 L2 D2
D F' B L D L2 R2
D F' B L D R2 L2
L2 F' B D' L2 R2 D
L2 F' B D' L2 R2 D'
L2 F' B D' L2 R2 D2
D F' B L' D L2 R2
D F' B L' D R2 L2
L2 F' B D' R2 L2 D
L2 F' B D' R2 L2 D'
L2 F' B D' R2 L2 D2
D F' B L2 D L2 R2
D F' B L2 D R2 L2
D F' B R D L2 R2
D F' B R D R2 L2
D F' B R' D L2 R2
D F' B R' D R2 L2
R2 F' B U' F2 B2 U'
R2 F' B U' B2 F2 U'
D F' B R2 D L2 R2
D F' B R2 D R2 L2
R2 F' B U2 D L2 R2
R2 F' B U2 D R2 L2
R2 F' B D U2 L2 R2
R2 F' B D U2 R2 L2
D F' B U F2 B2 U'
D F' B U B2 F2 U'
R2 F' B D' L2 R2 U2
R2 F' B D' R2 L2 U2
U F' B L D L2 R2
U F' B L D R2 L2
U F' B L' D L2 R2
U F' B L' D R2 L2
D F' B D L2 R2 D
D F' B D L2 R2 D'
D F' B D L2 R2 D2
D F' B D R2 L2 D
D F' B D R2 L2 D'
D F' B D R2 L2 D2
U F' B L2 D L2 R2
U F' B L2 D R2 L2
U F' B R D L2 R2
U F' B R D R2 L2
U F' B R' D L2 R2
U F' B R' D R2 L2
U F' B R2 D L2 R2
U F' B R2 D R2 L2
U F' B U F2 B2 U'
U F' B U B2 F2 U'
U F' B D L2 R2 D
U F' B D L2 R2 D'
U F' B D L2 R2 D2
U F' B D R2 L2 D
U F' B D R2 L2 D'
U F' B D R2 L2 D2
B' D' U' F' D R2 B2
B' D' U' F' D B2 R2
B' D' F L R2 U' F2
B' D' F L' R2 U' F2
B' D' F L2 R2 U' F2
B' D' F R2 L U' F2
B' D' F R2 L' U' F2
B' D' F R2 L2 U' F2
B' D' F R2 U' F2 D
B' D' F R2 U' F2 D'
B' D' F R2 U' F2 D2
B' D' F R2 D' L2 U'
B' D' F U' F2 D B2
F D' U' B D L2 F2
F D' U' B D F2 L2
B2 D' F B U' F2 B2
B2 D' F B U' B2 F2
B' D' F' R2 F2 U' F2
F2 D' F B D L2 R2
F2 D' F B D R2 L2
B2 D' F' B' D L2 R2
B2 D' F' B' D R2 L2
F2 D' F' B' U' F2 B2
F2 D' F' B' U' B2 F2
B D' F' D R2 D L2
B D' F' D2 L2 D' R2
F' D' B D L2 D R2
F' D' B D2 R2 D' L2
B2 D' B F U' F2 B2
B2 D' B F U' B2 F2
F2 D' B F D L2 R2
F2 D' B F D R2 L2
F D' B L2 B2 U' B2
B2 D' B' F' D L2 R2
B2 D' B' F' D R2 L2
F2 D' B' F' U' F2 B2
F2 D' B' F' U' B2 F2
F D' B' L2 R U' B2
F D' B' L2 R' U' B2
F D' B' L2 R2 U' B2
F D' B' L2 U' B2 D
F D' B' L2 U' B2 D'
F D' B' L2 U' B2 D2
F D' B' L2 D' R2 U'
F D' B' R L2 U' B2
F D' B' R' L2 U' B2
F D' B' R2 L2 U' B2
F D' B' U' B2 D F2
U' B L D L2 F' R
U' B L D F' L2 R
U' B L D F' R L2
B' D2 U' F' D R2 B
D2 B L D L2 F' R
D2 B L D F' L2 R
D2 B L D F' R L2
D' B L D L2 F' R
D' B L D F' L2 R
D' B L D F' R L2
U2 B L D L2 F' R
U2 B L D F' L2 R
U2 B L D F' R L2
B' D2 F L2 U' F2 B'
B' D2 F L2 U' B' F2
B' D2 F U F U2 F
D B L D L2 F' R
D B L D F' L2 R
D B L D F' R L2
B' D2 F D' L2 U' B'
U B L D L2 F' R
U B L D F' L2 R
U B L D F' R L2
B2 D2 F B U' F2 B2
B2 D2 F B U' B2 F2
F2 D2 F B D L2 R2
F2 D2 F B D R2 L2
B2 D2 F' B' D L2 R2
B2 D2 F' B' D R2 L2
F2 D2 F' B' U' F2 B2
F2 D2 F' B' U' B2 F2
B2 D2 B F U' F2 B2
B2 D2 B F U' B2 F2
F2 D2 B F D L2 R2
F2 D2 B F D R2 L2
U' B U F B2 U' F2
D2 B U F B2 U' F2
U' B U B2 F U' F2
D' B U F B2 U' F2
B2 D2 B' F' D L2 R2
B2 D2 B' F' D R2 L2
D2 B U B2 F U' F2
F2 D2 B' F' U' F2 B2
F2 D2 B' F' U' B2 F2
D' B U B2 F U' F2
B' F L R U' F2 B2
B' F L R U' B2 F2
B' F L R' U' F2 B2
B' F L R' U' B2 F2
B' F L R2 U' F2 B2
B' F L R2 U' B2 F2
U2 B U F B2 U' F2
F D2 B' L2 U' F B2
F D2 B' L2 U' B2 F
B' F L U' F2 B2 D
B' F L U' F2 B2 D'
B' F L U' F2 B2 D2
B' F L U' B2 F2 D
B' F L U' B2 F2 D'
B' F L U' B2 F2 D2
F' B L R D L2 R2
F' B L R D R2 L2
F' B L R' D L2 R2
F' B L R' D R2 L2
B' F L D' L2 R2 U'
B' F L D' R2 L2 U'
U2 B U B2 F U' F2
F' B L R2 D L2 R2
F' B L R2 D R2 L2
F D2 B' U B' U2 B'
F' B L U F2 B2 U'
F' B L U B2 F2 U'
F' B L D L2 R2 D
F' B L D L2 R2 D'
F' B L D L2 R2 D2
F' B L D R2 L2 D
F' B L D R2 L2 D'
F' B L D R2 L2 D2
D B U F B2 U' F2
B' F L' R U' F2 B2
B' F L' R U' B2 F2
B' F L' R' U' F2 B2
B' F L' R' U' B2 F2
B' F L' R2 U' F2 B2
B' F L' R2 U' B2 F2
D B U B2 F U' F2
L2 B U' F B2 U F2
B' F L' U' F2 B2 D
B' F L' U' F2 B2 D'
B' F L' U' F2 B2 D2
B' F L' U' B2 F2 D
B' F L' U' B2 F2 D'
B' F L' U' B2 F2 D2
F' B L' R D L2 R2
F' B L' R D R2 L2
U B U F B2 U' F2
F' B L' R' D L2 R2
F' B L' R' D R2 L2
B' F L' D' L2 R2 U'
B' F L' D' R2 L2 U'
F' B L' R2 D L2 R2
L2 B U' B2 F U F2
F' B L' R2 D R2 L2
F' B L' U F2 B2 U'
F' B L' U B2 F2 U'
F' B L' D L2 R2 D
F' B L' D L2 R2 D'
F' B L' D L2 R2 D2
U B U B2 F U' F2
F' B L' D R2 L2 D
F' B L' D R2 L2 D'
F' B L' D R2 L2 D2
U' B D F' L2 D R2
B' F L2 R U' F2 B2
B' F L2 R U' B2 F2
B' F L2 R' U' F2 B2
B' F L2 R' U' B2 F2
B' F L2 R2 U' F2 B2
B' F L2 R2 U' B2 F2
D2 B D F' L2 D R2
B' F L2 U' F2 B2 D
B' F L2 U' F2 B2 D'
B' F L2 U' F2 B2 D2
B F L F2 D L2 R2
B F L F2 D R2 L2
B' F L2 U' B2 F2 D
B' F L2 U' B2 F2 D'
B' F L2 U' B2 F2 D2
D' B D F' L2 D R2
F' B L2 R D L2 R2
F' B L2 R D R2 L2
F' B L2 R' D L2 R2
F' B L2 R' D R2 L2
B' F L2 D' L2 R2 U'
B' F L2 D' R2 L2 U'
B F L B2 U' F2 B2
F' B L2 R2 D L2 R2
B F L B2 U' B2 F2
F' B L2 R2 D R2 L2
F' B L2 U F2 B2 U'
F' B L2 U B2 F2 U'
F' B L2 D L2 R2 D
F' B L2 D L2 R2 D'
F' B L2 D L2 R2 D2
F' B L2 D R2 L2 D
F' B L2 D R2 L2 D'
F' B L2 D R2 L2 D2
F B L F2 D L2 R2
F B L F2 D R2 L2
B' F R L U' F2 B2
B' F R L U' B2 F2
F B L B2 U' F2 B2
F B L B2 U' B2 F2
B' F R L' U' F2 B2
B' F R L' U' B2 F2
B' F R L2 U' F2 B2
B' F R L2 U' B2 F2
U2 B D F' L2 D R2
B' F R U' F2 B2 D
B' F R U' F2 B2 D'
B' F R U' F2 B2 D2
B F L' F2 D L2 R2
B F L' F2 D R2 L2
B' F R U' B2 F2 D
B' F R U' B2 F2 D'
B' F R U' B2 F2 D2
F' B R L D L2 R2
F' B R L D R2 L2
F' B R L' D L2 R2
F' B R L' D R2 L2
B' F R D' L2 R2 U'
B' F R D' R2 L2 U'
B F L' B2 U' F2 B2
B F L' B2 U' B2 F2
F' B R L2 D L2 R2
F' B R L2 D R2 L2
F' B R U F2 B2 U'
F' B R U B2 F2 U'
F' B R D L2 R2 D
F' B R D L2 R2 D'
F' B R D L2 R2 D2
F' B R D R2 L2 D
F' B R D R2 L2 D'
F' B R D R2 L2 D2
D B D F' L2 D R2
F B L' F2 D L2 R2
F B L' F2 D R2 L2
B' F R' L U' F2 B2
B' F R' L U' B2 F2
F B L' B2 U' F2 B2
F B L' B2 U' B2 F2
B' F R' L' U' F2 B2
B' F R' L' U' B2 F2
B' F R' L2 U' F2 B2
B' F R' L2 U' B2 F2
L2 B D' F' R2 D' L2
B F L2 F2 D L2 R2
B F L2 F2 D R2 L2
B' F R' U' F2 B2 D
B' F R' U' F2 B2 D'
B' F R' U' F2 B2 D2
B' F R' U' B2 F2 D
B' F R' U' B2 F2 D'
B' F R' U' B2 F2 D2
F' B R' L D L2 R2
F' B R' L D R2 L2
U B D F' L2 D R2
F' B R' L' D L2 R2
F' B R' L' D R2 L2
B' F R' D' L2 R2 U'
B' F R' D' R2 L2 U'
B F L2 B2 U' F2 B2
B F L2 B2 U' B2 F2
F' B R' L2 D L2 R2
F' B R' L2 D R2 L2
F' B R' U F2 B2 U'
F' B R' U B2 F2 U'
F' B R' D L2 R2 D
F' B R' D L2 R2 D'
F' B R' D L2 R2 D2
F' B R' D R2 L2 D
F' B R' D R2 L2 D'
F' B R' D R2 L2 D2
F B L2 F2 D L2 R2
F B L2 F2 D R2 L2
F B L2 B2 U' F2 B2
F B L2 B2 U' B2 F2
B' F R2 L U' F2 B2
B' F R2 L U' B2 F2
B' F R2 L' U' F2 B2
B' F R2 L' U' B2 F2
B' F R2 L2 U' F2 B2
B' F R2 L2 U' B2 F2
U' B F' L D L2 R2
U' B F' L D R2 L2
U' B F' L' D L2 R2
U' B F' L' D R2 L2
B' F R2 U' F2 B2 D
B' F R2 U' F2 B2 D'
B' F R2 U' F2 B2 D2
B F R F2 D L2 R2
B F R F2 D R2 L2
B' F R2 U' B2 F2 D
B' F R2 U' B2 F2 D'
B' F R2 U' B2 F2 D2
U' B F' L2 D L2 R2
U' B F' L2 D R2 L2
F' B R2 L D L2 R2
F' B R2 L D R2 L2
U' B F' R D L2 R2
U' B F' R D R2 L2
F' B R2 L' D L2 R2
F' B R2 L' D R2 L2
B' F R2 D' L2 R2 U'
D2 B F' L D L2 R2
U' B F' R' D L2 R2
D2 B F' L D R2 L2
U' B F' R' D R2 L2
B' F R2 D' R2 L2 U'
F' B R2 L2 D L2 R2
F' B R2 L2 D R2 L2
B F R B2 U' F2 B2
B F R B2 U' B2 F2
U' B F' R2 D L2 R2
U' B F' R2 D R2 L2
D2 B F' L' D L2 R2
D2 B F' L' D R2 L2
D' B F' L D L2 R2
D' B F' L D R2 L2
F' B R2 U F2 B2 U'
D2 B F' L2 D L2 R2
D2 B F' L2 D R2 L2
D' B F' L' D L2 R2
D' B F' L' D R2 L2
F' B R2 U B2 F2 U'
U' B F' U F2 B2 U'
U' B F' U B2 F2 U'
D2 B F' R D L2 R2
D2 B F' R D R2 L2
D' B F' L2 D L2 R2
D' B F' L2 D R2 L2
D2 B F' R' D L2 R2
D2 B F' R' D R2 L2
D' B F' R D L2 R2
D' B F' R D R2 L2
F' B R2 D L2 R2 D
F' B R2 D L2 R2 D'
F' B R2 D L2 R2 D2
F' B R2 D R2 L2 D
F' B R2 D R2 L2 D'
F' B R2 D R2 L2 D2
U' B F' D L2 R2 D
U' B F' D L2 R2 D'
U' B F' D L2 R2 D2
U' B F' D R2 L2 D
U' B F' D R2 L2 D'
U' B F' D R2 L2 D2
D2 B F' R2 D L2 R2
D2 B F' R2 D R2 L2
D' B F' R' D L2 R2
F B R F2 D L2 R2
D' B F' R' D R2 L2
F B R F2 D R2 L2
D' B F' R2 D L2 R2
D' B F' R2 D R2 L2
D2 B F' U F2 B2 U'
D2 B F' U B2 F2 U'
D' B F' U F2 B2 U'
D' B F' U B2 F2 U'
F B R B2 U' F2 B2
F B R B2 U' B2 F2
D2 B F' D L2 R2 D
D2 B F' D L2 R2 D'
D2 B F' D L2 R2 D2
D2 B F' D R2 L2 D
D2 B F' D R2 L2 D'
D2 B F' D R2 L2 D2
D' B F' D L2 R2 D
D' B F' D L2 R2 D'
D' B F' D L2 R2 D2
D' B F' D R2 L2 D
D' B F' D R2 L2 D'
D' B F' D R2 L2 D2
B F R' F2 D L2 R2
B F R' F2 D R2 L2
U2 B F' L D L2 R2
U2 B F' L D R2 L2
L2 B F' L D' L2 R2
L2 B F' L D' R2 L2
U2 B F' L' D L2 R2
U2 B F' L' D R2 L2
L2 B F' L' D' L2 R2
L2 B F' L' D' R2 L2
U2 B F' L2 D L2 R2
U2 B F' L2 D R2 L2
L2 B F' L2 D' L2 R2
L2 B F' L2 D' R2 L2
B F R' B2 U' F2 B2
B F R' B2 U' B2 F2
L2 B F' R D' L2 R2
L2 B F' R D' R2 L2
U2 B F' R D L2 R2
U2 B F' R D R2 L2
B' F U D2 F2 B2 U2
B' F U D2 B2 F2 U2
L2 B F' R' D' L2 R2
L2 B F' R' D' R2 L2
B' F U F U2 F B2
B' F U F U2 B2 F
U2 B F' R' D L2 R2
U2 B F' R' D R2 L2
L2 B F' R2 D' L2 R2
L2 B F' R2 D' R2 L2
B' F U F' U2 F' B2
B' F U F' U2 B2 F'
U2 B F' R2 D L2 R2
U2 B F' R2 D R2 L2
U2 B F' U F2 B2 U'
U2 B F' U B2 F2 U'
F B R' F2 D L2 R2
F B R' F2 D R2 L2
B' F U B U2 F2 B
B' F U B U2 B F2
L2 B F' U' F2 B2 U
L2 B F' U' B2 F2 U
B' F U B' U2 F2 B'
B' F U B' U2 B' F2
U2 B F' D L2 R2 D
U2 B F' D L2 R2 D'
U2 B F' D L2 R2 D2
U2 B F' D R2 L2 D
U2 B F' D R2 L2 D'
U2 B F' D R2 L2 D2
D B F' L D L2 R2
D B F' L D R2 L2
F B R' B2 U' F2 B2
F B R' B2 U' B2 F2
L2 B F' D' L2 R2 D
L2 B F' D' L2 R2 D'
L2 B F' D' L2 R2 D2
L2 B F' D' R2 L2 D
L2 B F' D' R2 L2 D'
L2 B F' D' R2 L2 D2
D B F' L' D L2 R2
D B F' L' D R2 L2
B' F U' L B2 L' F2
B' F U' L' F2 L B2
D B F' L2 D L2 R2
D B F' L2 D R2 L2
F' B U F2 U' D L2
F' B U F2 D U' L2
F' B U F2 B2 U' D
F' B U F2 B2 U' D'
F' B U F2 B2 U' D2
F' B U F2 B2 D U'
F' B U F2 B2 D' U'
F' B U F2 B2 D2 U'
B' F U' L2 F2 L2 B2
B' F U' L2 F2 B2 L2
D B F' R D L2 R2
D B F' R D R2 L2
B' F U' L2 B2 L2 F2
B' F U' L2 B2 F2 L2
B' F U' R F2 R' B2
D B F' R' D L2 R2
D B F' R' D R2 L2
B F R2 F2 D L2 R2
B F R2 F2 D R2 L2
D B F' R2 D L2 R2
D B F' R2 D R2 L2
B' F U' R' B2 R F2
R2 B F' U' F2 B2 U'
F' B U B2 U' D R2
R2 B F' U' B2 F2 U'
F' B U B2 D U' R2
F' B U B2 F2 U' D
F' B U B2 F2 U' D'
F' B U B2 F2 U' D2
F' B U B2 F2 D U'
F' B U B2 F2 D' U'
F' B U B2 F2 D2 U'
R2 B F' U2 D L2 R2
R2 B F' U2 D R2 L2
B' F U' R2 F2 R2 B2
B' F U' R2 F2 B2 R2
B' F U' R2 B2 R2 F2
B' F U' R2 B2 F2 R2
D B F' U F2 B2 U'
F2 B U F' B2 U' F2
D B F' U B2 F2 U'
R2 B F' D U2 L2 R2
R2 B F' D U2 R2 L2
B F R2 B2 U' F2 B2
B F R2 B2 U' B2 F2
R2 B F' D' L2 R2 U2
R2 B F' D' R2 L2 U2
D B F' D L2 R2 D
D B F' D L2 R2 D'
D B F' D L2 R2 D2
D B F' D R2 L2 D
D B F' D R2 L2 D'
D B F' D R2 L2 D2
U B F' L D L2 R2
U B F' L D R2 L2
B' F U' F B2 D F
B' F U' F B2 D' F
B' F U' F B2 D2 F
F2 B U B2 F' U' F2
U B F' L' D L2 R2
U B F' L' D R2 L2
B' F U' F' B2 D F'
B' F U' F' B2 D' F'
B' F U' F' B2 D2 F'
B' F U' F2 L B2 L'
B' F U' F2 L2 B2 L2
B' F U' F2 R' B2 R
B' F U' F2 R2 B2 R2
B' F U' F2 B D B
B' F U' F2 B D' B
B' F U' F2 B D2 B
B' F U' F2 B' D B'
B' F U' F2 B' D' B'
B' F U' F2 B' D2 B'
U B F' L2 D L2 R2
U B F' L2 D R2 L2
F B R2 F2 D L2 R2
F B R2 F2 D R2 L2
B' F U' B F2 D B
B' F U' B F2 D' B
B' F U' B F2 D2 B
U B F' R D L2 R2
U B F' R D R2 L2
B' F U' B' F2 D B'
B' F U' B' F2 D' B'
B' F U' B' F2 D2 B'
U B F' R' D L2 R2
U B F' R' D R2 L2
B' F U' B2 L' F2 L
B' F U' B2 L2 F2 L2
B' F U' B2 R F2 R'
F' B U' D2 F2 B2 U
B' F U' B2 R2 F2 R2
F' B U' D2 B2 F2 U
B' F U' B2 F D F
B' F U' B2 F D' F
B' F U' B2 F D2 F
B' F U' B2 F' D F'
B' F U' B2 F' D' F'
B' F U' B2 F' D2 F'
U B F' R2 D L2 R2
U B F' R2 D R2 L2
F B R2 B2 U' F2 B2
F B R2 B2 U' B2 F2
B' F U2 L U F2 B2
B' F U2 L U B2 F2
B' F U2 L' U F2 B2
B' F U2 L' U B2 F2
U B F' U F2 B2 U'
U B F' U B2 F2 U'
B' F U2 L2 U F2 B2
B' F U2 L2 U B2 F2
B' F U2 R U F2 B2
B' F U2 R U B2 F2
U B F' D L2 R2 D
U B F' D L2 R2 D'
U B F' D L2 R2 D2
U B F' D R2 L2 D
U B F' D R2 L2 D'
U B F' D R2 L2 D2
B' F U2 R' U F2 B2
B' F U2 R' U B2 F2
B' F U2 R2 U F2 B2
B' F U2 R2 U B2 F2
B2 F U' F2 B' D L2
B' F U2 D L2 R2 U
B' F U2 D R2 L2 U
B2 F U' B' F2 D L2
F' B U2 D' L2 R2 U2
F' B U2 D' R2 L2 U2
F' B D L R2 D L
F' B D L R2 D' L
F' B D L R2 D2 L
F' B D L' R2 D L'
F' B D L' R2 D' L'
F' B D L' R2 D2 L'
F' B D L2 R D R
F' B D L2 R D' R
F' B D L2 R D2 R
F' B D L2 R' D R'
F' B D L2 R' D' R'
F' B D L2 R' D2 R'
B' F D U2 L2 R2 U
B' F D U2 R2 L2 U
F' B D L2 F' R2 F
F' B D L2 F2 R2 F2
F' B D L2 B R2 B'
F' B D L2 B2 R2 B2
F' B D R L2 D R
F' B D R L2 D' R
F' B D R L2 D2 R
F' B D R' L2 D R'
F' B D R' L2 D' R'
F' B D R' L2 D2 R'
F' B D R2 L D L
F' B D R2 L D' L
F' B D R2 L D2 L
F' B D R2 L' D L'
F' B D R2 L' D' L'
F' B D R2 L' D2 L'
F' B D R2 F L2 F'
F' B D R2 F2 L2 F2
F' B D R2 B' L2 B
F' B D R2 B2 L2 B2
F' B D F L2 F' R2
F' B D F' R2 F L2
F' B D F2 L2 R2 F2
F' B D F2 L2 F2 R2
F' B D F2 R2 L2 F2
F' B D F2 R2 F2 L2
B' F D' L2 R2 U' D
B' F D' L2 R2 U' D'
B' F D' L2 R2 U' D2
B' F D' L2 R2 D U'
B' F D' L2 R2 D' U'
B' F D' L2 R2 D2 U'
B' F D' L2 U' D B2
B' F D' L2 D U' B2
F' B D B R2 B' L2
F' B D B' L2 B R2
F2 B D F L2 D R2
F' B D B2 L2 R2 B2
F' B D B2 L2 B2 R2
F' B D B2 R2 L2 B2
F' B D B2 R2 B2 L2
B' F D' R2 L2 U' D
B' F D' R2 L2 U' D'
B' F D' R2 L2 U' D2
B' F D' R2 L2 D U'
B' F D' R2 L2 D' U'
B' F D' R2 L2 D2 U'
B' F D' R2 U' D F2
B' F D' R2 D U' F2
R' B' R F U' F2 B
R' B' R F U' B F2
F' B D' U2 L2 R2 U2
F' B D' U2 R2 L2 U2
B2 F D' B L2 U' B2
F' B D2 L D' L2 R2
F' B D2 L D' R2 L2
B' F D2 U F2 B2 U2
B' F D2 U B2 F2 U2
F' B D2 L' D' L2 R2
F' B D2 L' D' R2 L2
F' B D2 L2 D' L2 R2
F' B D2 L2 D' R2 L2
F' B D2 R D' L2 R2
F' B D2 R D' R2 L2
F' B D2 R' D' L2 R2
F' B D2 R' D' R2 L2
F' B D2 R2 D' L2 R2
F' B D2 R2 D' R2 L2
F' B D2 U' F2 B2 U
F' B D2 U' B2 F2 U
B' F' L F2 U' F2 B2
B' F' L F2 U' B2 F2
B' F' L B2 D L2 R2
B' F' L B2 D R2 L2
F' B' L F2 U' F2 B2
F' B' L F2 U' B2 F2
F' B' L B2 D L2 R2
F' B' L B2 D R2 L2
B F' L R D L2 R2
B F' L R D R2 L2
B F' L R' D L2 R2
B F' L R' D R2 L2
B F' L R2 D L2 R2
B F' L R2 D R2 L2
B' F' L' F2 U' F2 B2
B' F' L' F2 U' B2 F2
B F' L U F2 B2 U'
B F' L U B2 F2 U'
B F' L D L2 R2 D
B F' L D L2 R2 D'
B F' L D L2 R2 D2
B' F' L' B2 D L2 R2
B' F' L' B2 D R2 L2
B F' L D R2 L2 D
B F' L D R2 L2 D'
B F' L D R2 L2 D2
F B' L R U' F2 B2
F B' L R U' B2 F2
F' B' L' F2 U' F2 B2
F' B' L' F2 U' B2 F2
F B' L R' U' F2 B2
F B' L R' U' B2 F2
F B' L R2 U' F2 B2
F B' L R2 U' B2 F2
F' B' L' B2 D L2 R2
F' B' L' B2 D R2 L2
F B' L U' F2 B2 D
F B' L U' F2 B2 D'
F B' L U' F2 B2 D2
F B' L U' B2 F2 D
F B' L U' B2 F2 D'
F B' L U' B2 F2 D2
R B' R' F U' F2 B
R B' R' F U' B F2
U' B' U' F' B2 D R2
F B' L D' L2 R2 U'
B F' L' R D L2 R2
B F' L' R D R2 L2
F B' L D' R2 L2 U'
B F' L' R' D L2 R2
B F' L' R' D R2 L2
L2 B' U F' B2 D' L2
B F' L' R2 D L2 R2
B F' L' R2 D R2 L2
B' F' L2 F2 U' F2 B2
B' F' L2 F2 U' B2 F2
U' B' U' B2 F' D R2
D2 B' U' F' B2 D R2
B F' L' U F2 B2 U'
B F' L' U B2 F2 U'
D' B' U' F' B2 D R2
L2 B' U B2 F' D' L2
B' F' L2 B2 D L2 R2
B F' L' D L2 R2 D
B F' L' D L2 R2 D'
B F' L' D L2 R2 D2
B' F' L2 B2 D R2 L2
B F' L' D R2 L2 D
B F' L' D R2 L2 D'
B F' L' D R2 L2 D2
D2 B' U' B2 F' D R2
F B' L' R U' F2 B2
F B' L' R U' B2 F2
F' B' L2 F2 U' F2 B2
F' B' L2 F2 U' B2 F2
D' B' U' B2 F' D R2
F B' L' R' U' F2 B2
F B' L' R' U' B2 F2
F B' L' R2 U' F2 B2
F B' L' R2 U' B2 F2
F' B' L2 B2 D L2 R2
F' B' L2 B2 D R2 L2
F B' L' U' F2 B2 D
F B' L' U' F2 B2 D'
F B' L' U' F2 B2 D2
F B' L' U' B2 F2 D
F B' L' U' B2 F2 D'
F B' L' U' B2 F2 D2
F B' L' D' L2 R2 U'
B F' L2 R D L2 R2
B F' L2 R D R2 L2
F B' L' D' R2 L2 U'
B F' L2 R' D L2 R2
B F' L2 R' D R2 L2
U2 B' U' F' B2 D R2
B F' L2 R2 D L2 R2
B F' L2 R2 D R2 L2
B' F' R F2 U' F2 B2
B' F' R F2 U' B2 F2
B F' L2 U F2 B2 U'
B F' L2 U B2 F2 U'
B' F' R B2 D L2 R2
B' F' R B2 D R2 L2
B F' L2 D L2 R2 D
B F' L2 D L2 R2 D'
B F' L2 D L2 R2 D2
U2 B' U' B2 F' D R2
B F' L2 D R2 L2 D
B F' L2 D R2 L2 D'
B F' L2 D R2 L2 D2
B2 F' R D R2 B' L
B2 F' R D B' L R2
B2 F' R D B' R2 L
F B' L2 R U' F2 B2
F B' L2 R U' B2 F2
F' B' R F2 U' F2 B2
F' B' R F2 U' B2 F2
F B' L2 R' U' F2 B2
F B' L2 R' U' B2 F2
F B' L2 R2 U' F2 B2
F B' L2 R2 U' B2 F2
F' B' R B2 D L2 R2
F' B' R B2 D R2 L2
D B' U' F' B2 D R2
F B' L2 U' F2 B2 D
F B' L2 U' F2 B2 D'
F B' L2 U' F2 B2 D2
F B' L2 U' B2 F2 D
F B' L2 U' B2 F2 D'
F B' L2 U' B2 F2 D2
B F' R L D L2 R2
B F' R L D R2 L2
F B' L2 D' L2 R2 U'
F B' L2 D' R2 L2 U'
B F' R L' D L2 R2
B F' R L' D R2 L2
D B' U' B2 F' D R2
B F' R L2 D L2 R2
B F' R L2 D R2 L2
B' F' R' F2 U' F2 B2
B' F' R' F2 U' B2 F2
B F' R U F2 B2 U'
B F' R U B2 F2 U'
B' F' R' B2 D L2 R2
B' F' R' B2 D R2 L2
B F' R D L2 R2 D
B F' R D L2 R2 D'
B F' R D L2 R2 D2
B F' R D R2 L2 D
B F' R D R2 L2 D'
B F' R D R2 L2 D2
U B' U' F' B2 D R2
F B' R L U' F2 B2
F B' R L U' B2 F2
F' B' R' F2 U' F2 B2
F' B' R' F2 U' B2 F2
F B' R L' U' F2 B2
F B' R L' U' B2 F2
F B' R L2 U' F2 B2
F B' R L2 U' B2 F2
U B' U' B2 F' D R2
U' B' D' F R2 U' F2
F' B' R' B2 D L2 R2
F' B' R' B2 D R2 L2
F B' R U' F2 B2 D
F B' R U' F2 B2 D'
F B' R U' F2 B2 D2
F B' R U' B2 F2 D
F B' R U' B2 F2 D'
F B' R U' B2 F2 D2
L2 B' D F L2 U F2
