R2 U' F' U' F2
R2 U2 F D R2
R2 L' U' F' L' U'
L' R2 U' F' L' U'
L2 R2 B' U' F' U'
R2 L2 B' U' F' U'
R2 U R U F R
R2 U R2 B U F
R2 U' D F' U' F2
R2 U' D' F' U' F2
R2 U' D2 F' U' F2
R2 U' F' L U' F2
R2 U' F' L' U' F2
R2 U' F' L2 U' F2
R2 U' F' U' F2 D
R2 U' F' U' F2 D'
R2 U' F' U' F2 D2
R2 U' F' D' L2 U'
R2 U2 D F D R2
R2 U2 D' F D R2
R2 U2 D2 F D R2
R2 U2 F R D R2
R2 U2 F R' D R2
R2 U2 F R2 D R2
R2 U2 F U F2 U'
R2 U2 F D R2 D
R2 U2 F D R2 D'
R2 U2 F D R2 D2
B' R2 U B2 U F
B2 R2 U B' U F
B' R2 U2 D' R2 F
B' R2 U2 D' F R2
B' R2 U2 F D' R2
B' R2 D L2 B' U2
B' R2 D' U2 R2 F
B' R2 D' U2 F R2
R2 D U' F' U' F2
R2 D U2 F D R2
D' U F2 B U F'
D2 U B U F L2
D' U B F2 U F'
R2 D' U' F' U' F2
R2 D' U2 F D R2
U D' F2 B U F'
U D' B F2 U F'
R2 D2 U' F' U' F2
R2 D2 U2 F D R2
U D2 B U F L2
R2 B U' F' U' F2
U B U D2 F L2
R2 B U2 F D R2
U B U F D2 L2
U B U' R2 U2 F
U B D' F2 U F'
U B D2 U F L2
L2 B' R2 U B2 U
L2 B' R2 U2 D' R2
L2 B' R2 D L2 U2
L2 B' R2 D' U2 R2
R2 B' U' F' U' F2
R2 B' U2 F D R2
R2 B2 U' F' U' F2
R2 B2 U2 F D R2
F D2 L2 B' D' R2 B
D' F2 B U D2 F' B2
D' F2 B U D2 B2 F'
D' F2 B U' F2 U2 F
D' F2 B D' L2 U F'
D' F2 B D2 U F' B2
D' F2 B D2 U B2 F'
U F2 D' F2 B U F
U F2 D' B F2 U F
U F2 D2 B U L2 F'
U F2 D2 B U F' L2
U F2 B U D2 L2 F'
U F2 B U D2 F' L2
U F2 B U F' D2 L2
U F2 B U' R2 B U2
B2 D2 U B' U F L2
U F2 B D' F2 U F
B' D2 U' F2 U' L2 F'
B' D2 U' F2 U' F' L2
U F2 B D2 U L2 F'
U F2 B D2 U F' L2
B D2 U F L2 D' B2
R2 B L' U' F' L' U'
R2 B L2 B' U' F' U'
B D2 F' U L2 F2 B'
B D2 F' U L2 B' F2
U B R U F2 L' F'
U B R U' R U2 F
F2 D2 B U L2 F' B
F2 D2 B U L2 B F'
F2 D2 B U F' L2 B
F2 D2 B U F' B L2
F2 D2 B U B L2 F'
F2 D2 B U B F' L2
R B R U' F' U' F2
U B R F2 U L' F'
R B R U2 F D R2
U' B U R2 U2 R2 F
U' B U R2 U2 F R2
U B R' U' R' U2 F
D2 B U F L2 D' B2
L2 B R2 B2 U B2 U
L2 B R2 B2 U2 D' R2
L2 B R2 B2 D L2 U2
L2 B R2 B2 D' U2 R2
F2 D2 B2 L2 F' D R2
U2 B U D2 F B' L2
U2 B U D2 B' F L2
U2 B U F D2 B' L2
U2 B U F B' D2 L2
R2 B U R U F R
F D2 B' L2 D' R2 B
R2 B U R2 B U F
U2 B U B' D2 F L2
U2 B U B' F D2 L2
U2 B U' R2 U2 F B'
U2 B U' R2 U2 B' F
U B U L2 D2 L2 F
U B U D F D L2
U B U D2 F L2 D
U B U D2 F L2 D'
U B U D2 F L2 D2
U B U D2 F' L2 F2
U B U D2 F2 L2 F'
U B U F L D2 L2
U B U F L' D2 L2
U B U F L2 D2 L2
U B U F U2 R2 U2
R2 B U' D F' U' F2
U B U F D2 L2 D
U B U F D2 L2 D'
U B U F D2 L2 D2
R2 B U' D' F' U' F2
R2 B U' D2 F' U' F2
U B U F2 D2 L2 F'
U B U F2 D2 F' L2
R2 B U' F' L U' F2
R2 B U' F' L' U' F2
R2 B U' F' L2 U' F2
R2 B U' F' U' F2 D
R2 B U' F' U' F2 D'
R2 B U' F' U' F2 D2
R2 B U' F' D' L2 U'
U B U' R2 U2 D F
U B U' R2 U2 D' F
U B U' R2 U2 D2 F
U B U' R2 U2 F D
U B U' R2 U2 F D'
U B U' R2 U2 F D2
U B U' R2 D U2 F
U B U' R2 D' U2 F
U B U' R2 D2 U2 F
U B U' R2 B U2 F
U B U' R2 B' U2 F
U B U' R2 B2 U2 F
R2 B U2 D F D R2
R2 B U2 D' F D R2
R2 B U2 D2 F D R2
R2 B U2 F R D R2
R2 B U2 F R' D R2
R2 B U2 F R2 D R2
R2 B U2 F U F2 U'
R2 B U2 F D R2 D
R2 B U2 F D R2 D'
R2 B U2 F D R2 D2
U B U' B R2 U2 F
U B U' B' R2 U2 F
U B U' B2 R2 U2 F
D B U2 B U' F B'
D B U2 B U' B' F
U B U2 D B2 U' F
R2 B D U' F' U' F2
R2 B D U2 F D R2
U B D U F D L2
U2 B D' F2 U F' B'
U2 B D' F2 U B' F'
U B D U2 B2 U' F
R2 B D' U' F' U' F2
R2 B D' U2 F D R2
U2 B D2 U F B' L2
U2 B D2 U B' F L2
U B D' R F2 U F'
U B D' R' F2 U F'
U B D' R2 F2 U F'
R2 B D2 U' F' U' F2
U B D' F2 U D F'
U B D' F2 U D' F'
U B D' F2 U D2 F'
U B D' F2 U F' D
U B D' F2 U F' D'
U B D' F2 U F' D2
R2 B D2 U2 F D R2
U B D' F2 D U F'
U B D' F2 D' U F'
U B D' F2 D2 U F'
D2 B F' U L2 F2 B'
D2 B F' U L2 B' F2
U B D2 R U F L2
U B D2 R' U F L2
U B D2 R2 U F L2
U B D2 U F L2 D
U B D2 U F L2 D'
U B D2 U F L2 D2
U B D2 U F' L2 F2
U B D2 U F2 L2 F'
U B D2 F' U L2 F2
U B D2 F' U F2 L2
U B D2 F2 U L2 F'
U B D2 F2 U F' L2
D' B F2 U D2 F' B2
D' B F2 U D2 B2 F'
D' B F2 U' F2 U2 F
D' B F2 D' L2 U F'
D' B F2 D2 U F' B2
D' B F2 D2 U B2 F'
F2 B U D2 L2 F' B2
F2 B U D2 L2 B2 F'
F2 B U D2 F' L2 B2
F2 B U D2 F' B2 L2
F2 B U D2 B2 L2 F'
F2 B U D2 B2 F' L2
U B F D' F2 U F2
F' B U' R2 F U2 F
U B F' R U F2 L'
F' B U' F R2 U2 F
L2 B' L R2 U B2 U
L2 B' L R2 U2 D' R2
U B F' U F2 D2 L2
L2 B' L R2 D L2 U2
L2 B' L R2 D' U2 R2
F2 B U' R2 F2 B U2
F2 B U' R2 B F2 U2
U B F' U' R2 U2 F2
F2 B U' F2 R2 U2 F
U B F2 U D2 L2 F'
U B F2 U D2 F' L2
U B F2 U F' D2 L2
U B F2 U' R2 B U2
L2 B' L' R2 U B2 U
L2 B' L' R2 U2 D' R2
L2 B' L' R2 D L2 U2
L2 B' L' R2 D' U2 R2
U B F2 D' F2 U F
U B F2 D2 U L2 F'
U B F2 D2 U F' L2
R2 B' L' U' F' L' U'
L2 B' L2 R2 U B2 U
L2 B' L2 R2 U2 D' R2
L2 B' L2 R2 D L2 U2
L2 B' L2 R2 D' U2 R2
B' F D' R2 D' L2 B
B' F D' R2 D' B L2
B' F D' R2 B D' L2
F2 B D' L2 F2 U F
B' F D2 L2 D R2 B
L2 B' R D L2 R U2
L2 B' R D R L2 U2
R2 B' L2 B' U' F' U'
L2 B' R D' R U2 R
F2 B D2 U L2 F' B2
F2 B D2 U L2 B2 F'
F2 B D2 U F' L2 B2
F2 B D2 U F' B2 L2
L2 B' R' U B2 U L
F2 B D2 U B2 L2 F'
F2 B D2 U B2 F' L2
L2 B' R' D L2 R' U2
L2 B' R' D R' L2 U2
L2 B' R' D' R' U2 R'
L2 B' R2 L U B2 U
L2 B' R2 L U2 D' R2
L2 B' R2 L D L2 U2
L2 B' R2 L D' U2 R2
L2 B' R2 L' U B2 U
L2 B' R2 L' U2 D' R2
L2 B' R2 L' D L2 U2
L2 B' R2 L' D' U2 R2
L2 B' R2 L2 U B2 U
L2 B' R2 L2 U2 D' R2
L2 B' R2 L2 D L2 U2
L2 B' R2 L2 D' U2 R2
R B' R U' F' U' F2
R B' R U2 F D R2
L2 B' R2 U B2 U D
L2 B' R2 U B2 U D'
L2 B' R2 U B2 U D2
L2 B' R2 U B2 D U
L2 B' R2 U B2 D' U
L2 B' R2 U B2 D2 U
L2 B' R2 U' D2 F2 U'
L2 B' R2 U2 R D' R2
L2 B' R2 U2 R' D' R2
L2 B' R2 U2 R2 D' R2
L2 B' R2 U2 D' R2 D
L2 B' R2 U2 D' R2 D'
L2 B' R2 U2 D' R2 D2
L2 B' R2 D L2 U2 D
L2 B' R2 D L2 U2 D'
L2 B' R2 D L2 U2 D2
L2 B' R2 D L2 D U2
L2 B' R2 D L2 D' U2
L2 B' R2 D L2 D2 U2
L2 B' R2 D' L U2 R2
L2 B' R2 D' L' U2 R2
L2 B' R2 D' L2 U2 R2
L2 B' R2 D' U2 R2 D
L2 B' R2 D' U2 R2 D'
L2 B' R2 D' U2 R2 D2
L2 B' R2 D2 U' F2 U'
D' B' U F2 B2 U F'
D2 B' U B2 U F L2
D' B' U B2 F2 U F'
U B' R' B2 U F L
L2 B' U D' F2 U R2
R2 B' U R U F R
R2 B' U R2 B U F
L2 B' U B2 U D2 L2
L2 B' U B2 U' R2 U2
L2 B' U B2 D' F2 U
L2 B' U B2 D2 U L2
L2 B' U' D2 F2 U' L2
D2 B' U2 F L2 D' R2
D' B' U2 D' R2 F L2
D' B' U2 D' F L2 R2
D' B' U2 D' F R2 L2
R2 B' U' D F' U' F2
R2 B' U' D' F' U' F2
R2 B' U' D2 F' U' F2
R2 B' U' F' L U' F2
R2 B' U' F' L' U' F2
R2 B' U' F' L2 U' F2
R2 B' U' F' U' F2 D
R2 B' U' F' U' F2 D'
R2 B' U' F' U' F2 D2
R2 B' U' F' D' L2 U'
D' B' D L2 R2 B' U2
D' B' D L2 B' R2 U2
L2 B' U2 D' R2 D' L2
L2 B' U2 D2 L2 D R2
D' B' D R2 L2 B' U2
R2 B' U2 D F D R2
R2 B' U2 D' F D R2
R2 B' U2 D2 F D R2
R2 B' U2 F R D R2
R2 B' U2 F R' D R2
R2 B' U2 F R2 D R2
R2 B' U2 F U F2 U'
L2 B' D L2 U' B2 U'
L2 B' D L2 U2 D L2
R2 B' U2 F D R2 D
R2 B' U2 F D R2 D'
R2 B' U2 F D R2 D2
L2 B' D L2 D U2 L2
L2 B' D L2 D' R2 U2
D' B' D' U2 R2 F L2
D' B' D' U2 F L2 R2
D' B' D' U2 F R2 L2
D' B' D' F L2 R2 B
D' B' D' F R2 L2 B
D' B' D' F R2 B L2
R2 B' D U' F' U' F2
R2 B' D U2 F D R2
L2 B' D' U F2 U R2
U' B' D2 F2 U' L2 F'
U' B' D2 F2 U' F' L2
L2 B' D' U2 R2 D' L2
R2 B' D' U' F' U' F2
R2 B' D' U2 F D R2
D2 B' F L2 D' R2 B
L2 B' D2 U' F2 U' L2
L2 B' D2 U2 L2 D R2
R2 B' D2 U' F' U' F2
R2 B' D2 U2 F D R2
U B' D' F2 U F' R2
B F' U' R2 F U2 F
B F' U' F R2 U2 F
R2 B2 L' U' F' L' U'
F B' D' R2 D' L2 B
F B' D' R2 D' B L2
F B' D' R2 B D' L2
F B' D2 L2 D R2 B
R2 B2 L2 B' U' F' U'
L' B2 R2 U B' R' U
L2 B2 R2 U B' U F'
R B2 R U' F' U' F2
R B2 R U2 F D R2
D2 B2 U B' U F L2
D' B2 U F2 B' U F'
D' B2 U B' F2 U F'
R2 B2 U R U F R
R2 B2 U R2 B U F
R2 B2 U' D F' U' F2
R2 B2 U' D' F' U' F2
R2 B2 U' D2 F' U' F2
R2 B2 U' F' L U' F2
R2 B2 U' F' L' U' F2
R2 B2 U' F' L2 U' F2
R2 B2 U' F' U' F2 D
R2 B2 U' F' U' F2 D'
R2 B2 U' F' U' F2 D2
R2 B2 U' F' D' L2 U'
R2 B2 U2 D F D R2
R2 B2 U2 D' F D R2
R2 B2 U2 D2 F D R2
R2 B2 U2 F R D R2
R2 B2 U2 F R' D R2
R2 B2 U2 F R2 D R2
R2 B2 U2 F U F2 U'
R2 B2 U2 F D R2 D
R2 B2 U2 F D R2 D'
R2 B2 U2 F D R2 D2
D B2 U2 B' U F B
D B2 U2 B' U B F
B F2 U D2 L2 F' B2
B F2 U D2 L2 B2 F'
B F2 U D2 F' L2 B2
B F2 U D2 F' B2 L2
B F2 U D2 B2 L2 F'
B F2 U D2 B2 F' L2
R2 B2 D U' F' U' F2
R2 B2 D U2 F D R2
B F2 U' R2 F2 B U2
B F2 U' R2 B F2 U2
B F2 U' F2 R2 U2 F
R2 B2 D' U' F' U' F2
R2 B2 D' U2 F D R2
R2 B2 D2 U' F' U' F2
R2 B2 D2 U2 F D R2
U B2 D' F2 B' U F'
U B2 D' B' F2 U F'
B F2 D' L2 F2 U F
U B2 D2 B' U F L2
B F2 D2 U L2 F' B2
B F2 D2 U L2 B2 F'
B F2 D2 U F' L2 B2
B F2 D2 U F' B2 L2
B F2 D2 U B2 L2 F'
B F2 D2 U B2 F' L2
