R' F2 L' U L
R' L U2 R U' L'
B2 L U' L' D' R2
B2 L U' D' L' R2
B2 L U' D' R2 L'
B2 L U2 B2 U L'
B2 L D' U' L' R2
B2 L D' U' R2 L'
R' L' U2 R U' L
L' R' U2 R U' L
L R' U2 R U' L'
L2 R' U2 R U' L2
L2 R' D F2 L' U
L' R' F2 L' U L2
R' L' F2 L' U L2
L2 R' F2 L' U L'
R' L2 U2 R U' L2
R' L2 D F2 L' U
R' L2 F2 L' U L'
U2 R' U' R U2 R'
R' U2 R U R' U2
R' U2 R B2 U' L
F' R' F2 L' U L
F2 R' F2 L' U L
D2 R' F2 L' U L
D' R' F2 L' U L
D R' F2 L' U L
F R' F2 L' U L
L2 D R' F2 L' U
R' D F2 L' U L
R' D' F2 L' U L
R2 D2 L2 R U L2
R2 D2 R L2 U L2
B' U' B R' U B'
B2 U' B2 R' U B2
R' D2 F2 L' U L
R' F' L U L' B'
B2 D' L U' L' R2
B2 D' L U' R2 L'
R' F2 L' U L D
R' F2 L' U L D'
R' F2 L' U L D2
R' F2 L' U D L
R' F2 L' U D' L
R' F2 L' U D2 L
R' F2 L' D U L
R' F2 L' D' U L
R' F2 L' D2 U L
R' F2 L' F U L
R' F2 L' F' U L
R' F2 L' F2 U L
R' F2 D L' U L
R' F2 D' L' U L
R' F2 D2 L' U L
B2 D2 F2 L U' L'
B2 D' L U' L' R2 D'
B2 D' L U' L' R2 D2
B2 D' L U' R2 L' D
B2 D' L U' R2 L' D'
B2 D' L U' R2 L' D2
B2 D' L U' R2 D L'
B2 D' L U' R2 D' L'
B2 D' L U' R2 D2 L'
B2 D' L B U' L' R2
B2 D' L B U' R2 L'
B2 D' L B' U' L' R2
B2 D' L B' U' R2 L'
R' F' D L U L' B'
B2 D' L B2 U' L' R2
B2 D' L B2 U' R2 L'
R' F' D F' L' U L
R' F' D' L U L' B'
L2 F' D R' F2 L' U
R' F' D' F' L' U L
R' F' D2 L U L' B'
R' F' D2 F' L' U L
F' D' R' F2 L' U L
F2 D' R' F2 L' U L
B2 D' R2 U L R2 U'
B2 D' R2 U R2 L U'
F D' R' F2 L' U L
R' F2 L U D' L' B2
R' F2 L U D' B2 L'
R' F2 L D' U L' B2
R' F2 L D' U B2 L'
R' F2 L' U L2 D L'
R' F2 L' U L2 D' L'
R' F2 L' U L2 D2 L'
R' F2 L' U D L D
R' F2 L' U D L D'
R' F2 L' U D L D2
R' F2 L' U D' L D
R' F2 L' U D' L D'
R' F2 L' U D' L D2
R' F2 L' U D2 L D
R' F2 L' U D2 L D'
R' F2 L' U D2 L D2
R' F2 L' U F L F'
R' F2 L' U F2 L F2
R' F2 L' U' R U2 L
R' F2 L' U' R' U2 L
R' F2 L' U' R2 U2 L
R' F2 L' D U L D
R' F2 L' D U L D'
R' F2 L' D U L D2
R' F2 L' D F U L
R' F2 L' D F' U L
R' F2 L' D F2 U L
R' F2 L' D' U L D
R' F2 L' D' U L D'
R' F2 L' D' U L D2
R' F2 L' D' F U L
R' F2 L' D' F' U L
R' F2 L' D' F2 U L
R' F2 L' D2 U L D
R' F2 L' D2 U L D'
R' F2 L' D2 U L D2
R' F2 L' D2 F U L
R' F2 L' D2 F' U L
R' F2 L' D2 F2 U L
R' F2 L' F U L D
R' F2 L' F U L D'
R' F2 L' F U L D2
R' F2 L' F U D L
R' F2 L' F U D' L
R' F2 L' F U D2 L
R' F2 L' F D U L
R' F2 L' F D' U L
R' F2 L' F D2 U L
R' F2 L' F' U L D
R' F2 L' F' U L D'
R' F2 L' F' U L D2
R' F2 L' F' U D L
R' F2 L' F' U D' L
R' F2 L' F' U D2 L
R' F2 L' F' D U L
R' F2 L' F' D' U L
R' F2 L' F' D2 U L
R' F2 L' F2 U L D
R' F2 L' F2 U L D'
R' F2 L' F2 U L D2
R' F2 L' F2 U D L
R' F2 L' F2 U D' L
R' F2 L' F2 U D2 L
R' F2 L' F2 D U L
R' F2 L' F2 D' U L
R' F2 L' F2 D2 U L
B2 D' F L U' L' R2
B2 D' F L U' R2 L'
R' F2 L2 D L F2 U
R' F2 L2 D F2 L U
R' F2 L2 F L U L
R' F2 L2 F' L U L
R' F2 L2 F2 L U L
B2 D' F' L U' L' R2
B2 D' F' L U' R2 L'
B2 D' F2 L U' L' R2
B2 D' F2 L U' R2 L'
L' F2 R' U2 R U' L
D2 F2 R' F2 L' U L
D' F2 R' F2 L' U L
L' F2 R' F2 L' U L2
L2 F2 R' U2 R U' L2
U2 F2 R' U2 F2 U' L'
L2 F2 R' D F2 L' U
L2 F2 R' F2 L' U L'
U' F2 U R' F2 L' U
D F2 R' F2 L' U L
L F2 R' D' F2 L' U
R2 F2 U L' R2 U' R2
R2 F2 U R2 L' U' R2
R F2 R2 F2 L' U L
B2 D2 L U' L' D R2
B2 D2 L U' D L' R2
B2 D2 L U' D R2 L'
B2 D2 L D U' L' R2
B2 D2 L D U' R2 L'
B2 D2 L F2 U R U2
R' F2 D L' U L D
R' F2 D L' U L D'
R' F2 D L' U L D2
R' F2 D L' U D L
R' F2 D L' U D' L
R' F2 D L' U D2 L
R' F2 D L' D U L
R' F2 D L' D' U L
R' F2 D L' D2 U L
R' F2 D L' F U L
R' F2 D L' F' U L
R' F2 D L' F2 U L
B2 D2 L' F2 L2 U' L'
R' F2 D' L' U L D
R' F2 D' L' U L D'
R' F2 D' L' U L D2
R' F2 D' L' U D L
R' F2 D' L' U D' L
R' F2 D' L' U D2 L
R' F2 D' L' D U L
R' F2 D' L' D' U L
R' F2 D' L' D2 U L
R' F2 D' L' F U L
R' F2 D' L' F' U L
R' F2 D' L' F2 U L
L2 F2 D R' F2 L' U
R' F2 D2 L' U L D
R' F2 D2 L' U L D'
R' F2 D2 L' U L D2
R' F2 D2 L' U D L
R' F2 D2 L' U D' L
R' F2 D2 L' U D2 L
R' F2 D2 L' D U L
R' F2 D2 L' D' U L
R' F2 D2 L' D2 U L
R' F2 D2 L' F U L
R' F2 D2 L' F' U L
R' F2 D2 L' F2 U L
F' D2 R' F2 L' U L
F2 D2 R' F2 L' U L
F D2 R' F2 L' U L
L2 B L U' L F R
B2 D2 F2 L U' L' D
B2 D2 F2 L U' L' D'
B2 D2 F2 L U' L' D2
B2 D2 F2 L U' D L'
B2 D2 F2 L U' D' L'
B2 D2 F2 L U' D2 L'
B2 D2 F2 L D U' L'
B2 D2 F2 L D' U' L'
B2 D2 F2 L D2 U' L'
B2 D2 F2 L B U' L'
B2 D2 F2 L B' U' L'
B2 D2 F2 L B2 U' L'
B2 D2 F2 D L U' L'
B2 D2 F2 D' L U' L'
L B L2 F U' L F
B2 D2 F2 D2 L U' L'
B2 F L U' L' D' R2
B2 F L U' D' L' R2
B2 F L U' D' R2 L'
B2 F L U2 B2 U L'
B2 F L D' U' L' R2
B2 F L D' U' R2 L'
L' B U2 B' U L F
B' F U' B R' U B'
B2 F U' B2 R' U B2
B2 F D' L U' L' R2
B2 F D' L U' R2 L'
B2 F D2 F2 L U' L'
B2 F' L U' L' D' R2
B2 F' L U' D' L' R2
B2 F' L U' D' R2 L'
B2 F' L U2 B2 U L'
B2 F' L D' U' L' R2
B2 F' L D' U' R2 L'
D2 B' U' B R' U B'
D' B' U' B R' U B'
D B' U' B R' U B'
L2 B' U2 B R' U L2
L B' U2 B R' U L'
B' F' U' B R' U B'
F' B' U' B R' U B'
F2 B' U' B R' U B'
B2 F' U' B2 R' U B2
D2 B2 L U' L' D' R2
D2 B2 L U' D' L' R2
D2 B2 L U' D' R2 L'
D2 B2 L U2 B2 U L'
D' B2 L U' L' D' R2
D' B2 L U' D' L' R2
D' B2 L U' D' R2 L'
F B' U' B R' U B'
D2 B2 L D' U' L' R2
D2 B2 L D' U' R2 L'
D' B2 L U2 B2 U L'
L' B2 L U2 B2 U L
D' B2 L D' U' L' R2
D' B2 L D' U' R2 L'
B2 F' D' L U' L' R2
B2 F' D' L U' R2 L'
L2 B2 L U' L D' R2
L2 B2 L U' D' L R2
L2 B2 L U' D' R2 L
U2 B2 L U2 L' U L
L2 B2 L D' U' L R2
L2 B2 L D' U' R2 L
L2 B2 L D2 F2 U' L
D B2 L U' L' D' R2
D B2 L U' D' L' R2
D B2 L U' D' R2 L'
D B2 L U2 B2 U L'
D B2 L D' U' L' R2
D B2 L D' U' R2 L'
L B2 L U' L2 D' R2
L B2 L U2 B2 U L2
B2 F' D2 F2 L U' L'
L B2 L D' B2 U' R2
R B2 L R2 B2 U L'
F' B2 L U' L' D' R2
F' B2 L U' D' L' R2
F' B2 L U' D' R2 L'
F' B2 L U2 B2 U L'
B2 F2 L U' L' D' R2
F' B2 L D' U' L' R2
B2 F2 L U' D' L' R2
F' B2 L D' U' R2 L'
B2 F2 L U' D' R2 L'
B2 F2 L U2 B2 U L'
F2 B2 L U' L' D' R2
F2 B2 L U' D' L' R2
F2 B2 L U' D' R2 L'
B2 F2 L D' U' L' R2
B2 F2 L D' U' R2 L'
F2 B2 L U2 B2 U L'
F2 B2 L D' U' L' R2
F2 B2 L D' U' R2 L'
R B2 L B2 R2 U L'
F B2 L U' L' D' R2
F B2 L U' D' L' R2
F B2 L U' D' R2 L'
F B2 L U2 B2 U L'
F B2 L D' U' L' R2
F B2 L D' U' R2 L'
D2 B2 U' B2 R' U B2
R B2 R2 L B2 U L'
D' B2 U' B2 R' U B2
L' B2 U2 B2 R' U L
D B2 U' B2 R' U B2
L2 B2 U2 B2 R' U L2
R B2 U' L R2 B2 U
D2 B2 D' L U' L' R2
D2 B2 D' L U' R2 L'
R B2 U' L B2 R2 U
B' F2 U' B R' U B'
D' B2 D' L U' L' R2
D' B2 D' L U' R2 L'
R B2 U' R2 L B2 U
F' B2 U' B2 R' U B2
L2 B2 D' L B2 U' R2
B2 F2 U' B2 R' U B2
F2 B2 U' B2 R' U B2
L B2 U2 B2 R' U L'
D2 B2 D2 F2 L U' L'
D B2 D' L U' L' R2
D B2 D' L U' R2 L'
D' B2 D2 F2 L U' L'
L B2 D' L U' L2 R2
L B2 D' L U' R2 L2
F B2 U' B2 R' U B2
F' B2 D' L U' L' R2
F' B2 D' L U' R2 L'
B2 F2 D' L U' L' R2
B2 F2 D' L U' R2 L'
F2 B2 D' L U' L' R2
F2 B2 D' L U' R2 L'
D B2 D2 F2 L U' L'
L B2 D2 L F2 U' L2
F' B2 D2 F2 L U' L'
F B2 D' L U' L' R2
F B2 D' L U' R2 L'
B2 F2 D2 F2 L U' L'
F2 B2 D2 F2 L U' L'
F B2 D2 F2 L U' L'
