U2 L2 D' R2 F
U2 L2 D' F R2
U2 L2 F D' R2
B' U B' U L2
L2 D' F R2 B
L2 F D' R2 B
R' U L2 F D' R2 B2
R' U L2 F D' B2 R2
U2 L2 F D2 R D R2
U2 L2 F D2 R' D R2
U2 L2 F D2 R2 D R2
U2 L2 F D2 U F2 U'
U L2 F R' D' R2 B2
U L2 F R' D' B2 R2
U L2 F R2 D' R2 B2
U L2 F R2 D' B2 R2
U L2 F U' L2 B2 U
F L2 F D' R2 D' B2
U L2 F U' B2 L2 U
F L2 F D2 B2 D R2
R2 U L2 D' R2 F B2
R2 U L2 D' R2 B2 F
R2 U L2 D' F R2 B2
R2 U L2 D' F B2 R2
R2 U L2 D' B2 R2 F
R2 U L2 D' B2 F R2
U L2 F D' R B2 R
U L2 F D' R2 B2 D
U L2 F D' R2 B2 D'
U L2 F D' R2 B2 D2
U L2 F D' B' R2 B'
U L2 F D' B2 R2 D
U L2 F D' B2 R2 D'
U L2 F D' B2 R2 D2
U2 L2 F' R F2 D' R2
R2 U L2 F D' R2 B2
R2 U L2 F D' B2 R2
U2 L2 F' R' F2 D' R2
U2 L2 F' R2 F2 D' R2
R U L2 D' R2 F B2
R U L2 D' R2 B2 F
R U L2 D' F R2 B2
R U L2 D' F B2 R2
R U L2 D' B2 R2 F
R U L2 D' B2 F R2
U2 L2 F' U' B2 U F2
R U L2 F D' R2 B2
R U L2 F D' B2 R2
U2 L2 F' D' R2 D F2
L' U R B2 U L' F
U2 L2 F2 R2 D' R2 F'
F' L2 F2 D' F' R2 B'
F' L2 F2 D' F' B' R2
F' L2 F2 D' B' F' R2
U2 L2 F2 U' B2 U F'
U2 L2 F2 D F' D2 R2
U2 L2 F2 D' F R2 F2
U2 L2 F2 D' F' R2 D
U2 L2 F2 D' F' R2 D'
U2 L2 F2 D' F' R2 D2
U2 L2 F2 D' F2 R2 F
L' U R' B2 U L' F
U L2 F2 D' F' R2 B2
U L2 F2 D' F' B2 R2
U L2 F2 D' B2 F' R2
D L2 B U F2 U F'
D L2 B U2 D' F L2
D L2 B D R2 U2 F
D L2 B D' U2 F L2
L' U R2 B2 U L' F
F' L2 B' U' B' U F
D L2 B' U F2 U F'
F' L2 B' F U' B' U
D L2 B' U2 D' F L2
D L2 B' D R2 U2 F
D L2 B' D' U2 F L2
D L2 B2 U F2 U F'
U L2 B2 L2 U L2 F
D L2 B2 U2 D' F L2
D L2 B2 D R2 U2 F
D L2 B2 D' U2 F L2
U2 R L D' L R2 F
U2 R L D' L F R2
U2 R L D' R2 L F
F' R L2 D' R2 F B'
F' R L2 D' R2 B' F
F' R L2 D' F R2 B'
F' R L2 D' F B' R2
F' R L2 D' B' R2 F
F' R L2 D' B' F R2
U2 R L2 U' B2 U F
F' R L2 F D' R2 B'
F' R L2 F D' B' R2
D R L2 U F2 U F'
U2 R L2 D F D2 R2
U2 R L2 D' R' F R'
U2 R L2 D' R2 D F
U2 R L2 D' R2 D' F
U2 R L2 D' R2 D2 F
U2 R L2 D' R2 F D
U2 R L2 D' R2 F D'
U2 R L2 D' R2 F D2
U2 R L2 D' F R2 D
U2 R L2 D' F R2 D'
U2 R L2 D' F R2 D2
U2 R L2 D' F' R2 F2
D R L2 U2 D' F L2
D R L2 D R2 U2 F
U2 R L2 F R D' R2
U2 R L2 F R' D' R2
U2 R L2 F R2 D' R2
U2 R L2 F U' B2 U
D R L2 D' U2 F L2
U2 R L2 F D' R2 D
U2 R L2 F D' R2 D'
U2 R L2 F D' R2 D2
U2 R L2 F2 D' F' R2
U R L2 D' R2 F B2
U R L2 D' R2 B2 F
U R L2 D' F R2 B2
U R L2 D' F B2 R2
U R L2 D' B2 R2 F
U R L2 D' B2 F R2
U R L2 F D' R2 B2
U R L2 F D' B2 R2
B' R U D F2 B' U
B' R U D B' F2 U
B' R U F B' U L2
B' R U F' B' U L2
B' R U F2 B' U L2
B' R U B' U L2 D
B' R U B' U L2 D'
B' R U B' U L2 D2
B' R U B' D F2 U
U R U L2 D' R2 F
U R U L2 D' F R2
B' R U B' F U L2
B' R U B' F' U L2
U R U L2 F D' R2
B' R U B' F2 U L2
D' R U2 R D L2 F
B' R U2 L2 U F U'
D' R U2 D L2 R F
D' R U2 D R L2 F
D2 R D R B' U2 R
B' R D U F2 B' U
B' R D U B' F2 U
D' R D U2 L2 R F
D' R D U2 R L2 F
L' U B2 R U L' F
R' U B2 R2 U L2 F'
R' U B2 R2 U F' L2
L' U B2 R' U L' F
D2 R D B' R U2 R
L' U B2 R2 U L' F
D' R D B' U2 L2 R
D' R D B' U2 R L2
L' U B2 U L' D F
L' U B2 U L' D' F
L' U B2 U L' D2 F
L' U B2 U L' F D
L' U B2 U L' F D'
L' U B2 U L' F D2
R' U B2 U' B U2 L2
D2 R D' L2 R U2 F
D2 R D' R L2 U2 F
D2 R D' R B' L2 U2
L2 U B2 U D F L2
L2 U B2 U F D L2
R2 U B2 R2 U L2 F'
R2 U B2 R2 U F' L2
L2 U B2 U2 B2 U' F
L2 U B2 D U F L2
R2 U B2 U' B U2 L2
U2 R D' R2 D L2 F
L2 U B2 D2 F2 U F'
R U B2 R2 U L2 F'
R U B2 R2 U F' L2
D2 R D' B' L2 R U2
D2 R D' B' R L2 U2
D' R D' B' R2 U2 R'
R U B2 U' B U2 L2
B' R D2 R2 U B' U
U2 R F L2 D' R2 F
U2 R F L2 D' F R2
U2 R F L2 F D' R2
U2 R F' L2 D' R2 F
U2 R F' L2 D' F R2
U2 R F' L2 F D' R2
U2 R F2 L2 D' R2 F
U2 R F2 L2 D' F R2
U2 R F2 L2 F D' R2
D2 R B' R U' F2 U'
D2 R B' R U2 D R2
D2 R B' R D U2 R2
D2 R B' R D' L2 U2
D2 R B' U' F2 U' L'
D' R B' U' B' U' R
D2 R B' D R U2 R
D R B' L2 U F2 U
D R B' L2 U2 D' L2
D R B' L2 D R2 U2
D R B' L2 D' U2 L2
D2 R B' D' L2 R U2
D2 R B' D' R L2 U2
U2 R B2 U B2 L2 F
R' U' D' B2 U' R2 F'
U R B2 R2 U L2 F'
U R B2 R2 U F' L2
U R B2 U' B U2 L2
U2 R' L D' L R2 F
U2 R' L D' L F R2
R2 U' D' B2 U' R2 F'
U2 R' L D' R2 L F
R U' D' B2 U' R2 F'
F' R' L2 D' R2 F B'
F' R' L2 D' R2 B' F
F' R' L2 D' F R2 B'
F' R' L2 D' F B' R2
F' R' L2 D' B' R2 F
F' R' L2 D' B' F R2
U2 R' L2 U' B2 U F
F' R' L2 F D' R2 B'
F' R' L2 F D' B' R2
D R' L2 U F2 U F'
U2 R' L2 D F D2 R2
U2 R' L2 D' R' F R'
U2 R' L2 D' R2 D F
U2 R' L2 D' R2 D' F
U2 R' L2 D' R2 D2 F
U2 R' L2 D' R2 F D
U2 R' L2 D' R2 F D'
U2 R' L2 D' R2 F D2
U2 R' L2 D' F R2 D
U2 R' L2 D' F R2 D'
U2 R' L2 D' F R2 D2
U2 R' L2 D' F' R2 F2
D R' L2 U2 D' F L2
D R' L2 D R2 U2 F
U2 R' L2 F R D' R2
U2 R' L2 F R' D' R2
U2 R' L2 F R2 D' R2
U2 R' L2 F U' B2 U
U2 R' L2 F D' R2 D
U2 R' L2 F D' R2 D'
U2 R' L2 F D' R2 D2
D R' L2 D' U2 F L2
U2 R' L2 F2 D' F' R2
U R' L2 D' R2 F B2
U R' L2 D' R2 B2 F
U R' L2 D' F R2 B2
U R' L2 D' F B2 R2
U R' L2 D' B2 R2 F
U R' L2 D' B2 F R2
B' R' U D F2 B' U
B' R' U D B' F2 U
U R' L2 F D' R2 B2
U R' L2 F D' B2 R2
B' R' U F B' U L2
B' R' U F' B' U L2
B' R' U F2 B' U L2
B' R' U B' U L2 D
B' R' U B' U L2 D'
B' R' U B' U L2 D2
B' R' U B' D F2 U
B' R' U B' F U L2
B' R' U B' F' U L2
B' R' U B' F2 U L2
U R' U L2 D' R2 F
U R' U L2 D' F R2
U R' U L2 F D' R2
B' R' U2 L2 U F U'
D' R' U2 R' D L2 F
D' R' U2 D L2 R' F
D' R' U2 D L2 F R'
D' R' U2 D R' L2 F
D' R' D U2 L2 R' F
D' R' D U2 L2 F R'
D' R' D U2 R' L2 F
B' R' D U F2 B' U
B' R' D U B' F2 U
D2 R' D' L2 R' U2 F
D2 R' D' R' L2 U2 F
D2 R' D' R' B' L2 U2
D' R' D' R2 B' U2 R
U2 R' D' R2 D L2 F
R' U2 L D' L R2 F
R' U2 L D' L F R2
R' U2 L D' R2 L F
L U2 L R D' R2 F'
B' R' D2 R2 U B' U
L U2 L R' D' F' R2
L U2 L R' F' D' R2
L' U2 L' R D' R2 F
L' U2 L' R D' F R2
L' U2 L' R F D' R2
R2 U2 L D' L R2 F
R2 U2 L D' L F R2
R2 U2 L D' R2 L F
L' U2 L' R' D' R2 F
L' U2 L' R' D' F R2
L' U2 L' R' F D' R2
L' U2 L' R2 D' R2 F
L' U2 L' R2 D' F R2
L' U2 L' R2 F D' R2
L' U2 L' U' B2 U F
L U2 L D' R' F' R'
L' U2 L' D F D2 R2
R U2 L D' L R2 F
R U2 L D' L F R2
R U2 L D' R2 L F
L' U2 L' D' R' F R'
L' U2 L' D' R2 D F
L' U2 L' D' R2 D' F
L' U2 L' D' R2 D2 F
L' U2 L' D' R2 F D
L' U2 L' D' R2 F D'
L' U2 L' D' R2 F D2
L' U2 L' D' F R2 D
L' U2 L' D' F R2 D'
L' U2 L' D' F R2 D2
L' U2 L' D' F' R2 F2
L' U2 L' F R D' R2
L' U2 L' F R' D' R2
L' U2 L' F R2 D' R2
L' U2 L' F U' B2 U
L' U2 L' F D' R2 D
L' U2 L' F D' R2 D'
L' U2 L' F D' R2 D2
L' U2 L' F2 D' F' R2
R' U2 L2 R D' R2 F
R' U2 L2 R D' F R2
R' U2 L2 R F D' R2
R' U2 L2 R' D' R2 F
R' U2 L2 R' D' F R2
R' U2 L2 R' F D' R2
R' U2 L2 R2 D' R2 F
R' U2 L2 R2 D' F R2
R' U2 L2 R2 F D' R2
U2 R' F L2 D' R2 F
U2 R' F L2 D' F R2
U2 R' F L2 F D' R2
R' U2 L2 U' B2 U F
R' U2 L2 D F D2 R2
R' U2 L2 D' R' F R'
R' U2 L2 D' R2 D F
R' U2 L2 D' R2 D' F
R' U2 L2 D' R2 D2 F
R' U2 L2 D' R2 F D
R' U2 L2 D' R2 F D'
R' U2 L2 D' R2 F D2
R' U2 L2 D' F R2 D
R' U2 L2 D' F R2 D'
R' U2 L2 D' F R2 D2
R' U2 L2 D' F' R2 F2
R' U2 L2 F R D' R2
R' U2 L2 F R' D' R2
R' U2 L2 F R2 D' R2
R' U2 L2 F U' B2 U
R' U2 L2 F D' R2 D
R' U2 L2 F D' R2 D'
R' U2 L2 F D' R2 D2
L' U2 L2 D' L R2 F
L' U2 L2 D' L F R2
L' U2 L2 D' R2 L F
R' U2 L2 F2 D' F' R2
R2 U2 L2 R D' R2 F
R2 U2 L2 R D' F R2
R2 U2 L2 R F D' R2
R2 U2 L2 R' D' R2 F
R2 U2 L2 R' D' F R2
R2 U2 L2 R' F D' R2
R2 U2 L2 R2 D' R2 F
R2 U2 L2 R2 D' F R2
R2 U2 L2 R2 F D' R2
R2 U2 L2 U' B2 U F
R' U2 R L2 D' R2 F
R' U2 R L2 D' F R2
R' U2 R L2 F D' R2
R U2 L2 R D' R2 F
R U2 L2 R D' F R2
R U2 L2 R F D' R2
R2 U2 L2 D F D2 R2
R U2 L2 R' D' R2 F
U2 R' F' L2 D' R2 F
R U2 L2 R' D' F R2
R2 U2 L2 D' R' F R'
U2 R' F' L2 D' F R2
R2 U2 L2 D' R2 D F
R2 U2 L2 D' R2 D' F
R2 U2 L2 D' R2 D2 F
R2 U2 L2 D' R2 F D
R2 U2 L2 D' R2 F D'
R2 U2 L2 D' R2 F D2
R U2 L2 R' F D' R2
U2 R' F' L2 F D' R2
L' U2 R L' D' R2 F
L' U2 R L' D' F R2
R2 U2 L2 D' F R2 D
R2 U2 L2 D' F R2 D'
R2 U2 L2 D' F R2 D2
L' U2 R L' F D' R2
R2 U2 L2 D' F' R2 F2
R U2 L2 R2 D' R2 F
R U2 L2 R2 D' F R2
R U2 L2 R2 F D' R2
R2 U2 L2 F R D' R2
R2 U2 L2 F R' D' R2
R2 U2 L2 F R2 D' R2
R2 U2 L2 F U' B2 U
R2 U2 L2 F D' R2 D
R2 U2 L2 F D' R2 D'
R2 U2 L2 F D' R2 D2
R U2 L2 U' B2 U F
R2 U2 L2 F2 D' F' R2
R U2 L2 D F D2 R2
R U2 L2 D' R' F R'
R U2 L2 D' R2 D F
R U2 L2 D' R2 D' F
R U2 L2 D' R2 D2 F
R U2 L2 D' R2 F D
R U2 L2 D' R2 F D'
R U2 L2 D' R2 F D2
R U2 L2 D' F R2 D
R U2 L2 D' F R2 D'
R U2 L2 D' F R2 D2
R U2 L2 D' F' R2 F2
R U2 L2 F R D' R2
R U2 L2 F R' D' R2
R U2 L2 F R2 D' R2
R U2 L2 F U' B2 U
R U2 L2 F D' R2 D
R U2 L2 F D' R2 D'
R U2 L2 F D' R2 D2
R2 U2 R L2 D' R2 F
R2 U2 R L2 D' F R2
R2 U2 R L2 F D' R2
R U2 L2 F2 D' F' R2
L U2 R L D' R2 F'
R' U2 R' L2 D' R2 F
R' U2 R' L2 D' F R2
R' U2 R' L2 F D' R2
U2 R' F2 L2 D' R2 F
U2 R' F2 L2 D' F R2
U2 R' F2 L2 F D' R2
L' U2 R' L' D' R2 F
L' U2 R' L' D' F R2
L' U2 R' L' F D' R2
R U2 R L2 D' R2 F
R U2 R L2 D' F R2
R U2 R L2 F D' R2
L U2 R D' L R2 F'
L U2 R D' R2 L F'
L U2 R D' R2 F' L
R2 U2 R' L2 D' R2 F
R2 U2 R' L2 D' F R2
R2 U2 R' L2 F D' R2
R' U2 R2 L2 D' R2 F
R' U2 R2 L2 D' F R2
R' U2 R2 L2 F D' R2
L U2 R' L D' F' R2
L U2 R' L F' D' R2
L' U2 R2 L' D' R2 F
L' U2 R2 L' D' F R2
L' U2 R2 L' F D' R2
R U2 R' L2 D' R2 F
R U2 R' L2 D' F R2
R U2 R' L2 F D' R2
L U2 R' D' L F' R2
L U2 R' D' F' L R2
L U2 R' D' F' R2 L
L U2 R' F' L D' R2
L U2 R' F' D' L R2
L U2 R' F' D' R2 L
R2 U2 R2 L2 D' R2 F
R2 U2 R2 L2 D' F R2
R2 U2 R2 L2 F D' R2
R U2 R2 L2 D' R2 F
R U2 R2 L2 D' F R2
R U2 R2 L2 F D' R2
D R' B' L2 U F2 U
D R' B' L2 U2 D' L2
D R' B' L2 D R2 U2
D R' B' L2 D' U2 L2
L2 U2 D L2 B' U2 B
R' U2 D' R2 D L2 F
L' U2 D' R2 D L' F
U2 R' B2 U B2 L2 F
L2 U2 D' R2 D2 F L2
L2 U2 D' R2 F D2 L2
L2 U2 D' F R2 D2 L2
L U2 D' L R' F' R'
R2 U2 D' R2 D L2 F
U R' B2 R2 U L2 F'
U R' B2 R2 U F' L2
L U2 D' R' L F' R'
U R' B2 U' B U2 L2
L U2 D' R' F' L R'
L U2 D' R' F' R' L
U2 R2 L D' L R2 F
U2 R2 L D' L F R2
U2 R2 L D' R2 L F
R U2 D' R2 D L2 F
R' U2 F L2 D' R2 F
R' U2 F L2 D' F R2
R' U2 F L2 F D' R2
D2 R2 L2 U' F2 U' F'
D2 R2 L2 U2 D R2 F
D2 R2 L2 U2 D F R2
R2 U2 F L2 D' R2 F
R2 U2 F L2 D' F R2
R2 U2 F L2 F D' R2
D2 R2 L2 D U2 R2 F
D2 R2 L2 D U2 F R2
D2 R2 L2 D' L2 B' U2
R' U2 F' L2 D' R2 F
R' U2 F' L2 D' F R2
R' U2 F' L2 F D' R2
F' R2 L2 D' R2 F B'
F' R2 L2 D' R2 B' F
F' R2 L2 D' F R2 B'
F' R2 L2 D' F B' R2
F' R2 L2 D' B' R2 F
F' R2 L2 D' B' F R2
L2 U2 F D' R2 D2 L2
F' R2 L2 F D' R2 B'
F' R2 L2 F D' B' R2
U2 R2 L2 U' B2 U F
R U2 F L2 D' R2 F
R U2 F L2 D' F R2
R U2 F L2 F D' R2
U2 R2 L2 D F D2 R2
U2 R2 L2 D' R' F R'
U2 R2 L2 D' R2 D F
U2 R2 L2 D' R2 D' F
U2 R2 L2 D' R2 D2 F
U2 R2 L2 D' R2 F D
U2 R2 L2 D' R2 F D'
U2 R2 L2 D' R2 F D2
D R2 L2 U F2 U F'
U2 R2 L2 D' F R2 D
U2 R2 L2 D' F R2 D'
U2 R2 L2 D' F R2 D2
U2 R2 L2 D' F' R2 F2
U2 R2 L2 F R D' R2
D R2 L2 U2 D' F L2
U2 R2 L2 F R' D' R2
U2 R2 L2 F R2 D' R2
U2 R2 L2 F U' B2 U
U2 R2 L2 F D' R2 D
U2 R2 L2 F D' R2 D'
U2 R2 L2 F D' R2 D2
D R2 L2 D R2 U2 F
D R2 L2 D' U2 F L2
U2 R2 L2 F2 D' F' R2
R2 U2 F' L2 D' R2 F
R2 U2 F' L2 D' F R2
R2 U2 F' L2 F D' R2
R' U2 F2 L2 D' R2 F
R' U2 F2 L2 D' F R2
R' U2 F2 L2 F D' R2
B2 R2 U L2 D' F' B2
B2 R2 U L2 D' B2 F'
B2 R2 U L2 F' D' B2
F R2 L2 D' F B R2
F R2 L2 D' B R2 F
F R2 L2 D' B F R2
B' R2 U D F2 B' U
B' R2 U D B' F2 U
U R2 L2 D' R2 F B2
U R2 L2 D' R2 B2 F
U R2 L2 D' F R2 B2
U R2 L2 D' F B2 R2
F R2 L2 F D' B R2
U R2 L2 D' B2 R2 F
U R2 L2 D' B2 F R2
B' R2 U F B' U L2
U R2 L2 F D' R2 B2
U R2 L2 F D' B2 R2
B' R2 U F' B' U L2
R U2 F' L2 D' R2 F
R U2 F' L2 D' F R2
R U2 F' L2 F D' R2
B' R2 U F2 B' U L2
B2 R2 U F' L2 D' B2
B' R2 U B' U L2 D
B' R2 U B' U L2 D'
B' R2 U B' U L2 D2
B' R2 U B' D F2 U
B' R2 U B' F U L2
B' R2 U B' F' U L2
B' R2 U B' F2 U L2
D2 R2 U' L2 F2 U' F'
U R2 U L2 D' R2 F
U R2 U L2 D' F R2
R2 U2 F2 L2 D' R2 F
R2 U2 F2 L2 D' F R2
U R2 U L2 F D' R2
R2 U2 F2 L2 F D' R2
D2 R2 U' F2 L2 U' F
D2 R2 U' F2 U B' U2
R U2 F2 L2 D' R2 F
R U2 F2 L2 D' F R2
R U2 F2 L2 F D' R2
B' R2 U2 L2 U F U'
D2 R2 D L2 U2 R2 F
D2 R2 D L2 U2 F R2
B' R2 D U F2 B' U
B' R2 D U B' F2 U
D' R2 D F' L2 F B'
D' R2 D F' L2 B' F
R' U2 B2 U B2 L2 F
D2 R2 D B' L U2 R2
D2 R2 D B' L' U2 R2
D2 R2 D B' L2 U2 R2
D2 R2 D B' U2 R2 D
D2 R2 D B' U2 R2 D'
D2 R2 D B' U2 R2 D2
D2 R2 D B' D2 L2 U2
D2 R2 D B2 U2 R2 F'
L' U2 B2 U L' F B2
L' U2 B2 U L' B2 F
L' U2 B2 U B2 L' F
D2 R2 D' L2 U2 D F
D2 R2 D' L2 U2 D' F
D2 R2 D' L2 U2 D2 F
D2 R2 D' L2 U2 F D
D2 R2 D' L2 U2 F D'
D2 R2 D' L2 U2 F D2
D2 R2 D' L2 D U2 F
D2 R2 D' L2 D' U2 F
D2 R2 D' L2 D2 U2 F
D2 R2 D' L2 B U2 F
D2 R2 D' L2 B' U2 F
D2 R2 D' L2 B2 U2 F
D' R2 D' R2 B' U2 R2
R2 U2 B2 U B2 L2 F
D2 R2 D' B L2 B2 U2
U2 R2 D' R2 D L2 F
D2 R2 D' B' L2 U2 D
D2 R2 D' B' L2 U2 D'
D2 R2 D' B' L2 U2 D2
D2 R2 D' B' L2 D U2
D2 R2 D' B' L2 D' U2
D2 R2 D' B' L2 D2 U2
D' R2 D' B' R2 U2 R2
D2 R2 D' B' U2 D2 R2
D2 R2 D' B' D2 U2 R2
D2 R2 D' B2 L2 B U2
R U2 B2 U B2 L2 F
B' R2 D2 R2 U B' U
D2 R2 D2 B' U B' U
R' D L2 U F2 U F'
U2 R2 F L2 D' R2 F
U2 R2 F L2 D' F R2
U2 R2 F L2 F D' R2
R' D L2 U2 D' F L2
R' D L2 D R2 U2 F
B2 R2 F U F2 L2 B'
R' D L2 D' U2 F L2
L2 D L2 R U2 L2 F
L2 D L2 R B' U2 L2
L2 D L2 R' U2 L2 F
L2 D L2 R' B' U2 L2
L2 D L2 R2 U2 L2 F
L2 D L2 R2 B' U2 L2
L2 D L2 U2 L2 D F
L2 D L2 U2 L2 D' F
L2 D L2 U2 L2 D2 F
L2 D L2 U2 L2 F D
L2 D L2 U2 L2 F D'
L2 D L2 U2 L2 F D2
L2 D L2 U2 F L2 F
L2 D L2 U2 F' L2 F
L2 D L2 U2 F2 L2 F
R2 D L2 U F2 U F'
R2 D L2 U2 D' F L2
L D L' B' L' U2 L'
D' R2 F' D L2 F B'
D' R2 F' D L2 B' F
L2 D L2 D2 R2 B' U2
R2 D L2 D R2 U2 F
L2 D L2 D2 B' R2 U2
U2 R2 F' L2 D' R2 F
U2 R2 F' L2 D' F R2
U2 R2 F' L2 F D' R2
R2 D L2 D' U2 F L2
L D L2 R U2 L' F
L D L2 R' U2 L' F
L D L2 R2 U2 L' F
L2 D L2 B' R U2 L2
L2 D L2 B' R' U2 L2
L2 D L2 B' R2 U2 L2
L2 D L2 B' U2 L2 D
L2 D L2 B' U2 L2 D'
L2 D L2 B' U2 L2 D2
L2 D L2 B' D2 R2 U2
R D L2 U F2 U F'
L D L2 U2 L' D F
L D L2 U2 L' D' F
L D L2 U2 L' D2 F
L D L2 U2 L' F D
L D L2 U2 L' F D'
L D L2 U2 L' F D2
R D L2 U2 D' F L2
L2 D R L2 U2 L2 F
R D L2 D R2 U2 F
L2 D R L2 B' U2 L2
R D L2 D' U2 F L2
R D L2 D' U2 F L2
L D L2 B U2 L' F
L2 D R D2 F R2 B
L D L2 B' U2 L' F
U2 R2 F2 L2 D' R2 F
U2 R2 F2 L2 D' F R2
U2 R2 F2 L2 F D' R2
L D L2 B2 U2 L' F
L2 D R F D2 R2 B
B2 R2 F2 U F L2 B'
L D R L2 U2 L' F
L2 D R' L2 U2 L2 F
L2 D R' L2 B' U2 L2
L2 D R' D2 F R2 B
L2 D R' F D2 R2 B
L D R' L2 U2 L' F
D2 R2 B' L U' F2 U'
D2 R2 B' L U2 D R2
D2 R2 B' L D U2 R2
D2 R2 B' L D' L2 U2
D2 R2 B' L' U' F2 U'
D2 R2 B' L' U2 D R2
D2 R2 B' L' D U2 R2
D2 R2 B' L' D' L2 U2
D2 R2 B' L2 U' F2 U'
D2 R2 B' L2 U2 D R2
D2 R2 B' L2 D U2 R2
D2 R2 B' L2 D' L2 U2
L2 D R2 L2 U2 L2 F
L2 D R2 L2 B' U2 L2
D2 R2 B' U D2 B2 U
D2 R2 B' U' F2 U' D
D2 R2 B' U' F2 U' D'
D2 R2 B' U' F2 U' D2
D2 R2 B' U' F2 D U'
D2 R2 B' U' F2 D' U'
D2 R2 B' U' F2 D2 U'
D2 R2 B' U2 R D R2
D2 R2 B' U2 R' D R2
D2 R2 B' U2 R2 D R2
D2 R2 B' U2 D R2 D
D2 R2 B' U2 D R2 D'
D2 R2 B' U2 D R2 D2
D2 R2 B' D L U2 R2
D2 R2 B' D L' U2 R2
D2 R2 B' D L2 U2 R2
D2 R2 B' D U2 R2 D
D2 R2 B' D U2 R2 D'
D2 R2 B' D U2 R2 D2
L2 D R2 D2 F R2 B
D2 R2 B' D' L2 U2 D
D2 R2 B' D' L2 U2 D'
D2 R2 B' D' L2 U2 D2
D2 R2 B' D' L2 D U2
D2 R2 B' D' L2 D' U2
D2 R2 B' D' L2 D2 U2
L2 D R2 F D2 R2 B
D2 R2 B' D2 U B2 U
L D R2 L2 U2 L' F
D R2 B' L2 U F2 U
D R2 B' L2 U2 D' L2
D R2 B' L2 D R2 U2
D R2 B' L2 D' U2 L2
D2 R2 B2 U2 D R2 F'
D2 R2 B2 D U2 R2 F'
D2 R2 B2 D B U2 R2
D2 R2 B2 D' L2 B U2
D2 R2 B2 D' B L2 U2
U2 R2 B2 U B2 L2 F
B R2 B2 U' F' U' L2
U R2 B2 R2 U L2 F'
U R2 B2 R2 U F' L2
U R2 B2 U' B U2 L2
L2 D U2 L2 B' U2 B
L2 D F R2 D2 B R2
L2 D F R2 B D2 R2
L2 D F U2 L2 F' U2
L2 D F U2 F' L2 U2
L2 D F D2 R2 D B
L2 D F D2 R2 D' B
L2 D F D2 R2 D2 B
L2 D F D2 R2 B D
L2 D F D2 R2 B D'
L2 D F D2 R2 B D2
L2 D F D2 B R2 B
L2 D F D2 B' R2 B
L2 D F D2 B2 R2 B
L2 D F B D2 R2 B
F' U L2 D' R2 F B'
F' U L2 D' R2 B' F
F' U L2 D' F R2 B'
F' U L2 D' F B' R2
F' U L2 D' B' R2 F
F' U L2 D' B' F R2
L2 D F B' D2 R2 B
L2 D F B2 D2 R2 B
F' U L2 F D' R2 B'
F' U L2 F D' B' R2
F U L2 D' R2 F B
F U L2 D' R2 B F
L2 D F2 D2 F' R2 B2
L2 D F2 D2 F' B2 R2
L2 D F2 D2 B2 F' R2
L2 D B L2 U2 L2 F
L2 D B L2 B' U2 L2
B' U R' B' R U L2
R' D B' L2 U F2 U
R' D B' L2 U2 D' L2
R' D B' L2 D R2 U2
R' D B' L2 D' U2 L2
L2 D B D2 F R2 B
B2 U R2 U L2 F' R2
B2 U R2 U F' L2 R2
B2 U R2 U F' R2 L2
L2 D B F D2 R2 B
L2 D B' L2 U2 L2 F
L2 D B' L2 B' U2 L2
B' U R2 B' R2 U L2
R2 D B' L2 U F2 U
R2 D B' L2 U2 D' L2
R2 D B' L2 D R2 U2
R2 D B' L2 D' U2 L2
L2 D B' D2 F R2 B
L2 D B' F D2 R2 B
B' U D F2 D B' U
B' U D F2 D' B' U
B' U D F2 D2 B' U
B' U D F2 B' U D
B' U D F2 B' U D'
B' U D F2 B' U D2
B' U D F2 B' D U
B' U D F2 B' D' U
B' U D F2 B' D2 U
R D B' L2 U F2 U
R D B' L2 U2 D' L2
R D B' L2 D R2 U2
R D B' L2 D' U2 L2
B' U D B' U D' L2
B' U D B' D' U L2
B' U D B' F2 U D
B' U D B' F2 U D'
B' U D B' F2 U D2
B' U D B' F2 D U
B' U D B' F2 D' U
B' U D B' F2 D2 U
L2 D B2 L2 U2 L2 F
L2 D B2 L2 B' U2 L2
L2 D B2 D2 F R2 B
L2 D B2 F D2 R2 B
B' U D' B' U2 B' U'
L2 D' L U2 L' R2 F
L2 D' L U2 L' F R2
L2 D' L U2 R2 L' F
B' U D2 B' U D2 L2
B U D' B R2 F' U
B' U D2 B' U' R2 U2
B' U D2 B' D' F2 U
B' U D2 B' D2 U L2
L D' L F R2 D B
L D' L F R2 D' B
L D' L F R2 D2 B
L D' L F R2 B D
L D' L F R2 B D'
L D' L F R2 B D2
L D' L F B R2 B
L D' L F B' R2 B
L D' L F B2 R2 B
B' U F D F2 B' U
B' U F D B' F2 U
L D' L B F R2 B
L D' L B' F R2 B
L D' L B2 F R2 B
D U F2 U' L2 U2 F
B' U F B' U L2 D
B' U F B' U L2 D'
B' U F B' U L2 D2
B' U F B' D F2 U
D U F2 U' B' L2 U2
L D' L' U2 L2 R2 F
L D' L' U2 L2 F R2
L D' L' U2 R2 L2 F
U D F2 U' L2 U2 F
U D F2 U' B' L2 U2
L2 D' L2 U2 L2 R2 F
L2 D' L2 U2 L2 F R2
L2 D' L2 U2 R2 L2 F
B' U F' D F2 B' U
B' U F' D B' F2 U
