D' L2 R' B2 U L2
F2 L2 U R' U L2
U2 L2 F2 U R' U
D' R D' R2 F2 B2
D' R D' R2 B2 F2
D' R D' F2 R2 B2
D' R D' F2 B2 R2
D' R D' B2 R2 F2
D' R D' B2 F2 R2
D2 R B2 D' R F2
D' R' L2 B2 U L2
U' R' U D2 R2 B2
U' R' U D2 B2 R2
U' R' U' L2 F2 U2
U' R' U' F2 L2 U2
U' R' D' L2 B2 U
U' R' D' B2 L2 U
U' R' D2 U R2 B2
U' R' D2 U B2 R2
D' R' B2 L2 U L2
D2 R2 U' R U B2
D R2 F2 L' U' L
D2 R2 B2 U' R U
U D R2 F2 L' U'
D U R2 F2 L' U'
R' D' L2 B2 U L2
U' D' L2 R' B2 U
D' U' L2 R' B2 U
U' D' R' L2 B2 U
D2 U' R' U R' B2
D' U' R' L2 B2 U
U' D' R' B2 L2 U
D' U' R' B2 L2 U
R' D' B2 L2 U L2
R D' F2 D' R2 B2
R D' F2 D' B2 R2
R' D2 R2 B2 D' F2
U' D2 R' U R' B2
R D2 R2 B2 D F2
R' D2 B2 R2 D' F2
R D2 B2 R2 D F2
U2 F2 L2 U R' U
L2 F2 U R' U L2
D2 B2 R2 U L U'
D2 B2 U L U' R2
R' D2 R2 B' D' B' F2
R D2 R B2 D R F2
R' D2 R2 B2 U' R2 U
R' D2 R2 B2 D' F2 D
R' D2 R2 B2 D' F2 D'
R' D2 R2 B2 D' F2 D2
R' D2 R2 B2 F D' F2
R' D2 R2 B2 F' D' F2
L2 D2 R2 U R U B2
R' D2 R2 B2 F2 D' F2
L D2 R' U B2 L' R'
L D2 R' U B2 R' L'
R2 D2 R2 U' R' U B2
R' D2 U R2 B2 D L2
U' D2 R' L U R' B2
U' D2 R' L' U R' B2
U' D2 R' L2 U R' B2
U' D2 R' U R B2 R2
U' D2 R' U R' B2 D
U' D2 R' U R' B2 D'
U' D2 R' U R' B2 D2
U' D2 R' U R2 B2 R
R' D2 U B2 R2 D L2
U' D2 R' D L2 U R'
R2 D2 R2 B2 U L U'
L2 D2 U R' U B2 L
R D2 R2 U L2 U' B2
R D2 R2 D F2 D' B2
R D2 R2 F B2 D F2
R D2 R2 F' B2 D F2
R D2 R2 F2 B2 D F2
R D2 R2 B D F2 B
R D2 R2 B D B F2
R D2 R2 B' D F2 B'
R D2 R2 B' D B' F2
R D2 R2 B2 U L2 U'
R D2 R2 B2 D F2 D
R D2 R2 B2 D F2 D'
R D2 R2 B2 D F2 D2
R D2 R2 B2 F D F2
R D2 R2 B2 F' D F2
R D2 R2 B2 F2 D F2
R D2 U L2 U' R2 B2
R D2 U L2 U' B2 R2
R2 D2 U' R U R B2
R2 D2 U' R U B2 R
R' D2 F R2 B2 D' F2
R' D2 F B2 R2 D' F2
R' D2 F' R2 B2 D' F2
R' D2 F' B2 R2 D' F2
F' U2 L2 F' U R' U
B2 U2 L2 F2 U R U
R D2 F R2 B2 D F2
R' D2 F2 R2 B2 D' F2
F U2 L2 U R' U B'
R D2 F B2 R2 D F2
R' D2 F2 B2 R2 D' F2
R D2 F' R2 B2 D F2
R D2 F' B2 R2 D F2
R' D2 B' R2 D' F2 B'
R' D2 B' R2 D' B' F2
R D2 F2 R2 B2 D F2
R' D2 B' R2 B' D' F2
R D2 F2 B2 R2 D F2
R' D2 B2 R2 U' R2 U
R' D2 B2 R2 D' F2 D
R' D2 B2 R2 D' F2 D'
R' D2 B2 R2 D' F2 D2
R' D2 B2 R2 F D' F2
R' D2 B2 R2 F' D' F2
R' D2 B2 R2 F2 D' F2
R' D2 B2 F R2 D' F2
R' D2 B2 F' R2 D' F2
R' D2 B2 F2 R2 D' F2
R D2 B' R2 D F2 B'
R D2 B' R2 D B' F2
R2 D2 B2 R' D' R' F2
R2 D2 B2 R' D' F2 R'
R D2 B' R2 B' D F2
R2 D2 B2 R2 U' R' U
R2 D2 B2 U' R U R
L D2 B2 L' R' D F2
L D2 B2 L' D R' F2
L D2 B2 L' D F2 R'
L D2 B2 R' L' D F2
R D2 B2 R D R F2
R D2 B2 R' D R' F2
R D2 B2 R' D F2 R'
R D2 B2 R2 U L2 U'
R D2 B2 R2 D F2 D
R D2 B2 R2 D F2 D'
R D2 B2 R2 D F2 D2
R D2 B2 R2 F D F2
R D2 B2 R2 F' D F2
R D2 B2 R2 F2 D F2
R D2 B2 U L2 U' R2
R D2 B2 D F2 D' R2
R D2 B2 F R2 D F2
R D2 B2 F' R2 D F2
R D2 B2 F2 R2 D F2
D' F L2 R' B2 U L2
U2 F L2 U R' U B'
F' U2 F' L2 U R' U
F U2 F L2 U R' U
D' F R D' R2 F2 B2
D' F R D' R2 B2 F2
D' F R D' F2 R2 B2
D' F R D' F2 B2 R2
D' F R D' B2 R2 F2
D' F R D' B2 F2 R2
D2 F R B2 D' R F2
B2 U2 F2 L2 U' L' U'
D' F R' L2 B2 U L2
D' F R' B2 L2 U L2
D2 F R2 U' R U B2
D2 F R2 B2 U' R U
L2 F U R' U L2 B'
D' F U' L2 R' B2 U
D' F U' R' L2 B2 U
D' F U' R' B2 L2 U
D2 F U' R' U R' B2
R F D' F2 D' R2 B
B2 D R2 F2 L U' L'
B2 D U L R2 F2 U'
B2 D U L F2 R2 U'
D2 F B2 R2 U L U'
D2 F B2 U L U' R2
B2 D U R2 L F2 U'
B2 D U R2 F2 L U'
B2 D U F2 L R2 U'
B2 D U F2 R2 L U'
D' F' L2 R' B2 U L2
U2 F' L2 F' U R' U
D' F' R D' R2 F2 B2
D' F' R D' R2 B2 F2
D' F' R D' F2 R2 B2
D' F' R D' F2 B2 R2
D' F' R D' B2 R2 F2
D' F' R D' B2 F2 R2
B2 D F2 L R2 U' L'
D2 F' R B2 D' R F2
D' F' R' L2 B2 U L2
B2 D F2 R2 L U' L'
D' F' R' B2 L2 U L2
D2 F' R2 U' R U B2
D2 F' R2 B2 U' R U
D' F' U' L2 R' B2 U
D2 F' U' R' U R' B2
D' F' U' R' L2 B2 U
D' F' U' R' B2 L2 U
B' D' R D' F' R2 B2
B' D' R D' F' B2 R2
B' D' R D' B2 F' R2
B' D' R F' D' R2 B2
B' D' R F' D' B2 R2
R' F' D2 R2 D' F2 B
R' F' D2 R2 D' B F2
R' F' D2 R2 B D' F2
B' D' R' D' R2 F' B2
B' D' R' D' R2 B2 F'
F D' R D' F2 R2 B
R F' D2 R2 D F2 B
R F' D2 R2 D B F2
R F' D2 R2 B D F2
D2 F' B2 R2 U L U'
D2 F' B2 U L U' R2
B2 D' U' B2 L2 R' U
B2 D' U' B2 R' L2 U
U' F2 L2 U R' F2 U
U' F2 L2 U F2 R' U
L F2 L R U R2 U
L F2 L R U2 D' F2
L F2 L R D B2 U2
L F2 L R D' U2 F2
D' F2 L2 R' B2 U L2
R' F2 L2 U2 L2 D F2
U2 F2 L2 U R' U D
U2 F2 L2 U R' U D'
U2 F2 L2 U R' U D2
U2 F2 L2 U R' D U
U2 F2 L2 U R' D' U
U2 F2 L2 U R' D2 U
U2 F2 L2 U D R' U
U2 F2 L2 U D' R' U
U2 F2 L2 U D2 R' U
U2 F2 L2 D U R' U
U2 F2 L2 D' U R' U
U2 F2 L2 D2 U R' U
R2 F2 L2 U' L U' L
D' F2 R D' R2 F2 B2
D' F2 R D' R2 B2 F2
D' F2 R D' F2 R2 B2
D' F2 R D' F2 B2 R2
D' F2 R D' B2 R2 F2
D' F2 R D' B2 F2 R2
U2 F2 L2 B2 U' L U'
D2 F2 R B2 D' R F2
L2 F2 R U R2 U L2
L2 F2 R U2 L2 D' F2
D' F2 R' L2 B2 U L2
R F2 L2 U R2 U L2
R F2 L2 U2 L2 D' F2
D' F2 R' B2 L2 U L2
L F2 R L U R2 U
L F2 R L U2 D' F2
L F2 R L D B2 U2
L F2 R L D' U2 F2
L2 F2 R' U2 L2 D F2
D2 F2 R2 U' R U B2
L F2 R D L B2 U2
L F2 R D B2 U2 R'
L F2 R D' L U2 F2
D2 F2 R2 B2 U' R U
L2 F2 R2 U R U L2
L' F2 U R' U L R2
L' F2 U R' U R2 L
U2 F2 U R' U D2 R2
L2 F2 U R' U L2 D
L2 F2 U R' U L2 D'
L2 F2 U R' U L2 D2
U2 F2 U R' U' L2 U2
B2 D' B2 L2 R' U L2
L2 F2 U R' D F2 U
U2 F2 U R' D' B2 U
U2 F2 U R' D2 U R2
L2 F2 U R' F U L2
L2 F2 U R' F' U L2
L2 F2 U R' F2 U L2
D' F2 U' L2 R' B2 U
B2 D' B2 R' L2 U L2
L2 F2 U D R' F2 U
L2 F2 U D F2 R' U
D2 F2 U' R' U R' B2
U2 F2 U D' R' B2 U
D' F2 U' R' L2 B2 U
U2 F2 U D2 R' U R'
D' F2 U' R' B2 L2 U
L2 F2 U F R' U L2
L2 F2 U F' R' U L2
L2 F2 U F2 R' U L2
L' F2 U2 L R D' F2
B2 D2 L U' L' R2 B2
B2 D2 L U' L' B2 R2
B2 D2 L U' R2 L' B2
B2 D2 L U' R2 B2 L'
B2 D2 L U' B2 L' R2
B2 D2 L U' B2 R2 L'
L2 F2 U' D' B2 L U'
L' F2 U2 R L D' F2
L' F2 U2 R D' L F2
L' F2 U2 R D' F2 L
L2 F2 U' B2 L U' L
L2 F2 U2 L2 U' R' U
L2 F2 D U R' F2 U
L2 F2 D U F2 R' U
F' D2 R D' R F2 B
F' D2 R D' R B F2
U2 F2 D' U R' B2 U
L2 F2 D' U' B2 L U'
B' D2 R B2 D R F'
B2 D2 R B2 R D' F2
L2 F2 D2 R2 U R U
U2 F2 D2 U R' U R'
B D2 R B2 D' R F'
B2 D2 R2 U L U' B2
F' D2 R2 B U' R U
B2 D2 R2 B2 U' R' U
B2 D2 U L U' R2 B2
B2 D2 U L U' B2 R2
D2 F2 B2 R2 U L U'
D2 F2 B2 U L U' R2
U2 F2 B2 L2 U' L' U'
F' D2 U' R' U R' B
L2 F2 B2 U' L U' L
D F2 B2 L R2 U' L'
D F2 B2 R2 L U' L'
B' D2 B2 R D R F'
B2 D2 B2 R D' R F2
B2 D2 B2 R2 U' R U
B2 D2 B2 U' R' U R'
B D2 B2 R D' R F'
R' B D' L2 B2 U L2
R' B D' B2 L2 U L2
R' B D2 R2 B2 D' F2
R' B D2 B2 R2 D' F2
R B D' F2 D' R2 B2
R B D' F2 D' B2 R2
R B D2 R2 B2 D F2
R B D2 B2 R2 D F2
D2 B' R D' R F' B'
D2 B' R D' R B' F'
D2 B' R D' B' R F'
D2 B' R2 B' U L U'
R' B' D' L2 B2 U L2
R' B' D' B2 L2 U L2
R' B' D2 R2 B2 D' F2
R' B' D2 B2 R2 D' F2
R B' D' F2 D' R2 B2
R B' D' F2 D' B2 R2
R B' D2 R2 B2 D F2
R B' D2 B2 R2 D F2
D2 B2 L' R2 D L F2
D2 B2 L' R2 D F2 L
D' B2 L2 U2 L' U' L'
D' B2 L2 D F2 R U
D' B2 L2 F2 R U L2
D2 B2 R U L U' R
U2 B2 L2 F2 U R U
D2 B2 R' U L U' R'
D2 B2 R2 L' D L F2
D2 B2 R2 L' D F2 L
D2 B2 R2 U L U' D
D2 B2 R2 U L U' D'
D2 B2 R2 U L U' D2
D2 B2 R2 U L D U'
D2 B2 R2 U L D' U'
D2 B2 R2 U L D2 U'
D2 B2 R2 U D L U'
D2 B2 R2 U D' L U'
D2 B2 R2 U D2 L U'
B2 F2 L2 U' L' U' L'
D2 B2 R2 D U L U'
F2 B2 L2 U' L' U' L'
D2 B2 R2 D' U L U'
D2 B2 R2 D2 U L U'
D2 B2 R2 F U L U'
D2 B2 R2 F' U L U'
D2 B2 R2 F2 U L U'
D2 B2 U L U' R2 D
D2 B2 U L U' R2 D'
D2 B2 U L U' R2 D2
D2 B2 U L D' F2 U'
D2 B2 U L F U' R2
D2 B2 U L F' U' R2
D2 B2 U L F2 U' R2
D2 B2 U D' L F2 U'
D2 B2 U D' F2 L U'
D2 B2 U F L U' R2
D2 B2 U F' L U' R2
D2 B2 U F2 L U' R2
D B2 R2 F2 L U' L'
D2 B2 U' D B2 R' U
D B2 U L R2 F2 U'
D B2 U L F2 R2 U'
D2 B2 U' B2 R' U R'
D B2 U R2 L F2 U'
D B2 U R2 F2 L U'
D B2 U F2 L R2 U'
D B2 U F2 R2 L U'
D2 B2 D U' B2 R' U
R' B2 D' L2 B2 U L2
D2 B2 D' U L F2 U'
D2 B2 D' U F2 L U'
U' B2 D' B2 L2 R' U
U' B2 D' B2 R' L2 U
R' B2 D' B2 L2 U L2
R' B2 D2 R2 B2 D' F2
R' B2 D2 B2 R2 D' F2
D2 B2 F R2 U L U'
D2 B2 F U L U' R2
D2 B2 F' R2 U L U'
D2 B2 F' U L U' R2
R B2 D' F2 D' R2 B2
R B2 D' F2 D' B2 R2
D2 B2 F2 R2 U L U'
D2 B2 F2 U L U' R2
R B2 D2 R2 B2 D F2
U2 B2 F2 L2 U' L' U'
R B2 D2 B2 R2 D F2
L2 B2 F2 U' L U' L
D B2 F2 L R2 U' L'
D B2 F2 R2 L U' L'
