R U F2 L' B'
L' R U F2 L' B'
L R U F2 L' B'
L2 R U F2 L' B'
R L U F2 L' B'
R L' U F2 L' B'
F' L' U D2 L2 F'
F' L' U D2 F' L2
F' L' U F' D2 L2
F' L' U' R2 B U2
F' L' D' F2 U F
F' L' D2 U L2 F'
F' L' D2 U F' L2
U L' D2 B' L2 F
R L2 U F2 L' B'
U L' F2 D2 B' L2
U L' F2 B' D2 L2
U L' B' F2 D2 L2
R U L' F2 B' L'
R U L' B' F2 L'
R U F2 L' D B'
R U F2 L' D' B'
R U F2 L' D2 B'
R U F2 L' B' D
R U F2 L' B' D'
R U F2 L' B' D2
R U F2 D L' B'
R U F2 D' L' B'
R U F2 D2 L' B'
U2 R U' F2 L' B'
R U F2 B L' B'
R U F2 B' L' B'
R U F2 B2 L' B'
U' R U2 F2 L' B
U' R U2 F2 B L'
U' R U2 B F2 L'
R U B F2 L' B'
R U B' F2 L' B'
R U B2 F2 L' B'
R' U' R' F' U2 F'
U R F2 L' R' B'
R U' R U2 F2 B
R U' R U2 B F2
U R F2 R' L' B'
F' D' L' F2 U F
U F2 L D2 L2 B'
U F2 L' D2 B' L2
U F2 L' B' D2 L2
F D' F2 L' U F'
F' D2 L' U L' F'
U F2 D2 L' B' L'
U F' L' F' D2 B' L2
U F' L' F' B' D2 L2
R F' L' F U F2 L'
U F' L' B' D2 L2 F'
U F' L' B' D2 F' L2
U F' L' B' F' D2 L2
R F' L' F2 U F L'
U' F' R' F' R' B U2
B' D B R2 F' L' U
D F' R2 L' U D L2
D F' R2 L' U2 B2 U'
D F' R2 L' D U L2
D F' R2 L' D2 F2 U
D F' R2 D L' U L'
D F' R2 D2 L' F2 U
F2 D' L F2 U F2 B'
F2 D' L F2 U B' F2
F' D' L' U D' L2 F'
F' D' L' U D' F' L2
D2 F' D L' F2 R U
D' F' D L' F' U F'
F' D' L' D' U L2 F'
F' D' L' D' U F' L2
F' D' L' F2 R U F
F' D' L' F2 R' U F
F' D' L' F2 R2 U F
F' D' L' F2 U D F
F' D' L' F2 U D' F
F' D' L' F2 U D2 F
F' D' L' F2 U F D
F' D' L' F2 U F D'
F' D' L' F2 U F D2
F' D' L' F2 D U F
F' D' L' F2 D' U F
F' D' L' F2 D2 U F
F D' L F2 L' U F
L' F' D' L' F2 U F
L2 F' D' L' F2 U F
D' F' D2 L' F' R2 U
L' F' D2 L' U L' F'
L2 F' D2 L' U L' F'
L F' D' L' F2 U F
D F' D2 L' F2 R U
U F' D2 L' B' L' F'
L F' D2 L' U L' F'
U F' D2 F' L' B' L'
U F2 L U2 R2 F U2
U F2 L U2 F R2 U2
U F2 L D2 L2 D B'
U F2 L D2 L2 D' B'
U F2 L D2 L2 D2 B'
U F2 L D2 L2 B' D
U F2 L D2 L2 B' D'
U F2 L D2 L2 B' D2
U F2 L D2 B L2 B'
U F2 L D2 B' L2 B'
U F2 L D2 B2 L2 B'
U F2 L B D2 L2 B'
U F2 L B' D2 L2 B'
U F2 L B2 D2 L2 B'
U F2 L' U2 R2 U2 B'
U F2 L' D' B' D' L2
U F2 L' D2 B L2 B2
U F2 L' D2 B' L2 D
U F2 L' D2 B' L2 D'
U F2 L' D2 B' L2 D2
U F2 L' D2 B2 L2 B
U F2 L' B' L D2 L2
U F2 L' B' L' D2 L2
U F2 L' B' L2 D2 L2
U F2 L' B' U2 R2 U2
U F2 L' B' D2 L2 D
U F2 L' B' D2 L2 D'
U F2 L' B' D2 L2 D2
U F2 L' B2 D2 L2 B
U F2 L' B2 D2 B L2
F2 D' F2 L U F2 B'
F2 D' F2 L U B' F2
F' D' F2 U2 R U' F
U' F2 R' F' R' U2 F
F D' F2 L' U D F'
F D' F2 L' U D' F'
F D' F2 L' U D2 F'
F D' F2 L' U F' D
F D' F2 L' U F' D'
F D' F2 L' U F' D2
F D' F2 L' D U F'
F D' F2 L' D' U F'
F D' F2 L' D2 U F'
F D' F2 D L' U F'
F D' F2 D' L' U F'
F D' F2 D2 L' U F'
F' D2 L' U L F' L2
F' D2 L' U L' D F'
F' D2 L' U L' D' F'
F' D2 L' U L' D2 F'
F' D2 L' U L' F' D
F' D2 L' U L' F' D'
F' D2 L' U L' F' D2
F' D2 L' U L2 F' L
F' D2 L' U D L' F'
F' D2 L' U D' L' F'
F' D2 L' U D2 L' F'
F' D2 L' D U L' F'
F' D2 L' D' U L' F'
F' D2 L' D2 U L' F'
D' F2 D R' U F2 B
D' F2 D R' U B F2
U F2 U2 R' F' R' U2
U F2 D L D L2 B'
U F2 D L' D B' L2
U F2 D' L D' L2 B'
U F2 D' L' D' B' L2
U F2 D' L' B' D' L2
U F2 D2 L' D B' L'
U F2 D2 L' D' B' L'
U F2 D2 L' D2 B' L'
U F2 D2 L' B L' B2
U F2 D2 L' B' L' D
U F2 D2 L' B' L' D'
U F2 D2 L' B' L' D2
U F2 D2 L' B' D L'
U F2 D2 L' B' D' L'
U F2 D2 L' B' D2 L'
U F2 D2 L' B2 L' B
U F2 D2 B L' B' L'
U F2 D2 B' L' B' L'
U F2 D2 B2 L' B' L'
U F2 B L D2 L2 B'
U F2 B L' D2 B' L2
U F2 B L' B' D2 L2
R' F2 B2 D' L R2 B'
R' F2 B2 D' L B' R2
R' F2 B2 D' R2 L B'
U F2 B D2 L' B' L'
U F2 B' L D2 L2 B'
U F2 B' L' D2 B' L2
U F2 B' L' B' D2 L2
U F2 B' D2 L' B' L'
U F2 B2 L D2 L2 B'
U F2 B2 L' D2 B' L2
U F2 B2 L' B' D2 L2
U F2 B2 D2 L' B' L'
F D2 U2 R U' F L2
U' B R U2 F2 L' B
U' B R U2 F2 B L'
U' B R U2 B F2 L'
U B L' D2 B' L2 F
U B L' F2 D2 B' L2
U B L' F2 B' D2 L2
U B L' B' F2 D2 L2
F D2 F2 L' U L' F'
U B R F2 L' R' B'
U B R F2 R' L' B'
D B R2 F' B' L' U
D B R2 B' F' L' U
U B F2 L D2 L2 B'
U B F2 L' D2 B' L2
U B F2 L' B' D2 L2
U B F2 D2 L' B' L'
U' B' R U2 F2 L' B
U' B' R U2 F2 B L'
U' B' R U2 B F2 L'
U B' L' D2 B' L2 F
U B' L' F2 D2 B' L2
U B' L' F2 B' D2 L2
U B' L' B' F2 D2 L2
U2 B' R' U R' U2 F2
U2 B' R' B2 U' L F2
U2 B' R' B2 U' F2 L
U B' R F2 L' R' B'
U B' R F2 R' L' B'
U2 B' D R' B2 L U'
U B' F2 L D2 L2 B'
U B' F2 L' D2 B' L2
U B' F2 L' B' D2 L2
U B' F2 D2 L' B' L'
U' B2 R U2 F2 L' B
U' B2 R U2 F2 B L'
U' B2 R U2 B F2 L'
U B2 L' D2 B' L2 F
U B2 L' F2 D2 B' L2
U B2 L' F2 B' D2 L2
U B2 L' B' F2 D2 L2
U B2 R F2 L' R' B'
U B2 R F2 R' L' B'
R' B2 F2 D' L R2 B'
R' B2 F2 D' L B' R2
R' B2 F2 D' R2 L B'
U B2 F2 L D2 L2 B'
U B2 F2 L' D2 B' L2
U B2 F2 L' B' D2 L2
U B2 F2 D2 L' B' L'
