U L U2 B' L2
U L R U2 B' L2
U L R' U2 B' L2
U L R2 U2 B' L2
U L U2 B L2 B2
U L U2 B' L2 D
U L U2 B' L2 D
U L U2 B' L2 D'
U L U2 B' L2 D2
U L U2 B2 L2 B
U L D2 R2 U2 B'
U L F U2 B' L2
U L F' U2 B' L2
U L F2 U2 B' L2
U' L B' L2 D2 R2
U' L' U2 L2 U2 B'
U' L' U2 F L2 U2
U L' F L2 U2 L2
R' U L U2 B' L2
R2 U L U2 B' L2
R U L U2 B' L2
U R L U2 B' L2
U R' L U2 B' L2
U R2 L U2 B' L2
F2 U L R U2 B'
F2 U R L U2 B'
B2 U' L R' B' L2
B2 U' R' L B' L2
B2 U' D2 L' R' B
B2 U' D2 R' L' B
B2 U' D2 R' B L'
D2 U' B2 L' R' B
D2 U' B2 R' L' B
D2 U' B2 R' B L'
U' D2 B2 L' R' B
U' D2 B2 R' L' B
U' D2 B2 R' B L'
U F2 L R U2 B'
U F2 R L U2 B'
B2 D2 U' L' R' B
B2 D2 U' R' L' B
B2 D2 U' R' B L'
U' B' L B' L2 R'
U' B' L B' R' L2
U' B2 L R' B' L2
U' B2 R' L B' L2
D2 B2 U' L' R' B
D2 B2 U' R' L' B
D2 B2 U' R' B L'
D' B2 U' L' R' B'
D' B2 U' R' L' B'
U' B2 D2 L' R' B
U' B2 D2 R' L' B
U' B2 D2 R' B L'
D2 B U' B L' R' B
D2 B U' B R' L' B
D2 B U' B R' B L'
L B U' L' U' L' B2
L B U' L' U' B2 L'
U' B' L R B' L2 R'
U' B' L R B' R' L2
U' B' L R' B' L2 R'
U' B' L R' B' R' L2
U' B' L R2 B' L2 R'
U' B' L R2 B' R' L2
U' B' L B' L2 R' D
U' B' L B' L2 R' D'
U' B' L B' L2 R' D2
U' B' L B' L2 D R'
U' B' L B' L2 D' R'
U' B' L B' L2 D2 R'
U' B' L B' R' L2 D
U' B' L B' R' L2 D'
U' B' L B' R' L2 D2
U' B' L B2 L2 B R'
U' B' L' U2 F U2 R
L B' L D F2 L R
L B' L D F2 R L
U' B' R L B' L2 R'
U' B' R L B' R' L2
U' B' R' L B' L2 R'
U' B' R' L B' R' L2
U' B' R2 L B' L2 R'
U' B' R2 L B' R' L2
U' B' D2 L' B' R' B
U' B' D2 B' L' R' B
U' B' D2 B' R' L' B
U' B' D2 B' R' B L'
U' B2 L R B' L2 R2
U' B2 L R B' R2 L2
U' B2 L R' B L2 B2
U' B2 L R' B' L2 D
U' B2 L R' B' L2 D'
U' B2 L R' B' L2 D2
U' B2 L R' B2 L2 B
U' B2 L R2 B' L2 R
U' B2 L R2 B' R L2
U' B2 L' R' U2 F U2
U' B2 L' U2 F U2 R'
U2 B2 L U R' B' L2
U B2 L R' B' L2 F
U' B2 R L B' L2 R2
U' B2 R L B' R2 L2
D2 B2 R U' L' R2 B
D2 B2 R U' R2 L' B
D2 B2 R U' R2 B L'
D' B2 R U' L' R2 B'
D' B2 R U' L' B' R2
D' B2 R U' R2 L' B'
U' B2 R' L B L2 B2
U' B2 R' L B' L2 D
U' B2 R' L B' L2 D'
U' B2 R' L B' L2 D2
U' B2 R' L B2 L2 B
U' B2 R' L' U2 F U2
U' B2 R' B L B' L2
U' B2 R' B' L B' L2
U' B2 R' B2 L B' L2
U' B2 R2 L B' L2 R
U' B2 R2 L B' R L2
D' B2 R2 U' L' R B'
D' B2 R2 U' L' B' R
D' B2 R2 U' R L' B'
U B2 R' L B' L2 F
U2 B2 U L R' B' L2
R' B2 U' L R' B' L2
D2 B2 U' L R' B L2
D2 B2 U' L' R' D B
D2 B2 U' L' R' D' B
D2 B2 U' L' R' D2 B
D2 B2 U' L' R' B D
D2 B2 U' L' R' B D'
D2 B2 U' L' R' B D2
U2 B2 U R' L B' L2
R' B2 U' R' L B' L2
D' B2 U' L' R B' R2
D' B2 U' L' R' D B'
D' B2 U' L' R' D' B'
D' B2 U' L' R' D2 B'
D' B2 U' L' R' B' D
D' B2 U' L' R' B' D'
D' B2 U' L' R' B' D2
D' B2 U' L' R2 B' R
D2 B2 U' R' L B L2
D2 B2 U' R' L' D B
D2 B2 U' R' L' D' B
D2 B2 U' R' L' D2 B
D2 B2 U' R' L' B D
D2 B2 U' R' L' B D'
D2 B2 U' R' L' B D2
D' B2 U' L' D R' B'
D' B2 U' L' D' R' B'
D' B2 U' L' D2 R' B'
D2 B2 U' R' D L' B
D2 B2 U' R' D B L'
D2 B2 U' R' D' L' B
D2 B2 U' R' D' B L'
D2 B2 U' R' D2 L' B
D2 B2 U' R' D2 B L'
D2 B2 U' R' B L' D
D2 B2 U' R' B L' D'
D2 B2 U' R' B L' D2
D2 B2 U' R' B D L'
D2 B2 U' R' B D' L'
D2 B2 U' R' B D2 L'
D2 B2 U' R' B' L' B2
D' B2 U' R L' B' R2
D' B2 U' R' L' D B'
D' B2 U' R' L' D' B'
D' B2 U' R' L' D2 B'
D' B2 U' R' L' B' D
D' B2 U' R' L' B' D'
D' B2 U' R' L' B' D2
D' B2 U' R' D L' B'
D' B2 U' R' D' L' B'
U2 B2 U D2 L' R' B
D' B2 U' R' D2 L' B'
R' B2 U' D2 L' R' B
U2 B2 U D2 R' L' B
R' B2 U' D2 R' L' B
U2 B2 U D2 R' B L'
R' B2 U' D2 R' B L'
D' B2 U' R' B L' B'
D' B2 U' R' B' L' B'
D' B2 U' R' B2 L' B'
D' B2 U' R2 L' B' R
D' B2 U' D L' R' B'
D' B2 U' D R' L' B'
D' B2 U' D' L' R' B'
D' B2 U' D' R' L' B'
D' B2 U' D2 L' R' B'
D' B2 U' D2 R' L' B'
D' B2 U' B L' B' R'
R2 B2 U' L R' B' L2
U' B2 D L' D R' B
D B2 U' L' D R' B
R2 B2 U' R' L B' L2
R2 B2 U' D2 L' R' B
R2 B2 U' D2 R' L' B
R2 B2 U' D2 R' B L'
D B2 U' D L' R' B
D B2 U' D R' L' B
D B2 U' D R' B L'
L B2 U' L' U' L' B
L B2 U' L' U' B L'
D' B2 D U' L' R' B'
D' B2 D U' R' L' B'
U' B2 D' L' D' R' B
R B2 U' L R' B' L2
R B2 U' R' L B' L2
R B2 U' D2 L' R' B
R B2 U' D2 R' L' B
R B2 U' D2 R' B L'
D' B2 D' U' L' R' B'
D' B2 D' U' R' L' B'
U' B2 D2 L R' B L2
U' B2 D2 L' R' D B
U' B2 D2 L' R' D' B
U' B2 D2 L' R' D2 B
U' B2 D2 L' R' B D
U' B2 D2 L' R' B D'
U' B2 D2 L' R' B D2
U' B2 D2 R' L B L2
U' B2 D2 R' L' D B
U' B2 D2 R' L' D' B
U' B2 D2 R' L' D2 B
U' B2 D2 R' L' B D
U' B2 D2 R' L' B D'
U' B2 D2 R' L' B D2
U' B2 D2 R' D L' B
U' B2 D2 R' D B L'
U' B2 D2 R' D' L' B
U' B2 D2 R' D' B L'
U' B2 D2 R' D2 L' B
U' B2 D2 R' D2 B L'
U' B2 D2 R' B L' D
U' B2 D2 R' B L' D'
U' B2 D2 R' B L' D2
U' B2 D2 R' B D L'
U' B2 D2 R' B D' L'
U' B2 D2 R' B D2 L'
U' B2 D2 R' B' L' B2
D B2 D U' L' R' B
D B2 D U' R' L' B
D B2 D U' R' B L'
R' B2 D2 U' L' R' B
R' B2 D2 U' R' L' B
R' B2 D2 U' R' B L'
D' B2 D2 U' L' R' B'
D' B2 D2 U' R' L' B'
U2 B2 D2 U L' R' B
U2 B2 D2 U R' L' B
U2 B2 D2 U R' B L'
R2 B2 D2 U' L' R' B
R2 B2 D2 U' R' L' B
R2 B2 D2 U' R' B L'
U B2 D2 L' R' F2 B
U B2 D2 L' R' B F2
U B2 D2 L' F2 R' B
U B2 D2 R' L' F2 B
U B2 D2 R' L' B F2
U B2 D2 R' B L' F2
R B2 D2 U' L' R' B
R B2 D2 U' R' L' B
R B2 D2 U' R' B L'
