F U' B U' F2
U2 L2 F' B' D L2
U' L2 B U' F' B2
U' L2 B U' B2 F'
U2 L2 B' D L2 F'
U2 L2 B' D F' L2
U2 L2 B' F' D L2
F R2 U F' U F'
F U R2 F' U F'
F U D R2 F' U
F U' L B U' F2
F U' L' B U' F2
F U' L2 B U' F2
F U' D' L2 B U'
F U' D' B L2 U'
F U' B L U' F2
F U' B L' U' F2
F U' B L2 U' F2
F U' B U' F2 D
F U' B U' F2 D'
F U' B U' F2 D2
F U' B D' L2 U'
B' U2 D L2 F' B'
B' U2 D L2 B' F'
F U2 F2 U B U'
D2 F U' B U' F2
D' F U' B U' F2
D F U' B U' F2
R2 F D R2 U2 F'
R2 F D B R2 U2
R2 F D' B U2 L2
R2 F B U F2 U
R2 F B U2 D' L2
R2 F B D R2 U2
R2 F B D' U2 L2
B' D U2 L2 F' B'
B' D U2 L2 B' F'
F D U R2 F' U
B' D F U2 L2 F2
B' D F U2 F2 L2
B' D' R2 F B U2
B' D' R2 B F U2
B' D' F R2 U2 F2
F D' U' L2 B U'
F D' U' B L2 U'
U' B L2 U' F' B'
U' B L2 U' B' F'
U' B U F U2 F2
U' B U' F' D2 B2
F D2 B2 U' B' U'
R2 B F U F2 U
R2 B F U2 D' L2
R2 B F D R2 U2
R2 B F D' U2 L2
B' F U' B2 U' F2
B' F U' B2 U' F2
B2 F U' B' U' F2
B' F U2 F2 D L2
B F U2 F2 D' L2
F B U2 F2 D' L2
U2 B' D L2 F' B'
U2 B' D L2 B' F'
F B' U' B2 U' F2
F B' U2 F2 D L2
F B2 U' B' U' F2
B' D' R2 F B U2 D2
B' D' R2 F B D U2
B' D' R2 F B D' U2
B' D' R2 F B D2 U2
B' D' R2 B D F U2
B' D' R2 B D' F U2
B' D' R2 B D2 F U2
B' D' R2 B F U2 D
B' D' R2 B F U2 D'
B' D' R2 B F U2 D2
B' D' R2 B F D U2
B' D' R2 B F D' U2
B' D' R2 B F D2 U2
U2 F' B D2 B2 D L2
U2 F' B' D L2 D B2
L2 F' B' D L2 D R2
L2 F' B' D2 R2 D' L2
U2 F' B' D2 B2 D' L2
B' D' U2 F' D2 L2 B2
B' D' U2 F' D2 B2 L2
B' D' F R U2 F2 L'
F D' U' L' B L' U'
B' D' F R2 U2 F2 D
B' D' F R2 U2 F2 D'
B' D' F R2 U2 F2 D2
F D' U' L2 D B U'
B' D' F R2 D2 B2 U2
F D' U' L2 D' B U'
F D' U' L2 D2 B U'
B' D' F R2 B U2 F2
B' D' F R2 B' U2 F2
B' D' F R2 B2 U2 F2
F D' U' L2 B U' D
F D' U' L2 B U' D'
F D' U' L2 B U' D2
F D' U' L2 B D U'
F D' U' L2 B D' U'
F D' U' L2 B D2 U'
B' D' F U2 F2 D2 L2
B' D' F D2 B2 U2 L2
F D' U' B L2 U' D
F D' U' B L2 U' D'
F D' U' B L2 U' D2
F D' U' B L2 D U'
F D' U' B L2 D' U'
F D' U' B L2 D2 U'
B' D' F B R2 U2 F2
F D' U' B U' D F2
F D' U' B D U' F2
B' D' F B' R2 U2 F2
F D' U' B' L2 B2 U'
B' D' F B2 R2 U2 F2
B2 D' F U' B' U' F2
B' D' F' R2 F2 U2 F2
B D' F U2 F2 D' L2
F2 D' F' U' B U' F2
B' D' F2 R2 U2 F B
B' D' F2 R2 U2 B F
B' D' B R2 F B U2
B' D' B R2 B F U2
B' D' B F R2 U2 F2
B' D' B' R2 F B U2
B' D' B' R2 B F U2
B' D' B' F R2 U2 F2
B' D' B2 R2 F B U2
B' D' B2 R2 B F U2
F D' B U' L2 U' L2
B' D' B2 F R2 U2 F2
U F2 R2 F' U F2 B
U F2 R2 F' U B F2
F D' B' U' L2 B2 U'
F D' B' U' B2 L2 U'
F D' B' U2 D L2 F2
F D' B' U2 D F2 L2
F D' B' D U2 L2 F2
F D' B' D U2 F2 L2
F D' B' D' R2 B2 U2
F D' B' D' B2 R2 U2
F D' B2 U' B' L2 U'
R F2 D' F' R B U2
F D2 R2 B2 U F' U
L2 B L U' F' B2 R'
L2 B L U' B2 F' R'
B' D2 F U F U F
U' B L2 U' D F' B'
U' B L2 U' D B' F'
U' B L2 U' D' F' B'
U' B L2 U' D' B' F'
U' B L2 U' D2 F' B'
U' B L2 U' D2 B' F'
U' B L2 U' F' D B'
U' B L2 U' F' D' B'
U' B L2 U' F' D2 B'
U' B L2 U' F' B' D
U' B L2 U' F' B' D'
U' B L2 U' F' B' D2
U' B L2 U' B' D F'
U' B L2 U' B' D' F'
U' B L2 U' B' D2 F'
U' B L2 U' B' F' D
U' B L2 U' B' F' D'
U' B L2 U' B' F' D2
U' B L2 D U' F' B'
U' B L2 D U' B' F'
U' B L2 D' U' F' B'
U' B L2 D' U' B' F'
U' B L2 D2 U' F' B'
U' B L2 D2 U' B' F'
F D2 U' B U B U2
B2 D2 F U' B' U' F2
B D2 F U2 F2 D' L2
F2 D2 F' U' B U' F2
U B L2 F U' F2 B'
U B L2 F U' B' F2
U' B R2 U F B U2
U' B R2 U B F U2
R2 B R' D' F U2 L'
U' B U D F U2 F2
U' B U D' F U2 F2
U' B U D2 F U2 F2
U' B U F U2 F2 D
U' B U F U2 F2 D'
U' B U F U2 F2 D2
U' B U F D2 B2 U2
U' B U F B U2 F2
U' B U F B' U2 F2
U' B U F B2 U2 F2
U' B U B F U2 F2
U' B U B' F U2 F2
U' B U B2 F U2 F2
U' B U' L2 F' B' L2
U' B U' L2 B' L2 F'
R2 B R2 F U' B U'
U' B U' L2 B' F' L2
L2 B U L2 U2 F' B2
L2 B U L2 U2 B2 F'
U' B U' D F' D2 B2
U' B U' D' F' D2 B2
U' B U' D2 F' D2 B2
U' B U' F' U2 F2 U2
U' B U' F' D2 B2 D
U' B U' F' D2 B2 D'
U' B U' F' D2 B2 D2
U' B U' F' B D2 B2
U' B U' F' B' D2 B2
U' B U' F' B2 D2 B2
R2 B U L2 F' U B'
U' B U' B F' D2 B2
U' B U' B' F' D2 B2
U' B U' B2 F' D2 B2
U' B U2 L2 U F' B'
U' B U2 L2 U B' F'
R2 B U F' U D2 B2
R2 B U F' U' F2 U2
R2 B U F' D' L2 U
F D2 B' U2 D L2 F
R2 B U F' D2 U B2
F D2 B' D U2 L2 F
F D2 B' D B' U2 L2
F D2 B' D' R2 B' U2
F D2 B' D' B' R2 U2
L B U L' F U2 F2
L2 B U' D2 F' R2 B
L2 B U' F' B2 D2 R2
F D2 B2 R U' B' U'
F D2 B2 R' U' B' U'
F D2 B2 R2 U' B' U'
L2 B U' B2 D2 F' R2
L2 B U' B2 F' D2 R2
U' B D L2 U' F' B'
U' B D L2 U' B' F'
F D2 B2 U' D B' U'
F D2 B2 U' D' B' U'
F D2 B2 U' D2 B' U'
F D2 B2 U' B' U' D
F D2 B2 U' B' U' D'
F D2 B2 U' B' U' D2
F D2 B2 U' B' D U'
F D2 B2 U' B' D' U'
F D2 B2 U' B' D2 U'
F D2 B2 D U' B' U'
F D2 B2 D' U' B' U'
U' B D U F U2 F2
F D2 B2 D2 U' B' U'
U' B D U' F' D2 B2
U' B D' L2 U' F' B'
U' B D' L2 U' B' F'
U' B D' U F U2 F2
U' B D' U' F' D2 B2
B' F R U' B2 U' F2
B' F R U2 F2 D L2
U' B D2 L2 U' F' B'
U' B D2 L2 U' B' F'
R2 B D F U F2 U
R2 B D F U2 D' L2
R2 B D F D R2 U2
R2 B D F D' U2 L2
U' B D2 U F U2 F2
U' B D2 U' F' D2 B2
B2 F R U' B' U' F2
B' F R' U' B2 U' F2
B' F R' U2 F2 D L2
R2 B D' F U F2 U
R2 B D' F U2 D' L2
R2 B D' F D R2 U2
R2 B D' F D' U2 L2
B2 F R' U' B' U' F2
B F R U2 F2 D' L2
L2 B D2 U' F' R2 B
D2 B F U2 F2 D' L2
D' B F U2 F2 D' L2
B' F R2 U' B2 U' F2
B' F R2 U2 F2 D L2
F B R U2 F2 D' L2
R2 B D2 F U F2 U
R2 B D2 F U2 D' L2
R2 B D2 F D R2 U2
R2 B D2 F D' U2 L2
B2 F R2 U' B' U' F2
B F R' U2 F2 D' L2
R2 B F R U F2 U
R2 B F R U2 D' L2
R2 B F R D R2 U2
R2 B F R D' U2 L2
R2 B F R' U F2 U
R2 B F R' U2 D' L2
R2 B F R' D R2 U2
R2 B F R' D' U2 L2
R2 B F R2 U F2 U
R2 B F R2 U2 D' L2
R2 B F R2 D R2 U2
R2 B F R2 D' U2 L2
F B R' U2 F2 D' L2
B' F U D R2 U L2
R2 B F U F2 U D
R2 B F U F2 U D'
R2 B F U F2 U D2
R2 B F U F2 D U
R2 B F U F2 D' U
R2 B F U F2 D2 U
R2 B F U' D2 B2 U'
R2 B F U2 L D' L2
R2 B F U2 L' D' L2
R2 B F U2 L2 D' L2
R2 B F U2 D' L2 D
R2 B F U2 D' L2 D'
R2 B F U2 D' L2 D2
R2 B F D R2 U2 D
R2 B F D R2 U2 D'
R2 B F D R2 U2 D2
R2 B F D R2 D U2
R2 B F D R2 D' U2
R2 B F D R2 D2 U2
R2 B F D' R U2 L2
R2 B F D' R' U2 L2
R2 B F D' R2 U2 L2
R2 B F D' U2 L2 D
R2 B F D' U2 L2 D'
R2 B F D' U2 L2 D2
D B F U2 F2 D' L2
R2 B F D2 U' B2 U'
B F R2 U2 F2 D' L2
B' F U' L B2 U' F2
B' F U' L' B2 U' F2
U2 B F' D2 B2 D L2
B' F U' L2 B2 U' F2
F B R2 U2 F2 D' L2
B F U R' U F2 L'
B' F U' B2 L U' F2
B' F U' B2 L' U' F2
B' F U' B2 L2 U' F2
B' F U' B2 U' F2 D
B' F U' B2 U' F2 D'
B' F U' B2 U' F2 D2
B' F U' B2 D' L2 U'
B' F U2 L F2 D L2
B2 F U' D' B' L2 U'
B' F U2 L' F2 D L2
B' F U2 L2 F2 D L2
F B U R' U F2 L'
B' F U2 D L2 D' F2
B2 F U' B' L U' F2
B2 F U' B' L' U' F2
B2 F U' B' L2 U' F2
B2 F U' B' U' F2 D
B2 F U' B' U' F2 D'
B2 F U' B' U' F2 D2
B2 F U' B' D' L2 U'
B F U' L U' L' F2
B' F U2 F D F L2
B F U' L' U' L F2
B F U' L' U' F2 L
B' F U2 F' D L2 F'
B' F U2 F' D F' L2
B F U' L2 U' L2 F2
B F U' L2 U' F2 L2
B' F U2 F2 L D L2
B' F U2 F2 L' D L2
B' F U2 F2 L2 D L2
B' F U2 F2 U B2 U'
B' F U2 F2 D L2 D
B' F U2 F2 D L2 D'
B' F U2 F2 D L2 D2
B F U' D' L2 U' L2
F B U' L U' L' F2
F B U' L' U' L F2
F B U' L' U' F2 L
F B U' L2 U' L2 F2
F B U' L2 U' F2 L2
B2 F U2 F2 U B' U'
B' F D U R2 U L2
B' F D U2 L2 D' F2
F B U' D' L2 U' L2
B F U2 L F2 D' L2
B F U2 L' F2 D' L2
B F U2 L2 F2 D' L2
U' B' L2 B2 U' F' B
U' B' L2 B2 U' B F'
F B U2 L F2 D' L2
F B U2 L' F2 D' L2
F B U2 L2 F2 D' L2
B F U2 F2 L D' L2
B F U2 F2 L' D' L2
B F U2 F2 L2 D' L2
B F U2 F2 U' F2 U
B F U2 F2 D' L2 D
B F U2 F2 D' L2 D'
B F U2 F2 D' L2 D2
B' F D' R2 U' L2 U'
B' F D' R2 U2 D F2
B' F D' R2 D U2 F2
B' F D' R2 D' B2 U2
U2 B' L2 D F' B' L2
U2 B' L2 D B' L2 F'
U2 B' L2 D B' F' L2
U2 B' L2 F' D B' L2
F B U2 F2 L D' L2
F B U2 F2 L' D' L2
F B U2 F2 L2 D' L2
F B U2 F2 U' F2 U
F B U2 F2 D' L2 D
F B U2 F2 D' L2 D'
F B U2 F2 D' L2 D2
B2 F D' U' B' L2 U'
B' F D2 B2 U F2 U
B' F D2 B2 U2 D' L2
B' F D2 B2 D R2 U2
B' F D2 B2 D' U2 L2
B F D' U' L2 U' L2
B2 F D2 B2 U' B U'
F B D' U' L2 U' L2
B F D2 B2 U' B2 U'
B F D2 B2 U2 D L2
B F D2 B2 D U2 L2
B F D2 B2 D' R2 U2
F B D2 B2 U' B2 U'
F B D2 B2 U2 D L2
F B D2 B2 D U2 L2
F B D2 B2 D' R2 U2
U' B' U' D L2 F' B'
U' B' U' D L2 B' F'
D2 B' U2 D L2 F' B'
D2 B' U2 D L2 B' F'
D' B' U2 D L2 F' B'
D' B' U2 D L2 B' F'
U' B' D U' L2 F' B'
U' B' D U' L2 B' F'
D2 B' D U2 L2 F' B'
D2 B' D U2 L2 B' F'
D2 B' D F U2 L2 F2
D2 B' D F U2 F2 L2
D' B' D U2 L2 F' B'
D' B' D U2 L2 B' F'
D' B' D F U2 L2 F2
D' B' D F U2 F2 L2
U2 B' D L F' L B'
D B' U2 D L2 F' B'
D B' U2 D L2 B' F'
L2 B' D L2 D F' R2
U2 B' D L2 D F' B'
U2 B' D L2 D B' F'
U2 B' D L2 D' F' B'
U2 B' D L2 D' B' F'
U2 B' D L2 D2 F' B'
U2 B' D L2 D2 B' F'
U2 B' D L2 F' D B'
U2 B' D L2 F' D' B'
U2 B' D L2 F' D2 B'
U2 B' D L2 F' B' D
U2 B' D L2 F' B' D'
U2 B' D L2 F' B' D2
U2 B' D L2 B' D F'
U2 B' D L2 B' D' F'
U2 B' D L2 B' D2 F'
U2 B' D L2 B' F' D
U2 B' D L2 B' F' D'
U2 B' D L2 B' F' D2
D2 B' D' R2 F B U2
D2 B' D' R2 B F U2
F B' R U' B2 U' F2
F B' R U2 F2 D L2
D' B' D' R2 F B U2
D' B' D' R2 B F U2
D2 B' D' F R2 U2 F2
U2 B' D F' L2 D2 B2
U2 B' D B L2 F' B'
U2 B' D B L2 B' F'
D' B' D' F R2 U2 F2
U2 B' D B' L2 F' B'
U2 B' D B' L2 B' F'
U2 B' D B2 L2 F' B'
U2 B' D B2 L2 B' F'
D B' D U2 L2 F' B'
D B' D U2 L2 B' F'
D B' D F U2 L2 F2
D B' D F U2 F2 L2
F B' R' U' B2 U' F2
F B' R' U2 F2 D L2
U2 B' D' F' D2 L2 B2
U2 B' D' F' D2 B2 L2
D B' D' R2 F B U2
D B' D' R2 B F U2
D B' D' F R2 U2 F2
F B' R2 U' B2 U' F2
F B' R2 U2 F2 D L2
D2 B' F U' B2 U' F2
D2 B' F U2 F2 D L2
D' B' F U' B2 U' F2
D' B' F U2 F2 D L2
F B' U D R2 U L2
D B' F U' B2 U' F2
F B' U' L B2 U' F2
D B' F U2 F2 D L2
F B' U' L' B2 U' F2
F B' U' L2 B2 U' F2
L2 B' F' D L2 D R2
U2 B' F' D L2 D B2
L2 B' F' D2 R2 D' L2
U2 B' F' D2 B2 D' L2
F B' U' B2 L U' F2
F B' U' B2 L' U' F2
F B' U' B2 L2 U' F2
F B' U' B2 U' F2 D
F B' U' B2 U' F2 D'
F B' U' B2 U' F2 D2
F B' U' B2 D' L2 U'
F B' U2 L F2 D L2
F B' U2 L' F2 D L2
F B' U2 L2 F2 D L2
F2 B' D F' U2 L2 F2
F2 B' D F' U2 F2 L2
F B' U2 D L2 D' F2
F B' U2 F D F L2
F B' U2 F' D L2 F'
F B' U2 F' D F' L2
F B' U2 F2 L D L2
F B' U2 F2 L' D L2
F B' U2 F2 L2 D L2
F B' U2 F2 U B2 U'
F B' U2 F2 D L2 D
F B' U2 F2 D L2 D'
F B' U2 F2 D L2 D2
F2 B' D' R2 U2 F B
F2 B' D' R2 U2 B F
F2 B' D' F' R2 U2 F2
F B' D U R2 U L2
F B' D U2 L2 D' F2
F B' D' R2 U' L2 U'
F B' D' R2 U2 D F2
F B' D' R2 D U2 F2
F B' D' R2 D' B2 U2
U2 B2 L2 F' D' B' L2
U2 B2 L2 F' B' D' L2
U2 B2 L2 B' F' D' L2
F B' D2 B2 U F2 U
F B' D2 B2 U2 D' L2
F B' D2 B2 D R2 U2
F B' D2 B2 D' U2 L2
F B2 R U' B' U' F2
F B2 R' U' B' U' F2
F B2 R2 U' B' U' F2
B' F2 D F' U2 L2 F2
B' F2 D F' U2 F2 L2
F B2 U' D' B' L2 U'
D2 B2 F U' B' U' F2
F B2 U' B' L U' F2
F B2 U' B' L' U' F2
F B2 U' B' L2 U' F2
F B2 U' B' U' F2 D
F B2 U' B' U' F2 D'
F B2 U' B' U' F2 D2
F B2 U' B' D' L2 U'
B' F2 D' R2 U2 F B
B' F2 D' R2 U2 B F
D' B2 F U' B' U' F2
B' F2 D' F' R2 U2 F2
F B2 U2 F2 U B' U'
R2 B2 F U2 D' L2 F
R2 B2 F D R2 B' U2
R2 B2 F D B' R2 U2
D B2 F U' B' U' F2
R2 B2 F D' U2 L2 F
R2 B2 F D' B' U2 L2
F B2 D' U' B' L2 U'
F B2 D2 B2 U' B U'
