R2 U F L2 R
R2 U F R L2
R' B U F L2
F2 L2 D' F' R B2
F2 L2 D' F' B2 R
F2 L2 D' B2 F' R
R2 U R F L2 R
R2 U R F R L2
R2 U R' F L2 R
R2 U R' F R L2
R2 U R2 F L2 R
R2 U R2 F R L2
R2 U F L2 R D
R2 U F L2 R D'
R2 U F L2 R D2
R2 U F L2 D R
R2 U F L2 D' R
R2 U F L2 D2 R
R2 U F R L2 D
R2 U F R L2 D'
R2 U F R L2 D2
R U F L2 D R2
R2 U F2 L2 F' R
U R F L2 D R2
F' R' B U L2 F2
F' R' B U F2 L2
B' R' B U F L2
B2 R' B U F L2
B R' B U F L2
B' R2 U F L2 R
B' R2 U F R L2
B2 R2 U F L2 R
B2 R2 U F R L2
R U2 F' U' L2 F2
R U2 F' U' F2 L2
B R2 U F L2 R
B R2 U F R L2
R' D F2 B U F'
F2 U L2 D' F' R
R' D B F2 U F'
L2 D' B2 R2 F' R
R' F' B U L2 F2
R' F' B U F2 L2
U F2 L2 D' F' R
D F2 U D2 F' R
R' F2 B U L2 F'
R' F2 B U F' L2
D F2 D2 U F' R
D F2 B U F' R'
R' B R U F L2
R' B R' U F L2
R' B R2 U F L2
R' B U F L2 D
R' B U F L2 D'
R' B U F L2 D2
R' B U F' L2 F2
R' B U F2 L2 F'
R2 B U F L2 R
R2 B U F R L2
R' B D F2 U F'
R' B F' U L2 F2
R' B F' U F2 L2
R' B F2 U L2 F'
R' B F2 U F' L2
D B F2 U F' R'
R2 B' U F L2 R
R2 B' U F R L2
R2 B2 U F L2 R
R2 B2 U F R L2
F' B R' B U F2 L2
R' B F D F2 U F2
R' B F' R U L2 F2
R' B F' R U F2 L2
R' B F' R' U L2 F2
R' B F' R' U F2 L2
R' B F' R2 U L2 F2
R' B F' R2 U F2 L2
R' B F' U L F2 L
R' B F' U L2 F2 D
R' B F' U L2 F2 D'
R' B F' U L2 F2 D2
R' B F' U F' L2 F'
R' B F' U F2 L2 D
R' B F' U F2 L2 D'
R' B F' U F2 L2 D2
R' B F' D R2 F2 U
R' B F' D F2 R2 U
R' B F2 U L F' L
R' B F2 U L2 D F'
R' B F2 U L2 D' F'
R' B F2 U L2 D2 F'
R' B F2 U L2 F' D
R' B F2 U L2 F' D'
R' B F2 U L2 F' D2
R' B F2 U F L2 F2
R' B F2 U F' L2 D
R' B F2 U F' L2 D'
R' B F2 U F' L2 D2
F2 B U L2 D' F' R
R' B F2 D F2 U F
D B F2 U D F' R'
D B F2 U D' F' R'
D B F2 U D2 F' R'
D B F2 U F R' F2
D B F2 U F' R' D
D B F2 U F' R' D'
D B F2 U F' R' D2
D B F2 U F' D R'
D B F2 U F' D' R'
D B F2 U F' D2 R'
D B F2 U F2 R' F
D B F2 D U F' R'
D B F2 D' U F' R'
D B F2 D2 U F' R'
R' B' L2 D' B2 R2 F'
R' B' R B2 U F L2
R' B' R' B2 U F L2
R2 B' R B U F L2
R' B' R2 B2 U F L2
R B' R U F L2 R
R B' R U F R L2
R' B' U F L2 D' R2
R2 B' U R F L2 R
R2 B' U R F R L2
R2 B' U R' F L2 R
R2 B' U R' F R L2
R2 B' U R2 F L2 R
R2 B' U R2 F R L2
R2 B' U F L2 R D
R2 B' U F L2 R D'
R2 B' U F L2 R D2
R2 B' U F L2 D R
R2 B' U F L2 D' R
R2 B' U F L2 D2 R
R2 B' U F R L2 D
R2 B' U F R L2 D'
R2 B' U F R L2 D2
F2 B' L2 D' F' R B2
F2 B' L2 D' F' B2 R
R2 B' U F2 L2 F' R
F2 B' L2 D' B2 F' R
R B' R2 B U F L2
R B' U F L2 D R2
B' F' R' B U L2 F2
B' F' R' B U F2 L2
F' B' R' B U L2 F2
F' B' R' B U F2 L2
B2 F' R' B U L2 F2
B2 F' R' B U F2 L2
B F' R' B U L2 F2
B F' R' B U F2 L2
R B' U2 F' U' L2 F2
R B' U2 F' U' F2 L2
F2 B' U L2 D' F' R
R' B' F L2 D' R2 B2
R' B' F L2 D' B2 R2
U B' F L2 D B R'
D B' F2 U' L U2 F'
R' B2 R B' U F L2
B' F2 L2 D' F' R B2
R' B2 R' B' U F L2
B' F2 L2 D' F' B2 R
B' F2 L2 D' B2 F' R
R2 B2 R B U F L2
B2 F2 L2 D' F' R B2
B2 F2 L2 D' F' B2 R
B2 F2 L2 D' B2 F' R
F2 B2 L2 D' F' R B2
F2 B2 L2 D' F' B2 R
F2 B2 L2 D' B2 F' R
R' B2 R2 B' U F L2
R B2 R U F L2 R
R B2 R U F R L2
B F2 L2 D' F' R B2
B F2 L2 D' F' B2 R
B F2 L2 D' B2 F' R
F' B2 R' B U L2 F2
F' B2 R' B U F2 L2
R2 B2 U R F L2 R
R2 B2 U R F R L2
R2 B2 U R' F L2 R
R2 B2 U R' F R L2
R2 B2 U R2 F L2 R
R2 B2 U R2 F R L2
R2 B2 U F L2 R D
R2 B2 U F L2 R D'
R2 B2 U F L2 R D2
R2 B2 U F L2 D R
R2 B2 U F L2 D' R
R2 B2 U F L2 D2 R
R2 B2 U F R L2 D
R2 B2 U F R L2 D'
R2 B2 U F R L2 D2
R2 B2 U F2 L2 F' R
B' F2 U L2 D' F' R
R B2 R2 B U F L2
B2 F2 U L2 D' F' R
F2 B2 U L2 D' F' R
R B2 U F L2 D R2
R' B2 D F2 B' U F'
R' B2 D B' F2 U F'
B F2 U L2 D' F' R
L2 B2 D' R2 F' R B2
L2 B2 D' R2 F' B2 R
L2 B2 D' R2 B2 F' R
R B2 U2 F' U' L2 F2
R B2 U2 F' U' F2 L2
