B U F L B2 U2
B U F B2 U2 R'
B U B2 F U2 R'
B' U2 R' D L2 B'
B' U2 D L2 R' B'
B' U2 D R' L2 B'
L2 F B' R' D L2
L2 F B' D L2 R'
L2 F B' D R' L2
B' D U2 L2 R' B'
B' D U2 R' L2 B'
B' D F U2 L2 R'
B' D F U2 R' L2
B' D' F R2 U2 R
L2 B U' F B2 R'
L2 B U' B2 R' F
L2 B U' B2 F R'
B' F U2 R' D L2
B' F U2 D L2 R'
B' F U2 D R' L2
B' F D U2 L2 R'
B' F D U2 R' L2
B' F D' R2 U2 R
L2 B' R' D F L2
L2 B' R' F D L2
L2 B' D R' F L2
L2 B' D F L2 R'
L2 B' D F R' L2
L2 B' F R' D L2
L2 B' F D L2 R'
L2 B' F D R' L2
F B' U2 R' D L2
F B' U2 D L2 R'
F B' U2 D R' L2
F B' D U2 L2 R'
F B' D U2 R' L2
F B' D' R2 U2 R
F B' U2 R2 D L2 R
F B' U2 R2 D R L2
F B' U2 D L2 R' D
F B' U2 D L2 R' D'
F B' U2 D L2 R' D2
F B' U2 D L2 D R'
F B' U2 D L2 D' R'
F B' U2 D L2 D2 R'
F B' U2 D R' L2 D
F B' U2 D R' L2 D'
F B' U2 D R' L2 D2
F B' U2 D2 R' D' L2
F2 B' D' R2 U2 B R
F B' D L U2 L R'
F B' D L U2 R' L
F B' D L' U2 L' R'
F B' D L' U2 R' L'
F B' D R U2 L2 R2
F B' D R U2 R2 L2
F2 B' D' F' R2 U2 R
F B' D R2 U2 L2 R
F B' D R2 U2 R L2
F B' D U2 L2 R' D
F B' D U2 L2 R' D'
F B' D U2 L2 R' D2
F B' D U2 L2 D R'
F B' D U2 L2 D' R'
F B' D U2 L2 D2 R'
F B' D U2 R' L2 D
F B' D U2 R' L2 D'
F B' D U2 R' L2 D2
F B' D' L R2 U2 R
F B' D' L' R2 U2 R
F B' D' L2 R2 U2 R
F B' D' R2 L U2 R
F B' D' R2 L' U2 R
F B' D' R2 L2 U2 R
F B' D' R2 U2 R D
F B' D' R2 U2 R D'
F B' D' R2 U2 R D2
F B' D' R2 U2 D R
F B' D' R2 U2 D' R
F B' D' R2 U2 D2 R
F B' D' R2 D U2 R
F B' D' R2 D' U2 R
F B' D' R2 D2 U2 R
B F' D2 U' F2 B2 R'
B F' D2 U' B2 R' F2
B F' D2 U' B2 F2 R'
F B' D2 U F2 U R'
F B' D2 U2 R' D' L2
B F2 U L F' B2 U2
B F2 U L B2 F' U2
B F2 U F' L B2 U2
B F2 U F' B2 U2 R'
B F2 U B2 F' U2 R'
B' F2 D F' U2 L2 R'
B' F2 D F' U2 R' L2
B' F2 D' R2 U2 B R
B' F2 D' F' R2 U2 R
