D2 L B2 R D' F2
F2 L' U R2 U L2
F2 L' U2 L2 D' F2
D' L2 U L' R F2
D' L2 U R L' F2
D2 L2 U' L' R B2
D2 L2 U' L' B2 R
D2 L2 U' R L' B2
D2 L2 U' R B2 L'
D2 L2 U' B2 L' R
D2 L2 U' B2 R L'
R2 U L R' D2 B2
R2 U L D2 R' B2
R2 U R' L D2 B2
R2 U R' D2 L B2
R2 U D2 L R' B2
R2 U D2 R' L B2
D' R F2 D' L B2
R2 U' F2 U2 L R'
R2 U' F2 U2 R' L
R2 D' L2 U L' R'
R2 D' L2 U R' L'
L D' R F2 D' B2
L D2 R B2 D F2
R2 D2 U L R' B2
R2 D2 U R' L B2
L D2 B2 R D F2
F2 U2 D' F2 L R
L D2 B2 D R F2
F2 U2 D' F2 R L
F2 D L' B2 U2 L2
F2 D B2 L' R' U2
F2 D B2 R' L' U2
F2 D' L' U2 L2 F2
F2 D' L' U2 F2 L2
F2 D' U2 F2 L R
F2 D' U2 F2 R L
F2 D B2 D L' R' U2
F2 D B2 D R' L' U2
F2 D B2 D' L' R' U2
F2 D B2 D' R' L' U2
F2 D B2 D2 L' R' U2
F2 D B2 D2 R' L' U2
R2 F' U' F' U2 L R'
F2 D' L F2 D2 R2 B2
R2 F' U' F' U2 R' L
F2 D' L F2 D2 B2 R2
F2 D' L' R U2 L2 F2
F2 D' L' R U2 F2 L2
F2 D' L' R' U2 L2 F2
F2 D' L' R' U2 F2 L2
F2 D' L' R2 U2 L2 F2
F2 D' L' R2 U2 F2 L2
F2 D' L' U2 L F2 L
F2 D' L' U2 L2 F2 D
F2 D' L' U2 L2 F2 D'
F2 D' L' U2 L2 F2 D2
F2 D' L' U2 F' L2 F'
F2 D' L' U2 F2 L2 D
F2 D' L' U2 F2 L2 D'
F2 D' L' U2 F2 L2 D2
F2 D' L' D2 R2 B2 U2
F2 D' L' D2 B2 R2 U2
F2 D' L' B U2 L2 F2
F2 D' L' B U2 F2 L2
F2 D' L' B' U2 L2 F2
F2 D' L' B' U2 F2 L2
F2 D' L' B2 U2 L2 F2
F2 D' L' B2 U2 F2 L2
F2 D' R L' U2 L2 F2
F2 D' R L' U2 F2 L2
F2 D' R U2 F2 L R
F2 D' R U2 F2 R L
F2 D' R' L' U2 L2 F2
F2 D' R' L' U2 F2 L2
F2 D' R' U2 F2 L R
F2 D' R' U2 F2 R L
F2 D' R2 L' U2 L2 F2
F2 D' R2 L' U2 F2 L2
F2 D' R2 U2 F2 L R
F2 D' R2 U2 F2 R L
U' F2 L' U R2 U L2
U' F2 L' U2 L2 D' F2
F2 D' U2 L F2 D2 R2
L' F2 L' U R2 U L'
L' F2 L' U2 L' D' F2
L' F2 L' U2 D' L' F2
F2 D' U2 R F2 L R
F2 D' U2 R F2 R L
F2 D' U2 R' F2 L R
F2 D' U2 R' F2 R L
L' F2 L' D B2 U2 L'
L' F2 L' D' U2 L' F2
F2 D' U2 R2 F2 L R
F2 D' U2 R2 F2 R L
F2 D' U2 F' L F' R
L2 F2 L' R U R U
F2 D' U2 F2 L R D
F2 D' U2 F2 L R D'
F2 D' U2 F2 L R D2
F2 D' U2 F2 L D R
F2 D' U2 F2 L D' R
F2 D' U2 F2 L D2 R
F2 D' U2 F2 R L D
F2 D' U2 F2 R L D'
F2 D' U2 F2 R L D2
F2 D' U2 F2 R D L
F2 D' U2 F2 R D' L
F2 D' U2 F2 R D2 L
F2 D' U2 F2 D L R
F2 D' U2 F2 D R L
F2 D' U2 F2 D' L R
F2 D' U2 F2 D' R L
F2 D' U2 F2 D2 L R
F2 D' U2 F2 D2 R L
U2 F2 L' U R2 U L2
U2 F2 L' U2 L2 D' F2
L2 F2 L' U2 D' F2 L'
L2 F2 L' D R B2 U2
L2 F2 L' D B2 R U2
L2 F2 L' D' R U2 F2
D2 F2 L2 U' B2 L' R'
L2 F2 L' D' U2 F2 L'
D2 F2 L2 U' B2 R' L'
R F2 L D F2 D2 B2
F' D' F' L' U2 L2 F'
F' D' F' L' U2 F' L2
U F2 L' U R2 U L2
L F2 L' U R2 U L
U F2 L' U2 L2 D' F2
L F2 L' U2 L D' F2
L F2 L' U2 D' L F2
L F2 L' U2 D' F2 L
L F2 L' D B2 R' U2
L F2 L' D' U2 L F2
L F2 L' D' U2 F2 L
L2 F2 R L' U R U
F2 D' F2 L R D2 B2
F2 D' F2 L D2 R B2
F2 D' F2 L D2 B2 R
F2 D' F2 R L D2 B2
F2 D' F2 R D2 L B2
F2 D' F2 D2 L R B2
F2 D' F2 D2 L B2 R
F2 D' F2 D2 R L B2
R' F2 U R' U L R'
R' F2 U R' U R' L
F2 D' B2 L' R' U2 F2
F2 D' B2 R' L' U2 F2
F2 D' B2 R' U2 F2 R
U' F2 U2 D' F2 L R
U' F2 U2 D' F2 R L
U' F2 D L' B2 U2 L2
D' F2 D L D2 R2 B2
D' F2 D L D2 B2 R2
L2 F2 U2 D' F2 L' R
L2 F2 U2 D' F2 R L'
U2 F2 U2 D' F2 L R
U2 F2 U2 D' F2 R L
F2 D2 L' U' L' U' L'
U' F2 D B2 L' R' U2
U' F2 D B2 R' L' U2
U' F2 D' L' U2 L2 F2
U' F2 D' L' U2 F2 L2
L2 F2 D L' R B2 U2
L2 F2 D L' B2 R U2
U2 F2 D L' B2 U2 L2
L2 F2 D R L' B2 U2
L2 F2 D R B2 L' U2
D' F2 D' L B2 D2 R2
D' F2 D' L2 B2 L' R'
D' F2 D' L2 B2 R' L'
B2 D2 L2 U' B2 L R
B2 D2 L2 U' B2 R L
U' F2 D' U2 F2 L R
U' F2 D' U2 F2 R L
R F2 U2 L D F2 R
U F2 U2 D' F2 L R
U F2 U2 D' F2 R L
U2 F2 D B2 L' R' U2
L2 F2 D B2 L' R U2
U2 F2 D B2 R' L' U2
L2 F2 D B2 R L' U2
L2 F2 D' L' R U2 F2
U2 F2 D' L' U2 L2 F2
U2 F2 D' L' U2 F2 L2
L2 F2 D' L' U2 F2 L'
L2 F2 D' R L' U2 F2
L2 F2 D' R U2 F2 R
U F2 D L' B2 U2 L2
L F2 D L' B2 R' U2
U2 F2 D' U2 F2 L R
U2 F2 D' U2 F2 R L
L2 F2 D' U2 F2 L' R
L2 F2 D' U2 F2 R L'
U F2 D B2 L' R' U2
U F2 D B2 R' L' U2
L F2 D B2 L' U2 L
U F2 D' L' U2 L2 F2
U F2 D' L' U2 F2 L2
L F2 D' L' U2 L F2
L F2 D' L' U2 F2 L
U F2 D' U2 F2 L R
U F2 D' U2 F2 R L
L F2 D' F2 R D2 B2
L F2 D' F2 D2 R B2
L F2 D' F2 D2 B2 R
B2 D2 B2 R D L F2
B2 D2 B2 R D F2 L
B2 D2 B2 D L R F2
B2 D2 B2 D R L F2
B2 D2 B2 D R F2 L
L B D' R F2 D' B2
L B D2 R B2 D F2
L B D2 B2 R D F2
L B D2 B2 D R F2
L B' D' R F2 D' B2
L B' D2 R B2 D F2
L B' D2 B2 R D F2
L B' D2 B2 D R F2
D2 B2 R D F2 D L2
D2 B2 R D2 L2 D' F2
B2 F2 L' R' U R' U
F2 B2 L' R' U R' U
B2 F2 L' D R' B2 U2
B2 F2 L' D B2 U2 L
B2 F2 L' D' R' U2 F2
F2 B2 L' D R' B2 U2
F2 B2 L' D B2 U2 L
F2 B2 L' D' R' U2 F2
D2 B2 R2 D F2 L' R'
D2 B2 R2 D F2 R' L'
D B2 R' U' R' U' R'
B2 F2 R' L' U R' U
F2 B2 R' L' U R' U
R2 B2 U D2 B2 L R'
R2 B2 U D2 B2 R' L
R2 B2 U' L R' F2 U2
R2 B2 U' L F2 R' U2
R2 B2 U' R' L F2 U2
R2 B2 U' R' F2 L U2
R2 B2 U' F2 L R' U2
D2 B2 D R F2 D2 L2
R2 B2 U' F2 R' L U2
D2 B2 D R2 F2 L' R'
D2 B2 D R2 F2 R' L'
D B2 U2 D B2 L R
D B2 U2 D B2 R L
D2 B2 D' R D2 L2 F2
D2 B2 D' R D2 F2 L2
D B2 D R' U2 R2 B2
D B2 D R' U2 B2 R2
D B2 D U2 B2 L R
D B2 D U2 B2 R L
D B2 D' R' F2 U2 R2
B2 F2 D L' R' B2 U2
B2 F2 D L' B2 U2 L
F2 B2 D L' R' B2 U2
B2 F2 D R' L' B2 U2
F2 B2 D L' B2 U2 L
B2 F2 D R' B2 L' U2
D B2 D' F2 L' R' U2
D B2 D' F2 R' L' U2
F2 B2 D R' L' B2 U2
F2 B2 D R' B2 L' U2
L B2 D' R F2 D' B2
R2 B2 D2 U B2 L R'
R2 B2 D2 U B2 R' L
B2 F2 D B2 L' U2 L2
B2 F2 D' L' R' U2 F2
F2 B2 D B2 L' U2 L2
F2 B2 D' L' R' U2 F2
B2 F2 D' R' L' U2 F2
B2 F2 D' R' U2 F2 R
F2 B2 D' R' L' U2 F2
F2 B2 D' R' U2 F2 R
L B2 D2 R B2 D F2
L B2 D2 B2 R D F2
L B2 D2 B2 D R F2
