L U R2 F
L U F R2
R' L U R' F
R' L U F R'
L R U R F
R L U R F
L R' U R' F
L R' U F R'
D L B2 U F
L U R' F R'
L U R2 D F
L U R2 D' F
L U R2 D2 F
L U R2 F D
L U R2 F D'
L U R2 F D2
L U F R2 D
L U F R2 D'
L U F R2 D2
L U F' R2 F2
L D B2 U F
L B U R2 F
L B U F R2
L B' U R2 F
L B' U F R2
L B2 U R2 F
L B2 U F R2
D2 L B2 D U R' F
D2 L B2 D U F R'
D L B2 U R2 F R2
D L B2 U D F D
D L B2 U D F D'
D L B2 U D F D2
D L B2 U D' F D
D L B2 U D' F D'
D L B2 U D' F D2
D L B2 U D2 F D
D L B2 U D2 F D'
D L B2 U D2 F D2
D L B2 U F2 D F'
D L B2 U F2 D' F'
D L B2 U F2 D2 F'
D' L B2 D U R2 F
D' L B2 D U F R2
D2 L B2 D' U R' F
D2 L B2 D' U F R'
D L B2 U' B U2 F
D L B2 U' B' U2 F
D L B2 U' B2 U2 F
D2 L B2 D2 U R' F
D2 L B2 D2 U F R'
D L B2 D R U F
D L B2 D R' U F
D L B2 D R2 U F
D' L B2 D2 B2 U F
D L B2 D U F D
D L B2 D U F D'
D L B2 D U F D2
D L B2 D' R U F
D L B2 D' R' U F
D L B2 D' R2 U F
D L B2 D' U F D
D L B2 D' U F D'
D L B2 D' U F D2
D L B2 D2 R U F
D L B2 D2 R' U F
D L B2 D2 R2 U F
D L B2 D2 U F D
D L B2 D2 U F D'
D L B2 D2 U F D2
F2 L B2 F2 U F' R2
F L B2 F' U R2 F2
F L B2 F' U F2 R2
L R' U2 F' U' R' F2
L R' U2 F' U' F2 R'
L R' U2 F2 U' F' R'
L R' D R U R2 F
L R' D R U F R2
L R' D R2 U R F
L R' D U R F R2
L R' D U R' D F
L R' D U R' D' F
L R' D U R' D2 F
L R' D U R' F D
L R' D U R' F D'
L R' D U R' F D2
L R' D U F R' D
L R' D U F R' D'
L R' D U F R' D2
L R' D U F D R'
L R' D U F D' R'
L R' D U F D2 R'
L R' D U F' R' F2
L R' D' R U R2 F
L R' D' R U F R2
L R' D' R2 U R F
L R' D' U R F R2
L R' D' U R' D F
L R' D' U R' D' F
L R' D' U R' D2 F
L R' D' U R' F D
L R' D' U R' F D'
L R' D' U R' F D2
L R' D' U F R' D
L R' D' U F R' D'
L R' D' U F R' D2
L R' D' U F D R'
L R' D' U F D' R'
L R' D' U F D2 R'
L R' D' U F' R' F2
F2 L' R2 D' L2 F B2
F2 L' R2 D' L2 B2 F
L R' D2 R U R2 F
L R' D2 R U F R2
L R' D2 R2 U R F
L R' D2 U R F R2
L R' D2 U R' D F
L R' D2 U R' D' F
L R' D2 U R' D2 F
L R' D2 U R' F D
L R' D2 U R' F D'
L R' D2 U R' F D2
L R' D2 U F R' D
L R' D2 U F R' D'
L R' D2 U F R' D2
L R' D2 U F D R'
L R' D2 U F D' R'
L R' D2 U F D2 R'
L R' D2 U F' R' F2
D L' U D' B2 R2 F'
R2 L' F2 D' L2 F B2
R2 L' F2 D' L2 B2 F
D L' D' U B2 R2 F'
F L' F' L2 U R2 F
F L' F' L2 U F R2
L R2 U F U F' U'
L R2 U F2 D F' R2
F2 L' F2 L2 U R2 F
F2 L' F2 L2 U F R2
L R2 D R U R' F
L R2 D R U F R'
L R2 D R' U R F
L R2 D R2 U R2 F
L R2 D R2 U F R2
B2 L' B2 L U R2 F'
D L' B2 L2 R2 U F'
D L' B2 L2 U' B U2
L R2 D' R U R' F
L R2 D' R U F R'
L R2 D' R' U R F
L R2 D' R2 U R2 F
L R2 D' R2 U F R2
D L' B2 R2 L2 U F'
L R2 D2 R U R' F
L R2 D2 R U F R'
R L2 D2 L' U R F'
L R2 D2 R' U R F
L R2 D2 R2 U R2 F
L R2 D2 R2 U F R2
D L2 R B2 L' U F
D L2 R' B2 L' U F
D2 L2 U L' U F L
D L2 R2 B2 L' U F
L' R2 F2 D' L2 F B2
L' R2 F2 D' L2 B2 F
L R2 B R U R' F
L R2 B R U F R'
R L2 B L' U R F
L R2 B R' U R F
L R2 B R2 U R2 F
L R2 B R2 U F R2
L R2 B' R U R' F
L R2 B' R U F R'
R L2 B' L' U R F
L R2 B' R' U R F
L R2 B' R2 U R2 F
L R2 B' R2 U F R2
L R2 B2 R U R' F
L R2 B2 R U F R'
R L2 B2 L' U R F
L R2 B2 R' U R F
L R2 B2 R2 U R2 F
L R2 B2 R2 U F R2
R' U L U L' R' F'
R' U L U R' L' F'
L2 U L' U R2 F L
L2 U L' U F L R2
L2 U L' U F R2 L
L U L' R2 D L F
L U L' R2 D' L F
L U L' R2 D2 L F
L U L' R2 F L F
L U L' R2 F' L F
L U L' R2 F2 L F
L U L' F L R2 F
L U L' F L F R2
L U L' F R2 L F
L' U L2 U R2 F L2
L' U L2 U F L2 R2
L' U L2 U F R2 L2
L U L' F' L R2 F
L U L' F' L F R2
L U L' F' R2 L F
L U L' F2 L R2 F
L U L' F2 L F R2
L U L' F2 R2 L F
L U L2 R2 F L2 F
L U L2 R2 F' L2 F
L U L2 R2 F2 L2 F
L U L2 F L2 R2 F
L U L2 F L2 F R2
L U L2 F R2 L2 F
L U L2 F' L2 R2 F
L U L2 F' L2 F R2
L U L2 F' R2 L2 F
L U L2 F2 L2 R2 F
L U L2 F2 L2 F R2
L U L2 F2 R2 L2 F
R U R U' L U F
L U R D R D F
L U R D R D' F
L U R D R D2 F
L U R D R F D
L U R D R F D'
L U R D R F D2
L U R D R' F R2
L U R D R2 F R'
L U R D' R D F
L U R D' R D' F
L U R D' R D2 F
L U R D' R F D
L U R D' R F D'
L U R D' R F D2
L U R D' R' F R2
L U R D' R2 F R'
L U R D2 R D F
L U R D2 R D' F
L U R D2 R D2 F
L U R D2 R F D
L U R D2 R F D'
L U R D2 R F D2
L U R D2 R' F R2
L U R D2 R2 F R'
R' U R' U' L U F
L U R B R F B'
L U R B R B' F
L U R B2 R F B2
L U R B2 R B2 F
L U R' D R F R2
L U R' D R' D F
L U R' D R' D' F
L U R' D R' D2 F
L U R' D R' F D
L U R' D R' F D'
L U R' D R' F D2
L U R' D F R' D
L U R' D F R' D'
L U R' D F R' D2
L U R' D F D R'
L U R' D F D' R'
L U R' D F D2 R'
L U R' D F' R' F2
D L2 B L' B U F
L U R' D' R F R2
L U R' D' R' D F
L U R' D' R' D' F
L U R' D' R' D2 F
L U R' D' R' F D
L U R' D' R' F D'
L U R' D' R' F D2
L U R' D' F R' D
L U R' D' F R' D'
L U R' D' F R' D2
L U R' D' F D R'
L U R' D' F D' R'
L U R' D' F D2 R'
L U R' D' F' R' F2
L U R' D2 R F R2
L U R' D2 R' D F
L U R' D2 R' D' F
L U R' D2 R' D2 F
L U R' D2 R' F D
L U R' D2 R' F D'
L U R' D2 R' F D2
L U R' D2 F R' D
L U R' D2 F R' D'
L U R' D2 F R' D2
L U R' D2 F D R'
L U R' D2 F D' R'
L U R' D2 F D2 R'
L U R' D2 F' R' F2
L U R' F R2 D R
L U R' F R2 D' R
L U R' F R2 D2 R
L' U R2 U' L2 U F
L U R' F D R' D
L U R' F D R' D'
L U R' F D R' D2
L U R' F D' R' D
L U R' F D' R' D'
L U R' F D' R' D2
L U R' F D2 R' D
L U R' F D2 R' D'
L U R' F D2 R' D2
L U R' F' R F2 R2
L U R' F' R' F2 D
L U R' F' R' F2 D'
L U R' F' R' F2 D2
L U R' F2 D F' R'
L U R' F2 D' F' R'
L U R' F2 D2 F' R'
L2 U R2 U' L' U F
L U R2 L' D L F
L U R2 L' D' L F
L U R2 L' D2 L F
L U R2 L' F L F
L U R2 L' F' L F
L U R2 L' F2 L F
L U R2 L2 F L2 F
L U R2 L2 F' L2 F
L U R2 L2 F2 L2 F
L U R2 U' R U F
L U R2 U' R' U F
L U R2 U' R2 U F
L U R2 U2 B U2 F
L U R2 U2 B' U2 F
L U R2 U2 B2 U2 F
L U R2 D R F R'
L U R2 D R2 F R2
L U R2 D F2 D F'
L U R2 D F2 D' F'
L U R2 D F2 D2 F'
L U R2 D' R F R'
L U R2 D' R2 F R2
L U R2 D' F2 D F'
L U R2 D' F2 D' F'
L U R2 D' F2 D2 F'
L U R2 D2 R F R'
L U R2 D2 R2 F R2
L U R2 D2 F2 D F'
L U R2 D2 F2 D' F'
L U R2 D2 F2 D2 F'
L U R2 F L D L'
L U R2 F L D' L'
L U R2 F L D2 L'
L U R2 F L' D L
L U R2 F L' D' L
L U R2 F L' D2 L
L U R2 F R D R'
L U R2 F R D' R'
L U R2 F R D2 R'
L U R2 F R' D R
L U R2 F R' D' R
L U R2 F R' D2 R
L U R2 F B D B'
L U R2 F B D' B'
L U R2 F B D2 B'
L U R2 F B' D B
L U R2 F B' D' B
L U R2 F B' D2 B
L U R2 F' L' F2 L
L U R2 F' L2 F2 L2
L U R2 F' R F2 R'
L U R2 F' R2 F2 R2
L U R2 F2 L' F' L
L U R2 F2 L2 F' L2
L U R2 F2 D F' D
L U R2 F2 D F' D'
L U R2 F2 D F' D2
L U R2 F2 D' F' D
L U R2 F2 D' F' D'
L U R2 F2 D' F' D2
L U R2 F2 D2 F' D
L U R2 F2 D2 F' D'
L U R2 F2 D2 F' D2
L U R2 B D F B'
L U R2 B D B' F
L U R2 B D' F B'
L U R2 B D' B' F
L U R2 B D2 F B'
L U R2 B D2 B' F
L U R2 B F D B'
L U R2 B F D' B'
L U R2 B F D2 B'
L U R2 B' D F B
L U R2 B' D B F
L U R2 B' D' F B
L U R2 B' D' B F
L U R2 B' D2 F B
L U R2 B' D2 B F
L U R2 B' F D B
L U R2 B' F D' B
L U R2 B' F D2 B
L U D R D' R2 F
L U D R D' F R2
L U D R F D' R2
L U D R' D' R2 F
L U D R' D' F R2
L U D R' F D' R2
L U D R2 D' R2 F
L U D R2 D' F R2
D L2 B2 L' R U F
D L2 B2 L' R' U F
L U D R2 F D' R2
D L2 B2 L' R2 U F
D L2 B2 L' U D F
D L2 B2 L' U D' F
D L2 B2 L' U D2 F
D L2 B2 L' U F D
D L2 B2 L' U F D'
D L2 B2 L' U F D2
D L2 B2 L' D U F
D L2 B2 L' D' U F
D L2 B2 L' D2 U F
L U D F R D' R2
L U D F R' D' R2
L U D F R2 D' R2
L U D F U' B2 U
L U D F D' R2 D
L U D F D' R2 D'
L U D F D' R2 D2
D L2 B2 R L' U F
D L2 B2 R' L' U F
L U D F2 D' F' R2
D L2 B2 R2 L' U F
D' R L U D R2 F
D' R L U D F R2
B' R L U R F B
B' R L U R B F
L' U D' B2 D R2 F'
L U D' R D R2 F
L U D' R D F R2
D' R L U2 F2 U' F'
D' R L D U R2 F
D' R L D U F R2
L U D' R' D R2 F
L U D' R' D F R2
L U D' R2 D R2 F
L U D' R2 D F R2
L U D' F U F U'
D' R L D2 B2 U F
D R L U D' R2 F
D R L U D' F R2
D R L U F D' R2
D2 R L B2 U R' F
D2 R L B2 U F R'
D R L D' U R2 F
D R L D' U F R2
L U D2 R D2 R2 F
L U D2 R D2 F R2
L U D2 R F D2 R2
L U D2 R' D2 R2 F
L U D2 R' D2 F R2
L U D2 R' F D2 R2
L U D2 R2 D2 R2 F
L U D2 R2 D2 F R2
L U D2 R2 F D2 R2
L U D2 F R D2 R2
L U D2 F R' D2 R2
D R L B2 R U F
L U D2 F R2 D2 R2
D R L B2 R' U F
D R L B2 R2 U F
D R L B2 U D F
D R L B2 U D' F
D R L B2 U D2 F
D R L B2 U F D
D R L B2 U F D'
D R L B2 U F D2
L U D2 F U2 L2 U2
D R L B2 D U F
L U D2 F D2 R2 D
L U D2 F D2 R2 D'
L U D2 F D2 R2 D2
D R L B2 D' U F
D R L B2 D2 U F
L U D2 F2 D2 F' R2
L U F L R2 D L'
L U F L R2 D' L'
L U F L R2 D2 L'
L U F L' R2 D L
L U F L' R2 D' L
L U F L' R2 D2 L
L U F R D R D
L U F R D R D'
L U F R D R D2
L U F R D' R D
L U F R D' R D'
L U F R D' R D2
L U F R D2 R D
L U F R D2 R D'
L U F R D2 R D2
L U F R B R B'
L U F R B2 R B2
L U F R' D R' D
L U F R' D R' D'
L U F R' D R' D2
L U F R' D' R' D
L U F R' D' R' D'
L U F R' D' R' D2
L U F R' D2 R' D
L U F R' D2 R' D'
L U F R' D2 R' D2
L U F R' F' R' F
L U F R' F2 R' F2
L U F R2 L D L'
L U F R2 L D' L'
L U F R2 L D2 L'
L U F R2 L' D L
L U F R2 L' D' L
L U F R2 L' D2 L
L U F R2 F D F'
L U F R2 F D' F'
L U F R2 F D2 F'
L U F R2 F' D F
L U F R2 F' D' F
L U F R2 F' D2 F
L U F R2 B D B'
L U F R2 B D' B'
L U F R2 B D2 B'
L U F R2 B' D B
L U F R2 B' D' B
L U F R2 B' D2 B
L U F U D' F2 U'
L U F U F U' R2
L U F U F' U' R2
L U F U F2 U' R2
L U F U' D B2 U
L U F U' B U R2
L U F U' B' U R2
L U F U' B2 U R2
L U F U2 L U2 R2
L U F U2 L' U2 R2
L U F U2 L2 U2 R2
L U F U2 D2 L2 U2
L U F D R D' R2
L U F D R' D' R2
L U F D R2 D' R2
L U F D U' B2 U
L U F D' R D R2
L U F D' R' D R2
L U F D' R2 D R2
L U F D' U F2 U'
L U F D2 R D2 R2
L U F D2 R' D2 R2
L U F D2 R2 D2 R2
L U F D2 U2 L2 U2
L U F B R B' R
L U F B R2 D B'
L U F B R2 D' B'
L U F B R2 D2 B'
L U F B R2 B' D
L U F B R2 B' D'
L U F B R2 B' D2
L U F B2 R B2 R
L U F B2 R2 B2 D
L U F B2 R2 B2 D'
L U F B2 R2 B2 D2
L U F' L' R2 F2 L
L U F' L' F2 L R2
L U F' L' F2 R2 L
L U F' L2 R2 F2 L2
L U F' L2 F2 L2 R2
L U F' L2 F2 R2 L2
D R L2 B2 L' U F
L U F' R' F R' F
L U F' R' F2 R' D
L U F' R' F2 R' D'
L U F' R' F2 R' D2
L U F' R' F2 D R'
L U F' R' F2 D' R'
L U F' R' F2 D2 R'
L U F' R2 L' F2 L
L U F' R2 L2 F2 L2
L U F' R2 F D F
L U F' R2 F D' F
L U F' R2 F D2 F
L U F' R2 F' D F'
L U F' R2 F' D' F'
L U F' R2 F' D2 F'
L U F' B R2 F2 B'
L U F' B R2 B' F2
L U F' B2 R2 F2 B2
L U F' B2 R2 B2 F2
L U F2 L' F' L R2
L U F2 L' F' R2 L
L U F2 L2 F' L2 R2
L U F2 L2 F' R2 L2
L U F2 R2 U2 B U2
U R U' L U R F
L U F2 D F' D' R2
L U F2 D2 F' D2 R2
L U B R B' R F
L U B R' F R' B'
L U B R2 D F B'
L U B R2 D B' F
L U B R2 D' F B'
L U B R2 D' B' F
L U B R2 D2 F B'
L U B R2 D2 B' F
L U B R2 F D B'
L U B R2 F D' B'
L U B R2 F D2 B'
L U B R2 F B' D
L U B R2 F B' D'
L U B R2 F B' D2
L U B R2 B' D F
L U B R2 B' D' F
L U B R2 B' D2 F
L U B R2 B' F D
L U B R2 B' F D'
L U B R2 B' F D2
D' R D L U R2 F
D' R D L U F R2
L U B F R B' R
L U B F R2 D B'
L U B F R2 D' B'
L U B F R2 D2 B'
L U B F R2 B' D
L U B F R2 B' D'
L U B F R2 B' D2
L U B F' R2 F2 B'
L U B F' R2 B' F2
L U B' R2 F D2 B2
L' U B2 R2 D' F' B2
L' U B2 R2 D' B2 F'
L' U B2 R2 F' D' B2
D2 R D' L B2 U F
D R D' L U R2 F
D R D' L U F R2
L U B2 R B2 R F
L U B2 R' F R' B2
L U B2 R2 F B2 D
L U B2 R2 F B2 D'
L U B2 R2 F B2 D2
L U B2 R2 B2 D F
L U B2 R2 B2 D' F
L U B2 R2 B2 D2 F
L U B2 R2 B2 F D
L U B2 R2 B2 F D'
L U B2 R2 B2 F D2
D2 R D2 L U R2 F
D2 R D2 L U F R2
D' R D2 L B2 U F
L U B2 F R B2 R
L U B2 F R2 B2 D
L U B2 F R2 B2 D'
L U B2 F R2 B2 D2
L U B2 F' R2 F2 B2
L U B2 F' R2 B2 F2
L U' L' U2 R' F' R'
L U' L2 D2 L2 U2 F
L U' L2 D2 B' L2 U2
L U' L2 B' L U2 R2
L U' L2 B' L' U2 R2
L U' L2 B' L2 U2 R2
L U' L2 B' U2 R2 D
L U' L2 B' U2 R2 D'
L U' L2 B' U2 R2 D2
L U' L2 B' D2 L2 U2
L U' L2 B2 U2 R2 F'
B' R B L U R F
B R B' L U R F
D' R' L U D R2 F
D' R' L U D F R2
D R B2 U2 R' U' F'
D' R' L U2 F2 U' F'
D' R' L D U R2 F
D' R' L D U F R2
D' R' L D2 B2 U F
D R' L U D' R2 F
D R' L U D' F R2
D R' L U F D' R2
D2 R' L B2 U R' F
D2 R' L B2 U F R'
D R' L D' U R2 F
D R' L D' U F R2
F2 R' L F2 U F' R'
U R' L U L' R' F'
U R' L U R' L' F'
L U' D2 L2 D B' U2
L U' D2 L2 D' B' U2
L U' D2 L2 D2 B' U2
L U' D2 L2 B' U2 D
L U' D2 L2 B' U2 D'
L U' D2 L2 B' U2 D2
L U' D2 L2 B' D U2
L U' D2 L2 B' D' U2
L U' D2 L2 B' D2 U2
D R' L B2 R U F
D R' L B2 R' U F
D R' L B2 R2 U F
D R' L B2 U D F
D R' L B2 U D' F
D R' L B2 U D2 F
D R' L B2 U F D
D R' L B2 U F D'
D R' L B2 U F D2
D R' L B2 D U F
D R' L B2 D' U F
D R' L B2 D2 U F
L U' D2 B L2 B' U2
L U' D2 B' L2 B' U2
L U' D2 B2 L2 B' U2
L U' F R2 D2 L2 B
L U' F R2 D2 B L2
L U' F R2 B D2 L2
D R' L2 B2 L' U F
L U' F' U2 F2 R2 B
L U' F2 U2 F' R2 B
U R' U' L U R' F
U R' U' L U F R'
U2 R' U2 L U F' R'
L U' B L2 B' U2 R2
L U' B U2 R' F R'
L U' B U2 R2 D F
L U' B U2 R2 D' F
L U' B U2 R2 D2 F
L U' B U2 R2 F D
L U' B U2 R2 F D'
L U' B U2 R2 F D2
L' U' B' U L2 U R2
L U' B U2 F R2 D
L U' B U2 F R2 D'
L U' B U2 F R2 D2
L U' B U2 F' R2 F2
D' R' D L U R2 F
D' R' D L U F R2
L' U' B' U2 R2 D' B2
L U' B D2 L2 B' U2
L U' B' L2 B' U2 R2
L U' B' U2 R' F R'
L U' B' U2 R2 D F
L U' B' U2 R2 D' F
L U' B' U2 R2 D2 F
L U' B' U2 R2 F D
L U' B' U2 R2 F D'
L U' B' U2 R2 F D2
L U' B' U2 F R2 D
L U' B' U2 F R2 D'
L U' B' U2 F R2 D2
L U' B' U2 F' R2 F2
D2 R' D' L B2 U F
L U' B' D2 L2 B' U2
L U' B2 L2 B' U2 R2
D R' D' L U R2 F
D R' D' L U F R2
L U' B2 U2 R' F R'
L U' B2 U2 R2 D F
L U' B2 U2 R2 D' F
L U' B2 U2 R2 D2 F
L U' B2 U2 R2 F D
L U' B2 U2 R2 F D'
L U' B2 U2 R2 F D2
D2 R' D2 L U R2 F
D2 R' D2 L U F R2
L U' B2 U2 F R2 D
L U' B2 U2 F R2 D'
L U' B2 U2 F R2 D2
L U' B2 U2 F' R2 F2
D' R' D2 L B2 U F
L U' B2 D2 L2 B' U2
F' R' F L U R' F
F' R' F L U F R'
L2 U2 L' U' F R2 B
L' U2 L2 U' F R2 B
L U2 L2 U B' U2 R2
F2 R' F2 L U R' F
F2 R' F2 L U F R'
D' R2 L U D R2 F
D' R2 L U D F R2
D' R2 L U2 F2 U' F'
D' R2 L D U R2 F
D' R2 L D U F R2
D R' B2 U2 R' U' F'
D' R2 L D2 B2 U F
D R2 L U D' R2 F
D R2 L U D' F R2
D R2 L U F D' R2
D2 R2 L B2 U R' F
D2 R2 L B2 U F R'
L U2 D' F2 L U' F'
L U2 D' F2 L' U' F'
L U2 D' F2 L2 U' F'
L U2 D' F2 U' D F'
L U2 D' F2 U' D' F'
L U2 D' F2 U' D2 F'
L U2 D' F2 U' F' D
L U2 D' F2 U' F' D'
L U2 D' F2 U' F' D2
L U2 D' F2 D U' F'
L U2 D' F2 D' U' F'
L U2 D' F2 D2 U' F'
D R2 L D' U R2 F
D R2 L D' U F R2
D R2 L B2 R U F
D R2 L B2 R' U F
F2 R2 L' D' L2 F B2
F2 R2 L' D' L2 B2 F
D R2 L B2 R2 U F
D R2 L B2 U D F
D R2 L B2 U D' F
D R2 L B2 U D2 F
D R2 L B2 U F D
D R2 L B2 U F D'
D R2 L B2 U F D2
D R2 L B2 D U F
D R2 L B2 D' U F
D R2 L B2 D2 U F
L U2 F U' R2 D' F2
L U2 F D' F2 U' F2
L U2 F' L U' R2 F2
L U2 F' L U' F2 R2
D R2 L2 B2 L' U F
L U2 F' L' U' R2 F2
L U2 F' L' U' F2 R2
L U2 F' L2 U' R2 F2
L U2 F' L2 U' F2 R2
L U2 F' U' R' F2 R'
L U2 F' U' R2 F2 D
L U2 F' U' R2 F2 D'
L U2 F' U' R2 F2 D2
L U2 F' U' F R2 F
L U2 F' U' F2 R2 D
L U2 F' U' F2 R2 D'
L U2 F' U' F2 R2 D2
L U2 F' D' L2 F2 U'
L U2 F' D' F2 L2 U'
L U2 F2 L U' F' R2
F' R2 U' F L R U
L U2 F2 L' U' F' R2
F' R2 U' F R L U
L U2 F2 L2 U' F' R2
L U2 F2 U' F R2 F2
L U2 F2 U' F' R2 D
L U2 F2 U' F' R2 D'
L U2 F2 U' F' R2 D2
L U2 F2 U' F2 R2 F
U R2 U' L R U F
U R2 U' L R' U F
U R2 U' L R2 U F
U R2 U' L U D F
U R2 U' L U D' F
U R2 U' L U D2 F
U R2 U' L U F D
U R2 U' L U F D'
U R2 U' L U F D2
U R2 U' L D U F
U R2 U' L D' U F
U R2 U' L D2 U F
L U2 F2 D' F2 U' F
U R2 U' R L U F
U R2 U' R' L U F
U R2 U' R2 L U F
U R2 U' D L U F
U R2 U' D' L U F
U R2 U' D2 L U F
D' R2 D L U R2 F
D' R2 D L U F R2
D2 R2 D' L B2 U F
R' D L R U R2 F
R' D L R U F R2
R' D L R2 U R F
R' D L U R F R2
R' D L U R' D F
R' D L U R' D' F
R' D L U R' D2 F
R' D L U R' F D
R' D L U R' F D'
R' D L U R' F D2
R' D L U D R' F
R' D L U D F R'
R' D L U D' R' F
R' D L U D' F R'
R' D L U D2 R' F
R' D L U D2 F R'
R' D L U F R' D
R' D L U F R' D'
R' D L U F R' D2
R' D L U F D R'
R' D L U F D' R'
R' D L U F D2 R'
R' D L U F' R' F2
U R2 D U' L U F
R' D L D U R' F
R' D L D U F R'
R' D L D' U R' F
R' D L D' U F R'
D R2 D' L U R2 F
D R2 D' L U F R2
R' D L D2 U R' F
R' D L D2 U F R'
D2 R2 D2 L U R2 F
D2 R2 D2 L U F R2
D' R2 D2 L B2 U F
R2 D L R U R' F
R2 D L R U F R'
R2 D L R' U R F
R2 D L R2 U R2 F
R2 D L R2 U F R2
U R2 D' U' L U F
R D L R' U R2 F
R D L R' U F R2
R D L R2 U R' F
R D L R2 U F R'
R D L U R D F
R D L U R D' F
R D L U R D2 F
R D L U R F D
R D L U R F D'
R D L U R F D2
R D L U R' F R2
R D L U R2 F R'
R D L U D R F
R D L U D' R F
R D L U D2 R F
R D L D U R F
R D L D' U R F
R D L D2 U R F
R D L B U R F
L D L B2 L' U F
R D L B' U R F
U R2 D2 U' L U F
R D L B2 U R F
R' D R L U R2 F
R' D R L U F R2
U R2 F U' L U F
R2 D R L U R' F
R2 D R L U F R'
U R2 F' U' L U F
L D R U D' R2 F
L D R U D' F R2
L D R U F D' R2
L D R D' U R2 F
L D R D' U F R2
R2 D R' L U R F
R' D R2 L U R F
L D R B2 R U F
L D R B2 R' U F
L D R B2 R2 U F
L D R B2 U D F
L D R B2 U D' F
L D R B2 U D2 F
L D R B2 U F D
L D R B2 U F D'
L D R B2 U F D2
L D R B2 D U F
U R2 F2 U' L U F
L D R B2 D' U F
L D R B2 D2 U F
R D R' L U R2 F
R D R' L U F R2
L D R' U D' R2 F
L D R' U D' F R2
L D R' U F D' R2
R2 D R2 L U R2 F
R2 D R2 L U F R2
L D R' D' U R2 F
L D R' D' U F R2
L D R' B2 R U F
L D R' B2 R' U F
L D R' B2 R2 U F
L D R' B2 U D F
L D R' B2 U D' F
L D R' B2 U D2 F
L D R' B2 U F D
L D R' B2 U F D'
L D R' B2 U F D2
L D R' B2 D U F
L D R' B2 D' U F
L D R' B2 D2 U F
R D R2 L U R' F
R D R2 L U F R'
L D R2 U D' R2 F
L D R2 U D' F R2
L D R2 U F D' R2
L D R2 D' U R2 F
L D R2 D' U F R2
L D R2 B2 R U F
L D R2 B2 R' U F
L D R2 B2 R2 U F
L D R2 B2 U D F
L D R2 B2 U D' F
L D R2 B2 U D2 F
L D R2 B2 U F D
L D R2 B2 U F D'
L D R2 B2 U F D2
L D R2 B2 D U F
L D R2 B2 D' U F
L D R2 B2 D2 U F
L D U R D' R2 F
L D U R D' F R2
L D U R F D' R2
L D U R' D' R2 F
L D U R' D' F R2
L D U R' F D' R2
L D U R2 D' R2 F
L D U R2 D' F R2
L D U R2 F D' R2
L D U F R D' R2
L D U F R' D' R2
L D U F R2 D' R2
L D U F U' B2 U
L D U F D' R2 D
L D U F D' R2 D'
L D U F D' R2 D2
L D U F2 D' F' R2
D R2 B2 U2 R' U' F'
L D B R' U F R
L D B D B U F
L D B D' B U F
L D B D2 B U F
L' D B2 U' F2 B U2
L' D B2 U' B F2 U2
L D B' R B' U F
L D B' R' B' U F
R' D' L R U R2 F
R' D' L R U F R2
L D B' R2 B' U F
R' D' L R2 U R F
R' D' L U R F R2
R' D' L U R' D F
R' D' L U R' D' F
R' D' L U R' D2 F
R' D' L U R' F D
R' D' L U R' F D'
R' D' L U R' F D2
R' D' L U D R' F
R' D' L U D F R'
R' D' L U D' R' F
R' D' L U D' F R'
R' D' L U D2 R' F
R' D' L U D2 F R'
R' D' L U F R' D
R' D' L U F R' D'
R' D' L U F R' D2
R' D' L U F D R'
R' D' L U F D' R'
R' D' L U F D2 R'
R' D' L U F' R' F2
L D B' D B' U F
L D B' D' B' U F
R' D' L D U R' F
R' D' L D U F R'
L D B' D2 B' U F
R' D' L D' U R' F
R' D' L D' U F R'
L2 D B2 D' L' U F
R' D' L D2 U R' F
R' D' L D2 U F R'
L D B2 R U D F
L D B2 R U D' F
L D B2 R U D2 F
L D B2 R U F D
L D B2 R U F D'
L D B2 R U F D2
L D B2 R D U F
L D B2 R D' U F
L D B2 R D2 U F
L D B2 R' U D F
L D B2 R' U D' F
L D B2 R' U D2 F
L D B2 R' U F D
L D B2 R' U F D'
L D B2 R' U F D2
L D B2 R' D U F
L D B2 R' D' U F
L D B2 R' D2 U F
L D B2 R2 U D F
L D B2 R2 U D' F
L D B2 R2 U D2 F
L D B2 R2 U F D
L D B2 R2 U F D'
L D B2 R2 U F D2
L D B2 R2 D U F
R2 D' L R U R' F
L D B2 R2 D' U F
R2 D' L R U F R'
L D B2 R2 D2 U F
R2 D' L R' U R F
L D B2 U R F R'
L D B2 U R2 F R2
L D B2 U D F D
L D B2 U D F D'
L D B2 U D F D2
L D B2 U D' F D
L D B2 U D' F D'
L D B2 U D' F D2
L D B2 U D2 F D
L D B2 U D2 F D'
L D B2 U D2 F D2
L D B2 U F2 D F'
L D B2 U F2 D' F'
L D B2 U F2 D2 F'
R2 D' L R2 U R2 F
R2 D' L R2 U F R2
L D B2 U' B U2 F
L D B2 U' B' U2 F
L D B2 U' B2 U2 F
L D B2 D R U F
L D B2 D R' U F
L D B2 D R2 U F
L D B2 D U F D
L D B2 D U F D'
L D B2 D U F D2
L D B2 D' R U F
L D B2 D' R' U F
L D B2 D' R2 U F
L D B2 D' U F D
L D B2 D' U F D'
L D B2 D' U F D2
L D B2 D2 R U F
L D B2 D2 R' U F
L D B2 D2 R2 U F
L D B2 D2 U F D
