B L2 U2 B' U' F2
B L2 U2 B' U' F2
F2 L2 F' B U F
F' L2 F2 B U F
F' L2 B F2 U F
F2 L2 B F' U F
F L2 B U D2 F2
F L2 B U' B2 U2
F L2 B D' R2 U
F L2 B D2 U F2
F2 U' L2 F' B U
F2 U' L2 B F' U
F2 U' F' L2 B U
F2 U' F' B L2 U
F2 U' B L2 F' U
F2 U' B F' L2 U
F D' B U F B
F D' B U B F
L2 B U F2 D L2
F' B L2 F2 U F
L2 B U2 B2 U' F2
L2 B D R2 U L2
F2 B L2 F' U F
B F L2 U' B' U2
F B L2 U' B' U2
B F U D' F B2
B F U D' B2 F
B F U F D' B2
F B U D' F B2
F B U D' B2 F
F B U F D' B2
B F D' U F B2
B F D' U B2 F
F B D' U F B2
F B D' U B2 F
B F' L2 F2 U F
B F2 L2 F' U F
F B' U D' B2 F R2
F2 B' U' B2 F' L2 U
F B' U F D' R2 B2
F B' U F D' B2 R2
B' F' D' L2 F' R2 B2
B' F' D' L2 F' B2 R2
B' F' D' L2 B2 F' R2
B' F' D' R2 B2 L2 F
F' B' D' L2 F' R2 B2
F' B' D' L2 F' B2 R2
F' B' D' L2 B2 F' R2
B' F' D' F' L2 R2 B2
B' F' D' F' L2 B2 R2
B' F' D' F' R2 L2 B2
B' F' D' F' R2 B2 L2
B' F' D' F' B2 L2 R2
B' F' D' F' B2 R2 L2
F' B' D' R2 B2 L2 F
B' F' D' B2 L2 F' R2
B' F' D' B2 F' L2 R2
B' F' D' B2 F' R2 L2
F' B' D' F' L2 R2 B2
F' B' D' F' L2 B2 R2
F' B' D' F' R2 L2 B2
F' B' D' F' R2 B2 L2
F' B' D' F' B2 L2 R2
F' B' D' F' B2 R2 L2
F' B' D' B2 L2 F' R2
F' B' D' B2 F' L2 R2
F' B' D' B2 F' R2 L2
B F' D' U L2 F' B2
B F' D' U L2 B2 F'
B F' D' U F' L2 B2
B F' D' U F' B2 L2
B F' D' U B2 L2 F'
B F' D' U B2 F' L2
D' B2 L2 F B' U' B
D' B2 L2 B' F U' B
F B' D' U R2 F B2
F B' D' U R2 B2 F
F B' D' U F R2 B2
F B' D' U F B2 R2
F B' D' U B2 R2 F
F B' D' U B2 F R2
B' F2 L2 F' B2 U F
B' F2 L2 B2 F' U F
D' B2 U L2 F B' U'
D' B2 U L2 B' F U'
B F2 L2 D F' U F
B F2 L2 D' F' U F
L2 B2 R2 F' B' U F'
B F2 L2 D2 F' U F
B F2 L2 F' R U F
B F2 L2 F' R' U F
B F2 L2 F' R2 U F
B F2 L2 F' U D F
B F2 L2 F' U D' F
B F2 L2 F' U D2 F
B F2 L2 F' U F D
B F2 L2 F' U F D'
B F2 L2 F' U F D2
B F2 L2 F' D U F
B F2 L2 F' D' U F
B F2 L2 F' D2 U F
L2 B2 R2 B' F' U F'
B' F2 U' L2 F' B2 U
B' F2 U' L2 B2 F' U
B' F2 U' F' L2 B2 U
B' F2 U' F' B2 L2 U
B' F2 U' B2 L2 F' U
B' F2 U' B2 F' L2 U
L2 B2 D R2 F' B' U
L2 B2 D R2 B' F' U
B2 F2 U' F' B' L2 U
B2 F2 U' B' L2 F' U
F2 B2 U' F' B' L2 U
B2 F2 U' B' F' L2 U
F2 B2 U' B' L2 F' U
F2 B2 U' B' F' L2 U
B F2 D' F' U F B2
B F2 D' F' U B2 F
F B2 D' B' U F B'
F B2 D' B' U B' F
