L' R D' F2 L' R
L' R D' F2 R L'
R L' D' F2 L' R
R L' D' F2 R L'
D2 L2 R D' R F2
D2 L2 R2 U' R U
U2 L2 R2 U R U
D2 L2 U' R' U R'
D2 R L2 D' R F2
D' R D' L2 R2 F2
D' R D' L2 F2 R2
D' R D' R2 L2 F2
D' R D' R2 F2 L2
D' R D' F2 L2 R2
D' R D' F2 R2 L2
U' R' U' L2 R' U2
U' R' U' R' L2 U2
U' R' D' B2 U L
D' R' F2 B2 U B2
D' R' B2 F2 U B2
D2 R2 L2 U' R U
U2 R2 L2 U R U
D2 R2 U' R U L2
D U F2 B2 L U'
U D F2 B2 L U'
D U B2 L F2 U'
U D B2 L F2 U'
D U B2 F2 L U'
U D B2 F2 L U'
D2 U' R' U L2 R'
D2 U' R' U R' L2
U' D' R' F2 B2 U
U' D' R' B2 F2 U
D' U' R' F2 B2 U
D' U' R' B2 F2 U
R' D' B2 U L B2
R D' F2 L' D' R2
R D' F2 D' L' R2
U' D' F2 R' B2 U
R D' F2 D' R2 L'
D' U' F2 R' B2 U
R' D2 R2 D' F2 L'
U' D2 R' U L2 R'
U' D2 R' U R' L2
L' F2 R D' F2 L'
R F2 L' D' F2 R
D' F2 R' B2 U B2
D F2 B2 L U' B2
D B2 L F2 U' B2
R' B2 U L B2 R'
D B2 F2 L U' B2
U' D' F2 R' B2 U D
U' D' F2 R' B2 U D'
U' D' F2 R' B2 U D2
U' D' F2 R' B2 D U
U' D' F2 R' B2 D' U
U' D' F2 R' B2 D2 U
D' U' F2 R' B2 D U
D' U' F2 R' B2 D' U
D' U' F2 R' B2 D2 U
U' D' F2 R2 B2 R U
D' U' F2 R2 B2 R U
D2 U' F2 R' U L2 R'
D2 U' F2 R' U R' L2
F U' R' U' L2 R' U2
F U' R' U' R' L2 U2
R' D' B2 L' U L2 B2
R' D' B2 L' U B2 L2
R' D' B2 L2 U L' B2
R' D' B2 L2 U B2 L'
D' U' F2 D' R' U R'
U' D' F2 D' R' U R'
F U' R' D' B2 U L
R' D' B2 U L B2 D
R' D' B2 U L B2 D'
R' D' B2 U L B2 D2
R' D' B2 U L' B2 L2
R' D' B2 U L2 B2 L'
D' U' F2 B2 U2 L U'
U' D' F2 B2 U2 L U'
R' D' B2 D L2 U L'
R' D' B2 F U L B2
R' D' B2 F' U L B2
R' D' B2 F2 U L B2
R' D2 L R2 D' F2 L'
R2 D' B2 R U B2 L
F' U' D' R' F2 B2 U
F' U' D' R' B2 F2 U
F' U' D' F2 R' B2 U
F2 U' D' R' F2 B2 U
F2 U' D' R' B2 F2 U
F2 U' D' F2 R' B2 U
R' D2 L' R2 D' F2 L'
F' U' D2 R' U L2 R'
F' U' D2 R' U R' L2
R D' B2 U F2 L' B2
R D' B2 U F2 B2 L'
R D' B2 U B2 F2 L'
F2 U' D2 R' U L2 R'
F2 U' D2 R' U R' L2
F U' D' R' F2 B2 U
F U' D' R' B2 F2 U
F U' D' F2 R' B2 U
R' D2 L2 R2 D' F2 L'
D' U' B2 F2 U2 L U'
U' D' B2 F2 U2 L U'
F U' D2 R' U L2 R'
F U' D2 R' U R' L2
D U' B2 L F2 R U'
L D2 L2 R D' F2 R
L D2 L2 F2 R D' F2
L D2 R L2 D' F2 R
R' D2 R2 L D' F2 L'
R' D2 R2 L' D' F2 L'
R' D2 R2 L2 D' F2 L'
R' D2 R2 D' L F2 L'
R' D2 R2 D' L' F2 L'
R' D2 R2 D' L2 F2 L'
R' D2 R2 D' F2 L' D
R' D2 R2 D' F2 L' D'
R' D2 R2 D' F2 L' D2
R' D2 R2 D' F2 D L'
R' D2 R2 D' F2 D' L'
R' D2 R2 D' F2 D2 L'
R2 D2 R' D' F2 L' R'
R2 D2 R' D' F2 R' L'
R' D2 R2 F2 L' D' F2
R' D2 R2 F2 D' L' F2
U' D2 R' U L2 R' D
U' D2 R' U L2 R' D'
U' D2 R' U L2 R' D2
U' D2 R' U L2 D R'
U' D2 R' U L2 D' R'
U' D2 R' U L2 D2 R'
U' D2 R' U R' L2 D
U' D2 R' U R' L2 D'
U' D2 R' U R' L2 D2
U' D2 R' D F2 U R'
U' D2 R' F U L2 R'
U' D2 R' F U R' L2
U' D2 R' F' U L2 R'
U' D2 R' F' U R' L2
U' D2 R' F2 U L2 R'
U' D2 R' F2 U R' L2
U' D2 F R' U L2 R'
U' D2 F R' U R' L2
R' D2 F R2 D' F2 L'
U' D2 F' R' U L2 R'
U' D2 F' R' U R' L2
R' D2 F' R2 D' F2 L'
F' U2 L2 R2 U R U
F2 U2 L2 R2 U R U
U' D2 F2 R' U L2 R'
U' D2 F2 R' U R' L2
R' D2 F2 R2 D' F2 L'
L' D2 F2 L2 R D' F2
L' D2 F2 R L2 D' F2
F U2 L2 R2 U R U
R D2 F2 R2 D L' F2
F' U2 R2 L2 U R U
F2 U2 R2 L2 U R U
R' D2 B2 U L R2 B2
R' D2 B2 U L B2 R2
R' D2 B2 U R2 L B2
F U2 R2 L2 U R U
U D2 B2 L U' L R2
U D2 B2 L U' R2 L
D2 F L2 R D' R F2
D2 F L2 R2 U' R U
D2 F L2 U' R' U R'
D2 F R L2 D' R F2
U' F R' U' L2 R' U2
U' F R' U' R' L2 U2
U' F R' D' B2 U L
D' F R' F B2 U B2
D' F R' B2 F U B2
D2 F R2 L2 U' R U
D2 F R2 U' R U L2
D' F U' R' F B2 U
D' F U' R' B2 F U
D2 F U' R' U L2 R'
D2 F U' R' U R' L2
D' F U' F R' B2 U
D F U F B2 L U'
D F U B2 F L U'
B2 D L F2 B2 R' U'
B2 D L B2 R' F2 U'
B2 D L B2 F2 R' U'
U' F D' R' F2 B2 U
U' F D' R' B2 F2 U
U' F D' F2 R' B2 U
R' F D' B2 U L B2
U' F D2 R' U L2 R'
U' F D2 R' U R' L2
R' F D2 R2 D' F2 L'
U F D F2 B2 L U'
U F D B2 L F2 U'
U F D B2 F2 L U'
R' F B2 U L B2 R'
F' D U F2 B2 L U'
F' D U B2 L F2 U'
F' D U B2 F2 L U'
F2 D U F2 B2 L U'
F2 D U B2 L F2 U'
F2 D U B2 F2 L U'
F D U F2 B2 L U'
F D U B2 L F2 U'
F D U B2 F2 L U'
D2 F' L2 R D' R F2
D2 F' L2 R2 U' R U
D2 F' L2 U' R' U R'
D2 F' R L2 D' R F2
B2 D F2 L B2 R' U'
U' F' R' U' L2 R' U2
U' F' R' U' R' L2 U2
U' F' R' D' B2 U L
F' D F2 B2 L U' B2
F2 D F2 B2 L U' B2
D2 F' R2 L2 U' R U
D2 F' R2 U' R U L2
F D F2 B2 L U' B2
F' D B2 L F2 U' B2
F2 D B2 L F2 U' B2
D2 F' U' R' U L2 R'
D2 F' U' R' U R' L2
F' D B2 F2 L U' B2
D' F' U' F' R' B2 U
F2 D B2 F2 L U' B2
D F' U F' B2 L U'
D F' U B2 L F' U'
F D B2 L F2 U' B2
D F' U B2 F' L U'
F D B2 F2 L U' B2
U' F' D' R' F2 B2 U
U' F' D' R' B2 F2 U
U' F' D' F2 R' B2 U
R' F' D' B2 U L B2
U' F' D2 R' U L2 R'
U' F' D2 R' U R' L2
F' D' R D' L2 R2 F2
F' D' R D' L2 F2 R2
F' D' R D' R2 L2 F2
F' D' R D' R2 F2 L2
F' D' R D' F2 L2 R2
F' D' R D' F2 R2 L2
R' F' D2 R2 D' F2 L'
F2 D' R D' L2 R2 F2
F2 D' R D' L2 F2 R2
F2 D' R D' R2 L2 F2
F2 D' R D' R2 F2 L2
F2 D' R D' F2 L2 R2
F2 D' R D' F2 R2 L2
U F' D F2 B2 L U'
U F' D B2 L F2 U'
U F' D B2 F2 L U'
F' D' R' F2 B2 U B2
F' D' R' B2 F2 U B2
F D' R D' L2 R2 F2
F D' R D' L2 F2 R2
F D' R D' R2 L2 F2
F D' R D' R2 F2 L2
F D' R D' F2 L2 R2
F D' R D' F2 R2 L2
F2 D' R' F2 B2 U B2
F2 D' R' B2 F2 U B2
R' F' B2 U L B2 R'
F D' R' F2 B2 U B2
F D' R' B2 F2 U B2
D' F2 L R' B2 U B2
L' F2 L R D' F2 L'
F' D' U' R' F2 B2 U
F' D' U' R' B2 F2 U
D F' B2 L F' U' B2
F' D' U' F2 R' B2 U
F2 D' U' R' F2 B2 U
F2 D' U' R' B2 F2 U
F2 D' U' F2 R' B2 U
D' F2 L' R' B2 U B2
L' F2 L' R D' F2 L'
D2 F2 L2 R D' R F2
F D' U' R' F2 B2 U
F D' U' R' B2 F2 U
D2 F2 L2 R2 U' R U
D' F2 L2 R' B2 U B2
L' F2 L2 R D' F2 L'
D2 F2 L2 U' R' U R'
F D' U' F2 R' B2 U
D F2 L B2 L U' B2
D2 F2 R L2 D' R F2
L' F2 R L D' F2 L'
L' F2 R L' D' F2 L'
L' F2 R L2 D' F2 L'
D F2 L' B2 L U' B2
L' F2 R D' L F2 L'
L' F2 R D' L' F2 L'
L' F2 R D' L2 F2 L'
L' F2 R D' F2 L' D
L' F2 R D' F2 L' D'
L' F2 R D' F2 L' D2
L' F2 R D' F2 D L'
L' F2 R D' F2 D' L'
L' F2 R D' F2 D2 L'
R F2 L' D' R F2 R
R F2 L' D' R' F2 R
R F2 L' D' R2 F2 R
R F2 L' D' F2 R D
R F2 L' D' F2 R D'
R F2 L' D' F2 R D2
R F2 L' D' F2 D R
R F2 L' D' F2 D' R
R F2 L' D' F2 D2 R
L' F2 R F2 L' D' F2
L' F2 R F2 D' L' F2
D' F2 R B2 R2 U B2
U' F2 R' U' L2 R' U2
U' F2 R' U' R' L2 U2
D' F2 R' L B2 U B2
F' D' F2 R' B2 U B2
R F2 L' F2 D' R F2
D' F2 R' L' B2 U B2
D' F2 R' L2 B2 U B2
U' F2 R' D' B2 U L
D F2 L2 B2 L U' B2
F2 D' F2 R' B2 U B2
R F2 L2 D' L F2 R
D' F2 R' B2 L U B2
D' F2 R' B2 L' U B2
D' F2 R' B2 L2 U B2
D' F2 R' B2 U B2 D
D' F2 R' B2 U B2 D'
D' F2 R' B2 U B2 D2
D' F2 R' B2 D L2 U
D2 F2 R2 L2 U' R U
D2 F2 R2 U' R U L2
F D' F2 R' B2 U B2
D' F2 R2 B2 R U B2
D2 F2 U' R' U L2 R'
D2 F2 U' R' U R' L2
F' D2 L2 R D' R F2
F' D2 L2 R2 U' R U
F' D2 L2 U' R' U R'
U' F2 D' R' F2 B2 U
U' F2 D' R' B2 F2 U
F2 D2 L2 R D' R F2
F2 D2 L2 R2 U' R U
F2 D2 L2 U' R' U R'
L' F2 D' R D' L2 F2
L' F2 D' R D' F2 L2
U' F2 D' F2 R' B2 U
F' D2 R L2 D' R F2
R' F2 D' B2 U L B2
U' F2 D2 R' U L2 R'
U' F2 D2 R' U R' L2
F2 D2 R L2 D' R F2
R' F2 D2 R2 D' F2 L'
L' F2 D2 L2 R D' F2
L' F2 D2 R L2 D' F2
F D2 L2 R D' R F2
F D2 L2 R2 U' R U
F D2 L2 U' R' U R'
U F2 D F2 B2 L U'
U F2 D B2 L F2 U'
U F2 D B2 F2 L U'
F D2 R L2 D' R F2
R F2 D' L' F2 D' R2
F' D2 R2 L2 U' R U
F' D2 R2 U' R U L2
F2 D2 R2 L2 U' R U
F2 D2 R2 U' R U L2
R F2 D2 R2 D L' F2
R' F2 B2 U L B2 R'
D' F2 B2 U2 L U' B2
F D2 R2 L2 U' R U
F D2 R2 U' R U L2
F' D2 U' R' U L2 R'
F' D2 U' R' U R' L2
D F2 B2 L R U' B2
D F2 B2 L R' U' B2
D F2 B2 L R2 U' B2
D F2 B2 L U' B2 D
D F2 B2 L U' B2 D'
D F2 B2 L U' B2 D2
D F2 B2 L D' R2 U'
F2 D2 U' R' U L2 R'
F2 D2 U' R' U R' L2
D F2 B2 R L U' B2
D F2 B2 R' L U' B2
D F2 B2 R2 L U' B2
D F2 B2 D' L R2 U'
D F2 B2 D' R2 L U'
F D2 U' R' U L2 R'
F D2 U' R' U R' L2
R' B' U B' L B2 R'
D2 B2 L U' L R2 B2
D2 B2 L U' L B2 R2
D2 B2 L U' R2 L B2
R' B2 L' U L2 B2 R'
D B2 L R F2 U' B2
D B2 L R' F2 U' B2
D B2 L R2 F2 U' B2
D B2 L U' B2 D R2
D B2 L F2 R U' B2
D B2 L F2 R' U' B2
D B2 L F2 R2 U' B2
D B2 L F2 U' B2 D
D B2 L F2 U' B2 D'
D B2 L F2 U' B2 D2
D B2 L F2 D' R2 U'
U B2 L U L R2 U2
U B2 L U R2 L U2
L B2 L U' R' B2 L
U B2 L D B2 U' R'
D' B2 L2 F2 R U B2
U2 B2 L2 R2 U' L' U'
D B2 L' F2 L2 U' B2
R2 B2 L2 U R U B2
D B2 R L F2 U' B2
D B2 R F2 L U' B2
D B2 R' L F2 U' B2
R' B2 U L R B2 R'
R' B2 U L R' B2 R'
R' B2 U L R2 B2 R'
R' B2 U L B2 R' D
R' B2 U L B2 R' D'
R' B2 U L B2 R' D2
R' B2 U L B2 D R'
R' B2 U L B2 D' R'
R' B2 U L B2 D2 R'
U2 B2 R2 L2 U' L' U'
L2 B2 R2 U' L U' B2
R' B2 U R L B2 R'
R' B2 U R' L B2 R'
R' B2 U R2 L B2 R'
D B2 R' F2 L U' B2
D B2 R2 L F2 U' B2
R' B2 U' L2 U2 L' B2
R' B2 U' L2 U2 B2 L'
D B2 R2 F2 L U' B2
U' B2 D' F2 B2 R' U
U' B2 D' B2 R' F2 U
U' B2 D' B2 F2 R' U
U B2 D L F2 B2 U'
U B2 D L B2 F2 U'
U B2 D F2 L B2 U'
R' B2 F U L B2 R'
R' B2 F' U L B2 R'
U B2 D2 L U' L R2
U B2 D2 L U' R2 L
R' B2 F2 U L B2 R'
D' B2 F2 U2 L U' B2
D B2 F' L F' U' B2
D B2 F2 L R U' B2
D B2 F2 L R' U' B2
D B2 F2 L R2 U' B2
D B2 F2 L U' B2 D
D B2 F2 L U' B2 D'
D B2 F2 L U' B2 D2
D B2 F2 L D' R2 U'
D B2 F2 R L U' B2
D B2 F2 R' L U' B2
D B2 F2 R2 L U' B2
D B2 F2 D' L R2 U'
D B2 F2 D' R2 L U'
