U' R' F2 U' F'
R' F2 U' L' F'
R' L F2 U' L' F
L R' F2 U' L' F
U2 R D R2 F B2
U2 R D R2 B2 F
U2 R D F R2 B2
U2 R D F B2 R2
U2 R D B2 R2 F
U2 R D B2 F R2
F2 R' U R U2 F'
U' R' U' D R2 F
U' R' U' D F R2
U' R' D U' R2 F
U' R' D U' F R2
U' R' F2 L U' F'
U' R' F2 L' U' F'
U' R' F2 L2 U' F'
U' R' F2 U' D F'
U' R' F2 U' D' F'
U' R' F2 U' D2 F'
U' R' F2 U' F' D
U' R' F2 U' F' D'
U' R' F2 U' F' D2
U' R' F2 D U' F'
U' R' F2 D' U' F'
U' R' F2 D2 U' F'
R D F B2 L R2
R D F B2 R2 L
U' D R' U' R' F
U' D R' U' F R'
R D B2 R2 F L
R D B2 F L R2
R D B2 F R2 L
D U' R' U' R' F
D U' R' U' F R'
F2 U' R' U' R F'
U' F R' F U' F'
U2 F U R' F U'
U2 F U F R' U'
R' F2 L U' L2 F'
R' F2 L U' F' L2
R' F2 L2 U' L F'
R' F2 L2 U' F' L
R' F2 U' L F' L2
R' F2 U' L' D F'
R' F2 U' L' D' F'
R' F2 U' L' D2 F'
R' F2 U' L' F' D
R' F2 U' L' F' D'
R' F2 U' L' F' D2
R' F2 U' L2 F' L
R' F2 U' D L' F'
R' F2 U' D' L' F'
R' F2 U' D2 L' F'
R' F2 D U' L' F'
R' F2 D' U' L' F'
R' F2 D2 U' L' F'
R' F2 B U' L' F'
R' F2 B' U' L' F'
R' F2 B2 U' L' F'
R' B F2 U' L' F'
R' B' F2 U' L' F'
R' B2 F2 U' L' F'
R' F2 D' L U' L2 F'
R' F2 D' L U' F' L2
R' F2 D' L2 U' L F'
R' F2 D' L2 U' F' L
R F2 U' F' D B2 L
R' F2 D' U' L F' L2
R' F2 D' U' L' D F'
R' F2 D' U' L' D' F'
R' F2 D' U' L' D2 F'
R' F2 D' U' L' F' D
R' F2 D' U' L' F' D'
R' F2 D' U' L' F' D2
R' F2 D' U' L2 F' L
R' F2 D' B U' L' F'
R' F2 D' B' U' L' F'
R' F2 D' B2 U' L' F'
R' F2 D2 L U' L2 F'
R' F2 D2 L U' F' L2
R' F2 D2 L2 U' L F'
R' F2 D2 L2 U' F' L
R' F2 D2 U' L F' L2
R' F2 D2 U' L' D F'
R' F2 D2 U' L' D' F'
R' F2 D2 U' L' D2 F'
R' F2 D2 U' L' F' D
R' F2 D2 U' L' F' D'
R' F2 D2 U' L' F' D2
R' F2 D2 U' L2 F' L
R' F2 D2 B U' L' F'
R' F2 D2 B' U' L' F'
R' F2 D2 B2 U' L' F'
R' F2 B L U' L2 F'
R' F2 B L U' F' L2
R F2 D U' F' B2 L
R F2 D U' B2 L F'
R F2 D U' B2 F' L
R' F2 B L2 U' L F'
R' F2 B L2 U' F' L
F2 D2 R' U R U2 F'
R' F2 B U' L F' L2
R' F2 B U' L' D F'
R' F2 B U' L' D' F'
R' F2 B U' L' D2 F'
R' F2 B U' L' F' D
R' F2 B U' L' F' D'
R' F2 B U' L' F' D2
R' F2 B U' L2 F' L
R' F2 B U' D L' F'
R' F2 B U' D' L' F'
R' F2 B U' D2 L' F'
R' F2 B D U' L' F'
R' F2 B D' U' L' F'
R' F2 B D2 U' L' F'
R' F2 B' L U' L2 F'
R' F2 B' L U' F' L2
R' F2 B' L2 U' L F'
R' F2 B' L2 U' F' L
R' F2 B' U' L F' L2
R' F2 B' U' L' D F'
R' F2 B' U' L' D' F'
R' F2 B' U' L' D2 F'
R' F2 B' U' L' F' D
R' F2 B' U' L' F' D'
R' F2 B' U' L' F' D2
R' F2 B' U' L2 F' L
R' F2 B' U' D L' F'
R' F2 B' U' D' L' F'
R' F2 B' U' D2 L' F'
R' F2 B' D U' L' F'
R' F2 B' D' U' L' F'
R' F2 B' D2 U' L' F'
R' F2 B2 L U' L2 F'
R' F2 B2 L U' F' L2
R' F2 B2 L2 U' L F'
R' F2 B2 L2 U' F' L
R' F2 B2 U' L F' L2
R' F2 B2 U' L' D F'
R' F2 B2 U' L' D' F'
R' F2 B2 U' L' D2 F'
R' F2 B2 U' L' F' D
R' F2 B2 U' L' F' D'
R' F2 B2 U' L' F' D2
R' F2 B2 U' L2 F' L
R' F2 B2 U' D L' F'
R' F2 B2 U' D' L' F'
R' F2 B2 U' D2 L' F'
R' F2 B2 D U' L' F'
R' F2 B2 D' U' L' F'
R' F2 B2 D2 U' L' F'
R' B L F2 U' L' F
F2 D2 U' R' U' R F'
D' B L2 B' U' R' U'
R2 B R F2 U' L' F'
R' B F2 L U' L2 F'
R' B F2 L U' F' L2
R' B F2 L2 U' L F'
R' B F2 L2 U' F' L
R' B F2 U' L F' L2
R' B F2 U' L' D F'
R' B F2 U' L' D' F'
R' B F2 U' L' D2 F'
R' B F2 U' L' F' D
R' B F2 U' L' F' D'
R' B F2 U' L' F' D2
R' B F2 U' L2 F' L
R' B F2 U' D L' F'
R' B F2 U' D' L' F'
R' B F2 U' D2 L' F'
R' B F2 D U' L' F'
R' B F2 D' U' L' F'
R' B F2 D2 U' L' F'
R' B' L F2 U' L' F
D' B' L2 B' U L U
R2 B' R F2 U' L' F'
L2 B' D L U2 R2 B'
L2 B' D L U2 B' R2
L2 B' D L' F U2 R2
R' B' F2 L U' L2 F'
R' B' F2 L U' F' L2
R' B' F2 L2 U' L F'
R' B' F2 L2 U' F' L
R' B' F2 U' L F' L2
R' B' F2 U' L' D F'
R' B' F2 U' L' D' F'
R' B' F2 U' L' D2 F'
R' B' F2 U' L' F' D
R' B' F2 U' L' F' D'
R' B' F2 U' L' F' D2
R' B' F2 U' L2 F' L
R' B' F2 U' D L' F'
R' B' F2 U' D' L' F'
R' B' F2 U' D2 L' F'
R' B' F2 D U' L' F'
R' B' F2 D' U' L' F'
R' B' F2 D2 U' L' F'
R' B2 L F2 U' L' F
D' B2 L2 B' U L' U
R2 B2 R F2 U' L' F'
R B2 R2 F2 U' L F'
R B2 R2 F2 U' F' L
B2 F2 U2 L U L' F'
F2 B2 U2 L U L' F'
R B2 D R2 F L B2
R B2 D F L R2 B2
R B2 D F L B2 R2
R B2 D F R2 L B2
R' B2 F2 L U' L2 F'
R' B2 F2 L U' F' L2
R' B2 F2 L2 U' L F'
R' B2 F2 L2 U' F' L
R' B2 F2 U' L F' L2
R' B2 F2 U' L' D F'
R' B2 F2 U' L' D' F'
R' B2 F2 U' L' D2 F'
R' B2 F2 U' L' F' D
R' B2 F2 U' L' F' D'
R' B2 F2 U' L' F' D2
R' B2 F2 U' L2 F' L
R' B2 F2 U' D L' F'
R' B2 F2 U' D' L' F'
R' B2 F2 U' D2 L' F'
R' B2 F2 D U' L' F'
R' B2 F2 D' U' L' F'
R' B2 F2 D2 U' L' F'
