U L' D F2 R
D' B2 R' U L'
U2 L U L U2 L
U2 L D' B2 U' R'
D L F2 R U' L2
U2 L B2 U' L2 R'
U2 L B2 U' R' L2
U L' R D F2 R
U L' R' D F2 R
U L' R2 D F2 R
U L' D R F2 R
U L' D R' F2 R
U L' D R2 F2 R
U L' D F2 R D
U L' D F2 R D'
U L' D F2 R D2
U L' D F2 D R
U L' D F2 D' R
U L' D F2 D2 R
U L' F2 R D F2
U L' F2 D R F2
U' L2 U' L' U' L2
U' L2 U2 L D F2
R' U L' D F2 R
R2 U L' D F2 R
R U L' D F2 R
U R L' D F2 R
D' R B2 R' U L'
U R' L' D F2 R
B2 R' U D2 L' R2
B2 R' U D2 R2 L'
B2 R' U' L2 U2 L
B2 R' D' B2 U L'
B2 R' D2 U L' R2
B2 R' D2 U R2 L'
D' R' B2 R' U L'
U R2 L' D F2 R
D' R2 B2 R' U L'
U2 D L F2 U' L2
D2 U L' R2 D F2
U D L' D R2 F2
U D L' D F2 R2
D U L' D R2 F2
D U L' D F2 R2
D2 U R2 L' D F2
R' D' B2 R' U L'
R2 D' B2 R' U L'
R D' B2 R' U L'
U2 D2 L U' L2 R2
U2 D2 L U' R2 L2
D2 U2 L U' L2 R2
D2 U2 L U' R2 L2
D U2 L F2 U' L2
U D2 L' R2 D F2
U D2 L' R2 D F2
U D2 R2 L' D F2
B2 D' R' B2 U L'
B2 D2 R' U L' R'
B2 D2 R' U R' L'
D2 B2 R' U L' R'
D2 B2 R' U R' L'
D' B2 R' U L' D
D' B2 R' U L' D'
D' B2 R' U L' D2
D' B2 R' U D L'
D' B2 R' U D' L'
D' B2 R' U D2 L'
D' B2 R' D U L'
D' B2 R' D' U L'
D' B2 R' D2 U L'
D' B2 D R' U L'
D' B2 D' R' U L'
D' B2 D2 R' U L'
D2 U2 L B2 U' L2 R2
D2 U2 L B2 U' R2 L2
U2 D2 L D' F2 B2 U'
D2 U2 L' R2 D F2 B2
D2 U2 L' R2 D B2 F2
U2 D2 L D' B2 F2 U'
U2 D2 L F U' L2 R2
U2 D2 L F U' R2 L2
U2 D2 L F' U' L2 R2
U2 D2 L F' U' R2 L2
D U2 L U' L2 D R2
U2 D2 L F2 U' L2 R2
U2 D2 L F2 U' R2 L2
U2 D2 L B U' L2 R2
U2 D2 L B U' R2 L2
U2 D2 L B' U' L2 R2
U2 D2 L B' U' R2 L2
U2 D2 L B2 U' L2 R2
U2 D2 L B2 U' R2 L2
U2 D2 L' R2 D F2 B2
U2 D2 L' R2 D B2 F2
D U2 L F2 U' L2 D
D U2 L F2 U' L2 D'
D U2 L F2 U' L2 D2
D U2 L F2 D' B2 U'
D U2 L F2 B U' L2
D U2 L F2 B' U' L2
D U2 L F2 B2 U' L2
D U2 L B F2 U' L2
D U2 L B' F2 U' L2
D U2 L B2 F2 U' L2
U D2 L' R D R F2
U D2 L' R' D R' F2
U D2 L' R' D F2 R'
U D2 L' R2 U L2 U'
U D2 L' R2 D F2 D
U D2 L' R2 D F2 D'
U D2 L' R2 D F2 D2
U D2 L' R2 F D F2
U D2 L' R2 F' D F2
U D2 L' R2 F2 D F2
U D2 L' U L2 U' R2
D U2 L' F2 L2 U' L2
U D2 L' D F2 D' R2
U D2 L' F R2 D F2
U D2 L' F' R2 D F2
U D2 L' F2 R2 D F2
R' D2 U L' R2 D F2
R' D2 U R2 L' D F2
R2 D2 U L' R2 D F2
U D2 R L' D R F2
R2 D2 U R2 L' D F2
R' D2 U2 L U' L2 R2
R' D2 U2 L U' R2 L2
D2 U2 R2 L' D F2 B2
D2 U2 R2 L' D B2 F2
L2 D2 U' L' R2 U' L2
L2 D2 U' R2 L' U' L2
R D2 U L' R2 D F2
F2 U2 L U L R U2
U D2 R' L' D R' F2
U D2 R' L' D F2 R'
F2 U2 L U R L U2
R D2 U R2 L' D F2
U2 D2 R2 L' D F2 B2
U2 D2 R2 L' D B2 F2
L2 D2 U2 L D F2 B2
L2 D2 U2 L D B2 F2
R2 D2 U2 L U' L2 R2
R2 D2 U2 L U' R2 L2
U D2 R2 L' U L2 U'
U D2 R2 L' D F2 D
U D2 R2 L' D F2 D'
U D2 R2 L' D F2 D2
U D2 R2 L' F D F2
U D2 R2 L' F' D F2
U D2 R2 L' F2 D F2
U D2 R2 U L U' L2
U D2 R2 D L' D F2
R D2 U2 L U' L2 R2
R D2 U2 L U' R2 L2
U D2 R2 D' L' D F2
U D2 R2 D2 L' D F2
D U2 F2 L U R U2
R' D2 B2 R' U L' R'
R' D2 B2 R' U R' L'
F2 U2 D L F2 U' L'
F2 U2 D F2 L U' L2
R2 D2 B2 R' U L' R'
R2 D2 B2 R' U R' L'
R D2 B2 R' U L' R'
R D2 B2 R' U R' L'
L2 F U L2 U L' F
L F U L F U2 L
F2 D L F2 R U' L'
B2 D R' U L' D R2
B2 D R' U D L' R2
B2 D R' U D R2 L'
B2 D R' D U L' R2
B2 D R' D U R2 L'
B2 D R' D2 B2 U L'
D' F B2 R' F' U L'
B D U L' D R2 F
B D U L' D F R2
F2 D U2 L F2 U' L'
F2 D U2 F2 L U' L2
B2 D' R B2 R2 U L'
B2 D' R' U L' D' R2
B2 D' R' U D' L' R2
B2 D' R' U D' R2 L'
B2 D' R' D' U L' R2
B2 D' R' D' U R2 L'
B D' R B2 U L' F'
B2 D' R' B2 U L' D
B2 D' R' B2 U L' D'
B2 D' R' B2 U L' D2
B2 D' R' B2 U D L'
B2 D' R' B2 U D' L'
B2 D' R' B2 U D2 L'
B2 D' R' B2 D U L'
B2 D' R' B2 D' U L'
B2 D' R' B2 D2 U L'
B2 D' R2 B2 R U L'
D' F' B2 R' F U L'
F2 D' R2 B2 R' U L
U2 F2 L U L R U2
U2 F2 L U R L U2
U F2 L' D F2 L' R
U F2 L' D F2 R L'
F2 D' F2 B2 R' U L'
L F2 R U L U2 L
F D' F' B2 R' U L'
L F2 R D' B2 U' R'
B' D' B' R' B' U L'
D' F2 R2 B2 R' U L
L F2 R B2 U' L2 R'
L F2 R B2 U' R' L2
B' D' B2 U D L' F
L2 F2 U L2 R U L'
L2 F2 U R L2 U L'
B' D' B2 D U L' F
F2 D' B2 R' U D2 L2
F2 D' B2 R' U' R2 U2
B2 D' B2 U L' D F2
F2 D' B2 R' D' F2 U
F2 D' B2 R' D2 U L2
B2 D' B2 U2 L U' L2
F2 D' B2 F2 R' U L'
B D' B2 R U L' F'
B D' B2 U D2 L' F
B D' B2 D2 U L' F
F D' B2 R' F' U L'
F D' B2 F' R' U L'
U2 F2 D L F2 U' L'
U2 F2 D F2 L U' L2
B' D2 R' U L' R' F'
B' D2 R' U R' L' F'
B2 D2 R' U L' R' D
B2 D2 R' U L' R' D'
B2 D2 R' U L' R' D2
B2 D2 R' U L' D R'
B2 D2 R' U L' D' R'
B2 D2 R' U L' D2 R'
B2 D2 R' U R' L' D
B2 D2 R' U R' L' D'
B2 D2 R' U R' L' D2
B2 D2 R' U R' D L'
B2 D2 R' U R' D' L'
B2 D2 R' U R' D2 L'
B2 D2 R' U D L' R'
B2 D2 R' U D R' L'
B2 D2 R' U D' L' R'
B2 D2 R' U D' R' L'
B2 D2 R' U D2 L' R'
B2 D2 R' U D2 R' L'
L F2 D' R B2 U' R'
B2 D2 R' D U L' R'
B2 D2 R' D U R' L'
B2 D2 R' D' U L' R'
B2 D2 R' D' U R' L'
B2 D2 R' D2 U L' R'
B2 D2 R' D2 U R' L'
L F2 D' B2 R U' R2
B' D2 U L' R' F' R'
B' D2 U R' L' F' R'
B' D2 U R2 D2 L' F
D' F2 B2 R' U D2 L2
D' F2 B2 R' U' R2 U2
D' F2 B2 R' D' F2 U
D' F2 B2 R' D2 U L2
L' F2 B2 R D F2 B2
L' F2 B2 R D B2 F2
B D2 U R2 D' L' F
L F2 B2 R U' L2 R2
L F2 B2 R U' R2 L2
B' D2 B' R' U L' R'
B' D2 B' R' U R' L'
D2 B U R2 D L' F
D B U D L' R2 F
D B U D L' F R2
D B U D R2 L' F
D' B D B U L' F
D2 B D B2 U L' F
D B D U L' R2 F
D B D U L' F R2
D B D U R2 L' F
D' B' R B' R' U L'
D2 B' R' U L' R' F'
D2 B' R' U R' L' F'
D' B' R' B' R' U L'
D' B' R2 B' R' U L'
D2 B' U L' R' F' R'
D2 B' U R' L' F' R'
D2 B' U R2 D2 L' F
U2 B' U L2 U2 L F
D' B' D B' R' U L'
D' B' D' B' R' U L'
D' B' D2 B' R' U L'
U' B2 L2 U R' U L
D' B2 R U L' D' F2
D' B2 R U D' L' F2
D' B2 R D' U L' F2
L' B2 R D F2 R B2
L' B2 R D F2 B2 R
L' B2 R D B2 F2 R
D2 B2 R' U L' R' D
D2 B2 R' U L' R' D'
D2 B2 R' U L' R' D2
D2 B2 R' U L' D R'
D2 B2 R' U L' D' R'
D2 B2 R' U L' D2 R'
R' B2 R' U D2 L' R2
R' B2 R' U D2 R2 L'
D2 B2 R' U R' L' D
D2 B2 R' U R' L' D'
D2 B2 R' U R' L' D2
D2 B2 R' U R' D L'
D2 B2 R' U R' D' L'
D2 B2 R' U R' D2 L'
D2 B2 R' U D L' R'
D2 B2 R' U D R' L'
D2 B2 R' U D' L' R'
D2 B2 R' U D' R' L'
D2 B2 R' U D2 L' R'
D2 B2 R' U D2 R' L'
R' B2 R' U' L2 U2 L
D' B2 R' U L2 D L
D' B2 R' U L2 D' L
D' B2 R' U L2 D2 L
D' B2 R' U D L' D
D' B2 R' U D L' D'
D' B2 R' U D L' D2
D' B2 R' U D' L' D
D' B2 R' U D' L' D'
D' B2 R' U D' L' D2
D' B2 R' U D2 L' D
D' B2 R' U D2 L' D'
D' B2 R' U D2 L' D2
D2 B2 R' D U L' R'
D2 B2 R' D U R' L'
D' B2 R' U B' L' B
D' B2 R' U B2 L' B2
D' B2 R' U' R U2 L'
D' B2 R' U' R' U2 L'
D' B2 R' U' R2 U2 L'
D2 B2 R' D' U L' R'
D2 B2 R' D' U R' L'
R' B2 R' D' B2 U L'
R' B2 R' D2 U L' R2
R' B2 R' D2 U R2 L'
D2 B2 R' D2 U L' R'
D2 B2 R' D2 U R' L'
D' B2 R' U2 B U' L'
D' B2 R' U2 B' U' L'
D' B2 R' U2 B2 U' L'
D' B2 R' D U L' D
D' B2 R' D U L' D'
D' B2 R' D U L' D2
D' B2 R' D' U L' D
D' B2 R' D' U L' D'
D' B2 R' D' U L' D2
D' B2 R' D2 U L' D
D' B2 R' D2 U L' D'
D' B2 R' D2 U L' D2
D' B2 R' F2 U' R U2
D' B2 R2 D R U L'
D' B2 R2 D' R U L'
D' B2 R2 D2 R U L'
R2 B2 R' U D2 L' R2
R2 B2 R' U D2 R2 L'
R2 B2 R' U' L2 U2 L
D B2 R' U L' D R2
D B2 R' U D L' R2
D B2 R' U D R2 L'
R2 B2 R' D' B2 U L'
R2 B2 R' D2 U L' R2
R2 B2 R' D2 U R2 L'
D B2 R' D U L' R2
D B2 R' D U R2 L'
D B2 R' D2 B2 U L'
D' B2 U L' U' R' U
R B2 R' U D2 L' R2
R B2 R' U D2 R2 L'
R B2 R' U' L2 U2 L
B2 F2 R' U D2 L2 R2
B2 F2 R' U D2 R2 L2
B2 F2 R' U' L2 R2 U2
B2 F2 R' U' R2 L2 U2
R B2 R' D' B2 U L'
F2 B2 R' U D2 L2 R2
F2 B2 R' U D2 R2 L2
R B2 R' D2 U L' R2
R B2 R' D2 U R2 L'
F2 B2 R' U' L2 R2 U2
F2 B2 R' U' R2 L2 U2
B2 F2 R' D' F2 B2 U
B2 F2 R' D' B2 F2 U
B2 F2 R' D2 U L2 R2
B2 F2 R' D2 U R2 L2
F2 B2 R' D' F2 B2 U
F2 B2 R' D' B2 F2 U
F2 B2 R' D2 U L2 R2
F2 B2 R' D2 U R2 L2
D' B2 U2 B2 L U' L2
D2 B2 D R' B2 U L'
D' B2 D R' U L' D
D' B2 D R' U L' D'
D' B2 D R' U L' D2
D' B2 D R' U D L'
D' B2 D R' U D' L'
D' B2 D R' U D2 L'
D' B2 D R' D U L'
D' B2 D R' D' U L'
D' B2 D R' D2 U L'
L' B2 D F2 R D B2
R' B2 D' R' B2 U L'
D' B2 D' R' U L' D
D' B2 D' R' U L' D'
D' B2 D' R' U L' D2
D' B2 D' R' U D L'
D' B2 D' R' U D' L'
D' B2 D' R' U D2 L'
L B2 U2 L' U L' R'
L B2 U2 L' U R' L'
D' B2 D' R' D U L'
D' B2 D' R' D' U L'
D' B2 D' R' D2 U L'
D B2 D R' U L' R'
D B2 D R' U R' L'
R' B2 D2 R' U L' R'
R' B2 D2 R' U R' L'
D' B2 D2 R' U L' D
D' B2 D2 R' U L' D'
D' B2 D2 R' U L' D2
D' B2 D2 R' U D L'
D' B2 D2 R' U D' L'
D' B2 D2 R' U D2 L'
D' B2 D2 R' D U L'
D' B2 D2 R' D' U L'
D' B2 D2 R' D2 U L'
R2 B2 D' R' B2 U L'
D' B2 F R' F' U L'
R2 B2 D2 R' U L' R'
R2 B2 D2 R' U R' L'
D B2 D2 R' B2 U L'
R B2 D' R' B2 U L'
D' B2 F' R' F U L'
D' B2 F2 R' U D2 L2
D' B2 F2 R' U' R2 U2
D' B2 F2 R' D' F2 U
D' B2 F2 R' D2 U L2
L' B2 F2 R D F2 B2
L' B2 F2 R D B2 F2
R B2 D2 R' U L' R'
R B2 D2 R' U R' L'
L B2 F2 R U' L2 R2
L B2 F2 R U' R2 L2
