R' U' B2 L F
R' L U' B2 L F
B L U R2 F' U2
B L U' D2 L2 B
B L U' D2 B L2
B L U' B D2 L2
B L D B2 U' B'
U' L D2 F L2 B'
B L D2 U' L2 B
B L D2 U' B L2
U' L F B2 D2 L2
R' L' U' B2 L F
L' R' U' B2 L F
L R' U' B2 L F
L2 R' U' B2 L F
U' L B2 D2 F L2
U' L B2 F D2 L2
R' L2 U' B2 L F
R' U R' U2 F' B2
R' U R' U2 B2 F'
R U R B U2 B
R' U' L F B2 L
R' U' L B2 F L
R' U' F B2 L F
R' U' F' B2 L F
R' U' F2 B2 L F
U2 R' U B2 L F
R' U' B2 L D F
R' U' B2 L D' F
R' U' B2 L D2 F
R' U' B2 L F D
R' U' B2 L F D'
R' U' B2 L F D2
R' U' B2 D L F
R' U' B2 D' L F
R' U' B2 D2 L F
R' U' B2 F L F
U R' U2 F' B2 L
R' U' B2 F' L F
R' U' B2 F2 L F
U R' U2 B2 L F'
U R' U2 B2 F' L
U' R' B2 L R F
U' R' B2 R L F
B D L B2 U' B'
B' D B2 L U' B
B D2 L U' L B
U' B2 L D2 F L2
U' B2 L F D2 L2
U' B2 L' D2 L2 F
U' B2 D2 L F L
B D2 L D' U' L B
B D2 L D2 U' L B
U' F2 B2 L D2 F L2
U' F2 B2 L F D2 L2
U' F2 B2 L' D2 L2 F
U' F2 B2 D2 L F L
D' B L R2 U' D' L2
D' B L R2 U2 F2 U
D' B L R2 D' U' L2
D' B L R2 D2 B2 U'
D2 B L U F2 U2 L
D2 B L U' L D2 B2
U' B L D2 F L2 B
U' B L D2 F B L2
D2 B L U' D2 L B2
U' B L D2 B F L2
U' B L F D2 L2 B
U' B L F D2 B L2
U' B L F B D2 L2
L' B L U R2 F' U2
D2 B L D R2 U' L
L' B L U' D2 L2 B
L' B L U' D2 B L2
L' B L U' B D2 L2
D2 B L D2 U' L B2
U' B L B D2 F L2
U' B L B F D2 L2
L' B L D B2 U' B'
L' B L D2 U' L2 B
L' B L D2 U' B L2
R' B L B' U' B2 L
B' D2 U2 R' U B' L2
R' B L B2 U' B' L
L2 B L U R2 F' U2
L2 B L U' D2 L2 B
L2 B L U' D2 B L2
L2 B L U' B D2 L2
U' B L' D2 L2 F B
U' B L' D2 L2 B F
L2 B L D B2 U' B'
L2 B L D2 U' L2 B
L2 B L D2 U' B L2
U' B L' B D2 L2 F2
U' B L' B D2 F2 L2
L B L U R2 F' U2
R F2 B2 D L' R2 F
R F2 B2 D L' F R2
R F2 B2 D R2 L' F
L B L U' D2 L2 B
L B L U' D2 B L2
L B L U' B D2 L2
D B L B2 R' B' U'
L B L D B2 U' B'
L B L D2 U' L2 B
L B L D2 U' B L2
D' B R2 L U' D' L2
D' B R2 L U2 F2 U
D' B R2 L D' U' L2
D' B R2 L D2 B2 U'
D' B R2 D' L U' L
D' B R2 D2 L B2 U'
U B R B R F' U2
B' D2 B2 L U' L B
L' B D L B2 U' B'
L2 B D L B2 U' B'
D2 B D' L B2 R' U'
U' B D2 L F L B
D' B D2 L B2 R' U'
L' B D2 L U' L B
L B D L B2 U' B'
U' B D2 B L F L
D B D' L B U' B
L2 B D2 L U' L B
D B D2 L B R2 U'
L B D2 L U' L B
D' B' R2 U2 R F2 U
U B' R B R U2 B2
R' B' U2 R' U B' L
D B' U2 L2 R' F U
D B' U2 L2 F R' U
D B' U2 R' L2 F U
L' B' D B2 L U' B
L2 B' D B2 L U' B
U' B' D2 B' L F L
L B' D B2 L U' B
U' B2 L U2 R2 U2 F
U' B2 L D F D L2
U' B2 L D2 F L2 D
U' B2 L D2 F L2 D'
U' B2 L D2 F L2 D2
U' B2 L D2 F' L2 F2
U' B2 L D2 F2 L2 F'
U' B2 L F L D2 L2
U' B2 L F L' D2 L2
U' B2 L F L2 D2 L2
U' B2 L F U2 R2 U2
U' B2 L F D2 L2 D
U' B2 L F D2 L2 D'
U' B2 L F D2 L2 D2
U' B2 L F2 D2 L2 F'
U' B2 L F2 D2 F' L2
U' B2 L' U2 R2 B' U2
U' B2 L' U2 B' R2 U2
U' B2 L' D2 L2 D F
U' B2 L' D2 L2 D' F
U' B2 L' D2 L2 D2 F
U' B2 L' D2 L2 F D
U' B2 L' D2 L2 F D'
U' B2 L' D2 L2 F D2
U' B2 L' D2 F L2 F
U' B2 L' D2 F' L2 F
U' B2 L' D2 F2 L2 F
U' B2 L' F D2 L2 F
U' B2 L' F' D2 L2 F
U' B2 L' F2 D2 L2 F
U B2 R B R U2 B'
U' B2 U2 R B R U2
U' B2 D L D F L2
U' B2 D L F D L2
U' B2 D L' D L2 F
U' B2 D' L D' F L2
U' B2 D' L' D' L2 F
U' B2 D2 L D F L
U' B2 D2 L D' F L
U' B2 D2 L D2 F L
U' B2 D2 L F L D
U' B2 D2 L F L D'
U' B2 D2 L F L D2
U' B2 D2 L F D L
U' B2 D2 L F D' L
U' B2 D2 L F D2 L
U' B2 D2 L F' L F2
U' B2 D2 L F2 L F'
U' B2 D2 F L F L
U' B2 D2 F' L F L
U' B2 D2 F2 L F L
U' B2 F L D2 F L2
U' B2 F L F D2 L2
U' B2 F L' D2 L2 F
D B2 D' R U' F' B2
D B2 D' R U' B2 F'
U' B2 F D2 L F L
U' B2 F' L D2 F L2
U' B2 F' L F D2 L2
U' B2 F' L' D2 L2 F
U' B2 F' D2 L F L
U' B2 F2 L D2 F L2
U' B2 F2 L F D2 L2
U' B2 F2 L' D2 L2 F
U' B2 F2 D2 L F L
R B2 F2 D L' R2 F
R B2 F2 D L' F R2
R B2 F2 D R2 L' F
