U2 R2 U B U F2
F2 U D F B2 U'
F2 U D B2 F U'
F2 U D2 F U' L2
F2 U F U R2 U2
F2 U F U' D2 L2
F2 U F D B2 U'
F2 U F D2 U' L2
F2 U2 R2 U' F U'
F2 D U F B2 U'
F D R2 D F L2
F2 D U B2 F U'
F D R2 F D L2
F D F R2 D L2
F' D B2 U' F' B2
F' D B2 U' B2 F'
U F' U R2 B U2
U F' U' D2 L2 F'
U F' U' D2 F' L2
U F' U' F' D2 L2
U F' D B2 U' F'
U F' D2 U' L2 F'
U F' D2 U' F' L2
F2 D2 L2 U' B' U
F2 D2 U F U' L2
F D2 F L2 D' R2
B F' D B2 U' F' B
B F' D B2 U' B F'
F' B' D2 U' L2 F' B
F' B' D2 U' L2 B F'
F' B' D2 U' F' L2 B
F' B' D2 U' F' B L2
F' B' D2 U' B L2 F'
F' B' D2 U' B F' L2
F2 B' D2 L2 B D' R2
B F' D2 U' F' B' L2
B F' D2 U' B' L2 F'
B F' D2 U' B' F' L2
U2 B2 R2 U B U F2
D2 B2 U' F' U' L2 B2
D2 B2 U' F' U' B2 L2
R2 B2 U B' U F2 B'
R2 B2 U B' U B' F2
F' B2 U R2 B U2 B
D B2 U2 R2 B U B
F' B2 U' F' B2 D2 L2
F' B2 U' B2 D2 L2 F'
F' B2 U' B2 D2 F' L2
F' B2 U' B2 F' D2 L2
B' F2 D2 L2 B D' R2
D B2 F' U' B2 D' F2
D B2 F' U2 R2 U B2
D B2 F' D' R2 U' F2
U B2 F' U R2 B U2
U B2 F' U' D2 L2 F'
U B2 F' U' D2 F' L2
U B2 F' U' F' D2 L2
U B2 F' D B2 U' F'
U B2 F' D2 U' L2 F'
U B2 F' D2 U' F' L2
