R2 F' U' F B
R2 F' U' B F
R2 L F' U' F B
R2 L F' U' B F
R2 L' F' U' F B
R2 L' F' U' B F
L' R2 F' U' F B
L' R2 F' U' B F
L2 R2 F' U' F B
L2 R2 F' U' B F
L2 R2 F' U' B F
R2 L2 F' U' F B
R2 L2 F' U' B F
L R2 F' U' F B
L R2 F' U' B F
D2 R2 F' U' F B
D2 R2 F' U' B F
D' R2 F' U' F B
D' R2 F' U' B F
D R2 F' U' F B
D R2 F' U' B F
R2 D F' U' F B
R2 D F' U' B F
R2 D' F' U' F B
R2 D' F' U' B F
R2 D2 F' U' F B
R2 D2 F' U' B F
F' U2 B U F B'
F' U2 B U B' F
U2 F' U F B U
U2 F' U B F U
R2 F' U' D F B
R2 F' U' D B F
R2 F' U' D' F B
R2 F' U' D' B F
R2 F' U' D2 F B
R2 F' U' D2 B F
R2 F' U' F D B
R2 F' U' F D' B
R2 F' U' F D2 B
R2 F' U' F B D
R2 F' U' F B D'
R2 F' U' F B D2
R2 F' U' B D F
R2 F' U' B D' F
R2 F' U' B D2 F
R2 F' U' B F D
R2 F' U' B F D'
R2 F' U' B F D2
R2 F' D U' F B
R2 F' D U' B F
R2 F' D' U' F B
R2 F' D' U' B F
R2 F' D2 U' F B
R2 F' D2 U' B F
R2 B U F' B' U'
R2 B U B' F' U'
U2 B U' F' B' U2
U2 B U' B' F' U2
U2 B R2 U' B' U2 B2
U' B U' F' U F U
R2 B U D F' B' U'
R2 B U D B' F' U'
R2 B U D' F' B' U'
R2 B U D' B' F' U'
R2 B U D2 F' B' U'
R2 B U D2 B' F' U'
R2 B U F' D B' U'
R2 B U F' D' B' U'
R2 B U F' D2 B' U'
R2 B U F' B' U' D
R2 B U F' B' U' D'
R2 B U F' B' U' D2
R2 B U F' B' D U'
R2 B U F' B' D' U'
R2 B U F' B' D2 U'
R2 B U B' D F' U'
R2 B U B' D' F' U'
R2 B U B' D2 F' U'
R2 B U B' F' U' D
R2 B U B' F' U' D'
R2 B U B' F' U' D2
R2 B U B' F' D U'
R2 B U B' F' D' U'
R2 B U B' F' D2 U'
U2 B U' D F' B' U2
U2 B U' D B' F' U2
U2 B U' D' F' B' U2
U2 B U' D' B' F' U2
U2 B U' D2 F' B' U2
U2 B U' D2 B' F' U2
U2 B U' F' D B' U2
U2 B U' F' D' B' U2
U2 B U' F' D2 B' U2
U2 B U' F' B' U2 D
U2 B U' F' B' U2 D'
U2 B U' F' B' U2 D2
U2 B U' F' B' D U2
U2 B U' F' B' D' U2
U2 B U' F' B' D2 U2
U2 B U' B' D F' U2
U2 B U' B' D' F' U2
U2 B U' B' D2 F' U2
U2 B U' B' F' U2 D
U2 B U' B' F' U2 D'
U2 B U' B' F' U2 D2
U2 B U' B' F' D U2
U2 B U' B' F' D' U2
U2 B U' B' F' D2 U2
U2 B D U' F' B' U2
U2 B D U' B' F' U2
F2 B L2 F U F B'
F2 B L2 F U B' F
R2 B D U F' B' U'
R2 B D U B' F' U'
U2 B D' U' F' B' U2
U2 B D' U' B' F' U2
R2 B D' U F' B' U'
R2 B D' U B' F' U'
U2 B D2 U' F' B' U2
U2 B D2 U' B' F' U2
U' B F D' L2 U L2
R2 B D2 U F' B' U'
R2 B D2 U B' F' U'
U' B F2 L2 U B' L2
F' B U2 B' U' F B
F' B U2 B' U' B F
B F D' L2 F U F2
F B D' L2 F U F2
U' B' R2 D' F2 B R2
U' B' R2 D' B R2 F2
U' B' R2 D' B F2 R2
U2 B' R2 B2 U F' B'
U2 B' R2 B2 U B' F'
U2 B' U D' R2 F' B
U2 B' U D' R2 B F'
R2 B' U F' B U' B
R2 B' U B F' U' B
U' B' D' R2 D' F2 B
U' B' D' R2 D' B F2
U' B' D' R2 B D' F2
U2 B' D' U R2 F' B
U2 B' D' U R2 B F'
B F' U2 B' U' F B
B F' U2 B' U' B F
U' B2 R2 B D' R2 F2
U' B2 R2 B D' F2 R2
B F2 L2 F U F B'
B F2 L2 F U B' F
R2 B2 U F' B2 U' B
R2 B2 U B2 F' U' B
U2 B2 D' R2 B' U B2
U2 B2 D' B' R2 U B
R B2 D L2 R B R'
R B2 D R L2 B R'
R B2 D R B L2 R'
R B2 D R B R' L2
