U2 L U L' F2 B
U2 L U L' B F2
U L U F2 B R
U2 L U B L' F2
U L U B F2 R
U2 L' U L F2 B
U2 L' U L B F2
U2 L' U F2 L B
U2 L2 U L2 F2 B
U2 L2 U L2 B F2
U2 L2 U F2 L2 B
U2 L2 U F2 B L2
U2 L2 U B L2 F2
U2 L2 U B F2 L2
R U R' U2 F2 B
R U R' U2 F2 B
R U R' U2 B F2
R2 U R2 U2 F2 B
R2 U R2 U2 B F2
R2 U F' R2 B U2
U' R U' R' F2 B
U' R U' R' B F2
U' R U' F2 R' B
B' R U' F2 B2 L
B' R U' B2 L F2
B' R U' B2 F2 L
R2 U' F2 D2 L2 B'
B' R' U' F2 L' B2
B' R' U' F2 B2 L'
B' R' U' B2 F2 L'
B2 R' U' F2 B' L'
B2 R' U' B' F2 L'
B R' F2 L' D R2
B R' F2 D L' R2
B R' F2 D R2 L'
U' R2 U' R2 F2 B
U' R2 U' R2 B F2
F' U' F U' F2 B
F' U' F U' B F2
B' U' F2 B2 D L2
F U' F' U' F2 B
F U' F' U' B F2
B' U' B2 F2 D L2
F' U2 F' D B R2
F' U2 F' B D R2
F U2 F D B R2
F U2 F B D R2
B' U2 F2 B2 D' R2
F' U2 B F' D R2
F U2 B F D R2
F U2 B F D R2
B' U2 B2 F2 D' R2
F2 D B R2 D2 L2
U' F2 B U B' U'
U2 F2 B U' B' U
U' F2 B2 D B' L2
U2 F2 B2 D' R2 B'
U2 F2 B2 D' B' R2
U' B U B' U' F2
U2 B U' B' U F2
U' B F2 U B' U'
U2 B F2 U' B' U
F2 B D R2 D2 L2
B F2 D R2 D2 L2
U' B2 F2 D B' L2
U2 B2 F2 D' R2 B'
U2 B2 F2 D' B' R2
B' U L' U F2 B2 R'
B' U L' U B2 R' F2
B' U L' U B2 F2 R'
F' U L2 B' U F' B2
F' U L2 B' U B2 F'
R2 D B2 U2 R2 U B
U2 D B U' R2 B' U
U2 D B U' B' R2 U
F2 U F2 U' D' L2 B
F2 U F2 U' D' B L2
F2 U F2 U' B D' L2
F2 U F2 U2 F2 U B
F2 U F2 D' U' L2 B
F2 U F2 D' U' B L2
U' D B2 D B' L2 F
F2 U F2 D2 B2 U' B'
U2 D B2 D' R2 F2 B'
U2 D B2 D' R2 B' F2
U2 D B2 D' F2 R2 B'
U2 D B2 D' F2 B' R2
U2 D B2 D' B' R2 F2
U2 D B2 D' B' F2 R2
U' D' L2 R U' R' B
D' U' L2 R U' R' B
U' D' L2 R2 U' R2 B
D' U' L2 R2 U' R2 B
U2 D' L2 U B L2 F
U' D' R L2 U' R' B
D' U' R L2 U' R' B
B' U' L F2 B2 D L2
B' U' L B2 F2 D L2
B' U' L' F2 B2 D L2
B' U' L' B2 F2 D L2
U' D' R2 L2 U' R2 B
D' U' R2 L2 U' R2 B
B' U' L2 F2 B2 D L2
B' U' L2 B2 F2 D L2
B' U' R U' R' F2 B2
B' U' R U' R' B2 F2
B' U' R U' F2 R' B2
B2 U' R U' R' F2 B'
B2 U' R U' R' B' F2
B2 U' R U' F2 R' B'
B U' R U R' F2 L'
B' U' R' U' R F2 B2
B' U' R' U' R B2 F2
B' U' R' U' B2 R F2
B2 U' R' U' R F2 B'
B2 U' R' U' R B' F2
B2 U' R' U' B' R F2
B' U' R2 U' R2 F2 B2
B' U' R2 U' R2 B2 F2
B' U' R2 U' F2 R2 B2
B' U' R2 U' F2 B2 R2
B' U' R2 U' B2 R2 F2
B' U' R2 U' B2 F2 R2
B2 U' R2 U' R2 F2 B'
B2 U' R2 U' R2 B' F2
B2 U' R2 U' F2 R2 B'
B2 U' R2 U' F2 B' R2
B2 U' R2 U' B' R2 F2
B2 U' R2 U' B' F2 R2
F' U' D F U' F2 B
F' U' D F U' B F2
D' U' B U B' L2 U'
U' D' B U B' L2 U'
B' U' D' L2 R2 U' R2
B' U' D' R2 L2 U' R2
F' U' D' F U' F2 B
F' U' D' F U' B F2
U2 D' B U L2 F U'
F U' D F' U' F2 B
F U' D F' U' B F2
F' U' D2 F U' F2 B
F' U' D2 F U' B F2
F' U' F L U' F2 B
F' U' F L U' B F2
F' U' F L' U' F2 B
F' U' F L' U' B F2
F' U' F L2 U' F2 B
F' U' F L2 U' B F2
F U' D' F' U' F2 B
F U' D' F' U' B F2
U' D' B2 D F2 B' L2
D' U' B2 D F2 B' L2
U' D' B2 D B' L2 F2
D' U' B2 D B' L2 F2
U' D' B2 D B' F2 L2
D' U' B2 D B' F2 L2
F' U' F U' F2 D B
F' U' F U' F2 D' B
F' U' F U' F2 D2 B
F' U' F U' F2 B D
F' U' F U' F2 B D'
F' U' F U' F2 B D2
F' U' F U' B F2 D
F' U' F U' B F2 D'
F' U' F U' B F2 D2
F' U' F D' L2 U' B
B' U' F B2 D F L2
F U' D2 F' U' F2 B
F U' D2 F' U' B F2
D U' B2 D B' L2 F
B' U' F' B2 D L2 F'
B' U' F' B2 D F' L2
B' U' F2 L B2 D L2
B' U' F2 L' B2 D L2
B' U' F2 L2 B2 D L2
F U' F' L U' F2 B
F U' F' L U' B F2
F U' F' L' U' F2 B
F U' F' L' U' B F2
F U' F' L2 U' F2 B
F U' F' L2 U' B F2
B' U' F2 B2 L D L2
B' U' F2 B2 L' D L2
D' U2 L2 U B L2 F
B' U' F2 B2 L2 D L2
B' U' F2 B2 U B2 U'
B' U' F2 B2 D L2 D
B' U' F2 B2 D L2 D'
B' U' F2 B2 D L2 D2
F U' F' U' F2 D B
F U' F' U' F2 D' B
F U' F' U' F2 D2 B
F U' F' U' F2 B D
F U' F' U' F2 B D'
F U' F' U' F2 B D2
F U' F' U' B F2 D
F U' F' U' B F2 D'
F U' F' U' B F2 D2
B2 U' F2 B' U B U'
F U' F' D' L2 U' B
B2 U' F2 B2 D L2 B
B2 U' F2 B2 D B L2
B2 U' B' U B U' F2
B' U' B2 L F2 D L2
B' U' B2 L' F2 D L2
B' U' B2 L2 F2 D L2
B2 U' B' F2 U B U'
B' U' B2 U B2 U' F2
B' U' B2 D L2 D' F2
B' U' B2 F D F L2
B' U' B2 F' D L2 F'
B' U' B2 F' D F' L2
B' U' B2 F2 L D L2
B' U' B2 F2 L' D L2
R2 D2 U F' B2 U2 L2
B' U' B2 F2 L2 D L2
B' U' B2 F2 U B2 U'
B' U' B2 F2 D L2 D
B' U' B2 F2 D L2 D'
B' U' B2 F2 D L2 D2
B' U2 L U L' F2 B2
B' U2 L U L' B2 F2
R2 D2 U B2 F' U2 L2
B' U2 L U B2 L' F2
B2 U' B2 F2 D L2 B
B2 U' B2 F2 D B L2
R D2 U B2 U2 L B'
B' U2 L' U L F2 B2
B' U2 L' U L B2 F2
B' U2 L' U F2 L B2
B2 U2 L' U L F2 B'
B2 U2 L' U L B' F2
B2 U2 L' U F2 L B'
B' U2 L2 U L2 F2 B2
B' U2 L2 U L2 B2 F2
B' U2 L2 U F2 L2 B2
B' U2 L2 U F2 B2 L2
B' U2 L2 U B2 L2 F2
B' U2 L2 U B2 F2 L2
B2 U2 L2 U L2 F2 B'
B2 U2 L2 U L2 B' F2
B' U2 R F2 B2 D' R2
B' U2 R B2 F2 D' R2
D' U2 B U L2 F U'
B' U2 R' F2 B2 D' R2
B' U2 R' B2 F2 D' R2
D U2 B U' R2 B' U
D U2 B U' B' R2 U
B' U2 R2 F2 B2 D' R2
B' U2 R2 B2 F2 D' R2
B' U2 D L2 R2 U L2
B' U2 D R2 L2 U L2
D2 U2 B2 D' B' R2 F'
F' U2 D F' D B R2
F' U2 D F' B D R2
F' U2 D B F' D R2
F2 U2 D B' R2 F' B2
F2 U2 D B' R2 B2 F'
U2 D2 B2 D' B' R2 F'
F2 U2 D' L2 U2 L2 B
F2 U2 D' L2 U2 B L2
F' U2 D' F' D B R2
F' U2 D' F' B D R2
F' U2 D' B F' D R2
U2 F L U L' F B
U2 F L U L' B F
U2 F L U B L' F
D U2 B2 D' R2 F2 B'
D U2 B2 D' R2 B' F2
D U2 B2 D' F2 R2 B'
D U2 B2 D' F2 B' R2
D U2 B2 D' B' R2 F2
D U2 B2 D' B' F2 R2
F U2 D F D B R2
F U2 D F B D R2
F U2 D B F D R2
F' U2 D2 F' D B R2
F' U2 D2 F' B D R2
F' U2 D2 B F' D R2
F U2 D' F D B R2
F U2 D' F B D R2
F U2 D' B F D R2
B' U2 F B2 D' R2 F
B' U2 F B2 D' F R2
F U2 D2 F D B R2
F U2 D2 F B D R2
U2 F L2 U L2 F B
U2 F L2 U L2 B F
F U2 D2 B F D R2
U' F R U' R' F B
U' F R U' R' B F
F' U2 F' R2 D R2 B
U' F R U' F R' B
F' U2 F' U F2 U' B
F' U2 F' D B R2 D
F' U2 F' D B R2 D'
F' U2 F' D B R2 D2
F' U2 F' D B' R2 B2
F' U2 F' D B2 R2 B'
F' U2 F' D' B D2 R2
F U2 F R2 D R2 B
B' U2 F' B2 D' F' R2
F' U2 F' B R D R2
F' U2 F' B R' D R2
F' U2 F' B R2 D R2
F' U2 F' B U F2 U'
F U2 F U F2 U' B
F' U2 F' B D R2 D
F' U2 F' B D R2 D'
F' U2 F' B D R2 D2
F' U2 F' B2 D R2 B'
F' U2 F' B2 D B' R2
B' U2 F2 R B2 D' R2
F U2 F D B R2 D
F U2 F D B R2 D'
F U2 F D B R2 D2
F U2 F D B' R2 B2
F U2 F D B2 R2 B'
B' U2 F2 R' B2 D' R2
F U2 F D' B D2 R2
B' U2 F2 R2 B2 D' R2
F U2 F B R D R2
F U2 F B R' D R2
F U2 F B R2 D R2
F U2 F B U F2 U'
F U2 F B D R2 D
F U2 F B D R2 D'
F U2 F B D R2 D2
F U2 F B2 D R2 B'
F U2 F B2 D B' R2
B' U2 F2 B2 R D' R2
B' U2 F2 B2 R' D' R2
B' U2 F2 B2 R2 D' R2
B' U2 F2 B2 U' B2 U
B' U2 F2 B2 D' R2 D
B' U2 F2 B2 D' R2 D'
B' U2 F2 B2 D' R2 D2
B2 U2 F2 B' U' B U
B2 U2 F2 B2 D' B R2
U' F R2 U' R2 F B
U' F R2 U' R2 B F
F' U2 B U F U' F2
F' U2 B D F' D R2
F' U2 B D' F' D R2
F' U2 B D2 F' D R2
B U2 F2 D2 B2 D' R2
F' U2 B F' R D R2
F' U2 B F' R' D R2
F' U2 B F' R2 D R2
F' U2 B F' U F2 U'
F' U2 B F' D R2 D
F' U2 B F' D R2 D'
F' U2 B F' D R2 D2
B2 U2 B' U' B U F2
F U2 B U F' U' F2
B' U2 B2 R F2 D' R2
B2 U2 B' F2 U' B U
F U2 B D F D R2
B' U2 B2 R' F2 D' R2
B' U2 B2 R2 F2 D' R2
F U2 B D' F D R2
F U2 B D2 F D R2
F U2 B F R D R2
F U2 B F R' D R2
F U2 B F R2 D R2
F U2 B F U F2 U'
F U2 B F D R2 D
F U2 B F D R2 D'
F U2 B F D R2 D2
B' U2 B2 U' B2 U F2
D' F U' L2 F' U' B
B' U2 B2 D' R2 D F2
B' U2 B2 F D' R2 F
B' U2 B2 F D' F R2
B' U2 B2 F' D' F' R2
B' U2 B2 F2 R D' R2
B' U2 B2 F2 R' D' R2
B' U2 B2 F2 R2 D' R2
B' U2 B2 F2 U' B2 U
B' U2 B2 F2 D' R2 D
B' U2 B2 F2 D' R2 D'
B' U2 B2 F2 D' R2 D2
D' F U' F' L2 U' B
F' U2 B2 F' D R2 B'
F' U2 B2 F' D B' R2
B2 U2 B2 F2 D' B R2
L' F U' F' U' F2 B
L' F U' F' U' B F2
L2 F U' F' U' F2 B
L2 F U' F' U' B F2
U F U F' U F2 B
U F U F' U B F2
F2 D L B R2 D2 L2
L' F U2 F D B R2
L' F U2 F B D R2
L' F U2 B F D R2
F U2 B2 F D R2 B'
F U2 B2 F D B' R2
L2 F U2 F D B R2
L2 F U2 F B D R2
L F U' F' U' F2 B
L F U' F' U' B F2
L2 F U2 B F D R2
F2 D L' B R2 D2 L2
U F U2 F D' L2 B
U F U2 F D' B L2
U F U2 F B D' L2
L F U2 F D B R2
L F U2 F B D R2
U F U2 B F D' L2
L F U2 B F D R2
F2 D L2 B R2 D2 L2
U' F B U B' U' F
U2 F B U' B' U F
F2 D R2 U2 R2 U2 B
F2 D R2 U2 F' R2 U2
U' F B2 D F B' L2
U' F B2 D B' F L2
D2 F B2 U' F' U' B'
F' D U' F U' F2 B
F' D U' F U' B F2
U2 F B2 D' R2 F B'
U2 F B2 D' R2 B' F
U2 F B2 D' F R2 B'
U2 F B2 D' F B' R2
U2 F B2 D' B' R2 F
U2 F B2 D' B' F R2
B' D U2 L2 R2 U L2
U2 F' L U L' F' B
U2 F' L U L' B F'
B' D U2 R2 L2 U L2
U2 F' L U B L' F'
F' D U2 F' D B R2
F' D U2 F' B D R2
F' D U2 B F' D R2
F2 D U2 B' R2 F' B2
F2 D U2 B' R2 B2 F'
U2 F' L' U L F' B
U2 F' L' U L B F'
U2 F' L' U F' L B
F D U' F' U' F2 B
F D U' F' U' B F2
F2 D F U2 F' B R2
F2 D F U2 B F' R2
F D U2 F D B R2
F D U2 F B D R2
U2 F' L2 U L2 F' B
U2 F' L2 U L2 B F'
U2 F' L2 U F' L2 B
U2 F' L2 U F' B L2
U2 F' L2 U B L2 F'
U2 F' L2 U B F' L2
F D U2 B F D R2
F2 D F' U2 F B R2
F2 D F' U2 B R2 F
F2 D F' U2 B F R2
F2 D F2 U2 F2 B R2
F2 D F2 U2 B R2 F2
F2 D F2 U2 B F2 R2
F2 D B L R2 D2 L2
U' F' R2 U' R2 F' B
U' F' R2 U' R2 B F'
F2 D B L' R2 D2 L2
F2 D B L2 R2 D2 L2
F2 D B R2 L D2 L2
F2 D B R2 L' D2 L2
F2 D B R2 L2 D2 L2
F2 D B R2 U2 R2 U2
F2 D B R2 D2 L2 D
F2 D B R2 D2 L2 D'
F2 D B R2 D2 L2 D2
F2 D B' R B2 L R
F2 D B' R B2 R L
F2 D B' R2 B2 D2 L2
R2 F' R2 B U' F U'
F2 D B2 R2 D2 B' L2
F2 D B2 R2 B' D2 L2
D' F' U' F L2 U' B
F2 D B2 U2 B' R2 F'
L' F' U' F U' F2 B
L' F' U' F U' B F2
L2 F' U' F U' F2 B
L2 F' U' F U' B F2
U F' U F U F2 B
U F' U F U B F2
L' F' U2 F' D B R2
L' F' U2 F' B D R2
L' F' U2 B F' D R2
L2 F' U2 F' D B R2
L2 F' U2 F' B D R2
L F' U' F U' F2 B
L F' U' F U' B F2
B' D' L2 R2 U R2 U2
B' D' L2 R2 U' D2 L2
B' D' L2 R2 D B2 U'
B' D' L2 R2 D2 U' L2
L2 F' U2 B F' D R2
U F' U2 F' D' L2 B
U F' U2 F' D' B L2
U F' U2 F' B D' L2
L F' U2 F' D B R2
L F' U2 F' B D R2
F2 D' L2 F U2 F' B
F2 D' L2 F U2 B F'
U F' U2 B F' D' L2
F2 D' L2 F' U2 F B
F2 D' L2 F' U2 B F
L F' U2 B F' D R2
F2 D' L2 F2 U2 F2 B
F2 D' L2 F2 U2 B F2
U' F' B L2 F' D' L2
U' F' B U B' U' F'
B' D' R2 L2 U R2 U2
B' D' R2 L2 U' D2 L2
B' D' R2 L2 D B2 U'
B' D' R2 L2 D2 U' L2
B' D' R2 D B2 U' F2
U2 F' B U' B' U F'
F2 D' R2 D2 L2 R2 B
F2 D' R2 D2 R2 L2 B
F2 D' R2 D2 R2 B L2
U' F' B2 D F' B' L2
U' F' B2 D B' L2 F'
U' F' B2 D B' F' L2
D2 F' B2 U' F U' B'
B' D' U' L2 R2 U' R2
B' D' U' R2 L2 U' R2
F' D' U' F U' F2 B
F' D' U' F U' B F2
U' F2 L B U B' U'
U2 F' B2 D' F' R2 B'
U2 F' B2 D' F' B' R2
U2 F' B2 D' B' F' R2
U' F2 L B2 D B' L2
R' F2 L' R D B R2
R' F2 L' R B D R2
R' F2 L' R' D R2 B
R' F2 L' D R B R
F2 D' U2 L2 U2 L2 B
F2 D' U2 L2 U2 B L2
F' D' U2 F' D B R2
F' D' U2 F' B D R2
U' F2 L' B U B' U'
F' D' U2 B F' D R2
U' F2 L' B2 D B' L2
F D' U' F' U' F2 B
F D' U' F' U' B F2
F2 D' F L2 U2 F' B
F2 D' F L2 U2 B F'
U' F2 L2 B U B' U'
U' F2 L2 B2 D B' L2
F D' U2 F D B R2
F D' U2 F B D R2
R' F2 R L' D B R2
R' F2 R L' B D R2
F D' U2 B F D R2
F2 D' F' L2 B' U2 B2
R' F2 R D L' B R2
R' F2 R D B L' R2
R' F2 R D B R2 L'
R' F2 R B L' D R2
R' F2 R B D L' R2
R' F2 R B D R2 L'
R' F2 R' L' D R2 B
F2 D' F2 L2 U2 F2 B
F2 D' F2 L2 U2 B F2
R' F2 R' D L' R2 B
R' F2 R' D R2 L' B
R' F2 R' D R2 B L'
F2 D' B R2 D2 L2 R2
F2 D' B R2 D2 R2 L2
F2 D' B U2 L2 U2 L2
F2 D' B D2 R2 D2 L2
U' F2 U' L U L' B
U' F2 U' L U B L'
U2 F2 R2 B2 D' R2 B
U' F2 U' L' U L B
U' F2 U' L2 U L2 B
U' F2 U' L2 U B L2
U2 F2 U R U' R' B
U2 F2 U R2 U' R2 B
D' F2 U' L2 F2 U' B
F2 D' B2 L2 F U2 F'
D' F2 U' F2 L2 U' B
D' F2 U2 D F2 B R2
D' F2 U2 D B R2 F2
D' F2 U2 D B F2 R2
D2 F2 U2 B D R2 F'
D' F2 U2 B D R2 F2
D' F2 U2 B D F2 R2
R' F2 D L' R B R
R' F2 D R L' B R
R' F2 D R B L' R
R' F2 D R B R L'
U' F2 D B U B' U'
D' F2 D U2 F2 B R2
D' F2 D U2 B R2 F2
D' F2 D U2 B F2 R2
U' F2 D B2 D B' L2
D F2 U2 D B R2 F'
L' F2 D B R2 D2 L2
D' F2 D' L2 B2 U2 B'
U F2 U2 D' B L2 F
U' F2 D' B U B' U'
R2 F2 D R2 D L2 B'
L2 F2 D B R2 D2 L2
L2 F2 D B R2 D2 L2
U2 F2 D B U' B' U
U' F2 D' B2 D B' L2
U2 F2 D B2 D' R2 B'
U2 F2 D B2 D' B' R2
U F2 U2 B D' L2 F
D' F2 D' B2 L2 F U2
D F2 D U2 B R2 F'
U F2 D R2 F' U2 F
D F2 D B2 U2 R2 B'
D F2 D B2 U2 B' R2
U' F2 D2 B U B' U'
U2 F2 D' B U' B' U
D F2 D' L2 U2 F2 B
D F2 D' L2 U2 B F2
U' F2 D2 B2 D B' L2
U2 F2 D' B2 D' R2 B'
U2 F2 D' B2 D' B' R2
L F2 D B R2 D2 L2
U' F2 B L2 U' F U
U' F2 B U D B' U'
U' F2 B U D' B' U'
U' F2 B U D2 B' U'
U' F2 B U B' U' D
U' F2 B U B' U' D'
U' F2 B U B' U' D2
U' F2 B U B' D U'
U' F2 B U B' D' U'
U' F2 B U B' D2 U'
U F2 D' L2 D2 B R2
U F2 D' L2 B D2 R2
U' F2 B D U B' U'
R2 F2 D2 L2 D' R2 B'
R2 F2 D2 L2 D' B' R2
U' F2 B D' U B' U'
U' F2 B D2 U B' U'
U F2 D' U2 B L2 F
U2 F2 D2 B U' B' U
U2 F2 D2 B2 D' R2 B'
U2 F2 D2 B2 D' B' R2
L' F2 B D R2 D2 L2
U F2 D' B L2 D2 R2
U' F2 B' U B U' B
U2 F2 B R U' B' U
U2 F2 B R' U' B' U
U2 F2 B R2 U' B' U
U2 F2 B U' D B' U
U2 F2 B U' D' B' U
U2 F2 B U' D2 B' U
U2 F2 B U' B' U D
U2 F2 B U' B' U D'
U2 F2 B U' B' U D2
U2 F2 B U' B' D U
U2 F2 B U' B' D' U
U2 F2 B U' B' D2 U
U2 F2 B D U' B' U
L2 F2 B D R2 D2 L2
U2 F2 B D' U' B' U
U' F2 B2 L2 D L2 B'
U2 F2 B D2 U' B' U
U' F2 B2 U B2 U' B
U' F2 B2 D B L2 B2
U' F2 B2 D B' L2 D
U' F2 B2 D B' L2 D'
U' F2 B2 D B' L2 D2
U' F2 B2 D B2 L2 B
U' F2 B2 D' B' D2 L2
U2 F2 B' U' B U B
U' F2 B2 D2 B' D' L2
D2 F2 B2 U' F2 U' B'
D2 F2 B2 U2 D R2 B'
D2 F2 B2 U2 D B' R2
D2 F2 B2 U2 B' D R2
D2 F2 B2 D U2 R2 B'
D2 F2 B2 D U2 B' R2
D2 F2 B2 D' L2 F U2
U2 F2 B2 R D' R2 B'
U2 F2 B2 R D' B' R2
L F2 B D R2 D2 L2
U2 F2 B2 R' D' R2 B'
U2 F2 B2 R' D' B' R2
U F2 B D' L2 D2 R2
U2 F2 B2 R2 D' R2 B'
U2 F2 B2 R2 D' B' R2
U2 F2 B2 U' B2 U B
F' D2 U' F U' F2 B
F' D2 U' F U' B F2
U2 F2 B2 D B' D2 R2
U2 F2 B2 D' R B' R
U2 F2 B2 D' R2 D B'
U2 F2 B2 D' R2 D' B'
U2 F2 B2 D' R2 D2 B'
U2 F2 B2 D' R2 B' D
U2 F2 B2 D' R2 B' D'
U2 F2 B2 D' R2 B' D2
U2 F2 B2 D' B R2 B2
U2 F2 B2 D' B' R2 D
U2 F2 B2 D' B' R2 D'
U2 F2 B2 D' B' R2 D2
U2 F2 B2 D2 B' D R2
U' B L' F D F L'
F' D2 U2 F' D B R2
F' D2 U2 F' B D R2
F' D2 U2 B F' D R2
U' B L2 U' F U F
F D2 U' F' U' F2 B
F D2 U' F' U' B F2
U' B L2 F' D' L2 F'
U' B L2 F' D' F' L2
U' B L2 F2 U' F' U
U B L F2 R D' L2
U B L F2 D' L2 R
U B L F2 D' R L2
F D2 U2 F D B R2
F D2 U2 F B D R2
F D2 U2 B F D R2
U2 B R U' B' U F2
B' D2 F2 B2 U' F2 U'
B' D2 F2 B2 U2 D R2
B' D2 F2 B2 D U2 R2
B' D2 F2 B2 D' L2 U2
U2 B R F2 U' B' U
L' B R' F2 L' D R2
L' B R' F2 D L' R2
L' B R' F2 D R2 L'
U2 B R' U' B' U F2
L2 B R' F2 L' D R2
U2 B R' F2 U' B' U
L2 B R' F2 D L' R2
L2 B R' F2 D R2 L'
U2 B R2 U' B' U F2
U' B U D' B' L2 U'
U' B U B' L U' F2
U' B U B' L' U' F2
U' B U B' L2 U' F2
U2 B R2 F2 U' B' U
U' B U B' U' F2 D
U' B U B' U' F2 D'
U' B U B' U' F2 D2
U' B U B' D' L2 U'
L B R' F2 L' D R2
L B R' F2 D L' R2
L B R' F2 D R2 L'
U2 B U L2 F U' F
B' D2 B2 F2 U' F2 U'
B' D2 B2 F2 U2 D R2
U2 B U D' L2 F U'
B' D2 B2 F2 D U2 R2
B' D2 B2 F2 D' L2 U2
R2 B U R2 U2 F2 B
R2 B U R2 U2 B F2
R2 B U F' R2 B U2
U2 B U' R B' U F2
U2 B U' R' B' U F2
U2 B U' R2 B' U F2
U2 B U' D R2 B' U
U2 B U' D B' R2 U
F2 B L D R2 D2 L2
B D2 B2 U2 B2 D' R2
U2 B U' B' R U F2
U2 B U' B' R' U F2
U2 B U' B' R2 U F2
U2 B U' B' U F2 D
U2 B U' B' U F2 D'
U2 B U' B' U F2 D2
U2 B U' B' D R2 U
R2 B U' F2 D2 L2 B'
F2 B L' D R2 D2 L2
U' B D' U B' L2 U'
U2 B D U' R2 B' U
U2 B D U' B' R2 U
F2 B L2 D R2 D2 L2
U2 B D' U L2 F U'
U' B F U B' U' F
F2 B R' U F2 U' L'
U' B F' L2 F' D' L2
U' B F' U B' U' F'
U2 B F U' B' U F
F2 B R2 D R2 D L2
U' B F2 L2 U' F U
F2 B R2 D2 L2 D' R2
U' B F2 U D B' U'
U' B F2 U D' B' U'
U' B F2 U D2 B' U'
U' B F2 U B' U' D
U' B F2 U B' U' D'
U' B F2 U B' U' D2
U' B F2 U B' D U'
U' B F2 U B' D' U'
U' B F2 U B' D2 U'
U' B F2 D U B' U'
U' B F2 D' U B' U'
U' B F2 D2 U B' U'
U2 B F' U' B' U F'
L' B F2 D R2 D2 L2
U2 B F2 R U' B' U
U2 B F2 R' U' B' U
F2 B U F2 U' D' L2
F2 B U F2 U2 F2 U
F2 B U F2 D' U' L2
F2 B U F2 D2 B2 U'
U2 B F2 R2 U' B' U
U2 B F2 U' D B' U
U2 B F2 U' D' B' U
U2 B F2 U' D2 B' U
B' F U' F' U' F2 B2
B' F U' F' U' B2 F2
U2 B F2 U' B' U D
U2 B F2 U' B' U D'
U2 B F2 U' B' U D2
U2 B F2 U' B' D U
U2 B F2 U' B' D' U
U2 B F2 U' B' D2 U
L2 B F2 D R2 D2 L2
L2 B F2 D R2 D2 L2
U2 B F2 D U' B' U
U2 B F2 D' U' B' U
U2 B F2 D2 U' B' U
B2 F U' F' U' F2 B'
B2 F U' F' U' B' F2
B' F U2 F B2 D R2
B' F U2 B2 F D R2
L B F2 D R2 D2 L2
U B F2 D' L2 D2 R2
D' B' L2 R U' B2 L
F2 B U2 D' L2 U2 L2
B2 F U2 F D R2 B'
B2 F U2 F D B' R2
B2 F U2 F B' D R2
D' B' L2 U' B2 D L2
B2 F U2 B' F D R2
U B' L U F2 R B2
U B' L U F2 B2 R
U B' L U B2 F2 R
F2 B D L R2 D2 L2
F2 B D L' R2 D2 L2
F2 B D L2 R2 D2 L2
F2 B D R2 L D2 L2
F2 B D R2 L' D2 L2
F2 B D R2 L2 D2 L2
F2 B D R2 U2 R2 U2
F2 B D R2 D2 L2 D
F2 B D R2 D2 L2 D'
F2 B D R2 D2 L2 D2
B F U2 F D R2 B
D' B' R L2 U' B2 L
U B' L' U F2 B2 R'
U B' L' U B2 R' F2
U B' L' U B2 F2 R'
L' B' R U' F2 B2 L
L' B' R U' B2 L F2
L' B' R U' B2 F2 L
F B U2 F D R2 B
F2 B D' R2 D2 L2 R2
F2 B D' R2 D2 R2 L2
L2 B' R U' F2 B2 L
F2 B D' U2 L2 U2 L2
L2 B' R U' B2 L F2
L2 B' R U' B2 F2 L
L' B' R' U' F2 L' B2
L' B' R' U' F2 B2 L'
L' B' R' U' B2 F2 L'
L2 B' R' U' F2 L' B2
L2 B' R' U' F2 B2 L'
L2 B' R' U' B2 F2 L'
L B' R U' F2 B2 L
L B' R U' B2 L F2
L B' R U' B2 F2 L
L B' R' U' F2 L' B2
L B' R' U' F2 L' B2
L B' R' U' F2 B2 L'
U' B' U B U' F2 B
U' B' U B U' B F2
L B' R' U' B2 F2 L'
R2 B' U R2 U2 F2 B
R2 B' U R2 U2 B F2
L' B' U' F2 B2 D L2
D' B' U' B2 D L2 F2
D' B' U' B2 D F2 L2
R2 B' U F' R2 B U2
L' B' U' B2 F2 D L2
L2 B' U' F2 B2 D L2
U2 B' U' B U F2 B
U2 B' U' B U B F2
L2 B' U' B2 F2 D L2
D2 B' U2 B2 D' R2 F'
L' B' U2 F2 B2 D' R2
U B' U F2 B2 D' R2
R2 B' U' F2 D2 L2 B'
L' B' U2 B2 F2 D' R2
U B' U B2 F2 D' R2
F2 B' R B2 L D R2
F2 B' R B2 D L R2
F2 B' R B2 D R2 L
L2 B' U2 F2 B2 D' R2
L2 B' U2 B2 F2 D' R2
L B' U' F2 B2 D L2
L B' U' B2 F2 D L2
D B' U2 B2 D' R2 F2
D B' U2 B2 D' F2 R2
L B' U2 F2 B2 D' R2
U B' U2 F2 B2 D L2
L B' U2 B2 F2 D' R2
U B' U2 B2 F2 D L2
B' F' U' F U' F2 B2
B' F' U' F U' B2 F2
F' B' U' F U' F2 B2
F' B' U' F U' B2 F2
B2 F' U' F U' F2 B'
B2 F' U' F U' B' F2
B' F' U2 F' B2 D R2
U' B' F2 U B U' B
B' F' U2 B2 F' D R2
F' B' U2 F' B2 D R2
B2 F' U2 F' D R2 B'
B2 F' U2 F' D B' R2
B2 F' U2 F' B' D R2
F' B' U2 B2 F' D R2
B2 F' U2 B' F' D R2
F B' U' F' U' F2 B2
F B' U' F' U' B2 F2
U2 B' F2 U' B U B
