B R' D' L2 F
B D' L2 R' F
B D' L2 F R'
B D' R' L2 F
U F2 U B R'
U2 B R' D' L2
U2 B D' L2 R'
U2 B D' R' L2
B D' L2 D2 F R' D'
B D' L2 D2 F R' D2
B D' L2 D2 F D R'
B D' L2 D2 F D' R'
B D' L2 D2 F D2 R'
B D' L2 D2 F' R' F2
B D' L2 F R2 D R
B D' L2 F R2 D' R
B D' L2 F R2 D2 R
B D' L2 F D R' D
B D' L2 F D R' D'
B D' L2 F D R' D2
B D' L2 F D' R' D
B D' L2 F D' R' D'
B D' L2 F D' R' D2
B D' L2 F D2 R' D
B D' L2 F D2 R' D'
B D' L2 F D2 R' D2
B D' L2 F' R F2 R2
B D' L2 F' R' F2 D
B D' L2 F' R' F2 D'
B D' L2 F' R' F2 D2
B D' L2 F2 D F' R'
B D' L2 F2 D' F' R'
B D' L2 F2 D2 F' R'
B D' R L2 F R2 D
B D' R L2 F R2 D'
B D' R L2 F R2 D2
B D' R L2 F' R2 F2
B D' R F L2 R2 F
B D' R F L2 F R2
B D' R F R2 L2 F
B D' R F' L2 R2 F
B D' R F' L2 F R2
B D' R F' R2 L2 F
R2 F' D2 U F' U R
B D' R F2 L2 R2 F
B D' R F2 L2 F R2
B D' R F2 R2 L2 F
B D' R' L D L F
B D' R' L D' L F
B D' R' L D2 L F
B D' R' L F L F
B D' R' L F' L F
B D' R' L F2 L F
B D' R' L2 D F D
B D' R' L2 D F D'
B D' R' L2 D F D2
B D' R' L2 D' F D
B D' R' L2 D' F D'
B D' R' L2 D' F D2
B D' R' L2 D2 F D
B D' R' L2 D2 F D'
B D' R' L2 D2 F D2
B D' R' L2 F2 D F'
B D' R' L2 F2 D' F'
B D' R' L2 F2 D2 F'
U2 F' B R' D' F L'
B D' R' U2 B' U2 L2
B D' R' F L2 D F
B D' R' F L2 D' F
B D' R' F L2 D2 F
B D' R' F L2 F D
B D' R' F L2 F D'
B D' R' F L2 F D2
B D' R' F' L2 D F
B D' R' F' L2 D' F
B D' R' F' L2 D2 F
B D' R' F' L2 F D
B D' R' F' L2 F D'
B D' R' F' L2 F D2
U F' D2 F' U B R
B D' R' F2 L2 D F
B D' R' F2 L2 D' F
B D' R' F2 L2 D2 F
B D' R' F2 L2 F D
B D' R' F2 L2 F D'
B D' R' F2 L2 F D2
B D' R2 L2 D R F
B D' R2 L2 D' R F
B D' R2 L2 D2 R F
B D' R2 F' L2 F R
U2 F2 L U F2 B R'
U2 F2 L U B R' F2
U2 F2 L U B F2 R'
U2 F2 L' U F2 B R'
U2 F2 L' U B R' F2
U2 F2 L' U B F2 R'
U F2 L U B R' D
U F2 L U B R' D'
U F2 L U B R' D2
U F2 L U B D R'
U F2 L U B D' R'
U F2 L U B D2 R'
U F2 L B' U B2 R'
U2 F2 L2 U F2 B R'
U2 F2 L2 U B R' F2
U2 F2 L2 U B F2 R'
B D' F L2 R F R2
B D' F L2 R' D F
B D' F L2 R' D' F
B D' F L2 R' D2 F
B D' F L2 R' F D
B D' F L2 R' F D'
B D' F L2 R' F D2
B D' F L2 D R' F
B D' F L2 D F R'
B D' F L2 D' R' F
B D' F L2 D' F R'
B D' F L2 D2 R' F
B D' F L2 D2 F R'
B D' F L2 F R' D
B D' F L2 F R' D'
B D' F L2 F R' D2
B D' F L2 F D R'
B D' F L2 F D' R'
B D' F L2 F D2 R'
B D' F L2 F' R' F2
B D' F R L2 F R2
U F2 L' U B R' D
U F2 L' U B R' D'
U F2 L' U B R' D2
U F2 L' U B D R'
U F2 L' U B D' R'
U F2 L' U B D2 R'
B D' F R' L2 D F
B D' F R' L2 D' F
B D' F R' L2 D2 F
B D' F R' L2 F D
B D' F R' L2 F D'
B D' F R' L2 F D2
B D' F R' F L2 F
B D' F R' F' L2 F
B D' F R' F2 L2 F
U F2 L' B' U B2 R'
B D' F' L2 R F R2
B D' F' L2 R' D F
B D' F' L2 R' D' F
B D' F' L2 R' D2 F
B D' F' L2 R' F D
B D' F' L2 R' F D'
B D' F' L2 R' F D2
B D' F' L2 D R' F
B D' F' L2 D F R'
B D' F' L2 D' R' F
B D' F' L2 D' F R'
B D' F' L2 D2 R' F
B D' F' L2 D2 F R'
B D' F' L2 F R' D
B D' F' L2 F R' D'
B D' F' L2 F R' D2
B D' F' L2 F D R'
B D' F' L2 F D' R'
B D' F' L2 F D2 R'
B D' F' L2 F' R' F2
B D' F' R L2 F R2
U F2 L2 U B R' D
U F2 L2 U B R' D'
U F2 L2 U B R' D2
U F2 L2 U B D R'
U F2 L2 U B D' R'
U F2 L2 U B D2 R'
B D' F' R' L2 D F
B D' F' R' L2 D' F
B D' F' R' L2 D2 F
B D' F' R' L2 F D
B D' F' R' L2 F D'
B D' F' R' L2 F D2
B D' F' R' F L2 F
B D' F' R' F' L2 F
B D' F' R' F2 L2 F
U F2 L2 B' U B2 R'
B D' F2 L2 R F R2
B D' F2 L2 R' D F
B D' F2 L2 R' D' F
B D' F2 L2 R' D2 F
B D' F2 L2 R' F D
B D' F2 L2 R' F D'
B D' F2 L2 R' F D2
B D' F2 L2 D R' F
B D' F2 L2 D F R'
B D' F2 L2 D' R' F
B D' F2 L2 D' F R'
B D' F2 L2 D2 R' F
B D' F2 L2 D2 F R'
B D' F2 L2 F R' D
B D' F2 L2 F R' D'
B D' F2 L2 F R' D2
B D' F2 L2 F D R'
B D' F2 L2 F D' R'
B D' F2 L2 F D2 R'
B D' F2 L2 F' R' F2
B D' F2 R L2 F R2
B D' F2 R' L2 D F
B D' F2 R' L2 D' F
B D' F2 R' L2 D2 F
B D' F2 R' L2 F D
B D' F2 R' L2 F D'
B D' F2 R' L2 F D2
B D' F2 R' F L2 F
B D' F2 R' F' L2 F
B D' F2 R' F2 L2 F
B2 D' B' L2 D' R' F2
B2 D' B' L2 D' F2 R'
D F2 R2 D F' U2 R
U2 F2 U F B R' F
B D' B' U2 L2 B R'
B D' B' U2 B L2 R'
B D' B' U2 B R' L2
U2 F2 U F2 B R' D
U2 F2 U F2 B R' D'
U2 F2 U F2 B R' D2
U2 F2 U F2 B D R'
U2 F2 U F2 B D' R'
U2 F2 U F2 B D2 R'
U2 F2 U B R F2 R2
U2 F2 U B R' F2 D
U2 F2 U B R' F2 D'
U2 F2 U B R' F2 D2
U2 F2 U B F R' F
U2 F2 U B F2 R' D
U2 F2 U B F2 R' D'
U2 F2 U B F2 R' D2
U2 F2 U B F2 D R'
U2 F2 U B F2 D' R'
U2 F2 U B F2 D2 R'
D2 F2 U' B2 U' B' R'
U F2 U L B L' R'
U F2 U L B R' L'
D' F2 U2 L2 D B R'
U F2 U L2 B L2 R'
U F2 U L2 B R' L2
U F2 U R B R' B
U2 F2 U' B R' F2 L'
U F2 U F' B R' F
U F2 U F2 B R' F2
U F2 U B R2 D R
U F2 U B R2 D' R
U F2 U B R2 D2 R
U F2 U B D R' D
U F2 U B D R' D'
U F2 U B D R' D2
U F2 U B D' R' D
U F2 U B D' R' D'
U F2 U B D' R' D2
U F2 U B D2 R' D
U F2 U B D2 R' D'
U F2 U B D2 R' D2
U F2 U B F' R' F
U F2 U B F2 R' F2
U F2 U B' R B2 R'
U F2 U B' R' B2 R'
U F2 U B' R2 B2 R'
U F2 U B2 R B' R'
U F2 U B2 R' B' R'
U F2 U B2 R2 B' R'
U F2 U B2 D B' R'
U F2 U B2 D' B' R'
U F2 U B2 D2 B' R'
U F2 U' L U2 B R'
U F2 U' L' U2 B R'
U F2 U' L2 U2 B R'
U F2 U' F U2 B R'
U F2 U' F' U2 B R'
U F2 U' F2 U2 B R'
D2 F2 D B L2 F R
D2 F2 D' R2 F' L' U2
U F2 U2 F U' B R'
U F2 U2 F' U' B R'
U F2 U2 F2 U' B R'
B D2 L2 R' D F L2
B D2 L2 R' F D L2
U F2 D L B' U B2
B D2 L2 D R' F L2
B D2 L2 D F L2 R'
B D2 L2 D F R' L2
B D2 L2 F R' D L2
B D2 L2 F D L2 R'
B D2 L2 F D R' L2
B D2 R' L2 D F L2
B D2 R' L2 F D L2
U2 F2 B R' F2 D' L2
B D2 R' D L2 D F
B D2 R' D L2 D' F
B D2 R' D L2 D2 F
B D2 R' D L2 F D
B D2 R' D L2 F D'
B D2 R' D L2 F D2
B D2 R' D F L2 F
B D2 R' D F' L2 F
B D2 R' D F2 L2 F
B D2 R' F D L2 F
B D2 R' F' D L2 F
B D2 R' F2 D L2 F
U2 F2 B' U F2 B2 R'
U2 F2 B' U B2 R' F2
U2 F2 B' U B2 F2 R'
F' D2 U F' U B R
B D2 R2 D L2 R F
B D2 R2 D R L2 F
U F2 B' U R B2 R'
U F2 B' U R' B2 R'
U F2 B' U R2 B2 R'
U2 B L R' U' F2 U
U2 B L R' D' L2 D
U2 B L R' D' L2 D'
U2 B L R' D' L2 D2
U F2 B' U B2 R' D
U F2 B' U B2 R' D'
U F2 B' U B2 R' D2
U F2 B' U B2 D R'
U F2 B' U B2 D' R'
U F2 B' U B2 D2 R'
U F2 B' U' L U2 B2
U2 B L R2 D' L2 R
U2 B L R2 D' R L2
U2 B L U' F2 U R'
U2 B L D' L2 R' D
U2 B L D' L2 R' D'
U2 B L D' L2 R' D2
U2 B L D' L2 D R'
U2 B L D' L2 D' R'
U2 B L D' L2 D2 R'
U2 B L D' R' L2 D
U2 B L D' R' L2 D'
U2 B L D' R' L2 D2
U2 B L D2 R' D L2
U2 B L' R' U' F2 U
U2 B L' R' D' L2 D
U2 B L' R' D' L2 D'
U2 B L' R' D' L2 D2
U2 B L' R2 D' L2 R
U2 B L' R2 D' R L2
D' B L2 R F D R2
U2 B L' U' F2 U R'
L' B L2 R' D' F L2
U2 B L' D' L2 R' D
U2 B L' D' L2 R' D'
U2 B L' D' L2 R' D2
U2 B L' D' L2 D R'
U2 B L' D' L2 D' R'
U2 B L' D' L2 D2 R'
U2 B L' D' R' L2 D
U2 B L' D' R' L2 D'
U2 B L' D' R' L2 D2
U2 B L' D2 R' D L2
D' B L2 D' F' R F2
L' B L2 D' R' F L2
L' B L2 D' F L2 R'
L' B L2 D' F R' L2
D' B L2 F2 D' F' R
U2 B L2 R' U' F2 U
U2 B L2 R' D' L2 D
U2 B L2 R' D' L2 D'
U2 B L2 R' D' L2 D2
L2 B L2 R' D' F L2
U2 B L2 R2 D' L2 R
U2 B L2 R2 D' R L2
U2 B L2 U' F2 U R'
D' B R L2 F D R2
B D2 F R' D L2 F
U2 B L2 D' L2 R' D
U2 B L2 D' L2 R' D'
U2 B L2 D' L2 R' D2
U2 B L2 D' L2 D R'
U2 B L2 D' L2 D' R'
U2 B L2 D' L2 D2 R'
U2 B L2 D' R' L2 D
U2 B L2 D' R' L2 D'
U2 B L2 D' R' L2 D2
L2 B L2 D' R' F L2
L2 B L2 D' F L2 R'
L2 B L2 D' F R' L2
U2 B L2 D2 R' D L2
B D2 F D L2 R' F
B D2 F D L2 F R'
B D2 F D R' L2 F
U' B R' U' F2 U F2
U2 B R U' F2 U R2
L B L2 R' D' F L2
U' B R' D' L2 D F2
B D2 F' R' D L2 F
U2 B R D' L2 D R2
L' B R' L2 D' F L2
B D2 F' D L2 R' F
L B L2 D' R' F L2
B D2 F' D L2 F R'
B D2 F' D R' L2 F
L B L2 D' F L2 R'
L B L2 D' F R' L2
B2 D2 F2 D B' L2 R'
B2 D2 F2 D B' R' L2
L' B R' D' L2 D F
L' B R' D' L2 D' F
L' B R' D' L2 D2 F
L' B R' D' L2 F D
L' B R' D' L2 F D'
L' B R' D' L2 F D2
L' B R' D' F L2 F
L' B R' D' F' L2 F
L' B R' D' F2 L2 F
U2 B R' L U' F2 U
U2 B R' L D' L2 D
U2 B R' L D' L2 D'
U2 B R' L D' L2 D2
U2 B R' L' U' F2 U
U2 B R' L' D' L2 D
U2 B R' L' D' L2 D'
U2 B R' L' D' L2 D2
U2 B R' L2 U' F2 U
U2 B R' L2 D' L2 D
U2 B R' L2 D' L2 D'
U2 B R' L2 D' L2 D2
L2 B R' L2 D' F L2
U2 B R' U D2 B2 U'
U2 B R' U' F2 U D
U2 B R' U' F2 U D'
U2 B R' U' F2 U D2
U2 B R' U' F2 D U
U2 B R' U' F2 D' U
U2 B R' U' F2 D2 U
U2 B R' U2 D R2 U2
U2 B R' D L D2 L2
U2 B R' D L' D2 L2
U2 B R' D L2 D2 L2
B D2 F2 R' D L2 F
U2 B R' D U2 R2 U2
U2 B R' D' L D L
U2 B R' D' L D' L
U2 B R' D' L D2 L
U2 B R' D' L' D L'
U2 B R' D' L' D' L'
U2 B R' D' L' D2 L'
L2 B R' D' L2 D F
L2 B R' D' L2 D' F
L2 B R' D' L2 D2 F
L2 B R' D' L2 F D
L2 B R' D' L2 F D'
L2 B R' D' L2 F D2
U2 B R' D' F L2 F'
U2 B R' D' F2 L2 F2
L2 B R' D' F L2 F
U2 B R' D' B' L2 B
L2 B R' D' F' L2 F
U2 B R' D' B2 L2 B2
L2 B R' D' F2 L2 F
U2 B R' D2 L D L2
U2 B R' D2 L' D L2
U2 B R' D2 L2 D L2
U2 B R' D2 U B2 U'
B D2 F2 D L2 R' F
B D2 F2 D L2 F R'
B D2 F2 D R' L2 F
L' B R2 D' L2 R F
L' B R2 D' R L2 F
U2 B R' B D' B' L2
U2 B R' B' D' L2 B
U2 B R' B' D' B L2
U2 B R2 L D' L2 R
U2 B R2 L D' R L2
U2 B R2 L' D' L2 R
U2 B R2 L' D' R L2
U2 B R2 L2 D' L2 R
U2 B R2 L2 D' R L2
L B R' L2 D' F L2
U2 B R2 D' L2 R D
U2 B R2 D' L2 R D'
U2 B R2 D' L2 R D2
U2 B R2 D' L2 D R
U2 B R2 D' L2 D' R
U2 B R2 D' L2 D2 R
U2 B R2 D' R L2 D
U2 B R2 D' R L2 D'
U2 B R2 D' R L2 D2
L2 B R2 D' L2 R F
L2 B R2 D' R L2 F
U2 B R2 D2 R D L2
U B R' U' R F2 U
L B R' D' L2 D F
L B R' D' L2 D' F
L B R' D' L2 D2 F
L B R' D' L2 F D
L B R' D' L2 F D'
L B R' D' L2 F D2
L B R' D' F L2 F
L B R' D' F' L2 F
L B R' D' F2 L2 F
R B R' D' L2 F B
R B R' D' L2 B F
U' B U' F2 U R' F2
U' B U' F2 U F2 R'
B2 D2 B2 U' F2 B R'
B2 D2 B2 U' B R' F2
B2 D2 B2 U' B F2 R'
L B R2 D' L2 R F
L B R2 D' R L2 F
U B R2 D' L2 R F2
U B R2 D' R L2 F2
U B R2 D' R F2 L2
U2 B U' F2 U R' D
U2 B U' F2 U R' D'
U2 B U' F2 U R' D2
U2 B U' F2 U D R'
U2 B U' F2 U D' R'
U2 B U' F2 U D2 R'
U2 B U' F2 D U R'
U2 B U' F2 D' U R'
U2 B U' F2 D2 U R'
U2 B U2 D R2 U2 R
F' B L2 R' D' F L'
U' B D' L2 R' D F2
U' B D' L2 D R' F2
U' B D' L2 D F2 R'
U2 B D L D2 L2 R'
U2 B D L D2 R' L2
U2 B D L' D2 L2 R'
U2 B D L' D2 R' L2
U' B D' R' L2 D F2
U2 B D L2 D2 L2 R'
U2 B D L2 D2 R' L2
U2 B D R' U2 R' U2
U2 B D R' B2 L B2
L' B D' L2 R F R2
L' B D' L2 R' D F
L' B D' L2 R' D' F
L' B D' L2 R' D2 F
L' B D' L2 R' F D
L' B D' L2 R' F D'
L' B D' L2 R' F D2
F' B L2 F R' D' L2
L' B D' L2 D R' F
L' B D' L2 D F R'
L' B D' L2 D' R' F
L' B D' L2 D' F R'
L' B D' L2 D2 R' F
L' B D' L2 D2 F R'
L' B D' L2 F R' D
L' B D' L2 F R' D'
L' B D' L2 F R' D2
L' B D' L2 F D R'
L' B D' L2 F D' R'
L' B D' L2 F D2 R'
L' B D' L2 F' R' F2
F' B L2 F D' L2 R'
F' B L2 F D' R' L2
U2 B D U2 R2 U2 R
L' B D' R L2 F R2
L' B D' R' L2 D F
L' B D' R' L2 D' F
L' B D' R' L2 D2 F
L' B D' R' L2 F D
L' B D' R' L2 F D'
L' B D' R' L2 F D2
L' B D' R' F L2 F
L' B D' R' F' L2 F
L' B D' R' F2 L2 F
L' B D' F L2 R' F
L' B D' F L2 F R'
L' B D' F R' L2 F
U2 B D' L R' D L
U2 B D' L R' D' L
U2 B D' L R' D2 L
L' B D' F' L2 R' F
L' B D' F' L2 F R'
L' B D' F' R' L2 F
U2 B D' L D L R'
U2 B D' L D R' L
U2 B D' L D' L R'
U2 B D' L D' R' L
U2 B D' L D2 L R'
U2 B D' L D2 R' L
U2 B D' L' R' D L'
U2 B D' L' R' D' L'
U2 B D' L' R' D2 L'
L' B D' F2 L2 R' F
L' B D' F2 L2 F R'
L' B D' F2 R' L2 F
U2 B D' L' D L' R'
U2 B D' L' D R' L'
U2 B D' L' D' L' R'
U2 B D' L' D' R' L'
U2 B D' L' D2 L' R'
U2 B D' L' D2 R' L'
U2 B D' L2 R2 D R
U2 B D' L2 R2 D' R
U2 B D' L2 R2 D2 R
L2 B D' L2 R F R2
L2 B D' L2 R' D F
L2 B D' L2 R' D' F
L2 B D' L2 R' D2 F
L2 B D' L2 R' F D
L2 B D' L2 R' F D'
L2 B D' L2 R' F D2
U2 B D' L2 D R' D
U2 B D' L2 D R' D'
U2 B D' L2 D R' D2
U2 B D' L2 D' R' D
U2 B D' L2 D' R' D'
U2 B D' L2 D' R' D2
U2 B D' L2 D2 R' D
U2 B D' L2 D2 R' D'
U2 B D' L2 D2 R' D2
L2 B D' L2 D R' F
U2 B D' L2 F' R' F
L2 B D' L2 D F R'
L2 B D' L2 D' R' F
U2 B D' L2 F2 R' F2
L2 B D' L2 D' F R'
L2 B D' L2 D2 R' F
L2 B D' L2 D2 F R'
L2 B D' L2 F R' D
L2 B D' L2 F R' D'
L2 B D' L2 F R' D2
L2 B D' L2 F D R'
L2 B D' L2 F D' R'
L2 B D' L2 F D2 R'
L2 B D' L2 F' R' F2
L2 B D' R L2 F R2
U2 B D' R' L D L
U2 B D' R' L D' L
U2 B D' R' L D2 L
U2 B D' R' L' D L'
U2 B D' R' L' D' L'
U2 B D' R' L' D2 L'
L2 B D' R' L2 D F
L2 B D' R' L2 D' F
L2 B D' R' L2 D2 F
L2 B D' R' L2 F D
L2 B D' R' L2 F D'
L2 B D' R' L2 F D2
U2 B D' R' F L2 F'
U2 B D' R' F2 L2 F2
L2 B D' R' F L2 F
L2 B D' R' F' L2 F
U2 B D' R' B' L2 B
L2 B D' R' F2 L2 F
U2 B D' R' B2 L2 B2
U2 B D' R2 L2 D R
U2 B D' R2 L2 D' R
U2 B D' R2 L2 D2 R
U2 B D' F L2 F' R'
L2 B D' F L2 R' F
L2 B D' F L2 F R'
L2 B D' F R' L2 F
L' B D2 R' D L2 F
U2 B D' F' R' F L2
L2 B D' F' L2 R' F
L2 B D' F' L2 F R'
L2 B D' F' R' L2 F
U2 B D' F2 L2 R' F2
U2 B D' F2 L2 F2 R'
U2 B D' F2 R' L2 F2
L2 B D' F2 L2 R' F
U2 B D' F2 R' F2 L2
L2 B D' F2 L2 F R'
L2 B D' F2 R' L2 F
U' B D2 B2 U' B2 R'
U2 B D' B' L2 B R'
U2 B D2 L R' D L2
U2 B D2 L D L2 R'
U2 B D2 L D R' L2
F' B R' L2 D' F L'
U2 B D2 L' R' D L2
U2 B D2 L' D L2 R'
U2 B D2 L' D R' L2
U2 B D2 L2 R' D L2
U2 B D2 L2 D L2 R'
U2 B D2 L2 D R' L2
U2 B D2 R' L D L2
U2 B D2 R' L' D L2
U2 B D2 R' L2 D L2
U2 B D2 R' U B2 U'
U2 B D2 R' D L2 D
U2 B D2 R' D L2 D'
U2 B D2 R' D L2 D2
L2 B D2 R' D L2 F
F' B R' D' L2 F L'
U2 B D2 R2 D L2 R
U2 B D2 R2 D R L2
L B D' L2 R F R2
L B D' L2 R' D F
L B D' L2 R' D' F
L B D' L2 R' D2 F
L B D' L2 R' F D
L B D' L2 R' F D'
L B D' L2 R' F D2
L B D' L2 D R' F
L B D' L2 D F R'
L B D' L2 D' R' F
L B D' L2 D' F R'
L B D' L2 D2 R' F
L B D' L2 D2 F R'
L B D' L2 F R' D
L B D' L2 F R' D'
L B D' L2 F R' D2
L B D' L2 F D R'
L B D' L2 F D' R'
L B D' L2 F D2 R'
L B D' L2 F' R' F2
L B D' R L2 F R2
L B D' R' L2 D F
L B D' R' L2 D' F
L B D' R' L2 D2 F
L B D' R' L2 F D
L B D' R' L2 F D'
L B D' R' L2 F D2
L B D' R' F L2 F
L B D' R' F' L2 F
L B D' R' F2 L2 F
L B D' F L2 R' F
L B D' F L2 F R'
L B D' F R' L2 F
L B D' F' L2 R' F
L B D' F' L2 F R'
L B D' F' R' L2 F
F2 B R' F2 D' L2 F
L B D' F2 L2 R' F
L B D' F2 L2 F R'
L B D' F2 R' L2 F
L B D2 R' D L2 F
B F R' F' D' L2 F
U2 B F' R' D' F L'
F B R' F' D' L2 F
U2 B F2 R' F2 D' L2
U2 B' R B2 R' D' L2
U2 B' R B2 D' L2 R'
U2 B' R B2 D' R' L2
U B' L2 F2 U R B2
U B' L2 F2 U B2 R
U2 B' R' B2 R' D' L2
U2 B' R' B2 D' L2 R'
U2 B' R' B2 D' R' L2
U2 B' R2 B2 R' D' L2
U2 B' R2 B2 D' L2 R'
U2 B' R2 B2 D' R' L2
U' B' U' B2 R' D' L2
U' B' U' B2 D' L2 R'
U' B' U' B2 D' R' L2
U' B' U2 F2 U B2 R'
B F' L2 R' D' F L'
U2 B' U' F2 U B2 R'
B F' L2 F R' D' L2
B F' L2 F D' L2 R'
B F' L2 F D' R' L2
U B' U B2 R' D' L2
U B' U B2 D' L2 R'
U B' U B2 D' R' L2
B F' R' L2 D' F L'
F2 B' R2 U F' B2 R'
F2 B' R2 U B2 F' R'
B F' R' D' L2 F L'
F2 B' U R' B2 R' F'
F2 B' U R2 F' B2 R'
F2 B' U R2 B2 F' R'
F2 B' U' L B U2 B
F2 B' U' B U2 B R'
U2 B' F2 U F2 B2 R'
U2 B' F2 U B2 R' F2
U2 B' F2 U B2 F2 R'
U B' F2 U R B2 R'
U B' F2 U R' B2 R'
U B' F2 U R2 B2 R'
U B' F2 U B2 R' D
U B' F2 U B2 R' D'
U B' F2 U B2 R' D2
U B' F2 U B2 D R'
U B' F2 U B2 D' R'
U B' F2 U B2 D2 R'
U B' F2 U' L U2 B2
U2 B2 L2 D' L2 B' R'
U2 B2 R D' B' L2 R'
U2 B2 R D' B' R' L2
U2 B2 R B' R' D' L2
U2 B2 R B' D' L2 R'
U2 B2 R B' D' R' L2
U2 B2 R' D' B' L2 R'
U2 B2 R' D' B' R' L2
U2 B2 R' B' R' D' L2
U2 B2 R' B' D' L2 R'
U2 B2 R' B' D' R' L2
U2 B2 R2 D' B' L2 R'
U2 B2 R2 D' B' R' L2
U2 B2 R2 B' R' D' L2
U2 B2 R2 B' D' L2 R'
U2 B2 R2 B' D' R' L2
B' F2 R2 U F' B2 R'
B' F2 R2 U B2 F' R'
B' F2 U R' B2 R' F'
U2 B2 U' F2 U B' R'
B' F2 U R2 F' B2 R'
B' F2 U R2 B2 F' R'
B F2 R' F2 D' L2 F
B' F2 U' L B U2 B
B' F2 U' B U2 B R'
U2 B2 D B' D2 L2 R'
U2 B2 D B' D2 R' L2
U2 B2 D' R B' L2 R'
U2 B2 D' R B' R' L2
U2 B2 D' R' B' L2 R'
U2 B2 D' R' B' R' L2
U2 B2 D' R2 B' L2 R'
U2 B2 D' R2 B' R' L2
U' B2 D2 B2 U' B R'
U2 B2 D' B' L2 R' D
U2 B2 D' B' L2 R' D'
U2 B2 D' B' L2 R' D2
U2 B2 D' B' L2 D R'
U2 B2 D' B' L2 D' R'
U2 B2 D' B' L2 D2 R'
U2 B2 D' B' R' L2 D
U2 B2 D' B' R' L2 D'
U2 B2 D' B' R' L2 D2
U2 B2 D' B2 L2 B R'
