U2 L' F B'
U2 L' B' F
U2 L' D F B'
U2 L' D B' F
U2 L' D' F B'
U2 L' D' B' F
U2 L' D2 F B'
U2 L' D2 B' F
U2 L' F D B'
U2 L' F D' B'
U2 L' F D2 B'
U2 L' F B' D
U2 L' F B' D'
U2 L' F B' D2
U2 L' B' D F
U2 L' B' D' F
U2 L' B' D2 F
U2 L' B' F D
U2 L' B' F D'
U2 L' B' F D2
R U2 L' F B
R U2 L' B F
R U2 B L' F
B' U2 L' F B'
B' U2 L' B' F
B2 U2 L' F B'
B U2 L' F B'
B2 U2 L' B' F
B U2 L' B' F
U2 B L' F B'
U2 B L' B' F
U2 B' L' F B'
U2 B' L' B' F
U2 B2 L' F B'
U2 B2 L' B' F
L' R' B2 F R' D2 B2
R' L' B2 F D2 R' B2
B L' F R2 B2 R' B
L' R' B2 F D2 R' B2
R L' B2 R2 B' R F
U2 L' F U2 F U2 B'
B2 L' F U2 L F U2
U2 L' F U2 F' U2 B'
U2 L' F U2 F2 U2 B'
U2 L' F D R' B' R
U2 L' F D R2 B' R2
U2 L' F D B2 D B
U2 L' F D B2 D' B
U2 L' F D B2 D2 B
B L' F U2 L F U2
U2 L' F D' R' B' R
U2 L' F D' R2 B' R2
U L' F U R U' R'
B' L' F B R B R'
U2 L' F D' B2 D B
U2 L' F D' B2 D' B
U2 L' F D' B2 D2 B
U2 L' F D2 R' B' R
U2 L' F D2 R2 B' R2
R L' B2 D R' F B'
R L' B2 D R' B' F
U2 L' F D2 B2 D B
U2 L' F D2 B2 D' B
U2 L' F D2 B2 D2 B
U2 L' F B L B2 L'
R L' B2 D F R' B'
R2 L' B2 F R' D B
R2 L' B2 F R' D' B
U2 L' F B L2 B2 L2
R2 L' B2 F R' D2 B
R2 L' B2 F R' B D
R2 L' B2 F R' B D'
R2 L' B2 F R' B D2
U2 L' F B R' B2 R
B' L' F B2 R B R2
U2 L' F B R2 B2 R2
R L' B2 D' R' F B'
R L' B2 D' R' B' F
B2 L' F B R B R'
U2 L' F B' L D L'
U2 L' F B' L D' L'
U2 L' F B' L D2 L'
U2 L' F B' L' D L
U2 L' F B' L' D' L
U2 L' F B' L' D2 L
R2 L' B2 F' R' F2 B
R2 L' B2 F' R' B F2
U2 L' F B' R D R'
U2 L' F B' R D' R'
R L' B2 D' F R' B'
U2 L' F B' R D2 R'
U2 L' F B' R' D R
U2 L' F B' R' D' R
U2 L' F B' R' D2 R
U2 L' F B2 L B L'
R L' B2 D2 R' F B'
R L' B2 D2 R' B' F
U2 L' F B2 L2 B L2
R L' B2 D2 F R' B'
B L' F B R B R'
U2 L' F B2 D B D
U2 L' F B2 D B D'
U2 L' F B2 D B D2
U2 L' F B2 D' B D
U2 L' F B2 D' B D'
U2 L' F B2 D' B D2
U2 L' F B2 D2 B D
U2 L' F B2 D2 B D'
U2 L' F B2 D2 B D2
B2 L' F B2 R B R2
R L' B2 F R B' R2
R L' B2 F R' D B'
R L' B2 F R' D' B'
R L' B2 F R' D2 B'
R L' B2 F R' B' D
R L' B2 F R' B' D'
R L' B2 F R' B' D2
R L' B2 F R2 B' R
R L' B2 F D R' B'
R L' B2 F D' R' B'
R L' B2 F D2 R' B'
R L' B2 F' R' F2 B'
R L' B2 F' R' B' F2
B L' F B2 R B R2
U2 L' F' L' F2 L B'
U2 L' F' R F2 R' B'
U2 L' F' R' B' R F2
U2 L' F' R2 F2 R2 B'
U2 L' F' R2 F2 B' R2
U L' F' L' U L F2
U2 L' F' R2 B' R2 F2
U L' F' L' U F2 L
U2 L' F' R2 B' F2 R2
U2 L' F' D B' D' F2
U2 L' F' D' B' D F2
U2 L' F' B' L' F2 L
U2 L' F' B' L2 F2 L2
U2 L' F' B' R F2 R'
U2 L' F' B' R2 F2 R2
U2 L' F2 L' F' L B'
U2 L' F2 R' B' R F'
U2 L' F2 D F' D B'
U2 L' F2 D F' D' B'
U2 L' F2 D F' D2 B'
U2 L' F2 D F' B' D
U2 L' F2 D F' B' D'
U2 L' F2 D F' B' D2
U2 L' F2 D B' D F'
U2 L' F2 D B' D' F'
U2 L' F2 D B' D2 F'
U2 L' F2 D B' F' D
U2 L' F2 D B' F' D'
U2 L' F2 D B' F' D2
U2 L' F2 D' F' D B'
U2 L' F2 D' F' D' B'
U2 L' F2 D' F' D2 B'
U2 L' F2 D' F' B' D
U2 L' F2 D' F' B' D'
U2 L' F2 D' F' B' D2
U2 L' F2 D' B' D F'
U2 L' F2 D' B' D' F'
U2 L' F2 D' B' D2 F'
U2 L' F2 D' B' F' D
U2 L' F2 D' B' F' D'
U2 L' F2 D' B' F' D2
U2 L' F2 D2 F' D B'
U2 L' F2 D2 F' D' B'
U2 L' F2 D2 F' D2 B'
U2 L' F2 D2 F' B' D
U2 L' F2 D2 F' B' D'
U2 L' F2 D2 F' B' D2
U2 L' F2 D2 B' D F'
U2 L' F2 D2 B' D' F'
U2 L' F2 D2 B' D2 F'
U2 L' F2 D2 B' F' D
U2 L' F2 D2 B' F' D'
U2 L' F2 D2 B' F' D2
U2 L' F2 B' L' F' L
U2 L' F2 B' L2 F' L2
U2 L' F2 B' D F' D
U2 L' F2 B' D F' D'
U2 L' F2 B' D F' D2
U2 L' F2 B' D' F' D
U2 L' F2 B' D' F' D'
U2 L' F2 B' D' F' D2
U2 L' F2 B' D2 F' D
U2 L' F2 B' D2 F' D'
U2 L' F2 B' D2 F' D2
U2 L' F2 B2 D F' B
U2 L' F2 B2 D B F'
U2 L' F2 B2 D' F' B
U2 L' F2 B2 D' B F'
U2 L' F2 B2 D2 F' B
U2 L' F2 B2 D2 B F'
D2 L' B R F' B R'
U2 L' B L B2 L' F
D2 L' B R B F' R'
B' L' B R F B R'
B' L' B R B R' F
B' L' B R B F R'
U2 L' B R F R' B2
B2 L' B R F B R'
B2 L' B R B R' F
B2 L' B R B F R'
U2 L' B R' B2 R F
B L' B R F B R'
U2 L' B R2 F R2 B2
U2 L' B R2 F B2 R2
B L' B R B R' F
B L' B R B F R'
U2 L' B R2 B2 R2 F
U2 L' B R2 B2 F R2
U2 L' B D F D' B2
B' L' B F R B R'
U2 L' B D' F D B2
U2 L' B F L B2 L'
U2 L' B F L2 B2 L2
B2 L' B F R B R'
U2 L' B F R' B2 R
U2 L' B F R2 B2 R2
B L' B F R B R'
U2 L' B' L' D L F
U2 L' B' L' D' L F
U2 L' B' L' D2 L F
U2 L' B' L' F L F
U2 L' B' L' F' L F
U2 L' B' L' F2 L F
U2 L' B' L2 F L2 F
U2 L' B' L2 F' L2 F
U2 L' B' L2 F2 L2 F
U2 L' B' R D R' F
U2 L' B' R D F R'
U2 L' B' R D' R' F
U2 L' B' R D' F R'
U2 L' B' R D2 R' F
U2 L' B' R D2 F R'
U2 L' B' R F R' D
U2 L' B' R F R' D'
U2 L' B' R F R' D2
U2 L' B' R F D R'
U2 L' B' R F D' R'
U2 L' B' R F D2 R'
U2 L' B' R F' R' F2
U2 L' B' R' D R F
U2 L' B' R' D' R F
U2 L' B' R' D2 R F
U2 L' B' R2 F R2 D
U2 L' B' R2 F R2 D'
U2 L' B' R2 F R2 D2
U2 L' B' R2 F' R2 F2
U2 L' B' U' R U F
U2 L' B' U' R' U F
U2 L' B' U' R2 U F
U2 L' B' U2 B U2 F
U2 L' B' U2 B' U2 F
U2 L' B' U2 B2 U2 F
U2 L' B' D R F R'
U2 L' B' D R2 F R2
U2 L' B' D F2 D F'
U2 L' B' D F2 D' F'
U2 L' B' D F2 D2 F'
U2 L' B' D' R F R'
U2 L' B' D' R2 F R2
U2 L' B' D' F2 D F'
U2 L' B' D' F2 D' F'
U2 L' B' D' F2 D2 F'
U2 L' B' D2 R F R'
U2 L' B' D2 R2 F R2
U2 L' B' D2 F2 D F'
U2 L' B' D2 F2 D' F'
U2 L' B' D2 F2 D2 F'
U2 L' B' F L D L'
U2 L' B' F L D' L'
U2 L' B' F L D2 L'
U2 L' B' F L' D L
U2 L' B' F L' D' L
U2 L' B' F L' D2 L
U2 L' B' F R D R'
U2 L' B' F R D' R'
U2 L' B' F R D2 R'
U2 L' B' F R' D R
U2 L' B' F R' D' R
U2 L' B' F R' D2 R
U2 L' B' F' L' F2 L
U2 L' B' F' L2 F2 L2
U2 L' B' F' R F2 R'
U2 L' B' F' R2 F2 R2
U2 L' B' F2 L' F' L
U2 L' B' F2 L2 F' L2
U2 L' B' F2 D F' D
U2 L' B' F2 D F' D'
U2 L' B' F2 D F' D2
U2 L' B' F2 D' F' D
U2 L' B' F2 D' F' D'
U2 L' B' F2 D' F' D2
U2 L' B' F2 D2 F' D
U2 L' B' F2 D2 F' D'
U2 L' B' F2 D2 F' D2
D2 L' B2 R F' B R2
D2 L' B2 R B F' R2
B' L' B2 R F B R2
U2 L' B2 L B L' F
B' L' B2 R B R2 F
B' L' B2 R B F R2
B' L' B2 R' F D2 B2
B2 L' B2 R F B R2
B2 L' B2 R B R2 F
B2 L' B2 R B F R2
U2 L' B2 R F R' B
B2 L' B2 R' F D2 B2
B L' B2 R F B R2
B L' B2 R B R2 F
B L' B2 R B F R2
B L' B2 R' F D2 B2
R' L2 D2 L R2 F B
R' L2 D2 L R2 B F
B' L' B2 F R B R2
U2 L' B2 D F D B
U2 L' B2 D F D' B
U2 L' B2 D F D2 B
U2 L' B2 D F B D
U2 L' B2 D F B D'
U2 L' B2 D F B D2
U2 L' B2 D B D F
U2 L' B2 D B D' F
U2 L' B2 D B D2 F
U2 L' B2 D B F D
U2 L' B2 D B F D'
U2 L' B2 D B F D2
U2 L' B2 D' F D B
U2 L' B2 D' F D' B
U2 L' B2 D' F D2 B
U2 L' B2 D' F B D
U2 L' B2 D' F B D'
U2 L' B2 D' F B D2
U2 L' B2 D' B D F
U2 L' B2 D' B D' F
U2 L' B2 D' B D2 F
U2 L' B2 D' B F D
U2 L' B2 D' B F D'
U2 L' B2 D' B F D2
U2 L' B2 D2 F D B
U2 L' B2 D2 F D' B
U2 L' B2 D2 F D2 B
U2 L' B2 D2 F B D
U2 L' B2 D2 F B D'
U2 L' B2 D2 F B D2
B2 L' B2 F R B R2
U2 L' B2 D2 B D F
U2 L' B2 D2 B D' F
U2 L' B2 D2 B D2 F
U2 L' B2 D2 B F D
U2 L' B2 D2 B F D'
U2 L' B2 D2 B F D2
U2 L' B2 F L B L'
U2 L' B2 F L2 B L2
U2 L' B2 F D B D
U2 L' B2 F D B D'
U2 L' B2 F D B D2
U2 L' B2 F D' B D
U2 L' B2 F D' B D'
U2 L' B2 F D' B D2
U2 L' B2 F D2 B D
U2 L' B2 F D2 B D'
U2 L' B2 F D2 B D2
R' L2 D2 R2 L F B
R' L2 D2 R2 L B F
B L' B2 F R B R2
U2 L' B2 F2 D F' B
U2 L' B2 F2 D B F'
L2 R2 D2 L R2 F B'
U2 L' B2 F2 D' F' B
L2 R2 D2 L R2 B' F
U2 L' B2 F2 D' B F'
U2 L' B2 F2 D2 F' B
U2 L' B2 F2 D2 B F'
L2 R2 D2 L F R2 B'
L2 R2 D2 L F B' R2
L2 R2 D2 L B' R2 F
L2 R2 D2 L B' F R2
R2 L2 D2 L R2 F B'
R2 L2 D2 L R2 B' F
R2 L2 D2 L F R2 B'
R2 L2 D2 L F B' R2
R2 L2 D2 L B' R2 F
R2 L2 D2 L B' F R2
R L2 D2 L F B R2
L2 R2 D2 R2 L F B'
L2 R2 D2 R2 L B' F
R L2 D2 L B R2 F
R L2 D2 L B F R2
R2 L2 D2 R2 L F B'
R2 L2 D2 R2 L B' F
L' R2 F R' B2 R' B'
L' R2 F B R' B R'
L' R2 F B2 R' D B
L' R2 F B2 R' D' B
L' R2 F B2 R' D2 B
L' R2 F B2 R' B D
L' R2 F B2 R' B D'
L' R2 F B2 R' B D2
R' L2 F' L2 U2 L' F
L' R2 F' B2 R' F2 B
L' R2 F' B2 R' B F2
L' R2 B R' F B R'
L' R2 B R' B R' F
L' R2 B R' B F R'
L' R2 B F R' B R'
L' R2 B2 R' D F B
L' R2 B2 R' D B F
L' R2 B2 R' D' F B
L' R2 B2 R' D' B F
L' R2 B2 R' D2 F B
L' R2 B2 R' D2 B F
L' R2 B2 R' F D B
L' R2 B2 R' F D' B
L' R2 B2 R' F D2 B
L' R2 B2 R' F B D
L' R2 B2 R' F B D'
L' R2 B2 R' F B D2
L' R2 B2 R' B D F
L' R2 B2 R' B D' F
L' R2 B2 R' B D2 F
L' R2 B2 R' B F D
L' R2 B2 R' B F D'
L' R2 B2 R' B F D2
L' R2 B2 F R' D B
L' R2 B2 F R' D' B
L' R2 B2 F R' D2 B
L' R2 B2 F R' B D
L' R2 B2 F R' B D'
L' R2 B2 F R' B D2
L' R2 B2 F' R' F2 B
L' R2 B2 F' R' B F2
R U L U L2 F B
R U L U L2 B F
U2 L2 F L D F B'
U2 L2 F L D B' F
U2 L2 F L D' F B'
U2 L2 F L D' B' F
U2 L2 F L D2 F B'
U2 L2 F L D2 B' F
U2 L2 F L F D B'
U2 L2 F L F D' B'
U2 L2 F L F D2 B'
U2 L2 F L F B' D
U2 L2 F L F B' D'
U2 L2 F L F B' D2
U2 L2 F L B' D F
U2 L2 F L B' D' F
U2 L2 F L B' D2 F
U2 L2 F L B' F D
U2 L2 F L B' F D'
U2 L2 F L B' F D2
U2 L2 F' L D F B'
U2 L2 F' L D B' F
U2 L2 F' L D' F B'
U2 L2 F' L D' B' F
U2 L2 F' L D2 F B'
U2 L2 F' L D2 B' F
U2 L2 F' L F D B'
U2 L2 F' L F D' B'
U2 L2 F' L F D2 B'
U2 L2 F' L F B' D
U2 L2 F' L F B' D'
U2 L2 F' L F B' D2
U2 L2 F' L B' D F
U2 L2 F' L B' D' F
U2 L2 F' L B' D2 F
U2 L2 F' L B' F D
U2 L2 F' L B' F D'
U2 L2 F' L B' F D2
U L2 F' L' U L2 F
U2 L2 F2 L D F B'
U2 L2 F2 L D B' F
U2 L2 F2 L D' F B'
U2 L2 F2 L D' B' F
U2 L2 F2 L D2 F B'
U2 L2 F2 L D2 B' F
U2 L2 F2 L F D B'
U2 L2 F2 L F D' B'
U2 L2 F2 L F D2 B'
U2 L2 F2 L F B' D
U2 L2 F2 L F B' D'
U2 L2 F2 L F B' D2
U2 L2 F2 L B' D F
U2 L2 F2 L B' D' F
U2 L2 F2 L B' D2 F
U2 L2 F2 L B' F D
U2 L2 F2 L B' F D'
U2 L2 F2 L B' F D2
R2 U R' U L' F B
R2 U R' U L' B F
R2 U R' U B L' F
U2 L2 B L F B' L
U2 L2 B L B' F L
R' U R2 U L' F B
R' U R2 U L' B F
R' U R2 U B L' F
F2 R L B' L' U2 B2
D2 R L' F' B2 R' B'
U2 R L' D R' F B'
U2 R L' D R' B' F
B' R L' F B2 R' B'
U2 R L' D F R' B'
U2 R L' D' R' F B'
U2 R L' D' R' B' F
U2 R L' D' F R' B'
D2 R L' B D2 F' R
U2 R L' D2 R' F B'
U2 R L' D2 R' B' F
U2 R L' D2 F R' B'
U2 R L' F R B' R2
U2 R L' F R' D B'
U2 R L' F R' D' B'
B2 R L' F B2 R' B'
U2 R L' F R' D2 B'
U2 R L' F R' B' D
U2 R L' F R' B' D'
U2 R L' F R' B' D2
U2 R L' F R2 B' R
U2 R L' F D R' B'
U2 R L' F D' R' B'
U2 R L' F D2 R' B'
D2 R L' B2 F' R' B'
U2 R L' F' R' F2 B'
U2 R L' F' R' B' F2
B' R L' B2 R' F B'
B' R L' B2 R' B' F
B' R L' B2 F R' B'
B R L' F B2 R' B'
B2 R L' B2 R' F B'
B2 R L' B2 R' B' F
B2 R L' B2 F R' B'
B R L' B2 R' F B'
B R L' B2 R' B' F
B R L' B2 F R' B'
F2 R U L' U F B
F2 R U L' U B F
U R U L' D F B'
U R U L' D B' F
U R U L' D' F B'
U R U L' D' B' F
U R U L' D2 F B'
U R U L' D2 B' F
U R U L' F D B'
U R U L' F D' B'
U R U L' F D2 B'
U R U L' F B' D
U R U L' F B' D'
U R U L' F B' D2
U R U L' B' D F
U R U L' B' D' F
U R U L' B' D2 F
U R U L' B' F D
U R U L' B' F D'
U R U L' B' F D2
U' R U' L' D F B'
U' R U' L' D B' F
U' R U' L' D' F B'
U' R U' L' D' B' F
U' R U' L' D2 F B'
U' R U' L' D2 B' F
U' R U' L' F D B'
U' R U' L' F D' B'
U' R U' L' F D2 B'
U' R U' L' F B' D
U' R U' L' F B' D'
U' R U' L' F B' D2
U' R U' L' B' D F
U' R U' L' B' D' F
U' R U' L' B' D2 F
U' R U' L' B' F D
U' R U' L' B' F D'
U' R U' L' B' F D2
F2 R U' L' U' F B
F2 R U' L' U' B F
U R U B L' F B'
U R U B L' B' F
U R U B' L' F B'
U R U B' L' B' F
U R U B2 L' F B'
U R U B2 L' B' F
U' R U' B L' F B'
U' R U' B L' B' F
U' R U' B' L' F B'
U' R U' B' L' B' F
D2 R U2 L F' L2 B
D2 R U2 L F' B L2
D2 R U2 L B L2 F'
D2 R U2 L B F' L2
U' R U' B2 L' F B'
U' R U' B2 L' B' F
D2 R U2 L' D F' B
D2 R U2 L' D B F'
D2 R U2 L' D' F' B
D2 R U2 L' D' B F'
D2 R U2 L' D2 F' B
D2 R U2 L' D2 B F'
D2 R U2 L' F' D B
D2 R U2 L' F' D' B
D2 R U2 L' F' D2 B
D2 R U2 L' F' B D
D2 R U2 L' F' B D'
D2 R U2 L' F' B D2
D2 R U2 L' B D F'
D2 R U2 L' B D' F'
D2 R U2 L' B D2 F'
D2 R U2 L' B F' D
D2 R U2 L' B F' D'
D2 R U2 L' B F' D2
D2 R U2 L2 F' L B
F' R U2 L' F L' B
F' R U2 L' F B L'
B' R U2 L' D F B
B' R U2 L' D B F
B' R U2 L' D' F B
B' R U2 L' D' B F
F' R U2 L' B F L'
B' R U2 L' D2 F B
B' R U2 L' D2 B F
B' R U2 L' F D B
B' R U2 L' F D' B
B' R U2 L' F D2 B
B' R U2 L' F B D
B' R U2 L' F B D'
B' R U2 L' F B D2
B' R U2 L' B D F
B' R U2 L' B D' F
B' R U2 L' B D2 F
B' R U2 L' B F D
B' R U2 L' B F D'
B' R U2 L' B F D2
B2 R U2 L' D F B
B2 R U2 L' D B F
B2 R U2 L' D' F B
B2 R U2 L' D' B F
B2 R U2 L' D2 F B
B2 R U2 L' D2 B F
B2 R U2 L' F D B
B2 R U2 L' F D' B
B2 R U2 L' F D2 B
B2 R U2 L' F B D
B2 R U2 L' F B D'
B2 R U2 L' F B D2
D2 R U2 D L' F' B
D2 R U2 D L' B F'
B2 R U2 L' B D F
B2 R U2 L' B D' F
B2 R U2 L' B D2 F
B2 R U2 L' B F D
B2 R U2 L' B F D'
B2 R U2 L' B F D2
D2 R U2 D B L' F'
D2 R U2 D' L' F' B
D2 R U2 D' L' B F'
D' R U2 D L' F B
D' R U2 D L' B F
F2 R U2 L' F L B
D2 R U2 D' B L' F'
D' R U2 D B L' F
D2 R U2 D2 L' F' B
D2 R U2 D2 L' B F'
D2 R U2 D2 B L' F'
B R U2 L' D F B
B R U2 L' D B F
B R U2 L' D' F B
B R U2 L' D' B F
B R U2 L' D2 F B
B R U2 L' D2 B F
B R U2 L' F D B
B R U2 L' F D' B
B R U2 L' F D2 B
B R U2 L' F B D
B R U2 L' F B D'
B R U2 L' F B D2
B R U2 L' B D F
B R U2 L' B D' F
B R U2 L' B D2 F
B R U2 L' B F D
B R U2 L' B F D'
B R U2 L' B F D2
F' R U2 F L' F B
F' R U2 F L' B F
F' R U2 F B L' F
D2 R U2 B L F' L2
D2 R U2 B L' D F'
D2 R U2 B L' D' F'
D2 R U2 B L' D2 F'
D2 R U2 B L' F' D
D2 R U2 B L' F' D'
D2 R U2 B L' F' D2
D2 R U2 B L2 F' L
D2 R U2 B D L' F'
D2 R U2 B D' L' F'
D2 R U2 B D2 L' F'
D2 R U2 B' L' F' B2
D2 R U2 B' L' B2 F'
F R U2 L' F B L
F R U2 L' B F L
F' R U2 B L' F L'
B' R U2 B L' D F
B' R U2 B L' D' F
B' R U2 B L' D2 F
B' R U2 B L' F D
B' R U2 B L' F D'
B' R U2 B L' F D2
F R U2 L2 B L F
D R U2 D' L' F B
D R U2 D' L' B F
F' R U2 B F L' F
D R U2 D' B L' F
B' R U2 B' L' F B2
B' R U2 B' L' B2 F
B2 R U2 B L' D F
B2 R U2 B L' D' F
B2 R U2 B L' D2 F
B2 R U2 B L' F D
B2 R U2 B L' F D'
B2 R U2 B L' F D2
B2 R U2 B' L' F B2
B2 R U2 B' L' B2 F
F2 R U2 B L' F L
D R U2 B D' L' F
B R U2 B L' D F
B R U2 B L' D' F
B R U2 B L' D2 F
B R U2 B L' F D
B R U2 B L' F D'
B R U2 B L' F D2
B R U2 B' L' F B2
B R U2 B' L' B2 F
D2 R D U2 L' F' B
D2 R D U2 L' B F'
F R U2 B L' F L2
D' R D U2 L' F B
D' R D U2 L' B F
D2 R D U2 B L' F'
D' R D U2 B L' F
D2 R D' U2 L' F' B
D2 R D' U2 L' B F'
D2 R D' U2 B L' F'
D R D' U2 L' F B
D R D' U2 L' B F
D R D' U2 B L' F
D2 R D2 U2 L' F' B
D2 R D2 U2 L' B F'
D2 R D2 U2 B L' F'
R U' L U' L2 F B
R U' L U' L2 B F
D2 R F U2 F2 B L
D2 R F U2 B L F2
D2 R F U2 B F2 L
F' R F U2 L' F B
F' R F U2 L' B F
F' R F U2 B L' F
U R F' L' U F L'
F R F' U2 L' F B
F R F' U2 L' B F
F R F' U2 B L' F
R2 U' R' U' L' F B
R2 U' R' U' L' B F
R2 U' R' U' B L' F
U2 R B L' F B' R'
U2 R B L' B' R' F
U2 R B L' B' F R'
R' U' R2 U' L' F B
R' U' R2 U' L' B F
R' U' R2 U' B L' F
D2 R B' L' F' B2 R'
D2 R B' L' B2 F' R'
B' R B' L' F B2 R'
B' R B' L' B2 R' F
B' R B' L' B2 F R'
B2 R B' L' F B2 R'
U' R B' R' U' L' F
B2 R B' L' B2 R' F
B2 R B' L' B2 F R'
D2 R B' U2 L' F' B2
D2 R B' U2 L' B2 F'
D2 R B' U2 B2 L' F'
B' R B' U2 L' F B2
B' R B' U2 L' B2 F
B' R B' U2 B2 L' F
B R B' L' F B2 R'
B R B' L' B2 R' F
B R B' L' B2 F R'
B2 R B' U2 L' F B2
B2 R B' U2 L' B2 F
B2 R B' U2 B2 L' F
B R B' U2 L' F B2
B R B' U2 L' B2 F
B R B' U2 B2 L' F
D2 R B2 U2 B' L' F'
B' R B2 U2 B' L' F
B2 R B2 U2 B' L' F
B R B2 U2 B' L' F
B' R' L' F D2 B2 R'
U2 R' L' D R F B'
U2 R' L' D R B' F
U2 R' L' D B' R F
U2 R' L' D' R F B'
U2 R' L' D' R B' F
U2 R' L' D' B' R F
B2 R' L' F D2 B2 R'
U2 R' L' D2 R F B'
U2 R' L' D2 R B' F
U2 R' L' D2 B' R F
U2 R' L' B R F B2
U2 R' L' B R B2 F
B R' L' F D2 B2 R'
U2 R' L' B' R D F
U2 R' L' B' R D' F
U2 R' L' B' R D2 F
U2 R' L' B' R F D
U2 R' L' B' R F D'
U2 R' L' B' R F D2
U2 R' L' B' R' F R2
U2 R' L' B' R2 F R'
U2 R' L' B' D R F
U2 R' L' B' D' R F
U2 R' L' B' D2 R F
U R' U L' D F B'
U R' U L' D B' F
U R' U L' D' F B'
U R' U L' D' B' F
U R' U L' D2 F B'
U R' U L' D2 B' F
U R' U L' F D B'
U R' U L' F D' B'
U R' U L' F D2 B'
U R' U L' F B' D
U R' U L' F B' D'
U R' U L' F B' D2
U R' U L' B' D F
U R' U L' B' D' F
U R' U L' B' D2 F
U R' U L' B' F D
U R' U L' B' F D'
U R' U L' B' F D2
U' R' U' L' D F B'
U' R' U' L' D B' F
U' R' U' L' D' F B'
U' R' U' L' D' B' F
U' R' U' L' D2 F B'
U' R' U' L' D2 B' F
U' R' U' L' F D B'
U' R' U' L' F D' B'
U' R' U' L' F D2 B'
U' R' U' L' F B' D
U' R' U' L' F B' D'
U' R' U' L' F B' D2
U' R' U' L' B' D F
U' R' U' L' B' D' F
U' R' U' L' B' D2 F
U' R' U' L' B' F D
U' R' U' L' B' F D'
U' R' U' L' B' F D2
U R' U B L' F B'
U R' U B L' B' F
U R' U B' L' F B'
U R' U B' L' B' F
U' R' U' B L' F B'
U' R' U' B L' B' F
U R' U B2 L' F B'
U R' U B2 L' B' F
U' R' U' B' L' F B'
U' R' U' B' L' B' F
U' R' U' B2 L' F B'
U' R' U' B2 L' B' F
B' R' U2 L' F D2 B2
B2 R' U2 L' F D2 B2
U2 R' U2 L' R F B
U2 R' U2 L' R B F
U2 R' U2 R L' F B
U2 R' U2 R L' B F
U2 R' U2 R B L' F
B R' U2 L' F D2 B2
R U' B' U' L' F B2
R U' B' U' L' B2 F
R U' B' U' B2 L' F
R U' B2 U' B' L' F
R' U2 L F2 L2 F B'
R' U2 L F2 L2 B' F
U2 R' D2 L' R F' B'
U2 R' D2 L' R B' F'
R' U2 L' R2 F B R2
R' U2 L' R2 B R2 F
R' U2 L' R2 B F R2
U2 R' D2 L' B' R F'
U2 R' D2 R L' F' B'
U2 R' D2 R L' B' F'
R' U2 L' U2 F' U2 F2
R' U2 L' D F D2 B2
R' U2 L' D' F D2 B2
R' U2 L' D2 F D2 B2
R' U2 L' F U2 F2 U2
R' U2 L' F D2 B2 D
R' U2 L' F D2 B2 D'
R' U2 L' F D2 B2 D2
R' U2 L' F B D2 B2
R' U2 L' F B' D2 B2
R' U2 L' F B2 D2 B2
R U2 L F L2 F B
R U2 L F L2 B F
R U2 L F' L2 F B
R U2 L F' L2 B F
R' U2 L' B F D2 B2
R2 U2 L' R' B R F
R U2 L F2 L2 F B
R U2 L F2 L2 B F
R' U2 L' B' F D2 B2
R U2 L B L2 D2 F2
R' U2 L' B2 F D2 B2
R U2 L' R F R' B
R2 U2 L' F R' B R
L U2 L' U2 B' L' F
R U2 L' D F D B
R U2 L' D F D' B
R U2 L' D F D2 B
R U2 L' D F B D
R U2 L' D F B D'
R U2 L' D F B D2
R U2 L' D B D F
R U2 L' D B D' F
R U2 L' D B D2 F
R U2 L' D B F D
R U2 L' D B F D'
R U2 L' D B F D2
R U2 L' D' F D B
R U2 L' D' F D' B
R U2 L' D' F D2 B
R U2 L' D' F B D
R U2 L' D' F B D'
R U2 L' D' F B D2
R U2 L' D' B D F
R U2 L' D' B D' F
R U2 L' D' B D2 F
R U2 L' D' B F D
R U2 L' D' B F D'
R U2 L' D' B F D2
R U2 L' D2 F D B
R U2 L' D2 F D' B
R U2 L' D2 F D2 B
R U2 L' D2 F B D
R U2 L' D2 F B D'
R U2 L' D2 F B D2
R U2 L' D2 B D F
R U2 L' D2 B D' F
R U2 L' D2 B D2 F
R U2 L' D2 B F D
R U2 L' D2 B F D'
R U2 L' D2 B F D2
R U2 L' F L B L'
R U2 L' F L2 B L2
R U2 L' F D B D
R U2 L' F D B D'
R U2 L' F D B D2
R U2 L' F D' B D
R U2 L' F D' B D'
R U2 L' F D' B D2
R U2 L' F D2 B D
R U2 L' F D2 B D'
R U2 L' F D2 B D2
R U2 L' F B2 D B'
R U2 L' F B2 D' B'
R U2 L' F B2 D2 B'
R U2 L' F2 D F' B
R U2 L' F2 D B F'
R U2 L' F2 D' F' B
R U2 L' F2 D' B F'
R U2 L' F2 D2 F' B
R U2 L' F2 D2 B F'
R U2 L' F2 B D F'
R U2 L' F2 B D' F'
R U2 L' F2 B D2 F'
R U2 L' B R F R'
R U2 L' B R2 F R2
R U2 L' B D F D
R U2 L' B D F D'
R U2 L' B D F D2
R U2 L' B D' F D
R U2 L' B D' F D'
R U2 L' B D' F D2
R U2 L' B D2 F D
R U2 L' B D2 F D'
R U2 L' B D2 F D2
R U2 L' B F2 D F'
R U2 L' B F2 D' F'
R U2 L' B F2 D2 F'
L' U2 L2 B' L' F U2
