F R U' L2 U' B
D R U2 F2 B L
D R U2 B L F2
D R U2 B F2 L
F R U2 D F2 B
F R U2 D B F2
F R U2 B D F2
F R D U2 F2 B
F R D U2 B F2
F R D' B2 U2 B'
R U' L2 U' B L
D' R' F' B2 U2 L'
D R' F' U2 L' F'
D' R' B2 F' U2 L'
R U2 D F2 B L
R U2 D B L F2
R U2 D B F2 L
R U2 B D L F2
R U2 B D F2 L
R' D F' U2 L' F'
R D U2 F2 B L
R D U2 B L F2
R D U2 B F2 L
R' D' F' B2 U2 L'
R' D' B2 F' U2 L'
F' U2 D L' F2 B'
F' U2 D L' B' F2
F U2 D F2 L' B'
D' F R B2 U2 B'
D F R U2 F B
D F R U2 B F
F D R U2 F2 B
F D R U2 F2 B
F D R U2 B F2
D' F B2 R U2 B
F' D U2 L' F2 B'
F' D U2 L' B' F2
F D U2 F2 L' B'
R' F' U' L2 U' L
R' F' U2 D L' F2
R' F' D U2 L' F2
R' F' D' B2 U2 L'
D F' U2 L' F' B'
D F' U2 L' B' F'
F D' R B2 U2 B'
D' F' B2 U2 L' B'
F' D' B2 U2 L' B'
F D' B2 R U2 B
D' B2 R U2 B L
D' B2 R' F' U2 L'
D' B2 F R U2 B
D' B2 F' U2 L' B'
R' F' D R' U2 L' F2
R' F' D R2 U2 L' F2
R F' U' L2 U' L B
R' F' D U2 L F2 L2
R' F' D U2 L' F2 D
R' F' D U2 L' F2 D'
R' F' D U2 L' F2 D2
R' F' D U2 L2 F2 L
D F' U2 L' D F' B'
D F' U2 L' D B' F'
D F' U2 L' D' F' B'
D F' U2 L' D' B' F'
D F' U2 L' D2 F' B'
D F' U2 L' D2 B' F'
D F' U2 L' F' D B'
D F' U2 L' F' D' B'
D F' U2 L' F' D2 B'
D F' U2 L' F' B' D
D F' U2 L' F' B' D'
D F' U2 L' F' B' D2
D F' U2 L' B' D F'
D F' U2 L' B' D' F'
D F' U2 L' B' D2 F'
D F' U2 L' B' F' D
D F' U2 L' B' F' D'
D F' U2 L' B' F' D2
D F' U2 L2 F' L B'
R' F' D B U2 L' F2
R' F' D B' U2 L' F2
D F' U2 D L' F' B'
D F' U2 D L' B' F'
D F' U2 D' L' F' B'
D F' U2 D' L' B' F'
R' F' D B2 U2 L' F2
D F' U2 D2 L' F' B'
D F' U2 D2 L' B' F'
D2 F' D B2 U2 L' B'
R' F' D' R B2 U2 L'
D F' U2 B L' F' B'
D F' U2 B L' B' F'
R' F' D' R' B2 U2 L'
D F' U2 B' L' F' B'
D F' U2 B' L' B' F'
R' F' D' R2 B2 U2 L'
D F' U2 B2 L' F' B'
D F' U2 B2 L' B' F'
R' F' D' U2 L' D2 F2
D2 F' D' U2 L' F2 B'
D2 F' D' U2 L' B' F2
R F' U2 D L' F2 B
R F' U2 D L' B F2
R F' U2 D B L' F2
R' F' D' B2 R U2 L'
R' F' D' B2 R' U2 L'
R' F' D' B2 R2 U2 L'
R' F' D' B2 U2 L' D
R' F' D' B2 U2 L' D'
R' F' D' B2 U2 L' D2
R' F' D' B2 U2 D L'
R' F' D' B2 U2 D' L'
R' F' D' B2 U2 D2 L'
R' F' D' B2 D U2 L'
R' F' D' B2 D' U2 L'
R' F' D' B2 D2 U2 L'
D F' D U2 L' F' B'
D F' D U2 L' B' F'
R F' U2 B D L' F2
R' F' D2 U R2 U L'
R' F' D2 U2 L' D' F2
D' F' D2 U2 L' F2 B'
D' F' D2 U2 L' B' F2
F' D' R B2 U2 B' L'
R F' D U2 L' F2 B
R F' D U2 L' B F2
R F' D U2 B L' F2
D F' D' U2 L' F' B'
D F' D' U2 L' B' F'
B' D' R' F' B2 U2 L'
R' F' B U' L2 U' L
B' D' R' B2 F' U2 L'
R' F' B U2 D L' F2
R' F' B D U2 L' F2
B2 D' R' F' B2 U2 L'
F D' R U2 D2 F2 B
F D' R U2 D2 B F2
R' F' B D' B2 U2 L'
F D' R D2 U2 F2 B
F D' R D2 U2 B F2
D F' D2 U2 L' F' B'
D F' D2 U2 L' B' F'
B2 D' R' B2 F' U2 L'
F D' R F B2 U2 B'
F D' R F' B2 U2 B'
F D' R F2 B2 U2 B'
R F' D' B2 U2 B' L'
R' F' B' U' L2 U' L
F D' R B2 U2 D B'
F D' R B2 U2 D' B'
F D' R B2 U2 D2 B'
F D' R B2 U2 B' D
F D' R B2 U2 B' D'
F D' R B2 U2 B' D2
F D' R B2 D U2 B'
F D' R B2 D' U2 B'
F D' R B2 D2 U2 B'
R' F' B' U2 D L' F2
F D' R B2 F U2 B'
F D' R B2 F' U2 B'
F D' R B2 F2 U2 B'
R' F' B' D U2 L' F2
R' F' B' D' B2 U2 L'
B D' R' F' B2 U2 L'
D' F' B2 R U2 L' B
D' F' B2 R U2 B L'
B D' R' B2 F' U2 L'
D F' B U2 L' F' B'
D F' B U2 L' B' F'
F D' R' F' R2 B2 U2
F D' R' F' B2 R2 U2
R' F' B2 U' L2 U' L
R' F' B2 U2 D L' F2
D' F' B2 U2 L' D B'
D' F' B2 U2 L' D' B'
D' F' B2 U2 L' D2 B'
D' F' B2 U2 L' B' D
D' F' B2 U2 L' B' D'
D' F' B2 U2 L' B' D2
D' F' B2 U2 D L' B'
D' F' B2 U2 D' L' B'
R' F' B2 D U2 L' F2
D' F' B2 U2 D2 L' B'
D' F' B2 U2 B L' B'
D' F' B2 U2 B' L' B'
D' F' B2 U2 B2 L' B'
F D' R' B2 R2 U2 B
D' F' B2 D U2 L' B'
F D' R' B2 F' R2 U2
R' F' B2 D' B2 U2 L'
D' F' B2 D' U2 L' B'
D' F' B2 D2 U2 L' B'
D F' B' U2 L' F' B'
D F' B' U2 L' B' F'
F' D' U2 L' D2 F2 B'
F' D' U2 L' D2 B' F2
D F' B2 U2 L' F' B'
D F' B2 U2 L' B' F'
B' D' F R B2 U2 B'
B2 D' F R B2 U2 B'
B' D' F B2 R U2 B
B2 D' F B2 R U2 B
B D' F R B2 U2 B'
B' D' F' B2 U2 L' B'
B D' F B2 R U2 B
B2 D' F' B2 U2 L' B'
F' D' F2 R B2 U2 B'
D' F2 R' F' R B2 U2
F' D' F2 B2 R U2 B
D' F2 R' F' B2 R U2
B D' F' B2 U2 L' B'
D' F2 R' B2 F' R U2
D F2 R' F' R U2 F
F D' F2 B2 U2 L' B'
B' D' B2 R U2 B L
B' D' B2 R' F' U2 L'
F' D' B2 R U2 L' B
F' D' B2 R U2 B L'
B2 D' B2 R U2 B L
B' D' B2 F R U2 B
B2 D' B2 R' F' U2 L'
F' D' B2 U2 L' D B'
F' D' B2 U2 L' D' B'
F' D' B2 U2 L' D2 B'
F' D' B2 U2 L' B' D
F' D' B2 U2 L' B' D'
F' D' B2 U2 L' B' D2
F' D' B2 U2 D L' B'
F' D' B2 U2 D' L' B'
F' D' B2 U2 D2 L' B'
F' D' B2 U2 B L' B'
F' D' B2 U2 B' L' B'
F' D' B2 U2 B2 L' B'
B' D' B2 F' U2 L' B'
F' D' B2 D U2 L' B'
F' D' B2 D' U2 L' B'
F' D' B2 D2 U2 L' B'
F D' B' R B' U2 B2
F' D' B2 F2 R U2 B
B2 D' B2 F R U2 B
B2 D' B2 F' U2 L' B'
B D' B2 R U2 B L
B D' B2 R' F' U2 L'
F D' B2 R U2 D B
F D' B2 R U2 D' B
F D' B2 R U2 D2 B
F D' B2 R U2 B D
F D' B2 R U2 B D'
F D' B2 R U2 B D2
F D' B2 R D U2 B
F D' B2 R D' U2 B
F D' B2 R D2 U2 B
F D' B2 R F U2 B
F D' B2 R F' U2 B
F D' B2 R F2 U2 B
F D' B2 R' F' R2 U2
B D' B2 F R U2 B
B D' B2 F' U2 L' B'
F D' B2 D R U2 B
F D' B2 D' R U2 B
F D' B2 D2 R U2 B
F D' B2 F2 U2 L' B'
D' F2 B2 R' F' R U2
F' D2 U R2 U L' B'
F' D2 U2 L' D' F2 B'
F' D2 U2 L' D' B' F2
F' D2 U2 L' B' D' F2
D B R U2 F2 B L
D B R U2 B L F2
D B R U2 B F2 L
D B R' F' U2 L' F'
U2 B U L2 U' L' B'
R' B D F' U2 L' F'
U2 B D L' F2 B' L2
U2 B D L' B' L2 F2
U2 B D L' B' F2 L2
U2 B D F2 L' B' L2
B' F R U' L2 U' B
R' B D' F' B2 U2 L'
B' F R U2 D F2 B
B' F R U2 D B F2
B' F R U2 B D F2
B' F R D U2 F2 B
B' F R D U2 B F2
B' F R D' B2 U2 B'
R' B D' B2 F' U2 L'
U2 B D' L' B' L2 F
B2 F R U' L2 U' B
B2 F R U2 D F2 B
B2 F R U2 D B F2
B2 F R U2 B D F2
B2 F R D U2 F2 B
B2 F R D U2 B F2
B2 F R D' B2 U2 B'
B F R U' L2 U' B
B F R U2 D F2 B
B F R U2 D B F2
B F R U2 B D F2
B F R D U2 F2 B
B F R D U2 B F2
B F R D' B2 U2 B'
F B R U' L2 U' B
F B R U2 D F2 B
F B R U2 D B F2
F B R U2 B D F2
F B R D U2 F2 B
F B R D U2 B F2
F B R D' B2 U2 B'
R' B F' U' L2 U' L
R' B F' U2 D L' F2
R' B F' D U2 L' F2
R' B F' D' B2 U2 L'
D B F R U2 F B
D B F R U2 B F
D B F' U2 L' F' B'
D B F' U2 L' B' F'
B' F U2 D F2 L' B'
F' B U2 D L' F2 B'
F' B U2 D L' B' F2
U' B' L2 R B R2 U'
U' B' L2 R' U2 F' U
B2 F U2 D F2 L' B'
B' F D R U2 F2 B
B' F D R U2 B F2
B' F D U2 F2 L' B'
B2 F D R U2 F2 B
B2 F D R U2 B F2
F' B D U2 L' F2 B'
F' B D U2 L' B' F2
U' B' R L2 B R2 U'
B F U2 D F2 L' B'
B2 F D U2 F2 L' B'
B' F D' R B2 U2 B'
F B U2 D F2 L' B'
U' B' R B L2 R2 U'
U' B' R B R2 L2 U'
B F D R U2 F2 B
B F D R U2 B F2
B2 F D' R B2 U2 B'
U' B' R' L2 U2 F' U
B' F D' B2 R U2 B
B F D U2 F2 L' B'
F B D R U2 F2 B
F B D R U2 B F2
F' B D' B2 U2 L' B'
B2 F D' B2 R U2 B
F B D U2 F2 L' B'
B F D' R B2 U2 B'
D' B' R' F' B' U2 L'
D B' R U2 F2 B L
D B' R U2 B L F2
D B' R U2 B F2 L
D' B' R' B' F' U2 L'
F B D' R B2 U2 B'
B F D' B2 R U2 B
F B D' B2 R U2 B
D B' R' F' U2 L' F'
R' B' D F' U2 L' F'
F B' R U' L2 U' B
F B' R U2 D F2 B
F B' R U2 D B F2
F B' R U2 B D F2
F B' R D U2 F2 B
F B' R D U2 B F2
F B' R D' B2 U2 B'
R' B' D' F' B2 U2 L'
R' B' D' B2 F' U2 L'
D' B' F R B' U2 B2
R' B' F' U' L2 U' L
B' F' U2 D L' F2 B'
B' F' U2 D L' B' F2
R' B' F' U2 D L' F2
R' B' F' D U2 L' F2
R' B' F' D' B2 U2 L'
F' B' U2 D L' F2 B'
F' B' U2 D L' B' F2
D B' F R U2 F B
D B' F R U2 B F
B2 F' U2 D L' F2 B'
B2 F' U2 D L' B' F2
B' F' D U2 L' F2 B'
B' F' D U2 L' B' F2
F' B' D U2 L' F2 B'
F' B' D U2 L' B' F2
B F' U2 D L' F2 B'
B F' U2 D L' B' F2
D B' F' U2 L' F' B'
D B' F' U2 L' B' F'
B2 F' D U2 L' F2 B'
B2 F' D U2 L' B' F2
F B' U2 D F2 L' B'
B' F' D' B2 U2 L' B'
B F' D U2 L' F2 B'
B F' D U2 L' B' F2
U' B2 L2 R B R' U'
F' B' D' B2 U2 L' B'
F B' D R U2 F2 B
F B' D R U2 B F2
B2 F' D' B2 U2 L' B'
F B' D U2 F2 L' B'
U2 B2 L' B' L D F2
U' B2 R L2 B R' U'
F B' D' R B2 U2 B'
B F' D' B2 U2 L' B'
U' B2 R B L2 R' U'
D' B2 R U2 L B L
D' B2 R U2 L' B L
U' B2 R B R' L2 U'
D' B2 R U2 L2 B L
D' B2 R U2 D B L
D' B2 R U2 D' B L
D' B2 R U2 D2 B L
D' B2 R U2 B L D
D' B2 R U2 B L D'
D' B2 R U2 B L D2
D' B2 R U2 B D L
D' B2 R U2 B D' L
D' B2 R U2 B D2 L
D' B2 R D U2 B L
F B' D' B2 R U2 B
D' B2 R D' U2 B L
D' B2 R D2 U2 B L
D' B2 R F' U2 L' B
D' B2 R F' U2 B L'
D' B2 R' D F' U2 L'
D' B2 R' D' F' U2 L'
D' B2 R' D2 F' U2 L'
D' B2 R' F R F2 U2
D' B2 R' F' R U2 L'
D' B2 R' F' R' U2 L'
D' B2 R' F' R2 U2 L'
D' B2 R' F' U2 L' D
D' B2 R' F' U2 L' D'
D' B2 R' F' U2 L' D2
D' B2 R' F' U2 D L'
D' B2 R' F' U2 D' L'
D' B2 R' F' U2 D2 L'
D' B2 R' F' D U2 L'
D' B2 R' F' D' U2 L'
D' B2 R' F' D2 U2 L'
D B2 R U2 F2 B L
D B2 R U2 B L F2
D B2 R U2 B F2 L
D' B2 R2 F R F' U2
D B2 R' F' U2 L' F'
F B2 R U' L2 U' B
F B2 R U2 D F2 B
F B2 R U2 D B F2
F B2 R U2 B D F2
F B2 R D U2 F2 B
F B2 R D U2 B F2
F B2 R D' B2 U2 B'
D' B2 U2 L' B L B2
D' B2 U2 L2 B L B'
D' B2 U2 B L' B' L2
D' B2 U2 B2 L' B' L
D' B2 D R U2 B L
D' B2 D R' F' U2 L'
R' B2 D F' U2 L' F'
D' B2 D F R U2 B
D' B2 D F' U2 L' B'
D' B2 D' R U2 B L
D' B2 D' R' F' U2 L'
R' B2 D' F' B2 U2 L'
D' B2 D' F R U2 B
D' B2 D' F' U2 L' B'
R' B2 D' B2 F' U2 L'
F' B2 U2 D L' F2 B'
F' B2 U2 D L' B' F2
D' B2 D2 R U2 B L
D' B2 D2 R' F' U2 L'
D' B2 D2 F R U2 B
D' B2 D2 F' U2 L' B'
F' B2 D U2 L' F2 B'
F' B2 D U2 L' B' F2
D' B2 F R U2 D B
D' B2 F R U2 D' B
D' B2 F R U2 D2 B
D' B2 F R U2 B D
D' B2 F R U2 B D'
D' B2 F R U2 B D2
D' B2 F R D U2 B
D' B2 F R D' U2 B
D' B2 F R D2 U2 B
D' B2 F R F U2 B
D' B2 F R F' U2 B
D' B2 F R F2 U2 B
D' B2 F R' F' R2 U2
D' B2 F D R U2 B
D' B2 F D' R U2 B
D' B2 F D2 R U2 B
F B2 U2 D F2 L' B'
D' B2 F' R U2 L' B
D' B2 F' R U2 B L'
R' B2 F' U' L2 U' L
R' B2 F' U2 D L' F2
R' B2 F' D U2 L' F2
R' B2 F' D' B2 U2 L'
D' B2 F' U2 L' D B'
D' B2 F' U2 L' D' B'
D' B2 F' U2 L' D2 B'
D' B2 F' U2 L' B' D
D' B2 F' U2 L' B' D'
D' B2 F' U2 L' B' D2
D' B2 F' U2 D L' B'
D' B2 F' U2 D' L' B'
D' B2 F' U2 D2 L' B'
D' B2 F' U2 B L' B'
D' B2 F' U2 B' L' B'
D' B2 F' U2 B2 L' B'
D' B2 F' D U2 L' B'
D' B2 F' D' U2 L' B'
D' B2 F' D2 U2 L' B'
F' B2 D' B2 U2 L' B'
R B2 D' B2 U2 B L
D B2 F R U2 F B
D B2 F R U2 B F
F B2 D R U2 F2 B
F B2 D R U2 B F2
D' B2 F2 R' F' R U2
F B2 D U2 F2 L' B'
F B2 D' R B2 U2 B'
D B2 F' U2 L' F' B'
D B2 F' U2 L' B' F'
F B2 D' B2 R U2 B
