B' L' D2 F2
B' D2 L' F2
B' L' U2 B2 U2
B' L' D2 F2 D
B' L' D2 F2 D'
B' L' D2 F2 D2
B' L' F D2 F2
B' L' F' D2 F2
B' L' F2 D2 F2
B L' B2 D2 F2
B' L2 D2 L F2
B' L2 D2 F2 L
B2 L2 F L B
B U2 L' B2 R'
B' U2 B2 U2 L'
B' D' L' D' F2
B' D2 L F2 L2
B' D2 L' F2 D
B' D2 L' F2 D'
B' D2 L' F2 D2
B' D2 L2 F2 L
U2 B U2 L' B2
U2 B U2 B2 L'
D' B' L' D2 F2
D B' L' D2 F2
R2 B' L' F' R2
D2 B' L' D2 F2
D' B' D2 L' F2
D B' D2 L' F2
D2 B' D2 L' F2
F2 B' D2 F2 L'
B' F2 D2 F2 L'
B' L' F' D' U' R2 U
B' L' F' D' F D' F2
B' L' F' D' F' D' F2
B' L' F' D' F2 D' F2
B' L' F' D2 L' F2 L
B' L' F' D2 L2 F2 L2
B' L' F' D2 R F2 R'
B' L' F' D2 R2 F2 R2
B' L' F' D2 F D F
B' L' F' D2 F D' F
B' L' F' D2 F D2 F
B' L' F' D2 F' D F'
B' L' F' D2 F' D' F'
B' L' F' D2 F' D2 F'
B2 L' F' B L' F L
B' L' F2 L D2 L' F2
B' L' F2 L' D2 L F2
B' L' F2 L' D2 F2 L
B' L' F2 R D2 R' F2
B' L' F2 R D2 F2 R'
B L' F' B2 U2 B2 U2
B L' F' B2 D2 F2 D
B L' F' B2 D2 F2 D'
B L' F' B2 D2 F2 D2
B2 L' F2 L' F L B
B' L' F2 R' D2 R F2
B' L' F2 U D L2 U'
B' L' F2 U' D' R2 U
B' L' F2 U2 B2 U2 D
B' L' F2 U2 B2 U2 D'
B' L' F2 U2 B2 U2 D2
B' L' F2 U2 B2 D U2
B' L' F2 U2 B2 D' U2
B' L' F2 U2 B2 D2 U2
B' L' F2 D U L2 U'
B' L' F2 D F D F2
B' L' F2 D F' D F2
B' L' F2 D F2 D F2
B' L' F2 D' U' R2 U
B' L' F2 D' F D' F2
B' L' F2 D' F' D' F2
B' L' F2 D' F2 D' F2
B' L' F2 D2 L' F2 L
B' L' F2 D2 L2 F2 L2
B' L' F2 D2 R F2 R'
B' L' F2 D2 R2 F2 R2
B' L' F2 D2 F D F
B' L' F2 D2 F D' F
B' L' F2 D2 F D2 F
B' L' F2 D2 F' D F'
B' L' F2 D2 F' D' F'
B' L' F2 D2 F' D2 F'
B2 L' F2 B L' F L
B L' F2 B2 U2 B2 U2
B2 L' B L' D F L
B2 L' B L' D' F L
B L' F2 B2 D2 F2 D
B L' F2 B2 D2 F2 D'
B L' F2 B2 D2 F2 D2
B2 L' B L' D2 F L
B2 L' B L' F L D
B2 L' B L' F L D'
B2 L' B L' F L D2
B2 L' B L' F D L
B2 L' B L' F D' L
B2 L' B L' F D2 L
B2 L' B L' F' L F2
B2 L' B L' F2 L F'
B' L' B R2 F' R2 B'
B' L' B R2 F' B' R2
B' L' B R2 B' F' R2
B L' B L2 F L2 B
B L' B L2 F B L2
B L' B L2 B F L2
B2 L' B R' D2 R F'
B2 L' B U L' U' F
B' L' B U2 B U2 B2
B' L' B D B' D2 F2
B' L' B D' B' D2 F2
B' L' B D2 B' D2 F2
B L' B U2 B' U2 B2
B2 L' B D2 R F' R'
B L' B D B D2 F2
B2 L' B F L' F L
B L' B D' B D2 F2
B2 L' B F' L' F L
B L' B D2 B D2 F2
B2 L' B F2 L' F L
B' L' B' L2 F L2 B
B' L' B' L2 F B L2
B' L' B' L2 B F L2
B2 L' B' L' F L B2
B' L' B' U2 B' U2 B2
B' L' B' D B D2 F2
B L' B' R2 F' R2 B'
B L' B' R2 F' B' R2
B L' B' R2 B' F' R2
B' L' B' D' B D2 F2
B' L' B' D2 B D2 F2
B L' B' U2 B U2 B2
B L' B' D B' D2 F2
B L' B' D' B' D2 F2
B L' B' D2 B' D2 F2
F' L' B2 L2 F L' B'
B2 L' B2 L' F L B'
B L' B2 L D2 L' F2
B L' B2 L' D2 L F2
B L' B2 L' D2 F2 L
B L' B2 R D2 R' F2
B L' B2 R D2 F2 R'
B L' B2 R' D2 R F2
B L' B2 U D L2 U'
B L' B2 U' D' R2 U
B L' B2 U2 B2 U2 D
B L' B2 U2 B2 U2 D'
B L' B2 U2 B2 U2 D2
B L' B2 U2 B2 D U2
B L' B2 U2 B2 D' U2
B L' B2 U2 B2 D2 U2
B L' B2 D U L2 U'
B L' B2 D F D F2
B L' B2 D F' D F2
B L' B2 D F2 D F2
B L' B2 D' U' R2 U
B L' B2 D' F D' F2
B L' B2 D' F' D' F2
B L' B2 D' F2 D' F2
B L' B2 D2 L' F2 L
B L' B2 D2 L2 F2 L2
B L' B2 D2 R F2 R'
B L' B2 D2 R2 F2 R2
B L' B2 D2 F D F
B L' B2 D2 F D' F
B L' B2 D2 F D2 F
B L' B2 D2 F' D F'
B L' B2 D2 F' D' F'
B L' B2 D2 F' D2 F'
B L' B2 F U2 B2 U2
B L' B2 F D2 F2 D
B L' B2 F D2 F2 D'
B L' B2 F D2 F2 D2
B L' B2 F' U2 B2 U2
B L' B2 F' D2 F2 D
B L' B2 F' D2 F2 D'
B L' B2 F' D2 F2 D2
B L' B2 F2 U2 B2 U2
B L' B2 F2 D2 F2 D
B L' B2 F2 D2 F2 D'
B L' B2 F2 D2 F2 D2
B' L2 R D2 L R' F2
B' L2 R D2 L F2 R'
B' L2 R D2 R' L F2
B' L2 R D2 R' F2 L
B' L2 R D2 F2 L R'
B' L2 R D2 F2 R' L
B L2 R U2 L R' B2
B L2 R U2 R' L B2
B2 L2 R F L R' B
B2 L2 R F R' L B
B' L2 R' D2 L R F2
B' L2 R' D2 R L F2
B' L2 R' D2 R F2 L
B L2 R' U2 L R B2
B L2 R' U2 L B2 R
B L2 R' U2 R L B2
L2 R2 F U2 L R2 F2
L2 R2 F U2 L F2 R2
L2 R2 F U2 R2 L F2
L2 R2 F U2 R2 F2 L
L2 R2 F U2 F2 L R2
L2 R2 F U2 F2 R2 L
R2 L2 F U2 L R2 F2
R2 L2 F U2 L F2 R2
R2 L2 F U2 R2 L F2
R2 L2 F U2 R2 F2 L
R2 L2 F U2 F2 L R2
R2 L2 F U2 F2 R2 L
L' R2 F' L R2 B' L'
L' R2 F' L B' L' R2
L' R2 F' L B' R2 L'
B L2 R2 U2 L R2 B2
B L2 R2 U2 L B2 R2
B L2 R2 U2 R2 L B2
L' R2 F' R' D2 R' B
L2 R2 F' L R2 D2 B2
L' R2 F' R2 L B' L'
R2 L2 F' L R2 D2 B2
L R2 F' L' R2 B' L'
L R2 F' L' B' L' R2
L R2 F' L' B' R2 L'
L2 R2 F' R2 L D2 B2
L2 R2 F' R2 D2 L B2
R2 L2 F' R2 L D2 B2
R2 L2 F' R2 D2 L B2
L R2 F' R2 L' B' L'
B' L2 U D L2 U' L'
L2 R2 F' D2 L B2 R'
R2 L2 F' D2 L B2 R'
L2 R2 F2 R2 F L B
R2 L2 F2 R2 F L B
B' L2 U' D' R2 U L
B' L2 U2 R B2 R' U2
B' L2 U2 R' B2 R' U2
B' L2 U2 R2 B2 R' U2
B L2 U2 L' B2 L2 R'
B L2 U2 L' B2 R' L2
F' L2 U2 F B U2 L'
F' L2 U2 B F U2 L'
B' L2 U2 B2 R' U2 D
B' L2 U2 B2 R' U2 D'
B' L2 U2 B2 R' U2 D2
B' L2 U2 B2 R' D U2
B' L2 U2 B2 R' D' U2
B' L2 U2 B2 R' D2 U2
B' L2 U2 B2 D R' U2
B' L2 U2 B2 D' R' U2
B' L2 U2 B2 D2 R' U2
F2 L2 U2 B R F U2
B' L2 D L U L U'
F L2 U2 F B U2 L
F L2 U2 B F U2 L
B' L2 D U L2 U' L'
B' L2 D F D L F2
B' L2 D F D F2 L
B' L2 D F' D L F2
B' L2 D F' D F2 L
B' L2 D F2 D L F2
B' L2 D F2 D F2 L
B2 L2 D F L D B
B2 L2 D F L D' B
B2 L2 D F L D2 B
B2 L2 D F L B D
B2 L2 D F L B D'
B2 L2 D F L B D2
B2 L2 D F L' B L2
B2 L2 D F L2 B L'
B2 L2 D F D L B
B2 L2 D F D' L B
B2 L2 D F D2 L B
B2 L2 D F' L F2 B
B2 L2 D F' L B F2
B2 L2 D F2 L F' B
B2 L2 D F2 L B F'
B' L2 D' L U' R2 U
B' L2 D' L D' F2 D
B' L2 D' L D' F2 D'
B' L2 D' L D' F2 D2
B' L2 D' L F D' F2
B' L2 D' L F' D' F2
B2 L2 D B D2 F L'
B' L2 D' L F2 D' F2
B' L2 D' L2 D' L' F2
B' L2 D' U' R2 U L
L' U L R2 U' F' B'
L' U L R2 U' B' F'
B' L2 D' F L D' F2
L' U L U B U2 B2
B' L2 D' F D' L F2
B' L2 D' F D' F2 L
B' L2 D' F' L D' F2
B' L2 D' F' D' L F2
B' L2 D' F' D' F2 L
L' U L U' B' D2 F2
B' L2 D' F2 L D' F2
B' L2 D' F2 D' L F2
B' L2 D' F2 D' F2 L
B2 L2 D' F L D B
B2 L2 D' F L D' B
B2 L2 D' F L D2 B
B2 L2 D' F L B D
B2 L2 D' F L B D'
B2 L2 D' F L B D2
B2 L2 D' F L' B L2
B2 L2 D' F L2 B L'
B2 L2 D' F D L B
B2 L2 D' F D' L B
B2 L2 D' F D2 L B
B2 L2 D' F' L F2 B
B2 L2 D' F' L B F2
B2 L2 D' F2 L F' B
B2 L2 D' F2 L B F'
B' L2 D2 L R F2 R'
B' L2 D2 L R2 F2 R2
B' L2 D2 L F D F
B' L2 D2 L F D' F
B' L2 D2 L F D2 F
B' L2 D2 L F' D F'
B' L2 D2 L F' D' F'
B' L2 D2 L F' D2 F'
B2 L2 D' B D2 F L'
B' L2 D2 L' F' L2 F'
B' L2 D2 L' F2 L2 D
B' L2 D2 L' F2 L2 D'
B' L2 D2 L' F2 L2 D2
B' L2 D2 R L F2 R'
B' L2 D2 R F2 L R'
B' L2 D2 R F2 R' L
B' L2 D2 R2 L F2 R2
B' L2 D2 R2 F2 L R2
B' L2 D2 R2 F2 R2 L
L' U L' U F B U2
B' L2 D2 F D F L
B' L2 D2 F D' F L
B' L2 D2 F D2 F L
L' U L' U B F U2
B' L2 D2 F' L D F'
B' L2 D2 F' L D' F'
B' L2 D2 F' L D2 F'
B' L2 D2 F' L F' D
B' L2 D2 F' L F' D'
B' L2 D2 F' L F' D2
B' L2 D2 F' L' F' L2
B' L2 D2 F' D L F'
B' L2 D2 F' D F' L
B' L2 D2 F' D' L F'
B' L2 D2 F' D' F' L
B' L2 D2 F' D2 L F'
B' L2 D2 F' D2 F' L
B' L2 D2 F2 L2 D L'
B' L2 D2 F2 L2 D' L'
B' L2 D2 F2 L2 D2 L'
B' L2 D2 F2 D L D
B' L2 D2 F2 D L D'
B' L2 D2 F2 D L D2
B' L2 D2 F2 D' L D
B' L2 D2 F2 D' L D'
B' L2 D2 F2 D' L D2
B' L2 D2 F2 D2 L D
B' L2 D2 F2 D2 L D'
B' L2 D2 F2 D2 L D2
B2 L2 D2 F L D B
B2 L2 D2 F L D' B
B2 L2 D2 F L D2 B
B2 L2 D2 F L B D
B2 L2 D2 F L B D'
B2 L2 D2 F L B D2
B2 L2 D2 F L' B L2
B2 L2 D2 F L2 B L'
B2 L2 D2 F D L B
B2 L2 D2 F D' L B
B2 L2 D2 F D2 L B
B2 L2 D2 F' L F2 B
B2 L2 D2 F' L B F2
B2 L2 D2 F2 L F' B
B2 L2 D2 F2 L B F'
B' L2 F L U2 B2 U2
B' L2 F L D2 F2 D
B' L2 F L D2 F2 D'
B' L2 F L D2 F2 D2
B' L2 F L F D2 F2
B2 L2 D2 B D2 F L'
B' L2 F L F' D2 F2
B' L2 F L F2 D2 F2
B' L2 F L2 D2 L' F2
B2 L2 F L D B D
B2 L2 F L D B D'
B2 L2 F L D B D2
B2 L2 F L D' B D
B2 L2 F L D' B D'
B2 L2 F L D' B D2
B2 L2 F L D2 B D
B2 L2 F L D2 B D'
B2 L2 F L D2 B D2
B2 L2 F L B2 D B'
B2 L2 F L B2 D' B'
B2 L2 F L B2 D2 B'
B2 L2 F L' B L2 D
B2 L2 F L' B L2 D'
B2 L2 F L' B L2 D2
B2 L2 F L' B' L2 B2
B2 L2 F L2 D L' B
B2 L2 F L2 D B L'
B2 L2 F L2 D' L' B
B2 L2 F L2 D' B L'
B2 L2 F L2 D2 L' B
B2 L2 F L2 D2 B L'
B2 L2 F L2 B L' D
B2 L2 F L2 B L' D'
B2 L2 F L2 B L' D2
U2 L2 F L2 B U2 L'
B2 L2 F L2 B D L'
B2 L2 F L2 B D' L'
B2 L2 F L2 B D2 L'
B2 L2 F L2 B' L' B2
B L2 F L B2 D2 F2
B' L2 F U2 B2 R' U2
B' L2 F D' L D' F2
B' L2 F D2 L F2 D
B' L2 F D2 L F2 D'
B' L2 F D2 L F2 D2
B' L2 F D2 L' F2 L2
B' L2 F D2 F' L F'
B' L2 F D2 F2 L D
B' L2 F D2 F2 L D'
B' L2 F D2 F2 L D2
B' L2 F D2 F2 D L
B' L2 F D2 F2 D' L
B' L2 F D2 F2 D2 L
B2 L2 F D L D B
B2 L2 F D L D' B
B2 L2 F D L D2 B
B2 L2 F D L B D
B2 L2 F D L B D'
B2 L2 F D L B D2
B2 L2 F D L' B L2
B2 L2 F D L2 B L'
B2 L2 F D' L D B
B2 L2 F D' L D' B
B2 L2 F D' L D2 B
B2 L2 F D' L B D
B2 L2 F D' L B D'
B2 L2 F D' L B D2
B2 L2 F D' L' B L2
B2 L2 F D' L2 B L'
B2 L2 F D2 L D B
B2 L2 F D2 L D' B
B2 L2 F D2 L D2 B
B2 L2 F D2 L B D
B2 L2 F D2 L B D'
B2 L2 F D2 L B D2
B2 L2 F D2 L' B L2
B2 L2 F D2 L2 B L'
B' L2 F' L U2 B2 U2
B' L2 F' L D2 F2 D
B' L2 F' L D2 F2 D'
B' L2 F' L D2 F2 D2
B' L2 F' L F D2 F2
B' L2 F' L F' D2 F2
B' L2 F' L F2 D2 F2
B' L2 F' L2 D2 L' F2
B2 L2 F' L F2 D B
B2 L2 F' L F2 D' B
B2 L2 F' L F2 D2 B
B2 L2 F' L F2 B D
B2 L2 F' L F2 B D'
B2 L2 F' L F2 B D2
B2 L2 F' L B F2 D
B2 L2 F' L B F2 D'
B2 L2 F' L B F2 D2
B2 L2 F' L' F2 L2 B
B2 L2 F' L' F2 B L2
B2 L2 F' L' B L2 F2
B2 L2 F' L' B F2 L2
F L2 F B R U2 R'
B2 L2 F' L2 B L' F2
B L2 F' L B2 D2 F2
B' L2 F' U2 B2 R' U2
B' L2 F' D' L D' F2
B' L2 F' D2 L F2 D
B' L2 F' D2 L F2 D'
B' L2 F' D2 L F2 D2
B' L2 F' D2 L' F2 L2
B' L2 F' D2 F' L F'
B' L2 F' D2 F2 L D
B' L2 F' D2 F2 L D'
B' L2 F' D2 F2 L D2
B' L2 F' D2 F2 D L
B' L2 F' D2 F2 D' L
B' L2 F' D2 F2 D2 L
B' L2 F2 L U2 B2 U2
B' L2 F2 L D2 F2 D
B' L2 F2 L D2 F2 D'
B' L2 F2 L D2 F2 D2
B' L2 F2 L F D2 F2
B' L2 F2 L F' D2 F2
B' L2 F2 L F2 D2 F2
B' L2 F2 L2 D2 L' F2
B2 L2 F2 L D F' B
B2 L2 F2 L D B F'
B2 L2 F2 L D' F' B
B2 L2 F2 L D' B F'
B2 L2 F2 L D2 F' B
B2 L2 F2 L D2 B F'
B2 L2 F2 L F' D B
B2 L2 F2 L F' D' B
B2 L2 F2 L F' D2 B
B2 L2 F2 L F' B D
B2 L2 F2 L F' B D'
B2 L2 F2 L F' B D2
B2 L2 F2 L B D F'
B2 L2 F2 L B D' F'
B2 L2 F2 L B D2 F'
B2 L2 F2 L B F' D
B2 L2 F2 L B F' D'
B2 L2 F2 L B F' D2
B2 L2 F2 L' F' L2 B
B2 L2 F2 L' F' B L2
B2 L2 F2 L' B L2 F'
B2 L2 F2 L' B F' L2
B2 L2 F2 L2 B L' F'
B L2 F2 L B2 D2 F2
B' L2 F2 U2 B2 R' U2
B' L2 F2 D' L D' F2
B' L2 F2 D2 L F2 D
B' L2 F2 D2 L F2 D'
B' L2 F2 D2 L F2 D2
B' L2 F2 D2 L' F2 L2
B2 L2 F2 D L F' B
B2 L2 F2 D L B F'
B' L2 F2 D2 F' L F'
B' L2 F2 D2 F2 L D
B' L2 F2 D2 F2 L D'
B' L2 F2 D2 F2 L D2
B' L2 F2 D2 F2 D L
B' L2 F2 D2 F2 D' L
B' L2 F2 D2 F2 D2 L
B2 L2 F2 D F' L B
B2 L2 F2 D' L F' B
B2 L2 F2 D' L B F'
B2 L2 F2 D' F' L B
B2 L2 F2 D2 L F' B
B2 L2 F2 D2 L B F'
B2 L2 F2 D2 F' L B
R U R B' L' F' R2
U2 L2 B L2 U2 B' L
L' U R2 L U' F' B'
L' U R2 L U' B' F'
F2 L2 B R F U2 R'
B2 L2 B D2 F L' D
B2 L2 B D2 F L' D'
B2 L2 B D2 F L' D2
B2 L2 B D2 F D L'
B2 L2 B D2 F D' L'
B2 L2 B D2 F D2 L'
R U R' B' L' D2 F2
B' L2 B' L B L F
R U R' B' D2 L' F2
B' L2 B' L2 F B L
B' L2 B' L2 B F L
F L2 B F R U2 R'
R2 U R2 B' L' D2 F2
R2 U R2 B' D2 L' F2
F' L2 B2 L2 F B' L'
F' L2 B2 L2 B' F L'
B' L2 B2 R' U2 R B2
B' L2 B2 R' U2 B2 R
B L2 B2 U2 R' B2 U2
B L2 B2 U2 B2 U2 L
B R L U2 L2 R' B2
B R L U2 R' L2 B2
B R L U2 R' B2 L2
B' R L' U2 B2 L U2
B' R L' D R' D F2
B' R L' D2 R F2 R2
B' R L' D2 R' F2 D
B' R L' D2 R' F2 D'
B' R L' D2 R' F2 D2
B' R L' D2 F R' F
R U D2 R' B' L' F
B' R L' D2 F2 R' D
B' R L' D2 F2 R' D'
B' R L' D2 F2 R' D2
B' R L' D2 F2 D R'
B' R L' D2 F2 D' R'
B' R L' D2 F2 D2 R'
B' R L' F R' D2 F2
B' R L' F D2 R' F2
B' R L' F D2 F2 R'
B' R L' F' R' D2 F2
B' R L' F' D2 R' F2
B' R L' F' D2 F2 R'
B' R L' F2 R' D2 F2
B' R L' F2 D2 R' F2
B' R L' F2 D2 F2 R'
B' R L2 D2 L R' F2
B' R L2 D2 L F2 R'
B' R L2 D2 R' L F2
B' R L2 D2 R' F2 L
B' R L2 D2 F2 L R'
B' R L2 D2 F2 R' L
B R L2 U2 L R' B2
B R L2 U2 R' L B2
B2 R L2 F L R' B
B2 R L2 F R' L B
R2 U F' R2 D2 B' L
U' R U D2 B' L' F
U' R U B' D2 L' F
R2 U B L' F' R2 B2
R2 U B L' F' B2 R2
R2 U B L' B2 F' R2
U R U' D2 B' L' F
B R U2 L R' B2 L2
F2 R U2 R F' R2 B'
F2 R U2 R F' B' R2
B R U2 L' R B2 R2
F2 R U2 R B' F' R2
B R U2 L' R' B2 D
B R U2 L' R' B2 D'
B R U2 L' R' B2 D2
B R U2 L' R2 B2 R
F2 R U2 R' B' D2 F2
B R U2 R L' B2 R2
U R U' B' D2 L' F
B R U2 R B2 L' R2
B R U2 R B2 R2 L'
B R U2 R' L B2 L2
B R U2 R' L' B2 D
B R U2 R' L' B2 D'
B R U2 R' L' B2 D2
B R U2 R' B L' B
B R U2 R' B2 L' D
B R U2 R' B2 L' D'
B R U2 R' B2 L' D2
B R U2 R' B2 D L'
B R U2 R' B2 D' L'
B R U2 R' B2 D2 L'
B R U2 R2 L' B2 R
U2 R U2 D2 B' L' F
B R U2 R2 B2 L' R
B R U2 R2 B2 R L'
B' R U2 B2 L U2 L2
R2 U B' L F' L2 R2
R2 U B' L F' R2 L2
R2 U B' L' F R2 F2
R2 U B' L' F' R2 D
R2 U B' L' F' R2 D'
R2 U B' L' F' R2 D2
R2 U B' L' F2 R2 F
R2 U B' L2 F' L R2
R2 U B' L2 F' R2 L
U2 R U2 B' D2 L' F
B' R D R' D L' F2
B R U2 B2 L' D2 R2
B' R D' L' D' R' F2
B' R D' L' D' F2 R'
R2 U B2 L' F' B R2
R2 U B2 L' B F' R2
L' U' L R2 U F' B'
L' U' L R2 U B' F'
L' U' L U B' D2 F2
L' U' L U' B U2 B2
B' R D2 L R' F2 L2
B' R D2 L F2 L2 R'
B' R D2 L F2 R' L2
B' R D2 L' R F2 R2
B' R D2 L' R' F2 D
B' R D2 L' R' F2 D'
B' R D2 L' R' F2 D2
B' R D2 L' F R' F
B' R D2 L' F2 R' D
B' R D2 L' F2 R' D'
B' R D2 L' F2 R' D2
B' R D2 L' F2 D R'
B' R D2 L' F2 D' R'
B' R D2 L' F2 D2 R'
B' R D2 L2 R' F2 L
B' R D2 L2 F2 L R'
B' R D2 L2 F2 R' L
B' R D2 R L' F2 R2
D2 R D2 R' B' L' F
B' R D2 R' L F2 L2
B' R D2 R' L' F2 D
B' R D2 R' L' F2 D'
B' R D2 R' L' F2 D2
B' R D2 R' L2 F2 L
D' R D2 R' B' L' F
U' R D2 U B' L' F
B' R D2 F2 R' D2 L2
D R D2 R' B' L' F
L' U' L' U' F B U2
L' U' L' U' B F U2
U2 R D2 U2 B' L' F
B R D2 F2 R U2 R2
U R D2 U' B' L' F
B' R F2 R' D2 L2 F2
B' R F2 R' D2 F2 L2
U2 R F2 R U2 F' B'
U2 R F2 R U2 B' F'
B R F2 R U2 R2 B2
B R F2 R U2 B2 R2
B' R F2 D2 F2 L' R'
B' R F2 D2 F2 R' L'
R U' R B' L' F' R2
L' U' R2 L U F' B'
L' U' R2 L U B' F'
R U' R' B' L' D2 F2
R U' R' B' D2 L' F2
R2 U' R2 B' L' D2 F2
R2 U' R2 B' D2 L' F2
B' R B2 L U2 L2 B2
B' R B2 L U2 B2 L2
B' R B2 U2 B2 L' R'
B R B2 L' D2 R2 F2
B' R B2 U2 B2 R' L'
B R B2 L' D2 F2 R2
B' R' L D2 R F2 L'
B R' L U2 L2 R B2
B R' L U2 L2 B2 R
B R' L U2 R L2 B2
B R' L U2 R B2 L2
B R' L U2 B2 L2 R
B R' L U2 B2 R L2
B' R' L' U2 B2 U2 R
B' R' L' D R D F2
B' R' L' D2 R F2 D
B' R' L' D2 R F2 D'
B' R' L' D2 R F2 D2
B' R' L' D2 R' F2 R2
B' R' L' D2 R2 F2 R'
R U' D2 R' B' L' F
B2 R' L' D2 R F' B
B2 R' L' D2 R B F'
B' R' L' F2 D2 F2 R
B R' L' U2 R B2 L
B' R' L2 D2 L R F2
B' R' L2 D2 R L F2
B' R' L2 D2 R F2 L
B R' L' B2 R D2 F2
B R' L' B2 D2 R F2
B R' L2 U2 L R B2
B R' L2 U2 L B2 R
B R' L2 U2 R L B2
R2 U' F' R2 D2 B' L
R2 U' B L' F' R2 B2
R2 U' B L' F' B2 R2
R2 U' B L' B2 F' R2
R' U' B' L' R D' F2
R' U' B' R L' D' F2
R' U' B' R D' L' F2
B R' U2 L R B2 L2
B R' U2 L B2 L2 R
B R' U2 L B2 R L2
B R' U2 L' R B2 D
B R' U2 L' R B2 D'
B R' U2 L' R B2 D2
B R' U2 L' R' B2 R2
B R' U2 L' B' R B'
B R' U2 L' B2 R D
B R' U2 L' B2 R D'
B R' U2 L' B2 R D2
B R' U2 L' B2 D R
B R' U2 L' B2 D' R
B R' U2 L' B2 D2 R
B R' U2 R L B2 L2
B R' U2 R L' B2 D
B R' U2 R L' B2 D'
B R' U2 R L' B2 D2
B R' U2 R B L' B
B R' U2 R B2 L' D
B R' U2 R B2 L' D'
B R' U2 R B2 L' D2
B R' U2 R B2 D L'
B R' U2 R B2 D' L'
B R' U2 R B2 D2 L'
B R' U2 R' L' B2 R2
B R' U2 R' B2 L' R2
B R' U2 R' B2 R2 L'
B' R' U2 B2 U2 L' R
B' R' U2 B2 U2 R L'
R2 U' B' L F' L2 R2
R2 U' B' L F' R2 L2
R2 U' B' L' F R2 F2
R2 U' B' L' F' R2 D
R2 U' B' L' F' R2 D'
R2 U' B' L' F' R2 D2
R2 U' B' L' F2 R2 F
U2 R' U2 B' L F L2
R2 U' B' L2 F' L R2
R2 U' B' L2 F' R2 L
B' R' D R D L' F2
B R' U2 B L' B R
B R' U2 B' R B' L'
B R' U2 B2 L' R D
B R' U2 B2 L' R D'
B R' U2 B2 L' R D2
B R' U2 B2 L' D R
B R' U2 B2 L' D' R
B R' U2 B2 L' D2 R
B R' U2 B2 R L' D
B R' U2 B2 R L' D'
B R' U2 B2 R L' D2
B R' U2 B2 R D L'
B R' U2 B2 R D' L'
B R' U2 B2 R D2 L'
B R' U2 B2 D L' R
B R' U2 B2 D R L'
B R' U2 B2 D' L' R
B R' U2 B2 D' R L'
B R' U2 B2 D2 L' R
B R' U2 B2 D2 R L'
B' R' D' L' D' R F2
R2 U' B2 L' F' B R2
R2 U' B2 L' B F' R2
B' R' D2 L R F2 L2
B' R' D2 L' R F2 D
B' R' D2 L' R F2 D'
B' R' D2 L' R F2 D2
B' R' D2 L' R' F2 R2
B' R' D2 L' R2 F2 R'
B' R' D2 L2 R F2 L
B' R' D2 R L F2 L2
B' R' D2 R L' F2 D
B' R' D2 R L' F2 D'
B' R' D2 R L' F2 D2
B' R' D2 R L2 F2 L
L' U2 L B L' U2 B2
B' R' D2 R' L' F2 R2
B' R' D2 R2 L' F2 R'
L' U2 L' F L B U2
B R' D2 F2 L' R U2
B R' D2 F2 R L' U2
R' U2 R B' L F L2
U2 R' F2 R B U2 B2
B R' F2 L' R U2 B2
B' R' F2 D2 F2 L' R
B' R' F2 D2 F2 R L'
B R' F2 R L' U2 B2
R U2 R B' L' F' R2
L2 U2 R' F U2 L F
U2 R' B L' B2 R' F'
D2 R' B' L' R' F' R2
D' R' B' L' R' F' R2
D2 R' B' R' L' F' R2
D' R' B' R' L' F' R2
R U2 R' B' L' D2 F2
R U2 R' B' D2 L' F2
L2 U2 R2 F U2 L F2
L2 U2 R2 F U2 F2 L
D R' B' L' R' F' R2
B2 R' B' U2 L' R B'
B2 R' B' U2 L' B' R
B2 R' B' U2 R L' B'
D R' B' R' L' F' R2
R2 U2 R2 B' L' D2 F2
R2 U2 R2 B' D2 L' F2
F R' B' R' F' L' R2
F R' B' R' F' R2 L'
B' R' B2 U2 L' R B2
B' R' B2 U2 L' B2 R
B' R' B2 U2 R L' B2
B' R' B2 U2 R B2 L'
B' R' B2 U2 B2 L' R
B' R' B2 U2 B2 R L'
B R' B2 L' R D2 F2
B R' B2 L' D2 R F2
B R' B2 R L' D2 F2
B R' B2 R D2 L' F2
L' U2 D' B U' R' U'
B R' B2 D2 L' R F2
B R' B2 D2 R L' F2
B R2 L U2 L2 R2 B2
B R2 L U2 L2 B2 R2
B R2 L U2 R2 L2 B2
B R2 L U2 R2 B2 L2
B R2 L U2 B2 L2 R2
B R2 L U2 B2 R2 L2
B' R2 L' U2 B2 U2 R2
B' R2 L' D2 F2 D2 R2
B' R2 L' F R2 D2 F2
B' R2 L' F' R2 D2 F2
F R2 L F' L' R2 B'
F R2 L F' L' B' R2
F R2 L F' R2 L' B'
B' R2 L' F2 R2 D2 F2
B' R2 L' B R2 F' B'
B' R2 L' B R2 B' F'
R U2 D2 R' B' L' F
L2 U2 F R' U2 L F
L2 U2 F R2 U2 L F'
L2 U2 F R2 U2 F' L
B R2 L' B' R2 F' B'
B R2 L' B' R2 B' F'
B R2 L' B2 R2 D2 F2
L2 U2 F B2 R' B' U2
B R2 L2 U2 L R2 B2
B R2 L2 U2 L B2 R2
B R2 L2 U2 R2 L B2
R2 U2 F' R2 D2 B' L
U' R2 U D B' L' F'
U' R2 U D' B' L' F'
U' R2 U D2 B' L' F'
U' R2 U F' D2 B' L
D2 R2 U B' L' F' R2
D' R2 U B' L' F' R2
U' R2 U B L' F' B2
