U L' U F' R'
U2 F' D R' B
B2 L U L2 U F'
B2 L U2 D' F' B2
B2 L U2 D' B2 F'
B2 L U2 F' D' B2
B2 L D F2 U2 F
B2 L D' U2 F' B2
B2 L D' U2 B2 F'
U2 L' U L F' R'
U L' U D F' R'
U L' U D' F' R'
U L' U D2 F' R'
U L' U F R' F2
U2 L' U F' L R'
U2 L' U F' R' L
U L' U F' R' D
U L' U F' R' D'
U L' U F' R' D2
U L' U F' D R'
U L' U F' D' R'
U L' U F' D2 R'
U L' U F2 R' F
U L' D U F' R'
U L' D' U F' R'
U L' D2 U F' R'
L2 U L U F' R'
L U L2 U F' R'
L U2 D' F' R' B2
L U2 F' R' D' B2
L U2 F' D' R' B2
D2 U L' U F' R'
D' U L' U F' R'
U D L' U F' R'
D U L' U F' R'
L D F2 U2 R' F
L D F2 U2 F R'
U2 D F' D R' B
U D' L' U F' R'
L D' U2 F' R' B2
F2 U' R U' R2 F
F2 U' R U' F R2
U2 D' F' D R' B
U D2 L' U F' R'
D' U2 F' D R' B
U2 D2 F' D R' B
D2 U2 F' D R' B
D U2 F' D R' B
F2 U2 R' D F B2
F2 U2 R' D B2 F
F2 U2 R' F D B2
F2 U2 F D R' B
U2 F' D R' D B
U2 F' D R' D' B
U2 F' D R' D2 B
U2 F' D R' B D
U2 F' D R' B D'
U2 F' D R' B D2
U' F2 R U' R2 F
U' F2 R U' F R2
U2 F2 R' D F B2
U2 F2 R' D B2 F
U2 F2 R' F D B2
U2 F' D F2 R' F2 B
U2 F' D F2 R' B F2
U2 F' D B' R' B R'
U2 F' D' L R' B' L'
U2 F' D' R' L B' L'
F' D' R B2 L R2 B'
F' D' R B2 L B' R2
F' D' R B2 R2 L B'
L F' D F2 U2 R' F2
L F' D F2 U2 F2 R'
L F' D' R B2 L R2
L F' D' R B2 R2 L
U2 F' B D B' R' B
U2 F' B2 D B2 R' B
F2 D' U' R U' R2 F
F2 D' U' R U' F R2
R' F2 L' U R U' F'
F2 D' U2 R' D F B2
F2 D' U2 R' D B2 F
F2 D' U2 R' F D B2
F2 D' U2 F D R' B
U' F2 R U' R' F R'
U' F2 R U' R2 D F
U' F2 R U' R2 D' F
U' F2 R U' R2 D2 F
U' F2 R U' R2 F D
U' F2 R U' R2 F D'
U' F2 R U' R2 F D2
U' F2 R U' F R2 D
U' F2 R U' F R2 D'
U' F2 R U' F R2 D2
U' F2 R U' F' R2 F2
R' F2 R U' L' F' R'
U' F2 R D' F2 U' F'
U' F2 R F' U' R2 F2
U' F2 R F' U' F2 R2
U' F2 R F2 U' F' R2
U2 F2 R F R2 D B2
U2 F2 R' U R2 U' F
U2 F2 R' D F B2 D
U2 F2 R' D F B2 D'
U2 F2 R' D F B2 D2
U2 F2 R' D B2 D F
U2 F2 R' D B2 D' F
U2 F2 R' D B2 D2 F
U2 F2 R' D B2 F D
U2 F2 R' D B2 F D'
U2 F2 R' D B2 F D2
U2 F2 R' D2 F D' B2
U2 F2 R' F U R2 U'
U2 F2 R' F D B2 D
U2 F2 R' F D B2 D'
U2 F2 R' F D B2 D2
U2 F2 R' F B D B2
U2 F2 R' F B' D B2
U2 F2 R' F B2 D B2
U2 F2 R' F2 D F' B2
U2 F2 R' F2 D B2 F'
U2 F2 R' B D F B2
U2 F2 R' B D B2 F
U2 F2 R' B F D B2
U2 F2 R' B' D F B2
U2 F2 R' B' D B2 F
U2 F2 R' B' F D B2
U2 F2 R' B2 D F B2
U2 F2 R' B2 D B2 F
U2 F2 R' B2 F D B2
R' F2 U R U' L' F'
U F2 R' D' F L2 B'
U2 F2 U R U' R2 F
U2 F2 U R U' F R2
U' F2 U' R' D F B2
U' F2 U' R' D B2 F
U' F2 U' R' F D B2
D2 F2 U' R U' R2 F
D2 F2 U' R U' F R2
D' F2 U' R U' R2 F
D' F2 U' R U' F R2
U' F2 U' F D R' B
B2 D2 L U L2 U F'
B2 D2 L U2 D' F' B2
B2 D2 L U2 D' B2 F'
D2 F2 U2 R' D F B2
D2 F2 U2 R' D B2 F
B2 D2 L U2 F' D' B2
D2 F2 U2 R' F D B2
D' F2 U2 R' D F B2
D' F2 U2 R' D B2 F
D' F2 U2 R' F D B2
B2 D2 L D F2 U2 F
B2 D2 L D' U2 F' B2
B2 D2 L D' U2 B2 F'
D2 F2 U2 F D R' B
D' F2 U2 F D R' B
D F2 U' R U' R2 F
D F2 U' R U' F R2
U' F2 D R U' R2 F
U' F2 D R U' F R2
D F2 U2 R' D F B2
D F2 U2 R' D B2 F
D F2 U2 R' F D B2
U' F2 D' R U' R2 F
U' F2 D' R U' F R2
D F2 U2 F D R' B
U2 F2 D R' D F B2
U2 F2 D R' D B2 F
U2 F2 D R' F D B2
L F2 U2 R' D' F B2
L F2 U2 R' D' B2 F
L F2 U2 R' F D' B2
U2 F2 D F D R' B
L F2 U2 D' R' F B2
L F2 U2 D' R' B2 F
L F2 U2 D' F R' B2
L F2 U2 F R' D' B2
L F2 U2 F D' R' B2
U' F2 D2 R U' R2 F
U' F2 D2 R U' F R2
U2 F2 D' R' D F B2
U2 F2 D' R' D B2 F
U2 F2 D' R' F D B2
U2 F2 D' F D R' B
L F2 D F2 U2 F' R'
U2 F2 D2 R' D F B2
U2 F2 D2 R' D B2 F
U2 F2 D2 R' F D B2
U2 F2 D2 F D R' B
L F2 D' U2 R' F B2
L F2 D' U2 R' B2 F
L F2 D' U2 F R' B2
B' D2 U L' U F' R
F2 D2 U' R U' R2 F
F2 D2 U' R U' F R2
F2 D2 U2 R' D F B2
F2 D2 U2 R' D B2 F
F2 D2 U2 R' F D B2
F2 D2 U2 F D R' B
U B L' B' U F' R'
R2 B R2 U L' U R'
U2 B U' L' B' U F'
L B D F2 U2 F R
U2 B F' D B' R' B
F2 B U' R U' F R
U B' L' U D2 F' R
U B' L' D2 U F' R
U B' L' B U F' R'
U B' D2 L' U F' R
D2 B2 L U L2 U F'
D2 B2 L U2 D' F' B2
D2 B2 L U2 D' B2 F'
D2 B2 L U2 F' D' B2
D' B2 L U L2 U F'
D2 B2 L D F2 U2 F
L' B2 L U L' U F'
D2 B2 L D' U2 F' B2
D2 B2 L D' U2 B2 F'
D' B2 L U2 D' F' B2
D' B2 L U2 D' B2 F'
D' B2 L U2 F' D' B2
D' B2 L D F2 U2 F
D' B2 L D' U2 F' B2
D' B2 L D' U2 B2 F'
D B2 L U L2 U F'
D B2 L U2 D' F' B2
D B2 L U2 D' B2 F'
D B2 L U2 F' D' B2
D B2 L D F2 U2 F
D B2 L D' U2 F' B2
D B2 L D' U2 B2 F'
L B2 L U L U F'
U B2 L' U D2 F' R2
U B2 L' U F' D2 R2
U B2 L' U' L2 U2 F'
U B2 L' D' B2 U F'
U B2 L' D2 U F' R2
L B2 U2 D' F' B2 R'
L B2 U2 D' B2 F' R'
L B2 U2 F' D' B2 R'
B F2 U' R U' F R
L B2 D L F2 U2 F
L B2 D' L U2 F' B2
L B2 D' L U2 B2 F'
L B2 D' U2 F' B2 R'
L B2 D' U2 B2 F' R'
U2 B2 F' D B2 R' B
