R2 L' U L D R2
R2 L' U D L R2
R2 L' U D R2 L
R2 L' U2 F2 U' L
R2 L' D U L R2
R2 L' D U R2 L
U' L' R2 U D R2
U' L' R2 U2 F2 U'
U' L' R2 D U R2
U' L' R2 D2 B2 U
D' L' U F2 L R
D' L' U F2 R L
L' R2 U L D R2
L' R2 U D L R2
L' R2 U D R2 L
L' R2 U2 F2 U' L
L' R2 D U L R2
L' R2 D U R2 L
R2 U F2 R U' F2
R U F2 L' R U'
R U F2 R L' U'
U R F2 L' R U'
U R F2 R L' U'
U' R2 L' U D R2
U' R2 L' U2 F2 U'
U' R2 L' D U R2
U' R2 L' D2 B2 U
U' R2 U2 F2 R U'
U' R2 D L' U R2
U' R2 D2 L' B2 U
U' R2 D2 B2 L' U
R2 D L' U L R2
R2 D L' U R2 L
L D' L' F2 R B2
L D' L' F2 B2 R
L D' L' B2 F2 R
U' D' L' U F2 R
D' U' L' U F2 R
L D' B2 L' F2 R
R2 D2 B2 L' U L
R F2 L' R U' L
U F2 R U2 R U
R F2 R L' U' L
F2 D2 L2 R U' L2
F2 D2 R L2 U' L2
U F2 D' R U' F2
U F2 D2 L2 R U'
U F2 D2 R L2 U'
L D' U2 L' F2 R B2
L D' U2 L' F2 B2 R
L D' U2 L' B2 F2 R
B U' L' R2 U D R2
B U' L' R2 U2 F2 U'
B U' L' R2 D U R2
B U' L' R2 D2 B2 U
U' D' R2 L' U F2 R
D' U' R2 L' U F2 R
L D' U2 B2 L' F2 R
B' U' R2 L' U D R2
B' U' R2 L' U2 F2 U'
B' U' R2 L' D U R2
B' U' R2 L' D2 B2 U
B2 U' R2 L' U D R2
B2 U' R2 L' U2 F2 U'
B2 U' R2 L' D U R2
B2 U' R2 L' D2 B2 U
B' U' R2 U2 F2 R U'
B' U' R2 D L' U R2
B' U' R2 D2 L' B2 U
B' U' R2 D2 B2 L' U
L D' B L' F2 B R
B2 U' R2 U2 F2 R U'
L D' B L' B F2 R
B2 U' R2 D L' U R2
F2 U' R2 U2 R' U' R'
B2 U' R2 D2 L' B2 U
F2 U' R2 D B2 L U
B2 U' R2 D2 B2 L' U
B U' R2 L' U D R2
B U' R2 L' U2 F2 U'
B U' R2 L' D U R2
B U' R2 L' D2 B2 U
F2 U' R2 B2 L U R2
D' U' B L' U F2 R
U' D' B L' U F2 R
B U' R2 U2 F2 R U'
B U' R2 D L' U R2
B U' R2 D2 L' B2 U
B U' R2 D2 B2 L' U
B' U' D' L' U F2 R
B2 U' D' L' U F2 R
U' D' B' L' U F2 R
D' U' B' L' U F2 R
L D' B2 L' R F2 R
L D' B2 L' R' F2 R
D U' B L' U R2 F'
L D' B2 L' R2 F2 R
L D' B2 L' F2 R D
L D' B2 L' F2 R D'
L D' B2 L' F2 R D2
L D' B2 L' F2 D R
L D' B2 L' F2 D' R
L D' B2 L' F2 D2 R
L D' B2 R L' F2 R
L D' B2 R' L' F2 R
L D' B2 R2 L' F2 R
B U' D' L' U F2 R
D' U' B2 L' U F2 R
U' D' B2 L' U F2 R
D2 U' B2 L' U2 L' U'
R2 D2 L B2 L2 U L
R2 D2 L' U L D' R2
R2 D2 L' U D' L R2
R2 D2 L' U D' R2 L
D2 U' B2 D L' U F2
D2 U' B2 D2 L' R2 U
D2 U' B2 D2 R2 L' U
R2 D2 L' D' U L R2
R2 D2 L' D' U R2 L
R2 D2 L' B2 U' R' U2
U' D2 L B2 L2 R' U
U' D2 L B2 R' L2 U
U' D2 L' B2 U2 L' U'
D' U2 L2 U L U F2
R' D2 R' B2 L' U L
R D2 R B2 L' U L
U D2 L2 U2 L B2 U
R' D2 U' L' R' B2 U
R' D2 U' R' L' B2 U
R' D2 U' R' B2 L' U
R D2 U' L' R B2 U
R D2 U' L' B2 R U
R D2 U' R L' B2 U
R D2 U' R B2 L' U
R D2 U' B2 L' R U
R D2 U' B2 R L' U
U' D2 B2 L' U2 L' U'
U' D2 B2 D L' U F2
U' D2 B2 D2 L' R2 U
U' D2 B2 D2 R2 L' U
R2 D2 B2 L' U L D
R2 D2 B2 L' U L D'
R2 D2 B2 L' U L D2
R2 D2 B2 L' U D L
R2 D2 B2 L' U D' L
R2 D2 B2 L' U D2 L
R2 D2 B2 L' D U L
R2 D2 B2 L' D' U L
R2 D2 B2 L' D2 U L
R2 D2 B2 L' F U L
R2 D2 B2 L' F' U L
R2 D2 B2 L' F2 U L
R2 D2 B2 D L' U L
D U2 B2 U L' U R2
R2 D2 B2 D' L' U L
R2 D2 B2 D2 L' U L
R D2 B2 L' R U L
R D2 B2 R L' U L
L' F R2 U2 F U' L
R F U F L' U' B'
F2 D R D L2 U' L2
U F D' F R U' F
U F D2 F L2 R U'
U F D2 F R L2 U'
U' F' R2 F L' B U
U' F' R2 F B L' U
U' F' R2 B F L' U
R2 F' U F' R U' F
F2 D' L R U' L' F2
B' D' L' U F2 L R
B' D' L' U F2 R L
F2 D' L' R U' L F2
F2 D' L' R U' F2 L
B2 D' L' U F2 L R
B2 D' L' U F2 R L
F2 D' L2 R U' L2 F2
F2 D' L2 R U' F2 L2
B D' L' U F2 L R
B D' L' U F2 R L
F2 D' R L U' L' F2
F2 D' R L' U' L F2
F2 D' R L' U' F2 L
F2 D' R L2 U' L2 F2
F2 D' R L2 U' F2 L2
F2 D' R U' F2 D' L2
F2 D' R D' L2 U' L2
F2 D' R' F2 D R2 B2
F2 D' R' F2 D B2 R2
L' F' B' R2 B U L
B' D' U' L' U F2 R
B2 D' U' L' U F2 R
B D' U' L' U F2 R
U F2 L R U2 R U
U F2 L D' R U' F2
U F2 L D2 L2 R U'
U F2 L D2 R L2 U'
U F2 L' R U2 R U
U' F2 R U2 R F2 U
R F2 L' R U' L D
R F2 L' R U' L D'
R F2 L' R U' L D2
R F2 L' R U' D L
R F2 L' R U' D' L
R F2 L' R U' D2 L
R F2 L' R D U' L
R F2 L' R D' U' L
R F2 L' R D2 U' L
U F2 L' D' R U' F2
R' F2 R D2 L2 U' L2
U F2 L' D2 L2 R U'
U F2 L' D2 R L2 U'
D' F2 R D2 R2 D B2
R F2 L' D R U' L
R F2 L' D' R U' L
R F2 L' D2 R U' L
U F2 L2 R U2 R U
U F2 L2 D' R U' F2
D' F2 R' D B2 D R2
U F2 L2 D2 L2 R U'
U F2 L2 D2 R L2 U'
F2 D' F2 U F2 R U'
D' F2 R' D2 R2 D' B2
U F2 R L U2 R U
U F2 R L' U2 R U
U F2 R L2 U2 R U
R2 F2 R B2 L U' L'
U F2 R U2 R U D
U F2 R U2 R U D'
U F2 R U2 R U D2
U F2 R U2 R D U
U F2 R U2 R D' U
U F2 R U2 R D2 U
U F2 R U2 D R U
U F2 R U2 D' R U
U F2 R U2 D2 R U
U F2 R D U2 R U
R F2 R L' U' L D
R F2 R L' U' L D'
R F2 R L' U' L D2
R F2 R L' U' D L
R F2 R L' U' D' L
R F2 R L' U' D2 L
R F2 R L' D U' L
R F2 R L' D' U' L
R F2 R L' D2 U' L
U F2 R D' U2 R U
U F2 R D2 U2 R U
U F2 R F2 L' F2 U'
R F2 R D L' U' L
R F2 R D' L' U' L
F D' F2 U F' R U'
R F2 R D2 L' U' L
R F2 R B L' U' L
L' F2 U L D' F2 R
R F2 R B' L' U' L
D' F2 U R U L2 U2
D' F2 U R U' D2 R2
D' F2 U R D F2 U'
D' F2 U R D2 U' R2
R F2 R B2 L' U' L
D' F2 U D R F2 U'
D' F2 U D2 R U' R
L' F2 U D' L F2 R
D' F2 U2 L2 U' R U'
U' F2 U2 F2 L' R2 U
U' F2 U2 F2 R2 L' U
L2 F2 U2 L R2 U L
L2 F2 U2 R2 L U L
D' F2 D R' D R2 B2
D' F2 D R' D B2 R2
D' F2 D U R F2 U'
L F2 U' D' F2 L' B2
L F2 U' D' F2 B2 L'
L F2 U' D' B2 F2 L'
U' F2 D' R U' L2 F2
U' F2 D' R U' F2 L2
F2 D2 L2 R U' L2 D
F2 D2 L2 R U' L2 D'
F2 D2 L2 R U' L2 D2
F2 D2 L2 R D' B2 U'
F2 D2 L2 R B U' L2
F2 D2 L2 R B' U' L2
F2 D2 L2 R B2 U' L2
U F2 U2 R2 U2 R' U'
F2 D2 L2 D' R B2 U'
L' F2 D' U L F2 R
F2 D2 L2 D' B2 R U'
U' F2 D2 L2 R B2 U'
F2 D2 L2 B R U' L2
U' F2 D2 L2 B2 R U'
U' F2 D2 R L2 B2 U'
F2 D2 L2 B' R U' L2
U' F2 D2 R B2 L2 U'
F2 D2 L2 B2 R U' L2
F2 D2 R L2 U' L2 D
F2 D2 R L2 U' L2 D'
F2 D2 R L2 U' L2 D2
F2 D2 R L2 D' B2 U'
F2 D2 R L2 B U' L2
U F2 D R U B2 U2
F2 D2 R L2 B' U' L2
U F2 D R U' D2 F2
F2 D2 R L2 B2 U' L2
U F2 D R D L2 U'
U F2 D R D2 U' F2
D' F2 D2 R' D R' B2
D' F2 D2 R2 U R' U'
D' F2 D2 U R U' R
R F2 D L' R U' L
R F2 D R L' U' L
U' F2 D2 B2 L2 R U'
U' F2 D2 B2 R L2 U'
L2 F2 D' B2 R' U' F2
F2 D2 R B L2 U' L2
F2 D2 R B' L2 U' L2
F2 D2 R B2 L2 U' L2
U F2 D' L R U' F2
U F2 D' L' R U' F2
U F2 D' L2 R U' F2
U F2 D' R L U' F2
U F2 D' R L' U' F2
U F2 D' R L2 U' F2
U F2 D' R U' F2 D
U F2 D' R U' F2 D'
U F2 D' R U' F2 D2
U F2 D' R D' L2 U'
R F2 D' L' R U' L
L F2 D' U' F2 L' B2
L F2 D' U' F2 B2 L'
L F2 D' U' B2 F2 L'
R F2 D' R L' U' L
U F2 D2 L2 R U' D
U F2 D2 L2 R U' D'
U F2 D2 L2 R U' D2
U F2 D2 L2 R D U'
U F2 D2 L2 R D' U'
U F2 D2 L2 R D2 U'
U F2 D2 L2 D R U'
U F2 D2 L2 D' R U'
U F2 D2 L2 D2 R U'
U F2 D2 R L2 U' D
U F2 D2 R L2 U' D'
U F2 D2 R L2 U' D2
U F2 D2 R L2 D U'
U F2 D2 R L2 D' U'
U F2 D2 R L2 D2 U'
U F2 D2 R U' D F2
U F2 D2 R D U' F2
R F2 D2 L' R U' L
R' F2 B2 L R U' L'
R F2 D2 R L' U' L
R' F2 B2 R L U' L'
R F2 B L' R U' L
R F2 B R L' U' L
U' B L' R2 U D R2
U' B L' R2 U2 F2 U'
U' B L' R2 D U R2
U' B L' R2 D2 B2 U
R F2 B' L' R U' L
R F2 B' R L' U' L
D' B L' U F2 L R
D' B L' U F2 R L
R F2 B2 L' R U' L
R F2 B2 R L' U' L
R2 B L' U L D R2
R2 B L' U D L R2
R2 B L' U D R2 L
R2 B L' U2 F2 U' L
D B L' U L R2 F'
R2 B L' D U L R2
R2 B L' D U R2 L
D B L' U R2 L F'
D B L' U R2 F' L
F D2 F L2 R U' L2
F D2 F R L2 U' L2
U' B R2 L' U D R2
U' B R2 L' U2 F2 U'
U' B R2 L' D U R2
U' B R2 L' D2 B2 U
U' B R2 U2 F2 R U'
U' B R2 D L' U R2
F2 D2 B L2 R U' L2
U' B R2 D2 L' B2 U
U' B R2 D2 B2 L' U
F2 D2 B R L2 U' L2
F2 D2 B' L2 R U' L2
F2 D2 B' R L2 U' L2
D B R2 U' L' U F'
D' B U' L' U F2 R
F2 D2 B2 L2 R U' L2
F2 D2 B2 R L2 U' L2
R2 B U F2 R U' F2
D B U' L' U R2 F'
R B U F2 L' R U'
R B U F2 R L' U'
U' B D' L' U F2 R
R2 B D L' U L R2
R2 B D L' U R2 L
L B D' L' F2 R B2
L B D' L' F2 B2 R
L B D' L' B2 F2 R
L B D' B2 L' F2 R
R2 B D2 B2 L' U L
U' B' L' R2 U D R2
U' B' L' R2 U2 F2 U'
U' B' L' R2 D U R2
U' B' L' R2 D2 B2 U
D' B' L' U F2 L R
D' B' L' U F2 R L
R B F2 L' R U' L
R B F2 R L' U' L
R2 B' L' U L D R2
R2 B' L' U D L R2
R2 B' L' U D R2 L
R2 B' L' U2 F2 U' L
R2 B' L' D U L R2
R2 B' L' D U R2 L
U' B' R2 L' U D R2
U' B' R2 L' U2 F2 U'
U' B' R2 L' D U R2
F2 B D2 L2 R U' L2
U' B' R2 L' D2 B2 U
F2 B D2 R L2 U' L2
U' B' R2 U2 F2 R U'
U' B' R2 D L' U R2
U' B' R2 D2 L' B2 U
U' B' R2 D2 B2 L' U
D' B' U' L' U F2 R
R2 B' U F2 R U' F2
R B' U F2 L' R U'
R B' U F2 R L' U'
U' B' D' L' U F2 R
R2 B' D L' U L R2
R2 B' D L' U R2 L
L B' D' L' F2 R B2
L B' D' L' F2 B2 R
L B' D' L' B2 F2 R
L B' D' B2 L' F2 R
R2 B' D2 B2 L' U L
L' B' F' R2 B U L
U' B2 L' R2 U D R2
U' B2 L' R2 U2 F2 U'
U' B2 L' R2 D U R2
U' B2 L' R2 D2 B2 U
D2 B2 L' U L D F2
D2 B2 L' U2 L' U' L2
D' B2 L' U F2 L R
D' B2 L' U F2 R L
D2 B2 L' F U L F
D2 B2 L' F2 R U L
R B' F2 L' R U' L
R B' F2 R L' U' L
F2 B' D2 L2 R U' L2
F2 B' D2 R L2 U' L2
R2 B2 L' U L D R2
R2 B2 L' U D L R2
R2 B2 L' U D R2 L
R2 B2 L' U2 F2 U' L
R2 B2 L' D U L R2
R2 B2 L' D U R2 L
U' B2 R2 L' U D R2
U' B2 R2 L' U2 F2 U'
U' B2 R2 L' D U R2
U' B2 R2 L' D2 B2 U
U' B2 R2 U2 F2 R U'
U' B2 R2 D L' U R2
U' B2 R2 D2 L' B2 U
U' B2 R2 D2 B2 L' U
L' B2 R2 U2 F2 U' L'
R' B2 U F2 L R U'
R' B2 U F2 R L U'
D' B2 U' L' U F2 R
R2 B2 U F2 R U' F2
D2 B2 D L' U L F2
D2 B2 D L' U F2 L
R B2 U F2 L' R U'
R B2 U F2 R L' U'
U' B2 D' L' U F2 R
R2 B2 D L' U L R2
R2 B2 D L' U R2 L
D2 B2 D2 L' R2 U L
D2 B2 D2 R2 L' U L
L B2 D' L' F2 R B2
L B2 D' L' F2 B2 R
L B2 D' L' B2 F2 R
L B2 D' B2 L' F2 R
B' F2 D2 L2 R U' L2
R2 B2 D2 B2 L' U L
B' F2 D2 R L2 U' L2
R' B2 F2 L R U' L'
R' B2 F2 R L U' L'
B2 F2 D2 L2 R U' L2
B2 F2 D2 R L2 U' L2
F2 B2 D2 L2 R U' L2
F2 B2 D2 R L2 U' L2
B F2 D2 L2 R U' L2
B F2 D2 R L2 U' L2
R B2 F2 L' R U' L
R B2 F2 R L' U' L
