L' R F' U F U'
L' R F2 D R2 F
L' R F2 D F R2
L' R' F2 D R2 F'
R L' F' U F U'
R' L' F2 D R2 F'
R L' F2 D R2 F
R L' F2 D F R2
D2 L' F U F' U'
D2 L' F2 D F' R2
U' R U L' F' R'
B2 R U' L' F' B2
B2 R U' L' B2 F'
B2 R U' B2 L' F'
B R U' B' L' F'
L' U' R U F' R'
B' U' D2 L' F B
B' U' D2 L' B F
B' U' D2 B L' F
B U' D2 B' L' F
B' U' B D2 L' F
B2 U' B2 D2 L' F
B U' B' D2 L' F
L' F' R F' D R2
R F' U F U' L'
L' F2 R D F' R2
L' F2 R' D R2 F'
B' D2 U' L' F B
B' D2 U' L' B F
B' D2 U' B L' F
B D2 U' B' L' F
D2 B U' B' L' F
R B U' B' L' F'
D B' L U' L2 B
D B' L U' B L2
D2 B' U' L' F B
D2 B' U' L' B F
D2 B' U' B L' F
R B' U' L' F' B
R B' U' L' B F'
R B' U' B L' F'
D2 B2 U' L' F B2
D2 B2 U' L' B2 F
D2 B2 U' B2 L' F
D2 B2 U' B2 L' F
R B2 U' L' F' B2
R B2 U' L' B2 F'
R B2 U' B2 L' F'
D2 B' U' L' D B F
D2 B' U' L' D' F B
D2 B' U' L' D' B F
D2 B' U' L' D2 F B
D2 B' U' L' D2 B F
D2 B' U' L' F D B
D2 B' U' L' F D' B
D2 B' U' L' F D2 B
D2 B' U' L' F B D
D2 B' U' L' F B D'
D2 B' U' L' F B D2
D2 B' U' L' B D F
D2 B' U' L' B D' F
D2 B' U' L' B D2 F
D2 B' U' L' B F D
D2 B' U' L' B F D'
D2 B' U' L' B F D2
R' B' U' D2 L' F2 B
R' B' U' D2 L' B F2
R' B' U' D2 B L' F2
D' B' U' D' L' F B
D' B' U' D' L' B F
D' B' U' D' B L' F
D2 B' U' B L' D F
D2 B' U' B L' D' F
D2 B' U' B L' D2 F
D2 B' U' B L' F D
D2 B' U' B L' F D'
D2 B' U' B L' F D2
D2 B' U' B' L' F B2
D2 B' U' B' L' B2 F
D' B' U' B D' L' F
D B' U' L' D F2 B
D B' U' L' D B F2
D B' U' L' B D F2
R' B' D L2 U' L B
R2 B' U' B L' D F2
D B' U' B D L' F
R B' U' L F' L2 B
R B' U' L F' B L2
R B' U' L B L2 F'
R B' U' L B F' L2
R B' U' L' D F' B
R B' U' L' D B F'
R B' U' L' D' F' B
R B' U' L' D' B F'
R B' U' L' D2 F' B
R B' U' L' D2 B F'
R B' U' L' F' D B
R B' U' L' F' D' B
R B' U' L' F' D2 B
R B' U' L' F' B D
R B' U' L' F' B D'
R B' U' L' F' B D2
R B' U' L' B D F'
R B' U' L' B D' F'
R B' U' L' B D2 F'
R B' U' L' B F' D
R B' U' L' B F' D'
R B' U' L' B F' D2
R B' U' L2 F' L B
R B' U' D L' F' B
R B' U' D L' B F'
R B' U' D B L' F'
R B' U' D' L' F' B
R B' U' D' L' B F'
R B' U' D' B L' F'
R B' U' D2 L' F' B
R B' U' D2 L' B F'
R B' U' D2 B L' F'
R B' U' B L F' L2
R B' U' B L' D F'
R B' U' B L' D' F'
R B' U' B L' D2 F'
R B' U' B L' F' D
R B' U' B L' F' D'
R B' U' B L' F' D2
R B' U' B L2 F' L
D' B' D' U' L' F B
D' B' D' U' L' B F
D B' D L U' L2 B
D B' D L U' B L2
R B' U' B D L' F'
R B' U' B D' L' F'
R B' U' B D2 L' F'
D' B' D' U' B L' F
R B' U' B' L' F' B2
R B' U' B' L' B2 F'
R' B' D2 U' L' F2 B
R' B' D2 U' L' B F2
R' B' D2 U' B L' F2
D B' D' L U' L2 B
D B' D' L U' B L2
R B' D U' L' F' B
R B' D U' L' B F'
R B' D U' B L' F'
D B' D2 L U' L2 B
D B' D2 L U' B L2
R B' D' U' L' F' B
R B' D' U' L' B F'
R B' D' U' B L' F'
R B' D2 U' L' F' B
R B' D2 U' L' B F'
R B' D2 U' B L' F'
D2 B2 L U' L2 F B2
D2 B2 L U' L2 B2 F
R' B2 L2 U' F L B2
U' B2 R U L' F' R'
R B2 L U' L2 F' B2
R B2 L U' L2 B2 F'
R B2 L U' F' L2 B2
R B2 L U' F' B2 L2
R B2 L U' B2 L2 F'
R B2 L U' B2 F' L2
D2 B2 R U' L' F B2
D2 B2 R U' L' B2 F
D2 B2 R U' B2 L' F
D B2 L2 U' L F B2
D B2 L2 U' L B2 F
D2 B2 R' U' L' F B2
D2 B2 R' U' L' B2 F
D2 B2 R' U' B2 L' F
R B2 L2 U' L F' B2
R B2 L2 U' L B2 F'
R B2 L2 U' F' L B2
D2 B2 R2 U' L' F B2
D2 B2 R2 U' L' B2 F
D2 B2 R2 U' B2 L' F
L B2 R U' L2 F' B2
L B2 R U' L2 B2 F'
L B2 R U' F' L2 B2
L B2 R U' F' B2 L2
L B2 R U' B2 L2 F'
L B2 R U' B2 F' L2
R2 B2 R' U' L' F' B2
R2 B2 R' U' L' B2 F'
R2 B2 R' U' B2 L' F'
D2 B2 U L' F B2 R'
D2 B2 U L' B2 R' F
D2 B2 U L' B2 F R'
L B2 R' U' B2 L2 F
R' B2 U B' U2 B' L'
D2 B2 U' L' F B2 D
D2 B2 U' L' F B2 D'
D2 B2 U' L' F B2 D2
D2 B2 U' L' B2 D F
D2 B2 U' L' B2 D' F
D2 B2 U' L' B2 D2 F
D2 B2 U' L' B2 F D
D2 B2 U' L' B2 F D'
D2 B2 U' L' B2 F D2
R' B2 U' L2 F L B2
L2 B2 U R' B U2 B
D2 B2 U' B L' F B
D2 B2 U' B L' B F
D B2 U L' B2 R' F'
D2 B2 U' B2 L' D F
D2 B2 U' B2 L' D' F
D2 B2 U' B2 L' D2 F
D2 B2 U' B2 L' F D
D2 B2 U' B2 L' F D'
D2 B2 U' B2 L' F D2
D' B2 U' B2 D' L' F
D B2 U' L F L2 B2
D B2 U' L F B2 L2
D B2 U' L B2 F L2
R B2 U L' F' B2 R'
R B2 U L' B2 F' R'
R2 B2 U' B2 D L' F
D B2 U' B2 L F L2
R B2 U' L F' L2 B2
R B2 U' L F' B2 L2
R B2 U' L B2 L2 F'
R B2 U' L B2 F' L2
R B2 U' L' F' B2 D
R B2 U' L' F' B2 D'
R B2 U' L' F' B2 D2
R B2 U' L' B2 D F'
R B2 U' L' B2 D' F'
R B2 U' L' B2 D2 F'
R B2 U' L' B2 F' D
R B2 U' L' B2 F' D'
R B2 U' L' B2 F' D2
R B2 U' L2 F' L B2
D' B2 D' R2 U' L' F
R B2 U' B L' F' B
R B2 U' B L' B F'
R B2 U' B2 L F' L2
R B2 U' B2 L' D F'
R B2 U' B2 L' D' F'
R B2 U' B2 L' D2 F'
R B2 U' B2 L' F' D
R B2 U' B2 L' F' D'
R B2 U' B2 L' F' D2
R B2 U' B2 L2 F' L
R B2 U' B2 D L' F'
R B2 U' B2 D' L' F'
R B2 U' B2 D2 L' F'
