L2 B' U F B
L2 B' U B F
L2 R B' U F B
L2 R B' U B F
L2 R' B' U F B
L2 R' B' U B F
R' L2 B' U F B
R' L2 B' U B F
L2 R2 B' U F B
L2 R2 B' U B F
R2 L2 B' U F B
R2 L2 B' U B F
R L2 B' U F B
R L2 B' U B F
D' L2 B' U F B
D' L2 B' U B F
D2 L2 B' U F B
D2 L2 B' U B F
D L2 B' U F B
D L2 B' U B F
L2 D B' U F B
L2 D B' U B F
L2 D' B' U F B
L2 D' B' U B F
L2 D2 B' U F B
L2 D2 B' U B F
B' U2 F U' F' B
B' U2 F U' B F'
U F L2 U' F L2
U2 F U F' B' U2
U2 F U B' F' U2
L2 F U' F' B' U
L2 F U' B' F' U
F2 D' L2 F D R2
L2 B' U D F B
L2 B' U D B F
L2 B' U D B F
L2 B' U D' F B
L2 B' U D' B F
L2 B' U D2 F B
L2 B' U D2 B F
L2 B' U F D B
L2 B' U F D' B
L2 B' U F D2 B
L2 B' U F B D
L2 B' U F B D'
L2 B' U F B D2
L2 B' U B D F
L2 B' U B D' F
L2 B' U B D' F
L2 B' U B D2 F
L2 B' U B F D
L2 B' U B F D'
L2 B' U B F D2
U2 B' U' F B U'
U2 B' U' B F U'
L2 B' D U F B
L2 B' D U B F
L2 B' D' U F B
L2 B' D' U B F
L2 B' D2 U F B
L2 B' D2 U B F
U2 B' U' B F U' D'
U2 B' U' B F U' D2
U2 B' U' B F D U'
U2 B' U' B F D' U'
U2 B' U' B F D2 U'
L2 B' U' B' U2 F B2
L2 B' U' B' U2 B2 F
L2 B' U' B2 U2 F B'
L2 B' U' B2 U2 B' F
R2 B' U2 F U' F' B
R2 B' U2 F U' B F'
D B' U2 F U' F' B
D B' U2 F U' B F'
L2 B' D U F D B
L2 B' D U F D' B
L2 B' D U F D2 B
L2 B' D U F B D
L2 B' D U F B D'
L2 B' D U F B D2
L2 B' D U B D F
L2 B' D U B D' F
L2 B' D U B D2 F
L2 B' D U B F D
L2 B' D U B F D'
L2 B' D U B F D2
U2 B' D U' F B U'
U2 B' D U' B F U'
L2 B' D' U F D B
L2 B' D' U F D' B
L2 B' D' U F D2 B
L2 B' D' U F B D
L2 B' D' U F B D'
L2 B' D' U F B D2
L2 B' D' U B D F
L2 B' D' U B D' F
L2 B' D' U B D2 F
L2 B' D' U B F D
L2 B' D' U B F D'
L2 B' D' U B F D2
U2 B' D' U' F B U'
R B' U2 F U' F' B
R B' U2 F U' B F'
U2 B' D' U' B F U'
L2 B' D2 U F D B
L2 B' D2 U F D' B
L2 B' D2 U F D2 B
L2 B' D2 U F B D
L2 B' D2 U F B D'
L2 B' D2 U F B D2
L2 B' D2 U B D F
L2 B' D2 U B D' F
L2 B' D2 U B D2 F
L2 B' D2 U B F D
L2 B' D2 U B F D'
L2 B' D2 U B F D2
U2 B' D2 U' F B U'
U2 B' D2 U' B F U'
F B' U2 F' U F B
F B' U2 F' U B F
L' B2 L' B' U F B'
L' B2 L' B' U B' F
L B2 L B' U F B'
L B2 L B' U B' F
L2 B2 R' U F R B2
L2 B2 R' U F B2 R
L2 B2 R' U B2 F R
U B2 R2 F' D R2 B2
U B2 R2 F' D B2 R2
F B2 R2 B U' F' B
F B2 R2 B U' B F'
F B2 D' R2 B U' F'
