U' L' U2 F' L'
U F2 R F L'
U L D2 F' L' R2
U L D2 F' R2 L'
U L F' D2 L' R2
U L F' D2 R2 L'
U' L' R2 B U2 L
U' L' U2 L F' L'
U' L' U2 L' F' L'
U' L' U2 L2 F' L'
U' L' U2 D F' L'
U' L' U2 D' F' L'
U' L' U2 D2 F' L'
U' L' U2 F' L' D
U' L' U2 F' L' D'
U' L' U2 F' L' D2
U' L' U2 F' D L'
U' L' U2 F' D' L'
U' L' U2 F' D2 L'
U' L' D U2 F' L'
U' L' D' U2 F' L'
U' L' D2 U2 F' L'
U' L' B U2 L F'
U' L' B U2 F' L
U L2 F' L' D2 R2
F' R' F' U R F
F2 R' F' U R2 F2
F2 R' F' U F2 R2
U' R2 L' B U2 L
U' R2 B L' U2 L2
U' D L' U2 F' L'
F2 U R F' L' F2
D2 U F2 R F L'
D' U F2 R F L'
D U F2 R F L'
U D F2 R F L'
B2 U F2 R F L'
B' U F2 R F L'
B U F2 R F L'
U' D' L' U2 F' L'
D2 U' L' U2 F' L'
D' U' L' U2 F' L'
D U' L' U2 F' L'
B2 U' L' U2 F' L'
B' U' L' U2 F' L'
B U' L' U2 F' L'
U D' F2 R F L'
U' D2 L' U2 F' L'
U D2 F2 R F L'
R' F' R U F' R
U F' L' F' R F
R' F' U R F' R
R' F' U F' R F'
U F2 R F L' D
U F2 R F L' D'
U F2 R F L' D2
U F2 R F D L'
U F2 R F D' L'
U F2 R F D2 L'
U F2 R' F L' R2
U F2 R' F R2 L'
U F2 R2 F L' R'
U F2 R2 F R' L'
U' B L' U2 L2 F'
U' B L' U2 F' L2
R' F' R U F' R D2
R' F' R U F' D R
R' F' R U F' D' R
R' F' R U F' D2 R
U F' L' D2 B R' B'
U F' L' F' R D F
U F' L' F' R D' F
U F' L' F' R D2 F
U F' L' F' R F D
U F' L' F' R F D'
U F' L' F' R F D2
U F' L' F' R' F R2
U F' L' F' R2 F R'
U F' L' F' D R F
U F' L' F' D' R F
U F' L' F' D2 R F
R' F' R B U F' R
U F' L' B' D2 B R'
R' F' R B' U F' R
R' F' R B2 U F' R
R' F' R' U R2 F' R
U F' L2 F' R F L
D2 F' R' F' U R F
D' F' R' F' U R F
R2 F' R F' U R F'
U F' R L' F' R F
U F' R F' R F L'
U F' R' L' F' R F
D F' R' F' U R F
R' F' U R F' R D
R' F' U R F' R D'
R' F' U R F' R D2
R' F' U R F' D R
R' F' U R F' D' R
R' F' U R F' D2 R
R2 F' R2 U F' L' R
R2 F' R2 U F' R L'
R F' R' U F' L' R
R F' R' U F' R L'
U F' R' F' R F L'
R' F' U F' R D F'
R' F' U F' R D' F'
R' F' U F' R D2 F'
R' F' U F' R F' D
R' F' U F' R F' D'
R' F' U F' R F' D2
U F' R2 L' F' R F
U F' R2 F' R F L'
R F' R2 F' U R F'
U' F' U2 F L' R U2
U' F' U2 F R L' U2
R' F' U2 F' U' R F'
R' F' D R' B R' U
R' F' D B R' B U
U F' D' L' U F U'
R' F' B R U F' R
R' F' B U R F' R
R' F' B U F' R F'
F2 D' R' F' U R2 F2
F2 D' R' F' U F2 R2
R' F' B' R U F' R
U F' D2 L' B R' B'
R' F' B' U R F' R
R' F' B' U F' R F'
U F' D2 B R' B' L'
R' F' B2 R U F' R
R' F' B2 U R F' R
R' F' B2 U F' R F'
B' D' U F2 R F L'
F2 D' U R F' L' F2
B' D' U' L' U2 F' L'
B2 D' U F2 R F L'
U F' B' L' D2 B R'
B2 D' U' L' U2 F' L'
B D' U F2 R F L'
U F' B' D2 L' B R'
U F' B' D2 B L' R'
U F' B' D2 B R' L'
B D' U' L' U2 F' L'
U F2 L R F L' F
R' F2 R' F U R2 F'
D2 F2 R' F' U R2 F2
D2 F2 R' F' U F2 R2
D' F2 R' F' U R2 F2
D' F2 R' F' U F2 R2
U F2 R L F L' F
U F2 R F L2 D L
U F2 R F L2 D' L
U F2 R F L2 D2 L
U F2 R F D L' D
U F2 R F D L' D'
U F2 R F D L' D2
U F2 R F D' L' D
U F2 R F D' L' D'
U F2 R F D' L' D2
U F2 R F D2 L' D
U F2 R F D2 L' D'
U F2 R F D2 L' D2
U F2 R F B' L' B
U F2 R F B2 L' B2
U F2 R F' L F2 L'
U F2 R F' L' F2 L'
U F2 R F' L2 F2 L'
U F2 R F2 L F' L'
U F2 R F2 L' F' L'
U F2 R F2 L2 F' L'
U F2 R F2 D F' L'
U F2 R F2 D' F' L'
U F2 R F2 D2 F' L'
U F2 R B' F L' B
U F2 R B2 F L' B2
D F2 R' F' U R2 F2
D F2 R' F' U F2 R2
R' F2 U R F' D' L2
D2 F2 U R F' L' F2
D' F2 U R F' L' F2
R2 F2 R2 U F' L' R'
R2 F2 R2 U F' R' L'
R F2 R' U F' L' R2
R F2 R' U F' R2 L'
U F2 R' F L' R2 D
U F2 R' F L' R2 D'
U F2 R' F L' R2 D2
U F2 R' F R2 L' D
U F2 R' F R2 L' D'
U F2 R' F R2 L' D2
U F2 R' F R2 D L'
U F2 R' F R2 D' L'
U F2 R' F R2 D2 L'
U F2 R2 F L' R' D
U F2 R2 F L' R' D'
U F2 R2 F L' R' D2
U F2 R2 F L' D R'
U F2 R2 F L' D' R'
U F2 R2 F L' D2 R'
U F2 R2 F R' L' D
U F2 R2 F R' L' D'
U F2 R2 F R' L' D2
U F2 R2 F R' D L'
U F2 R2 F R' D' L'
U F2 R2 F R' D2 L'
U F2 R2 F D L' R'
U F2 R2 F D R' L'
U F2 R2 F D' L' R'
U F2 R2 F D' R' L'
U F2 R2 F D2 L' R'
U F2 R2 F D2 R' L'
D F2 U R F' L' F2
U2 F2 U' R F' L' F2
U F2 D R F D' L2
U F2 D' R D F L'
F2 D2 R' F' U R2 F2
F2 D2 R' F' U F2 R2
U F2 D2 R D2 F L'
B' D2 U F2 R F L'
U F2 B R F B' L'
U F2 B R B' F L'
B' D2 U' L' U2 F' L'
F2 D2 U R F' L' F2
B2 D2 U F2 R F L'
B2 D2 U' L' U2 F' L'
U' B L' R2 B U2 L2
B D2 U F2 R F L'
U' B L' U2 L F' L
U' B L' U2 L2 D F'
U' B L' U2 L2 D' F'
U' B L' U2 L2 D2 F'
U' B L' U2 L2 F' D
U' B L' U2 L2 F' D'
U' B L' U2 L2 F' D2
U' B L' U2 F L2 F2
U' B L' U2 F' L2 D
U' B L' U2 F' L2 D'
U' B L' U2 F' L2 D2
U' B L' D2 R2 B U2
B D2 U' L' U2 F' L'
U F2 B2 R F L' B2
U F2 B2 R F B2 L'
U F2 B2 R B2 F L'
U' B L' B U2 L2 F'
U' B L' B U2 F' L2
U' B L' B' U2 L2 F'
U' B L' B' U2 F' L2
U' B L' B2 U2 L2 F'
U' B L' B2 U2 F' L2
U' B R2 L' B U2 L2
D2 B U F2 R F L'
D' B U F2 R F L'
U2 B U L' U2 F' L'
D2 B U' L' U2 F' L'
D' B U' L' U2 F' L'
U' B U2 L D2 F' R2
U' B U2 L F' D2 R2
D B U F2 R F L'
U' B U2 F2 R F L
U2 B U' F2 R F L'
D B U' L' U2 F' L'
U' B D L' U2 L2 F'
U' B D L' U2 F' L2
U' B D' L' U2 L2 F'
U' B D' L' U2 F' L2
U' B D2 L' U2 L2 F'
U' B D2 L' U2 F' L2
F' B R' F' U R F
F2 B R' F' U R2 F2
F2 B R' F' U F2 R2
R' B F' R U F' R
R' B F' U R F' R
R' B F' U F' R F'
F2 B U R F' L' F2
U' B' L' R2 B R U2
U' B' L' B U2 F' L'
U B F2 R F B' L'
U B F2 R B' F L'
U' B' L' B2 U2 L F'
U' B' L' B2 U2 F' L
U B' L' U2 F' B L
U B' L' U2 B L F'
U B' L' U2 B F' L
U' B' R' U2 F2 R F'
U' B' R' D2 L' U2 F
U' B' R2 L' B R U2
U' B' R2 B L' R U2
U' B' R2 B R L' U2
D2 B' U F2 R F L'
D' B' U F2 R F L'
U2 B' U L' U2 F' L'
D2 B' U' L' U2 F' L'
D' B' U' L' U2 F' L'
D B' U F2 R F L'
U2 B' U' F2 R F L'
D B' U' L' U2 F' L'
B' F' R' F' U R F
F' B' R' F' U R F
B2 F' R' F' U R F
F2 B' R' F' U R2 F2
F2 B' R' F' U F2 R2
B F' R' F' U R F
F2 B' U R F' L' F2
R' B' F' R U F' R
R' B' F' U R F' R
R' B' F' U F' R F'
U B' F' L' D2 B R'
U' B2 L' R2 B R' U2
U B' F' D2 L' B R'
U B' F' D2 B L' R'
U B' F' D2 B R' L'
U' B2 L' B' U2 L F'
U' B2 L' B' U2 F' L
U' B2 L' B2 U2 F' L'
L2 B2 L2 U F' L' R'
L2 B2 L2 U F' R' L'
U B2 L' F' L' B2 R'
U' B2 R2 L' B R' U2
U B2 L2 F' B2 L' R'
U B2 L2 F' B2 R' L'
U B2 L2 B2 F' L' R'
U B2 L2 B2 F' R' L'
U' B2 R2 B L' R' U2
U' B2 R2 B R' L' U2
D2 B2 U F2 R F L'
D' B2 U F2 R F L'
B' F2 R' F' U R2 F2
B' F2 R' F' U F2 R2
U2 B2 U L' U2 F' L'
D2 B2 U' L' U2 F' L'
D' B2 U' L' U2 F' L'
F' B2 R' F' U R F
B2 F2 R' F' U R2 F2
B2 F2 R' F' U F2 R2
F2 B2 R' F' U R2 F2
F2 B2 R' F' U F2 R2
D B2 U F2 R F L'
B' F2 U R F' L' F2
U2 B2 U' F2 R F L'
B F2 R' F' U R2 F2
B F2 R' F' U F2 R2
D B2 U' L' U2 F' L'
B2 F2 U R F' L' F2
F2 B2 U R F' L' F2
B F2 U R F' L' F2
R' B2 F' R U F' R
R' B2 F' U R F' R
R' B2 F' U F' R F'
U B2 F2 R F L' B2
U B2 F2 R F B2 L'
U B2 F2 R B2 F L'
