U' L R' B2 U'
U' R' L B2 U'
U' L R B2 R2 U'
U' L R' U' D L2
U' L R' D U' L2
U2 L R' B2 U' R
U2 L R' B2 U' R
U' L R' B2 U' D
U' L R' B2 U' D'
U' L R' B2 U' D2
U' L R' B2 D U'
U' L R' B2 D' U'
U' L R' B2 D2 U'
U' L R2 B2 R U'
U' L D R' U' L2
R' L F2 B2 U' R
R' L B2 U L' U2
R' L B2 F2 U' R
U' L B2 U2 L U
U' L' R' B2 L2 U'
L R' F2 B2 U' R
L' R' B2 L2 U' R'
R' L' B2 L2 U' R'
L R' B2 U L' U2
L R' B2 F2 U' R
U' L2 R' B2 L' U'
U' R L B2 R2 U'
R' U' L B2 U' B2
R2 U' L R B2 U'
R U' L R2 B2 U'
R2 U' L B2 R U'
R U' L B2 R2 U'
R2 U' R L B2 U'
R U' R2 L B2 U'
U' R' L U' D L2
U' R' L D U' L2
U' R' L B2 U' D
U' R' L B2 U' D'
U' R' L B2 U' D2
U' R' L B2 D U'
U' R' L B2 D' U'
U' R' L B2 D2 U'
U2 R' L B2 U' R
U' R' L' B2 L2 U'
U' R' L2 B2 L' U'
U' R' D L U' L
U' R' B2 U2 R' U
U' R2 L B2 R U'
D' R2 U' L R U'
D' R2 U' R L U'
U' D L R' U' L
U' D R' L U' L
D U' L R' U' L
F' U' L R' B2 U'
F2 U' L R' B2 U'
F U' L R' B2 U'
D U' R' L U' L
F' U' R' L B2 U'
F2 U' R' L B2 U'
F U' R' L B2 U'
B2 U2 L R' U R
B2 U2 R' L U R
L F2 R' B2 U' R2
R' B2 U2 R' U R
U' B2 U2 L R' U
U' B2 U2 R' L U
D U' L D' R' U' L
D U' L D2 R' U' L
R D' R2 F2 U' L U'
F' U' L R B2 R2 U'
F' U' L R' U' D L2
F' U' L R' D U' L2
F' U' L R' B2 U' D
F' U' L R' B2 U' D'
F' U' L R' B2 U' D2
F' U' L R' B2 D U'
F' U' L R' B2 D' U'
F' U' L R' B2 D2 U'
F' U' L R2 B2 R U'
F2 U' L R B2 R2 U'
F2 U' L R' U' D L2
F2 U' L R' D U' L2
F' U' L D R' U' L2
F2 U' L R' B2 U' D
F2 U' L R' B2 U' D'
F2 U' L R' B2 U' D2
F2 U' L R' B2 D U'
F2 U' L R' B2 D' U'
F2 U' L R' B2 D2 U'
F2 U' L R2 B2 R U'
F2 U' L D R' U' L2
F' U' L B2 U2 L U
F' U' L' R' B2 L2 U'
D' U' R' L U R' U2
U' D' R' L U R' U2
F2 U' L B2 U2 L U
U' D' R' L B2 U' L
D' U' R' L B2 U' L
D2 U' R' L U' D' L2
D2 U' R' L U2 F2 U
F U' L R B2 R2 U'
D2 U' R' L D' U' L2
F U' L R' U' D L2
D2 U' R' L D2 B2 U'
F U' L R' D U' L2
F2 U' L' R' B2 L2 U'
F U' L R' B2 U' D
F U' L R' B2 U' D'
F U' L R' B2 U' D2
F U' L R' B2 D U'
F U' L R' B2 D' U'
F U' L R' B2 D2 U'
F U' L R2 B2 R U'
F U' L D R' U' L2
D2 U' R' D' L U' L
D2 U' R' D2 L B2 U'
F' U' L2 R' B2 L' U'
F U' L B2 U2 L U
F2 U' L2 R' B2 L' U'
D U' R' L U' L D
D U' R' L U' L D'
D U' R' L U' L D2
D U' R' L U' D L
D U' R' L U' D' L
D U' R' L U' D2 L
D U' R' L D U' L
D U' R' L D' U' L
D U' R' L D2 U' L
F U' L' R' B2 L2 U'
D U' R' D' L B2 U'
F' U' R L B2 R2 U'
F2 U' R L B2 R2 U'
F U' L2 R' B2 L' U'
F' U' R' L U' D L2
F' U' R' L D U' L2
F' U' R' L B2 U' D
F' U' R' L B2 U' D'
F' U' R' L B2 U' D2
F' U' R' L B2 D U'
F' U' R' L B2 D' U'
F' U' R' L B2 D2 U'
F' U' R' L' B2 L2 U'
F' U' R' L2 B2 L' U'
F2 U' R' L U' D L2
F2 U' R' L D U' L2
F2 U' R' L B2 U' D
F2 U' R' L B2 U' D'
F2 U' R' L B2 U' D2
F2 U' R' L B2 D U'
F2 U' R' L B2 D' U'
F2 U' R' L B2 D2 U'
F' U' R' D L U' L
F2 U' R' L' B2 L2 U'
F U' R L B2 R2 U'
F2 U' R' L2 B2 L' U'
F2 U' R' D L U' L
R D' F2 R2 U' L U'
F' U' R' B2 U2 R' U
F' U' R2 L B2 R U'
F2 U' R' B2 U2 R' U
F2 U' R2 L B2 R U'
F U' R' L U' D L2
F U' R' L D U' L2
F U' R' L B2 U' D
F U' R' L B2 U' D'
F U' R' L B2 U' D2
F U' R' L B2 D U'
F U' R' L B2 D' U'
F U' R' L B2 D2 U'
F U' R' L' B2 L2 U'
F U' R' L2 B2 L' U'
F U' R' D L U' L
F' U' D L R' U' L
F2 U' D L R' U' L
F' U' D R' L U' L
F U' R' B2 U2 R' U
F U' R2 L B2 R U'
F2 U' D R' L U' L
R' D2 L U2 F2 U R
F U' D L R' U' L
F U' D R' L U' L
U' D2 L R' U' D' L2
U' D2 L R' U2 F2 U
U' D2 L R' D' U' L2
U' D2 L R' D2 B2 U'
U' D2 L D' R' U' L2
U' D2 L D2 R' B2 U'
D U2 L R' U' L R
D U2 L R' U' R L
D U2 L2 U L' R' U'
D U2 L2 U R' L' U'
L D2 R' U2 F2 U R
U' D2 R' L U' D' L2
U' D2 R' L U2 F2 U
U' D2 R' L D' U' L2
U' D2 R' L D2 B2 U'
U' D2 R' D' L U' L
B2 U' B2 L R' U' L'
U' D2 R' D2 L B2 U'
B2 U' B2 R' L U' L'
F' U' B2 U2 L R' U
F' U' B2 U2 R' L U
F2 U' B2 U2 L R' U
F2 U' B2 U2 R' L U
D U2 R' L U' L R
D U2 R' L U' R L
F' U2 L R' B2 U' R
B2 U2 L R' U R D
B2 U2 L R' U R D'
B2 U2 L R' U R D2
B2 U2 L R' U D R
B2 U2 L R' U D' R
B2 U2 L R' U D2 R
B2 U2 L R' D U R
B2 U2 L R' D' U R
B2 U2 L R' D2 U R
B2 U2 L R' B U R
B2 U2 L R' B' U R
B2 U2 L R' B2 U R
R D2 U L2 F2 R U
F2 U2 L R' B2 U' R
B2 U2 L D R' U R
B2 U2 L D' R' U R
B2 U2 L D2 R' U R
F U' B2 U2 L R' U
F U' B2 U2 R' L U
F U2 L R' B2 U' R
F' U2 R' L B2 U' R
B2 U2 R' L U R D
B2 U2 R' L U R D'
B2 U2 R' L U R D2
B2 U2 R' L U D R
B2 U2 R' L U D' R
B2 U2 R' L U D2 R
B2 U2 R' L D U R
B2 U2 R' L D' U R
B2 U2 R' L D2 U R
B2 U2 R' L B U R
B2 U2 R' L B' U R
B2 U2 R' L B2 U R
F2 U2 R' L B2 U' R
B2 U2 R' D L U R
B2 U2 R' D' L U R
B2 U2 R' D2 L U R
U D2 F2 U2 L R' U'
U D2 F2 U2 R' L U'
B2 U2 R' B' U R B
F U2 R' L B2 U' R
B2 U2 D L R' U R
B2 U2 D R' L U R
B2 U2 D' L R' U R
B2 U2 D' R' L U R
U' F L F' R' B2 U'
R' F L F2 B2 U' R
U2 F L R' B2 U' R
R' F L B2 U L' U2
R' F L B2 F2 U' R
B2 U2 D2 L R' U R
B2 U2 D2 R' L U R
R' F L' B2 L2 U' R'
U2 F R' L B2 U' R
L' F R' B2 L2 U' R'
D' F R2 U' L R U'
D' F R2 U' R L U'
L F R' F B2 U' R
U2 F U L R' B2 U'
L F R' B2 F U' R
R' F U' L B2 U' B2
U2 F U R' L B2 U'
D F U' L R' U' L
D F U' R' L U' L
R F U' L R2 B2 U'
R F U' L B2 R2 U'
R F U' R2 L B2 U'
U F U2 L R' B2 U'
U F U2 R' L B2 U'
R' F B2 U2 R' U R
F' D U' L R' U' L
F' D U' R' L U' L
F2 D U' L R' U' L
F2 D U' R' L U' L
R' F' L F2 B2 U' R
U2 F' L R' B2 U' R
R' F' L B2 U L' U2
R' F' L B2 F2 U' R
B2 D U2 L R' U R
B2 D U2 R' L U R
F D U' L R' U' L
F D U' R' L U' L
R' F' L' B2 L2 U' R'
U' F' R' F L B2 U'
U2 F' R' L B2 U' R
L' F' R' B2 L2 U' R'
D' F' R2 U' L R U'
D' F' R2 U' R L U'
L F' R' F' B2 U' R
U2 F' U L R' B2 U'
L F' R' B2 F' U' R
R' F' U' L B2 U' B2
U2 F' U R' L B2 U'
D F' U' L R' U' L
D F' U' R' L U' L
R F' U' L R2 B2 U'
R F' U' L B2 R2 U'
R F' U' R2 L B2 U'
U F' U2 L R' B2 U'
U F' U2 R' L B2 U'
F' D' R2 U' L R U'
F' D' R2 U' R L U'
F2 D' R2 U' L R U'
F2 D' R2 U' R L U'
R' F' B2 U2 R' U R
U' F2 L R' F2 B2 U'
U' F2 L R' B2 F2 U'
F D' R2 U' L R U'
F D' R2 U' R L U'
U' F2 L F2 R' B2 U'
R' F2 L F2 B2 U' R
U2 F2 L R' B2 U' R
R' F2 L B2 U L' U2
R' F2 L B2 F2 U' R
B2 D' U2 L R' U R
B2 D' U2 R' L U R
R' F2 L' B2 L2 U' R'
U' F2 R' L F2 B2 U'
U' F2 R' L B2 F2 U'
U' F2 R' F2 L B2 U'
U2 F2 R' L B2 U' R
L' F2 R' B2 L2 U' R'
D' F2 R2 U' L R U'
D' F2 R2 U' R L U'
L F2 R B2 R2 U' R2
L F2 R' U' R2 D L2
L F2 R' F B2 U' R2
L F2 R' F' B2 U' R2
U2 F2 U L R' B2 U'
L F2 R' F2 B2 U' R2
R' F2 U' L B2 U' B2
L F2 R' B2 U' R2 D
L F2 R' B2 U' R2 D'
L F2 R' B2 U' R2 D2
L F2 R' B2 D' F2 U'
L F2 R' B2 F U' R2
L F2 R' B2 F' U' R2
L F2 R' B2 F2 U' R2
U2 F2 U R' L B2 U'
D2 F2 U2 L R' U' R
D2 F2 U2 R' L U' R
D F2 U' L R' U' L
D F2 U' R' L U' L
L F2 U' R D L2 B2
L F2 U' R D B2 L2
R F2 U' L R2 B2 U'
R F2 U' L B2 R2 U'
R F2 U' R2 L B2 U'
U F2 U2 L R' B2 U'
U F2 U2 R' L B2 U'
L F2 D R' U' L2 R2
L F2 D R' U' R2 L2
R' F2 B2 U2 R' U R
B2 D2 U2 L R' U R
B2 D2 U2 R' L U R
L F2 B2 U2 L U R
B2 F U2 L R' U R
B2 F U2 R' L U R
B2 F' U2 L R' U R
B2 F' U2 R' L U R
D2 B2 L R' F2 U R
D2 B2 L F2 R' U R2
U' B2 L' U2 L2 R' U
U' B2 L' U2 R' L2 U
U' B2 L2 U2 L' R' U
U' B2 L2 U2 R' L' U
L' B2 L2 U2 L' U R'
U' B2 R U2 L R2 U
L' B2 L2 F2 R U' R2
U' B2 R U2 R2 L U
D2 B2 R' L F2 U R
R2 B2 R U2 R2 U R2
U' B2 R2 U2 L R U
U' B2 R2 U2 R L U
D' B2 R2 U L R U
D' B2 R2 U R L U
D2 B2 U L R' F2 U
D2 B2 U L F2 R' U
D2 B2 U R' L F2 U
D2 B2 U R' F2 L U
D2 B2 U F2 L R' U
D2 B2 U F2 R' L U
U' B2 U2 L R' U D
U' B2 U2 L R' U D'
U' B2 U2 L R' U D2
U' B2 U2 L R' D U
U' B2 U2 L R' D' U
U' B2 U2 L R' D2 U
D B2 U L R' U L
U' B2 U2 L D R' U
U' B2 U2 L D' R' U
U' B2 U2 L D2 R' U
U' B2 U2 R' L U D
U' B2 U2 R' L U D'
U' B2 U2 R' L U D2
U' B2 U2 R' L D U
U' B2 U2 R' L D' U
U' B2 U2 R' L D2 U
U2 B2 U' L R' U L'
D B2 U R' L U L
U' B2 U2 R' D L U
U' B2 U2 R' D' L U
U' B2 U2 R' D2 L U
U' B2 U2 D L R' U
U' B2 U2 D R' L U
U' B2 U2 D' L R' U
U' B2 U2 D' R' L U
U' B2 U2 D2 L R' U
U' B2 U2 D2 R' L U
R B2 R2 U2 R U R'
U2 B2 U' R' L U L'
R' B2 U2 R' U R D
R' B2 U2 R' U R D'
R' B2 U2 R' U R D2
R' B2 U2 R' U D R
R' B2 U2 R' U D' R
R' B2 U2 R' U D2 R
R' B2 U2 R' D U R
R' B2 U2 R' D' U R
R' B2 U2 R' D2 U R
R' B2 U2 R' B U R
R' B2 U2 R' B' U R
R' B2 U2 R' B2 U R
R' B2 U2 D R' U R
R' B2 U2 D' R' U R
L B2 U L' U L2 U
L B2 U L' U2 D' B2
L B2 U L' D F2 U2
L B2 U L' D' U2 B2
R' B2 U2 D2 R' U R
U' B2 D U2 L R' U
U' B2 D U2 R' L U
R' B2 D U2 R' U R
U' B2 D' U2 L R' U
U' B2 D' U2 R' L U
L B2 U2 L U D2 R2
L B2 U2 L U' L2 U2
L B2 U2 L D' B2 U
L B2 U2 L D2 U R2
U B2 U2 L R' B2 U
R' B2 D' U2 R' U R
U B2 U2 R' L B2 U
F' B2 U2 L R' U R
B2 F2 U2 L R' U R
F' B2 U2 R' L U R
U' B2 D2 U2 L R' U
U' B2 D2 U2 R' L U
F2 B2 U2 L R' U R
B2 F2 U2 R' L U R
R' B2 D2 U2 R' U R
F2 B2 U2 R' L U R
R' B2 F U2 R' U R
F B2 U2 L R' U R
F B2 U2 R' L U R
R' B2 F' U2 R' U R
R' B2 F2 U2 R' U R
L B2 F2 U2 L U R
