U2 L2 U2 F2 U R
L2 U' D' L2 B2 R'
L2 U2 F2 L2 U R
D2 R2 U2 B2 U' R'
U' D L R2 U2 F2
D' U L2 D2 F2 R
U' D R2 L U2 F2
U' D' L B2 R' U2
D' U' L B2 R' U2
D U' L R2 U2 F2
L2 D' U' L2 B2 R'
F2 U' L U' L U'
U D' L2 D2 F2 R
D U' R2 L U2 F2
F2 U' D L U2 F2
F2 U' D' L B2 U2
F2 U' D' B2 U2 R'
U' D' B2 U2 L2 R'
U' D' B2 U2 R' L2
D' U' B2 U2 L2 R'
D' U' B2 U2 R' L2
F2 U2 L2 U L' U2
F2 U2 L2 F2 U' R
F2 D U' L U2 F2
F2 D B2 U R' F2
F2 D B2 U F2 R'
F2 D' U' L B2 U2
F2 D' U' B2 U2 R'
F2 D2 R2 U' L U2
F2 D2 R2 B2 U R'
F2 D2 B2 R2 U R
B2 F2 U R' D F2
F2 B2 U R' D F2
B2 F2 U D R' F2
F2 B2 U D R' F2
B2 F2 U D F2 R'
F2 B2 U D F2 R'
F2 B2 U2 L2 U' R'
B2 F2 U2 L2 U' R'
F2 B2 D U R' F2
B2 F2 D U R' F2
F2 B2 D U F2 R'
B2 F2 D U F2 R'
F2 B2 D2 R2 U R
B2 F2 D2 R2 U R
F2 U2 F' L2 U L' U2
F2 U2 F' L2 F2 U' R
U2 F L2 F2 B' U' R
U2 F L2 B' U L' U2
U2 F L2 B' F2 U' R
F2 U2 F2 L2 U L' U2
F2 U2 F2 L2 F2 U' R
D2 F R2 U2 B2 U' R'
D' F U L2 D2 F2 R
D' F U' L B2 R' U2
F U2 B' L2 B' U' R'
D' F U' B2 U2 L2 R'
D' F U' B2 U2 R' L2
B2 D R U F2 L' R2
B2 D R U F2 R2 L'
F2 D R U' L U2 F2
F2 D R B2 U R' F2
F2 D R B2 U F2 R'
F2 D R' U' L U2 F2
F2 D R' B2 U R' F2
F2 D R' B2 U F2 R'
F2 D R2 U' L U2 F2
U2 F B' L2 B' U' R'
F2 D R2 B2 U R' F2
F2 D R2 B2 U F2 R'
B2 D U R F2 L' R2
B2 D U R F2 R2 L'
F2 D U L2 F2 L2 R
F2 D U L2 F2 R L2
B2 D U F2 D2 L2 R'
B2 D U F2 D2 R' L2
F2 D U F2 U2 L U2
F2 D U F2 B2 R' B2
F2 D U B2 R' F2 B2
F2 D U B2 R' B2 F2
F2 D U B2 F2 R' B2
F2 D U' L U2 F2 D
F2 D U' L U2 F2 D'
F2 D U' L U2 F2 D2
F2 D U' L D2 B2 U2
F2 D U' L B U2 F2
F2 D U' L B' U2 F2
F2 D U' L B2 U2 F2
F2 D U' L2 U2 F2 R
B2 D U' R2 U2 R F2
F2 D U' B2 U2 R' F2
F2 D U' B2 U2 F2 R'
F2 D U2 L2 U' F2 R
F' D F' U' L U2 F'
F' D F' B2 U F' R'
F D F B2 U R' F
F D F B2 U F R'
D2 F' R2 U2 B2 U' R'
D' F' U L2 D2 F2 R
D' F' U' L B2 R' U2
F2 D B2 R U R2 F2
F2 D B2 R U F2 R2
F2 D B2 R2 U R F2
F2 D B2 U R F2 R2
F2 D B2 U R' F2 D
F2 D B2 U R' F2 D'
F2 D B2 U R' F2 D2
F2 D B2 U F R' F
F2 D B2 U F2 R' D
F2 D B2 U F2 R' D'
F2 D B2 U F2 R' D2
F2 D B2 U F2 D R'
F2 D B2 U F2 D' R'
F2 D B2 U F2 D2 R'
F' D B2 F' U F' R'
F2 D B2 D R2 U R
D' F' U' B2 U2 L2 R'
D' F' U' B2 U2 R' L2
D F' U' L R2 B U2
D F' U' R2 L B U2
L2 F' U2 L2 F' U R
F D B2 F U R' F
F D B2 F U F R'
L2 F' U2 F' L2 U R
F2 D' R U' L B2 U2
F2 D' R U' B2 U2 R'
L2 F' D2 R2 B U' R'
F2 D' R' U' L B2 U2
F2 D' R' U' B2 U2 R'
F2 D' R2 U' L B2 U2
F2 D' R2 U' B2 U2 R'
B2 D' U L2 R' D2 F2
B2 D' U L2 D2 R' F2
B2 D' U L2 D2 F2 R'
B2 D' U R' L2 D2 F2
L' F2 L R U' L U2
L' F2 L R B2 U R'
F2 D' U' L U2 D2 F2
F2 D' U' L D2 U2 F2
F2 D' U' L B2 U2 D
F2 D' U' L B2 U2 D'
F2 D' U' L B2 U2 D2
F2 D' U' L B2 D U2
F2 D' U' L B2 D' U2
F2 D' U' L B2 D2 U2
F2 D' U' L' B2 L2 U2
F2 D' U' L2 B2 L' U2
B2 D' U' B2 L U2 L
L' F2 L B2 R U R2
F2 D' U' B2 L U2 R'
F2 D' U' B2 L' U2 R'
F2 D' U' B2 L2 U2 R'
F2 D' U' B2 U2 R' D
F2 D' U' B2 U2 R' D'
F2 D' U' B2 U2 R' D2
F2 D' U' B2 U2 D R'
F2 D' U' B2 U2 D' R'
F2 D' U' B2 U2 D2 R'
F2 D' U' B2 D U2 R'
F2 D' U' B2 D' U2 R'
F2 D' U' B2 D2 U2 R'
U2 F2 L2 U L' U2 L
L2 F2 L2 U R D F2
L2 F2 L2 U D R F2
L2 F2 L2 U2 L2 U' R
L' F2 R L U' L U2
L2 F2 L2 D U R F2
L' F2 R L B2 U R'
F' D' F' U' L B2 U2
F' D' F' U' B2 U2 R'
L2 F2 L2 D2 R2 U R'
L' F2 R D' L B2 U
L' F2 R D2 L U R2
F D' F U' L B2 U2
F D' F U' B2 U2 R'
D2 F2 R2 U2 B2 U' R'
F2 D' B U' B U2 R'
B' D' B' U L2 R' F
B' D' B' U L2 F R'
B' D' B' U R' L2 F
D' F2 U L2 D2 F2 R
R' F2 U' L U' L U'
D' F2 U' L B2 R' U2
R' F2 U' D L U2 F2
R' F2 U' D' L B2 U2
R' F2 U' D' B2 U2 R'
D' F2 U' B2 U2 L2 R'
D' F2 U' B2 U2 R' L2
L2 F2 U' R D' B2 L
R' F2 U2 L2 U L' U2
R' F2 U2 L2 F2 U' R
R2 F2 U' L U' L U'
L2 F2 U' D' R B2 L
R2 F2 U' D L U2 F2
R2 F2 U' D' L B2 U2
R2 F2 U' D' B2 U2 R'
R2 F2 U2 L2 U L' U2
R' F2 D U' L U2 F2
R F2 U' L U' L U'
R2 F2 U2 L2 F2 U' R
R F2 U' D L U2 F2
R F2 U' D' L B2 U2
R' F2 D B2 U R' F2
R' F2 D B2 U F2 R'
R F2 U' D' B2 U2 R'
L F2 U2 L R U' R'
L' F2 D' L R B2 U
L' F2 D' L B2 R U
L F2 U2 R L U' R'
L' F2 D' R L B2 U
R' F2 D' U' L B2 U2
R' F2 D' U' B2 U2 R'
R F2 U2 L2 U L' U2
R F2 U2 L2 F2 U' R
R2 F2 D U' L U2 F2
U' F2 D2 R2 U B2 R'
L' F2 D2 L R U R
R2 F2 D B2 U R' F2
R2 F2 D B2 U F2 R'
R' F2 D2 R2 U' L U2
L2 F2 D' U' R B2 L
R' F2 D2 R2 B2 U R'
L' F2 D2 R L U R
R2 F2 D' U' L B2 U2
R2 F2 D' U' B2 U2 R'
R' F2 D2 B2 R2 U R
R F2 D U' L U2 F2
F2 D2 R B2 R U R2
R F2 D B2 U R' F2
R F2 D B2 U F2 R'
R2 F2 D2 R2 U' L U2
R2 F2 D2 R2 B2 U R'
R F2 D' U' L B2 U2
R F2 D' U' B2 U2 R'
B2 D2 R2 U R D L2
B2 D2 R2 U D L2 R
B2 D2 R2 U D R L2
R2 F2 D2 B2 R2 U R
B2 D2 R2 U2 B2 U' R
F2 D2 R2 U B2 R' B2
F2 D2 R2 U' L U2 D
F2 D2 R2 U' L U2 D'
F2 D2 R2 U' L U2 D2
F2 D2 R2 U' L D U2
F2 D2 R2 U' L D' U2
F2 D2 R2 U' L D2 U2
B2 D2 R2 D U L2 R
B2 D2 R2 D U R L2
F2 D2 R2 U' D L U2
F2 D2 R2 U' D' L U2
F2 D2 R2 U' D2 L U2
F2 D2 R2 D U' L U2
F2 D2 R2 D B2 U R'
F2 D2 R2 D' U' L U2
F2 D2 R2 D' B2 U R'
F2 D2 R2 D2 U' L U2
F2 D2 R2 D2 B2 U R'
R F2 D2 R2 U' L U2
R F2 D2 R2 B2 U R'
R' F2 B2 U R' D F2
R' F2 B2 U D R' F2
R' F2 B2 U D F2 R'
F2 D2 R2 B2 U R' D
F2 D2 R2 B2 U R' D'
F2 D2 R2 B2 U R' D2
F2 D2 R2 B2 U D R'
F2 D2 R2 B2 U D' R'
F2 D2 R2 B2 U D2 R'
F2 D2 R2 B2 D U R'
F2 D2 R2 B2 D' U R'
F2 D2 R2 B2 D2 U R'
R' F2 B2 U2 L2 U' R'
R' F2 B2 D U R' F2
R' F2 B2 D U F2 R'
R' F2 B2 D2 R2 U R
R F2 D2 B2 R2 U R
F2 D2 U' L U R2 U
F2 D2 U' L U2 D' F2
F2 D2 U' L D B2 U2
F2 D2 U' L D' U2 F2
F D2 R2 F U' L U2
F D2 R2 F B2 U R'
R2 F2 B2 U R' D F2
R2 F2 B2 U D R' F2
R2 F2 B2 U D F2 R'
F D2 R2 B2 F U R'
R2 F2 B2 U2 L2 U' R'
R2 F2 B2 D U R' F2
R2 F2 B2 D U F2 R'
R2 F2 B2 D2 R2 U R
R F2 B2 U R' D F2
R F2 B2 U D R' F2
R F2 B2 U D F2 R'
R F2 B2 U2 L2 U' R'
R F2 B2 D U R' F2
R F2 B2 D U F2 R'
R F2 B2 D2 R2 U R
F' D2 F' R2 U' L U2
F' D2 F' R2 B2 U R'
F' D2 F' B2 R2 U R
F D2 F R2 U' L U2
F D2 F R2 B2 U R'
F D2 F B2 R2 U R
F2 D2 B R2 B U R'
D2 B R2 D2 F' U R
D2 B R2 F' B U R'
D2 B R2 B F' U R'
B D2 B R2 F' U R
F2 D2 B' R2 B' U R'
F2 D2 B2 R2 U R D
F2 D2 B2 R2 U R D'
F2 D2 B2 R2 U R D2
F2 D2 B2 R2 U D R
F2 D2 B2 R2 U D' R
F2 D2 B2 R2 U D2 R
F2 D2 B2 R2 D U R
F2 D2 B2 R2 D' U R
F2 D2 B2 R2 D2 U R
F2 D2 B2 R2 B U R
F2 D2 B2 R2 B' U R
F2 D2 B2 R2 B2 U R
F2 D2 B2 U D' R' F2
F2 D2 B2 U D' F2 R'
F' D2 B2 F' R2 U R
F2 D2 B2 D' U R' F2
F2 D2 B2 D' U F2 R'
D' B U' B U2 L2 R'
D' B U' B U2 R' L2
L2 B U' D' L2 B2 R'
F D2 B2 F R2 U R
L2 B U2 F2 L2 U R
L2 B D' U' L2 B2 R'
B2 F D F U R' F
B2 F D F U F R'
F' B D2 F' R2 U R'
B2 F D2 F R2 U R
L2 B' U' D' L2 B2 R'
L2 B' U2 F2 L2 U R
L2 B' D' U' L2 B2 R'
U2 B' F L2 B' U' R'
F2 B' U2 L2 F U' R
F2 B' U2 F L2 U' R
B2 F' D F' U F' R'
F2 B' D B' U R' F2
F2 B' D B' U F2 R'
F2 B' D2 R2 B' U R'
B2 F' D2 F' R2 U R
F2 B' D2 B' R2 U R
U2 B2 L2 U' R' D' L2
U2 B2 L2 U' D' L2 R'
U2 B2 L2 U' D' R' L2
U2 B2 L2 U2 F2 U R'
U2 B2 L2 D' U' L2 R'
U2 B2 L2 D' U' R' L2
B F' D2 F' R2 U R'
D B2 R U F2 L' R2
D B2 R U F2 R2 L'
B2 F2 R U R2 D F2
B2 F2 R U2 L2 U' R2
F2 B2 R U R2 D F2
D2 B2 U D' R' F2 L'
B2 F2 R D B2 U F2
F2 B2 R U2 L2 U' R2
F2 B2 R D B2 U F2
B2 F2 R' D2 R2 U R2
F2 B2 R' D2 R2 U R2
D B2 U R F2 L' R2
D B2 U R F2 R2 L'
B2 F2 R2 U R D F2
B2 F2 R2 U D R F2
B2 F2 R2 U2 L2 U' R
L2 B2 U' D' L2 B2 R'
F2 B2 R2 U R D F2
F2 B2 R2 U D R F2
L B2 U L' R' F2 U
B2 F2 R2 D U R F2
D B2 U F2 D2 L2 R'
D B2 U F2 D2 R' L2
L B2 U L' F2 R' U
F2 B2 R2 U2 L2 U' R
B2 F2 R2 D2 R2 U R'
F2 B2 R2 D U R F2
L B2 U R' L' F2 U
F2 B2 R2 D2 R2 U R'
U' B2 D R2 U2 R F2
D B2 U' R2 U2 R F2
B2 F2 U R' U L2 U'
B2 F2 U R' D F2 D
B2 F2 U R' D F2 D'
B2 F2 U R' D F2 D2
B2 F2 U R' F D F2
B2 F2 U R' F' D F2
B2 F2 U R' F2 D F2
B2 F2 U R2 D R F2
B2 F2 U D R F2 R2
B2 F2 U D R' F2 D
B2 F2 U D R' F2 D'
B2 F2 U D R' F2 D2
F2 B2 U R' U L2 U'
B2 F2 U D F R' F
B2 F2 U D F2 R' D
B2 F2 U D F2 R' D'
B2 F2 U D F2 R' D2
B2 F2 U D F2 D R'
B2 F2 U D F2 D' R'
B2 F2 U D F2 D2 R'
F2 B2 U R' D F2 D
F2 B2 U R' D F2 D'
F2 B2 U R' D F2 D2
F2 B2 U R' F D F2
F2 B2 U R' F' D F2
F2 B2 U R' F2 D F2
B2 F2 U D' R' D2 F2
F2 B2 U R2 D R F2
L2 B2 U2 F2 L2 U R
F2 B2 U D R F2 R2
F2 B2 U D R' F2 D
F2 B2 U D R' F2 D'
F2 B2 U D R' F2 D2
F2 B2 U D F R' F
B2 F2 U F R' D F2
F2 B2 U D F2 R' D
F2 B2 U D F2 R' D'
F2 B2 U D F2 R' D2
F2 B2 U D F2 D R'
F2 B2 U D F2 D' R'
F2 B2 U D F2 D2 R'
B2 F2 U F D R' F2
B2 F2 U F D F2 R'
F2 B2 U D' R' D2 F2
B2 F2 U F' R' D F2
B2 F2 U F' D R' F2
B2 F2 U F' D F2 R'
B2 F2 U F2 R' D F2
F2 B2 U F R' D F2
B2 F2 U F2 D R' F2
B2 F2 U F2 D F2 R'
F2 B2 U F D R' F2
F2 B2 U F D F2 R'
F2 B2 U F' R' D F2
F2 B2 U F' D R' F2
F2 B2 U F' D F2 R'
F2 B2 U F2 R' D F2
F2 B2 U F2 D R' F2
F2 B2 U F2 D F2 R'
D2 B2 D' U R' F2 L'
B' F2 U2 L2 F U' R
B2 F2 U' D' B2 L U2
U' B2 D' B2 L U2 L
F2 B2 U' D' B2 L U2
B' F2 U2 F L2 U' R
B2 F2 U2 L2 U' R' D
B2 F2 U2 L2 U' R' D'
B2 F2 U2 L2 U' R' D2
B2 F2 U2 L2 U' D R'
B2 F2 U2 L2 U' D' R'
B2 F2 U2 L2 U' D2 R'
B2 F2 U2 L2 D U' R'
B2 F2 U2 L2 D' U' R'
B2 F2 U2 L2 D2 U' R'
B2 F2 U2 L2 F U' R'
B2 F2 U2 L2 F' U' R'
B2 F2 U2 L2 F2 U' R'
F2 B2 U2 L2 U' R' D
F2 B2 U2 L2 U' R' D'
F2 B2 U2 L2 U' R' D2
F2 B2 U2 L2 U' D R'
F2 B2 U2 L2 U' D' R'
F2 B2 U2 L2 U' D2 R'
F2 B2 U2 L2 D U' R'
F2 B2 U2 L2 D' U' R'
L2 B2 D' U' L2 B2 R'
F2 B2 U2 L2 D2 U' R'
F2 B2 U2 L2 F U' R'
F2 B2 U2 L2 F' U' R'
F2 B2 U2 L2 F2 U' R'
B2 F2 U2 F L2 U' R'
B2 F2 U2 F' L2 U' R'
B2 F2 U2 F2 L2 U' R'
F2 B2 U2 F L2 U' R'
F2 B2 U2 F' L2 U' R'
F2 B2 U2 F2 L2 U' R'
B' F2 D B' U R' F2
B' F2 D B' U F2 R'
B2 F2 D R U R2 F2
B2 F2 D R U F2 R2
B2 F2 D R2 U R F2
F2 B2 D R U R2 F2
F2 B2 D R U F2 R2
B2 F2 D U R F2 R2
B2 F2 D U R' F2 D
B2 F2 D U R' F2 D'
B2 F2 D U R' F2 D2
B2 F2 D U F R' F
B2 F2 D U F2 R' D
B2 F2 D U F2 R' D'
B2 F2 D U F2 R' D2
B2 F2 D U F2 D R'
B2 F2 D U F2 D' R'
B2 F2 D U F2 D2 R'
F' B2 D F' U F' R'
F2 B2 D R2 U R F2
F2 B2 D U R F2 R2
F2 B2 D U R' F2 D
F2 B2 D U R' F2 D'
F2 B2 D U R' F2 D2
F2 B2 D U F R' F
F2 B2 D U F2 R' D
F2 B2 D U F2 R' D'
F2 B2 D U F2 R' D2
F2 B2 D U F2 D R'
F2 B2 D U F2 D' R'
F2 B2 D U F2 D2 R'
B2 F2 D' U R' D2 F2
B2 F2 D' U' B2 L U2
F2 B2 D' U R' D2 F2
B' F2 D2 R2 B' U R'
F2 B2 D' U' B2 L U2
R' B2 F2 U R' D F2
R' B2 F2 U D R' F2
R' B2 F2 U D F2 R'
R' B2 F2 U2 L2 U' R'
B' F2 D2 B' R2 U R
R' B2 F2 D U R' F2
R' B2 F2 D U F2 R'
F B2 D F U R' F
F B2 D F U F R'
R' B2 F2 D2 R2 U R
B2 F2 D2 R2 U R D
B2 F2 D2 R2 U R D'
B2 F2 D2 R2 U R D2
B2 F2 D2 R2 U D R
B2 F2 D2 R2 U D' R
B2 F2 D2 R2 U D2 R
B2 F2 D2 R2 D U R
B2 F2 D2 R2 D' U R
B2 F2 D2 R2 D2 U R
B2 F2 D2 R2 B U R
B2 F2 D2 R2 B' U R
B2 F2 D2 R2 B2 U R
F' B2 D2 F' R2 U R
F2 B2 D2 R2 U R D
F2 B2 D2 R2 U R D'
F2 B2 D2 R2 U R D2
F2 B2 D2 R2 U D R
F2 B2 D2 R2 U D' R
F2 B2 D2 R2 U D2 R
F2 B2 D2 R2 D U R
F2 B2 D2 R2 D' U R
F2 B2 D2 R2 D2 U R
F2 B2 D2 R2 B U R
F2 B2 D2 R2 B' U R
F2 B2 D2 R2 B2 U R
R2 B2 F2 U R' D F2
R2 B2 F2 U D R' F2
R2 B2 F2 U D F2 R'
R2 B2 F2 U2 L2 U' R'
R2 B2 F2 D U R' F2
R2 B2 F2 D U F2 R'
R2 B2 F2 D2 R2 U R
F B2 D2 F R2 U R
R B2 F2 U R' D F2
R B2 F2 U D R' F2
R B2 F2 U D F2 R'
R B2 F2 U2 L2 U' R'
R B2 F2 D U R' F2
R B2 F2 D U F2 R'
R B2 F2 D2 R2 U R
