U2 L U' B U'
U2 L R2 U F' U
U2 L U' D B U'
U2 L U' D' B U'
U2 L U' D2 B U'
U2 L U' B U' D
U2 L U' B U' D'
U2 L U' B U' D2
U2 L U' B D U'
U2 L U' B D' U'
U2 L U' B D2 U'
U2 L D U' B U'
U2 L D' U' B U'
U2 L D2 U' B U'
L' U D F2 B U'
L' U D B F2 U'
L' U D2 B U' R2
L' U B U L2 U2
L' U B U' D2 R2
L' U B D F2 U'
L' U B D2 U' R2
L2 U F2 B U' R
L2 U B U L' U2
L2 U B F2 U' R
L U B U2 B' U
R2 U' F' U' L U2
R2 U' F' B2 U R'
B2 R' U B' U' B'
R' U2 L U F U
R2 U' B2 F' U R'
L' U2 L2 U' B U'
R2 U2 L U F' U
L2 U2 L' U' B U'
B2 R' B D L2 B
B2 R' B D B L2
B2 R' B2 U B U'
U2 R2 L U F' U
L' D U F2 B U'
L' D U B F2 U'
U2 D L U' B U'
U2 D' L U' B U'
B' U B2 U' B' R'
L' D2 R2 U' F' U
U2 D2 L U' B U'
D2 U2 L U' B U'
D' U2 L U' B U'
L' D2 U B U' R2
D U2 L U' B U'
B' D L2 B' R' B2
B' D B' L2 R' B2
B' D B' R' L2 B2
B' D B' R' B2 L2
B' D' B' R' B2 L
U B U' B R' B'
U B U2 B U R'
U B D2 F' U' R
B' D L2 D B' R' B2
B' D L2 D' B' R' B2
B' D L2 D2 B' R' B2
B' D L2 B U2 L U2
B' D L2 B' R B2 R2
B' D L2 B' R' B2 D
B' D L2 B' R' B2 D'
B' D L2 B' R' B2 D2
B' D L2 B' R2 B2 R
B2 D L2 F U F' R'
B' D R L2 B' R' B
R2 F D' L2 F2 R F
B' D R B' L2 R' B
B' D R B' R' L2 B
B' D R B' R' B L2
R2 F D' F L2 F2 R
B2 D R' U' L2 F U
U F B U' B R' B'
U F B U2 B U R'
U F B D2 F' U' R
B2 D U' L2 F U R'
B' D U2 B L2 F R
B' D F2 B L2 F2 R
B' D B L' D2 L' R2
B' D B L' D2 R2 L'
B' D B L2 U2 L' U2
B' D B L2 F2 R F2
B' D B U2 L U2 L
B' D B F2 L2 F2 R
B' D B' L' R' B2 L'
B' D B' L2 R B2 R2
B' D B' L2 R' B2 D
B' D B' L2 R' B2 D'
B' D B' L2 R' B2 D2
B' D B' L2 R2 B2 R
B' D B' R L2 B2 R2
B' D B' R B2 L2 R2
B' D B' R B2 R2 L2
B' D B' R' L' B2 L'
B' D B' R' L2 B2 D
B' D B' R' L2 B2 D'
B' D B' R' L2 B2 D2
B' D B' R' B L2 B
B' D B' R' B2 L2 D
B' D B' R' B2 L2 D'
B' D B' R' B2 L2 D2
B' D B' R2 L2 B2 R
B' D B' R2 B2 L2 R
B' D B' R2 B2 R L2
U' F' U' L U' B U'
U F' U L U' B U'
B' D' L B' R' B2 L
B' D' L' B' R' B2 L
B' D' L2 B' R' B2 L
L' F' D2 R2 F D' L2
B2 D' R' U R' B' U'
B D' R F' U' F B'
B D' R F' U' B' F
R F' D' F L' D2 R2
B' D' R2 F' U2 F R
B2 D' U R2 B' U' R
U F' B U' B R' B'
U F' B U2 B U R'
U F' B D2 F' U' R
R2 F' B2 U R' F B2
R2 F' B2 U R' B2 F
R2 F' B2 U F R' B2
B' D' U2 R2 F' L' U2
U2 F2 L F2 U' B U'
L2 F2 R F D' F L'
B' D' B L' D2 L2 R2
B' D' B L' D2 R2 L2
B' D' B U2 L R2 U2
B' D' B U2 R2 L U2
B' D' B' L R' B2 L
B' D' B' L' R' B2 L
B' D' B' L2 R' B2 L
B' D' B' R' L B2 L
B' D' B' R' L' B2 L
B' D' B' R' L2 B2 L
B' D' B' R' B2 L D
B' D' B' R' B2 L D'
B' D' B' R' B2 L D2
B' D' B' R' B2 D L
B' D' B' R' B2 D' L
B' D' B' R' B2 D2 L
U' F2 U' L U' B U'
L2 F2 U B U' R F2
U F2 U L U' B U'
B D' B2 D L2 B R'
B D' B2 D B L2 R'
B D' B2 D B R' L2
L2 F2 B U' R F2 B'
L2 F2 B U' R B' F2
L2 F2 B U' B' R F2
U F2 B U' B R' B'
U F2 B U2 B U R'
U F2 B D2 F' U' R
U B L D L' F U'
B D2 F' U' R F B'
B D2 F' U' R B' F
B D2 F' U' B' R F
B' D2 B' R' B2 D' L2
U B R' D' R F' U'
U B U B' L B U2
U B U' R B R' B'
U B U' R' B R' B'
U B U' R2 B R' B'
U B U' D2 F' R F
U B U' F D2 F' R
U B U' B R B' R2
L' B D F2 U' F2 B'
U B U' B R' D B'
L' B D F2 U' B' F2
U B U' B R' D' B'
U B U' B R' D2 B'
U B U' B R' B' D
U B U' B R' B' D'
U B U' B R' B' D2
U B U' B R2 B' R
U B U' B D R' B'
U B U' B D' R' B'
U B U' B D2 R' B'
U B U2 B U R' D
U B U2 B U R' D'
U B U2 B U R' D2
U B U2 B U D R'
U B U2 B U D' R'
U B U2 B U D2 R'
U B U2 B D U R'
U B U2 B D' U R'
U B U2 B D2 U R'
U B U2 B' U' L U2
U B D L' F L U'
U B D' R F' R' U'
U B D2 U' F' R F
U B D2 F U L' U2
U B D2 F' U' R D
U B D2 F' U' R D'
U B D2 F' U' R D2
U B D2 F' U' D R
U B D2 F' U' D' R
U B D2 F' U' D2 R
U B D2 F' D U' R
U B D2 F' D' U' R
U B D2 F' D2 U' R
U B F U' B R' B'
U B F U2 B U R'
U B F D2 F' U' R
L2 B F2 U' R F2 B'
L2 B F2 U' R B' F2
L2 B F2 U' B' R F2
F' B U' F B R' B2
U B F' U' B R' B'
F' B U' B R' F B2
F' B U' B R' B2 F
F' B U' B F R' B2
U B F' U2 B U R'
U B F' D2 F' U' R
F2 B U' F2 B R' B2
F2 B U' B R' F2 B2
F2 B U' B R' B2 F2
F2 B U' B F2 R' B2
U B F2 U' B R' B'
U B F2 U2 B U R'
B F U' D2 F' R B'
B F U' D2 F' B' R
B F U' D2 B' F' R
B F U' F' B R' B2
U B F2 D2 F' U' R
B F U' B F' R' B2
F B U' D2 F' R B'
F B U' D2 F' B' R
F B U' D2 B' F' R
F B U' F' B R' B2
F B U' B F' R' B2
B F D2 U' F' R B'
B F D2 U' F' B' R
B F D2 U' B' F' R
F B D2 U' F' R B'
F B D2 U' F' B' R
F B D2 U' B' F' R
D2 B' U B2 U' B' R'
D' B' U B2 U' B' R'
U' B' U2 F B2 U' R
D B' U B2 U' B' R'
U' B' U2 B2 F U' R
D2 B' D L2 B' R' B2
D' B' D L2 B' R' B2
L' B' D L2 D B R2
L' B' D L2 B D R2
U' B' D B' U L2 R'
U' B' D B' U R' L2
D2 B' D B' L2 R' B2
D2 B' D B' R' L2 B2
D2 B' D B' R' B2 L2
D' B' D B' L2 R' B2
D' B' D B' R' L2 B2
D' B' D B' R' B2 L2
L' B' D B L2 D R2
L2 B' D L2 B2 R' B'
U2 B' D B L U2 L
L B' U2 D B L2 F
L2 B' D B' L2 B2 R'
D B' D L2 B' R' B2
D2 B' D' B' R' B2 L
D' B' D' B' R' B2 L
U' B' D2 F2 B' U R'
L B' D L2 D2 B R2
D B' D B' L2 R' B2
L B' D L2 B D2 R2
D B' D B' R' L2 B2
D B' D B' R' B2 L2
U' B' D2 B' F2 U R'
U2 B' D' B L R2 U2
U2 B' D' B R2 L U2
L B' D U2 B L2 F
L' B' D2 B R2 D' L2
L B' D B L2 D2 R2
U B' D B' U' L2 R'
U B' D B' U' R' L2
D B' D' B' R' B2 L
R B' D B' L R' B2
L B' D' R2 F' U2 F
R B' D B' R' L B2
B F' U' F B R' B2
B F' U' B R' F B2
B F' U' B R' B2 F
B F' U' B F R' B2
U' B2 L2 F L2 U R'
D2 B2 R' U B' U' B'
R' B2 R' U' F' U B2
D' B2 R' U B' U' B'
D2 B2 R' B D L2 B
D2 B2 R' B D B L2
R' B2 R' B2 U' F' U
D2 B2 R' B2 U B U'
D' B2 R' B D L2 B
D' B2 R' B D B L2
D' B2 R' B2 U B U'
D B2 R' U B' U' B'
U' B2 U R' U B' U'
R2 B2 R' B' D B' L
D B2 R' B D L2 B
D B2 R' B D B L2
D B2 R' B2 U B U'
R B2 R' U B U' B
U B2 R' B' R U' R'
R B2 R' B' D B' L2
R B2 R' B2 U B' U'
U B2 R2 B' R2 U' R'
R2 B2 U' F' U R' B2
U B2 U' R' U B' U'
B F2 U' F2 B R' B2
B F2 U' B R' F2 B2
B F2 U' B R' B2 F2
B F2 U' B F2 R' B2
R2 B2 F' U R' F B2
R2 B2 F' U R' B2 F
R2 B2 F' U F R' B2
