L' U2 L2 D' B2
L' R U' R' U' L2
R' L' U' R U' L2
L' R' U' R U' L2
R2 L' U' R2 U' L2
R L' U' R' U' L2
R2 L' U2 L2 D B2
D' L' U2 L2 D' B2
D2 L' U2 L2 D' B2
D L' U2 L2 D' B2
U L' U2 L2 D F2
L' R2 U' R2 U' L2
L' R2 U2 L2 D B2
U2 L2 D' B2 L' R'
U2 L2 D' B2 R' L'
L' U F' U L2 B'
L' U' D' B2 U' B2
L' U' B U' B' L2
L' U' B' U' L2 B
L' U' B' U' B L2
L' U' B2 U' L2 B2
L' U' B2 U' B2 L2
L' U2 L2 U' L2 U
L' U2 L2 D' B2 D
L' U2 L2 D' B2 D'
L' U2 L2 D' B2 D2
L' U2 L2 B D' B2
L' U2 L2 B' D' B2
L' U2 L2 B2 D' B2
L' U2 B L2 D' B2
L' U2 B' L2 D' B2
L' U2 B2 L2 D' B2
R2 D L' U2 L2 B2
R2 D L' U2 B2 L2
B2 U L' R' B2 U2
B2 U L' B2 U2 L
B2 U R' L' B2 U2
B2 U R' B2 L' U2
R2 D' L' F2 U2 L2
L' D' U' B2 U' B2
B2 U B2 L' U2 L2
B U B' L' U2 L2
R2 D' F2 U2 L R
R2 D' F2 U2 R L
L' D2 R2 U' R2 U'
L' D2 R2 U2 D B2
L' D2 R2 D U2 B2
L' D2 R2 D' F2 U2
L' F U2 L2 D' B2
L' F' U2 L2 D' B2
L' F2 U2 L2 D' B2
U2 F2 U L R F2
U2 F2 U R L F2
U2 F2 U R F2 L
U2 D F2 U R L F2
U2 D F2 U R F2 L
R2 D' L' R2 F2 U2 L2
R2 D' L' U2 L2 D2 B2
R2 D' L' D2 R2 U2 B2
R2 D' L' F U2 L2 B'
R2 D' L' F2 R U2 L2
R2 D' L' F2 R' U2 L2
R2 D' L' F2 R2 U2 L2
R2 D' L' F2 U2 L2 D
R2 D' L' F2 U2 L2 D'
R2 D' L' F2 U2 L2 D2
R2 D' L' F2 D2 R2 U2
R D' L' U' R' U' L2
L' D' R U' R' B2 U'
R2 D' L2 F2 L R U2
R2 D' L2 F2 R L U2
R2 D' R L' F2 U2 L2
L' D' R' U' R B2 U'
L' D' R' U' B2 R U'
R2 D' R F2 U2 L R
R2 D' R F2 U2 R L
R2 D' R' L' F2 U2 L2
B2 U B L' B U2 L
L' D' R2 U' R2 B2 U'
L' D' R2 U' B2 R2 U'
L' D' R2 U2 D L2 B2
L' D' R2 U2 D B2 L2
L' D' R2 D U2 L2 B2
L' D' R2 D U2 B2 L2
L' D' R2 D' R2 F2 U2
L' D' R2 D' F2 R2 U2
R2 D' R' F2 U2 L R
R2 D' R' F2 U2 R L
B U B L' R' B2 U2
B U B L' B2 U2 L
B U B R' L' B2 U2
B U B R' B2 L' U2
R2 D' R2 L' F2 U2 L2
R2 D' R2 F2 U2 L R
R2 D' R2 F2 U2 R L
B U B' L' R U2 L2
B U B' L' R' U2 L2
B U B' L' R2 U2 L2
B U B' L' U2 L2 D
B U B' L' U2 L2 D'
B U B' L' U2 L2 D2
B U B' L' D2 R2 U2
B U B' R L' U2 L2
B U B' R' L' U2 L2
B U B' R2 L' U2 L2
B2 U B2 L' R U2 L2
B2 U B2 L' R' U2 L2
B2 U B2 L' R2 U2 L2
B2 U B2 L' U2 L2 D
B2 U B2 L' U2 L2 D'
B2 U B2 L' U2 L2 D2
B2 U B2 L' D2 R2 U2
B2 U B2 R L' U2 L2
B U B' U2 L D2 R2
B2 U B2 R' L' U2 L2
L' D' U' R B2 U' B2
B U B' D L' U2 L2
B2 U B2 R2 L' U2 L2
L' D' U' R' B2 U' B2
B U B' D' L' U2 L2
L' D' U' R2 B2 U' B2
B U B' D2 L' U2 L2
B2 U B2 U2 L D2 R2
B2 U B2 D L' U2 L2
B2 U B2 D' L' U2 L2
B2 U B2 D2 L' U2 L2
L' D' U' B2 R U' B2
L' D' U' B2 R' U' B2
L' D' U' B2 R2 U' B2
L' D' U' B2 U' B2 D
L' D' U' B2 U' B2 D'
L' D' U' B2 U' B2 D2
L' D' U' B2 D' R2 U'
B U B2 L' B U2 L
U D' L' U2 L2 D F2
F2 U' L R U L' U'
U2 D' L2 D' B2 L' R'
U2 D' L2 D' B2 R' L'
F2 U' L U L' U' R
F' U' L F' D R F'
B2 U' L D2 R2 F2 L'
R2 D' U2 L D2 R2 B2
R2 D' U2 L D2 B2 R2
B2 U' L' R' B2 U2 B2
L' D' F U' B2 U' B2
B2 U' L' B2 U2 L B2
F2 U' L2 R D L' F2
L' D' F' U' B2 U' B2
F2 U' L2 D L' R F2
F2 U' L2 D R L' F2
F2 U' R L U L' U'
F2 U' R L2 D L' F2
L' D' F2 U' B2 U' B2
B2 U' R D2 F2 L2 R
B2 U' R D2 F2 R L2
R2 D' F2 L' U2 L2 R
R2 D' F2 L' U2 R L2
R2 D' F2 L2 U2 L' R
R2 D' F2 L2 U2 R L'
R2 D' F2 R' U2 L R2
R2 D' F2 R' U2 R2 L
R2 D' F2 R2 U2 L R'
R2 D' F2 R2 U2 R' L
R2 D' F2 U2 L R D
R2 D' F2 U2 L R D'
R2 D' F2 U2 L R D2
R2 D' F2 U2 L D R
R2 D' F2 U2 L D' R
R2 D' F2 U2 L D2 R
R2 D' F2 U2 R L D
R2 D' F2 U2 R L D'
R2 D' F2 U2 R L D2
R2 D' F2 U2 R D L
R2 D' F2 U2 R D' L
R2 D' F2 U2 R D2 L
R2 D' F2 U2 D L R
R2 D' F2 U2 D R L
R2 D' F2 U2 D' L R
R2 D' F2 U2 D' R L
R2 D' F2 U2 D2 L R
R2 D' F2 U2 D2 R L
B2 U' R' L' B2 U2 B2
R2 D' F2 D U2 L R
R2 D' F2 D U2 R L
R2 D' F2 D' U2 L R
R2 D' F2 D' U2 R L
R2 D' F2 D2 U2 L R
R2 D' F2 D2 U2 R L
B2 U' R' B2 L' U2 B2
B2 U' R2 D2 F2 L' R
B2 U' R2 D2 F2 R L'
U2 D' F2 U L R F2
U2 D' F2 U R L F2
U2 D' F2 U R F2 L
L2 D2 L U2 L2 D' B2
R' D2 L' U' R U' L2
B2 U' D2 R2 F2 L' R
B2 U' D2 R2 F2 R L'
B2 U' D2 F2 R D2 L2
R2 D2 L' U L' U L'
R D2 L' U' R' U' L2
B2 U' F2 R D2 L2 F2
B2 U' F2 R D2 F2 L2
D' U2 L2 D' B2 L' R'
D' U2 L2 D' B2 R' L'
D2 U2 L2 D' B2 L' R'
D2 U2 L2 D' B2 R' L'
L' D2 R2 U D2 L2 U
U D2 L' U2 L2 D F2
L' D2 R2 U' R2 U' D
L' D2 R2 U' R2 U' D'
L' D2 R2 U' R2 U' D2
L' D2 R2 U' R2 D U'
L' D2 R2 U' R2 D' U'
L' D2 R2 U' R2 D2 U'
F2 U' B U' R B' L
L' D2 R2 U2 D B2 D
L' D2 R2 U2 D B2 D'
L' D2 R2 U2 D B2 D2
F2 U' B U' B' L R
F2 U' B U' B' R L
L' D2 R2 U2 B D B2
L' D2 R2 U2 B' D B2
L' D2 R2 U2 B2 D B2
L' D2 R2 D U2 B2 D
L' D2 R2 D U2 B2 D'
L' D2 R2 D U2 B2 D2
L' D2 R2 D F U2 B2
L' D2 R2 D F' U2 B2
L' D2 R2 D F2 U2 B2
L' D2 R2 D' F2 U2 D
L' D2 R2 D' F2 U2 D'
L' D2 R2 D' F2 U2 D2
L' D2 R2 D' F2 D U2
L' D2 R2 D' F2 D' U2
L' D2 R2 D' F2 D2 U2
U2 D2 L2 D' B2 L' R'
U2 D2 L2 D' B2 R' L'
L' D2 R2 D2 U L2 U
L' D2 R2 F U' R2 U'
L' D2 R2 F U2 D B2
L' D2 R2 F D U2 B2
L' D2 R2 F D' F2 U2
L' D2 R2 F' U' R2 U'
L' D2 R2 F' U2 D B2
L' D2 R2 F' D U2 B2
L' D2 R2 F' D' F2 U2
L' D2 R2 F2 U' R2 U'
L' D2 R2 F2 U2 D B2
L' D2 R2 F2 D U2 B2
L' D2 R2 F2 D' F2 U2
D U2 L2 D' B2 L' R'
D U2 L2 D' B2 R' L'
F U' B U' B' L R'
F U' B U' B' R' L
B U' B' L' U2 L2 B
B U' B' L' U2 B L2
B2 U' B2 L' U2 L2 B2
B2 U' B2 L' U2 B2 L2
L D2 R2 D B2 D2 F2
F2 U' B2 U' B2 L R
F2 U' B2 U' B2 R L
F2 U2 L R U' L' U
F2 U2 L U' L' U R
L' D2 F R2 U' R2 U'
L' D2 F R2 U2 D B2
L' D2 F R2 D U2 B2
L' D2 F R2 D' F2 U2
F U2 L U' L' B' U
F2 U2 L2 R D' L' B2
F2 U2 L2 R D' B2 L'
L' D2 F' R2 U' R2 U'
L' D2 F' R2 U2 D B2
L' D2 F' R2 D U2 B2
L' D2 F' R2 D' F2 U2
F2 U2 L2 D' L' R B2
F2 U2 L2 D' L' B2 R
F2 U2 L2 D' R L' B2
F2 U2 L2 D' R B2 L'
F2 U2 L2 D' B2 L' R
F2 U2 L2 D' B2 R L'
D' U2 F2 U L R F2
D' U2 F2 U R L F2
D' U2 F2 U R F2 L
D2 U2 F2 U L R F2
D2 U2 F2 U R L F2
D2 U2 F2 U R F2 L
F2 U2 R L U' L' U
L' D2 F2 R2 U' R2 U'
L' D2 F2 R2 U2 D B2
L' D2 F2 R2 D U2 B2
L' D2 F2 R2 D' F2 U2
F2 U2 R L2 D' L' B2
F2 U2 R L2 D' B2 L'
U2 D2 F2 U L R F2
U2 D2 F2 U R L F2
U2 D2 F2 U R F2 L
D U2 F2 U L R F2
D U2 F2 U R L F2
D U2 F2 U R F2 L
L D2 B' R2 D F' B2
L D2 B' R2 D B2 F'
L D2 B' R2 F' D B2
F2 U2 F U L F' R
F2 U2 F U F' L R
F2 U2 F U F' R L
F' U2 F' U R F L
L' F R U' R' U' L2
L F L2 U2 L2 D' B2
L' F R' U' R U' L2
F2 U2 F2 U F2 L R
F2 U2 F2 U F2 R L
L' F R2 U' R2 U' L2
L' F R2 U2 L2 D B2
U2 F U L F' D R2
L' F U F' U L2 B'
L' F U' D' B2 U' B2
L' F U' B U' B' L2
L' F U' B' U' L2 B
L' F U' B' U' B L2
L' F U' B2 U' L2 B2
L' F U' B2 U' B2 L2
L' F U2 L2 U' L2 U
L' F U2 L2 D' B2 D
L' F U2 L2 D' B2 D'
L' F U2 L2 D' B2 D2
L' F U2 L2 B D' B2
R' F U2 D' L B' R'
L' F U2 L2 B' D' B2
L' F U2 L2 B2 D' B2
L' F U2 B L2 D' B2
L' F U2 B' L2 D' B2
L' F U2 B2 L2 D' B2
R F U' R' F' U' L
B2 D L2 U L R' U2
B2 D L2 U R' L U2
R' F D' U2 L B' R'
L' F D' U' B2 U' B2
B2 D L2 B2 U' L R'
B2 D L2 B2 U' R' L
L' F D2 R2 U' R2 U'
L' F D2 R2 U2 D B2
L' F D2 R2 D U2 B2
L' F D2 R2 D' F2 U2
U' F' L F' D R F'
L' F' R U' R' U' L2
L F' L2 U2 L2 D' B2
L' F' R' U' R U' L2
L' F' R2 U' R2 U' L2
L' F' R2 U2 L2 D B2
L' F' U F' U L2 B'
U2 F' U F L D2 R2
U2 F' U F' L R F2
U2 F' U F' R L F2
U2 F' U F' R F2 L
L' F' U' D' B2 U' B2
L' F' U' B U' B' L2
L' F' U' B' U' L2 B
L' F' U' B' U' B L2
L' F' U' B2 U' L2 B2
L' F' U' B2 U' B2 L2
L' F' U2 L2 U' L2 U
L' F' U2 L2 D' B2 D
L' F' U2 L2 D' B2 D'
L' F' U2 L2 D' B2 D2
L' F' U2 L2 B D' B2
L' F' U2 L2 B' D' B2
L' F' U2 L2 B2 D' B2
L' F' U2 B L2 D' B2
L' F' U2 B' L2 D' B2
L' F' U2 B2 L2 D' B2
U F' U' F L' U2 L2
L' F' D' U' B2 U' B2
L' F' D2 R2 U' R2 U'
L' F' D2 R2 U2 D B2
L' F' D2 R2 D U2 B2
L' F' D2 R2 D' F2 U2
U' F2 L R U L' U'
U' F2 L U L' U' R
L2 F2 L R U' R' U'
U' F2 L2 R D L' F2
U' F2 L2 D L' R F2
U' F2 L2 D R L' F2
U' F2 R L U L' U'
U' F2 R L2 D L' F2
L' F2 R U' R' U' L2
L2 F2 R L U' R' U'
L F2 L2 U2 L2 D' B2
L' F2 R' U' R U' L2
U2 F2 R' U L R2 F2
U2 F2 R' U L F2 R2
U2 F2 R' U R2 L F2
U2 F2 R' U R2 F2 L
U2 F2 R' U F2 L R2
U2 F2 R' U F2 R2 L
L' F2 R2 U' R2 U' L2
L' F2 R2 U2 L2 D B2
U2 F2 R2 U L R' F2
U2 F2 R2 U L F2 R'
U2 F2 R2 U R' L F2
U2 F2 R2 U R' F2 L
R' F2 U L' U L2 R
R' F2 U L' U R L2
U2 F2 R2 U F2 L R'
U2 F2 R2 U F2 R' L
U2 F2 U L R F2 D
U2 F2 U L R F2 D'
U2 F2 U L R F2 D2
U2 F2 U L R' F2 R2
U2 F2 U L R2 F2 R'
L' F2 U F' U L2 B'
U2 F2 U L' R F2 L2
U2 F2 U R L F2 D
U2 F2 U R L F2 D'
U2 F2 U R L F2 D2
U2 F2 U R L' F2 L2
U2 F2 U R F' L F'
U2 F2 U R F2 L D
U2 F2 U R F2 L D'
U2 F2 U R F2 L D2
U2 F2 U R F2 D L
U2 F2 U R F2 D' L
U2 F2 U R F2 D2 L
U2 F2 U R' L F2 R2
U2 F2 U R' F2 L R2
U2 F2 U R' F2 R2 L
U2 F2 U R2 L F2 R'
U2 F2 U R2 F2 L R'
U2 F2 U R2 F2 R' L
U2 F2 U F2 L D2 R2
L' F2 U' D' B2 U' B2
R' F2 U2 L R D' B2
R' F2 U2 L D' R B2
R' F2 U2 L D' B2 R
L' F2 U' B U' B' L2
U F2 U L R D2 B2
U F2 U L D2 R B2
U F2 U L D2 B2 R
L' F2 U' B' U' L2 B
L' F2 U' B' U' B L2
R' F2 U2 R L D' B2
L' F2 U' B2 U' L2 B2
L' F2 U' B2 U' B2 L2
U F2 U R L D2 B2
U F2 U R D2 L B2
L' F2 U2 L2 U' L2 U
L' F2 U2 L2 D' B2 D
L' F2 U2 L2 D' B2 D'
L' F2 U2 L2 D' B2 D2
L' F2 U2 L2 B D' B2
L' F2 U2 L2 B' D' B2
L' F2 U2 L2 B2 D' B2
U F2 U D2 L R B2
U F2 U D2 L B2 R
U F2 U D2 R L B2
R2 F2 U' R2 U' L R'
R2 F2 U' R2 U' R' L
L' F2 U2 B L2 D' B2
L' F2 U2 B' L2 D' B2
L' F2 U2 B2 L2 D' B2
R2 F2 U2 L D R B2
R2 F2 U2 L D B2 R
R2 F2 U2 D L R B2
R2 F2 U2 D L B2 R
R2 F2 U2 D R L B2
R F2 U' R' U' L R2
R F2 U' R' U' R2 L
U F2 U' F2 L' U2 L2
U2 F2 D R2 U L R'
U2 F2 D R2 U R' L
R F2 U2 L R D B2
R F2 U2 R L D B2
R F2 U2 R D L B2
L' F2 D' U' B2 U' B2
R2 F2 D U2 L R B2
R2 F2 D U2 L B2 R
R2 F2 D U2 R L B2
L' F2 D2 R2 U' R2 U'
L' F2 D2 R2 U2 D B2
L' F2 D2 R2 D U2 B2
L' F2 D2 R2 D' F2 U2
R2 F2 D' F2 L' U2 L2
U F2 D' L2 U L' R
U F2 D' L2 U R L'
U' F2 B U' R B' L
U' F2 B U' B' L R
U' F2 B U' B' R L
U F2 D2 U L R B2
U F2 D2 U L B2 R
U F2 D2 U R L B2
U' F2 B2 U' B2 L R
U' F2 B2 U' B2 R L
B2 D2 U L' R' U2 F2
B2 D2 U R' L' U2 F2
B2 D2 U R' U2 F2 R
B2 D2 U' R2 F2 L' R
B2 D2 U' R2 F2 R L'
B2 D2 U' F2 R D2 L2
D2 B U B' L' U2 L2
D' B U B' L' U2 L2
B2 D2 B2 U' F2 L R
B2 D2 B2 U' F2 R L
U' B U' B' L D2 R2
L2 B U B' L U2 L2
L' B U2 L2 D' F B2
L' B U2 L2 D' B2 F
L' B U2 L2 F D' B2
D B U B' L' U2 L2
U' B F2 U' R B' L
U' B F2 U' B' L R
U' B F2 U' B' R L
F2 B U B' U2 L R
F2 B U B' U2 R L
L B' D2 R2 D F' B2
L B' D2 R2 D B2 F'
L B' D2 R2 F' D B2
U B2 L' R' U R U
U2 B2 L2 D' B2 L R'
U2 B2 L2 D' B2 R' L
U' B2 U L' R' U2 B2
U' B2 U L' U2 B2 L
U' B2 U R' L' U2 B2
D2 B2 U L' R' B2 U2
D2 B2 U L' B2 U2 L
D' B2 U L' R' B2 U2
D2 B2 U R' L' B2 U2
D' B2 U L' B2 U2 L
D2 B2 U R' B2 L' U2
U B2 R' L' U R U
D' B2 U R' L' B2 U2
D' B2 U R' B2 L' U2
U' B2 U' L2 B2 L R'
U' B2 U' L2 B2 R' L
D2 B2 U B2 L' U2 L2
D' B2 U B2 L' U2 L2
U' B2 U' B2 L D2 R2
D B2 U L' R' B2 U2
D B2 U L' B2 U2 L
L2 B2 U B2 L U2 L2
D B2 U R' L' B2 U2
L2 B2 U' L' R' D2 F2
L2 B2 U' L' D2 R' F2
L2 B2 U' L' D2 F2 R'
D B2 U R' B2 L' U2
L2 B2 U' R' L' D2 F2
L2 B2 U' R' D2 L' F2
L2 B2 U' D2 L' R' F2
L2 B2 U' D2 L' F2 R'
L2 B2 U' D2 R' L' F2
D B2 U B2 L' U2 L2
B2 F2 U R' B2 U2 R2
F2 B2 U R' B2 U2 R2
B2 F2 U B2 U2 L R
B2 F2 U B2 U2 R L
L2 B2 D L2 U' L R'
L2 B2 D L2 U' R' L
F2 B2 U B2 U2 L R
F2 B2 U B2 U2 R L
B2 F2 U' R D2 L2 F2
B2 F2 U' R D2 F2 L2
F2 B2 U' R D2 L2 F2
F2 B2 U' R D2 F2 L2
B F2 U B' U2 L R
B F2 U B' U2 R L
L B2 D L2 F2 U' L2
L B2 D F2 L2 U' L2
L2 B2 D2 U' L' R' F2
L2 B2 D2 U' L' F2 R'
L2 B2 D2 U' R' L' F2
L B2 D2 R2 F2 D B2
U' B2 F2 U' B2 L R
U' B2 F2 U' B2 R L
L B2 D2 F2 R2 D B2
