U' L D R2 F'
U' D L R2 F'
U' D R2 L F'
U' D R2 F' L
D U' L R2 F'
D U' R2 L F'
D U' R2 F' L
L D R2 B2 D F' B2
L D R2 B2 D B2 F'
L D R2 B2 F' D B2
L2 D U B U2 L' R2
L2 D U B U2 R2 L'
L' D U' R2 D' L2 F'
L' D U' R2 D' F' L2
L2 D U' L R2 F' L2
L2 D U' L' R2 D F'
L2 D U' L' R2 D' F'
L2 D U' L' R2 D2 F'
L2 D U' L' R2 F' D
L2 D U' L' R2 F' D'
L2 D U' L' R2 F' D2
L2 D U' L' F R2 F'
L2 D U' L' F' R2 F'
L2 D U' L' F2 R2 F'
U' D L R' D R' F'
L2 D U' L2 R2 F' L
U' D L R' D' R' F'
U' D L R' D2 R' F'
U' D L R' F R' F'
U' D L R' F' R' F'
U' D L R' F2 R' F'
R2 D U' L F' R2 B2
R2 D U' L F' B2 R2
R2 D U' L B2 F' R2
U' D L R2 D F' D
U' D L R2 D F' D'
U' D L R2 D F' D2
U' D L R2 D' F' D
U' D L R2 D' F' D'
U' D L R2 D' F' D2
U' D L R2 D2 F' D
U' D L R2 D2 F' D'
U' D L R2 D2 F' D2
U' D L R2 F2 D F
U' D L R2 F2 D' F
U' D L R2 F2 D2 F
L2 D U' R2 L F' L2
L2 D U' R2 L' D F'
L2 D U' R2 L' D' F'
L2 D U' R2 L' D2 F'
L2 D U' R2 L' F' D
L2 D U' R2 L' F' D'
L2 D U' R2 L' F' D2
L2 D U' R2 L2 F' L
L2 D U' R2 D L' F'
L2 D U' R2 D' L' F'
L2 D U' R2 D2 L' F'
L2 D U' F R2 F' L'
U' D L U2 B U2 R2
D R2 B2 D F' B2 L
D R2 B2 D B2 L F'
D R2 B2 D B2 F' L
R2 D U' F' L R2 B2
R2 D U' F' L B2 R2
R2 D U' F' R2 L B2
U' D L F R2 D F'
U' D L F R2 D' F'
U' D L F R2 D2 F'
U' D L F R2 F' D
U' D L F R2 F' D'
U' D L F R2 F' D2
U' D L F' R2 D F'
U' D L F' R2 D' F'
U' D L F' R2 D2 F'
U' D L F' R2 F' D
U' D L F' R2 F' D'
U' D L F' R2 F' D2
U' D L F2 R2 D F'
U' D L F2 R2 D' F'
U' D L F2 R2 D2 F'
U' D L F2 R2 F' D
U' D L F2 R2 F' D'
U' D L F2 R2 F' D2
D R2 B2 F' D B2 L
L' D U2 F2 U R2 F'
R2 D U2 L F' R2 B2
R2 D U2 L F' B2 R2
R2 D U2 L B2 F' R2
U' D L' R2 F L2 F2
F2 U L B L' U2 L
U' D L' R2 F' L2 D
U' D L' R2 F' L2 D'
U' D L' R2 F' L2 D2
R2 D U2 F' L R2 B2
R2 D U2 F' L B2 R2
R2 D U2 F' R2 L B2
D U L F R2 F' B
D U L F R2 B F'
U' D L' F L2 R2 F'
U' D L' F R2 L2 F'
U' D L' F R2 F' L2
U' D L' F' L2 R2 F'
U' D L' F' R2 L2 F'
U' D L' F' R2 F' L2
U' D L' F2 L2 R2 F'
D' U L' B L' U2 L'
R2 D F L R2 F2 B2
R2 D F L R2 B2 F2
U' D L' F2 R2 L2 F'
U' D L' F2 R2 F' L2
R2 D F L F2 R2 B2
R2 D F L F2 B2 R2
R2 D F L B2 R2 F2
R2 D F L B2 F2 R2
U D L F R2 F' B
U D L F R2 B F'
D U L' R2 F' L2 B'
D' U L2 R2 U2 L' F'
R2 D F R2 L F2 B2
R2 D F R2 L B2 F2
U' D L2 R2 D L' F'
U' D L2 R2 D' L' F'
U' D L2 R2 D2 L' F'
R2 D F R2 F2 L B2
D U L' U2 L2 R2 F'
D U L' U2 R2 L2 F'
D U L' U2 R2 F' L2
D' U L2 D B U2 L'
D' U L2 D' B U2 L'
U D L' R2 F' L2 B'
D' U L2 D2 B U2 L'
U' D L2 F R2 F' L'
U D L' U2 L2 R2 F'
U D L' U2 R2 L2 F'
U D L' U2 R2 F' L2
L D F R2 D F' B2
L D F R2 D B2 F'
L D F R2 F' D B2
D U L' B U2 L2 R2
D U L' B U2 R2 L2
R2 D F B2 R2 F2 L'
D' U L2 B R U2 L'
D' U L2 B R' U2 L'
D' U L2 B R2 U2 L'
R2 D F' L R B2 R
R2 D F' L R2 B2 D
R2 D F' L R2 B2 D'
R2 D F' L R2 B2 D2
D' U L2 B U2 L' D
D' U L2 B U2 L' D'
D' U L2 B U2 L' D2
D' U L2 B U2 D L'
D' U L2 B U2 D' L'
D' U L2 B U2 D2 L'
D' U L2 B D U2 L'
D' U L2 B D' U2 L'
D' U L2 B D2 U2 L'
R2 D F' L B' R2 B'
R2 D F' L B2 R2 D
R2 D F' L B2 R2 D'
R2 D F' L B2 R2 D2
R2 D F' L' R2 B2 L2
R2 D F' L' B2 L2 R2
R2 D F' L' B2 R2 L2
R2 D F' L2 R2 B2 L'
R2 D F' L2 B2 L' R2
R2 D F' L2 B2 R2 L'
R2 D F' R L B2 R
R2 D F' R2 L B2 D
R2 D F' R2 L B2 D'
R2 D F' R2 L B2 D2
R2 D F' R2 L' B2 L2
R2 D F' R2 L2 B2 L'
U D L' B U2 L2 R2
U D L' B U2 R2 L2
F2 U L2 B L2 U2 L
D U L2 U2 L' R2 F'
D U L2 U2 R2 L' F'
U D L2 U2 L' R2 F'
U D L2 U2 R2 L' F'
U2 D R U L R F'
U2 D R U R L F'
U2 D R U R F' L
D U L2 B U2 L' R2
D U L2 B U2 R2 L'
L D F' R2 D F' B2
L D F' R2 D B2 F'
L D F' R2 F' D B2
U' D R' L D R' F'
U' D R' L D' R' F'
U' D R' L D2 R' F'
U' D R' L F R' F'
U' D R' L F' R' F'
U' D R' L F2 R' F'
R2 D F2 R2 F L B2
U D L2 B U2 L' R2
U D L2 B U2 R2 L'
D U R U2 L R F'
D U R U2 R L F'
D U R U2 R F' L
F2 U R B2 R' B U2
U' D R' D L R' F'
U' D R' D R' L F'
U' D R' D R' F' L
U' D R' D' L R' F'
U' D R' D' R' L F'
U' D R' D' R' F' L
U' D R' D2 L R' F'
U' D R' D2 R' L F'
U' D R' D2 R' F' L
U' D R' F L R' F'
U' D R' F R' L F'
U' D R' F R' F' L
U D R U2 L R F'
U' D R' F' L R' F'
U D R U2 R L F'
U D R U2 R F' L
U' D R' F' R' L F'
U' D R' F' R' F' L
F2 U R' U2 L D F
F2 U R' U2 L D' F
F2 U R' U2 L D2 F
F2 U R' U2 L F D
F2 U R' U2 L F D'
F2 U R' U2 L F D2
F2 U R' U2 D L F
F2 U R' U2 D' L F
F2 U R' U2 D2 L F
U' D R' F2 L R' F'
F2 U R' U2 F L F
F2 U R' U2 F' L F
F2 U R' U2 F2 L F
U' D R' F2 R' L F'
U' D R' F2 R' F' L
B2 U R' D B' U2 R2
L D F2 R2 D F' B2
L D F2 R2 D B2 F'
B2 U R' D' L2 U2 F
L D F2 R2 F' D B2
F2 U R' D U2 L F
B2 U R' D' B' L2 U2
F2 U R' D' U2 L F
F2 U R' D2 U2 L F
U' D R2 L D F' D
U' D R2 L D F' D'
U' D R2 L D F' D2
U' D R2 L D' F' D
U' D R2 L D' F' D'
U' D R2 L D' F' D2
U' D R2 L D2 F' D
U' D R2 L D2 F' D'
U' D R2 L D2 F' D2
U' D R2 L F2 D F
U' D R2 L F2 D' F
U' D R2 L F2 D2 F
D' U R2 L2 U2 L' F'
U' D R2 L' F L2 F2
U' D R2 L' F' L2 D
U' D R2 L' F' L2 D'
U' D R2 L' F' L2 D2
U' D R2 L2 D L' F'
U' D R2 L2 D' L' F'
U' D R2 L2 D2 L' F'
B2 U R' B' U' F2 U'
B2 U R' B' U2 D R2
B2 U R' B' D U2 R2
B2 U R' B' D' L2 U2
D U R' U2 L R' F
D U R' U2 L F R'
D U R' U2 R' L F
F2 U R' B2 R' U2 F'
U' D R2 D L D F'
U' D R2 D L D' F'
U' D R2 D L D2 F'
U' D R2 D L F' D
U' D R2 D L F' D'
U' D R2 D L F' D2
U' D R2 D L' F' L2
U' D R2 D F L F2
U' D R2 D F' L D
U' D R2 D F' L D'
U' D R2 D F' L D2
U' D R2 D F' D L
U' D R2 D F' D' L
U' D R2 D F' D2 L
U' D R2 D' L D F'
U' D R2 D' L D' F'
U' D R2 D' L D2 F'
U' D R2 D' L F' D
U' D R2 D' L F' D'
U' D R2 D' L F' D2
U' D R2 D' L' F' L2
U' D R2 D' F L F2
U' D R2 D' F' L D
U' D R2 D' F' L D'
U' D R2 D' F' L D2
U' D R2 D' F' D L
U' D R2 D' F' D' L
U' D R2 D' F' D2 L
U' D R2 D2 L D F'
U' D R2 D2 L D' F'
U' D R2 D2 L D2 F'
U' D R2 D2 L F' D
U' D R2 D2 L F' D'
U' D R2 D2 L F' D2
U' D R2 D2 L' F' L2
U' D R2 D2 F L F2
U' D R2 D2 F' L D
U' D R2 D2 F' L D'
U' D R2 D2 F' L D2
U' D R2 D2 F' D L
U' D R2 D2 F' D' L
U' D R2 D2 F' D2 L
U' D R2 F L F2 D
U' D R2 F L F2 D'
U' D R2 F L F2 D2
U' D R2 F L' F2 L2
U D R' U2 L R' F
U D R' U2 L F R'
U' D R2 F' L2 D L'
U' D R2 F' L2 D' L'
U' D R2 F' L2 D2 L'
U D R' U2 R' L F
U' D R2 F' D L D
U' D R2 F' D L D'
U' D R2 F' D L D2
U' D R2 F' D' L D
U' D R2 F' D' L D'
U' D R2 F' D' L D2
F2 U R2 U2 L D F'
F2 U R2 U2 L D' F'
F2 U R2 U2 L D2 F'
U' D R2 F' D2 L D
U' D R2 F' D2 L D'
U' D R2 F' D2 L D2
F2 U R2 U2 L F' D
F2 U R2 U2 L F' D'
F2 U R2 U2 L F' D2
F2 U R2 U2 L' F' L2
F2 U R2 U2 D L F'
F2 U R2 U2 D F' L
F2 U R2 U2 D' L F'
F2 U R2 U2 D' F' L
F2 U R2 U2 D2 L F'
F2 U R2 U2 D2 F' L
F2 U R2 U2 F L F2
F2 U R2 U2 F' L D
F2 U R2 U2 F' L D'
F2 U R2 U2 F' L D2
F2 U R2 U2 F' D L
F2 U R2 U2 F' D' L
F2 U R2 U2 F' D2 L
U' D R2 F2 D F L
U' D R2 F2 D' F L
U' D R2 F2 D2 F L
F2 U R2 D U2 L F'
F2 U R2 D U2 F' L
F2 U R2 D' U2 L F'
F2 U R2 D' U2 F' L
F2 U R2 D2 U2 L F'
F2 U R2 D2 U2 F' L
U' D F L R2 D F'
U' D F L R2 D' F'
U' D F L R2 D2 F'
U' D F L R2 F' D
U' D F L R2 F' D'
U' D F L R2 F' D2
D U R2 L' F' L2 B'
U' D F L F R2 F'
U' D F L F' R2 F'
U' D F L F2 R2 F'
U' D F L' R2 F' L2
F2 U R2 B' U2 F' L'
U' D F R2 L D F'
U' D F R2 L D' F'
U' D F R2 L D2 F'
U' D F R2 L F' D
U' D F R2 L F' D'
U' D F R2 L F' D2
U' D F R2 L' F' L2
U' D F R2 D L F'
U' D F R2 D F' L
U' D F R2 D' L F'
U' D F R2 D' F' L
U' D F R2 D2 L F'
U' D F R2 D2 F' L
U' D F R2 F L F2
U' D F R2 F' L D
U' D F R2 F' L D'
U' D F R2 F' L D2
U' D F R2 F' D L
U' D F R2 F' D' L
U' D F R2 F' D2 L
U D R2 L' F' L2 B'
D U R2 F' L2 B' L'
F2 U D R' U2 L F
F2 U D R2 U2 L F'
F2 U D R2 U2 F' L
D U F L R2 F' B
D U F L R2 B F'
U2 D F U L R2 F'
U2 D F U R2 L F'
U2 D F U R2 F' L
U' D F' L R2 D F'
U' D F' L R2 D' F'
U' D F' L R2 D2 F'
U' D F' L R2 F' D
U' D F' L R2 F' D'
U' D F' L R2 F' D2
U D R2 F' L2 B' L'
U' D F' L F R2 F'
U' D F' L F' R2 F'
U' D F' L F2 R2 F'
U' D F' L' R2 F' L2
F2 U D B2 R' B' U2
B2 U D' L2 R' U2 F
D U F R2 L F' B
D U F R2 L B F'
D U F R2 F' L B
U' D F' R2 L D F'
U' D F' R2 L D' F'
U' D F' R2 L D2 F'
U' D F' R2 L F' D
U' D F' R2 L F' D'
U' D F' R2 L F' D2
U' D F' R2 L' F' L2
U' D F' R2 D L F'
U' D F' R2 D F' L
U D F L R2 F' B
U D F L R2 B F'
U' D F' R2 D' L F'
U' D F' R2 D' F' L
U' D F' R2 D2 L F'
U' D F' R2 D2 F' L
U' D F' R2 F L F2
U' D F' R2 F' L D
U' D F' R2 F' L D'
U' D F' R2 F' L D2
U' D F' R2 F' D L
U' D F' R2 F' D' L
U' D F' R2 F' D2 L
B2 U D' R' L2 U2 F
B2 U D' R' B' L2 U2
F2 U D' R' U2 L F
F2 U D' R2 U2 L F'
F2 U D' R2 U2 F' L
R2 D B2 F R2 F2 L'
U D F R2 L F' B
U D F R2 L B F'
U D F R2 F' L B
U2 D F' U L R2 F'
U2 D F' U R2 L F'
U' D F2 L R2 D F'
U' D F2 L R2 D' F'
U' D F2 L R2 D2 F'
U' D F2 L R2 F' D
U' D F2 L R2 F' D'
U' D F2 L R2 F' D2
U2 D F' U R2 F' L
F2 U D' B2 R' B' U2
U' D F2 L F R2 F'
U' D F2 L F' R2 F'
U' D F2 L F2 R2 F'
U' D F2 L' R2 F' L2
U' D F2 R2 L D F'
U' D F2 R2 L D' F'
U' D F2 R2 L D2 F'
U' D F2 R2 L F' D
U' D F2 R2 L F' D'
U' D F2 R2 L F' D2
U' D F2 R2 L' F' L2
U' D F2 R2 D L F'
U' D F2 R2 D F' L
U' D F2 R2 D' L F'
U' D F2 R2 D' F' L
U' D F2 R2 D2 L F'
F2 U D2 R' U2 L F
U' D F2 R2 D2 F' L
U' D F2 R2 F L F2
U' D F2 R2 F' L D
U' D F2 R2 F' L D'
U' D F2 R2 F' L D2
U' D F2 R2 F' D L
U' D F2 R2 F' D' L
U' D F2 R2 F' D2 L
R2 D' L D2 F' B2 R'
R2 D' L D2 B2 F' R'
F2 U D2 R2 U2 L F'
F2 U D2 R2 U2 F' L
F2 U D2 B2 R' B' U2
U2 D F2 U L R2 F'
U2 D F2 U R2 L F'
U2 D F2 U R2 F' L
U' D B U2 R2 B' L
U' D B U2 B' L R2
U' D B U2 B' R2 L
R2 D' L2 F2 R U2 F
D' U B2 L2 R' U2 F
D' U B2 R' L2 U2 F
D' U B2 R' B' L2 U2
D2 U' L R2 D' F' R2
D2 U' L R2 F' D' R2
D' U' L U2 L B U2
U' D' L U2 L B U2
F2 U B U' B' U' L
D2 U' L D' R2 D F'
D2 U' L D' R2 D' F'
D2 U' L D' R2 D2 F'
D2 U' L D' R2 F' D
D2 U' L D' R2 F' D'
D2 U' L D' R2 F' D2
D2 U' L D' F R2 F'
D2 U' L D' F' R2 F'
D2 U' L D' F2 R2 F'
F2 U B U2 B' L B
D2 U' L F D' R2 F'
D2 U' L F' D' R2 F'
D2 U' L F2 D' R2 F'
D U' L R' D R' F'
D U' L R' D' R' F'
D U' L R' D2 R' F'
D U' L R' F R' F'
D U' L R' F' R' F'
D U' L R' F2 R' F'
D U' L R2 D F' D
D U' L R2 D F' D'
D U' L R2 D F' D2
D U' L R2 D' F' D
D U' L R2 D' F' D'
D U' L R2 D' F' D2
D U' L R2 D2 F' D
D U' L R2 D2 F' D'
D U' L R2 D2 F' D2
D U' L R2 F2 D F
D U' L R2 F2 D' F
D U' L R2 F2 D2 F
D U' L U2 B U2 R2
D U' L F R2 D F'
D U' L F R2 D' F'
D U' L F R2 D2 F'
D U' L F R2 F' D
D U' L F R2 F' D'
D U' L F R2 F' D2
D U' L F' R2 D F'
D U' L F' R2 D' F'
D U' L F' R2 D2 F'
D U' L F' R2 F' D
D U' L F' R2 F' D'
D U' L F' R2 F' D2
D U' L F2 R2 D F'
D U' L F2 R2 D' F'
D U' L F2 R2 D2 F'
D U' L F2 R2 F' D
D U' L F2 R2 F' D'
D U' L F2 R2 F' D2
F2 U B2 R B' R2 U2
D U' L' R2 F L2 F2
D U' L' R2 F' L2 D
D U' L' R2 F' L2 D'
D U' L' R2 F' L2 D2
F2 U B2 R' D B' U2
F2 U B2 R' D' B' U2
F2 U B2 R' D2 B' U2
L2 D' U B L2 U2 L
F2 U B2 R' B' U2 D
F2 U B2 R' B' U2 D'
F2 U B2 R' B' U2 D2
F2 U B2 R' B' D U2
F2 U B2 R' B' D' U2
F2 U B2 R' B' D2 U2
F2 U B2 R2 B' R U2
D2 U' L2 D' L' R2 F'
D2 U' L2 D' R2 L' F'
F2 U B2 D R' B' U2
F2 U B2 D' R' B' U2
D U' L' F L2 R2 F'
D U' L' F R2 L2 F'
D U' L' F R2 F' L2
F2 U B2 D2 R' B' U2
D U' L' F' L2 R2 F'
D U' L' F' R2 L2 F'
U' D' L2 B U2 B' L'
D U' L' F' R2 F' L2
D' U' L2 B U2 B' L'
D U' L' F2 L2 R2 F'
D U' L' F2 R2 L2 F'
D U' L' F2 R2 F' L2
F2 U' L R2 F R2 F2
F2 U' L R2 F' R2 D
F2 U' L R2 F' R2 D'
F2 U' L R2 F' R2 D2
F2 U' L R2 F2 R2 F
D U' L2 R2 D L' F'
D U' L2 R2 D' L' F'
D U' L2 R2 D2 L' F'
F2 U' L U' R2 U F'
U D' L' B L' U2 L'
F' U' L F D R2 F'
F2 U' L U2 D B U2
F2 U' L U2 D' B U2
F2 U' L U2 D2 B U2
F2 U' L U2 B U2 D
F2 U' L U2 B U2 D'
F2 U' L U2 B U2 D2
F2 U' L U2 B D U2
F2 U' L U2 B D' U2
F2 U' L U2 B D2 U2
F2 U' L D R2 F' R2
F2 U' L D U2 B U2
F2 U' L D' R2 F' R2
F2 U' L D' U2 B U2
F2 U' L D2 R2 F' R2
F2 U' L D2 U2 B U2
U D' L2 R2 U2 L' F'
F2 U' L F R2 F' R2
F2 U' L F U2 B U2
F2 U' L F' R2 F' R2
F2 U' L F' U2 B U2
D U' L2 F R2 F' L'
F2 U' L F2 R2 F' R2
F2 U' L F2 U2 B U2
U D' L2 D B U2 L'
F2 U' L B' D2 F2 B
F2 U' L B' D2 B F2
U D' L2 D' B U2 L'
U D' L2 D2 B U2 L'
F2 U' L' R2 F' L2 R2
F2 U' L' R2 F' R2 L2
F U' L R2 D F' R
U D' L2 B R U2 L'
U D' L2 B R' U2 L'
U D' L2 B R2 U2 L'
U D' L2 B U2 L' D
U D' L2 B U2 L' D'
U D' L2 B U2 L' D2
U D' L2 B U2 D L'
U D' L2 B U2 D' L'
U D' L2 B U2 D2 L'
U D' L2 B D U2 L'
U D' L2 B D' U2 L'
U D' L2 B D2 U2 L'
F2 U' L' U2 B U2 L2
F U' L D R2 F' R
F2 U' L' B2 L2 F B2
F2 U' L' B2 L2 B2 F
D2 U' R2 L D' F' R2
D2 U' R2 L F' D' R2
D U' R' L D R' F'
D U' R' L D' R' F'
D U' R' L D2 R' F'
D U' R' L F R' F'
D U' R' L F' R' F'
D U' R' L F2 R' F'
F2 U' L2 U2 B U2 L'
D' U' R2 D2 L F' R2
U' D' R2 D2 L F' R2
U' D' R2 D2 F' L R2
D' U' R2 D2 F' L R2
U' D' R2 D2 F' R2 L
D' U' R2 D2 F' R2 L
D2 U' R2 D' L F' R2
D U' R' D L R' F'
D U' R' D R' L F'
D2 U' R2 D' F' L R2
D U' R' D R' F' L
D2 U' R2 D' F' R2 L
D U' R' D' L R' F'
D U' R' D' R' L F'
D U' R' D' R' F' L
D' U' R2 F' D2 L R2
U' D' R2 F' D2 L R2
D' U' R2 F' D2 R2 L
U' D' R2 F' D2 R2 L
D U' R' D2 L R' F'
D U' R' D2 R' L F'
D U' R' D2 R' F' L
D2 U' R2 F' L D' R2
D U' R' F L R' F'
D U' R' F R' L F'
D U' R' F R' F' L
D2 U' R2 F' D' L R2
D2 U' R2 F' D' R2 L
D U' R' F' L R' F'
D U' R' F' R' L F'
D U' R' F' R' F' L
D U' R' F2 L R' F'
D U' R' F2 R' L F'
D U' R' F2 R' F' L
D2 U' F L D' R2 F'
D U' R2 L D F' D
D U' R2 L D F' D'
D U' R2 L D F' D2
D U' R2 L D' F' D
D U' R2 L D' F' D'
D U' R2 L D' F' D2
D U' R2 L D2 F' D
D U' R2 L D2 F' D'
D U' R2 L D2 F' D2
R2 D' F' D2 L R2 B
D U' R2 L F2 D F
D U' R2 L F2 D' F
D U' R2 L F2 D2 F
R2 D' F' D2 R2 L B
D U' R2 L' F L2 F2
D U' R2 L' F' L2 D
D U' R2 L' F' L2 D'
D U' R2 L' F' L2 D2
D U' R2 L2 D L' F'
D U' R2 L2 D' L' F'
D U' R2 L2 D2 L' F'
D U' R2 D L D F'
D U' R2 D L D' F'
D U' R2 D L D2 F'
D U' R2 D L F' D
D U' R2 D L F' D'
D U' R2 D L F' D2
D U' R2 D L' F' L2
D U' R2 D F L F2
D U' R2 D F' L D
D U' R2 D F' L D'
D U' R2 D F' L D2
D U' R2 D F' D L
D U' R2 D F' D' L
D U' R2 D F' D2 L
D U' R2 D' L D F'
D U' R2 D' L D' F'
D U' R2 D' L D2 F'
D U' R2 D' L F' D
D U' R2 D' L F' D'
D U' R2 D' L F' D2
D U' R2 D' L' F' L2
R2 D' F2 L2 B' U2 L'
U D' R2 L2 U2 L' F'
D U' R2 D' F L F2
D U' R2 D' F' L D
D U' R2 D' F' L D'
D U' R2 D' F' L D2
D U' R2 D' F' D L
D U' R2 D' F' D' L
D U' R2 D' F' D2 L
D' U' F D2 L R2 F'
D U' R2 D2 L D F'
D U' R2 D2 L D' F'
D U' R2 D2 L D2 F'
D U' R2 D2 L F' D
D U' R2 D2 L F' D'
D U' R2 D2 L F' D2
U' D' F D2 L R2 F'
D U' R2 D2 L' F' L2
D' U' F D2 R2 L F'
D' U' F D2 R2 F' L
U' D' F D2 R2 L F'
U' D' F D2 R2 F' L
D U' R2 D2 F L F2
D U' R2 D2 F' L D
D U' R2 D2 F' L D'
D U' R2 D2 F' L D2
D U' R2 D2 F' D L
D U' R2 D2 F' D' L
D U' R2 D2 F' D2 L
D U' R2 F L F2 D
D U' R2 F L F2 D'
D U' R2 F L F2 D2
D U' R2 F L' F2 L2
D2 U' F D' L R2 F'
D2 U' F D' R2 L F'
D2 U' F D' R2 F' L
D U' R2 F' L2 D L'
D U' R2 F' L2 D' L'
D U' R2 F' L2 D2 L'
D U' R2 F' D L D
D U' R2 F' D L D'
D U' R2 F' D L D2
D U' R2 F' D' L D
D U' R2 F' D' L D'
D U' R2 F' D' L D2
D U' R2 F' D2 L D
D U' R2 F' D2 L D'
D U' R2 F' D2 L D2
D U' R2 F2 D F L
D U' R2 F2 D' F L
D U' R2 F2 D2 F L
D2 U' F' L D' R2 F'
D U' F L R2 D F'
D U' F L R2 D' F'
D U' F L R2 D2 F'
D U' F L R2 F' D
D U' F L R2 F' D'
D U' F L R2 F' D2
D U' F L F R2 F'
D U' F L F' R2 F'
D U' F L F2 R2 F'
D U' F L' R2 F' L2
D U' F R2 L D F'
D U' F R2 L D' F'
D U' F R2 L D2 F'
D U' F R2 L F' D
D U' F R2 L F' D'
D U' F R2 L F' D2
D U' F R2 L' F' L2
D U' F R2 D L F'
D U' F R2 D F' L
D U' F R2 D' L F'
D U' F R2 D' F' L
D U' F R2 D2 L F'
D U' F R2 D2 F' L
D U' F R2 F L F2
D U' F R2 F' L D
D U' F R2 F' L D'
D U' F R2 F' L D2
D U' F R2 F' D L
D U' F R2 F' D' L
D U' F R2 F' D2 L
D' U' F' D2 L R2 F'
U' D' F' D2 L R2 F'
U' D' F' D2 R2 L F'
D' U' F' D2 R2 L F'
U' D' F' D2 R2 F' L
D' U' F' D2 R2 F' L
D2 U' F' D' L R2 F'
D2 U' F' D' R2 L F'
D2 U' F' D' R2 F' L
F2 U' R2 L F R2 F2
F2 U' R2 L F' R2 D
F2 U' R2 L F' R2 D'
F2 U' R2 L F' R2 D2
F2 U' R2 L F2 R2 F
D2 U' F2 L D' R2 F'
F2 U' R2 L' F' L2 R2
F2 U' R2 L' F' R2 L2
D U' F' L R2 D F'
D U' F' L R2 D' F'
D U' F' L R2 D2 F'
D U' F' L R2 F' D
D U' F' L R2 F' D'
D U' F' L R2 F' D2
D U' F' L F R2 F'
D U' F' L F' R2 F'
D U' F' L F2 R2 F'
D U' F' L' R2 F' L2
D U' F' R2 L D F'
D U' F' R2 L D' F'
D U' F' R2 L D2 F'
D U' F' R2 L F' D
D U' F' R2 L F' D'
D U' F' R2 L F' D2
D U' F' R2 L' F' L2
D U' F' R2 D L F'
D U' F' R2 D F' L
D U' F' R2 D' L F'
D U' F' R2 D' F' L
D U' F' R2 D2 L F'
D U' F' R2 D2 F' L
D U' F' R2 F L F2
D U' F' R2 F' L D
D U' F' R2 F' L D'
D U' F' R2 F' L D2
D U' F' R2 F' D L
D U' F' R2 F' D' L
D U' F' R2 F' D2 L
F2 U' R2 F L R2 F2
F2 U' R2 F L F2 R2
D' U' F2 D2 L R2 F'
F2 U' R2 F R2 L F2
F2 U' R2 F R2 F2 L
U' D' F2 D2 L R2 F'
D' U' F2 D2 R2 L F'
D' U' F2 D2 R2 F' L
U' D' F2 D2 R2 L F'
U' D' F2 D2 R2 F' L
F2 U' R2 F' L R2 D
F2 U' R2 F' L R2 D'
F2 U' R2 F' L R2 D2
F2 U' R2 F' R2 L D
F2 U' R2 F' R2 L D'
F2 U' R2 F' R2 L D2
F2 U' R2 F' R2 D L
F2 U' R2 F' R2 D' L
F2 U' R2 F' R2 D2 L
D2 U' F2 D' L R2 F'
D2 U' F2 D' R2 L F'
D2 U' F2 D' R2 F' L
F2 U' R2 F2 R2 F L
F2 U' D L R2 F' R2
F2 U' D L U2 B U2
L' D' B2 U L2 U2 F
F U' R2 L D F' R
L' D' B2 U B' L2 U2
D U' F2 L R2 D F'
D U' F2 L R2 D' F'
D U' F2 L R2 D2 F'
D U' F2 L R2 F' D
D U' F2 L R2 F' D'
D U' F2 L R2 F' D2
D U' F2 L F R2 F'
D U' F2 L F' R2 F'
D U' F2 L F2 R2 F'
D U' F2 L' R2 F' L2
F2 U' D R2 L F' R2
F2 U' D R2 F' L R2
F2 U' D R2 F' R2 L
D U' F2 R2 L D F'
D U' F2 R2 L D' F'
D U' F2 R2 L D2 F'
D U' F2 R2 L F' D
D U' F2 R2 L F' D'
D U' F2 R2 L F' D2
D U' F2 R2 L' F' L2
D U' F2 R2 D L F'
D U' F2 R2 D F' L
D U' F2 R2 D' L F'
D U' F2 R2 D' F' L
D U' F2 R2 D2 L F'
D U' F2 R2 D2 F' L
D U' F2 R2 F L F2
D U' F2 R2 F' L D
D U' F2 R2 F' L D'
D U' F2 R2 F' L D2
D U' F2 R2 F' D L
D U' F2 R2 F' D' L
D U' F2 R2 F' D2 L
F U' R2 F' L D R2
F U' R2 F' D L R2
F U' R2 F' D R2 L
F2 U' D' L R2 F' R2
F2 U' D' L U2 B U2
F2 U' D' R2 L F' R2
F2 U' D' R2 F' L R2
F2 U' D' R2 F' R2 L
F2 U' D2 L R2 F' R2
F2 U' D2 L U2 B U2
D U' B U2 R2 B' L
D U' B U2 B' L R2
D U' B U2 B' R2 L
F2 U' D2 R2 L F' R2
F2 U' D2 R2 F' L R2
F2 U' D2 R2 F' R2 L
F' U' F L D R2 F'
F2 U' F L R2 F' R2
F2 U' F L U2 B U2
F2 U' F R2 L F' R2
F' U' F D L R2 F'
F' U' F D R2 L F'
F' U' F D R2 F' L
F2 U' F R2 F' L R2
F2 U' F R2 F' R2 L
U' D2 L R2 D' F' R2
U' D2 L R2 F' D' R2
U' D2 L D' R2 D F'
U' D2 L D' R2 D' F'
U' D2 L D' R2 D2 F'
U' D2 L D' R2 F' D
U' D2 L D' R2 F' D'
U' D2 L D' R2 F' D2
U' D2 L D' F R2 F'
U' D2 L D' F' R2 F'
U' D2 L D' F2 R2 F'
U' D2 L F D' R2 F'
F2 U' F' L R2 F' R2
F2 U' F' L U2 B U2
U' D2 L F' D' R2 F'
U' D2 L F2 D' R2 F'
