R2 U F' R U2
U R2 F' R U2
D2 U' B' L B2
B2 U' D2 B' L
U' D2 B' L B2
U' F L' F' B
U' F L' B F'
U F U2 L' B
U2 F U L' B
U F U2 B L'
U2 F U B L'
U2 F U B L'
U' F B L' F'
U F2 U2 B L
B2 D2 U' B' L
U' B F L' F'
D2 B' U' L B2
U' B2 D2 B' L
D R' B D' R U' B
D R' B D2 R U' B
B R' B D2 U' B' L
B' R' B' U' D2 B' L
B' R' B' D2 U' B' L
D R' B' R B2 U' B'
R' U2 D' L' F U B'
D R' B2 R B' U' B2
R' U2 D2 L' U B' L
R U2 D' L' F L' U
R' U2 F L U L2 B'
R U2 D' F L' F U
R' U2 F L2 U L B'
R U2 D2 L U B' L
R2 U2 F U L' D2 B2
R2 U2 F U D2 L' B2
R2 U2 F U D2 B2 L'
R2 U2 F U' F2 R U2
R2 U2 F D' L2 U L
U R2 L' F' L R U2
U R2 L' F' R L U2
R2 U2 F D2 U L' B2
R2 U2 F D2 U B2 L'
D' R2 U D F' R U2
D2 R2 U D2 F' R U2
B' R2 U F U2 L' B2
B' R2 U F U2 B2 L'
B' R2 U F' R U2 B2
U R2 L2 F' L2 R U2
U R2 L2 F' R L2 U2
B2 R2 U F U2 B' L'
B2 R2 U F' R U2 B'
D R2 U R2 U2 B L
R U2 F' U' R F' U2
D R2 U D F' U2 L'
D R2 U D' F' U2 L'
D R2 U D2 F' U2 L'
D R2 U F R F2 U2
D R2 U F' R U2 L'
D R2 U F' R' U2 L'
D R2 U F' R2 U2 L'
D R2 U F' U2 L' D
D R2 U F' U2 L' D'
D R2 U F' U2 L' D2
D R2 U F' U2 D L'
D R2 U F' U2 D' L'
D R2 U F' U2 D2 L'
D R2 U F' D U2 L'
D R2 U F' D' U2 L'
D R2 U F' D2 U2 L'
B' R2 U' F L' F' B2
B' R2 U' F L' B2 F'
B' R2 U' F B2 L' F'
B2 R2 U' D2 B' L D
B2 R2 U' D2 B' L D'
B2 R2 U' D2 B' L D2
B2 R2 U' D2 B' D L
B2 R2 U' D2 B' D' L
B2 R2 U' D2 B' D2 L
B2 R2 U' F B' L' F'
B' R2 U' B' D2 B' L
B' R2 U' B2 F L' F'
D R2 U' R2 B L R2
D R2 U' R2 B R2 L
B2 R2 U' B' F L' F'
B' R2 U2 F U L' B2
B' R2 U2 F U B2 L'
U' R2 U2 F' R U2 R
B2 R2 U2 F U B' L'
D' R2 D U F' R U2
B2 R2 D R' B U' B2
B R2 D R' B U' B'
D R2 D U F' U2 L'
D2 R2 D' R2 U' B L
D R2 D' U F' U2 L'
D' R2 D2 R2 U' B L
D2 R2 D2 U F' R U2
B2 R2 D2 R U' B' L
B2 R2 D2 R' U' B' L
B2 R2 D2 R2 U' B' L
B2 R2 D2 U' B' L D
B2 R2 D2 U' B' L D'
B2 R2 D2 U' B' L D2
B2 R2 D2 U' B' D L
B2 R2 D2 U' B' D' L
B2 R2 D2 U' B' D2 L
B2 R2 D2 B U' B2 L
U' R2 F L' F' R2 B
D R2 D2 U F' U2 L'
F' R2 F U R' F2 U2
F' R2 F U F2 R' U2
F' R2 F U' D2 B2 L
B R2 D2 B' U' L B
F' R2 F D2 U' B2 L
U' R2 F' R U2 R F
U R2 F R F2 R U2
U R2 F R' F2 R U2
U R2 F R2 F2 R U2
R' D R U2 F' U B
U R2 F U2 L' D2 B2
U R2 F U2 D2 L' B2
U R2 F U2 D2 B2 L'
U R2 F D2 U2 L' B2
U R2 F D2 U2 B2 L'
U R2 F' R' U2 D2 L2
U R2 F' R' D2 U2 L2
U R2 F' R2 D R' U2
U R2 F' R2 D' R' U2
U R2 F' R2 D2 R' U2
U R2 F' U F2 U L'
F2 R2 F2 U F U2 L'
U R2 F' U2 F2 L' F2
U R2 F' D R U2 D
U R2 F' D R U2 D'
U R2 F' D R U2 D2
U R2 F' D R D U2
U R2 F' D R D' U2
U R2 F' D R D2 U2
U R2 F' D' R U2 D
U R2 F' D' R U2 D'
U R2 F' D' R U2 D2
U R2 F' D' R D U2
U R2 F' D' R D' U2
U R2 F' D' R D2 U2
U R2 F' D2 R U2 D
U R2 F' D2 R U2 D'
U R2 F' D2 R U2 D2
U R2 F' D2 R D U2
U R2 F' D2 R D' U2
U R2 F' D2 R D2 U2
U R2 F' B R B' U2
R' D R' B R2 U' B
R' D R' B U F' U2
U R2 F' B2 R B2 U2
D2 R2 B U F' R' U2
U R2 F2 R F R U2
U R2 F2 R' F R U2
U R2 F2 R2 F R U2
R2 D R' D B R' U'
U R2 F2 D F R U2
U R2 F2 D' F R U2
R2 D R' B R' U' B
U R2 F2 D2 F R U2
D R2 B U F' U2 L'
D2 R2 B' R2 U' L B
B R2 B U' D2 B' L
D2 R2 B' U F' U2 L
R2 D R2 U' L B L
R2 D R2 U' L' B L
R2 D R2 U' L2 B L
R2 D R2 U' D B L
R2 D R2 U' D' B L
R2 D R2 U' D2 B L
R2 D R2 U' B L D
R2 D R2 U' B L D'
R2 D R2 U' B L D2
R2 D R2 U' B D L
R2 D R2 U' B D' L
R2 D R2 U' B D2 L
B' R2 B' U' D2 B' L
B R2 B D2 U' B' L
R2 D R2 D U' B L
R D R' B R' U' D
R D R' B R' U' D'
R D R' B R' U' D2
R D R' B R' D U'
R D R' B R' D' U'
R D R' B R' D2 U'
R D R' B D R' U'
R D R' B D' R' U'
R D R' B D2 R' U'
R2 D R2 D' U' B L
R2 D R2 D2 U' B L
B' R2 B' D2 U' B' L
U R2 B F' R B' U2
D R2 B' U F' U2 L'
D R2 B2 U F' U2 L'
U' D L D B' L B2
U' D L B2 D B' L
U R2 B2 F' R B2 U2
U' D L' D B' L B2
U' D L' B2 D B' L
U' D L2 D B' L B2
B2 U L2 F L2 U2 L
U' D L2 B2 D B' L
B2 U R U2 D2 B' L
B' U R F U2 L' B2
B' U R F U2 B2 L'
B' U R F' R U2 B2
B2 U R D2 U2 B' L
B2 U R F U2 B' L'
B2 U R F' R U2 B'
U2 D R F' R' U B
D2 U R' U2 L' B' L
B2 U R' U2 D2 B' L
B' U R' F U2 L' B2
B' U R' F U2 B2 L'
B' U R' F' R U2 B2
B2 U R' D2 U2 B' L
B2 U R' F U2 B' L'
B2 U R' F' R U2 B'
R2 D B R2 U' B L
D' U R2 D F' R U2
D2 U R2 D2 F' R U2
B2 U R2 U2 D2 B' L
B' U R2 F U2 L' B2
B' U R2 F U2 B2 L'
B' U R2 F' R U2 B2
R D B R' D B U'
R D B R' D' B U'
R D B R' D2 B U'
R D B R' B U' D
R D B R' B U' D'
R D B R' B U' D2
R D B R' B D U'
R D B R' B D' U'
R D B R' B D2 U'
B2 U R2 D2 U2 B' L
B2 U R2 F U2 B' L'
B2 U R2 F' R U2 B'
R2 D B' R2 U' B L
D2 U F U2 B' L B2
R2 D B2 R2 U' B L
L' D' L U' B D L2
L' D' L D B' U' B2
L' D' L D' B' U' B2
D2 U F' U2 B' L B2
L' D' L D2 B' U' B2
U' D F' D' F L' B
U' D F' D' F B L'
U' D F' D' B F L'
U' D F' B D' F L'
L' D' L B' R U' B2
L' D' L B' R' U' B2
L' D' L B' R2 U' B2
L' D' L B' U' B2 D
L' D' L B' U' B2 D'
L' D' L B' U' B2 D2
L' D' L B' D' R2 U'
B2 U D2 R U2 B' L
B2 U D2 R' U2 B' L
B2 U D2 R2 U2 B' L
B2 U D2 F U2 B' L
B2 U D2 F' U2 B' L
B2 U D2 F2 U2 B' L
D2 U F2 U2 B' L B2
B' U F R U2 L' B2
B' U F R U2 B2 L'
B' U F R' U2 L' B2
B' U F R' U2 B2 L'
B' U F R2 U2 L' B2
B' U F R2 U2 B2 L'
B2 U F R U2 B' L'
B2 U F R' U2 B' L'
B' U F U2 L B2 L2
B' U F U2 L' B2 D
B' U F U2 L' B2 D'
B' U F U2 L' B2 D2
B' U F U2 B L' B
B2 U F R2 U2 B' L'
B' U F U2 B2 L' D
B' U F U2 B2 L' D'
B' U F U2 B2 L' D2
B' U F U2 B2 D L'
B' U F U2 B2 D' L'
B' U F U2 B2 D2 L'
L D' L B' L2 U' B2
B' U F D2 F2 R U2
D2 U B R' B' U2 B
B2 U F U2 D B' L'
B2 U F U2 D' B' L'
B2 U F U2 D2 B' L'
B2 U F U2 B L' B2
B2 U F U2 B' L' D
B2 U F U2 B' L' D'
B2 U F U2 B' L' D2
B2 U F U2 B' D L'
B2 U F U2 B' D' L'
B2 U F U2 B' D2 L'
B2 U F U2 B2 L' B
B2 U F D U2 B' L'
B2 U F D' U2 B' L'
B2 U F D2 U2 B' L'
U' D B D B' L B
U' D B D' F L' F'
B' U F' R U2 B2 D
B' U F' R U2 B2 D'
B' U F' R U2 B2 D2
B' U F' R D2 F2 U2
B' U F' R F U2 B2
B' U F' R F' U2 B2
L D' L' U2 F U B
B' U F' R F2 U2 B2
U' D B F' D' F L'
B' U F' R2 U2 B2 L
B2 U F' R U2 D B'
B2 U F' R U2 D' B'
B2 U F' R U2 D2 B'
B2 U F' R U2 B' D
B2 U F' R U2 B' D'
B2 U F' R U2 B' D2
B2 U F' R D U2 B'
B2 U F' R D' U2 B'
B2 U F' R D2 U2 B'
B2 U F' R F U2 B'
B2 U F' R F' U2 B'
B2 U F' R F2 U2 B'
B' U F' D2 R F2 U2
B' U F' D2 F2 U2 L'
B2 U F' D R U2 B'
B2 U F' D' R U2 B'
B2 U F' D2 R U2 B'
B U F' R U' R' U'
B' U F2 U2 B L B
B2 U F2 U2 B L B2
U' D B2 D B' L D
U' D B2 D B' L D'
U' D B2 D B' L D2
U' D B2 D B' D L
U' D B2 D B' D' L
U' D B2 D B' D2 L
D' U' L U B' U' B2
U' D' L U B' U' B2
D' U' L D B D L2
U' D' L D B D L2
D' U' L D' B D L2
U' D' L D' B D L2
D' U' L D2 B D L2
U' D' L D2 B D L2
D' U' L B L D L2
D' U' L B L' D L2
U' D' L B L D L2
D' U' L B L2 D L2
U' D' L B L' D L2
U' D' L B L2 D L2
D' U' L B U B2 U'
U' D' L B U B2 U'
D' U' L B D L2 D
D' U' L B D L2 D'
D' U' L B D L2 D2
U' D' L B D L2 D
U' D' L B D L2 D'
U' D' L B D L2 D2
U2 D' L U B D L2
D2 U' L B U2 R' U2
D2 U' L B' L B2 D
D2 U' L B' L B2 D'
D2 U' L B' L B2 D2
D2 U' L B' L' B2 L2
D2 U' L B' L2 B2 L'
U2 D' L U2 B' U' B2
U' D' L' U' F U B
D' U' L' U' F U B
D U' L D B' L B2
D' U' L' B U' F U
U' D' L' B U' F U
D2 U' L' B U2 R' U2
D2 U' L' B' L B2 D
D2 U' L' B' L B2 D'
D2 U' L' B' L B2 D2
D2 U' L' B' L' B2 L2
D2 U' L' B' L2 B2 L'
U2 D' L' D F U B
D U' L B2 D B' L
U2 D' L' D' F U B
U2 D' L' D2 F U B
U2 D' L' F L U B
U2 D' L' F L' U B
U2 D' L' F L2 U B
U2 D' L' F U D B
U2 D' L' F U D' B
U2 D' L' F U D2 B
U2 D' L' F U B D
U2 D' L' F U B D'
U2 D' L' F U B D2
U2 D' L' F D U B
U2 D' L' F D' U B
U2 D' L' F D2 U B
D U' L' D B' L B2
R' D' U2 L' F U B'
U2 D' L2 U L B L
U2 D' L2 U L' B L
U2 D' L2 U L2 B L
U2 D' L2 U D B L
U2 D' L2 U D' B L
U2 D' L2 U D2 B L
U2 D' L2 U B L D
U2 D' L2 U B L D'
U2 D' L2 U B L D2
U2 D' L2 U B D L
U2 D' L2 U B D' L
U2 D' L2 U B D2 L
D2 U' L2 B U2 R' U2
D2 U' L2 B' L B2 D
D2 U' L2 B' L B2 D'
D2 U' L2 B' L B2 D2
D2 U' L2 B' L' B2 L2
D2 U' L2 B' L2 B2 L'
U2 D' L2 D U B L
D U' L' B2 D B' L
U2 D' L2 D' U B L
U2 D' L2 D2 U B L
B' U' L F L' F' B2
B' U' L F L' B2 F'
B' U' L F B2 L' F'
U2 D' L2 F U B L
U2 D' L2 F' U B L
U2 D' L2 F2 U B L
B2 U' L D2 L' B' L
B2 U' L F L' F' B'
B2 U' L F L' B' F'
B' U' L B' D2 B' L
D U' L2 D B' L B2
B' U' L B2 F L' F'
D U' L2 B2 D B' L
B' U' L' F L' F' B2
B' U' L' F L' B2 F'
B' U' L' F B2 L' F'
R D' U2 L' F L' U
B' U' L' B' D2 B' L
B' U' L' B2 F L' F'
R D' U2 F L' F U
D2 U' R' B' L R B
D2 U' R' B' R L B
D2 U' R' B2 R B L
B' U' L2 F L' F' B2
B' U' L2 F L' B2 F'
B2 U' L2 U2 F U2 L'
B' U' L2 F B2 L' F'
F U' L' U F' U' B
B2 U' L2 D2 L2 B' L
B' U' L2 B' D2 B' L
B' U' L2 B2 F L' F'
D2 U' R2 B' L R2 B
F U' L' B U F' U'
D2 U' R2 B' R2 L B
D2 U' R2 B2 R2 B L
B2 U' R D2 R' B' L
U2 D' F L' F U B
U2 D' F L2 U B L
U D' R2 D F' R U2
D2 U' F B' L F' B2
D2 U' F B' L B2 F'
B2 U' R' D2 R B' L
B2 U' R' D2 B' L R
B2 U' R' D2 B' R L
D' U' F' D F L' B
D' U' F' D F B L'
U' D' F' D F L' B
U' D' F' D F B L'
D' U' F' D B F L'
U' D' F' D B F L'
U' D' F' B D F L'
D' U' F' B D F L'
U2 D' F' L' F U B
D2 U' F' D2 F L' B
U2 D' F' L2 U B L
D2 U' F' D2 F B L'
D2 U' F' D2 B F L'
U2 D' F2 L' F U B
U2 D' F2 L2 U B L
D' U' B L U B' U'
U' D' B L U B' U'
D U' F' D' F L' B
D U' F' D' F B L'
D U' F' D' B F L'
D2 U' F2 B' L F2 B2
D2 U' F2 B' L B2 F2
D' U' B L' U' F U
U' D' B L' U' F U
D U' F' B D' F L'
D2 U' B L U2 R' U2
D2 U' B L B2 L B2
D2 U' B L' U2 R' U2
D2 U' B L' B2 L B2
D2 U' B L2 U2 R' U2
D2 U' B L2 B2 L B2
D2 U' B R D2 L2 R'
D2 U' B R D2 R' L2
U' D' B D F L' F'
D' U' B D F L' F'
D2 U' B U B2 U' L
U' D' B D' B' L B
D' U' B D' B' L B
D2 U' B U2 R' U2 D
D2 U' B U2 R' U2 D'
D2 U' B U2 R' U2 D2
D2 U' B U2 R' D U2
D2 U' B U2 R' D' U2
D2 U' B U2 R' D2 U2
D2 U' B U2 D R' U2
D2 U' B U2 D' R' U2
D2 U' B U2 D2 R' U2
D2 U' B D U2 R' U2
D2 U' B D B2 L B2
D2 U' B D' U2 R' U2
U' D' B F' D F L'
D' U' B F' D F L'
D2 U' B D' B2 L B2
D2 U' B D2 U2 R' U2
D2 U' B D2 B2 L B2
L' D2 L U' B' L B2
D2 U' B' L R' B2 R
D2 U' B' L R2 B2 R2
D2 U' B' L B D B
D2 U' B' L B D' B
D2 U' B' L B D2 B
D2 U' B' L B' D B'
D2 U' B' L B' D' B'
D2 U' B' L B' D2 B'
D2 U' B' L' B L2 B
D2 U' B' L' B2 L2 D
D2 U' B' L' B2 L2 D'
D2 U' B' L' B2 L2 D2
D2 U' B' L2 B L' B
D2 U' B' L2 B2 L' D
D2 U' B' L2 B2 L' D'
D2 U' B' L2 B2 L' D2
D2 U' B' L2 B2 D L'
D2 U' B' L2 B2 D' L'
D2 U' B' L2 B2 D2 L'
D2 U' B' R' L B2 R
D2 U' B' R2 L B2 R2
L' D2 L B' U' L B2
B2 U' D2 L' B' L B'
D2 U' B' D' L D B2
D2 U' B' D2 L D2 B2
B2 U' D2 R' B' L R
B2 U' D2 R' B' R L
D U' B D B' L B
D2 U' B' F L F' B2
D2 U' B' F L B2 F'
D U' B D' F L' F'
B2 U' D2 R2 B' L R2
B2 U' D2 R2 B' R2 L
B' U' D2 B D2 B2 L
B' U' D2 B' L D2 B2
D2 U' B' F2 L F2 B2
D2 U' B' F2 L B2 F2
B2 U' D2 F B' L F'
B' U' D2 B' D2 L B2
D U' B F' D' F L'
B2 U' D2 F2 B' L F2
B2 U' D2 B L B2 L
B2 U' D2 B L' B2 L
B2 U' D2 B L2 B2 L
B' U' F L F' L2 B2
B' U' F L F' B2 L2
D2 U' B2 L' B L B'
B' U' F L B2 L2 F'
B' U' F L B2 F' L2
B2 U' D2 B' L2 D L'
B2 U' D2 B' L2 D' L'
B2 U' D2 B' L2 D2 L'
B' U' F L' F' B2 D
B' U' F L' F' B2 D'
B' U' F L' F' B2 D2
B2 U' D2 B' D L D
B2 U' D2 B' D L D'
B2 U' D2 B' D L D2
B2 U' D2 B' D' L D
B2 U' D2 B' D' L D'
B2 U' D2 B' D' L D2
B2 U' D2 B' D2 L D
B2 U' D2 B' D2 L D'
B2 U' D2 B' D2 L D2
B' U' F L' B2 D F'
B' U' F L' B2 D' F'
B' U' F L' B2 D2 F'
B' U' F L' B2 F' D
B' U' F L' B2 F' D'
B' U' F L' B2 F' D2
B2 U' D2 B' F L F'
B2 U' D2 B' F2 L F2
B2 U' D2 B2 L B L
B2 U' D2 B2 L' B L
B2 U' D2 B2 L2 B L
B' U' F L2 F' L B2
B2 U' D2 B2 D B L
B2 U' D2 B2 D' B L
B2 U' D2 B2 D2 B L
D' U' B2 D' B' L D
D' U' B2 D' B' L D'
D' U' B2 D' B' L D2
D' U' B2 D' B' D L
D' U' B2 D' B' D' L
D' U' B2 D' B' D2 L
U' D' B2 D' B' L D
U' D' B2 D' B' L D'
U' D' B2 D' B' L D2
U' D' B2 D' B' D L
U' D' B2 D' B' D' L
U' D' B2 D' B' D2 L
D2 U' B2 D B L B2
D2 U' B2 D' B L B2
D2 U' B2 D2 B L B2
B' U' F B L' F' B
B' U' F B L' B F'
B2 U' F D B' L' F'
D' U2 L U B D L2
B' U' F B2 L F' L2
B' U' F B2 L' D F'
B' U' F B2 L' D' F'
B' U' F B2 L' D2 F'
B' U' F B2 L' F' D
B' U' F B2 L' F' D'
B' U' F B2 L' F' D2
B' U' F B2 L2 F' L
B2 U' F D' B' L' F'
B' U' F B2 D L' F'
B' U' F B2 D' L' F'
B' U' F B2 D2 L' F'
B2 U' F D2 B' L' F'
B2 U' F B L' F' B2
B2 U' F B L' B2 F'
D' U2 L U2 B' U' B2
B2 U' F B' L F' L2
B2 U' F B' L' D F'
B2 U' F B' L' D' F'
B2 U' F B' L' D2 F'
B2 U' F B' L' F' D
B2 U' F B' L' F' D'
B2 U' F B' L' F' D2
B2 U' F B' L2 F' L
B2 U' F B' D L' F'
B2 U' F B' D' L' F'
B2 U' F B' D2 L' F'
D2 U2 L U B' L B2
B2 U' F B2 L' F' B
B2 U' F B2 L' B F'
L D2 L' U' B' L B2
U' D2 L B U2 R' U2
U' D2 L B' L B2 D
U' D2 L B' L B2 D'
U' D2 L B' L B2 D2
U' D2 L B' L' B2 L2
U' D2 L B' L2 B2 L'
R' D2 R U' B' L B2
D U' B2 D B' L D
D U' B2 D B' L D'
D U' B2 D B' L D2
D U' B2 D B' D L
D U' B2 D B' D' L
D U' B2 D B' D2 L
U2 D2 L U B' L B2
L D2 L' B' U' L B2
D' U2 L' D F U B
D2 U2 L' U B' L B2
R' D2 R B' U' L B2
D' U2 L' D' F U B
D' U2 L' D2 F U B
D' U2 L' F L U B
D' U2 L' F L' U B
D' U2 L' F L2 U B
D' U2 L' F U D B
D' U2 L' F U D' B
D' U2 L' F U D2 B
D' U2 L' F U B D
D' U2 L' F U B D'
D' U2 L' F U B D2
D' U2 L' F D U B
D' U2 L' F D' U B
D' U2 L' F D2 U B
U' D2 L' B U2 R' U2
U' D2 L' B' L B2 D
U' D2 L' B' L B2 D'
U' D2 L' B' L B2 D2
U' D2 L' B' L' B2 L2
U' D2 L' B' L2 B2 L'
U2 D2 L' U B' L B2
D' U2 L2 U L B L
D' U2 L2 U L' B L
D' U2 L2 U L2 B L
F2 U' F2 U' F2 B L
F2 U' F2 U' B L F2
F2 U' F2 U' B F2 L
D' U2 L2 U D B L
D' U2 L2 U D' B L
D' U2 L2 U D2 B L
D' U2 L2 U B L D
D' U2 L2 U B L D'
D' U2 L2 U B L D2
D' U2 L2 U B D L
D' U2 L2 U B D' L
D' U2 L2 U B D2 L
F U' F' U' F L' B
F U' F' U' F B L'
F U' F' U' B F L'
D' U2 L2 D U B L
D2 U2 L2 U B' L B2
D' U2 L2 D' U B L
D' U2 L2 D2 U B L
D' U2 L2 F U B L
D' U2 L2 F' U B L
R D2 R U' L B' L
D' U2 L2 F2 U B L
R D2 R U' B' L B'
U' D2 L2 B U2 R' U2
U' D2 L2 B' L B2 D
U' D2 L2 B' L B2 D'
U' D2 L2 B' L B2 D2
U' D2 L2 B' L' B2 L2
U' D2 L2 B' L2 B2 L'
U2 D2 L2 U B' L B2
B' U' B D2 B' L B2
B' U' B F L' F' B
B' U' B F L' B F'
B2 U' B F L' F' B2
B2 U' B F L' B2 F'
R D2 R B' U' L B'
B2 U' B' L F L' F'
B2 U' B' L' F L' F'
B2 U' B' L2 F L' F'
R D2 R' U' L B' L
R D2 R' U' B' L B'
F U' B L' U F' U'
R2 D2 R2 U' B' L B2
B2 U' B' U' F U L'
B' U' B' D2 B' L D
B' U' B' D2 B' L D'
B' U' B' D2 B' L D2
B' U' B' D2 B' D L
B' U' B' D2 B' D' L
B' U' B' D2 B' D2 L
B' U' B2 L F L' F'
B2 U' B' D2 B' L B
B2 U' B' F L F' L2
B2 U' B' F L' D F'
B2 U' B' F L' D' F'
B2 U' B' F L' D2 F'
B2 U' B' F L' F' D
B2 U' B' F L' F' D'
B2 U' B' F L' F' D2
B2 U' B' F L2 F' L
B' U' B2 L' F L' F'
B2 U' B' F D L' F'
B2 U' B' F D' L' F'
B2 U' B' F D2 L' F'
R D2 R' B' U' L B'
B' U' B2 L2 F L' F'
R2 D2 R2 B' U' L B2
R D2 R2 U' L B' L
B' U' B2 U' F U L'
R D2 R2 U' B' L B'
U' D2 R' B' L R B
U' D2 R' B' R L B
U' D2 R' B2 R B L
D U2 R F' R' U B
B' U' B2 D2 B' L B
B' U' B2 F L F' L2
B' U' B2 F L' D F'
B' U' B2 F L' D' F'
B' U' B2 F L' D2 F'
B' U' B2 F L' F' D
B' U' B2 F L' F' D'
B' U' B2 F L' F' D2
B' U' B2 F L2 F' L
B' U' B2 F D L' F'
B' U' B2 F D' L' F'
B' U' B2 F D2 L' F'
R' D2 U2 L' U B' L
B2 U' B2 D2 B' L B2
B2 U' B2 F L' F' B
B2 U' B2 F L' B F'
R D2 R2 B' U' L B'
U' D2 R2 B' L R2 B
B' U2 L F U L' B2
B' U2 L F U B2 L'
U' D2 R2 B' R2 L B
U' D2 R2 B2 R2 B L
U D2 R' U2 L' B' L
D' U2 F L' F U B
D' U2 F L2 U B L
R D2 U' L B' L D
R D2 U' L B' L D'
R D2 U' L B' L D2
R D2 U' L B' D L
R D2 U' L B' D' L
R D2 U' L B' D2 L
D2 U2 F U B' L B2
B' U2 L' F U L' B2
B' U2 L' F U B2 L'
U' D2 F B' L F' B2
U' D2 F B' L B2 F'
R D2 U' B' L D B'
R D2 U' B' L D' B'
R D2 U' B' L D2 B'
R D2 U' B' L B' D
R D2 U' B' L B' D'
R D2 U' B' L B' D2
D' U2 F' L' F U B
D' U2 F' L2 U B L
R D2 U2 L U B' L
U2 D2 F U B' L B2
U D2 R2 D2 F' R U2
D2 U2 F' U B' L B2
B2 U2 L2 U' F U2 L'
U' D2 F' D2 F L' B
U' D2 F' D2 F B L'
U' D2 F' D2 B F L'
B' U2 L2 F U L' B2
B' U2 L2 F U B2 L'
D' U2 F2 L' F U B
D' U2 F2 L2 U B L
U2 D2 F' U B' L B2
U D2 F U2 B' L B2
D2 U2 F2 U B' L B2
U' D2 F2 B' L F2 B2
U' D2 F2 B' L B2 F2
U' D2 B L U2 R' U2
U' D2 B L B2 L B2
U' D2 B L' U2 R' U2
U' D2 B L' B2 L B2
U' D2 B L2 U2 R' U2
U' D2 B L2 B2 L B2
U' D2 B R D2 L2 R'
U' D2 B R D2 R' L2
U2 D2 F2 U B' L B2
U D2 F' U2 B' L B2
U' D2 B U B2 U' L
U' D2 B U2 R' U2 D
U' D2 B U2 R' U2 D'
U' D2 B U2 R' U2 D2
U' D2 B U2 R' D U2
U' D2 B U2 R' D' U2
U' D2 B U2 R' D2 U2
U' D2 B U2 D R' U2
U' D2 B U2 D' R' U2
U' D2 B U2 D2 R' U2
U' D2 B D U2 R' U2
U' D2 B D B2 L B2
U' D2 B D' U2 R' U2
U' D2 B D' B2 L B2
U' D2 B D2 U2 R' U2
U' D2 B D2 B2 L B2
U' D2 B' L R' B2 R
U' D2 B' L R2 B2 R2
U' D2 B' L B D B
U' D2 B' L B D' B
U' D2 B' L B D2 B
U' D2 B' L B' D B'
U' D2 B' L B' D' B'
U' D2 B' L B' D2 B'
U' D2 B' L' B L2 B
U' D2 B' L' B2 L2 D
U' D2 B' L' B2 L2 D'
U' D2 B' L' B2 L2 D2
U' D2 B' L2 B L' B
U' D2 B' L2 B2 L' D
U' D2 B' L2 B2 L' D'
U' D2 B' L2 B2 L' D2
U' D2 B' L2 B2 D L'
U' D2 B' L2 B2 D' L'
U' D2 B' L2 B2 D2 L'
U' D2 B' R' L B2 R
R' D2 B' R U' L B
U' D2 B' R2 L B2 R2
U D2 F2 U2 B' L B2
R2 D2 B U F' R' U2
U' D2 B' D' L D B2
U' D2 B' D2 L D2 B2
L' D2 B' U' L F B2
L' D2 B' U' L B2 F
U' D2 B' F L F' B2
U' D2 B' F L B2 F'
U' D2 B' F2 L F2 B2
U' D2 B' F2 L B2 F2
U' D2 B2 L' B L B'
U D2 B R' B' U2 B
R2 D2 B' R2 U' L B
R D2 B U' B2 L B'
R2 D2 B' U F' U2 L
U' D2 B2 D B L B2
U' D2 B2 D' B L B2
U' D2 B2 D2 B L B2
L D2 B' L' U' L2 B2
L D2 B' L' U' B2 L2
R D2 B' R U' L B'
R D2 B' R' U' L B'
R D2 B' R2 U' L B'
R D2 B' U' L D B'
R D2 B' U' L D' B'
R D2 B' U' L D2 B'
R D2 B' U' L B' D
R D2 B' U' L B' D'
R D2 B' U' L B' D2
U' F L F L2 F2 B
U' F L F L2 B F2
U' F L F B L2 F2
U' F L F' L' B L'
U' F L F' L2 D B
U' F L F' L2 D' B
U' F L F' L2 D2 B
U' F L F' L2 B D
U' F L F' L2 B D'
U' F L F' L2 B D2
U' F L F' B L2 D
U' F L F' B L2 D'
U' F L F' B L2 D2
U' F L F' B' L2 B2
U' F L B L F' L
U' F L B L2 D F'
U' F L B L2 D' F'
U' F L B L2 D2 F'
U' F L B L2 F' D
U' F L B L2 F' D'
U' F L B L2 F' D2
U' F L B F L2 F2
U' F L B F' L2 D
U' F L B F' L2 D'
U' F L B F' L2 D2
U' F L B' L2 F' B2
U' F L B' L2 B2 F'
U' F L B' F' L2 B2
U2 F L U L' B L'
U2 F L U L2 D B
U2 F L U L2 D' B
U2 F L U L2 D2 B
L' F L F' U' L2 B
U2 F L U L2 B D
U2 F L U L2 B D'
U2 F L U L2 B D2
L' F L F' U' B L2
U2 F L U B L2 D
U2 F L U B L2 D'
U2 F L U B L2 D2
U2 F L U B' L2 B2
U2 F L D F2 U B
U' F L' D F' D B
U' F L' D F' D' B
U' F L' D F' D2 B
U' F L' D F' B D
U' F L' D F' B D'
U' F L' D F' B D2
U' F L' D B D F'
U' F L' D B D' F'
U' F L' D B D2 F'
U' F L' D B F' D
U' F L' D B F' D'
U' F L' D B F' D2
U2 F L F U L2 B
U2 F L F U B L2
U' F L' D' F' D B
U' F L' D' F' D' B
U' F L' D' F' D2 B
U' F L' D' F' B D
U' F L' D' F' B D'
U' F L' D' F' B D2
U' F L' D' B D F'
U' F L' D' B D' F'
U' F L' D' B D2 F'
U' F L' D' B F' D
U' F L' D' B F' D'
U' F L' D' B F' D2
U2 F L F' U L2 B
U2 F L F' U B L2
U' F L' D2 F' D B
U' F L' D2 F' D' B
